System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-11;09:05:29.681;0.00352;0.621;0.00567;0.856;0.91;1.38;0.341;0.0899;0.00076;0.00115;0.752;1.21;1.2e+03;1.93e+03;2.12e+03;1.24;31;0.00704;0.176;1.48e+03;0.662;24.1;0.00295;75.3;0;40;0;0;0;140;30.2;0.0139;0.625;0.0222;0.857;0.87;1.13;0.23;0.086;0.000737;0.000957; 51360;401;1194;0.0515;0.24;50;5.73e-05;0.391;0.000147;0.792;0.0119;0.0805;0.852;0.0931;0.00245;0.0165; 12000;0;1;0.23;0.269;53;6.67e-05;0.424;0.000157;0.788;0.0128;0.0802;0.841;0.101;0.00225;0.0141; 16640;0;2;0.23;0.289;55;6.79e-05;0.387;0.000176;0.857;0.0144;0.0879;0.836;0.126;0.0025;0.0152; 22000;0;2;0.24;0.41;52;332;333;327;  1%;  1%;  1%;43.8;29.5;95.1;  0%;  0%;  0%;43.8;94.6;27.1;  0%;  0%;  0%;26.9;29.4;97.3;  0%;  0%;  0%;2.59;27.1;0.0107;70.3;0;0;0;0;0;0.0185;19.2;0;80.8;0;80;0;0;0;0.0199;19;0;81;0;80;0;0;0;0.0205;31;0.00113;69;0;0;0;0;0;37.4;33.5;34.3;35;7.69 ;7.43 ;7.71 ;7.4 ;
2017-11-11;09:05:30.692;0.00457;0.804;0.00569;0.857;8.01;9;0.11;0.304;0.00515;0.00579;1.56;1.98;1.55e+03;1.93e+03;2.13e+03;1.61;40.2;0.00914;0.229;2.65e+03;0.664;36.1;0.014;63.2;0;7.46;0;0;0;146;36.9;0.0181;0.813;0.0222;0.857;7.97;8.74;0.0883;0.308;0.00519;0.00569; 51200;675;2019;0.19;0.331;50;6.15e-05;0.41;0.00015;0.857;0.0122;0.0799;0.847;0.0792;0.00234;0.0153; 11920;0;3;0.459;0.469;53;6.91e-05;0.456;0.000152;0.857;0.0125;0.0822;0.847;0.078;0.00214;0.014; 16560;1;2;0.453;0.465;55;8.19e-05;0.418;0.000196;0.828;0.0155;0.0958;0.839;0.113;0.00222;0.0138; 22160;0;0;0.454;0.716;53;486;480;483;  2%;  2%;  2%;76.2;45;293;  0%;  0%;  1%;75.9;288;44.6;  0%;  1%;  0%;44.4;45;294;  0%;  0%;  1%;2.6;36.3;0.0559;61;0;0;0;0;0;0.0175;36;0;64;0;0;0;0;0;0.0177;47.1;0;52.8;0;0;0;0;0;0.0237;25.1;0;74.9;0;29.8;0;0;0;38.7;35.1;37.7;34.5;8.7 ;9.46 ;9.73 ;9.01 ;
2017-11-11;09:05:31.691;0.0154;1.73;0.0089;0.857;40.1;42.6;0.0581;0.161;0.00776;0.00824;3.84;3.65;5.17e+03;2.99e+03;2.1e+03;3.46;86.4;0.0308;0.769;5.65e+03;1.04;94.1;0.00637;4.85;0;0;0;0;0;175;41;0.0613;1.75;0.0351;0.857;40;42.3;0.0529;0.162;0.00778;0.00821; 51280;1220;3608;0.915;0.412;50;8.2e-05;0.427;0.000192;0.857;0.0245;0.114;0.785;0.0899;0.00356;0.0166; 12000;0;2;0.977;1.08;53;6.38e-05;0.397;0.000161;0.857;0.0126;0.0762;0.835;0.119;0.00235;0.0142; 16400;0;2;0.968;1.07;55;8.23e-05;0.452;0.000182;0.857;0.0175;0.103;0.83;0.123;0.00253;0.0149; 22080;1;0;0.982;1.1;52;609;598;623;  3%;  3%;  3%;69.3;70;1.14e+03;  0%;  0%;  5%;69.4;1.13e+03;68.9;  0%;  5%;  0%;68.6;70.1;1.14e+03;  0%;  0%;  5%;4.09;76.5;0.0255;19.4;0;0;0;0;0;0.0224;100;0;0;0;0;0;0;0;0.0188;100;0;0;0;0;0;0;0;0.0213;100;0;0;0;0;0;0;0;45;42.6;44.4;43.2;9.62 ;10.6 ;10.9 ;9.9 ;
2017-11-11;09:05:32.707;0.00726;1.28;0.00566;0.857;10.5;18;0.42;0.235;0.00423;0.00728;1.14;0.975;2.48e+03;1.93e+03;2.12e+03;2.57;64.1;0.0145;0.363;1.81e+03;0.661;82.8;0.00689;16.6;0;0;0;0;0;168;35.4;0.0286;1.29;0.0221;0.857;10.4;17.7;0.412;0.236;0.00428;0.00727; 49840;416;1190;0.213;0.177;50;6.97e-05;0.574;0.000121;0.857;0.0145;0.0871;0.834;0.137;0.00243;0.0147; 11920;0;1;0.311;0.269;53;6.45e-05;0.542;0.000119;0.857;0.0138;0.0729;0.811;0.168;0.0025;0.0132; 16320;0;5;0.304;0.261;55;0.000345;1.29;0.000267;0.857;0.0178;0.163;0.891;0.209;0.000603;0.00552; 22320;0;0;0.31;0.268;52;250;238;245;  1%;  1%;  1%;49.4;49.9;259;  0%;  0%;  1%;49.3;257;49.2;  0%;  1%;  0%;48.9;49.8;262;  0%;  0%;  1%;2.58;34.3;0.0276;63;0;0;0;0;0;0.0142;99.1;0;0.885;0;0;0;0;0;0.0139;100;0;0;0;0;0;0;0;0.0312;97.6;0;2.37;0;0;0;0;0;38.8;42.2;44.1;42.6;8.52 ;9.14 ;9.31 ;8.39 ;
2017-11-11;09:05:33.719;0.00458;0.818;0.0056;0.857;6.71;23.5;0.714;0.286;0.00431;0.0151;0.5;0.346;1.56e+03;1.9e+03;2.13e+03;1.64;40.9;0.00916;0.229;635;0.653;93.4;0.00387;5.92;0;0;0;0;0;171;33;0.0181;0.822;0.0221;0.857;6.67;23.2;0.713;0.287;0.00433;0.0151; 51520;105;344;0.129;0.0514;50;5.79e-05;0.563;0.000103;0.857;0.0117;0.0686;0.83;0.161;0.00237;0.0139; 11920;1;0;0.121;0.0954;53;6.17e-05;0.56;0.00011;0.857;0.0143;0.0753;0.81;0.166;0.00273;0.0144; 16400;0;4;0.123;0.0966;54;7.08e-05;0.578;0.000122;0.857;0.0139;0.0738;0.812;0.188;0.00231;0.0123; 22080;1;0;0.127;0.103;52;52;52.9;56.2;  0%;  0%;  0%;14.3;14.4;127;  0%;  0%;  0%;14.1;129;14.6;  0%;  0%;  0%;14.4;14.2;133;  0%;  0%;  0%;2.57;75.2;0.0155;22.3;0;0;0;0;0;0.012;100;0;0;0;0;0;0;0;0.0128;100;0;0;0;0;0;0;0;0.0143;98.6;0;1.4;0;0;0;0;0;42.6;42.1;43.8;42.5;8.11 ;8.47 ;8.62 ;7.81 ;
2017-11-11;09:05:34.727;0.00347;0.62;0.0056;0.857;7.92;19.4;0.591;0.253;0.00673;0.0165;0.576;0.386;1.18e+03;1.9e+03;2.12e+03;1.24;31;0.00694;0.174;766;0.654;94.7;0.00542;4.64;0;0;0;0;0;171;33.2;0.0137;0.621;0.0221;0.857;7.88;19.2;0.589;0.254;0.00679;0.0165; 51200;139;427;0.147;0.0588;49;5.84e-05;0.573;0.000102;0.857;0.0124;0.0699;0.823;0.162;0.00251;0.0141; 11920;0;2;0.142;0.108;53;5.95e-05;0.561;0.000106;0.857;0.0128;0.0698;0.816;0.175;0.00255;0.0138; 16560;0;2;0.142;0.109;54;7.16e-05;0.591;0.000121;0.857;0.0141;0.0748;0.812;0.192;0.00232;0.0123; 22320;0;2;0.145;0.111;52;65.4;65.7;66.9;  0%;  0%;  0%;18.3;18.5;152;  0%;  0%;  0%;18.2;152;18.6;  0%;  0%;  0%;18.4;18.3;154;  0%;  0%;  0%;2.58;78.8;0.0217;18.6;0;0;0;0;0;0.0119;100;0;0;0;0;0;0;0;0.0124;100;0;0;0;0;0;0;0;0.0141;100;0;0;0;0;0;0;0;42.6;41.9;43.7;42.4;8.12 ;8.55 ;8.71 ;7.84 ;
2017-11-11;09:05:35.735;0.00316;0.565;0.00559;0.857;8.24;18.2;0.547;0.246;0.0077;0.017;0.597;0.386;1.07e+03;1.89e+03;2.12e+03;1.13;28.3;0.00632;0.158;796;0.652;94.1;0.0036;5.29;0;0;0;0;0;170;33.1;0.0125;0.565;0.022;0.857;8.2;18;0.544;0.247;0.00778;0.0171; 51440;149;414;0.152;0.0594;49;5.84e-05;0.574;0.000102;0.857;0.0119;0.0692;0.828;0.163;0.00241;0.014; 11920;0;1;0.148;0.109;53;6.11e-05;0.573;0.000107;0.857;0.0126;0.0704;0.821;0.174;0.00244;0.0136; 16720;0;6;0.147;0.108;54;7.64e-05;0.596;0.000128;0.857;0.0151;0.0798;0.811;0.192;0.00234;0.0123; 22400;0;1;0.149;0.11;52;67.3;67.1;67.5;  0%;  0%;  0%;19.8;20;159;  0%;  0%;  0%;19.7;158;20;  0%;  0%;  0%;19.8;19.9;159;  0%;  0%;  0%;2.57;76.3;0.0144;21.2;0;0;0;0;0;0.0119;100;0;0;0;0;0;0;0;0.0124;100;0;0;0;0;0;0;0;0.015;100;0;0;0;0;0;0;0;42.4;42;43.6;42.3;8.14 ;8.56 ;8.64 ;7.81 ;
2017-11-11;09:05:36.743;0.00336;0.596;0.00563;0.857;8.23;19.3;0.575;0.257;0.00723;0.017;0.596;0.326;1.14e+03;1.91e+03;2.12e+03;1.19;29.8;0.00672;0.168;769;0.657;77.9;0.00783;21.4;0;0;0;0;0;163;33;0.0132;0.597;0.0222;0.857;8.18;19.1;0.572;0.258;0.0073;0.017; 51280;141;402;0.152;0.05;50;6.79e-05;0.577;0.000118;0.857;0.0135;0.0838;0.839;0.153;0.00235;0.0146; 11840;1;1;0.148;0.0931;53;6.56e-05;0.564;0.000116;0.857;0.013;0.0722;0.82;0.178;0.00233;0.013; 16320;0;2;0.146;0.0899;54;7.82e-05;0.514;0.000152;0.857;0.015;0.0822;0.818;0.175;0.00226;0.0124; 22560;0;2;0.149;0.0929;52;57.7;55.4;57.1;  0%;  0%;  0%;21.9;22.1;157;  0%;  0%;  0%;21.7;154;22.1;  0%;  0%;  0%;21.9;21.9;156;  0%;  0%;  0%;2.58;35.5;0.0313;61.8;0;0;0;0;0;0.0137;96.6;0;3.38;0;0;0;0;0;0.0136;99;0;0.963;0;0;0;0;0;0.0178;80.5;0;19.5;0;0;0;0;0;38;41.2;43.5;40.2;8.11 ;8.51 ;8.62 ;7.75 ;
2017-11-11;09:05:37.755;0.00347;0.619;0.0056;0.857;8.13;19.9;0.591;0.262;0.0069;0.0169;0.589;0.324;1.18e+03;1.91e+03;2.12e+03;1.24;30.9;0.00693;0.173;760;0.654;93.8;0.00494;5.55;0;0;0;0;0;171;33.1;0.0137;0.619;0.0221;0.857;8.09;19.7;0.589;0.263;0.00696;0.0169; 51280;139;386;0.151;0.0497;50;5.93e-05;0.572;0.000104;0.857;0.013;0.0714;0.818;0.155;0.00257;0.0142; 11840;0;1;0.147;0.0929;53;5.84e-05;0.559;0.000105;0.857;0.0121;0.0701;0.827;0.167;0.00244;0.0141; 16400;0;4;0.144;0.0895;54;7.4e-05;0.586;0.000126;0.857;0.0143;0.0768;0.814;0.176;0.00227;0.0122; 22480;0;0;0.147;0.0921;52;57.3;54.9;56.4;  0%;  0%;  0%;21.5;21.7;155;  0%;  0%;  0%;21.4;152;21.8;  0%;  0%;  0%;21.6;21.6;154;  0%;  0%;  0%;2.58;75.2;0.0197;22.2;0;0;0;0;0;0.0121;100;0;0;0;0;0;0;0;0.0122;100;0;0;0;0;0;0;0;0.0147;100;0;0;0;0;0;0;0;42.5;42.1;43.8;42.5;8.11 ;8.51 ;8.69 ;7.8 ;
2017-11-11;09:05:38.763;0.00397;0.709;0.0056;0.857;7.55;21.7;0.652;0.278;0.00561;0.0161;0.552;0.315;1.35e+03;1.9e+03;2.12e+03;1.42;35.5;0.00795;0.199;703;0.654;93.4;0.00524;5.91;0;0;0;0;0;170;32.9;0.0157;0.711;0.0221;0.857;7.51;21.5;0.651;0.279;0.00565;0.0162; 51520;138;388;0.142;0.0485;50;5.87e-05;0.574;0.000102;0.857;0.0117;0.0693;0.831;0.162;0.00236;0.0139; 11840;1;0;0.137;0.0894;53;5.82e-05;0.562;0.000104;0.857;0.0118;0.0679;0.827;0.175;0.00238;0.0138; 16320;0;3;0.135;0.0875;54;7.43e-05;0.602;0.000123;0.857;0.0141;0.0741;0.809;0.19;0.00225;0.0118; 22560;0;1;0.137;0.0895;52;53.3;52.1;53;  0%;  0%;  0%;19.4;19.5;144;  0%;  0%;  0%;19.3;141;19.5;  0%;  0%;  0%;19.3;19.4;143;  0%;  0%;  0%;2.58;73.8;0.021;23.6;0;0;0;0;0;0.0119;100;0;0;0;0;0;0;0;0.0121;100;0;0;0;0;0;0;0;0.0144;100;0;0;0;0;0;0;0;42.3;42;43.7;42.3;8.08 ;8.45 ;8.62 ;7.77 ;
