System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-11;08:38:33.759;0.00395;0.634;0.00623;0.952;0.897;1.32;0.32;0.0934;0.00067;0.000986;0.876;1.71;1.34e+03;2.11e+03;2.12e+03;1.27;31.7;0.0079;0.197;1.63e+03;0.654;25.2;0.00263;74.2;0;27.9;0;0;0;154;31.7;0.000248;0.391;0.000635;0.946;0.0434;0.189;0.77;0.24;0.00206;0.00896; 39680;1;2;0.277;0.485;50;0.0154;0.644;0.024;0.952;0.829;0.955;0.132;0.0535;0.000634;0.000731; 51200;473;1406;0.0501;0.304;50;5.72e-05;0.391;0.000146;0.849;0.0119;0.0821;0.855;0.0998;0.00245;0.0169; 44720;0;2;0.271;0.441;53;6.95e-05;0.413;0.000168;0.952;0.0131;0.0933;0.859;0.125;0.00223;0.0159; 18080;0;0;0.278;0.479;52;120;21.8;15.9;  0%;  0%;  0%;395;384;394;  2%;  1%;  2%;111;21.7;20.4;  0%;  0%;  0%;20.2;109;16.9;  0%;  0%;  0%;0.0671;28.5;0.0105;71.4;0;31.1;0;0;0;2.52;20.5;0;77;0;0;0;0;0;0.0172;18.8;0;81.2;0;80.4;0;0;0;0.0177;32.9;0;67.1;0;0;0;0;0;38.6;39.3;37.6;38.8;8.22 ;7.67 ;8.11 ;7.65 ;
2017-11-11;08:38:34.770;0.0129;1.38;0.00938;0.952;27.3;29.3;0.067;0.202;0.00624;0.00669;3.46;4.05;4.38e+03;3.18e+03;2.12e+03;2.75;68.8;0.0258;0.645;5.27e+03;0.985;36.7;0.00243;62.3;0;7.57;0;0;0;166;40.9;0.000505;0.628;0.000805;0.952;0.147;0.467;0.686;0.127;0.00342;0.0109; 43200;3;9;0.932;1.22;50;0.0056;0.631;0.00887;0.952;0.467;0.594;0.214;0.129;0.000983;0.00125;  4560;244;726;0.82;1.07;50;0.0454;1.65;0.0276;0.952;26.7;28.1;0.0508;0.205;0.00692;0.00729; 51600;982;2909;0.801;0.546;52;7.83e-05;0.357;0.000219;0.921;0.0162;0.101;0.839;0.109;0.00243;0.0151; 18080;0;1;0.912;1.22;51;102;874;45.1;  0%;  4%;  0%;1.09e+03;243;242;  5%;  1%;  1%;575;558;543;  2%;  2%;  2%;849;101;47.4;  4%;  0%;  0%;0.0846;42;0.00839;57.9;0;0;0;0;0;0.932;36;0;63.1;0;0;0;0;0;2.9;39.3;0;57.8;0;0;0;0;0;0.0238;29.7;0.00133;70.3;0;30.3;0;0;0;41.6;40.8;45;39.1;10.5 ;10.4 ;10.2 ;9.83 ;
2017-11-11;08:38:35.769;0.00813;1.32;0.00617;0.952;23.1;23.5;0.0197;0.0733;0.00844;0.00861;2.22;2;2.73e+03;2.07e+03;2.1e+03;2.64;65.9;0.0163;0.407;3.4e+03;0.648;95.8;0;3.58;0;0;0;0;0;199;38.5;0.000233;0.497;0.000468;0.952;0.0367;0.221;0.834;0.205;0.00188;0.0113; 39280;1;3;0.589;0.624;50;6.11e-05;0.496;0.000123;0.954;0.0214;0.0788;0.729;0.114;0.00416;0.0154;  4640;0;1;0.564;0.549;50;0.0322;1.34;0.024;0.952;23;23.1;0.00676;0.0713;0.00851;0.00857; 51680;735;2179;0.479;0.284;52;7.29e-05;0.538;0.000136;0.952;0.0133;0.0781;0.829;0.159;0.00218;0.0128; 18160;0;0;0.585;0.547;51;64.5;613;65.8;  0%;  3%;  0%;580;73.1;64.5;  3%;  0%;  0%;387;405;406;  2%;  2%;  2%;602;73.1;66.3;  3%;  0%;  0%;0.0491;91.3;0;8.66;0;0;0;0;0;0.0129;100;0;0;0;0;0;0;0;2.52;91.8;0;5.65;0;0;0;0;0;0.0142;100;0;0;0;0;0;0;0;48.4;48.4;52.6;49.6;9.74 ;9.94 ;9.6 ;9.23 ;
2017-11-11;08:38:36.778;0.00776;1.24;0.00626;0.951;8.57;24;0.643;0.281;0.00326;0.00912;0.821;0.808;2.63e+03;2.12e+03;2.12e+03;2.48;62;0.0155;0.388;1.26e+03;0.658;29.7;0.00616;69.6;0;37.5;0;0;0;157;34;0.000295;0.41;0.000721;0.952;0.0438;0.268;0.837;0.195;0.00175;0.0107; 39040;1;1;0.231;0.262;50;6.89e-05;0.418;0.000165;0.86;0.0177;0.1;0.824;0.104;0.00303;0.0172;  4800;0;2;0.205;0.212;50;0.0306;1.28;0.024;0.952;8.49;23.5;0.639;0.283;0.00327;0.00907; 51680;262;796;0.163;0.124;52;7.54e-05;0.43;0.000175;0.877;0.015;0.0889;0.831;0.138;0.00235;0.0139; 18000;0;1;0.222;0.21;51;23.3;207;25.8;  0%;  1%;  0%;193;28.7;23.2;  0%;  0%;  0%;156;170;172;  0%;  0%;  0%;208;28.6;26.2;  1%;  0%;  0%;0.0757;45.1;0.0246;54.8;0;0;0;0;0;0.0191;24.5;0;75.5;0;74.7;0;0;0;2.52;25.3;0;72.2;0;0;0;0;0;0.02;23.9;0;76.1;0;75.2;0;0;0;41.3;36.9;41.7;37.3;8.59 ;8.73 ;8.64 ;8.01 ;
2017-11-11;08:38:37.789;0.00449;0.616;0.0073;0.952;7.81;22.5;0.652;0.267;0.00512;0.0147;0.57;0.399;1.53e+03;2.48e+03;2.12e+03;1.23;30.8;0.00899;0.225;761;0.766;95.9;0.000733;3.35;0;0;0;0;0;200;33.2;0.000226;0.488;0.000464;0.952;0.0341;0.221;0.846;0.207;0.00177;0.0115; 39360;1;1;0.144;0.113;49;0.0012;0.258;0.00464;0.952;0.0152;0.081;0.812;0.119;0.00015;0.000797;  4880;0;1;0.135;0.107;50;0.0165;0.688;0.0239;0.952;7.75;22.1;0.649;0.269;0.00554;0.0158; 51520;110;356;0.143;0.0586;52;7.21e-05;0.543;0.000133;0.952;0.0136;0.0805;0.831;0.152;0.00222;0.0131; 18160;1;0;0.148;0.12;51;17.7;154;18.7;  0%;  0%;  0%;143;17.2;17.7;  0%;  0%;  0%;61.7;66.6;70.6;  0%;  0%;  0%;157;17.2;19.1;  0%;  0%;  0%;0.0487;86.5;0.00293;13.4;0;0;0;0;0;0.487;99.5;0;0;0;0;0;0;0;2.51;97.5;0;0;0;0;0;0;0;0.0139;100;0;0;0;0;0;0;0;48.1;49.2;53.2;50.1;8.23 ;8.53 ;8.5 ;7.91 ;
2017-11-11;08:38:38.797;0.00394;0.536;0.00735;0.952;8.5;20.4;0.584;0.252;0.00636;0.0153;0.613;0.385;1.34e+03;2.49e+03;2.12e+03;1.07;26.8;0.00789;0.197;818;0.772;95.4;0.0027;3.81;0;0;0;0;0;200;33.2;0.000221;0.464;0.000476;0.952;0.0338;0.204;0.834;0.225;0.0018;0.0109; 39120;1;0;0.156;0.11;49;0.00133;0.272;0.00489;0.952;0.0131;0.0731;0.82;0.155;0.000116;0.000648;  5120;0;3;0.146;0.105;50;0.0142;0.592;0.0239;0.952;8.44;20.1;0.579;0.253;0.00704;0.0167; 51520;148;489;0.153;0.057;52;7.15e-05;0.587;0.000122;0.952;0.0128;0.0749;0.829;0.188;0.00212;0.0124; 18080;0;1;0.157;0.113;51;21.2;168;22.1;  0%;  0%;  0%;156;20.6;21.1;  0%;  0%;  0%;63.1;67.7;69.2;  0%;  0%;  0%;166;20.6;22.5;  0%;  0%;  0%;0.05;84.7;0.0108;15.2;0;0;0;0;0;0.514;99.5;0;0;0;0;0;0;0;2.51;97.5;0;0;0;0;0;0;0;0.0128;100;0;0;0;0;0;0;0;47.7;49.2;53;49.9;8.22 ;8.52 ;8.52 ;7.92 ;
2017-11-11;08:38:39.805;0.00363;0.589;0.00616;0.952;8.63;20.7;0.583;0.256;0.00702;0.0169;0.622;0.34;1.23e+03;2.09e+03;2.12e+03;1.18;29.4;0.00726;0.181;813;0.647;93.1;0.0045;6.2;0;0;0;0;0;198;33;0.000219;0.463;0.000473;0.952;0.0337;0.2;0.832;0.227;0.00182;0.0108; 39120;1;0;0.159;0.0974;50;6.23e-05;0.569;0.000109;0.952;0.0123;0.0715;0.828;0.167;0.00233;0.0136;  5120;1;0;0.149;0.0925;50;0.0142;0.592;0.0239;0.952;8.57;20.4;0.579;0.257;0.00715;0.017; 51840;163;478;0.156;0.0508;52;7.75e-05;0.6;0.000129;0.952;0.0141;0.0879;0.84;0.174;0.00215;0.0134; 18000;1;1;0.158;0.0993;51;23.6;169;24.5;  0%;  0%;  0%;157;22.9;23.5;  0%;  0%;  0%;56.3;60.9;61.2;  0%;  0%;  0%;166;22.9;24.9;  0%;  0%;  0%;0.0496;75.1;0.018;24.8;0;0;0;0;0;0.0115;100;0;0;0;0;0;0;0;2.51;97.5;0;0;0;0;0;0;0;0.0136;100;0;0;0;0;0;0;0;46.1;48.7;53;50;8.16 ;8.48 ;8.52 ;7.82 ;
2017-11-11;08:38:40.813;0.00499;0.453;0.011;0.952;8.59;21.2;0.594;0.26;0.00508;0.0125;0.618;0.338;1.69e+03;3.73e+03;2.12e+03;0.906;22.7;0.00998;0.25;808;1.16;77.1;0.00726;21.8;0;0;0;0;0;190;33.1;0.00535;0.27;0.0198;0.952;0.0381;0.232;0.836;0.206;8.4e-05;0.000512; 39280;0;2;0.159;0.0969;50;7.79e-05;0.598;0.00013;0.952;0.0149;0.108;0.862;0.136;0.00226;0.0164;  5200;0;0;0.148;0.092;50;0.0145;0.603;0.024;0.952;8.53;20.7;0.589;0.261;0.00696;0.0169; 51600;149;453;0.154;0.0506;52;7.5e-05;0.587;0.000128;0.952;0.0135;0.0762;0.823;0.19;0.00213;0.012; 18080;0;2;0.157;0.0985;51;23.4;169;24.3;  0%;  0%;  0%;156;22.7;23.3;  0%;  0%;  0%;56.1;60.7;60.6;  0%;  0%;  0%;165;22.7;24.7;  0%;  0%;  0%;2.08;65.3;0.029;32.6;0;0;0;0;0;0.0137;98.6;0;1.35;0;0;0;0;0;2.52;44.3;0;53.1;0;0;0;0;0;0.0134;100;0;0;0;0;0;0;0;46.7;48.5;44.7;49.9;8.19 ;8.51 ;8.52 ;7.86 ;
2017-11-11;08:38:41.821;0.00396;0.643;0.00616;0.952;8.12;21.9;0.628;0.267;0.00606;0.0163;0.588;0.382;1.34e+03;2.09e+03;2.12e+03;1.29;32.1;0.00792;0.198;790;0.647;91.9;0.00152;7.48;0;0;0;0;0;197;33.1;0.000218;0.451;0.000483;0.952;0.0328;0.202;0.837;0.221;0.00178;0.0109; 39440;0;2;0.152;0.111;50;6.17e-05;0.577;0.000107;0.952;0.0118;0.0714;0.835;0.162;0.00225;0.0137;  5200;1;1;0.141;0.104;50;0.0155;0.647;0.0239;0.952;8.07;21.5;0.625;0.268;0.00615;0.0164; 51520;159;438;0.146;0.0558;52;7.06e-05;0.602;0.000117;0.952;0.0122;0.0734;0.834;0.191;0.00204;0.0123; 18080;1;0;0.15;0.112;50;20.1;163;20.8;  0%;  0%;  0%;150;19.4;20;  0%;  0%;  0%;62.4;68.1;67.6;  0%;  0%;  0%;158;19.3;21.2;  0%;  0%;  0%;0.0507;70;0.0061;29.9;0;0;0;0;0;0.0112;100;0;0;0;0;0;0;0;2.51;97.5;0;0;0;0;0;0;0;0.0123;100;0;0;0;0;0;0;0;45.2;48.6;53;49.9;8.22 ;8.5 ;8.52 ;7.86 ;
2017-11-11;08:38:42.829;0.00722;1.16;0.0062;0.952;11.2;28.6;0.608;0.263;0.00459;0.0117;0.959;0.466;2.45e+03;2.1e+03;2.12e+03;2.33;58.2;0.0144;0.361;1.27e+03;0.651;92.3;0.00613;7.07;0;0;0;0;0;198;33.8;0.000223;0.421;0.000529;0.952;0.036;0.214;0.831;0.215;0.00191;0.0113; 39680;1;0;0.252;0.132;50;6.22e-05;0.58;0.000107;0.952;0.0128;0.0727;0.823;0.163;0.00244;0.0138;  5120;1;1;0.24;0.127;50;0.0283;1.18;0.0239;0.952;11.2;28.1;0.604;0.263;0.00466;0.0118; 51680;243;737;0.215;0.0682;51;0.000344;1.34;0.000257;0.952;0.0168;0.162;0.896;0.205;0.000578;0.00556; 18080;0;1;0.252;0.139;51;42.3;247;43.3;  0%;  1%;  0%;234;41.7;42.3;  1%;  0%;  0%;93.9;98.8;101;  0%;  0%;  0%;243;41.6;43.7;  1%;  0%;  0%;0.0555;71.6;0.0245;28.3;0;0;0;0;0;0.0113;100;0;0;0;0;0;0;0;2.51;97.5;0;0;0;0;0;0;0;0.027;100;0;0;0;0;0;0;0;45.6;48.7;53.5;50;8.41 ;8.68 ;8.66 ;8.06 ;
