System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;14:20:28.121;0.00247;0.638;0.00387;0.571;0.614;1.15;0.464;0.0937;0.00073;0.00136;0.452;0.824;841;1.32e+03;2.13e+03;1.28;31.9;0.00494;0.124;800;0.678;25.9;0.00165;73.4;0;39.3;0;0;0;120;27.2;0.00971;0.645;0.015;0.571;0.573;0.896;0.361;0.092;0.000693;0.00109; 51280;221;681;0.0392;0.141;52;6.03e-05;0.405;0.000149;0.571;0.0135;0.0847;0.84;0.0914;0.00263;0.0165; 36880;0;1;0.131;0.202;53;5.91e-05;0.398;0.000149;0.571;0.0138;0.0826;0.833;0.0962;0.00274;0.0164; 22640;0;1;0.132;0.215;55;6.3e-05;0.43;0.000147;0.571;0.0141;0.0817;0.827;0.112;0.00264;0.0152; 36560;0;0;0.15;0.266;53;185;188;193;  0%;  0%;  0%;14.4;10.7;54.4;  0%;  0%;  0%;14.4;54.8;7.68;  0%;  0%;  0%;7.43;10.6;59.3;  0%;  0%;  0%;2.63;29.4;0.00529;68;0;0;0;0;0;0.0261;20.3;0;79.6;0;78.5;0;0;0;0.026;20.2;0;79.7;0;78.7;0;0;0;0.0257;33.6;0.0013;66.4;0;0;0;0;0;31.7;28.7;29.7;30.1;7.04 ;6.58 ;6.82 ;6.77 ;
2017-11-10;14:20:29.137;0.0027;0.686;0.00394;0.571;1.07;1.73;0.381;0.0684;0.00116;0.00188;0.882;1.51;922;1.34e+03;2.13e+03;1.37;34.3;0.0054;0.135;1.68e+03;0.689;32.3;0.00236;67;0;7.17;0;0;0;122;33.8;0.0106;0.696;0.0152;0.571;1.02;1.46;0.299;0.0649;0.00113;0.00161; 51520;465;1367;0.0601;0.279;52;6.89e-05;0.406;0.00017;0.571;0.0156;0.0916;0.83;0.0821;0.00265;0.0156; 32160;2;0;0.276;0.389;53;6.69e-05;0.386;0.000173;0.571;0.0153;0.0894;0.828;0.0815;0.00269;0.0157; 19920;0;3;0.272;0.377;55;8.04e-05;0.418;0.000192;0.571;0.017;0.0909;0.813;0.0973;0.00248;0.0133; 35920;0;1;0.274;0.469;53;377;376;380;  1%;  1%;  1%;46.9;31;113;  0%;  0%;  0%;46.7;105;31.8;  0%;  0%;  0%;31.4;30.9;113;  0%;  0%;  0%;2.66;24.8;0.00946;72.5;0;0;0;0;0;0.0297;36.3;0;63.6;0;0;0;0;0;0.0303;36.6;0;63.4;0;0;0;0;0;0.0337;31.5;0;68.4;0;28.7;0;0;0;31.5;29.9;31.1;30;8.12 ;8.69 ;8.9 ;8.1 ;
2017-11-10;14:20:30.133;0.0115;1.57;0.00731;0.571;28.8;29.9;0.0365;0.115;0.00747;0.00775;2.96;3.34;3.85e+03;2.45e+03;2.1e+03;3.15;78.7;0.023;0.575;4.35e+03;1.28;81.8;0.0093;16.9;0;0;0;0;0;144;39.3;0.00317;0.415;0.00762;0.571;0.285;0.702;0.594;0.151;0.00107;0.00265;  9120;69;209;0.762;1.01;51;0.0405;1.96;0.0207;0.571;26.8;27.4;0.0195;0.12;0.0079;0.00806; 51200;881;2641;0.645;0.428;53;0.00223;2.83;0.00079;0.571;1.66;1.74;0.0436;0.0209;0.00889;0.0093; 48400;27;110;0.776;0.891;55;6.95e-05;0.443;0.000157;0.572;0.014;0.0783;0.821;0.119;0.00241;0.0135; 34720;1;1;0.781;1.01;52;845;134;80.7;  4%;  0%;  0%;523;484;505;  2%;  2%;  2%;769;74.3;57.4;  4%;  0%;  0%;87.9;747;47.4;  0%;  3%;  0%;1.33;54.7;0.0372;43.9;0;0;0;0;0;3.62;87.8;0;8.62;0;0;0;0;0;0.138;91.8;0;8.04;0;0;0;0;0;0.0275;92.8;0;7.13;0;0;0;0;0;34;36.9;36.8;36.2;9.97 ;9.47 ;10.4 ;9.49 ;
2017-11-10;14:20:31.145;0.00684;1.78;0.00385;0.571;21.4;21.8;0.0193;0.0477;0.0092;0.00938;1.86;1.78;2.33e+03;1.31e+03;2.13e+03;3.55;88.8;0.0137;0.342;2.83e+03;0.674;88.3;0.00217;11;0;0;0;0;0;142;38;0.00022;0.411;0.000536;0.572;0.0368;0.208;0.823;0.185;0.00197;0.0111;  8800;6;0;0.48;0.534;52;0.027;1.85;0.0146;0.571;21.3;21.5;0.00601;0.0454;0.00929;0.00935; 51280;613;1770;0.435;0.244;53;5.94e-05;0.482;0.000123;0.572;0.0234;0.0838;0.721;0.115;0.00463;0.0166; 34320;0;7;0.48;0.51;55;6.91e-05;0.561;0.000123;0.571;0.0126;0.0736;0.829;0.155;0.00214;0.0125; 34640;0;1;0.468;0.489;52;533;44.1;44.3;  2%;  0%;  0%;324;311;326;  1%;  1%;  1%;549;44;46.1;  2%;  0%;  0%;45.9;516;44.7;  0%;  2%;  0%;0.0937;67.9;0.00867;32;0;0;0;0;0;2.56;89.2;0;8.29;0;0;0;0;0;0.0215;96.3;0;3.72;0;0;0;0;0;0.0215;100;0;0.0125;0;0;0;0;0;33.9;35.8;36.4;36.3;9.5 ;9.38 ;10.1 ;9.02 ;
2017-11-10;14:20:32.157;0.00509;1.31;0.00387;0.571;9.33;9.84;0.0525;0.124;0.00539;0.00569;1.07;1.04;1.73e+03;1.32e+03;2.13e+03;2.63;65.7;0.0102;0.254;1.71e+03;0.677;86.6;0.00378;12.7;0;0;0;0;0;141;35.6;0.000219;0.432;0.000506;0.571;0.035;0.202;0.827;0.197;0.00189;0.0109;  9200;3;2;0.294;0.313;51;0.0197;1.35;0.0146;0.571;9.26;9.41;0.0157;0.12;0.00552;0.00561; 51280;389;1144;0.188;0.18;53;6.12e-05;0.576;0.000106;0.571;0.0145;0.0737;0.804;0.174;0.00278;0.0142; 34400;0;2;0.299;0.271;54;0.000341;1.36;0.00025;0.571;0.017;0.16;0.894;0.2;0.000587;0.00552; 34800;1;0;0.293;0.272;52;238;44.1;43.8;  1%;  0%;  0%;242;236;239;  1%;  1%;  1%;239;43.8;50.1;  1%;  0%;  0%;50;236;44.2;  0%;  1%;  0%;0.0885;71.3;0.0151;28.6;0;0;0;0;0;2.56;88;0;9.49;0;0;0;0;0;0.0186;96.4;0;3.62;0;0;0;0;0;0.0438;91;0;9;0;0;0;0;0;34;35.4;36.3;35.1;8.99 ;8.8 ;9.35 ;8.46 ;
2017-11-10;14:20:33.170;0.00435;1.13;0.00386;0.571;4.24;17.7;0.76;0.315;0.00286;0.0119;0.365;0.293;1.48e+03;1.31e+03;2.13e+03;2.26;56.4;0.00871;0.218;442;0.675;77.6;0.00564;21.7;0;0;0;0;0;138;32.6;0.000241;0.413;0.000582;0.571;0.0385;0.216;0.822;0.202;0.00188;0.0106;  9040;2;4;0.0941;0.0839;51;0.017;1.17;0.0146;0.571;4.17;17.3;0.759;0.317;0.00288;0.0119; 51280;75;226;0.0867;0.0472;53;7.91e-05;0.545;0.000145;0.571;0.0227;0.113;0.799;0.143;0.00337;0.0168; 34720;1;2;0.0913;0.0832;55;7.57e-05;0.58;0.000131;0.571;0.0134;0.0809;0.834;0.16;0.00209;0.0125; 34240;0;1;0.0925;0.0791;52;86.3;9.89;10.1;  0%;  0%;  0%;46.3;40.2;43.8;  0%;  0%;  0%;83.2;9.82;10.1;  0%;  0%;  0%;9.96;81.9;10.5;  0%;  0%;  0%;0.102;60.9;0.0226;38.9;0;0;0;0;0;2.55;62.2;0;35.2;0;0;0;0;0;0.0254;92.6;0;7.33;0;0;0;0;0;0.0229;94.8;0;5.21;0;0;0;0;0;33.2;33.2;35.9;35.4;8.08 ;8.31 ;8.49 ;7.76 ;
2017-11-10;14:20:34.185;0.00319;0.829;0.00385;0.571;5.18;16.6;0.689;0.285;0.00476;0.0153;0.402;0.257;1.09e+03;1.31e+03;2.13e+03;1.66;41.4;0.00638;0.159;483;0.674;79.8;0.011;19.6;0;0;0;0;0;138;32.8;0.000227;0.412;0.000551;0.571;0.0346;0.215;0.839;0.186;0.00179;0.0111;  9200;3;0;0.102;0.0735;51;0.0124;0.848;0.0146;0.571;5.12;16.3;0.686;0.287;0.00484;0.0154; 51200;75;188;0.103;0.0406;53;6.35e-05;0.572;0.000111;0.571;0.0124;0.0714;0.827;0.164;0.00229;0.0132; 34560;0;4;0.0994;0.0731;54;6.74e-05;0.561;0.00012;0.571;0.0123;0.0746;0.835;0.164;0.00214;0.013; 34320;0;1;0.0978;0.0695;52;102;12.9;13.1;  0%;  0%;  0%;37.7;34.9;39;  0%;  0%;  0%;98.6;13;12.3;  0%;  0%;  0%;12.1;94.1;13.5;  0%;  0%;  0%;0.0964;59.3;0.0439;40.6;0;0;0;0;0;2.56;79.5;0;17.9;0;0;0;0;0;0.0194;91.4;0;8.62;0;0;0;0;0;0.021;88.8;0;11.1;0;0;0;0;0;33;34.6;35.9;35;8.17 ;8.37 ;8.53 ;7.76 ;
2017-11-10;14:20:35.201;0.00281;0.726;0.00387;0.571;5.88;15.5;0.622;0.264;0.00614;0.0162;0.444;0.27;958;1.32e+03;2.13e+03;1.45;36.3;0.00562;0.14;550;0.677;80.2;0.0154;19.1;0;0;0;0;0;139;32.9;0.000253;0.397;0.000637;0.571;0.0441;0.285;0.845;0.151;0.00204;0.0132;  9920;3;4;0.113;0.0768;51;0.0108;0.742;0.0146;0.571;5.81;15.1;0.616;0.267;0.00627;0.0163; 51280;91;231;0.113;0.043;53;6.25e-05;0.568;0.00011;0.571;0.0143;0.0736;0.806;0.161;0.00268;0.0138; 34640;0;2;0.11;0.0773;55;6.7e-05;0.56;0.00012;0.571;0.0135;0.0728;0.814;0.164;0.00237;0.0127; 34400;0;2;0.108;0.0727;52;115;15.4;15.4;  0%;  0%;  0%;43;39.5;43.4;  0%;  0%;  0%;112;15.2;14.7;  0%;  0%;  0%;14.5;106;15.8;  0%;  0%;  0%;0.112;51.6;0.0616;48.2;0;0;0;0;0;2.56;82.7;0;14.8;0;0;0;0;0;0.0192;95.2;0;4.8;0;0;0;0;0;0.0209;91.2;0;8.81;0;0;0;0;0;32.5;34.9;36.3;35;8.21 ;8.42 ;8.58 ;7.68 ;
2017-11-10;14:20:36.217;0.00265;0.687;0.00386;0.571;6.12;15;0.593;0.257;0.00676;0.0166;0.461;0.272;905;1.32e+03;2.13e+03;1.37;34.3;0.0053;0.133;575;0.676;80.1;0.0131;19.2;0;0;0;0;0;139;33;0.000253;0.414;0.000611;0.571;0.0404;0.282;0.857;0.154;0.00188;0.0131; 10000;1;0;0.117;0.077;51;0.0102;0.7;0.0146;0.571;6.06;14.6;0.586;0.26;0.00694;0.0167; 51360;97;311;0.117;0.0438;53;6.09e-05;0.565;0.000108;0.571;0.0135;0.0739;0.817;0.168;0.00261;0.0142; 34960;0;4;0.115;0.0782;55;6.72e-05;0.577;0.000116;0.571;0.0132;0.0726;0.817;0.171;0.00231;0.0127; 34400;0;1;0.112;0.0731;53;120;16.5;16.6;  0%;  0%;  0%;44.6;40.7;44.8;  0%;  0%;  0%;117;16.5;15.8;  0%;  0%;  0%;15.6;110;17;  0%;  0%;  0%;0.107;49;0.0524;50.9;0;0;0;0;0;2.56;86.3;0;11.1;0;0;0;0;0;0.0189;91.1;0;8.84;0;0;0;0;0;0.0204;93.9;0;6.08;0;0;0;0;0;32.2;35.1;36;35.4;8.23 ;8.41 ;8.56 ;7.75 ;
2017-11-10;14:20:37.234;0.0026;0.666;0.0039;0.571;6.23;15;0.584;0.255;0.00703;0.0169;0.469;0.272;886;1.33e+03;2.13e+03;1.33;33.3;0.00519;0.13;584;0.682;71.5;0.0176;27.8;0;0;0;0;0;136;33;0.000288;0.392;0.000734;0.571;0.0407;0.368;0.889;0.126;0.00166;0.0149; 10160;3;0;0.118;0.0764;52;0.00994;0.682;0.0146;0.571;6.16;14.4;0.573;0.259;0.00726;0.017; 51360;97;275;0.12;0.0444;53;7.67e-05;0.545;0.000141;0.571;0.0156;0.0997;0.844;0.146;0.00238;0.0152; 35120;0;3;0.117;0.0785;54;7.79e-05;0.566;0.000138;0.571;0.015;0.0811;0.815;0.168;0.00226;0.0122; 34400;0;1;0.113;0.0729;52;121;17.1;17;  0%;  0%;  0%;45.3;41.1;44.9;  0%;  0%;  0%;119;17.1;16.3;  0%;  0%;  0%;16.2;112;17.4;  0%;  0%;  0%;0.128;45.4;0.0704;54.4;0;0;0;0;0;2.55;62;0;35.5;0;0;0;0;0;0.0247;88.5;0;11.5;0;0;0;0;0;0.0241;90;0;9.96;0;0;0;0;0;31.9;33.2;35.6;34.9;8.18 ;8.47 ;8.62 ;7.78 ;
