System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-11;08:28:02.757;0.00356;0.623;0.00572;0.856;0.929;1.53;0.391;0.0978;0.000767;0.00126;0.759;1.26;1.21e+03;1.95e+03;2.12e+03;1.25;31.1;0.00712;0.178;1.48e+03;0.668;20;0.000933;79.3;0;41.2;0;0;0;139;30.5;0.0138;0.619;0.0222;0.857;0.882;1.19;0.256;0.0798;0.000753;0.00101; 51040;409;1207;0.0531;0.244;50;6.13e-05;0.393;0.000156;0.788;0.0138;0.0838;0.835;0.0913;0.00265;0.0161; 12320;0;0;0.231;0.277;53;5.52e-05;0.38;0.000145;0.814;0.0124;0.0773;0.839;0.0921;0.00265;0.0165; 13280;0;4;0.222;0.298;55;0.000354;1.07;0.00033;0.857;0.0208;0.179;0.884;0.206;0.00069;0.00594; 20080;0;2;0.252;0.436;53;338;326;339;  1%;  1%;  1%;40.6;28.4;96.1;  0%;  0%;  0%;40.5;93.2;23.6;  0%;  0%;  0%;23.4;28.2;101;  0%;  0%;  0%;2.59;25.8;0.00332;71.6;0;0;0;0;0;0.0198;16.6;0;83.4;0;82.3;0;0;0;0.0179;16.5;0;83.4;0;82.6;0;0;0;0.0385;21.1;0.000415;78.9;0;0;0;0;0;37.4;33.3;34.5;33.8;7.69 ;7.52 ;7.78 ;7.54 ;
2017-11-11;08:28:03.768;0.0045;0.79;0.0057;0.857;7.65;8.67;0.118;0.314;0.005;0.00566;1.52;1.92;1.53e+03;1.94e+03;2.13e+03;1.58;39.5;0.009;0.225;2.63e+03;0.665;31.5;0.00342;67.8;0;8.03;0;0;0;144;36.9;0.0178;0.799;0.0223;0.857;7.61;8.41;0.0951;0.319;0.00503;0.00556; 51200;663;1987;0.184;0.329;50;6.57e-05;0.43;0.000153;0.857;0.0128;0.0826;0.845;0.0771;0.00229;0.0148; 12320;0;1;0.45;0.459;53;5.98e-05;0.383;0.000156;0.857;0.0117;0.0821;0.858;0.0754;0.0023;0.0162; 13280;0;2;0.444;0.456;55;8.07e-05;0.408;0.000198;0.821;0.0155;0.0965;0.839;0.105;0.00226;0.0141; 19920;1;0;0.444;0.676;52;483;477;479;  2%;  2%;  2%;75.7;48.5;281;  0%;  0%;  1%;75.7;279;47.7;  0%;  1%;  0%;47.5;48.4;285;  0%;  0%;  1%;2.6;34.8;0.0137;62.6;0;0;0;0;0;0.0178;39.2;0;60.8;0;0;0;0;0;0.0182;24.5;0;75.5;0;0;0;0;0;0.0241;27.5;0;72.5;0;32.1;0;0;0;38.4;35.4;35.2;34.7;8.74 ;9.46 ;9.71 ;8.97 ;
2017-11-11;08:28:04.769;0.0153;1.68;0.0091;0.856;41.4;43.8;0.0537;0.157;0.00805;0.00851;3.82;3.66;5.14e+03;3.06e+03;2.1e+03;3.37;84.2;0.0306;0.766;5.69e+03;1.06;28.7;0.0501;70.1;0;33.7;0;0;0;145;41.4;0.061;1.7;0.0358;0.857;41.4;43.4;0.0476;0.158;0.00807;0.00848; 51040;1175;3645;0.894;0.389;50;9.3e-05;0.482;0.000193;0.831;0.0196;0.141;0.861;0.0634;0.00251;0.018; 12240;0;0;0.984;1.09;53;6.39e-05;0.386;0.000165;0.804;0.0131;0.0881;0.852;0.0813;0.00244;0.0164; 13280;0;2;0.967;1.09;55;8.06e-05;0.418;0.000193;0.788;0.0161;0.101;0.84;0.104;0.00238;0.0149; 19920;0;1;0.978;1.09;52;616;616;622;  3%;  3%;  3%;67.6;69.6;1.15e+03;  0%;  0%;  5%;67.7;1.13e+03;68.5;  0%;  5%;  0%;68.3;69.6;1.15e+03;  0%;  0%;  5%;4.18;45.4;0.201;50.3;0;0;0;0;0;0.0232;24.3;0;75.7;0;28.6;0;0;0;0.0206;24;0;76;0;28.9;0;0;0;0.0244;21.3;0;78.6;0;77.5;0;0;0;41;34.2;35.6;34.3;9.58 ;10.7 ;11.1 ;9.96 ;
2017-11-11;08:28:05.779;0.00709;1.27;0.0056;0.857;10.7;16.7;0.356;0.226;0.00446;0.00693;1.18;1.02;2.41e+03;1.9e+03;2.13e+03;2.53;63.4;0.0142;0.355;1.9e+03;0.653;92.2;0.00138;7.19;0;0;0;0;0;171;35.5;0.0282;1.28;0.022;0.857;10.7;16.5;0.35;0.227;0.00447;0.00688; 50880;408;1289;0.206;0.176;50;6.22e-05;0.54;0.000115;0.857;0.0113;0.0732;0.846;0.111;0.00214;0.0139; 12160;0;0;0.315;0.27;53;5.82e-05;0.511;0.000114;0.857;0.0112;0.0737;0.847;0.111;0.00228;0.0149; 13200;0;3;0.328;0.29;54;7.39e-05;0.553;0.000134;0.857;0.0137;0.0796;0.828;0.146;0.00219;0.0127; 19760;0;1;0.332;0.283;52;254;261;263;  1%;  1%;  1%;51.4;52.9;262;  0%;  0%;  1%;51.3;274;52.8;  0%;  1%;  0%;52.6;52.8;278;  0%;  0%;  1%;2.57;70.3;0.00551;27.2;0;0;0;0;0;0.0134;100;0;0;0;0;0;0;0;0.0133;98.4;0;1.59;0;0;0;0;0;0.0156;100;0;0;0;0;0;0;0;42.3;42.1;43.4;42.7;8.59 ;9.1 ;9.38 ;8.43 ;
2017-11-11;08:28:06.787;0.00466;0.83;0.00561;0.857;6.6;23.5;0.72;0.289;0.00419;0.0149;0.493;0.345;1.58e+03;1.9e+03;2.12e+03;1.66;41.5;0.00931;0.233;639;0.655;91.8;0.00224;7.49;0;0;0;0;0;170;32.8;0.0184;0.834;0.0221;0.857;6.56;23.3;0.719;0.29;0.0042;0.0149; 50800;150;384;0.121;0.0454;50;6.22e-05;0.572;0.000109;0.857;0.0136;0.0729;0.814;0.154;0.00258;0.0138; 12320;0;3;0.124;0.1;53;5.88e-05;0.556;0.000106;0.857;0.0122;0.0707;0.828;0.158;0.00245;0.0142; 13200;0;3;0.124;0.101;55;7.22e-05;0.59;0.000122;0.857;0.0143;0.0743;0.807;0.188;0.00234;0.0122; 19920;0;0;0.124;0.0987;52;54.9;55.1;53.8;  0%;  0%;  0%;14.1;14.3;131;  0%;  0%;  0%;14;130;14.4;  0%;  0%;  0%;14.1;14.2;129;  0%;  0%;  0%;2.58;67.4;0.00898;30;0;0;0;0;0;0.0127;100;0;0;0;0;0;0;0;0.0123;100;0;0;0;0;0;0;0;0.0143;100;0;0;0;0;0;0;0;41.8;41.9;43.7;42.4;8.07 ;8.42 ;8.54 ;7.79 ;
2017-11-11;08:28:07.795;0.00348;0.622;0.0056;0.857;7.92;19.4;0.592;0.251;0.00671;0.0165;0.576;0.393;1.18e+03;1.9e+03;2.12e+03;1.24;31.1;0.00696;0.174;781;0.653;91;0.00192;8.32;0;0;0;0;0;169;33.1;0.0137;0.622;0.0221;0.857;7.88;19.2;0.59;0.252;0.00678;0.0165; 50960;151;454;0.142;0.054;50;6e-05;0.574;0.000105;0.857;0.0132;0.0716;0.815;0.159;0.0026;0.0141; 12400;2;0;0.145;0.112;53;6.45e-05;0.597;0.000108;0.857;0.0126;0.0706;0.822;0.165;0.0023;0.0129; 13200;1;2;0.145;0.115;55;7.27e-05;0.592;0.000123;0.857;0.0145;0.0769;0.811;0.189;0.00236;0.0125; 20080;0;3;0.145;0.112;52;68.4;69.5;67.8;  0%;  0%;  0%;18.4;18.5;156;  0%;  0%;  0%;18.2;156;18.5;  0%;  0%;  0%;18.2;18.4;154;  0%;  0%;  0%;2.57;64.2;0.00768;33.2;0;0;0;0;0;0.0122;100;0;0;0;0;0;0;0;0.0126;99.9;0;0.041;0;0;0;0;0;0.0143;100;0;0;0;0;0;0;0;41.2;41.9;43.6;42.5;8.11 ;8.5 ;8.62 ;7.88 ;
2017-11-11;08:28:08.805;0.00315;0.553;0.0057;0.856;8.34;18.3;0.544;0.24;0.0078;0.0171;0.58;0.376;1.07e+03;1.93e+03;2.12e+03;1.11;27.6;0.00631;0.158;822;0.666;24.8;0.00503;74.5;0;33.6;0;0;0;140;33.1;0.0124;0.556;0.0223;0.857;8.3;18;0.54;0.242;0.00789;0.0171; 51120;170;505;0.149;0.0561;50;6.21e-05;0.41;0.000152;0.81;0.013;0.0815;0.84;0.118;0.00247;0.0155; 12160;0;1;0.145;0.107;52;6.61e-05;0.42;0.000157;0.814;0.0132;0.0808;0.836;0.122;0.00237;0.0144; 13200;0;2;0.147;0.112;55;7.51e-05;0.425;0.000177;0.821;0.0146;0.0867;0.832;0.142;0.00229;0.0136; 20240;1;0;0.139;0.101;52;69.9;72.6;71.1;  0%;  0%;  0%;20;20.2;162;  0%;  0%;  0%;19.8;164;20.2;  0%;  0%;  0%;20;20.1;163;  0%;  0%;  0%;2.61;27.9;0.0201;69.5;0;0;0;0;0;0.0187;24.8;0;75.2;0;28.5;0;0;0;0.0193;24.6;0;75.4;0;28.6;0;0;0;0.0215;22;0;78;0;77;0;0;0;37.3;33.8;35.3;33.9;8.2 ;8.52 ;8.63 ;7.78 ;
2017-11-11;08:28:09.815;0.00321;0.572;0.00561;0.857;8.31;18.7;0.555;0.248;0.00762;0.0171;0.601;0.359;1.09e+03;1.91e+03;2.12e+03;1.14;28.6;0.00642;0.161;800;0.655;89;0.0053;10.3;0;0;0;0;0;169;33.2;0.0126;0.573;0.0221;0.857;8.27;18.5;0.552;0.249;0.0077;0.0172; 51200;135;414;0.148;0.0508;50;5.87e-05;0.52;0.000113;0.857;0.0111;0.0723;0.847;0.109;0.00222;0.0145; 12160;0;0;0.149;0.101;52;6.74e-05;0.573;0.000118;0.857;0.0117;0.0745;0.844;0.113;0.00204;0.013; 13200;0;3;0.151;0.104;54;7.21e-05;0.545;0.000132;0.857;0.0134;0.0787;0.83;0.145;0.00219;0.0129; 20080;0;2;0.152;0.103;52;62.5;64.3;63.7;  0%;  0%;  0%;21.2;21.4;159;  0%;  0%;  0%;21.1;161;21.6;  0%;  0%;  0%;21.3;21.3;161;  0%;  0%;  0%;2.58;57.6;0.0212;39.8;0;0;0;0;0;0.0132;100;0;0;0;0;0;0;0;0.0137;100;0;0;0;0;0;0;0;0.0154;98.6;0;1.42;0;0;0;0;0;40.4;42;43.8;42.5;8.2 ;8.52 ;8.67 ;7.8 ;
2017-11-11;08:28:10.827;0.00339;0.604;0.00561;0.857;8.18;19.5;0.581;0.256;0.0071;0.017;0.593;0.33;1.15e+03;1.91e+03;2.12e+03;1.21;30.2;0.00678;0.169;777;0.654;87.5;0.00448;11.8;0;0;0;0;0;168;33.2;0.0134;0.604;0.0221;0.857;8.15;19.3;0.579;0.257;0.00717;0.017; 51040;142;441;0.147;0.0477;49;5.84e-05;0.57;0.000103;0.857;0.0119;0.0687;0.826;0.157;0.00241;0.0138; 12240;0;1;0.147;0.0933;53;6.72e-05;0.603;0.000111;0.857;0.012;0.0718;0.833;0.154;0.0021;0.0126; 13200;0;2;0.148;0.0945;54;7.07e-05;0.588;0.00012;0.857;0.0139;0.0748;0.815;0.183;0.0023;0.0124; 20240;0;0;0.151;0.0947;52;57.7;58.3;58.5;  0%;  0%;  0%;21.7;22;155;  0%;  0%;  0%;21.5;157;22.2;  0%;  0%;  0%;22;21.9;158;  0%;  0%;  0%;2.58;52.5;0.0179;44.9;0;0;0;0;0;0.012;100;0;0;0;0;0;0;0;0.013;97.5;0;2.47;0;0;0;0;0;0.014;100;0;0;0;0;0;0;0;40.2;42.2;43.3;42.7;8.16 ;8.55 ;8.74 ;7.78 ;
2017-11-11;08:28:11.835;0.00379;0.674;0.00562;0.857;7.75;21.1;0.632;0.268;0.00604;0.0164;0.565;0.32;1.28e+03;1.9e+03;2.12e+03;1.35;33.7;0.00758;0.189;735;0.656;89.3;0.00366;9.99;0;0;0;0;0;168;32.9;0.0149;0.676;0.0221;0.857;7.71;20.8;0.63;0.269;0.00609;0.0165; 51040;109;360;0.139;0.0462;50;6.58e-05;0.558;0.000118;0.857;0.014;0.0763;0.817;0.156;0.00251;0.0137; 12400;0;3;0.139;0.0903;53;6.5e-05;0.537;0.000121;0.857;0.0144;0.075;0.808;0.161;0.00262;0.0136; 13280;0;3;0.142;0.0912;55;7.59e-05;0.574;0.000132;0.857;0.0147;0.0752;0.804;0.194;0.00229;0.0117; 20080;0;1;0.145;0.0925;52;54.5;55;56;  0%;  0%;  0%;20.2;20.5;146;  0%;  0%;  0%;20;149;21;  0%;  0%;  0%;20.7;20.4;152;  0%;  0%;  0%;2.58;58.5;0.0146;38.9;0;0;0;0;0;0.0138;99.9;0;0.0527;0;0;0;0;0;0.0141;99;0;1.03;0;0;0;0;0;0.0154;100;0;0;0;0;0;0;0;40.7;41.9;43.4;42.5;8.07 ;8.44 ;8.64 ;7.77 ;
