System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-11;08:15:36.075;0.00367;0.647;0.00568;0.856;0.872;1.32;0.338;0.0933;0.000699;0.00106;0.811;1.68;1.25e+03;1.93e+03;2.12e+03;1.29;32.3;0.00734;0.184;1.45e+03;0.663;21.8;0.00454;77.5;0;29.4;0;0;0;139;31;0.000251;0.379;0.000662;0.84;0.0495;0.196;0.748;0.216;0.00233;0.00921; 40320;1;3;0.249;0.464;50;0.0143;0.66;0.0217;0.857;0.793;0.928;0.146;0.0592;0.000653;0.000765; 50960;436;1311;0.0485;0.278;51;6.97e-05;0.378;0.000184;0.785;0.0136;0.1;0.864;0.0878;0.0023;0.0169;  8640;0;4;0.247;0.432;55;7.47e-05;0.367;0.000203;0.857;0.0158;0.0922;0.829;0.126;0.00249;0.0145; 14080;1;1;0.267;0.502;52;107;11.6;6;  0%;  0%;  0%;363;367;355;  1%;  1%;  1%;104;11.5;8.91;  0%;  0%;  0%;8.66;104;6.92;  0%;  0%;  0%;0.0788;27.4;0.0172;72.5;0;34.3;0;0;0;2.53;16.6;0;80.9;0;0;0;0;0;0.0235;15.6;0;84.4;0;83.3;0;0;0;0.0237;27.8;0.00101;72.1;0;0;0;0;0;35.6;35.1;34;34.7;7.99 ;7.52 ;7.84 ;7.62 ;
2017-11-11;08:15:37.085;0.00491;0.878;0.0056;0.857;8.93;9.45;0.0544;0.0392;0.00535;0.00565;1.67;2.3;1.67e+03;1.9e+03;2.13e+03;1.76;43.9;0.00983;0.246;2.74e+03;0.654;59;0.0384;40.3;0;16.3;0;0;0;156;37.3;0.0126;1.06;0.0119;0.857;8.33;8.56;0.0272;0.0308;0.0078;0.00802; 51440;408;1202;0.356;0.495;51;0.00696;0.682;0.0102;0.857;0.58;0.718;0.192;0.117;0.000981;0.00121; 35120;303;911;0.347;0.512;51;6.07e-05;0.441;0.000138;0.841;0.0115;0.0794;0.856;0.0777;0.00222;0.0154;  8480;0;2;0.48;0.567;55;7.89e-05;0.459;0.000172;0.829;0.0153;0.091;0.832;0.113;0.00229;0.0136; 13920;0;2;0.483;0.724;52;327;259;259;  1%;  1%;  1%;290;281;518;  1%;  1%;  2%;109;261;41.4;  0%;  1%;  0%;41.2;102;254;  0%;  0%;  1%;1.39;55.7;0.154;42.8;0;0;0;0;0;1.19;60.1;0;38.8;0;0;0;0;0;0.0164;61.4;0;38.6;0;32;0;0;0;0.0207;58.7;0;41.3;0;33.3;0;0;0;39.7;38.9;39.2;38.1;9.13 ;9.38 ;9.71 ;9.08 ;
2017-11-11;08:15:38.083;0.0153;1.55;0.00988;0.857;37.7;38.5;0.0211;0.0486;0.00732;0.00747;3.82;3.7;5.15e+03;3.32e+03;2.1e+03;3.11;77.6;0.0307;0.767;5.65e+03;1.15;88.6;0.00137;10.2;0;0;0;0;0;172;41.5;0.0612;1.57;0.039;0.857;37.6;38.3;0.0164;0.0481;0.00733;0.00745; 51440;1220;3621;0.903;0.421;50;6.04e-05;0.385;0.000157;0.858;0.0246;0.0812;0.697;0.104;0.00485;0.016;  4720;0;3;0.985;1.09;51;5.96e-05;0.398;0.00015;0.857;0.0129;0.0751;0.828;0.116;0.00258;0.015;  8480;0;6;0.965;1.06;55;7.55e-05;0.435;0.000174;0.857;0.014;0.0807;0.826;0.14;0.00222;0.0127; 14000;0;2;0.966;1.13;52;624;615;604;  3%;  3%;  3%;73.2;64.2;1.17e+03;  0%;  0%;  6%;73.1;1.12e+03;63.8;  0%;  5%;  0%;63.6;64.2;1.12e+03;  0%;  0%;  5%;4.55;56.2;0.00547;39.2;0;0;0;0;0;0.0183;100;0;0;0;0;0;0;0;0.0174;100;0;0;0;0;0;0;0;0.0203;98.3;0;1.69;0;0;0;0;0;42.5;42.6;44;43.1;9.68 ;10.9 ;11 ;9.95 ;
2017-11-11;08:15:39.091;0.00731;1.3;0.00561;0.857;9.88;19.2;0.485;0.252;0.00399;0.00774;1.06;1.03;2.48e+03;1.9e+03;2.12e+03;2.61;65.1;0.0146;0.366;1.62e+03;0.655;92.7;0.00296;6.62;0;0;0;0;0;170;35.2;0.0291;1.31;0.0221;0.857;9.84;19;0.481;0.252;0.004;0.0077; 51360;358;1095;0.196;0.157;50;5.97e-05;0.569;0.000105;0.857;0.0132;0.0716;0.816;0.155;0.00261;0.0142;  4720;2;0;0.292;0.282;51;5.76e-05;0.538;0.000107;0.857;0.0122;0.0694;0.825;0.16;0.00249;0.0142;  8560;0;5;0.287;0.253;54;7.52e-05;0.542;0.000139;0.857;0.0145;0.0774;0.812;0.172;0.00228;0.0122; 14000;0;2;0.286;0.336;52;227;226;218;  1%;  1%;  1%;41.8;31.2;249;  0%;  0%;  1%;41.7;241;34.1;  0%;  1%;  0%;33.9;31.1;243;  0%;  0%;  1%;2.58;78.4;0.0118;19;0;0;0;0;0;0.0123;100;0;0;0;0;0;0;0;0.0125;96.7;0;3.33;0;0;0;0;0;0.0162;95.8;0;4.16;0;0;0;0;0;43.2;42.2;42.8;42.3;8.53 ;9.08 ;9.15 ;8.41 ;
2017-11-11;08:15:40.099;0.00454;0.808;0.00562;0.857;6.91;23.4;0.704;0.289;0.00449;0.0152;0.513;0.312;1.54e+03;1.91e+03;2.12e+03;1.62;40.4;0.00909;0.227;641;0.656;89.7;0.00417;9.6;0;0;0;0;0;168;33;0.018;0.812;0.0221;0.857;6.87;23.1;0.703;0.29;0.00451;0.0152; 51600;93;232;0.131;0.0455;50;7.23e-05;0.57;0.000127;0.857;0.0193;0.0919;0.79;0.145;0.00316;0.015;  4880;0;2;0.127;0.0893;51;6.44e-05;0.529;0.000122;0.857;0.013;0.0722;0.821;0.168;0.00237;0.0132;  8480;0;3;0.125;0.0884;54;8.01e-05;0.583;0.000138;0.857;0.0141;0.0761;0.815;0.194;0.00208;0.0112; 14080;0;1;0.129;0.0884;52;49.1;47.9;48.4;  0%;  0%;  0%;16.3;16.7;133;  0%;  0%;  0%;16.1;130;16.7;  0%;  0%;  0%;16.5;16.7;133;  0%;  0%;  0%;2.58;64;0.0167;33.4;0;0;0;0;0;0.0148;100;0;0;0;0;0;0;0;0.0142;95;0;4.99;0;0;0;0;0;0.016;100;0;0;0;0;0;0;0;41.3;42.2;42.4;42.5;8.14 ;8.57 ;8.48 ;7.76 ;
2017-11-11;08:15:41.111;0.00366;0.65;0.00562;0.857;7.99;20.4;0.609;0.262;0.00643;0.0164;0.581;0.333;1.24e+03;1.91e+03;2.12e+03;1.3;32.5;0.00732;0.183;750;0.656;89.5;0.00548;9.83;0;0;0;0;0;169;33.3;0.0144;0.652;0.0222;0.857;7.95;20.2;0.607;0.263;0.00648;0.0165; 51360;115;340;0.147;0.0501;50;5.97e-05;0.564;0.000106;0.857;0.0133;0.0716;0.814;0.16;0.00263;0.0141;  4960;0;0;0.144;0.0937;51;5.77e-05;0.551;0.000105;0.857;0.012;0.0687;0.826;0.165;0.00244;0.014;  8560;0;5;0.143;0.0946;55;7.78e-05;0.617;0.000126;0.857;0.0148;0.0779;0.81;0.188;0.00224;0.0118; 14160;0;2;0.147;0.0945;52;56.3;56.3;57;  0%;  0%;  0%;20.2;20.9;152;  0%;  0%;  0%;20.1;151;20.8;  0%;  0%;  0%;20.6;20.8;154;  0%;  0%;  0%;2.58;59.6;0.0219;37.8;0;0;0;0;0;0.0123;100;0;0;0;0;0;0;0;0.0122;98.4;0;1.58;0;0;0;0;0;0.0147;100;0;0;0;0;0;0;0;40.7;42.3;43.3;42.6;8.22 ;8.6 ;8.63 ;7.84 ;
2017-11-11;08:15:42.119;0.00348;0.618;0.00563;0.857;8.2;19.5;0.58;0.258;0.00696;0.0166;0.594;0.33;1.18e+03;1.91e+03;2.12e+03;1.24;30.9;0.00695;0.174;770;0.657;93;0.00363;6.32;0;0;0;0;0;170;33.3;0.0134;0.61;0.022;0.857;8.16;19.2;0.576;0.259;0.00717;0.0169; 51440;132;399;0.15;0.0503;50;5.86e-05;0.56;0.000105;0.857;0.0126;0.069;0.817;0.167;0.00254;0.0139;  4880;0;1;0.147;0.0923;51;5.77e-05;0.538;0.000107;0.857;0.0122;0.0703;0.827;0.164;0.00249;0.0144;  8480;1;1;0.146;0.0936;54;0.000349;1.35;0.000259;0.857;0.0178;0.162;0.89;0.208;0.000603;0.0055; 14640;0;3;0.151;0.0934;52;56.7;57.1;57.7;  0%;  0%;  0%;21.4;22.2;156;  0%;  0%;  0%;21.3;154;22;  0%;  0%;  0%;21.8;22;158;  0%;  0%;  0%;2.57;77.1;0.0145;20.3;0;0;0;0;0;0.0122;100;0;0;0;0;0;0;0;0.0125;95;0;4.98;0;0;0;0;0;0.0302;100;0;0;0;0;0;0;0;42.5;42.2;42.4;42.5;8.22 ;8.6 ;8.6 ;7.83 ;
2017-11-11;08:15:43.127;0.00415;0.49;0.00846;0.857;8.22;19.4;0.577;0.259;0.00585;0.0138;0.595;0.329;1.4e+03;2.87e+03;2.12e+03;0.98;24.5;0.0083;0.207;773;0.987;93.1;0.00413;5.93;0;0;0;0;0;170;33.2;0.0134;0.605;0.0221;0.857;8.18;19.2;0.574;0.26;0.00723;0.017; 51280;116;386;0.15;0.0501;50;6.01e-05;0.563;0.000107;0.857;0.0141;0.072;0.804;0.163;0.00277;0.0142;  4960;0;0;0.147;0.0918;51;5.78e-05;0.535;0.000108;0.857;0.0119;0.0701;0.83;0.166;0.00244;0.0143;  8640;0;4;0.147;0.0938;54;0.00312;0.27;0.0116;0.857;0.0142;0.0754;0.812;0.188;5.37e-05;0.000285; 14560;1;0;0.151;0.0932;51;56.8;57.6;57.8;  0%;  0%;  0%;21.6;22.2;156;  0%;  0%;  0%;21.5;156;22.2;  0%;  0%;  0%;21.9;22.1;158;  0%;  0%;  0%;2.57;78.7;0.0165;18.7;0;0;0;0;0;0.0125;100;0;0;0;0;0;0;0;0.0126;95;0;4.99;0;0;0;0;0;1.35;98.6;0;0;0;0;0;0;0;42.5;42.2;42.4;43.3;8.22 ;8.62 ;8.52 ;7.8 ;
2017-11-11;08:15:44.136;0.00878;0.319;0.0275;0.857;8.04;20.2;0.602;0.265;0.0027;0.0068;0.584;0.327;2.97e+03;9.32e+03;2.12e+03;0.638;16;0.0176;0.439;756;3.21;86.9;0.0078;9.85;0;0;0;0;0;171;33.3;0.0172;0.508;0.0338;0.857;7.99;20;0.6;0.266;0.00549;0.0137; 51440;147;402;0.148;0.0501;50;0.00307;0.27;0.0113;0.857;0.0167;0.0901;0.814;0.16;6.44e-05;0.000347;  4960;1;2;0.144;0.0913;51;8.39e-05;0.621;0.000135;0.857;0.0146;0.0771;0.811;0.174;0.00206;0.0108;  8480;0;3;0.145;0.0933;54;0.0148;0.228;0.0647;0.857;0.0166;0.084;0.802;0.2;1.33e-05;6.72e-05; 14720;1;5;0.147;0.0919;52;55.9;56.9;56.5;  0%;  0%;  0%;21;21.4;152;  0%;  0%;  0%;20.9;153;21.6;  0%;  0%;  0%;21.3;21.3;154;  0%;  0%;  0%;3.94;62.1;0.0312;33.9;0;0;0;0;0;1.32;98.7;0;0;0;0;0;0;0;0.0158;95.1;0;4.85;0;0;0;0;0;7.55;91.8;0;0.697;0;0;0;0;0;41.5;42.9;42.5;44.1;8.25 ;8.61 ;8.61 ;7.81 ;
2017-11-11;08:15:45.147;0.0233;0.27;0.0863;0.857;7.2;23.7;0.696;0.284;0.000909;0.00299;0.529;0.304;7.92e+03;2.93e+04;2.12e+03;0.54;13.5;0.0466;1.17;672;10.1;72.7;0.00742;17.2;0;0;0;0;0;174;33.1;0.0176;0.794;0.0222;0.857;7.16;23.4;0.694;0.285;0.00478;0.0156; 51200;142;431;0.133;0.0455;50;0.0294;0.229;0.128;0.857;0.0165;0.0765;0.784;0.166;6.6e-06;3.06e-05;  4960;0;4;0.131;0.0854;51;0.0461;0.237;0.194;0.857;0.0135;0.0733;0.816;0.155;3.43e-06;1.87e-05;  8480;0;8;0.132;0.0877;54;7.88e-05;0.546;0.000144;0.857;0.0148;0.081;0.817;0.168;0.00222;0.0121; 14880;0;2;0.133;0.0853;52;49.5;50.6;49.8;  0%;  0%;  0%;18.2;18.5;136;  0%;  0%;  0%;18.1;138;18.7;  0%;  0%;  0%;18.5;18.5;137;  0%;  0%;  0%;2.59;50.4;0.0297;47;0;0;0;0;0;15;85;0;0;0;0;0;0;0;22.7;62.3;0;15;0;0;0;0;0;0.0168;93.3;0;6.7;0;0;0;0;0;39.9;45.1;47;42.1;8.17 ;8.61 ;8.6 ;7.75 ;
