System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;13:57:04.030;0.00524;0.572;0.00915;1.4;1.32;1.8;0.266;0.0794;0.000746;0.00102;1.3;2.66;1.78e+03;3.1e+03;2.12e+03;1.14;28.6;0.0105;0.262;2.4e+03;0.654;18.3;0.00118;81.1;0;19.3;0;0;0;229;40.9;0.000283;0.318;0.000889;1.25;0.0548;0.231;0.762;0.214;0.00229;0.00961; 22400;4;0;0.412;0.698;53;0.0205;0.581;0.0353;1.41;1.24;1.38;0.105;0.0472;0.000711;0.000795; 50480;698;2181;0.0583;0.415;54;6.81e-05;0.337;0.000202;1.05;0.0146;0.094;0.845;0.106;0.00253;0.0163;  2240;0;2;0.411;0.747;55;7.53e-05;0.371;0.000203;1.25;0.0179;0.096;0.814;0.12;0.0028;0.015;  3520;0;3;0.42;0.801;56;170;23.1;17.8;  0%;  0%;  0%;593;595;598;  3%;  3%;  3%;168;23.2;10.6;  0%;  0%;  0%;10.4;169;19.1;  0%;  0%;  0%;0.071;18.2;0.00473;81.7;0;38.7;0;0;0;2.51;13.4;0;84.1;0;0;0;0;0;0.0192;13.8;0;86.2;0;38.3;0;0;0;0.0163;27.6;0;72.4;0;0;0;0;0;55.2;59.3;58.1;56.9;10.1 ;10.4 ;10.1 ;10.4 ;
2017-11-10;13:57:05.043;0.0224;0.573;0.0392;1.26;39.7;44.5;0.109;0.16;0.00521;0.00584;4.62;5.29;7.62e+03;1.33e+04;2.12e+03;1.15;28.6;0.0449;1.12;6.87e+03;3.11;7.33;0.00587;89.6;0;58.5;0;0;0;226;46.6;0.0134;0.424;0.0315;1.24;3.75;4.95;0.242;0.125;0.00332;0.00437; 31120;130;435;1.22;1.45;53;0.0484;1.08;0.045;1.31;30.4;32.5;0.0636;0.18;0.00741;0.00791; 50240;1202;3612;1.01;0.914;54;0.0139;0.361;0.0384;1.24;2.94;3.92;0.25;0.111;0.0025;0.00333; 32960;126;352;1.21;1.47;55;0.0141;0.338;0.0418;1.24;2.56;3.16;0.189;0.0452;0.00213;0.00263; 33360;123;370;1.18;1.45;56;1.02e+03;242;252;  5%;  1%;  1%;792;789;856;  4%;  4%;  4%;967;253;241;  4%;  1%;  1%;253;951;258;  1%;  4%;  1%;2.54;9.54;0.0228;87.9;0;63.2;0;0;0;3.45;14.6;0.000739;82;0;4.39;0;0;0;3.09;3.98;0;92.9;0;77.1;0;0;0;3.37;1.18;0;95.4;0;89.2;0;0;0;55.3;61.4;57.5;51.6;11.6 ;11.9 ;12.3 ;10.7 ;
2017-11-10;13:57:06.041;0.00957;1.13;0.00851;1.31;13.5;27.1;0.501;0.258;0.00421;0.00845;1.4;1.39;3.21e+03;2.86e+03;2.1e+03;2.25;56.3;0.0191;0.479;2.13e+03;0.651;50.3;0.00522;49;0;18.7;0;0;0;255;41.8;0.000234;0.33;0.000707;1.25;0.0341;0.184;0.815;0.225;0.00174;0.00939; 31280;3;2;0.381;0.349;53;0.0379;1.15;0.033;1.31;13.5;26.8;0.497;0.259;0.00423;0.00841; 50240;551;1596;0.268;0.213;53;5.98e-05;0.372;0.00016;1.22;0.0159;0.0866;0.816;0.0686;0.00317;0.0173; 33440;0;4;0.384;0.41;54;7.25e-05;0.377;0.000193;1.2;0.0213;0.0935;0.772;0.0865;0.0035;0.0154; 34080;0;2;0.368;0.422;55;333;48.2;43.8;  1%;  0%;  0%;297;285;293;  1%;  1%;  1%;340;48.4;36.3;  1%;  0%;  0%;36;323;44.4;  0%;  1%;  0%;0.0568;23.2;0.0209;76.8;0;0;0;0;0;2.52;54.9;0;42.6;0;0;0;0;0;0.0132;62;0;38;0;37.3;0;0;0;0.016;61.2;0;38.8;0;37.6;0;0;0;57;68;67.7;62.5;10.9 ;10.6 ;10.5 ;9.84 ;
2017-11-10;13:57:07.049;0.00735;0.479;0.0153;1.24;9.73;29.2;0.666;0.276;0.0039;0.0117;0.691;0.398;2.49e+03;5.21e+03;2.12e+03;0.958;24;0.0147;0.367;908;1.24;74.8;0.0882;23.9;0;0;0;0;0;282;41.5;0.000309;0.379;0.000814;1.26;0.0616;0.384;0.839;0.146;0.00235;0.0146; 32640;1;1;0.177;0.121;53;0.0213;0.687;0.031;1.24;9.64;28.6;0.663;0.279;0.00533;0.0158; 50240;213;622;0.173;0.0565;53;5.93e-05;0.502;0.000118;1.24;0.0139;0.0762;0.817;0.12;0.00277;0.0151; 33360;0;6;0.171;0.113;54;0.0077;0.262;0.0294;1.24;0.016;0.0789;0.797;0.131;2.45e-05;0.000121; 34160;0;3;0.17;0.108;54;192;24.7;25.1;  0%;  0%;  0%;66.2;63.3;72.9;  0%;  0%;  0%;184;24.8;24.5;  0%;  0%;  0%;24.2;181;25.7;  0%;  0%;  0%;0.0648;14.9;0.352;84.7;0;0;0;0;0;2.51;89.2;0;8.25;0;0;0;0;0;0.00954;100;0;0.0307;0;0;0;0;0;2.37;95.1;0;2.54;0;0;0;0;0;56.1;74.5;77.9;73.1;10.5 ;10.5 ;10.4 ;10.1 ;
2017-11-10;13:57:08.057;0.00452;0.564;0.00802;1.24;10.5;25.6;0.591;0.258;0.00685;0.0167;0.74;0.402;1.53e+03;2.72e+03;2.12e+03;1.13;28.2;0.00905;0.226;984;0.648;74.4;0.00699;24.9;0;0;0;0;0;280;41.7;0.000265;0.351;0.000755;1.27;0.0397;0.295;0.866;0.157;0.00177;0.0132; 32720;0;1;0.186;0.118;52;0.0177;0.569;0.0311;1.24;10.4;25.2;0.587;0.26;0.00695;0.0168; 50240;221;641;0.186;0.059;52;5.85e-05;0.538;0.000109;1.24;0.0136;0.0709;0.808;0.162;0.00275;0.0143; 33360;0;6;0.184;0.114;54;7.03e-05;0.536;0.000131;1.24;0.0165;0.0778;0.788;0.16;0.00277;0.0131; 34320;0;4;0.183;0.11;54;203;28.3;28.6;  1%;  0%;  0%;71.5;69.1;75.3;  0%;  0%;  0%;199;28.4;28.1;  1%;  0%;  0%;27.9;196;29;  0%;  1%;  0%;0.0596;10.7;0.028;89.2;0;0;0;0;0;2.51;92.8;0;4.68;0;0;0;0;0;0.00878;100;0;0;0;0;0;0;0;0.0106;94.2;0;5.74;0;0;0;0;0;55.4;75;78.1;71;10.5 ;10.6 ;10.5 ;10.1 ;
2017-11-10;13:57:09.065;0.00444;0.551;0.00805;1.24;10.6;25.3;0.583;0.26;0.00703;0.0169;0.745;0.4;1.5e+03;2.73e+03;2.12e+03;1.1;27.5;0.00887;0.222;991;0.65;66.9;0.46;32;0;0;0;0;0;273;41.7;0.000258;0.319;0.000809;1.26;0.0361;0.274;0.868;0.169;0.00165;0.0125; 32400;0;0;0.186;0.116;52;0.0173;0.557;0.0311;1.24;10.5;24.9;0.579;0.261;0.00715;0.017; 50160;222;664;0.188;0.0591;52;6.89e-05;0.511;0.000135;1.24;0.0157;0.0867;0.819;0.151;0.00268;0.0149; 33360;0;2;0.187;0.114;53;7.75e-05;0.51;0.000152;1.24;0.0175;0.0839;0.791;0.158;0.00267;0.0128; 34640;0;4;0.184;0.11;54;202;28.9;28.9;  1%;  0%;  0%;72.9;69.6;74.6;  0%;  0%;  0%;203;28.9;28.7;  1%;  0%;  0%;28.4;196;29.2;  0%;  1%;  0%;0.0642;12.1;0.0564;87.8;0;0;0;0;0;2.51;75.9;0;21.6;0;0;0;0;0;0.0109;92.7;0;7.32;0;0;0;0;0;0.0123;87;1.79;11.2;0;0;0;0;0;55.8;71.4;76.5;69.5;10.5 ;10.6 ;10.5 ;10.1 ;
2017-11-10;13:57:10.073;0.00485;0.604;0.00803;1.24;10.2;26.9;0.622;0.271;0.00618;0.0164;0.718;0.413;1.64e+03;2.72e+03;2.12e+03;1.21;30.2;0.0097;0.243;961;0.648;65.1;0.0104;34.2;0;0;0;0;0;272;41.8;0.000249;0.329;0.000757;1.26;0.0377;0.267;0.859;0.171;0.00178;0.0127; 32640;1;2;0.177;0.118;52;0.019;0.612;0.0311;1.24;10.1;26.5;0.619;0.273;0.00626;0.0164; 50160;210;612;0.181;0.0606;52;5.82e-05;0.528;0.00011;1.24;0.0127;0.0714;0.822;0.156;0.00258;0.0145; 33360;0;3;0.183;0.12;53;7.03e-05;0.52;0.000135;1.24;0.0133;0.0765;0.827;0.158;0.00223;0.0129; 34640;0;2;0.177;0.114;53;192;26.7;26.4;  0%;  0%;  0%;75.7;71;74.5;  0%;  0%;  0%;199;26.7;26.6;  1%;  0%;  0%;26.4;189;26.8;  0%;  0%;  0%;0.0602;10.8;0.0416;89.1;0;0;0;0;0;2.51;68.1;0;29.4;0;0;0;0;0;0.00891;95;0;4.99;0;0;0;0;0;0.0109;86.6;0;13.4;0;0;0;0;0;55.6;69.9;77.2;69.5;10.5 ;10.6 ;10.6 ;10.1 ;
2017-11-10;13:57:11.085;0.0087;1.08;0.00806;1.24;13.9;32.1;0.568;0.257;0.00471;0.0109;1.13;0.7;2.95e+03;2.73e+03;2.12e+03;2.16;53.9;0.0174;0.435;1.57e+03;0.651;69.6;0.0145;29.8;0;12;0;0;0;276;41.7;0.000271;0.329;0.000822;1.26;0.0399;0.333;0.88;0.144;0.00174;0.0145; 32880;1;0;0.281;0.193;52;0.0344;1.1;0.0312;1.24;13.8;31.7;0.563;0.258;0.00474;0.0109; 50400;327;955;0.263;0.1;52;5.82e-05;0.527;0.000111;1.24;0.013;0.0711;0.818;0.161;0.00262;0.0144; 33520;1;1;0.298;0.209;53;6.78e-05;0.511;0.000133;1.24;0.0138;0.0757;0.818;0.156;0.00239;0.0132; 34640;0;1;0.285;0.197;54;297;43.4;42.5;  1%;  0%;  0%;147;135;140;  0%;  0%;  0%;305;43.4;42.8;  1%;  0%;  0%;42.6;292;43;  0%;  1%;  0%;0.0654;5.82;0.058;94.1;0;48.2;0;0;0;2.52;95.7;0;1.74;0;0;0;0;0;0.00893;93.3;0;6.69;0;0;0;0;0;0.0107;83.4;0;16.6;0;0;0;0;0;53.1;76.6;77;69.2;9.74 ;10.7 ;10.9 ;10.3 ;
2017-11-10;13:57:12.100;0.0674;0.145;0.466;1.24;166;188;0.117;0.61;0.00722;0.00817;23.3;36.1;2.3e+04;1.59e+05;2.13e+03;0.289;7.23;0.135;3.37;4.46e+04;37.6;29.6;0.0118;32.8;0;9.76;0;0;0;350;81.8;0.0655;0.153;0.427;1.24;34.2;40;0.144;0.634;0.00613;0.00716; 49760;2154;7201;5.99;8.8;50;0.0669;0.131;0.51;1.24;49.8;55.5;0.102;0.537;0.00874;0.00974; 39680;2339;7682;5.86;9.3;51;0.0822;0.206;0.399;1.24;41.9;47.4;0.116;0.666;0.00598;0.00676; 51600;2543;8674;5.38;8.41;51;0.0549;0.104;0.527;1.24;39.8;44.8;0.113;0.594;0.0085;0.00958; 51360;2167;7753;6.07;9.63;52;3.74e+03;3.52e+03;3.83e+03; 19%; 18%; 19%;3.42e+03;3.59e+03;3.36e+03; 17%; 18%; 17%;3.92e+03;3.55e+03;4.07e+03; 20%; 18%; 20%;3.86e+03;3.97e+03;3.74e+03; 19%; 20%; 19%;34.5;12.9;0.0417;52.6;0;31.7;0;0;0;41.2;36.5;0.00501;22.3;0;2.87;0;0;0;32.2;42.4;0;25.4;0;0;0;0;0;42.5;26.6;0.000673;30.8;0;4.46;0;0;0;81.1;89.1;93.6;86.1;20.1 ;20.9 ;20.8 ;20 ;
2017-11-10;13:57:13.110;0.0411;0.817;0.0503;1.26;76.6;90.4;0.153;0.728;0.00549;0.00647;8.26;10;1.4e+04;1.71e+04;2.13e+03;1.63;40.8;0.0821;2.05;1.3e+04;3.98;20;0.0221;76;0;22.1;0;0;0;251;55;0.0786;1.09;0.0723;1.29;42.5;48.6;0.126;0.615;0.00635;0.00726; 51520;1460;4474;2.03;2.15;51;7.39e-05;0.282;0.000262;1.26;0.035;0.114;0.692;0.0732;0.00557;0.0181; 35600;2;5;2.19;2.79;51;0.0416;0.683;0.0609;1.25;16.7;20.4;0.181;0.799;0.00473;0.00578; 29600;775;2260;2.11;2.66;53;0.044;0.65;0.0677;1.24;17.4;21.3;0.183;0.797;0.00466;0.0057; 27280;783;2719;1.93;2.43;54;868;1.3e+03;1.33e+03;  4%;  6%;  6%;529;568;1.25e+03;  2%;  2%;  6%;588;1.81e+03;1.03e+03;  3%;  9%;  5%;1.13e+03;739;1.82e+03;  5%;  3%;  9%;5.59;9.82;0.0885;84.5;0;3.7;0;0;0;0.0208;41.7;0;58.3;0;0;0;0;0;4.88;20.4;0;74.7;0;28.3;0;0;0;5.44;7.9;0;86.7;0;56.3;0;0;0;63.2;63.2;66.7;57.8;13.4 ;14.7 ;14.4 ;12.5 ;
