System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;17:00:58.289;0.0629;1.58;0.0398;0.666;0.597;16.2;0.963;0.395;2.79e-05;0.000753;0.112;0.12;2.14e+04;1.36e+04;2.12e+03;3.16;79;0.126;3.14;114;5.97;28.4;0.574;65.1;0;41.5;0;0;0;135;24.6;0.25;1.6;0.157;0.667;0.315;14.6;0.978;0.409;1.47e-05;0.000684; 48160;21;49;0.0288;0.0306;50;0.000221;0.413;0.000535;0.645;0.0676;0.402;0.832;0.0867;0.00359;0.0213; 26640;3;0;0.023;0.0272;54;0.000511;0.537;0.000952;0.651;0.11;0.614;0.821;0.304;0.00252;0.0141; 35840;5;9;0.0196;0.0216;56;0.000343;0.428;0.000801;0.667;0.105;0.529;0.801;0.165;0.00359;0.0181; 22400;5;4;0.0403;0.041;54;18.5;16;17.4;  0%;  0%;  0%;5.05;2.8;9.71;  0%;  0%;  0%;4.25;10.7;7.3;  0%;  0%;  0%;4.61;3.02;14.2;  0%;  0%;  0%;23.5;62.9;2.29;11.3;0;1.03;0;0;0;0.0831;13.2;0.00169;86.8;0;83.1;0;0;0;0.146;12.6;0.000522;87.2;0;82;0;0;0;0.12;24.9;0.00132;74.9;0;0;0;0;0;45.9;28.9;29.8;30.5;6.87 ;5.79 ;5.84 ;6.09 ;
2017-09-01;17:00:59.305;0.0718;1.61;0.0447;0.667;0.252;16.6;0.985;0.395;1.03e-05;0.000678;0.0526;0.0453;2.45e+04;1.52e+04;2.13e+03;3.21;80.3;0.144;3.59;30.7;6.7;32;0.494;60.9;0;50.9;0;0;0;138;23.1;0.287;1.61;0.178;0.667;0.152;15.7;0.99;0.407;6.23e-06;0.000644; 48800;11;7;0.0219;0.0199;50;8.62e-05;0.344;0.00025;0.648;0.0366;0.158;0.768;0.0505;0.00498;0.0215; 26560;0;2;0.00705;0.00579;54;0.000112;0.405;0.000276;0.665;0.0332;0.253;0.869;0.0351;0.00349;0.0265; 35200;0;1;0.0146;0.0134;56;0.000173;0.553;0.000313;0.649;0.03;0.461;0.935;0.0276;0.00204;0.0312; 22720;0;3;0.00894;0.0062;54;4.6;3.58;4.02;  0%;  0%;  0%;0.905;1.08;4.08;  0%;  0%;  0%;0.859;3.44;1.23;  0%;  0%;  0%;1.09;1.06;4.78;  0%;  0%;  0%;26.7;69.6;1.98;1.68;0;0;0;0;0;0.0386;15;0;85;0;83.7;0;0;0;0.0415;28.8;0;71.1;0;36;0;0;0;0.0482;14.4;0;85.6;0;84;0;0;0;48.2;29.1;31.3;29.6;6.66 ;5.51 ;5.79 ;5.11 ;
2017-09-01;17:01:00.307;0.0741;1.61;0.0462;0.667;0.244;16.7;0.985;0.37;9.77e-06;0.00067;0.0862;0.0766;2.5e+04;1.56e+04;2.11e+03;3.21;80.3;0.148;3.71;29.9;6.93;85.6;0.387;7.1;0;0;0;0;0;156;23.9;0.296;1.62;0.183;0.667;0.127;14.8;0.991;0.397;5.11e-06;0.000595; 48480;7;6;0.0219;0.0196;50;0.000247;0.433;0.00057;0.667;0.0684;0.671;0.898;0.0213;0.00329;0.0323; 26880;1;4;0.0213;0.0194;54;0.000226;0.426;0.000531;0.667;0.0237;0.673;0.965;0.019;0.00124;0.0353; 35120;1;0;0.0203;0.0183;56;0.000204;0.402;0.000508;0.667;0.0248;0.562;0.956;0.0235;0.00144;0.0327; 22400;1;3;0.0227;0.0193;54;5.99;2.75;3.14;  0%;  0%;  0%;0.893;1.16;5.59;  0%;  0%;  0%;1.01;2.64;1.01;  0%;  0%;  0%;0.893;1.32;3.45;  0%;  0%;  0%;27.4;70;1.55;1.03;0;0;0;0;0;0.0855;86.9;0;13;0;0;0;0;0;0.0796;95.7;0;4.25;0;0;0;0;0;0.0762;89.8;0;10.1;0;0;0;0;0;47.7;35;37.2;36.3;6.42 ;5.99 ;5.89 ;5.65 ;
2017-09-01;17:01:01.324;0.0744;1.61;0.0463;0.667;0.215;15.8;0.986;0.387;8.47e-06;0.00062;0.0853;0.0753;2.54e+04;1.58e+04;2.13e+03;3.21;80.3;0.149;3.72;26;6.95;89.4;0.426;3.22;0;0;0;0;0;160;24.2;0.297;1.62;0.184;0.667;0.122;15.3;0.992;0.394;4.8e-06;0.000601; 48720;2;9;0.0219;0.0195;50;0.000117;0.259;0.000454;0.667;0.0587;0.202;0.71;0.0635;0.00585;0.0202; 26480;3;0;0.021;0.019;54;6.98e-05;0.163;0.000429;0.667;0.0194;0.116;0.834;0.0933;0.00324;0.0195; 35120;0;0;0.02;0.018;55;9.72e-05;0.213;0.000456;0.667;0.0156;0.181;0.914;0.0694;0.00188;0.0218; 22400;2;1;0.0225;0.0189;54;5.05;2.2;2.68;  0%;  0%;  0%;0.768;0.979;4.93;  0%;  0%;  0%;0.66;2.47;0.929;  0%;  0%;  0%;0.687;0.881;3.73;  0%;  0%;  0%;27.6;69.9;1.7;0.821;0;0;0;0;0;0.0681;87.9;0;12;0;0;0;0;0;0.0643;99.9;0;0.0478;0;0;0;0;0;0.0684;99.9;0;0;0;0;0;0;0;48.6;35.7;38.3;37.9;6.57 ;5.93 ;5.97 ;5.69 ;
2017-09-01;17:01:02.335;0.075;1.6;0.0467;0.667;0.244;16.2;0.985;0.386;9.59e-06;0.000635;0.0855;0.0754;2.55e+04;1.59e+04;2.13e+03;3.21;80.2;0.15;3.75;27.1;7.01;84.3;0.593;8.13;0;0;0;0;0;158;23.9;0.3;1.61;0.186;0.667;0.134;15.6;0.991;0.394;5.28e-06;0.000612; 48720;4;6;0.0218;0.0193;50;0.000135;0.294;0.000458;0.667;0.0613;0.253;0.758;0.0611;0.00536;0.0221; 26560;1;3;0.0211;0.019;54;8.07e-05;0.21;0.000385;0.667;0.0211;0.131;0.839;0.101;0.00308;0.0191; 35120;0;0;0.02;0.018;55;0.000114;0.249;0.00046;0.667;0.0274;0.21;0.87;0.0769;0.00282;0.0216; 22320;0;2;0.0226;0.019;54;5.46;2.28;2.81;  0%;  0%;  0%;0.847;1.09;5.29;  0%;  0%;  0%;0.737;2.42;0.959;  0%;  0%;  0%;0.759;0.962;3.46;  0%;  0%;  0%;27.8;68.8;2.37;0.975;0;0;0;0;0;0.0687;81.4;0;18.6;0;0;0;0;0;0.0578;89.5;0;10.5;0;0;0;0;0;0.069;97.5;0;2.46;0;0;0;0;0;48.4;34.8;37;37.4;6.46 ;5.93 ;5.94 ;5.55 ;
2017-09-01;17:01:03.347;0.0748;1.6;0.0467;0.667;0.263;16.5;0.984;0.388;1.04e-05;0.00065;0.0878;0.0756;2.55e+04;1.59e+04;2.12e+03;3.2;80.1;0.15;3.74;30.2;7;83.3;0.582;9.14;0;0;0;0;0;158;24.2;0.299;1.61;0.185;0.667;0.142;15.8;0.991;0.398;5.6e-06;0.000621; 48560;5;8;0.0224;0.0196;50;0.000161;0.328;0.000489;0.667;0.0815;0.304;0.732;0.0544;0.00597;0.0223; 26720;2;4;0.0219;0.0193;54;6.48e-05;0.173;0.000374;0.667;0.0177;0.0985;0.82;0.106;0.00321;0.0179; 35200;0;3;0.0205;0.0178;55;0.000147;0.318;0.000462;0.667;0.0218;0.35;0.938;0.0462;0.00175;0.028; 22400;0;1;0.0231;0.0189;54;6.55;2.07;3.18;  0%;  0%;  0%;0.891;1.16;6.35;  0%;  0%;  0%;0.775;2.21;0.912;  0%;  0%;  0%;0.783;1.21;4.08;  0%;  0%;  0%;27.8;68.7;2.33;1.12;0;0;0;0;0;0.0734;80.9;0;19.1;0;0;0;0;0;0.0561;90.1;0;9.83;0;0;0;0;0;0.0693;93.4;0;6.54;0;0;0;0;0;48.4;34.8;37.1;37.2;6.57 ;5.97 ;5.95 ;5.67 ;
2017-09-01;17:01:04.373;0.0734;1.6;0.0458;0.667;0.24;16.4;0.985;0.391;9.48e-06;0.000648;0.0855;0.0765;2.53e+04;1.58e+04;2.13e+03;3.2;80.1;0.147;3.67;25.4;6.88;86.4;0.588;6.12;0;0;0;0;0;161;24.4;0.294;1.61;0.182;0.667;0.14;15.9;0.991;0.397;5.55e-06;0.000631; 48960;5;5;0.0215;0.0192;50;0.00012;0.269;0.000447;0.667;0.0545;0.209;0.739;0.0669;0.00527;0.0202; 26640;2;5;0.0211;0.0195;54;7.25e-05;0.176;0.000411;0.667;0.0198;0.131;0.848;0.0857;0.00317;0.0209; 35200;1;0;0.0202;0.0184;56;8.37e-05;0.192;0.000436;0.667;0.0253;0.126;0.799;0.102;0.0035;0.0174; 22560;0;0;0.0227;0.0195;54;4.76;2.04;2.78;  0%;  0%;  0%;0.801;1.07;4.89;  0%;  0%;  0%;0.772;2.03;0.932;  0%;  0%;  0%;0.737;1.16;3.37;  0%;  0%;  0%;27.4;68.4;2.36;1.9;0;0;0;0;0;0.067;84.9;0;15;0;0;0;0;0;0.0617;95.9;0;4;0;0;0;0;0;0.0654;96.4;0;3.53;0;0;0;0;0;48.8;35.7;38.1;37.9;6.62 ;6.07 ;6 ;5.67 ;
2017-09-01;17:01:05.383;0.0742;1.6;0.0463;0.667;0.2;16.8;0.988;0.399;7.92e-06;0.000666;0.085;0.075;2.52e+04;1.57e+04;2.15e+03;3.2;80.1;0.148;3.71;25.8;6.94;83.3;0.454;9.34;0;0;0;0;0;157;23.9;0.296;1.61;0.183;0.667;0.108;16.3;0.993;0.406;4.3e-06;0.000648; 49520;9;6;0.0217;0.0193;50;0.000146;0.348;0.00042;0.667;0.0606;0.298;0.797;0.047;0.00488;0.024; 26800;2;3;0.021;0.0189;54;6.66e-05;0.169;0.000395;0.667;0.0131;0.106;0.877;0.104;0.00231;0.0188; 35200;0;0;0.0199;0.0178;55;7.28e-05;0.176;0.000414;0.667;0.0176;0.0821;0.785;0.15;0.00285;0.0133; 22480;0;1;0.0225;0.0189;53;5.27;1.87;2.79;  0%;  0%;  0%;0.745;0.973;5.13;  0%;  0%;  0%;0.632;2.07;0.845;  0%;  0%;  0%;0.694;1;3.77;  0%;  0%;  0%;27.5;68.9;1.81;1.76;0;0;0;0;0;0.0631;73.2;0;26.7;0;0;0;0;0;0.0593;96;0;3.93;0;0;0;0;0;0.062;95;0;4.99;0;0;0;0;0;48.1;34.1;37.5;37.1;6.5 ;5.92 ;5.87 ;5.59 ;
2017-09-01;17:01:06.396;0.0735;1.6;0.0459;0.667;0.213;16.4;0.987;0.384;8.52e-06;0.000655;0.0833;0.0737;2.5e+04;1.56e+04;2.12e+03;3.2;80.1;0.147;3.68;23;6.88;83.6;0.592;8.89;0;0;0;0;0;158;23.6;0.294;1.61;0.182;0.667;0.112;15.8;0.993;0.392;4.47e-06;0.000632; 49040;1;6;0.0205;0.0185;50;0.000142;0.324;0.000438;0.667;0.0585;0.302;0.806;0.0486;0.00485;0.025; 26640;1;3;0.0206;0.0187;54;8.84e-05;0.208;0.000425;0.667;0.0197;0.159;0.876;0.0851;0.00262;0.0211; 35120;0;1;0.0199;0.0179;55;9.65e-05;0.221;0.000437;0.667;0.0231;0.152;0.848;0.0981;0.00281;0.0186; 22400;0;2;0.0223;0.0187;54;4.87;1.51;2.11;  0%;  0%;  0%;1.02;1.07;4.54;  0%;  0%;  0%;0.804;1.57;1.01;  0%;  0%;  0%;0.745;0.945;2.84;  0%;  0%;  0%;27.4;68.9;2.37;1.34;0;0;0;0;0;0.0657;73.2;0;26.7;0;0;0;0;0;0.0638;97.2;0;2.77;0;0;0;0;0;0.0656;95.2;0;4.73;0;0;0;0;0;48.3;34.2;37.9;37.3;6.4 ;5.87 ;5.79 ;5.53 ;
2017-09-01;17:01:07.411;0.0733;1.6;0.0457;0.667;0.177;17.5;0.99;0.371;7.09e-06;0.000702;0.0819;0.0737;2.5e+04;1.56e+04;2.13e+03;3.21;80.2;0.147;3.66;20.9;6.85;82.1;0.525;10.5;0;0;0;0;0;157;23.7;0.292;1.61;0.181;0.667;0.0929;15.7;0.994;0.396;3.73e-06;0.000631; 48640;5;4;0.0212;0.0191;50;0.000247;0.507;0.000487;0.667;0.0529;0.672;0.921;0.0249;0.00251;0.032; 26720;1;2;0.0199;0.0184;54;0.000208;0.408;0.00051;0.667;0.0142;0.626;0.977;0.0238;0.000802;0.0353; 35120;1;0;0.0191;0.0176;55;0.000186;0.378;0.000492;0.667;0.0172;0.508;0.966;0.0315;0.00109;0.032; 22480;0;2;0.0217;0.0186;54;4.19;1.75;2.27;  0%;  0%;  0%;0.553;0.82;3.96;  0%;  0%;  0%;0.413;1.98;0.744;  0%;  0%;  0%;0.558;0.69;2.95;  0%;  0%;  0%;27.2;69.1;2.1;1.6;0;0;0;0;0;0.073;72.3;0;27.7;0;0;0;0;0;0.0766;94.8;0;5.09;0;0;0;0;0;0.0738;92.4;0;7.55;0;0;0;0;0;48.1;34.3;37.6;37.2;6.41 ;5.88 ;5.81 ;5.56 ;
