System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;15:50:27.876;0.0302;1.03;0.0294;0.794;3.07;15;0.795;0.378;0.000298;0.00145;0.332;0.253;1.03e+04;1e+04;2.12e+03;2.05;51.3;0.0604;1.51;453;3.7;14.7;0.143;81.4;0;21.9;0;0;0;127;30.1;0.112;1.17;0.0957;0.807;0.438;6.63;0.934;0.399;4.61e-05;0.000698; 44560;32;19;0.091;0.0663;50;0.00207;0.313;0.0066;0.702;0.82;2.79;0.706;0.238;0.00465;0.0158; 35920;50;27;0.107;0.094;55;0.00267;0.342;0.00783;0.711;0.893;2.81;0.682;0.289;0.00391;0.0123; 44320;10;75;0.0438;0.038;57;0.00468;0.61;0.00767;0.81;0.919;2.73;0.663;0.495;0.0023;0.00684; 35280;73;60;0.0899;0.0545;55;54.3;23.4;28.8;  0%;  0%;  0%;65.8;41.8;37;  0%;  0%;  0%;39;19.3;44;  0%;  0%;  0%;23.6;44.2;31.8;  0%;  0%;  0%;11.8;22.7;0.488;65;0;0.98;0;0;0;0.939;11.3;0.0143;87.8;0;18.5;0;0;0;1.1;5.03;0.0367;93.8;0;68;0;0;0;0.948;20;0.0326;79.1;0;0;0;0;0;37;29.3;29.8;31.1;7.73 ;7.72 ;7.42 ;7.25 ;
2017-09-01;15:50:28.893;0.1;1.2;0.0832;0.809;0.306;21;0.985;0.414;8.91e-06;0.000611;0.0828;0.0825;3.44e+04;2.86e+04;2.14e+03;2.4;60.1;0.2;5;46.7;10.3;43.5;0.21;46.1;0;22.9;0;0;0;160;24.7;0.399;1.2;0.331;0.81;0.179;18.4;0.99;0.445;5.22e-06;0.000536; 44960;14;19;0.0296;0.0278;50;0.00081;0.735;0.0011;0.798;0.0723;2.23;0.968;0.034;0.00104;0.032; 35680;1;8;0.0199;0.0198;55;9.48e-05;0.478;0.000198;0.776;0.0233;0.222;0.895;0.0307;0.00286;0.0272; 43680;0;4;0.0166;0.0176;56;9.83e-05;0.474;0.000207;0.788;0.0319;0.173;0.816;0.0562;0.00378;0.0205; 34800;0;2;0.0167;0.0174;55;8.72;6.58;6.62;  0%;  0%;  0%;1.39;1.35;7.57;  0%;  0%;  0%;1.09;5.03;0.727;  0%;  0%;  0%;0.709;1.14;5.75;  0%;  0%;  0%;40.9;55.9;0.835;2.36;0;0;0;0;0;0.138;23.6;0.00659;76.3;0;21.5;0;0;0;0.0255;54.3;0;45.7;0;35.1;0;0;0;0.0263;40;0;60;0;34.9;0;0;0;55.2;32.4;37.1;35;6.88 ;6.01 ;6.11 ;5.66 ;
2017-09-01;15:50:29.890;0.101;1.22;0.0834;0.81;0.304;21.1;0.986;0.405;8.94e-06;0.000621;0.0906;0.0816;3.39e+04;2.79e+04;2.1e+03;2.43;60.9;0.203;5.07;37.4;10.3;60.9;0.511;28.3;0;0;0;0;0;164;24.3;0.404;1.22;0.332;0.81;0.166;18;0.991;0.442;4.89e-06;0.000533; 44400;16;0;0.0283;0.0235;49;0.000921;0.763;0.00121;0.804;0.068;2.54;0.973;0.0317;0.000883;0.0329; 35520;2;1;0.0212;0.0196;55;0.000112;0.53;0.000211;0.81;0.0356;0.239;0.851;0.0488;0.00381;0.0255; 43440;1;2;0.0206;0.0193;56;0.000128;0.602;0.000213;0.81;0.0342;0.28;0.878;0.0458;0.00319;0.0261; 35040;0;4;0.0205;0.0192;54;6.44;4.31;3.93;  0%;  0%;  0%;1.43;1.27;6.63;  0%;  0%;  0%;1.35;4.74;0.89;  0%;  0%;  0%;0.743;1.2;4.44;  0%;  0%;  0%;41;56.2;2.03;0.856;0;0;0;0;0;0.15;23.2;0.0144;76.6;0;0;0;0;0;0.026;79.3;0;20.6;0;0;0;0;0;0.0263;84.9;0;15;0;0;0;0;0;54.4;31.6;38.8;38.8;6.62 ;5.96 ;6.12 ;5.57 ;
2017-09-01;15:50:30.903;0.101;1.21;0.0836;0.81;0.269;21.8;0.988;0.401;7.83e-06;0.000634;0.0895;0.0812;3.44e+04;2.85e+04;2.13e+03;2.42;60.4;0.202;5.05;33.2;10.3;59.4;0.529;29.8;0;0;0;0;0;165;24.4;0.402;1.21;0.332;0.81;0.136;18.2;0.993;0.443;3.96e-06;0.000531; 44960;9;3;0.0274;0.0229;49;0.000874;0.745;0.00117;0.81;0.072;2.45;0.971;0.0313;0.000967;0.033; 35600;1;5;0.0211;0.0197;55;0.000252;0.794;0.000318;0.81;0.0374;0.738;0.949;0.0229;0.00174;0.0344; 43440;2;3;0.0205;0.0193;56;0.000167;0.693;0.000242;0.81;0.0243;0.41;0.941;0.039;0.0017;0.0287; 34880;0;2;0.0205;0.0192;54;6.15;4.03;2.78;  0%;  0%;  0%;1.38;1.31;6.28;  0%;  0%;  0%;1.33;4.34;0.908;  0%;  0%;  0%;0.667;1.1;2.9;  0%;  0%;  0%;41.1;56;2.09;0.892;0;0;0;0;0;0.145;20.7;0.0305;79.1;0;0;0;0;0;0.0393;69;0;31;0;0;0;0;0;0.0299;91.7;0;8.24;0;0;0;0;0;55;31.8;38;40.2;6.65 ;6.01 ;6.16 ;5.6 ;
2017-09-01;15:50:31.918;0.101;1.21;0.084;0.81;0.235;21.8;0.989;0.405;6.78e-06;0.000629;0.0872;0.08;3.46e+04;2.87e+04;2.14e+03;2.42;60.4;0.203;5.07;29.4;10.4;71.7;0.265;17.7;0;0;0;0;0;170;24.5;0.405;1.21;0.334;0.81;0.124;18.2;0.993;0.446;3.6e-06;0.000529; 45600;9;1;0.0271;0.0227;49;0.00104;0.798;0.00131;0.81;0.0697;3.16;0.978;0.0263;0.000782;0.0355; 35280;0;2;0.0205;0.0194;54;7.2e-05;0.515;0.00014;0.81;0.0225;0.123;0.817;0.074;0.00367;0.0201; 43600;0;1;0.0197;0.0189;56;0.000107;0.671;0.000159;0.81;0.0184;0.221;0.917;0.06;0.00201;0.0243; 35040;0;3;0.0199;0.019;54;6.22;3;2.79;  0%;  0%;  0%;1.12;1.08;6.37;  0%;  0%;  0%;0.881;3.18;0.537;  0%;  0%;  0%;0.444;0.922;2.86;  0%;  0%;  0%;41.3;55.8;1.01;1.84;0;0;0;0;0;0.162;35.5;0.0442;64.3;0;0;0;0;0;0.0173;99.5;0;0.492;0;0;0;0;0;0.0197;95.9;0;4.11;0;0;0;0;0;55;33.2;41.2;40.6;6.62 ;6.04 ;6.14 ;5.65 ;
2017-09-01;15:50:32.934;0.102;1.21;0.0846;0.81;0.23;20.7;0.989;0.418;6.62e-06;0.000596;0.0883;0.0809;3.48e+04;2.88e+04;2.12e+03;2.41;60.3;0.204;5.11;30.6;10.5;68.7;0.313;20.6;0;0;0;0;0;170;24.3;0.408;1.21;0.337;0.81;0.122;18.5;0.993;0.445;3.51e-06;0.000532; 46480;5;6;0.0265;0.0225;49;0.000612;0.611;0.001;0.81;0.0632;1.52;0.958;0.0387;0.00121;0.0291; 35840;1;6;0.021;0.0198;54;6.55e-05;0.461;0.000142;0.81;0.0215;0.0995;0.784;0.101;0.00385;0.0178; 43680;0;3;0.0203;0.0194;56;0.000233;0.896;0.00026;0.81;0.0238;0.668;0.964;0.0272;0.0012;0.0337; 35280;1;4;0.0204;0.0193;54;6.17;3.06;3.19;  0%;  0%;  0%;1.25;1.16;5.93;  0%;  0%;  0%;1.12;3.07;0.658;  0%;  0%;  0%;0.542;1.14;3.3;  0%;  0%;  0%;41.7;55.7;1.19;1.5;0;0;0;0;0;0.124;39.8;0.0656;60.1;0;0;0;0;0;0.0176;87.5;0;12.5;0;0;0;0;0;0.0321;91.8;0;8.16;0;0;0;0;0;55.5;34;40.4;40.3;6.64 ;5.96 ;6.12 ;5.58 ;
2017-09-01;15:50:33.949;0.101;1.21;0.0835;0.81;0.196;20.7;0.991;0.416;5.68e-06;0.0006;0.0823;0.0775;3.46e+04;2.85e+04;2.13e+03;2.43;60.6;0.203;5.07;22.2;10.3;70.6;0.373;18.7;0;0;0;0;0;169;24.2;0.404;1.22;0.333;0.81;0.0972;18.3;0.995;0.445;2.82e-06;0.000531; 46160;4;4;0.0239;0.0207;49;0.00056;0.623;0.000898;0.81;0.0553;1.45;0.962;0.0407;0.00116;0.0304; 35520;1;0;0.0197;0.019;55;0.000186;0.867;0.000214;0.81;0.023;0.537;0.957;0.0245;0.00145;0.034; 43520;0;2;0.0194;0.0189;56;0.000165;0.834;0.000198;0.81;0.0209;0.433;0.952;0.0349;0.00149;0.0308; 35200;1;3;0.0193;0.0188;54;4.12;2.37;2.32;  0%;  0%;  0%;1.07;0.9;3.88;  0%;  0%;  0%;0.853;2.34;0.581;  0%;  0%;  0%;0.455;0.805;2.48;  0%;  0%;  0%;41.1;56.3;1.42;1.14;0;0;0;0;0;0.111;39.6;0.0698;60.3;0;0;0;0;0;0.0264;93;0;6.99;0;0;0;0;0;0.0244;93.6;0;6.41;0;0;0;0;0;55;33.3;40.6;40.1;6.57 ;5.94 ;6.08 ;5.55 ;
2017-09-01;15:50:34.960;0.101;1.21;0.084;0.81;0.222;21.9;0.99;0.401;6.43e-06;0.000636;0.0857;0.0786;3.44e+04;2.86e+04;2.13e+03;2.41;60.3;0.203;5.06;27.3;10.4;67.2;0.505;21.9;0;0;0;0;0;167;24.3;0.403;1.21;0.334;0.81;0.106;18.3;0.994;0.443;3.08e-06;0.000533; 45920;4;7;0.0259;0.0217;49;0.000853;0.717;0.00119;0.81;0.0658;2.41;0.973;0.0309;0.000908;0.0332; 35680;1;3;0.0203;0.0193;54;0.00022;0.857;0.000257;0.81;0.02;0.634;0.969;0.0242;0.00107;0.0339; 43520;0;1;0.0197;0.0188;56;0.000457;1.21;0.000378;0.81;0.03;0.584;0.949;0.0675;0.000771;0.015; 34960;1;0;0.0198;0.0189;54;5.9;2.41;2.93;  0%;  0%;  0%;1.21;1.04;5.49;  0%;  0%;  0%;0.934;2.13;0.653;  0%;  0%;  0%;0.586;1.02;2.99;  0%;  0%;  0%;41.3;55.5;1.95;1.29;0;0;0;0;0;0.147;40.4;0.0694;59.4;0;0;0;0;0;0.0317;83.5;0;16.4;0;0;0;0;0;0.0467;89.3;0;10.6;0;0;0;0;0;54.7;33.5;39.4;39.7;6.63 ;5.95 ;6.12 ;5.58 ;
2017-09-01;15:50:35.977;0.101;1.21;0.0839;0.81;0.176;20.7;0.991;0.419;5.09e-06;0.000598;0.0839;0.0792;3.46e+04;2.87e+04;2.13e+03;2.41;60.4;0.203;5.06;23.4;10.4;73.7;0.27;15.7;0;0;0;0;0;172;24.2;0.404;1.21;0.334;0.81;0.089;18.3;0.995;0.447;2.58e-06;0.000531; 46080;6;1;0.025;0.0215;49;0.000421;0.538;0.000782;0.81;0.0525;0.966;0.946;0.0582;0.00146;0.0269; 35520;1;2;0.02;0.0194;54;0.000238;0.953;0.00025;0.81;0.0169;0.721;0.977;0.0197;0.00083;0.0355; 44000;1;1;0.0194;0.0191;56;0.000229;0.941;0.000243;0.81;0.0178;0.661;0.973;0.0259;0.000909;0.0338; 35040;0;5;0.0194;0.0191;54;4.77;2.52;2.54;  0%;  0%;  0%;1.02;0.83;4.48;  0%;  0%;  0%;0.821;2.38;0.468;  0%;  0%;  0%;0.366;0.74;2.51;  0%;  0%;  0%;41.3;55.8;1.02;1.84;0;0;0;0;0;0.0966;52.4;0.0594;47.5;0;0;0;0;0;0.0308;94.2;0;5.78;0;0;0;0;0;0.03;92.4;0;7.61;0;0;0;0;0;55.3;35.2;41.1;40.4;6.58 ;5.89 ;6.13 ;5.56 ;
2017-09-01;15:50:36.991;0.101;1.2;0.0843;0.81;0.207;21.7;0.99;0.407;5.99e-06;0.000628;0.0839;0.0777;3.46e+04;2.87e+04;2.13e+03;2.41;60.2;0.203;5.07;24.6;10.4;68.2;0.257;21.2;0;0;0;0;0;169;24.1;0.405;1.21;0.336;0.81;0.0987;18.3;0.995;0.447;2.86e-06;0.00053; 46480;5;6;0.0247;0.0212;49;0.000924;0.771;0.0012;0.81;0.0704;2.7;0.974;0.0284;0.000893;0.0342; 35200;1;2;0.0203;0.0192;54;0.000146;0.758;0.000192;0.81;0.0188;0.393;0.952;0.0308;0.00151;0.0316; 43520;0;1;0.0194;0.0186;55;0.00014;0.705;0.000199;0.81;0.0196;0.341;0.943;0.044;0.00164;0.0285; 35120;0;1;0.0196;0.0187;54;5.92;2.07;2.24;  0%;  0%;  0%;1.09;1.02;5.51;  0%;  0%;  0%;0.849;1.9;0.517;  0%;  0%;  0%;0.399;0.855;2.26;  0%;  0%;  0%;41.5;55.8;0.975;1.8;0;0;0;0;0;0.148;41.6;0.0533;58.2;0;0;0;0;0;0.0238;85.2;0;14.8;0;0;0;0;0;0.0246;90.1;0;9.9;0;0;0;0;0;55.2;33.9;39.9;40.1;6.58 ;5.95 ;6.04 ;5.55 ;
