System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;15:07:06.479;0.00376;0.403;0.00932;0.712;4.48;13.6;0.671;0.337;0.00351;0.0106;0.426;0.292;1.28e+03;3.17e+03;2.12e+03;0.806;20.2;0.00751;0.188;642;1.31;12.8;0.0786;85.8;0;31.5;0;0;0;119;32.2;0.00282;0.378;0.00746;0.715;0.914;2.9;0.685;0.276;0.00382;0.0121; 47440;43;59;0.1;0.0653;51;0.00424;0.326;0.013;0.701;1.18;4.08;0.711;0.305;0.00327;0.0113; 42160;51;62;0.115;0.0864;53;0.00298;0.343;0.00869;0.685;1.1;3.19;0.655;0.292;0.00434;0.0126; 45360;24;72;0.068;0.0532;54;0.00498;0.615;0.0081;0.762;1.29;3.45;0.626;0.439;0.00303;0.00812; 42080;69;50;0.143;0.0874;52;70.8;28.8;45.3;  0%;  0%;  0%;83.4;58.6;47.7;  0%;  0%;  0%;47;27.6;69.1;  0%;  0%;  0%;37.6;59.6;66.7;  0%;  0%;  0%;1.04;12.3;0.129;86.5;0;27.6;0;0;0;1.86;7.08;0.0773;91;0;43.1;0;0;0;1.27;5.34;0.0692;93.3;0;55.1;0;0;0;1.06;26.6;0.039;72.3;0;0;0;0;0;30.2;28.5;29.1;31.2;7.91 ;8.26 ;8.21 ;7.8 ;
2017-09-01;15:07:07.493;0.142;0.409;0.346;0.761;7.92;30.1;0.736;0.146;0.000164;0.000624;0.655;0.363;4.82e+04;1.18e+05;2.13e+03;0.818;20.5;0.283;7.08;998;45.4;10.1;0.268;44.2;0;14;0;0;0;170;29.1;0.178;0.406;0.439;0.762;2.28;9.37;0.756;0.125;0.00015;0.000617; 43440;53;80;0.164;0.0984;50;0.178;0.405;0.44;0.761;2.32;8.99;0.742;0.136;0.000153;0.000592; 43200;31;110;0.136;0.0922;52;0.0308;0.467;0.066;0.76;0.823;2.55;0.677;0.176;0.000314;0.000972; 40960;31;53;0.219;0.0778;54;0.179;0.408;0.438;0.762;2.5;9.15;0.727;0.167;0.000164;0.000602; 42640;52;110;0.137;0.0943;52;97;63.4;105;  0%;  0%;  0%;66;94.5;95.8;  0%;  0%;  0%;72.7;73.2;72;  0%;  0%;  0%;63.9;96.2;98.4;  0%;  0%;  0%;57.7;7.65;0.529;34.1;0;0.357;0;0;0;57.8;8.09;0.287;33.8;0;14;0;0;0;8.68;17.3;0.0244;74;0;24.6;0;0;0;57.5;7.3;0.233;35;0;17.2;0;0;0;45.8;44.2;34.7;45.6;7.34 ;7.36 ;7.54 ;6.83 ;
2017-09-01;15:07:08.492;0.265;0.441;0.601;0.761;21;39.6;0.469;0.16;0.000236;0.000445;1.59;0.614;8.9e+04;2.02e+05;2.1e+03;0.881;22;0.53;13.3;2.51e+03;79;5.25;0.476;15.2;0;8.97;0;0;0;202;30.8;0.266;0.442;0.601;0.761;5;9.82;0.491;0.167;0.000224;0.00044; 42720;59;266;0.303;0.118;50;0.267;0.436;0.612;0.76;4.77;9.19;0.481;0.159;0.000213;0.000411; 42240;6;245;0.209;0.0823;52;0.26;0.449;0.579;0.762;6.45;11.5;0.441;0.155;0.000295;0.000528; 46320;204;157;0.857;0.329;53;0.267;0.436;0.613;0.761;4.83;9.08;0.468;0.159;0.000215;0.000404; 42880;23;237;0.216;0.0845;51;141;276;158;  0%;  1%;  0%;264;121;138;  1%;  0%;  0%;281;308;282;  1%;  1%;  1%;263;131;148;  1%;  0%;  0%;79.1;4.63;0.91;15.4;0;11.1;0;0;0;80.5;3.38;0.234;15.9;0;12;0;0;0;76;9.77;0.312;13.9;0;0.058;0;0;0;80.6;3.24;0.446;15.7;0;12.7;0;0;0;50.9;49.1;51.5;50.7;7.53 ;7.51 ;8.81 ;6.97 ;
2017-09-01;15:07:09.505;0.273;0.492;0.555;0.76;32.1;43.1;0.254;0.184;0.000346;0.000463;2.37;0.847;9.3e+04;1.89e+05;2.13e+03;0.985;24.6;0.546;13.7;3.84e+03;73;2.88;0.00987;24.1;0;15.9;0;0;0;199;34;0.271;0.492;0.551;0.759;7.6;10.2;0.257;0.187;0.00033;0.000443; 43760;70;388;0.429;0.158;50;0.272;0.492;0.554;0.76;7.2;9.57;0.248;0.187;0.00031;0.000413; 42480;16;408;0.274;0.0915;52;0.278;0.496;0.56;0.762;10;13.6;0.263;0.177;0.000423;0.000574; 45440;290;265;1.38;0.503;53;0.271;0.489;0.554;0.759;7.33;9.7;0.244;0.188;0.000318;0.00042; 42640;47;369;0.287;0.0952;51;206;433;239;  1%;  2%;  1%;411;175;195;  2%;  0%;  1%;438;485;441;  2%;  2%;  2%;407;189;226;  2%;  0%;  1%;72.5;3.08;0.0314;24.3;0;20.6;0;0;0;73;2.65;0.00138;24.4;0;21.1;0;0;0;73.5;3.23;0.00672;23.3;0;0;0;0;0;73;2.56;0;24.5;0;21.8;0;0;0;50;48.2;51.3;49.8;8.09 ;8.06 ;10.2 ;7.6 ;
2017-09-01;15:07:10.518;0.273;0.5;0.545;0.76;33.3;44.3;0.247;0.188;0.000359;0.000477;2.46;0.876;9.29e+04;1.86e+05;2.13e+03;1;25;0.546;13.6;4.01e+03;71.8;2.83;0.0102;25.4;0;17;0;0;0;198;34.5;0.272;0.501;0.543;0.759;7.86;10.5;0.255;0.19;0.000339;0.000455; 43600;69;343;0.44;0.158;50;0.27;0.497;0.544;0.759;7.39;9.71;0.239;0.192;0.000321;0.000422; 41760;22;428;0.276;0.088;51;0.279;0.506;0.551;0.762;10.5;14.1;0.255;0.185;0.000445;0.000597; 45840;321;254;1.45;0.535;53;0.27;0.497;0.544;0.759;7.55;9.88;0.236;0.185;0.000328;0.00043; 41680;56;345;0.293;0.095;51;206;464;233;  1%;  2%;  1%;423;184;204;  2%;  0%;  1%;459;508;469;  2%;  2%;  2%;435;195;227;  2%;  1%;  1%;71.5;2.81;0.0348;25.6;0;22.3;0;0;0;71.6;2.69;0;25.7;0;22.6;0;0;0;72.3;3.28;0.00585;24.4;0;0.0243;0;0;0;71.7;2.53;0;25.8;0;23.3;0;0;0;49.8;48;51.1;49.5;8.14 ;8.22 ;10.5 ;7.66 ;
2017-09-01;15:07:11.531;0.274;0.5;0.549;0.76;33.3;44.4;0.251;0.199;0.000357;0.000476;2.46;0.87;9.33e+04;1.87e+05;2.13e+03;1;25;0.548;13.7;4e+03;72.2;2.96;0.0344;24.8;0;16.2;0;0;0;199;34.4;0.273;0.498;0.548;0.759;7.85;10.5;0.255;0.186;0.000338;0.000453; 44320;88;350;0.449;0.167;50;0.273;0.499;0.547;0.759;7.53;9.97;0.245;0.216;0.000324;0.000429; 41840;28;346;0.28;0.0923;52;0.279;0.505;0.553;0.762;10.4;14;0.259;0.197;0.000438;0.000591; 45760;343;252;1.44;0.521;53;0.271;0.497;0.546;0.759;7.51;9.91;0.243;0.196;0.000325;0.000429; 42000;29;323;0.29;0.0902;51;215;457;233;  1%;  2%;  1%;421;187;213;  2%;  0%;  1%;458;497;461;  2%;  2%;  2%;429;197;229;  2%;  1%;  1%;72.2;2.82;0.0865;24.9;0;20.8;0;0;0;72.2;2.65;0.0139;25.2;0;21.6;0;0;0;72.5;3.5;0.0196;23.9;0;0.0787;0;0;0;71.9;2.86;0.0174;25.3;0;22.2;0;0;0;50;48.1;51.2;49.6;8.2 ;8.2 ;10.4 ;7.62 ;
2017-09-01;15:07:12.544;0.275;0.487;0.564;0.76;30.8;42.1;0.269;0.193;0.000329;0.00045;2.28;0.811;9.35e+04;1.92e+05;2.13e+03;0.973;24.3;0.549;13.7;3.69e+03;74.2;2.82;0.0176;22.9;0;15.4;0;0;0;200;33.9;0.273;0.487;0.561;0.76;7.18;9.95;0.278;0.19;0.000309;0.000428; 43840;81;348;0.415;0.154;50;0.274;0.486;0.563;0.759;6.95;9.39;0.26;0.209;0.000298;0.000403; 41520;24;333;0.265;0.088;52;0.279;0.49;0.569;0.762;9.65;13.3;0.274;0.19;0.000406;0.000559; 44320;281;245;1.33;0.481;53;0.272;0.483;0.563;0.759;7.01;9.47;0.259;0.185;0.000303;0.000409; 42080;36;294;0.271;0.0886;51;199;422;215;  1%;  2%;  1%;390;177;196;  2%;  0%;  1%;420;461;426;  2%;  2%;  2%;395;188;208;  2%;  0%;  1%;73.8;2.96;0.0332;23.2;0;20.1;0;0;0;74.2;2.53;0;23.3;0;20.7;0;0;0;74.7;3.15;0.0372;22.1;0;0;0;0;0;74.2;2.64;0;23.2;0;20.6;0;0;0;50.4;48.5;51.5;50;8.1 ;8.06 ;10.2 ;7.55 ;
2017-09-01;15:07:13.557;0.273;0.491;0.556;0.76;31.9;43.2;0.262;0.186;0.000343;0.000465;2.37;0.855;9.29e+04;1.89e+05;2.13e+03;0.981;24.5;0.546;13.6;3.84e+03;73.2;2.92;0.0827;23.8;0;15.8;0;0;0;200;34;0.272;0.491;0.554;0.76;7.26;10;0.274;0.185;0.000314;0.000432; 44560;110;379;0.433;0.153;50;0.272;0.492;0.554;0.76;7.28;9.77;0.255;0.199;0.000314;0.000421; 42000;28;413;0.277;0.093;51;0.276;0.493;0.561;0.762;10.1;13.7;0.263;0.187;0.00043;0.000583; 43360;345;200;1.38;0.515;53;0.27;0.487;0.555;0.759;7.23;9.74;0.257;0.174;0.000314;0.000423; 42320;46;365;0.285;0.0941;51;196;429;220;  1%;  2%;  1%;414;192;201;  2%;  0%;  1%;456;478;434;  2%;  2%;  2%;417;197;204;  2%;  1%;  1%;72.9;2.99;0.1;24;0;20.7;0;0;0;72.9;2.82;0.111;24.1;0;21;0;0;0;73.6;3.28;0.0761;23;0;0.0109;0;0;0;73.1;2.61;0.0439;24.2;0;21.4;0;0;0;50.1;48.3;51.3;49.8;8.05 ;8.11 ;10.3 ;7.58 ;
2017-09-01;15:07:14.569;0.273;0.488;0.559;0.76;31.2;42.1;0.258;0.186;0.000337;0.000454;2.32;0.847;9.28e+04;1.9e+05;2.13e+03;0.976;24.4;0.545;13.6;3.75e+03;73.5;2.86;0.0522;23.6;0;15.7;0;0;0;200;33.9;0.272;0.49;0.555;0.76;7.06;9.83;0.282;0.19;0.000305;0.000425; 44720;119;394;0.431;0.153;50;0.271;0.487;0.557;0.76;7.12;9.51;0.251;0.194;0.000309;0.000412; 42160;23;451;0.273;0.0912;51;0.276;0.489;0.565;0.762;9.81;13.3;0.262;0.18;0.000417;0.000566; 43920;349;260;1.34;0.508;53;0.271;0.485;0.558;0.76;7.25;9.5;0.237;0.183;0.000315;0.000412; 42800;47;366;0.281;0.0944;51;185;416;226;  0%;  2%;  1%;407;191;186;  2%;  0%;  0%;448;454;425;  2%;  2%;  2%;401;195;216;  2%;  1%;  1%;73;3.03;0.123;23.8;0;20.6;0;0;0;73.3;2.7;0;24;0;20.8;0;0;0;74.1;3.16;0.00388;22.7;0;0.06;0;0;0;73.5;2.54;0.0821;23.9;0;21.2;0;0;0;50.2;48.3;51.4;49.9;8.11 ;8.08 ;10.1 ;7.57 ;
2017-09-01;15:07:15.583;0.273;0.497;0.548;0.76;32.8;43.8;0.252;0.187;0.000354;0.000473;2.44;0.878;9.27e+04;1.86e+05;2.13e+03;0.994;24.9;0.545;13.6;3.96e+03;72.1;2.91;0.0169;25;0;16.6;0;0;0;199;34.6;0.271;0.498;0.545;0.76;7.61;10.2;0.257;0.184;0.00033;0.000444; 45360;124;384;0.446;0.16;50;0.27;0.494;0.547;0.759;7.31;9.72;0.247;0.196;0.000318;0.000423; 42320;1;484;0.281;0.0905;51;0.277;0.5;0.554;0.762;10.3;13.9;0.259;0.181;0.000438;0.000592; 46560;427;297;1.42;0.531;53;0.272;0.497;0.547;0.76;7.56;9.94;0.24;0.189;0.000327;0.00043; 42720;39;360;0.292;0.096;51;197;444;244;  1%;  2%;  1%;431;183;205;  2%;  0%;  1%;469;482;456;  2%;  2%;  2%;423;193;231;  2%;  0%;  1%;71.7;3.09;0.0492;25.1;0;22;0;0;0;72;2.71;0;25.3;0;22;0;0;0;72.7;3.27;0.0186;24;0;0;0;0;0;72.1;2.58;0;25.4;0;22.4;0;0;0;49.9;48.1;51.2;49.6;8.21 ;8.16 ;10.6 ;7.68 ;
