System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-14;20:27:37.274;0.402;0.673;0.597;0.619;110;147;0.253;0.944;0.000195;0.000261;9.93;4.82;5.61e+05;8.34e+05;3.03e+03;1.35;33.7;0.804;20.1;1.46e+04;96.5;2.86;0.00415;0.654;0;0.00336;0;0;0;833;156;0.48;0.802;0.598;0.619;23.7;31.3;0.243;0.955;0.000173;0.000229; 40880;514;2884;2.4;1.2;46;0.388;0.669;0.58;0.619;26.8;37.5;0.286;0.943;0.000187;0.000261; 40800;279;2810;2.22;1.13;48;0.387;0.633;0.612;0.619;28.4;37.6;0.244;0.944;0.000197;0.000261; 47120;338;3175;2.28;1.17;50;0.371;0.619;0.6;0.619;30.6;40.2;0.238;0.934;0.000223;0.000293; 49680;2353;1348;3.03;1.32;46;1.16e+03;1.18e+03;1.27e+03;  1%;  1%;  1%;1.01e+03;1.1e+03;1.45e+03;  1%;  1%;  1%;1.01e+03;1.46e+03;1.14e+03;  1%;  1%;  1%;1.17e+03;1.12e+03;1.58e+03;  1%;  1%;  1%;96.6;2.87;0.0125;0.479;0;0;0;0;0;93.6;5.21;0.00352;1.17;0;0.0127;0;0;0;98.8;0.788;0.000671;0.385;0;0;0;0;0;96.9;2.56;0.00188;0.544;0;0;0;0;0;212;202;212;207;38.4 ;39.5 ;40.3 ;37.5 ;
2018-01-14;20:27:38.293;0.0334;0.247;0.135;0.619;15;26;0.423;0.187;0.000996;0.00173;0.482;0.206;1.51e+04;6.09e+04;8.77e+03;0.494;12.4;0.0668;1.67;552;21.8;3.78;0.647;73.7;0;43;0;0;0;114;31.9;0.0769;0.246;0.313;0.619;12.9;20.5;0.369;0.203;0.000922;0.00146; 51920;216;673;0.133;0.0515;47;0.00712;0.262;0.0271;0.618;1.08;2.58;0.58;0.108;0.00164;0.00389; 43680;11;41;0.121;0.057;48;0.0032;0.277;0.0115;0.615;0.712;1.82;0.609;0.13;0.00251;0.00641; 46160;13;34;0.112;0.0488;51;0.00105;0.317;0.00331;0.604;0.282;1.12;0.747;0.142;0.00312;0.0123; 48160;4;17;0.115;0.0484;47;44.4;44.2;43.8;  0%;  0%;  0%;8.79;8.87;121;  0%;  0%;  0%;7.73;122;10.1;  0%;  0%;  0%;9.05;9.07;124;  0%;  0%;  0%;50.6;4.67;1.58;43.2;0;9.5;0;0;0;4.39;5.69;0.0147;89.9;0;28.6;0;0;0;1.88;2.15;0.0107;96;0;84.6;0;0;0;0.549;1.52;0.017;97.9;0;86.4;0;0;0;30.2;27.6;28.8;27.5;8.1 ;8.29 ;8.08 ;7.43 ;
2018-01-14;20:27:39.311;0.000738;0.69;0.00107;0.607;0.34;1.54;0.779;0.203;0.00134;0.00608;0.344;0.0466;253;366;2.14e+03;1.38;34.5;0.00148;0.0369;321;0.176;1.98;0.834;97;0;69.9;0.458;1.56;0;112;29.9;0.00266;0.865;0.00307;0.611;0.268;1.13;0.762;0.237;0.00118;0.00497; 51120;4;20;0.0961;0.0203;47;8.92e-05;0.242;0.000368;0.598;0.025;0.136;0.816;0.0827;0.00328;0.0178; 43360;2;7;0.0837;0.0102;48;8.35e-05;0.233;0.000359;0.593;0.0204;0.127;0.839;0.0794;0.00285;0.0177; 46080;0;6;0.0808;0.00822;51;0.000124;0.257;0.000483;0.593;0.0257;0.145;0.822;0.111;0.00243;0.0137; 48160;0;10;0.0834;0.00792;47;15.1;14.7;15.3;  0%;  0%;  0%;0.635;1.19;89.8;  0%;  0%;  0%;0.537;89.8;1.04;  0%;  0%;  0%;0.91;1.12;90.7;  0%;  0%;  0%;0.502;4.71;3.3;91.5;0;24.2;1.83;0.207;0;0.0616;2.26;0.00392;97.7;0;73.4;0;1.95;0;0.0606;0.447;0.00243;99.5;0;91.3;0;2;0;0.0814;0.51;0.024;99.4;0;90.7;0;2.09;0;29.1;27.2;28.3;27.1;7.79 ;7.7 ;7.55 ;6.89 ;
2018-01-14;20:27:40.310;0.000663;0.699;0.000949;0.602;0.296;1.39;0.787;0.226;0.00133;0.00623;0.321;0.0372;223;319;2.1e+03;1.4;34.9;0.00133;0.0332;301;0.158;1.48;0.916;97.4;0;72.1;1.34;4.42;0;108;28.4;0.00238;0.878;0.00271;0.605;0.236;1.02;0.768;0.267;0.00118;0.00509; 51760;9;13;0.0851;0.0132;47;8.21e-05;0.249;0.000329;0.594;0.021;0.122;0.827;0.0758;0.00305;0.0177; 43600;0;5;0.0792;0.00877;48;7.36e-05;0.234;0.000314;0.592;0.0178;0.111;0.84;0.069;0.00288;0.018; 46320;0;6;0.0759;0.00662;51;0.000115;0.261;0.000441;0.598;0.0214;0.137;0.844;0.101;0.00221;0.0142; 48720;0;5;0.0806;0.0086;48;13.6;13.3;13.8;  0%;  0%;  0%;0.558;1.02;84.9;  0%;  0%;  0%;0.502;84.9;0.907;  0%;  0%;  0%;0.839;0.994;85.4;  0%;  0%;  0%;0.448;2.1;3.55;93.9;0;55.5;5.26;0.527;0;0.0555;2.3;0.0883;97.6;0;70;0.0915;5.5;0;0.053;0.345;0.00201;99.6;0;88.9;0;5.71;0;0.0738;1.16;0.0223;98.7;0;74;0;5.92;0;27.9;26.3;27.2;26.3;7.34 ;7.26 ;7.18 ;6.6 ;
2018-01-14;20:27:41.328;0.000648;0.694;0.000934;0.603;0.285;1.3;0.781;0.232;0.00129;0.00588;0.34;0.0526;222;320;2.14e+03;1.39;34.7;0.0013;0.0324;307;0.155;2.62;0.866;96.4;0;57.9;0;0;0;113;30.1;0.00232;0.874;0.00266;0.603;0.233;0.941;0.752;0.277;0.00118;0.00473; 51280;7;15;0.087;0.0142;47;7.91e-05;0.252;0.000314;0.619;0.0176;0.116;0.848;0.0768;0.0026;0.0171; 43440;0;7;0.093;0.0217;49;7.58e-05;0.248;0.000305;0.596;0.0166;0.111;0.85;0.0798;0.00256;0.0171; 46480;0;4;0.0773;0.00717;51;0.000115;0.25;0.00046;0.598;0.0174;0.136;0.872;0.101;0.00177;0.0138; 48480;0;3;0.0825;0.00944;48;13.8;13.8;14.1;  0%;  0%;  0%;0.558;0.996;86.3;  0%;  0%;  0%;0.517;86.9;0.882;  0%;  0%;  0%;0.884;1.02;87.2;  0%;  0%;  0%;0.441;2.2;3.4;94;0;59.9;0;0;0;0.0507;6.58;0.0476;93.3;0;0;0;0;0;0.0512;0.335;0.00193;99.6;0;94.9;0;0;0;0.0769;1.36;0.0119;98.6;0;76.9;0;0;0;29;27.6;28.5;27.5;7.77 ;7.78 ;7.54 ;7 ;
2018-01-14;20:27:42.637;0.103;1.35;0.0765;0.619;4.44;11;0.598;0.761;0.000116;0.000288;1.24;0.976;3.83e+04;2.83e+04;2.14e+03;2.71;67.6;0.207;5.17;1.69e+03;12.4;5.3;0.783;81.6;0;42.9;0;0;0;182;42;0.0796;1.27;0.0626;0.619;1.11;3.25;0.659;0.32;0.000155;0.000456; 53280;51;124;0.326;0.292;47;0.0765;1.28;0.0595;0.619;0.779;1.94;0.599;0.37;0.000114;0.000283; 46640;29;110;0.281;0.22;48;0.103;1.36;0.0759;0.619;1.38;2.92;0.527;0.666;0.000146;0.000308; 62160;46;127;0.266;0.212;51;0.151;1.43;0.105;0.619;1.17;2.91;0.599;0.902;7.89e-05;0.000197; 50640;57;169;0.367;0.252;47;116;135;130;  0%;  0%;  0%;101;98.6;216;  0%;  0%;  1%;92.7;230;106;  0%;  1%;  0%;121;109;238;  0%;  0%;  1%;10.1;5.57;3.03;81.3;0;32.7;0;0;0;9.62;4.29;0.0684;86;0;69.3;0;0;0;12.3;3.24;0.0584;84.4;0;72.8;0;0;0;17;7.9;0.0677;75;0;0.0409;0;0;0;46.6;43.9;46;45.2;10.8 ;10.5 ;10.6 ;9.99 ;
2018-01-14;20:27:44.205;0.413;0.786;0.526;0.619;114;145;0.213;0.962;0.000559;0.00071;26.4;32.6;2.04e+05;2.59e+05;2.75e+03;1.57;39.3;0.827;20.7;4.12e+04;85;5.49;0.258;9.25;0;0.0135;0;0;0;341;99.7;0.39;0.806;0.484;0.619;23.2;30.9;0.247;0.949;0.000506;0.000673; 48800;1212;3926;6.57;8.09;47;0.377;0.784;0.48;0.619;25.3;32.1;0.212;0.946;0.000549;0.000697; 48000;1313;4667;6.64;8.17;48;0.446;0.812;0.549;0.619;30.8;38.8;0.206;0.96;0.000548;0.00069; 45200;1622;5627;6.52;8.15;49;0.439;0.746;0.588;0.619;34.6;43;0.196;0.974;0.000621;0.000773; 60240;2712;5508;6.63;8.17;46;3.47e+03;3.39e+03;3.39e+03; 12%; 12%; 12%;3.42e+03;3.42e+03;3.59e+03; 12%; 12%; 12%;3.4e+03;3.5e+03;3.36e+03; 12%; 12%; 11%;3.36e+03;3.43e+03;3.49e+03; 11%; 12%; 12%;78.1;4.25;0.745;16.9;0;0.0225;0;0;0;77.6;4.68;0.207;17.5;0;0;0;0;0;88.6;8.68;0.0861;2.62;0;0;0;0;0;95;4.24;0.027;0.777;0;0.0317;0;0;0;83;79.7;88.8;89.2;24.8 ;25.3 ;25.9 ;23.7 ;
2018-01-14;20:27:45.656;0.303;0.49;0.618;0.619;222;253;0.122;0.252;0.00148;0.00169;25.7;35.3;1.5e+05;3.06e+05;3.29e+03;0.979;24.5;0.605;15.1;4.6e+04;99.9;0.141;0;0;0;0;0;0;0;323;111;0.281;0.455;0.618;0.619;58.6;68;0.138;0.258;0.00165;0.00192; 51440;3477;11716;6.44;8.82;47;0.294;0.475;0.618;0.619;57;65.2;0.126;0.256;0.00155;0.00177; 49920;3399;11391;6.36;8.74;48;0.31;0.501;0.618;0.619;53.6;60.7;0.117;0.25;0.00141;0.0016; 51120;3119;10452;6.36;8.87;50;0.327;0.529;0.618;0.619;52.9;59.2;0.106;0.243;0.00133;0.00149; 42320;3973;8932;6.53;8.87;46;3.8e+03;3.88e+03;3.86e+03; 13%; 13%; 13%;3.8e+03;3.87e+03;3.78e+03; 13%; 13%; 13%;3.82e+03;3.84e+03;3.82e+03; 13%; 13%; 13%;3.83e+03;3.87e+03;3.85e+03; 13%; 13%; 13%;99.9;0.133;0;0;0;0;0;0;0;99.9;0.139;0;0;0;0;0;0;0;99.9;0.143;0;0;0;0;0;0;0;99.9;0.148;0;0;0;0;0;0;0;81.7;78.6;82;80.5;27.2 ;28 ;29.3 ;26 ;
2018-01-14;20:27:47.096;0.502;0.811;0.618;0.619;316;325;0.0261;0.767;0.0013;0.00134;19.2;24;2.43e+05;3e+05;3.05e+03;1.62;40.6;1;25.1;3.03e+04;99.8;0.169;0;0;0;0;0;0;0;322;95.4;0.497;0.804;0.618;0.619;82.3;84.5;0.0257;0.507;0.00136;0.0014; 47920;2097;5953;4.85;6.03;47;0.503;0.814;0.618;0.619;79.4;81.5;0.0257;0.764;0.0013;0.00134; 48480;1906;5890;4.83;6.04;48;0.506;0.819;0.618;0.619;77.4;79.6;0.027;0.822;0.00127;0.0013; 53360;1939;5599;4.78;5.95;50;0.5;0.809;0.618;0.619;77.4;79.5;0.0261;0.816;0.00128;0.00131; 51120;1877;5639;4.79;5.99;47;2.57e+03;2.5e+03;2.52e+03;  9%;  9%;  9%;2.52e+03;2.54e+03;2.57e+03;  9%;  9%;  9%;2.53e+03;2.51e+03;2.49e+03;  9%;  9%;  8%;2.49e+03;2.54e+03;2.53e+03;  8%;  9%;  9%;99.8;0.165;0;0;0;0;0;0;0;99.8;0.172;0;0;0;0;0;0;0;99.8;0.169;0;0;0;0;0;0;0;99.8;0.17;0;0;0;0;0;0;0;81.8;78.6;82;80.2;23.5 ;24.5 ;25.3 ;22.1 ;
2018-01-14;20:27:48.556;0.405;0.655;0.618;0.619;255;262;0.0268;0.918;0.00129;0.00132;17.3;13.4;1.98e+05;3.02e+05;3.02e+03;1.31;32.8;0.81;20.2;2.1e+04;99.8;0.159;0;0;0;0;0;0;0;319;85.4;0.404;0.654;0.618;0.619;65;66.9;0.0282;0.91;0.00132;0.00136; 50960;1175;3543;4.33;3.36;46;0.402;0.651;0.618;0.619;64.2;65.8;0.0245;0.91;0.00131;0.00134; 52080;1135;3515;4.26;3.27;48;0.406;0.658;0.618;0.619;63.4;65.3;0.0286;0.922;0.00128;0.00132; 51360;1117;3417;4.31;3.35;50;0.407;0.658;0.618;0.619;62;63.7;0.026;0.927;0.00124;0.00128; 45840;1163;3364;4.38;3.37;47;1.7e+03;1.76e+03;1.79e+03;  6%;  6%;  6%;1.74e+03;1.74e+03;1.75e+03;  6%;  6%;  6%;1.72e+03;1.81e+03;1.74e+03;  6%;  6%;  6%;1.74e+03;1.74e+03;1.81e+03;  6%;  6%;  6%;99.8;0.17;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;99.9;0.144;0;0;0;0;0;0;0;80.8;77.7;81;79.2;20.9 ;21.7 ;23 ;19.9 ;
