System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-14;19:18:22.496;0.0334;0.247;0.135;0.666;87.3;114;0.231;0.0892;0.00614;0.00798;0.301;0.29;1.42e+04;5.76e+04;3.23e+03;0.494;12.4;0.0667;1.67;434;20.3;3.7;0.0346;76;0;44.8;0;0;0;120;32.9;0.0393;0.227;0.173;0.666;29.6;38;0.221;0.0775;0.00654;0.00839; 46320;432;1394;0.0761;0.0776;47;0.0346;0.233;0.149;0.667;24.8;31.6;0.213;0.0845;0.00649;0.00825; 48080;314;1248;0.0748;0.0826;48;0.039;0.306;0.127;0.667;20.9;28.1;0.254;0.109;0.00524;0.00702; 50720;326;1214;0.0826;0.0545;50;0.0191;0.23;0.0833;0.665;11.9;15.9;0.248;0.09;0.00637;0.00847; 46880;324;531;0.0672;0.0754;47;9;84.2;7.72;  0%;  0%;  0%;81;6.21;7.8;  0%;  0%;  0%;46.6;49;46.6;  0%;  0%;  0%;81.9;6.15;7.49;  0%;  0%;  0%;25.9;1.94;0.0601;72.1;0;64.6;0;0;0;22.3;4.75;0.0354;72.9;0;35.5;0;0;0;19.1;6.22;0.0182;74.7;0;0;0;0;0;12.5;1.96;0.0206;85.5;0;79;0;0;0;30.2;29;31.9;29.1;8.36 ;8.56 ;8.37 ;7.62 ;
2018-01-14;19:18:23.514;0.00347;0.726;0.00478;0.661;5.16;8.58;0.398;0.177;0.00435;0.00722;0.374;0.362;1.19e+03;1.63e+03;2.14e+03;1.45;36.3;0.00694;0.174;589;0.723;3.32;0.0198;95.9;0;52.3;0;0;0;118;33.1;0.000351;0.366;0.000959;0.623;0.11;0.55;0.8;0.137;0.00366;0.0183; 47120;7;2;0.0946;0.0964;47;0.000257;0.281;0.000916;0.632;0.0775;0.311;0.751;0.133;0.00352;0.0141; 48240;0;9;0.0912;0.1;48;0.0131;0.786;0.0167;0.666;4.92;7.49;0.343;0.184;0.00439;0.00668; 49040;131;452;0.102;0.0705;50;0.000154;0.279;0.00055;0.628;0.0527;0.225;0.765;0.111;0.00402;0.0171; 47040;3;6;0.0862;0.0944;47;13.5;107;11.8;  0%;  0%;  0%;101;10.3;12.2;  0%;  0%;  0%;69.2;73.4;69.4;  0%;  0%;  0%;99.2;10.3;12.3;  0%;  0%;  0%;0.154;1.09;0.0293;98.7;0;82.6;0;0;0;0.145;3.91;0.0268;95.9;0;43.9;0;0;0;2.51;7.16;0.0119;90.3;0;1.75;0;0;0;0.0877;1.12;0.0112;98.8;0;81.1;0;0;0;29.7;28.5;31.5;28.7;8.31 ;8.58 ;8.5 ;7.75 ;
2018-01-14;19:18:24.917;0.484;0.975;0.497;0.667;44.4;68.9;0.355;0.937;0.000241;0.000374;23.1;27.3;1.84e+05;1.89e+05;2.14e+03;1.95;48.8;0.969;24.2;3.96e+04;74.5;5.75;0.115;19.6;0;8.93;0.316;0.95;0;330;79.1;0.512;1.06;0.481;0.667;4.86;8.71;0.442;0.964;0.000106;0.00019; 49760;298;874;5.81;6.88;44;0.488;1.03;0.474;0.667;8.7;13.6;0.362;0.945;0.000191;0.0003; 49200;556;1799;5.56;6.53;45;0.474;0.934;0.507;0.667;14.1;21.4;0.339;0.924;0.000308;0.000466; 50640;1058;2974;5.93;7.04;45;0.467;0.895;0.522;0.667;16.7;25.1;0.333;0.922;0.000356;0.000533; 45840;1150;3531;5.8;6.89;45;3.08e+03;3.34e+03;3.28e+03; 14%; 15%; 15%;3.29e+03;3.23e+03;3.11e+03; 15%; 14%; 14%;3.33e+03;3.39e+03;3.47e+03; 15%; 15%; 15%;3.47e+03;3.29e+03;3.31e+03; 15%; 15%; 15%;72.1;7.03;0.0936;20.7;0;11.2;0;1.34;0;71.1;8.32;0.184;20.4;0;3.18;1.29;0;0;76.1;4.48;0.0925;19.3;0;10.5;0;1.24;0;78.2;3.47;0.0913;18.2;0;10.8;0;1.21;0;82.8;80.7;85.3;81.6;20 ;19.8 ;20.6 ;18.7 ;
2018-01-14;19:18:26.364;0.304;0.457;0.666;0.667;250;303;0.173;0.508;0.00171;0.00207;28.3;42.7;1.46e+05;3.2e+05;2.95e+03;0.914;22.8;0.608;15.2;4.83e+04;99.8;0.152;0;0;0;0;0;0;0;347;117;0.276;0.414;0.666;0.667;63.9;79.3;0.194;0.534;0.00193;0.00239; 54720;4327;13927;7.14;10.7;46;0.292;0.439;0.666;0.667;62.7;76.4;0.18;0.542;0.00179;0.00218; 50880;4052;13565;7.05;10.7;47;0.317;0.476;0.666;0.667;61.2;73.3;0.165;0.526;0.00161;0.00193; 51520;3852;12481;7.05;10.6;49;0.331;0.498;0.666;0.667;62.7;74.1;0.154;0.405;0.00155;0.00184; 51040;4639;11388;7.09;10.7;46;4.17e+03;4.04e+03;4.06e+03; 15%; 14%; 14%;3.99e+03;4.03e+03;4.14e+03; 14%; 14%; 15%;3.95e+03;4e+03;3.93e+03; 14%; 14%; 14%;3.95e+03;4.01e+03;4.03e+03; 14%; 14%; 14%;99.8;0.154;0;0;0;0;0;0;0;99.9;0.144;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;99.9;0.147;0;0;0;0;0;0;0;88;84.6;88.6;86.2;28.8 ;29.5 ;30.8 ;27.6 ;
2018-01-14;19:18:28.012;0.527;0.792;0.665;0.667;367;376;0.0253;0.806;0.00129;0.00132;24.4;27.5;2.85e+05;3.6e+05;3.06e+03;1.58;39.6;1.05;26.4;3.62e+04;99.8;0.175;0;0;0;0;0;0;0;382;112;0.529;0.795;0.665;0.667;91.8;94.2;0.0252;0.701;0.00133;0.00136; 55840;2201;6600;6.16;6.93;47;0.531;0.797;0.666;0.667;91.8;94.2;0.0254;0.807;0.00129;0.00132; 44000;2228;6598;6.05;6.84;48;0.53;0.797;0.666;0.667;91.5;93.9;0.0255;0.836;0.00125;0.00129; 49360;2140;6451;6.14;6.93;49;0.52;0.781;0.665;0.667;91.8;94.2;0.0253;0.832;0.00128;0.00131; 47200;2150;6337;6.03;6.8;46;3.04e+03;3.03e+03;3.03e+03;  9%;  9%;  9%;3.01e+03;2.97e+03;3.04e+03;  9%;  9%;  9%;3.02e+03;3.03e+03;3.02e+03;  9%;  9%;  9%;3e+03;2.98e+03;3.03e+03;  9%;  9%;  9%;99.8;0.178;0;0;0;0;0;0;0;99.8;0.174;0;0;0;0;0;0;0;99.8;0.174;0;0;0;0;0;0;0;99.8;0.175;0;0;0;0;0;0;0;96.7;92.7;97.1;95.1;27.7 ;28.5 ;30.1 ;26 ;
2018-01-14;19:18:29.160;0.366;0.554;0.661;0.667;292;319;0.0824;0.649;0.00172;0.00187;21;16.6;1.7e+05;3.07e+05;3.44e+03;1.11;27.7;0.731;18.3;3e+04;99.1;0.916;0;0;0;0;0;0;0;265;79.1;0.375;0.568;0.661;0.667;75.9;82;0.0748;0.766;0.00162;0.00175; 57360;1765;4959;5.32;4.2;46;0.365;0.551;0.662;0.667;75;81.4;0.0795;0.584;0.00173;0.00187; 48880;1699;5015;5.23;4.17;47;0.362;0.548;0.66;0.667;71.8;78.4;0.0843;0.562;0.00176;0.00192; 50960;1596;4749;5.21;4.12;48;0.359;0.546;0.658;0.667;69.7;76.7;0.0917;0.577;0.00179;0.00197; 46960;1565;4709;5.24;4.11;46;2.53e+03;2.51e+03;2.5e+03;  9%;  9%;  9%;2.48e+03;2.53e+03;2.49e+03;  9%;  9%;  9%;2.48e+03;2.48e+03;2.51e+03;  9%;  9%;  9%;2.49e+03;2.53e+03;2.49e+03;  9%;  9%;  9%;99.2;0.786;0;0;0;0;0;0;0;99.4;0.632;0;0;0;0;0;0;0;98.9;1.05;0;0;0;0;0;0;0;98.8;1.24;0;0;0;0;0;0;0;67.2;64.6;67.5;66;19.5 ;20.1 ;21.2 ;18.3 ;
2018-01-14;19:18:30.556;0.331;0.529;0.625;0.667;432;530;0.186;0.704;0.00319;0.00392;38.8;37.7;1.35e+05;2.56e+05;2.41e+03;1.06;26.5;0.661;16.5;6.54e+04;93.7;6.28;0;0;0;0;0;0;0;345;117;0.327;0.527;0.619;0.667;103;128;0.194;0.679;0.00318;0.00395; 44160;2522;7056;9.85;9.44;46;0.331;0.526;0.629;0.667;107;132;0.189;0.714;0.00319;0.00394; 52560;2565;7586;9.61;9.44;47;0.331;0.531;0.622;0.667;109;133;0.184;0.709;0.00317;0.00389; 52080;2576;7731;9.62;9.39;48;0.334;0.531;0.629;0.667;113;138;0.178;0.709;0.0032;0.00389; 51600;2732;8099;9.74;9.41;46;5.47e+03;5.46e+03;5.49e+03; 23%; 23%; 23%;5.42e+03;5.46e+03;5.46e+03; 23%; 23%; 23%;5.44e+03;5.47e+03;5.43e+03; 23%; 23%; 23%;5.43e+03;5.45e+03;5.47e+03; 23%; 23%; 23%;92.9;7.1;0;0;0;0;0;0;0;94.3;5.71;0;0;0;0;0;0;0;93.3;6.67;0;0;0;0;0;0;0;94.3;5.67;0;0;0;0;0;0;0;87.3;84.1;88;86;28.9 ;29.6 ;30.6 ;27.4 ;
2018-01-14;19:18:32.066;0.398;0.6;0.663;0.667;518;544;0.0491;0.918;0.00269;0.00283;43.1;54.9;1.92e+05;3.2e+05;2.93e+03;1.2;30;0.795;19.9;8.41e+04;99.4;0.557;0;0;0;0;0;0;0;410;127;0.4;0.609;0.657;0.667;128;135;0.0532;0.917;0.00269;0.00284; 45840;3422;9863;10.8;13.7;44;0.404;0.607;0.665;0.667;130;137;0.0471;0.92;0.00269;0.00282; 55440;3508;10676;10.7;13.7;46;0.397;0.596;0.666;0.667;131;138;0.0502;0.916;0.00271;0.00286; 62880;3599;10882;10.8;13.7;46;0.389;0.587;0.663;0.667;129;135;0.0458;0.92;0.00268;0.00281; 49920;3633;11074;10.8;13.7;45;6.99e+03;7.03e+03;7e+03; 25%; 25%; 25%;7.02e+03;6.98e+03;7e+03; 25%; 25%; 25%;7.03e+03;7e+03;7.03e+03; 25%; 25%; 25%;7.02e+03;6.99e+03;6.98e+03; 25%; 25%; 25%;98.6;1.4;0;0;0;0;0;0;0;99.8;0.188;0;0;0;0;0;0;0;99.9;0.0849;0;0;0;0;0;0;0;99.4;0.565;0;0;0;0;0;0;0;103;100;105;101;31.5 ;32.1 ;33.2 ;30.3 ;
2018-01-14;19:18:33.524;0.297;0.448;0.663;0.667;648;1.01e+03;0.36;0.508;0.00432;0.00674;48.1;45.3;1.5e+05;3.35e+05;3.17e+03;0.896;22.4;0.595;14.9;8.37e+04;99.5;0.392;0.0481;0.0658;0;0;0;0;0;375;131;0.297;0.449;0.662;0.667;161;246;0.345;0.55;0.00426;0.00649; 50880;4803;14463;12.2;11.4;46;0.294;0.442;0.664;0.667;161;250;0.357;0.516;0.00431;0.0067; 50080;4677;14111;12;11.3;47;0.299;0.451;0.664;0.667;162;254;0.364;0.519;0.00431;0.00678; 55680;4654;13941;12;11.3;48;0.299;0.451;0.662;0.667;164;261;0.372;0.437;0.00439;0.00698; 47440;4545;13201;12;11.3;46;7e+03;7.01e+03;6.99e+03; 24%; 24%; 24%;6.97e+03;6.95e+03;6.98e+03; 24%; 24%; 24%;6.97e+03;6.97e+03;6.96e+03; 24%; 24%; 24%;6.97e+03;6.98e+03;6.99e+03; 24%; 24%; 24%;99.4;0.51;0.0486;0.081;0;0;0;0;0;99.7;0.308;0.0201;0;0;0;0;0;0;99.7;0.275;0.0363;0.0296;0;0;0;0;0;99.3;0.474;0.0879;0.153;0;0;0;0;0;94.9;91.2;96;92.9;32.2 ;33.4 ;34.4 ;30.9 ;
2018-01-14;19:18:35.663;0.228;0.344;0.663;0.667;406;598;0.321;0.759;0.00254;0.00374;23.6;10.1;1.6e+05;4.65e+05;3.8e+03;0.689;17.2;0.457;11.4;4.34e+04;99.5;0.545;0.00071;0.00047;0;0;0;0;0;476;107;0.239;0.361;0.661;0.667;96.8;149;0.35;0.76;0.00242;0.00372; 46560;1603;5022;5.85;2.49;45;0.233;0.351;0.664;0.667;100;149;0.329;0.776;0.00246;0.00366; 49200;1744;5099;5.85;2.51;47;0.226;0.34;0.665;0.667;104;151;0.313;0.76;0.00257;0.00374; 49280;1724;5179;5.83;2.51;48;0.215;0.326;0.662;0.667;105;149;0.294;0.739;0.00271;0.00384; 50400;1751;4847;6.1;2.57;46;3.58e+03;3.6e+03;3.65e+03;  8%;  9%;  9%;3.58e+03;3.64e+03;3.6e+03;  8%;  9%;  8%;3.58e+03;3.62e+03;3.62e+03;  8%;  9%;  9%;3.61e+03;3.63e+03;3.67e+03;  9%;  9%;  9%;99.2;0.791;0;0;0;0;0;0;0;99.6;0.445;0.00221;0;0;0;0;0;0;99.8;0.196;0.000621;0;0;0;0;0;0;99.2;0.758;0;0.00183;0;0;0;0;0;120;116;122;118;26 ;27.3 ;28.1 ;25.4 ;
