System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-14;18:38:32.146;0.00321;0.636;0.00505;0.711;7.5;10.6;0.294;0.125;0.00684;0.00969;0.526;0.51;1.1e+03;1.72e+03;2.13e+03;1.27;31.8;0.00643;0.161;842;0.711;7.46;0.00502;91.8;0;35.9;0;0;0;123;33.5;0.00047;0.533;0.000882;0.675;0.0606;0.38;0.84;0.116;0.00151;0.00948; 51520;9;2;0.129;0.138;47;0.000149;0.225;0.000661;0.714;0.0346;0.255;0.864;0.0738;0.00273;0.0201; 45600;0;2;0.136;0.148;48;0.0121;0.667;0.0182;0.714;7.37;9.82;0.249;0.127;0.00714;0.00951; 51600;182;532;0.136;0.0887;50;0.000127;0.248;0.000512;0.647;0.0289;0.165;0.825;0.0917;0.00267;0.0152; 48160;2;7;0.124;0.135;47;15.2;151;15.6;  0%;  0%;  0%;150;14.5;15.4;  0%;  0%;  0%;100;101;99.8;  0%;  0%;  0%;149;14.6;15.7;  0%;  0%;  0%;0.131;4.75;0.0144;95.1;0;60.1;0;0;0;0.0925;17.7;0.00142;82.2;0;0;0;0;0;2.54;6.21;0;91.2;0;0;0;0;0;0.0792;1.23;0.00426;98.7;0;83.5;0;0;0;30.7;30.6;32.2;29.5;8.41 ;8.67 ;8.52 ;7.89 ;
2018-01-14;18:38:33.456;0.337;1.11;0.303;0.714;10.3;20.4;0.495;0.934;8.21e-05;0.000163;1.78;1.94;1.25e+05;1.13e+05;2.13e+03;2.22;55.6;0.673;16.8;2.87e+03;42.4;11.2;0.133;46.2;0;0.117;0;0;0;232;44.5;0.334;1.14;0.294;0.714;1.78;4.11;0.568;0.938;5.93e-05;0.000137; 50080;135;268;0.478;0.546;46;0.336;1.15;0.292;0.714;1.76;3.79;0.534;0.946;5.8e-05;0.000124; 52480;96;337;0.375;0.459;47;0.337;1.11;0.303;0.714;4.64;7.64;0.393;0.897;0.000146;0.000241; 50080;182;549;0.425;0.449;50;0.34;1.06;0.32;0.714;2.11;4.86;0.565;0.95;6.35e-05;0.000146; 53920;103;390;0.504;0.49;46;217;275;226;  1%;  1%;  1%;249;210;222;  1%;  0%;  1%;236;265;254;  1%;  1%;  1%;266;210;239;  1%;  0%;  1%;41.2;7.71;0.127;51;0;0.203;0;0;0;40.9;17.7;0.2;41.2;0;0.108;0;0;0;42.4;12.7;0.061;44.7;0;0;0;0;0;44.9;7.06;0.144;47.9;0;0.16;0;0;0;58.1;57.4;59;57.4;11.3 ;11.2 ;11.3 ;10.6 ;
2018-01-14;18:38:34.904;0.838;1.19;0.702;0.714;16.7;130;0.871;0.908;4.38e-05;0.00034;1.66;1.87;3.82e+05;3.2e+05;2.75e+03;2.39;59.6;1.68;41.9;2.55e+03;98.3;1.33;0.16;0.198;0;0;0;0;0;368;50.8;0.819;1.16;0.704;0.714;4.27;31.4;0.864;0.909;4.67e-05;0.000344; 51200;246;728;0.43;0.468;46;0.826;1.18;0.697;0.714;4.17;30.8;0.865;0.913;4.42e-05;0.000327; 58080;148;504;0.391;0.459;47;0.843;1.2;0.705;0.714;4.13;33.4;0.876;0.906;4.3e-05;0.000347; 53920;198;390;0.439;0.479;49;0.862;1.23;0.703;0.714;4.15;34.3;0.879;0.905;4.14e-05;0.000342; 50000;128;422;0.398;0.467;46;211;216;216;  0%;  0%;  0%;212;206;209;  0%;  0%;  0%;215;219;214;  0%;  0%;  0%;210;205;213;  0%;  0%;  0%;98.6;1.12;0.0944;0.231;0;0;0;0;0;97.6;2.08;0.0927;0.196;0;0;0;0;0;98.6;0.86;0.261;0.237;0;0;0;0;0;98.4;1.24;0.191;0.129;0;0;0;0;0;92.8;89.5;93.8;92.4;12.7 ;12.8 ;13.2 ;12 ;
2018-01-14;18:38:36.384;0.916;1.29;0.713;0.714;15.7;156;0.899;0.888;3.48e-05;0.000345;1.71;1.81;4.51e+05;3.51e+05;3.04e+03;2.57;64.3;1.83;45.8;2.61e+03;99.8;0.18;0;0;0;0;0;0;0;377;52;0.917;1.29;0.713;0.714;3.84;38.9;0.901;0.888;3.42e-05;0.000346; 53360;245;660;0.443;0.457;46;0.916;1.28;0.713;0.714;3.93;38;0.896;0.891;3.49e-05;0.000337; 55680;133;338;0.408;0.438;47;0.916;1.29;0.713;0.714;3.87;39.6;0.902;0.888;3.43e-05;0.00035; 53120;109;336;0.446;0.462;49;0.916;1.29;0.713;0.714;4.07;39.4;0.897;0.887;3.59e-05;0.000348; 53680;106;353;0.413;0.45;46;209;209;221;  0%;  0%;  0%;209;212;229;  0%;  0%;  0%;212;233;216;  0%;  0%;  0%;212;211;241;  0%;  0%;  0%;99.8;0.182;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.215;0;0;0;0;0;0;0;94.9;91.7;95.9;94.6;13 ;13.2 ;13.5 ;12.3 ;
2018-01-14;18:38:37.848;0.916;1.29;0.712;0.714;15.8;157;0.899;0.889;3.47e-05;0.000344;1.6;1.74;4.55e+05;3.54e+05;3.16e+03;2.57;64.3;1.83;45.8;2.52e+03;99.7;0.264;0;0;0;0;0;0;0;373;51.4;0.915;1.29;0.71;0.714;3.89;39.4;0.901;0.888;3.41e-05;0.000345; 49760;251;649;0.409;0.434;46;0.916;1.29;0.713;0.714;4.01;38.5;0.896;0.891;3.52e-05;0.000337; 60080;135;382;0.381;0.419;47;0.917;1.29;0.713;0.714;3.81;39.5;0.904;0.888;3.35e-05;0.000347; 50480;112;330;0.423;0.448;49;0.916;1.29;0.713;0.714;4.09;39.2;0.896;0.888;3.62e-05;0.000347; 51360;119;351;0.387;0.435;46;210;208;213;  0%;  0%;  0%;208;208;208;  0%;  0%;  0%;212;212;210;  0%;  0%;  0%;207;208;212;  0%;  0%;  0%;99.5;0.55;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;99.8;0.181;0;0;0;0;0;0;0;94;90.7;94.7;93.5;12.8 ;13.1 ;13.3 ;12.1 ;
2018-01-14;18:38:39.328;0.917;1.29;0.713;0.714;15.5;155;0.9;0.889;3.44e-05;0.000344;1.6;1.75;4.51e+05;3.51e+05;3.03e+03;2.57;64.3;1.83;45.8;2.51e+03;99.8;0.161;0;0;0;0;0;0;0;377;51.7;0.917;1.29;0.713;0.714;3.86;38.8;0.901;0.888;3.44e-05;0.000346; 52320;247;674;0.395;0.436;45;0.916;1.28;0.713;0.714;3.91;37.7;0.896;0.891;3.49e-05;0.000336; 57280;137;385;0.382;0.425;47;0.917;1.29;0.713;0.714;3.8;39.2;0.903;0.888;3.37e-05;0.000348; 52880;113;346;0.438;0.454;49;0.917;1.29;0.713;0.714;3.93;39.2;0.9;0.888;3.46e-05;0.000345; 51360;121;355;0.386;0.439;46;208;209;211;  0%;  0%;  0%;210;208;205;  0%;  0%;  0%;213;212;212;  0%;  0%;  0%;208;207;209;  0%;  0%;  0%;99.8;0.16;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;94.9;91.6;95.9;94.6;12.9 ;13.1 ;13.5 ;12.2 ;
2018-01-14;18:38:40.756;0.917;1.29;0.713;0.714;15.3;154;0.901;0.889;3.4e-05;0.000343;1.54;1.68;4.5e+05;3.5e+05;3.11e+03;2.57;64.3;1.83;45.8;2.42e+03;99.8;0.161;0;0;0;0;0;0;0;364;49.7;0.917;1.29;0.713;0.714;3.83;39;0.902;0.888;3.39e-05;0.000345; 54000;278;672;0.379;0.42;46;0.917;1.29;0.713;0.714;3.89;37.9;0.898;0.891;3.44e-05;0.000336; 58240;125;385;0.367;0.411;47;0.917;1.29;0.713;0.714;3.74;38.9;0.904;0.888;3.33e-05;0.000347; 50320;129;328;0.423;0.43;49;0.917;1.29;0.713;0.714;3.84;38.4;0.9;0.888;3.44e-05;0.000345; 53040;115;327;0.371;0.423;46;199;201;203;  0%;  0%;  0%;203;200;197;  0%;  0%;  0%;206;203;206;  0%;  0%;  0%;202;199;201;  0%;  0%;  0%;99.8;0.161;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;91.6;88.5;92.5;91.3;12.3 ;12.7 ;12.9 ;11.8 ;
2018-01-14;18:38:42.208;0.916;1.29;0.712;0.714;15.7;151;0.897;0.888;3.57e-05;0.000345;1.91;1.81;4.39e+05;3.41e+05;3e+03;2.57;64.3;1.83;45.8;2.83e+03;99.7;0.28;0;0;0;0;0;0;0;370;51.7;0.916;1.28;0.713;0.714;3.76;37.9;0.901;0.888;3.43e-05;0.000346; 49760;249;655;0.48;0.454;45;0.916;1.28;0.713;0.714;3.78;36.8;0.897;0.891;3.44e-05;0.000336; 56960;142;364;0.456;0.442;47;0.916;1.29;0.712;0.714;3.67;38;0.903;0.888;3.34e-05;0.000346; 53200;112;358;0.508;0.462;49;0.914;1.29;0.711;0.714;4.45;38.8;0.885;0.886;4.05e-05;0.000353; 53280;143;400;0.466;0.452;45;213;216;239;  0%;  0%;  0%;207;220;277;  0%;  0%;  1%;210;283;224;  0%;  1%;  0%;219;217;302;  0%;  0%;  1%;99.8;0.161;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;99.7;0.325;0;0;0;0;0;0;0;99.5;0.472;0;0;0;0;0;0;0;93.2;90;94;92.8;12.8 ;13.1 ;13.5 ;12.3 ;
2018-01-14;18:38:43.984;0.912;1.29;0.709;0.714;20.3;182;0.888;0.887;3.9e-05;0.000349;2.55;2.32;5.21e+05;4.05e+05;3.06e+03;2.57;64.4;1.82;45.6;3.67e+03;99.2;0.692;0;0.118;0;0;0;0;0;452;63.5;0.91;1.29;0.705;0.714;4.65;43.4;0.893;0.887;3.72e-05;0.000348; 52480;299;713;0.635;0.588;46;0.912;1.28;0.71;0.714;4.81;43.6;0.89;0.891;3.72e-05;0.000337; 55200;163;503;0.599;0.563;47;0.913;1.29;0.708;0.714;4.64;46.1;0.899;0.887;3.5e-05;0.000348; 50560;152;377;0.706;0.6;49;0.912;1.28;0.71;0.714;6.25;48.6;0.871;0.883;4.64e-05;0.000361; 54320;188;510;0.614;0.57;46;270;274;305;  0%;  0%;  0%;259;275;381;  0%;  0%;  1%;265;392;285;  0%;  1%;  0%;275;270;414;  0%;  0%;  1%;98.7;1.08;0;0.178;0;0;0;0;0;99.4;0.462;0;0.139;0;0;0;0;0;99.2;0.779;0;0.0493;0;0;0;0;0;99.4;0.464;0;0.11;0;0;0;0;0;114;110;115;113;15.8 ;16.2 ;16.6 ;15 ;
2018-01-14;18:38:45.548;0.915;1.29;0.711;0.714;18.8;172;0.891;0.888;3.79e-05;0.000347;2.23;1.95;4.95e+05;3.85e+05;3.72e+03;2.57;64.3;1.83;45.8;3.23e+03;99.6;0.404;0;0;0;0;0;0;0;398;55.6;0.916;1.28;0.713;0.714;4.65;44.2;0.895;0.887;3.65e-05;0.000347; 51840;283;718;0.557;0.496;46;0.915;1.29;0.709;0.714;4.35;41.1;0.894;0.891;3.54e-05;0.000334; 55200;170;440;0.526;0.474;47;0.916;1.29;0.713;0.714;4.25;42.7;0.9;0.888;3.47e-05;0.000349; 49120;130;350;0.604;0.5;49;0.914;1.29;0.71;0.714;5.51;43.6;0.874;0.884;4.52e-05;0.000358; 50640;160;422;0.541;0.483;46;236;241;270;  0%;  0%;  0%;227;242;337;  0%;  0%;  1%;231;348;251;  0%;  1%;  0%;244;238;370;  0%;  0%;  1%;99.8;0.16;0;0;0;0;0;0;0;99.3;0.728;0;0;0;0;0;0;0;99.8;0.2;0;0;0;0;0;0;0;99.5;0.538;0;0;0;0;0;0;0;100;96.9;101;99.9;13.9 ;14.2 ;14.4 ;13.1 ;
