System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;17:37:07.218;0.809;1.08;0.748;0.762;76.9;98.3;0.218;0.996;0.000186;0.000238;5.68;4.38;4.13e+05;3.82e+05;3.66e+03;2.16;54;1.62;40.4;8.45e+03;98.2;0.948;0.0121;0.807;0;0.0402;0;0;0;319;49.7;0.829;1.11;0.75;0.762;21.4;26.8;0.199;0.996;0.000189;0.000235; 48160;524;1509;1.46;1.08;45;0.812;1.08;0.75;0.762;18.3;25.7;0.287;0.996;0.000171;0.000241; 48080;435;1269;1.39;1.1;46;0.805;1.08;0.747;0.762;23.6;28.7;0.18;0.995;0.000235;0.000286; 55680;527;1627;1.42;1.05;48;0.786;1.05;0.746;0.762;13.5;17;0.206;0.997;0.000147;0.000185; 53680;293;893;1.41;1.15;45;706;822;646;  2%;  2%;  2%;773;586;732;  2%;  2%;  2%;730;814;633;  2%;  2%;  2%;702;601;703;  2%;  2%;  2%;98.5;0.795;0.000875;0.702;0;0;0;0;0;98.5;0.963;0.00964;0.566;0;0;0;0;0;98;1.13;0.022;0.806;0;0.165;0;0;0;97.9;0.919;0.0175;1.2;0;0;0;0;0;79.8;77.6;81.2;80.1;12.3 ;12.6 ;13.1 ;11.7 ;
2018-01-24;17:37:08.806;0.343;1.06;0.323;0.761;15.9;30.8;0.484;0.967;0.00011;0.000212;6.54;8.61;1.45e+05;1.37e+05;2.42e+03;2.12;53;0.685;17.1;1.1e+04;42.5;5.43;0.0759;52;0;32;0.05;0.148;0;314;62.8;0.287;1.1;0.26;0.761;3.62;6.27;0.423;0.906;0.000127;0.00022; 52240;145;302;1.7;2.15;45;0.363;1.11;0.326;0.761;2.83;5.56;0.492;0.968;7.72e-05;0.000152; 52000;119;321;1.61;2.15;46;0.37;1.09;0.338;0.761;2.99;5.96;0.498;0.981;7.47e-05;0.000149; 52720;126;496;1.63;2.17;47;0.348;0.958;0.363;0.762;6.48;13.1;0.503;0.966;0.000162;0.000326; 46400;381;1132;1.6;2.14;45;910;837;915;  3%;  3%;  3%;912;922;913;  3%;  3%;  3%;856;887;1.02e+03;  3%;  3%;  4%;1.01e+03;982;847;  4%;  4%;  3%;34.1;6.97;0.034;58.9;0;43.5;0;0.208;0;42.8;4.54;0.0753;52.6;0;41.7;0;0.204;0;44.4;5.75;0.14;49.8;0;34.5;0.196;0;0;47.6;4.6;0.0525;47.7;0;11.5;0;0.184;0;78.2;77.2;79.9;78.9;15.8 ;15.9 ;16.2 ;14.8 ;
2018-01-24;17:37:10.586;0.807;1.07;0.757;0.762;83;128;0.353;0.994;0.000176;0.000273;10.4;9.7;4.71e+05;4.42e+05;3.35e+03;2.13;53.3;1.61;40.3;1.68e+04;99.4;0.524;0.106;0.0176;0;0;0;0;0;498;80.1;0.796;1.06;0.755;0.762;17.1;26.8;0.365;0.995;0.000151;0.000237; 54080;1041;2739;2.61;2.41;45;0.795;1.05;0.758;0.762;19.7;30.6;0.356;0.994;0.000169;0.000262; 48720;989;2985;2.61;2.45;46;0.801;1.06;0.758;0.762;22.6;34.5;0.346;0.994;0.000192;0.000294; 46320;915;3372;2.59;2.4;48;0.835;1.1;0.757;0.762;23.7;36.4;0.35;0.993;0.000192;0.000295; 48000;814;2957;2.62;2.44;45;1.4e+03;1.42e+03;1.43e+03;  4%;  4%;  4%;1.41e+03;1.38e+03;1.39e+03;  4%;  4%;  4%;1.4e+03;1.42e+03;1.39e+03;  4%;  4%;  4%;1.38e+03;1.39e+03;1.4e+03;  4%;  4%;  4%;99;0.717;0.209;0.0343;0;0;0;0;0;99.4;0.422;0.122;0.0132;0;0;0;0;0;99.5;0.413;0.0721;0.0115;0;0;0;0;0;99.4;0.551;0.027;0.0119;0;0;0;0;0;125;121;126;125;19.8 ;20.5 ;21 ;18.8 ;
2018-01-24;17:37:12.338;0.728;0.958;0.761;0.762;257;429;0.402;0.835;0.000593;0.00099;23.1;21.2;4.33e+05;4.53e+05;3.74e+03;1.92;47.9;1.46;36.4;3.63e+04;99.8;0.16;0;0;0;0;0;0;0;474;106;0.751;0.987;0.761;0.762;62.1;98.9;0.372;0.87;0.000554;0.000882; 53120;1519;4611;5.79;5.31;45;0.739;0.971;0.761;0.762;64;106;0.393;0.817;0.000583;0.000961; 51520;1616;4825;5.8;5.32;46;0.719;0.945;0.761;0.762;65.3;110;0.409;0.817;0.000612;0.00103; 51360;1588;4918;5.76;5.29;48;0.705;0.927;0.761;0.762;65.4;114;0.428;0.827;0.000625;0.00109; 51360;1566;4604;5.79;5.26;45;3.02e+03;3.04e+03;3.03e+03;  8%;  8%;  8%;3.02e+03;3.03e+03;3.01e+03;  8%;  8%;  8%;3.03e+03;3.03e+03;3.02e+03;  8%;  8%;  8%;3.03e+03;3.02e+03;3.03e+03;  8%;  8%;  8%;99.8;0.159;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;119;116;121;119;26.2 ;27 ;28.2 ;24.6 ;
2018-01-24;17:37:14.098;0.404;0.531;0.761;0.762;608;1.04e+03;0.416;0.659;0.00255;0.00436;47;36.7;2.39e+05;4.49e+05;3.68e+03;1.06;26.6;0.808;20.2;7.58e+04;99.8;0.157;0;0;0;0;0;0;0;467;140;0.407;0.535;0.761;0.762;145;255;0.43;0.658;0.00243;0.00426; 51600;3832;10803;11.8;9.17;45;0.406;0.534;0.761;0.762;150;259;0.421;0.661;0.0025;0.00432; 53440;3633;11039;11.8;9.2;46;0.403;0.53;0.761;0.762;154;261;0.412;0.665;0.00258;0.00439; 52560;3639;11329;11.7;9.16;48;0.4;0.526;0.761;0.762;158;264;0.402;0.651;0.00268;0.00447; 52080;3979;11323;11.7;9.17;45;6.33e+03;6.29e+03;6.32e+03; 18%; 18%; 18%;6.32e+03;6.33e+03;6.32e+03; 18%; 18%; 18%;6.32e+03;6.3e+03;6.31e+03; 18%; 18%; 18%;6.33e+03;6.33e+03;6.33e+03; 18%; 18%; 18%;99.8;0.156;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;99.8;0.154;0;0;0;0;0;0;0;99.8;0.156;0;0;0;0;0;0;0;117;114;119;117;34.3 ;35.6 ;37.2 ;32.8 ;
2018-01-24;17:37:15.130;0.458;0.603;0.761;0.762;380;544;0.301;0.486;0.00244;0.00349;26.3;17.2;1.56e+05;2.58e+05;2.1e+03;1.21;30.1;0.917;22.9;4.09e+04;99.8;0.162;0;0;0;0;0;0;0;266;79;0.456;0.6;0.761;0.762;95;137;0.306;0.485;0.00246;0.00355; 48080;1916;5523;6.62;4.28;45;0.458;0.602;0.761;0.762;95.3;137;0.303;0.489;0.00246;0.00353; 48240;1836;5561;6.58;4.34;46;0.459;0.604;0.761;0.762;94.8;135;0.299;0.483;0.00243;0.00347; 48400;1792;5515;6.56;4.25;48;0.46;0.605;0.761;0.762;95.3;135;0.295;0.488;0.00242;0.00343; 46720;1917;5562;6.58;4.32;45;3.42e+03;3.39e+03;3.41e+03; 17%; 17%; 17%;3.4e+03;3.41e+03;3.41e+03; 17%; 17%; 17%;3.4e+03;3.4e+03;3.41e+03; 17%; 17%; 17%;3.42e+03;3.42e+03;3.41e+03; 17%; 17%; 17%;99.8;0.162;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;99.8;0.164;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;66.5;64.7;67.6;66.7;19.4 ;20 ;21.1 ;18.4 ;
2018-01-24;17:37:16.870;0.725;0.953;0.761;0.762;299;427;0.299;0.97;0.000693;0.00099;15.3;11.7;4.32e+05;4.53e+05;3.76e+03;1.91;47.6;1.45;36.2;2.36e+04;99.8;0.163;0;0;0;0;0;0;0;482;87.1;0.697;0.916;0.761;0.762;83.7;118;0.293;0.966;0.0008;0.00113; 61840;1794;5303;3.88;2.96;45;0.714;0.939;0.761;0.762;78.7;112;0.3;0.966;0.000737;0.00105; 52320;1710;5123;3.82;2.92;46;0.729;0.959;0.761;0.762;71.9;103;0.299;0.972;0.000664;0.000948; 50480;1555;4872;3.79;2.9;48;0.759;0.998;0.761;0.762;65.1;93.8;0.306;0.975;0.000581;0.000837; 53280;1514;4413;3.83;2.95;45;1.97e+03;1.97e+03;2e+03;  5%;  5%;  5%;1.96e+03;1.96e+03;1.97e+03;  5%;  5%;  5%;1.96e+03;1.96e+03;1.97e+03;  5%;  5%;  5%;1.96e+03;1.96e+03;1.99e+03;  5%;  5%;  5%;99.8;0.162;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.167;0;0;0;0;0;0;0;121;118;123;121;21.5 ;22.2 ;23 ;20.4 ;
2018-01-24;17:37:18.654;0.547;0.719;0.761;0.762;506;688;0.264;0.811;0.00157;0.00213;46.2;39.6;3.23e+05;4.49e+05;3.65e+03;1.44;36;1.09;27.3;7.6e+04;99.8;0.161;0;0;0;0;0;0;0;488;140;0.581;0.764;0.761;0.762;114;157;0.27;0.839;0.00134;0.00184; 56160;2772;8131;11.6;9.95;45;0.561;0.737;0.761;0.762;122;166;0.264;0.831;0.00148;0.00201; 50560;3070;9040;11.5;9.87;46;0.535;0.703;0.761;0.762;131;177;0.262;0.796;0.00165;0.00224; 51680;3148;9601;11.5;9.86;48;0.512;0.673;0.761;0.762;139;188;0.261;0.769;0.00183;0.00247; 47840;3380;10101;11.6;9.91;45;6.32e+03;6.32e+03;6.36e+03; 18%; 18%; 18%;6.35e+03;6.33e+03;6.32e+03; 18%; 18%; 18%;6.34e+03;6.33e+03;6.32e+03; 18%; 18%; 18%;6.34e+03;6.34e+03;6.38e+03; 18%; 18%; 18%;99.8;0.173;0;0;0;0;0;0;0;99.8;0.157;0;0;0;0;0;0;0;99.9;0.147;0;0;0;0;0;0;0;99.8;0.166;0;0;0;0;0;0;0;122;119;124;122;34.4 ;35.6 ;37.1 ;32.8 ;
2018-01-24;17:37:20.495;0.423;0.556;0.761;0.762;771;1.06e+03;0.274;0.626;0.00298;0.00411;64;49.4;2.59e+05;4.65e+05;3.75e+03;1.11;27.8;0.846;21.1;1.03e+05;99.8;0.153;0;0;0;0;0;0;0;515;159;0.417;0.548;0.761;0.762;183;254;0.279;0.633;0.0029;0.00402; 50880;3876;11679;16.3;12.6;42;0.424;0.557;0.761;0.762;188;260;0.276;0.634;0.00292;0.00403; 47680;3895;11798;15.8;12.1;44;0.425;0.558;0.761;0.762;196;270;0.272;0.619;0.00301;0.00413; 45040;4056;12285;15.7;12.2;44;0.426;0.56;0.761;0.762;204;278;0.268;0.617;0.0031;0.00423; 52720;4317;12979;16.2;12.4;43;8.46e+03;8.41e+03;9.01e+03; 24%; 24%; 25%;8.68e+03;8.49e+03;8.43e+03; 24%; 24%; 24%;8.66e+03;8.52e+03;8.34e+03; 24%; 24%; 23%;8.45e+03;8.6e+03;8.86e+03; 24%; 24%; 25%;99.9;0.145;0;0;0;0;0;0;0;99.8;0.157;0;0;0;0;0;0;0;99.8;0.157;0;0;0;0;0;0;0;99.8;0.153;0;0;0;0;0;0;0;129;126;132;129;39.5 ;40 ;41.7 ;37.7 ;
2018-01-24;17:37:22.234;0.458;0.601;0.762;0.762;1.53e+03;1.98e+03;0.229;0.37;0.00562;0.00729;117;110;2.72e+05;4.52e+05;3.86e+03;1.2;30;0.916;22.9;1.96e+05;100;0.016;0;0;0;0;0;0;0;655;215;0.459;0.602;0.762;0.762;377;489;0.229;0.389;0.00547;0.00709; 47280;10787;28555;30.2;28.9;41;0.457;0.599;0.762;0.762;375;487;0.229;0.382;0.00552;0.00716; 50240;9299;29767;28.3;27;42;0.462;0.606;0.762;0.762;389;505;0.229;0.372;0.0057;0.00739; 54480;10183;29144;28.3;26.7;43;0.454;0.596;0.762;0.762;387;501;0.228;0.334;0.00581;0.00752; 52160;10890;28370;29.9;27.9;42;1.64e+04;1.54e+04;1.77e+04; 48%; 45%; 52%;1.77e+04;1.54e+04;1.61e+04; 52%; 45%; 47%;1.72e+04;1.6e+04;1.53e+04; 50%; 47%; 45%;1.6e+04;1.59e+04;1.72e+04; 47%; 46%; 50%;100;0.0243;0;0;0;0;0;0;0;100;0.0179;0;0;0;0;0;0;0;100;0.0133;0;0;0;0;0;0;0;100;0.00828;0;0;0;0;0;0;0;163;162;172;159;54.9 ;53.7 ;54.5 ;52.3 ;
