System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;17:11:45.735;0.0477;0.232;0.206;0.857;110;138;0.201;0.0789;0.00521;0.00651;0.414;0.343;2.12e+04;9.13e+04;3.53e+03;0.464;11.6;0.0953;2.38;598;24;6.05;0.0263;69.9;0;30;0;0;0;138;33.1;0.0559;0.219;0.255;0.856;38.4;47.1;0.185;0.0702;0.00561;0.00688; 49200;555;1562;0.0992;0.0859;44;0.0485;0.218;0.223;0.856;29.4;36.2;0.187;0.0645;0.00533;0.00656; 45920;340;1294;0.099;0.0916;45;0.0537;0.273;0.197;0.857;26.9;35.5;0.243;0.104;0.00468;0.00619; 51200;477;1113;0.109;0.0687;47;0.0304;0.224;0.136;0.857;15.6;19.1;0.185;0.079;0.00507;0.00622; 45280;200;571;0.106;0.0969;44;19.1;102;17.1;  0%;  0%;  0%;103;16.3;20.4;  0%;  0%;  0%;61.5;62.6;58.7;  0%;  0%;  0%;101;17.2;19.5;  0%;  0%;  0%;29.8;2.78;0.0447;67.4;0;53.9;0;0;0;26;4.39;0.0211;69.6;0;39.5;0;0;0;22.9;7.96;0.00613;69.1;0;0;0;0;0;15.8;9.86;0.0309;74.3;0;21.9;0;0;0;34;32.8;36.9;34;8.37 ;8.5 ;8.45 ;7.73 ;
2018-01-24;17:11:47.190;0.521;0.999;0.521;0.857;14.7;27.2;0.462;0.994;7.3e-05;0.000136;2.84;3.24;2.01e+05;2.01e+05;2.13e+03;2;50;1.04;26.1;4.74e+03;60.9;4.72;0.0712;34.4;0;13.8;0;0;0;360;52.1;0.494;0.988;0.5;0.857;3.03;6.47;0.531;0.991;6.8e-05;0.000145; 51280;211;488;0.776;0.869;44;0.506;0.976;0.519;0.857;3.42;6.1;0.439;0.993;7.21e-05;0.000128; 53520;242;563;0.696;0.789;44;0.526;0.993;0.529;0.857;4.61;8.26;0.442;0.993;8.94e-05;0.00016; 56560;217;808;0.683;0.791;47;0.554;1.03;0.535;0.857;3.6;6.42;0.438;0.996;6.3e-05;0.000112; 51600;199;635;0.68;0.787;43;391;407;392;  1%;  1%;  1%;394;375;396;  1%;  1%;  1%;394;416;396;  1%;  1%;  1%;397;379;405;  1%;  1%;  1%;58.4;4.05;0.0858;37.5;0;19.8;0;0;0;60.5;6.04;0.077;33.4;0;0.0231;0;0;0;61.8;4.03;0.0837;34.1;0;11.5;0;0;0;62.5;4.76;0.0412;32.7;0;23.3;0;0;0;90.1;87.8;91.8;90.2;13.2 ;13.5 ;13.4 ;12.1 ;
2018-01-24;17:11:48.490;0.718;0.841;0.853;0.857;178;219;0.188;0.986;0.00053;0.000652;26.2;32.2;3.36e+05;4e+05;3.06e+03;1.68;42;1.44;35.9;4.67e+04;99.6;0.428;0.000175;0;0;0;0;0;0;407;92.1;0.729;0.854;0.855;0.857;38.7;48.7;0.204;0.988;0.000445;0.000559; 46000;1608;4735;6.58;8.07;42;0.734;0.859;0.854;0.857;39.4;49.2;0.199;0.988;0.000459;0.000573; 52720;1615;4754;6.51;8.01;44;0.721;0.847;0.851;0.857;45.3;55.7;0.187;0.985;0.00054;0.000664; 48000;1762;5640;6.52;8.1;44;0.686;0.803;0.854;0.857;54.6;65.6;0.167;0.981;0.000689;0.000827; 57520;1977;6026;6.55;8.03;42;3.9e+03;3.86e+03;3.91e+03; 14%; 14%; 14%;3.88e+03;3.92e+03;3.89e+03; 14%; 14%; 14%;3.89e+03;3.85e+03;3.89e+03; 14%; 14%; 14%;3.9e+03;3.92e+03;3.9e+03; 14%; 14%; 14%;99.7;0.306;0;0;0;0;0;0;0;99.6;0.402;0;0;0;0;0;0;0;99.3;0.674;0.000316;0;0;0;0;0;0;99.7;0.331;0.00039;0;0;0;0;0;0;101;99.2;104;102;22.9 ;23.4 ;24.2 ;21.7 ;
2018-01-24;17:11:49.918;0.546;0.644;0.847;0.857;711;987;0.279;0.767;0.00285;0.00396;49.1;28.7;2.49e+05;3.87e+05;2.73e+03;1.29;32.2;1.09;27.3;7.48e+04;98.8;1.06;0.109;0.00201;0;0;0;0;0;452;117;0.539;0.643;0.839;0.857;177;242;0.267;0.776;0.00293;0.00399; 48080;3705;10601;12.3;7.13;43;0.54;0.636;0.849;0.857;182;250;0.27;0.769;0.00294;0.00403; 51680;3744;11328;12.2;7.11;44;0.551;0.646;0.853;0.857;177;248;0.284;0.773;0.00281;0.00392; 51760;3862;10663;12.3;7.25;46;0.552;0.651;0.847;0.857;174;248;0.296;0.747;0.00274;0.0039; 52560;3510;10627;12.3;7.22;42;6.21e+03;6.2e+03;6.18e+03; 23%; 23%; 23%;6.29e+03;6.21e+03;6.21e+03; 24%; 23%; 23%;6.32e+03;6.24e+03;6.26e+03; 24%; 23%; 23%;6.24e+03;6.22e+03;6.18e+03; 23%; 23%; 23%;97.8;1.98;0.166;0.00816;0;0;0;0;0;99.1;0.744;0.169;0;0;0;0;0;0;99.5;0.496;0.00871;0;0;0;0;0;0;98.9;1.04;0.094;0;0;0;0;0;0;112;110;116;113;28.7 ;29.6 ;31 ;27.3 ;
2018-01-24;17:11:51.354;0.778;0.908;0.857;0.857;384;709;0.458;0.375;0.00103;0.00189;22.3;12.8;3.75e+05;4.13e+05;3e+03;1.82;45.4;1.56;38.9;3.36e+04;100;0.00148;0;0;0;0;0;0;0;436;89.7;0.77;0.898;0.857;0.857;98.2;181;0.457;0.359;0.00106;0.00196; 49200;1574;4572;5.58;3.18;43;0.777;0.906;0.857;0.857;97.7;179;0.455;0.371;0.00104;0.00192; 49760;1596;4826;5.55;3.18;44;0.78;0.909;0.857;0.857;95.6;177;0.459;0.372;0.00102;0.00188; 48800;1703;4795;5.62;3.23;46;0.787;0.919;0.857;0.857;92.7;172;0.46;0.396;0.000978;0.00181; 53120;1540;4656;5.59;3.21;42;2.79e+03;2.81e+03;2.79e+03; 10%; 10%; 10%;2.82e+03;2.78e+03;2.78e+03; 10%; 10%; 10%;2.83e+03;2.82e+03;2.81e+03; 10%; 10%; 10%;2.81e+03;2.79e+03;2.8e+03; 10%; 10%; 10%;100;0.000422;0;0;0;0;0;0;0;100;0.00452;0;0;0;0;0;0;0;100;0.000511;0;0;0;0;0;0;0;100;0.00045;0;0;0;0;0;0;0;108;106;112;110;22 ;22.8 ;24.4 ;20.4 ;
2018-01-24;17:11:52.806;0.87;1.01;0.857;0.857;252;486;0.481;0.397;0.0006;0.00116;15.8;6.83;4.2e+05;4.14e+05;3.02e+03;2.03;50.7;1.74;43.5;2.24e+04;100;0.00632;0;0;0;0;0;0;0;444;77.6;0.866;1.01;0.857;0.857;64.2;124;0.481;0.379;0.000614;0.00118; 47840;1016;2879;3.95;1.7;43;0.869;1.01;0.857;0.857;63.2;122;0.48;0.398;0.000603;0.00116; 52160;994;3016;3.92;1.7;44;0.869;1.01;0.857;0.857;62.7;121;0.482;0.397;0.000597;0.00115; 53280;1042;2996;3.97;1.72;46;0.874;1.02;0.857;0.857;61.8;120;0.483;0.412;0.000586;0.00113; 57360;1006;2934;3.95;1.72;42;1.86e+03;1.86e+03;1.88e+03;  6%;  6%;  6%;1.86e+03;1.87e+03;1.85e+03;  6%;  6%;  6%;1.87e+03;1.87e+03;1.87e+03;  6%;  6%;  6%;1.86e+03;1.87e+03;1.87e+03;  6%;  6%;  6%;100;0.00285;0;0;0;0;0;0;0;100;0.000564;0;0;0;0;0;0;0;100;0.000579;0;0;0;0;0;0;0;100;0.0213;0;0;0;0;0;0;0;110;108;114;112;19 ;19.7 ;21 ;17.9 ;
2018-01-24;17:11:54.226;0.895;1.04;0.857;0.857;214;415;0.484;0.391;0.000495;0.000958;13.5;4.94;4.33e+05;4.15e+05;3.05e+03;2.09;52.2;1.79;44.7;1.88e+04;100;0;0;0;0;0;0;0;0;435;72.3;0.895;1.04;0.857;0.857;53.7;104;0.485;0.394;0.000495;0.000962; 50800;844;2330;3.4;1.22;43;0.894;1.04;0.857;0.857;53.7;104;0.482;0.37;0.000497;0.00096; 49680;815;2453;3.36;1.23;44;0.895;1.04;0.857;0.857;53;103;0.485;0.421;0.000489;0.000949; 49120;832;2448;3.4;1.24;46;0.893;1.04;0.857;0.857;53.6;103;0.482;0.375;0.000497;0.000959; 55120;850;2430;3.38;1.25;42;1.57e+03;1.57e+03;1.58e+03;  5%;  5%;  5%;1.56e+03;1.57e+03;1.55e+03;  5%;  5%;  5%;1.57e+03;1.57e+03;1.57e+03;  5%;  5%;  5%;1.57e+03;1.58e+03;1.57e+03;  5%;  5%;  5%;100;0.000479;0;0;0;0;0;0;0;100;0.000978;0;0;0;0;0;0;0;100;0.00338;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;108;105;111;110;17.8 ;18.4 ;19.5 ;16.6 ;
2018-01-24;17:11:55.666;0.9;1.05;0.857;0.857;202;388;0.481;0.345;0.000469;0.000903;13.2;4.37;4.3e+05;4.1e+05;2.98e+03;2.1;52.5;1.8;45;1.82e+04;100;0.00577;0;0;0;0;0;0;0;441;71.9;0.899;1.05;0.857;0.857;50.9;97.8;0.48;0.329;0.000474;0.000911; 51760;792;2174;3.31;1.08;43;0.901;1.05;0.857;0.857;50.4;96.9;0.48;0.366;0.000468;0.0009; 50800;748;2279;3.27;1.08;44;0.898;1.05;0.857;0.857;50.3;96.7;0.479;0.359;0.00047;0.000903; 48400;779;2272;3.31;1.1;46;0.901;1.05;0.857;0.857;50.2;97;0.483;0.325;0.000465;0.0009; 53600;785;2286;3.3;1.1;42;1.51e+03;1.52e+03;1.52e+03;  5%;  5%;  5%;1.51e+03;1.52e+03;1.51e+03;  5%;  5%;  5%;1.52e+03;1.52e+03;1.52e+03;  5%;  5%;  5%;1.52e+03;1.52e+03;1.52e+03;  5%;  5%;  5%;100;0.000413;0;0;0;0;0;0;0;100;0.000478;0;0;0;0;0;0;0;100;0.000592;0;0;0;0;0;0;0;100;0.0216;0;0;0;0;0;0;0;110;107;113;111;17.7 ;18.4 ;19.3 ;16.6 ;
2018-01-24;17:11:57.062;0.949;1.11;0.857;0.857;102;216;0.526;0.986;0.000225;0.000474;6.51;1.79;4.56e+05;4.11e+05;3.02e+03;2.22;55.4;1.9;47.5;8.98e+03;100;0;0;0;0;0;0;0;0;437;54.6;0.959;1.12;0.857;0.857;27.3;53.8;0.492;0.985;0.000237;0.000466; 48800;454;1169;1.6;0.441;43;0.961;1.12;0.857;0.857;25.3;49.9;0.492;0.988;0.000219;0.000432; 46640;394;1148;1.7;0.455;43;0.951;1.11;0.857;0.857;24;53.5;0.551;0.986;0.000211;0.000469; 60400;362;1105;1.61;0.443;46;0.927;1.08;0.857;0.857;25.6;58.6;0.563;0.985;0.000232;0.00053; 51280;489;1496;1.6;0.449;42;748;740;748;  2%;  2%;  2%;755;765;761;  2%;  2%;  2%;744;744;744;  2%;  2%;  2%;738;749;747;  2%;  2%;  2%;100;0.00037;0;0;0;0;0;0;0;100;0.000342;0;0;0;0;0;0;0;100;0.00174;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;109;107;112;110;13.6 ;14.1 ;14.2 ;12.8 ;
2018-01-24;17:11:58.840;0.219;0.256;0.853;0.857;507;845;0.399;0.758;0.00412;0.00686;33;9.68;1.23e+05;4.8e+05;2.96e+03;0.513;12.8;0.437;10.9;6.47e+04;99.5;0.489;0.00257;0.00265;0;0;0;0;0;497;103;0.238;0.279;0.855;0.857;114;200;0.429;0.814;0.00358;0.00627; 50240;2179;5965;8.33;2.45;43;0.217;0.257;0.845;0.857;124;214;0.422;0.754;0.00411;0.0071; 54960;1885;6934;8.17;2.39;44;0.213;0.249;0.855;0.857;133;215;0.384;0.732;0.00434;0.00704; 46560;2327;6542;8.18;2.4;45;0.207;0.242;0.856;0.857;136;215;0.365;0.713;0.00448;0.00706; 51680;2584;7454;8.3;2.44;42;5.38e+03;5.41e+03;5.42e+03; 16%; 16%; 16%;5.37e+03;5.39e+03;5.37e+03; 16%; 16%; 16%;5.36e+03;5.41e+03;5.38e+03; 16%; 16%; 16%;5.37e+03;5.39e+03;5.41e+03; 16%; 16%; 16%;99.8;0.185;0.00455;0.0036;0;0;0;0;0;98.6;1.43;0.00206;0.00389;0;0;0;0;0;99.8;0.189;0.00209;0.000856;0;0;0;0;0;99.8;0.174;0.00171;0.00235;0;0;0;0;0;124;121;128;125;25.6 ;25.9 ;27.4 ;24.1 ;
