System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;16:35:53.570;1.25;1.25;0.993;1;24.8;190;0.87;0.948;4.44e-05;0.000341;2.5;2.68;5.57e+05;4.45e+05;2.68e+03;2.51;62.7;2.49;62.3;3.83e+03;99.3;0.587;0.0015;0.0767;0;0;0;0;0;650;62.6;1.24;1.25;0.993;1;5.94;44.9;0.868;0.956;4.38e-05;0.000331; 51840;205;516;0.609;0.665;35;1.25;1.26;0.992;1;6.26;46.3;0.865;0.954;4.46e-05;0.00033; 51120;178;492;0.6;0.666;35;1.24;1.25;0.994;1;6.42;48.6;0.868;0.945;4.57e-05;0.000346; 52480;177;558;0.663;0.665;37;1.25;1.26;0.994;1;6.13;50.1;0.878;0.934;4.35e-05;0.000356; 52480;176;615;0.628;0.689;34;311;321;314;  1%;  1%;  1%;323;316;311;  1%;  1%;  1%;323;322;332;  1%;  1%;  1%;331;313;314;  1%;  1%;  1%;99.3;0.639;0;0.0519;0;0;0;0;0;99.2;0.813;0;7.47e-05;0;0;0;0;0;99.4;0.549;0.00058;0.0361;0;0;0;0;0;99.4;0.347;0.0054;0.218;0;0;0;0;0;160;160;169;161;15.6 ;15.9 ;16.1 ;15 ;
2018-01-24;16:35:54.794;1.02;1.23;0.83;1;29.4;136;0.784;0.977;6.41e-05;0.000297;2.69;2.72;4.59e+05;3.72e+05;2.91e+03;2.46;61.6;2.05;51.1;4.06e+03;83;3.04;0.0818;13.9;0;6.86;0;0;0;510;53.3;1.03;1.23;0.839;1;7.64;37.4;0.796;0.975;6.37e-05;0.000312; 44080;261;648;0.71;0.73;36;1.02;1.23;0.834;1;7.48;33.8;0.779;0.977;6.52e-05;0.000294; 54160;207;656;0.618;0.652;37;1.02;1.22;0.832;1;7.07;31.7;0.777;0.982;6.36e-05;0.000285; 48480;194;621;0.728;0.676;37;1.02;1.26;0.814;1;7.23;33.5;0.784;0.974;6.38e-05;0.000296; 54560;211;697;0.633;0.659;35;335;341;340;  1%;  1%;  1%;326;323;342;  1%;  1%;  1%;340;356;341;  1%;  1%;  1%;341;329;351;  1%;  1%;  1%;83.9;2.74;0.136;13.2;0;7.16;0;0;0;83.4;2.56;0.0487;14;0;8.05;0;0;0;83.3;2.5;0.0857;14.2;0;6.55;0;0;0;81.5;4.37;0.0548;14.1;0;5.65;0;0;0;125;126;134;125;13.4 ;13.4 ;13.7 ;12.8 ;
2018-01-24;16:35:56.129;0.977;0.992;0.986;1;63.2;84.4;0.251;0.995;0.000154;0.000206;13.9;16.4;4.11e+05;4.14e+05;2.57e+03;1.98;49.6;1.95;48.9;2.52e+04;98.6;1.16;0.0048;0.256;0;0.0196;0;0;0;615;77.8;1.01;1.03;0.978;1;12;16.1;0.256;0.996;0.000117;0.000157; 56160;619;1740;3.49;4.08;35;0.993;1.01;0.984;1;14.2;19.3;0.268;0.996;0.000136;0.000186; 52000;748;2033;3.45;4.1;35;0.972;0.98;0.992;1;17.2;22.6;0.242;0.995;0.000165;0.000217; 47120;812;2477;3.46;4.06;36;0.94;0.95;0.99;1;19.9;26.4;0.244;0.994;0.000199;0.000264; 45040;927;2747;3.47;4.16;34;2.12e+03;2.12e+03;2.1e+03;  8%;  8%;  8%;2.11e+03;2.07e+03;2.12e+03;  8%;  8%;  8%;2.11e+03;2.12e+03;2.09e+03;  8%;  8%;  8%;2.09e+03;2.08e+03;2.1e+03;  8%;  8%;  8%;97.8;1.87;0.0113;0.347;0;0.0809;0;0;0;98.4;1.32;0.00144;0.284;0;0;0;0;0;99.2;0.63;0.00645;0.207;0;0;0;0;0;99;0.853;0.000243;0.189;0;0;0;0;0;152;152;160;151;19.4 ;19.7 ;20.2 ;18.5 ;
2018-01-24;16:35:57.558;0.567;0.575;0.988;1;709;901;0.213;0.831;0.0027;0.00343;59.4;45.4;2.63e+05;4.57e+05;2.8e+03;1.15;28.7;1.13;28.4;9.43e+04;98.8;1.18;0.0582;0.000396;0;0;0;0;0;647;132;0.552;0.558;0.989;1;170;211;0.196;0.836;0.00268;0.00334; 54000;4531;13361;14.8;11.4;35;0.564;0.572;0.985;1;175;221;0.208;0.832;0.00269;0.00339; 52560;4489;13588;14.9;11.4;35;0.567;0.573;0.989;1;179;230;0.22;0.828;0.00272;0.00348; 51600;4556;13498;14.9;11.3;35;0.587;0.595;0.987;1;184;239;0.228;0.83;0.0027;0.00349; 48000;4528;13462;14.8;11.3;34;7.8e+03;7.77e+03;7.85e+03; 29%; 29%; 29%;7.85e+03;7.9e+03;7.82e+03; 29%; 29%; 29%;7.88e+03;7.81e+03;7.92e+03; 29%; 29%; 29%;7.88e+03;7.9e+03;7.86e+03; 29%; 29%; 29%;98.9;0.978;0.0815;0;0;0;0;0;0;98.5;1.37;0.0939;0;0;0;0;0;0;98.9;1.09;0.058;0.00157;0;0;0;0;0;98.7;1.3;7.35e-05;0;0;0;0;0;0;159;160;169;159;32.8 ;33.3 ;34.6 ;31.2 ;
2018-01-24;16:35:58.950;0.841;0.841;1;1;561;1.01e+03;0.446;0.361;0.0014;0.00253;30.6;19;4.01e+05;4.77e+05;3e+03;1.68;42.1;1.68;42.1;4.65e+04;100;0;0;0;0;0;0;0;0;655;101;0.826;0.826;1;1;143;259;0.45;0.362;0.00144;0.00262; 57040;2575;7300;7.64;4.82;35;0.84;0.84;1;1;145;259;0.439;0.366;0.00145;0.00258; 54000;2495;7555;7.66;4.72;34;0.848;0.848;1;1;136;249;0.452;0.361;0.00135;0.00247; 52000;2316;7291;7.68;4.73;36;0.852;0.852;1;1;137;247;0.444;0.355;0.00135;0.00243; 50880;2696;7739;7.62;4.72;34;3.88e+03;3.76e+03;3.86e+03; 14%; 13%; 14%;3.9e+03;3.96e+03;3.9e+03; 14%; 14%; 14%;3.92e+03;3.78e+03;3.88e+03; 14%; 13%; 14%;3.84e+03;3.95e+03;3.85e+03; 14%; 14%; 14%;100;0.000333;0;0;0;0;0;0;0;100;0.000325;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0.000275;0;0;0;0;0;0;0;161;162;172;160;24.8 ;25.7 ;26.9 ;23.3 ;
2018-01-24;16:36:00.330;1.01;1.01;1;1;305;580;0.475;0.307;0.000652;0.00124;18.8;7.63;4.67e+05;4.65e+05;2.92e+03;2.01;50.3;2.01;50.3;2.63e+04;100;0.00582;0;0;0;0;0;0;0;653;83.1;1;1;1;1;75;145;0.484;0.304;0.000643;0.00125; 54080;1191;3602;4.71;1.94;35;1;1;1;1;79.7;149;0.464;0.317;0.000682;0.00127; 52480;1140;3611;4.7;1.89;35;1.01;1.01;1;1;74.7;144;0.481;0.306;0.000637;0.00123; 50000;1214;3497;4.69;1.9;36;1.01;1.01;1;1;75.2;143;0.473;0.301;0.000645;0.00122; 49440;1207;3648;4.68;1.9;34;2.23e+03;2.14e+03;2.18e+03;  8%;  8%;  8%;2.21e+03;2.23e+03;2.21e+03;  8%;  8%;  8%;2.23e+03;2.13e+03;2.17e+03;  8%;  8%;  8%;2.15e+03;2.23e+03;2.16e+03;  8%;  8%;  8%;100;0.000376;0;0;0;0;0;0;0;100;0.000442;0;0;0;0;0;0;0;100;0.000381;0;0;0;0;0;0;0;100;0.0221;0;0;0;0;0;0;0;161;161;171;160;20.4 ;21.1 ;22.5 ;19.1 ;
2018-01-24;16:36:01.742;1.03;1.03;1;1;272;503;0.458;0.282;0.000565;0.00104;17.8;6.22;4.82e+05;4.69e+05;2.9e+03;2.06;51.4;2.06;51.4;2.46e+04;100;0.000464;0;0;0;0;0;0;0;668;82.2;1.03;1.03;1;1;66.2;124;0.466;0.282;0.000551;0.00103; 55200;1005;3094;4.47;1.58;35;1.03;1.03;1;1;70.7;128;0.447;0.294;0.000587;0.00106; 53760;1007;3033;4.45;1.53;34;1.03;1.03;1;1;66.9;125;0.464;0.278;0.000555;0.00103; 51840;1037;3027;4.44;1.55;36;1.03;1.03;1;1;68.6;126;0.455;0.275;0.000567;0.00104; 48240;1025;3165;4.43;1.55;34;2.09e+03;2.01e+03;2.04e+03;  7%;  7%;  7%;2.08e+03;2.09e+03;2.07e+03;  7%;  7%;  7%;2.09e+03;2e+03;2.04e+03;  7%;  7%;  7%;2.02e+03;2.09e+03;2.02e+03;  7%;  7%;  7%;100;0.0219;0;0;0;0;0;0;0;100;0.000489;0;0;0;0;0;0;0;100;0.000515;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;164;165;175;164;20.1 ;20.9 ;22.3 ;18.9 ;
2018-01-24;16:36:03.166;1.03;1.03;1;1;272;490;0.446;0.276;0.000553;0.000997;17.6;5.91;4.92e+05;4.77e+05;2.97e+03;2.06;51.6;2.06;51.6;2.44e+04;100;0.000448;0;0;0;0;0;0;0;673;82.4;1.03;1.03;1;1;65.9;121;0.453;0.277;0.000539;0.000986; 55440;983;3014;4.43;1.5;35;1.03;1.03;1;1;70.6;125;0.434;0.282;0.000575;0.00102; 52000;985;3049;4.41;1.45;34;1.03;1.03;1;1;67;122;0.452;0.273;0.000541;0.000989; 53920;1022;2997;4.4;1.47;36;1.03;1.03;1;1;68;122;0.444;0.273;0.000554;0.000997; 51680;1005;3082;4.4;1.48;33;2.08e+03;1.99e+03;2.03e+03;  7%;  7%;  7%;2.05e+03;2.07e+03;2.05e+03;  7%;  7%;  7%;2.07e+03;1.99e+03;2.02e+03;  7%;  7%;  7%;2e+03;2.07e+03;2e+03;  7%;  7%;  7%;100;0;0;0;0;0;0;0;0;100;0.000437;0;0;0;0;0;0;0;100;0.0215;0;0;0;0;0;0;0;100;0.000471;0;0;0;0;0;0;0;166;166;176;165;20.3 ;20.9 ;22.3 ;19 ;
2018-01-24;16:36:04.582;1.03;1.03;1;1;272;483;0.437;0.275;0.000553;0.000983;17.6;5.89;4.91e+05;4.76e+05;2.99e+03;2.06;51.6;2.06;51.6;2.44e+04;100;0.000419;0;0;0;0;0;0;0;669;81.9;1.03;1.03;1;1;66.5;120;0.444;0.275;0.000541;0.000973; 54480;990;3088;4.43;1.5;35;1.03;1.03;1;1;70.7;123;0.427;0.275;0.000574;0.001; 53360;1002;3048;4.4;1.45;34;1.03;1.03;1;1;66.6;120;0.443;0.282;0.000543;0.000976; 51040;1017;2990;4.39;1.47;36;1.03;1.03;1;1;67.7;120;0.436;0.267;0.000553;0.000981; 51280;1000;3098;4.39;1.47;33;2.07e+03;1.99e+03;2.02e+03;  7%;  7%;  7%;2.05e+03;2.06e+03;2.05e+03;  7%;  7%;  7%;2.06e+03;1.99e+03;2.01e+03;  7%;  7%;  7%;2e+03;2.06e+03;2e+03;  7%;  7%;  7%;100;0.00045;0;0;0;0;0;0;0;100;0.000377;0;0;0;0;0;0;0;100;0.000403;0;0;0;0;0;0;0;100;0.000447;0;0;0;0;0;0;0;165;165;175;164;20.1 ;20.8 ;22.1 ;18.9 ;
2018-01-24;16:36:05.970;1.03;1.03;1;1;268;474;0.434;0.265;0.00055;0.000971;17.2;5.63;4.88e+05;4.72e+05;2.97e+03;2.07;51.7;2.07;51.7;2.37e+04;100;0;0;0;0;0;0;0;0;656;80.4;1.03;1.03;1;1;65.8;118;0.44;0.268;0.000537;0.00096; 55280;981;3033;4.31;1.43;35;1.03;1.03;1;1;70.1;121;0.421;0.261;0.000574;0.000992; 52720;1000;2988;4.29;1.38;34;1.03;1.03;1;1;65.6;117;0.44;0.266;0.000539;0.000963; 52880;980;2920;4.28;1.4;36;1.03;1.03;1;1;66.9;118;0.433;0.266;0.000549;0.000969; 49520;998;3010;4.28;1.41;34;2.02e+03;1.94e+03;1.97e+03;  7%;  7%;  7%;2e+03;2.01e+03;2e+03;  7%;  7%;  7%;2.01e+03;1.93e+03;1.96e+03;  7%;  7%;  7%;1.94e+03;2.02e+03;1.95e+03;  7%;  7%;  7%;100;0.000293;0;0;0;0;0;0;0;100;0.000453;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0.000418;0;0;0;0;0;0;0;162;162;172;161;19.8 ;20.4 ;21.7 ;18.5 ;
