System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;16:19:59.141;0.242;1.09;0.223;1.24;7.88;19.1;0.588;0.415;9.58e-05;0.000233;0.948;1.02;8.22e+04;7.56e+04;2.12e+03;2.17;54.3;0.483;12.1;1.55e+03;18;6.63;3.78;71.6;0;36.2;0;0;0;258;36.7;0.242;1.07;0.227;1.24;2.05;5.08;0.596;0.343;9.99e-05;0.000247; 46960;98;192;0.264;0.308;49;0.247;1.07;0.23;1.24;2.14;5.04;0.575;0.491;0.000102;0.000241; 51520;85;229;0.271;0.271;51;0.236;1.05;0.225;1.24;1.75;4.26;0.589;0.305;8.73e-05;0.000212; 50000;44;184;0.213;0.222;52;0.242;1.17;0.208;1.24;1.93;4.72;0.591;0.47;9.35e-05;0.000229; 48960;60;187;0.201;0.219;53;159;131;137;  0%;  0%;  0%;131;134;159;  0%;  0%;  0%;126;120;97.8;  0%;  0%;  0%;98;123;140;  0%;  0%;  0%;18.3;6.9;2.96;71.8;0;15.6;0;0;0;18.6;4.53;0.871;76;0;54.7;0;0;0;18.2;5.82;2.16;73.8;0;35.7;0;0;0;16.8;9.26;9.12;64.8;0;38.7;0;0;0;64.9;62.6;67.2;63.3;9.93 ;8.87 ;9.22 ;8.63 ;
2018-01-24;16:20:00.153;0.0225;1.54;0.0146;1.39;2.48;10.6;0.767;0.341;0.000323;0.00139;0.373;0.58;7.68e+03;4.98e+03;2.13e+03;3.08;77.1;0.0451;1.13;780;1.05;6.39;0.475;92.1;0;29.8;0;0;0;224;38.6;0.0508;1.49;0.0341;1.4;0.743;7.96;0.907;0.3;0.000172;0.00184; 48720;39;94;0.102;0.153;48;0.0116;1.56;0.00739;1.33;0.519;0.8;0.351;0.446;0.000527;0.000812; 54720;27;83;0.084;0.139;51;0.0174;1.61;0.0108;1.39;0.757;1.15;0.341;0.452;0.000512;0.000776; 48960;40;126;0.0918;0.146;51;0.0104;1.67;0.00623;1.38;0.461;0.731;0.37;0.403;0.000519;0.000823; 51920;29;78;0.0953;0.142;53;92.8;101;93.9;  0%;  0%;  0%;54.2;45.8;56.1;  0%;  0%;  0%;55.5;65.9;54.7;  0%;  0%;  0%;54.4;45.9;59.5;  0%;  0%;  0%;2.43;4.99;0.702;91.9;0;0;0;0;0;0.555;4.23;0.0137;95.2;0;73.4;0;0;0;0.775;5.71;0.686;92.8;0;16.9;0;0;0;0.45;10.6;0.499;88.4;0;29;0;0;0;58.5;52.5;59.2;54.1;10.4 ;8.74 ;10.1 ;9.37 ;
2018-01-24;16:20:01.151;0.0273;1.69;0.0162;1.35;3.95;9.48;0.584;0.373;0.000431;0.00104;0.578;0.86;9.15e+03;5.43e+03;2.1e+03;3.37;84.3;0.0545;1.36;1.2e+03;1.2;17.1;1.38;80.3;0;23.1;0;0;0;233;39.4;0.0266;1.47;0.0181;1.39;0.501;4.58;0.891;0.265;0.000224;0.00205; 48480;19;42;0.163;0.237;49;0.021;1.76;0.0119;1.3;0.905;1.29;0.297;0.437;0.000513;0.000731; 50080;46;138;0.142;0.218;50;0.0477;1.79;0.0267;1.33;1.96;2.74;0.287;0.458;0.00049;0.000687; 51520;98;316;0.129;0.196;51;0.0139;1.74;0.00797;1.41;0.586;0.873;0.328;0.437;0.000504;0.000751; 48720;38;96;0.145;0.209;53;124;157;117;  0%;  0%;  0%;109;67.9;69.6;  0%;  0%;  0%;112;106;103;  0%;  0%;  0%;99.7;67.6;62.9;  0%;  0%;  0%;1.3;9.54;3.86;85.3;0;0.181;0;0;0;0.915;23.3;0.131;75.6;0;22.5;0;0;0;2.01;18.8;1.27;77.9;0;21.6;0;0;0;0.564;16.8;0.256;82.4;0;48.3;0;0;0;57.3;58.2;63.1;54.2;10.3 ;10.1 ;10 ;8.97 ;
2018-01-24;16:20:02.184;0.0442;1.64;0.027;1.26;4.95;22.3;0.778;0.325;0.000327;0.00147;0.7;1.02;1.51e+04;9.26e+03;2.12e+03;3.27;81.8;0.0884;2.21;1.43e+03;2.15;36.2;1.71;59.9;0;2.22;0;0;0;265;43.1;0.00913;1.38;0.00659;1.3;0.395;4.98;0.921;0.0905;0.000508;0.00639; 49520;17;41;0.191;0.271;49;0.0712;1.61;0.0443;1.24;1.54;8.44;0.817;0.36;0.000254;0.00139; 50000;80;224;0.169;0.248;49;0.0806;1.67;0.0482;1.27;2.32;7.88;0.706;0.372;0.000336;0.00114; 58240;120;317;0.161;0.241;51;0.016;1.78;0.009;1.26;0.692;0.988;0.3;0.444;0.000501;0.000715; 50720;36;111;0.179;0.256;52;158;186;135;  0%;  0%;  0%;132;89.7;88.5;  0%;  0%;  0%;136;113;112;  0%;  0%;  0%;113;93.2;70.7;  0%;  0%;  0%;0.506;9.9;3.46;86.1;0;8.92;0;0;0;3.58;57.9;1.27;37.3;0;0;0;0;0;3.81;38.8;2.14;55.2;0;0;0;0;0;0.714;38.2;0;61.1;0;0;0;0;0;57.4;71.8;73.1;62.5;10.6 ;11.1 ;10.9 ;10.5 ;
2018-01-24;16:20:03.193;0.123;1.51;0.0811;1.24;7.43;78.6;0.906;0.331;0.000176;0.00186;0.861;1.08;4.22e+04;2.79e+04;2.17e+03;3.03;75.7;0.246;6.14;1.64e+03;6.55;46.5;0.554;46.4;0;0;0;0;0;291;42.5;0.0371;1.41;0.0263;1.25;0.744;11.3;0.934;0.214;0.000233;0.00353; 49040;22;60;0.231;0.299;48;0.104;1.57;0.0658;1.24;1.76;13.6;0.871;0.345;0.000197;0.00152; 52720;67;202;0.21;0.272;49;0.238;1.5;0.158;1.24;3.83;36.9;0.896;0.351;0.000188;0.00181; 47120;144;397;0.203;0.235;50;0.113;1.52;0.0743;1.24;1.09;16.8;0.935;0.341;0.000113;0.00174; 54240;36;132;0.218;0.278;52;171;233;154;  0%;  1%;  0%;170;95.2;94.6;  0%;  0%;  0%;138;125;125;  0%;  0%;  0%;156;97.4;81.1;  0%;  0%;  0%;2.11;18.2;2.07;77.6;0;0;0;0;0;5.32;67;0;27.7;0;0;0;0;0;12.8;41.9;0;45.3;0;0;0;0;0;6;59.1;0.133;34.8;0;0;0;0;0;60.2;74.4;83.4;72.6;10.6 ;10.9 ;10.7 ;10.3 ;
2018-01-24;16:20:04.203;0.292;1.52;0.192;1.24;15.3;175;0.912;0.324;0.000155;0.00176;1.42;1.55;9.9e+04;6.53e+04;2.12e+03;3.04;75.9;0.584;14.6;2.5e+03;15.5;41.8;1.08;41.7;0;0;0;0;0;335;43.6;0.16;1.5;0.107;1.26;1.91;27.5;0.931;0.288;0.000141;0.00203; 49840;37;112;0.374;0.435;48;0.224;1.52;0.147;1.24;2.7;33.3;0.919;0.34;0.000142;0.00175; 48960;95;256;0.346;0.385;49;0.584;1.51;0.386;1.24;8;86.2;0.907;0.326;0.000161;0.00174; 49520;187;616;0.351;0.345;49;0.199;1.54;0.129;1.25;2.71;27.6;0.902;0.334;0.00016;0.00163; 50800;78;268;0.351;0.389;52;210;329;208;  1%;  1%;  1%;269;151;133;  1%;  0%;  0%;220;206;219;  1%;  1%;  1%;270;155;135;  1%;  0%;  0%;8.47;15.7;2.84;73;0;0;0;0;0;11.9;62.3;0;25.8;0;0;0;0;0;31.2;38.3;0.0193;30.5;0;0;0;0;0;10.3;50.9;1.45;37.4;0;0;0;0;0;68.5;82.4;107;77.2;10.9 ;11.1 ;11.1 ;10.5 ;
2018-01-24;16:20:05.226;0.291;1.52;0.191;1.24;17.7;175;0.899;0.326;0.000178;0.00177;1.54;1.63;9.92e+04;6.52e+04;2.12e+03;3.04;76;0.581;14.5;2.75e+03;15.4;37;0.361;47.3;0;0;0;0;0;335;44.3;0.125;1.51;0.0827;1.27;2.55;23.2;0.89;0.298;0.000239;0.00217; 50240;72;211;0.395;0.442;48;0.359;1.52;0.237;1.24;4.69;51.9;0.91;0.327;0.000153;0.00169; 56080;123;354;0.382;0.395;48;0.405;1.52;0.267;1.24;6.64;58.6;0.887;0.322;0.000192;0.00169; 54480;182;546;0.383;0.383;48;0.272;1.53;0.178;1.25;3.77;41.5;0.909;0.346;0.000162;0.00178; 49120;94;306;0.383;0.406;51;277;310;256;  1%;  1%;  1%;248;194;181;  1%;  0%;  0%;244;198;225;  1%;  1%;  1%;241;207;166;  1%;  1%;  0%;6.53;18.1;1.06;74.3;0;0;0;0;0;19.1;52.8;0.156;27.9;0;0;0;0;0;21.6;26.4;0.223;51.8;0;0;0;0;0;14.2;50.6;0;35.1;0;0;0;0;0;67.2;90.5;93.6;83.6;11.1 ;11.3 ;11.3 ;10.6 ;
2018-01-24;16:20:06.236;0.362;1.53;0.236;1.24;20.7;213;0.903;0.318;0.000167;0.00172;1.71;1.78;1.24e+05;8.08e+04;2.15e+03;3.06;76.6;0.725;18.1;3.01e+03;19.1;45.7;0.696;34.5;0;0;0;0;0;357;44.2;0.277;1.51;0.183;1.24;3.41;44.7;0.924;0.306;0.000144;0.00189; 50240;80;228;0.436;0.477;47;0.294;1.54;0.191;1.24;4.47;42.1;0.894;0.318;0.000178;0.00168; 50800;113;314;0.424;0.448;48;0.5;1.53;0.327;1.24;7.26;73.2;0.901;0.323;0.00017;0.00171; 53680;193;575;0.425;0.415;47;0.379;1.54;0.245;1.24;5.54;53.4;0.896;0.32;0.000172;0.00165; 51360;124;435;0.42;0.437;50;267;334;299;  1%;  1%;  1%;263;227;183;  1%;  1%;  0%;236;223;262;  1%;  1%;  1%;284;219;209;  1%;  1%;  1%;14.8;24.8;0.586;59.8;0;0;0;0;0;15.4;67.6;0.321;16.6;0;0;0;0;0;26.4;40.3;0.573;32.7;0;0;0;0;0;19.8;50;1.31;28.9;0;0;0;0;0;77.8;88.3;102;88.6;11 ;11.4 ;11.3 ;10.5 ;
2018-01-24;16:20:07.246;0.385;1.52;0.253;1.24;22.6;228;0.901;0.318;0.000173;0.00175;1.9;2.04;1.31e+05;8.6e+04;2.12e+03;3.04;75.9;0.769;19.2;3.36e+03;20.5;40;2.16;37.3;0;0;0;0;0;359;44.8;0.228;1.52;0.151;1.24;3.51;37.2;0.906;0.292;0.000181;0.00192; 50160;88;281;0.488;0.549;47;0.556;1.51;0.369;1.24;8.36;81.3;0.897;0.32;0.000177;0.00172; 51760;201;574;0.466;0.469;47;0.403;1.52;0.265;1.24;5.74;59.3;0.903;0.319;0.000168;0.00173; 46400;150;497;0.477;0.511;48;0.351;1.53;0.23;1.24;5;50.7;0.901;0.331;0.000168;0.0017; 54800;128;436;0.469;0.513;50;361;304;294;  1%;  1%;  1%;297;286;255;  1%;  1%;  1%;318;218;246;  1%;  1%;  1%;252;312;218;  1%;  1%;  1%;12.1;23.1;2.29;62.5;0;0;0;0;0;29.8;55.6;1.07;13.6;0;0;0;0;0;21.4;38.6;4.38;35.6;0;0;0;0;0;18.5;42.9;0.893;37.7;0;0;0;0;0;74.5;104;95.4;85.7;11.2 ;11.4 ;11.5 ;10.7 ;
2018-01-24;16:20:08.284;0.212;1.54;0.138;1.25;12.6;124;0.898;0.315;0.000173;0.00171;1.27;1.53;7.26e+04;4.72e+04;2.12e+03;3.08;76.9;0.423;10.6;2.38e+03;11.1;28.5;1.8;58.7;0;0;0;0;0;309;44.5;0.121;1.51;0.08;1.26;2.22;22.2;0.9;0.259;0.000216;0.00216; 48640;56;167;0.334;0.433;47;0.265;1.54;0.172;1.25;3.57;38;0.906;0.324;0.000158;0.00168; 50960;116;330;0.315;0.368;48;0.19;1.54;0.123;1.24;3.08;25.1;0.877;0.337;0.000189;0.00154; 61840;115;366;0.305;0.361;49;0.271;1.55;0.175;1.24;3.72;38.7;0.904;0.32;0.000159;0.00166; 51920;109;337;0.315;0.363;50;241;234;248;  1%;  1%;  1%;182;194;166;  0%;  0%;  0%;195;165;201;  0%;  0%;  1%;188;193;171;  0%;  0%;  0%;6.35;16.8;3.45;73.4;0;0;0;0;0;13.8;33.5;2.35;50.4;0;0;0;0;0;9.9;21.6;1.18;67.3;0;0;0;0;0;14.1;41.9;0.24;43.7;0;0;0;0;0;67.6;81.7;78.2;81.7;11.1 ;11.4 ;11.3 ;10.7 ;
