System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;15:40:43.487;0.237;3.02;0.0784;0.619;4.18;18.8;0.778;0.8;5.18e-05;0.000233;0.555;0.605;8.08e+04;2.68e+04;2.13e+03;6.04;151;0.474;11.8;857;12.7;34.9;0.0109;52.4;0;0;0;0;0;149;29.6;0.943;3.05;0.309;0.619;3.89;6.63;0.413;0.919;4.83e-05;8.23e-05; 49280;173;488;0.126;0.113;46;0.00201;0.966;0.00208;0.619;0.145;5.02;0.971;0.0258;0.000843;0.0292; 22800;0;5;0.142;0.163;54;0.000374;0.833;0.000449;0.619;0.0312;1.24;0.975;0.013;0.000978;0.039; 24720;0;2;0.142;0.162;55;0.00198;1.06;0.00187;0.619;0.122;5.92;0.979;0.0193;0.00072;0.035;  8000;2;3;0.146;0.166;54;131;129;134;  0%;  0%;  0%;12.3;15.7;127;  0%;  0%;  0%;12.8;123;12.8;  0%;  0%;  0%;13.1;16.8;129;  0%;  0%;  0%;50;49.6;0.0173;0.367;0;0;0;0;0;0.337;29.5;0;70.2;0;0;0;0;0;0.0725;26.5;0.00358;73.4;0;0;0;0;0;0.302;33.9;0.0229;65.8;0;0;0;0;0;58.6;29.9;30.4;30.4;7.57 ;7.5 ;7.54 ;7.01 ;
2018-01-24;15:40:44.523;0.0885;1.99;0.0445;0.619;7.89;29.5;0.733;0.343;0.000257;0.000961;0.686;0.7;3.07e+04;1.55e+04;2.13e+03;3.98;99.4;0.177;4.42;1.02e+03;7.19;15.8;0.125;76.9;0;45.7;0;0;0;130;31.4;0.353;2.01;0.176;0.619;7.67;21.7;0.647;0.413;0.000251;0.000712; 53440;245;698;0.17;0.116;47;0.00122;0.861;0.00141;0.614;0.121;3.14;0.961;0.0242;0.00114;0.0297; 21280;0;5;0.173;0.199;53;0.000315;0.782;0.000403;0.612;0.0261;1.06;0.975;0.011;0.000952;0.0388; 24240;0;1;0.17;0.192;55;0.00109;0.824;0.00132;0.613;0.0772;3.62;0.979;0.0163;0.000817;0.0383;  7120;1;2;0.173;0.194;54;138;130;133;  0%;  0%;  0%;16;17.6;177;  0%;  0%;  0%;16.5;169;16.3;  0%;  0%;  0%;16.4;18.3;172;  0%;  0%;  0%;28.4;31.5;0.43;39.6;0;0;0;0;0;0.23;7.4;0.000195;92.4;0;59.7;0;0;0;0.0658;13.7;0.00943;86.2;0;63.7;0;0;0;0.215;10.7;0.0623;89;0;59.1;0;0;0;42.2;28.3;30;29;8.03 ;7.96 ;7.97 ;7.48 ;
2018-01-24;15:40:45.539;0.233;2.94;0.0795;0.619;1.41;14.6;0.904;0.746;1.76e-05;0.000184;0.349;0.478;7.98e+04;2.72e+04;2.18e+03;5.87;147;0.467;11.7;532;12.8;28.9;0.0262;58.2;0;0;0;0;0;142;25.5;0.924;2.97;0.312;0.619;1.16;4.46;0.74;0.906;1.46e-05;5.61e-05; 49600;208;331;0.0703;0.134;47;0.00182;0.972;0.00188;0.619;0.111;4.24;0.974;0.0284;0.000717;0.0273; 21600;1;2;0.0908;0.117;54;0.000852;0.602;0.00142;0.619;0.0779;2.73;0.971;0.0162;0.00107;0.0376; 24480;2;0;0.0935;0.113;55;0.000981;0.883;0.00111;0.619;0.0566;3.21;0.982;0.016;0.000676;0.0383;  7760;0;2;0.0945;0.114;54;105;105;105;  0%;  0%;  0%;12.7;12.1;47.7;  0%;  0%;  0%;12.9;47.2;12.7;  0%;  0%;  0%;12.3;12.6;47.3;  0%;  0%;  0%;50.3;49.5;0.0529;0.0715;0;0;0;0;0;0.303;27.1;0.000226;72.6;0;0;0;0;0;0.229;10.2;0.00952;89.6;0;0;0;0;0;0.179;28.8;0.0418;71;0;0;0;0;0;53.8;29.5;28.9;30.1;6.87 ;6.33 ;6.43 ;5.85 ;
2018-01-24;15:40:46.555;0.239;3.05;0.0784;0.619;0.875;13.8;0.937;0.829;1.07e-05;0.000169;0.251;0.322;8.16e+04;2.68e+04;2.13e+03;6.1;152;0.478;12;322;12.7;30.6;0.00624;56.7;0;0;0;0;0;148;25.1;0.953;3.07;0.31;0.619;0.699;3.55;0.803;0.95;8.6e-06;4.36e-05; 50880;91;234;0.045;0.0629;47;0.00191;1.02;0.00188;0.619;0.08;4.51;0.982;0.0274;0.000491;0.0277; 21600;0;2;0.0667;0.0843;54;0.00034;0.813;0.000418;0.619;0.0283;1.14;0.975;0.0112;0.000975;0.0392; 24320;0;5;0.0682;0.0862;55;0.00136;0.988;0.00138;0.619;0.0675;4.6;0.985;0.016;0.000581;0.0396;  7600;0;2;0.071;0.0886;54;64.5;64.1;66;  0%;  0%;  0%;6.64;8.01;28;  0%;  0%;  0%;6.8;27.1;7.04;  0%;  0%;  0%;6.99;8.26;28.6;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.303;23.3;0;76.4;0;0;0;0;0;0.0675;17.1;0;82.9;0;0;0;0;0;0.222;32.2;0.0249;67.6;0;0;0;0;0;58.8;29.1;29.3;30.3;6.71 ;6.31 ;6.33 ;5.76 ;
2018-01-24;15:40:47.571;0.117;1.49;0.0788;0.619;0.51;15.3;0.967;0.637;1.27e-05;0.000382;0.114;0.105;4e+04;2.69e+04;2.13e+03;2.98;74.4;0.235;5.87;80;12.7;29.8;0.0065;57.4;0;0;0;0;0;139;24.3;0.465;1.5;0.31;0.619;0.244;2.84;0.914;0.904;6.16e-06;7.16e-05; 52080;17;25;0.0318;0.027;47;0.00215;0.944;0.00227;0.619;0.109;5.33;0.98;0.0253;0.000596;0.0291; 21680;0;2;0.0258;0.0251;54;0.000665;0.65;0.00102;0.619;0.0702;2.16;0.968;0.0142;0.00124;0.0381; 24480;0;4;0.0266;0.0255;55;0.0015;0.857;0.00175;0.619;0.0864;4.96;0.983;0.0167;0.000675;0.0387;  7840;1;3;0.03;0.0273;54;11.6;10.6;11.8;  0%;  0%;  0%;3.55;4.2;8.13;  0%;  0%;  0%;3.95;6.32;3.48;  0%;  0%;  0%;3.34;4.35;8.62;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.367;24.3;0;75.3;0;0;0;0;0;0.165;12.8;0;87.1;0;0;0;0;0;0.283;32.3;0.026;67.4;0;0;0;0;0;50.9;29.1;29.1;30.3;6.58 ;6.04 ;6.1 ;5.56 ;
2018-01-24;15:40:48.587;0.0358;0.455;0.0787;0.619;0.445;12.3;0.964;0.0649;3.64e-05;0.00101;0.161;0.0785;1.22e+04;2.68e+04;2.13e+03;0.911;22.8;0.0717;1.79;144;12.7;21.6;0.0265;65.6;0;37.7;0;0;0;132;24.7;0.14;0.449;0.311;0.619;0.22;1.86;0.882;0.256;1.85e-05;0.000156; 50640;21;28;0.0495;0.0277;47;0.0019;1.01;0.00189;0.609;0.0814;4.5;0.982;0.0269;0.000503;0.0278; 21600;0;2;0.0364;0.0168;54;0.000415;0.671;0.000619;0.613;0.0739;1.31;0.944;0.0153;0.00209;0.037; 25360;0;4;0.0358;0.0158;55;0.00138;0.954;0.00145;0.619;0.0693;4.67;0.985;0.015;0.000587;0.0396;  7520;0;5;0.0397;0.0182;54;13.4;14.2;13.7;  0%;  0%;  0%;2.88;3.79;27.5;  0%;  0%;  0%;3.06;27.6;3.18;  0%;  0%;  0%;3.01;4.06;27.7;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;0.31;15;0;84.7;0;47.8;0;0;0;0.101;8.67;0.0607;91.2;0;55.5;0;0;0;0.234;13.1;0.0453;86.6;0;47.6;0;0;0;45.9;28.5;28.9;28.6;6.84 ;6.11 ;6.05 ;5.67 ;
2018-01-24;15:40:49.602;0.0364;0.464;0.0785;0.619;0.313;12.2;0.974;0.0613;2.52e-05;0.000986;0.107;0.096;1.24e+04;2.68e+04;2.13e+03;0.927;23.2;0.0728;1.82;63;12.7;32.4;0.00697;54.9;0;0;0;0;0;136;23.8;0.142;0.457;0.31;0.619;0.125;1.68;0.926;0.257;1.03e-05;0.000139; 50960;15;26;0.0275;0.0256;47;0.00193;1.02;0.0019;0.619;0.0861;4.61;0.981;0.027;0.000523;0.028; 21440;0;4;0.0256;0.0231;54;0.000353;0.839;0.00042;0.619;0.0294;1.18;0.975;0.011;0.000977;0.0393; 25440;1;2;0.0254;0.0229;55;0.00141;1;0.0014;0.619;0.0724;4.77;0.985;0.0156;0.000604;0.0397;  7760;0;4;0.0286;0.0244;54;10.3;7.8;10.1;  0%;  0%;  0%;2.35;3.9;6.74;  0%;  0%;  0%;2.49;3.5;2.75;  0%;  0%;  0%;2.71;4.09;6.27;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.306;28.3;0;71.4;0;0;0;0;0;0.0679;23.6;0;76.3;0;0;0;0;0;0.227;27.9;0.0279;71.8;0;0;0;0;0;46;29.6;30;30;6.49 ;5.92 ;5.95 ;5.42 ;
2018-01-24;15:40:50.620;0.0366;0.466;0.0784;0.619;0.303;11.8;0.974;0.0633;2.42e-05;0.000944;0.107;0.0977;1.25e+04;2.68e+04;2.13e+03;0.933;23.3;0.0731;1.83;64.5;12.7;32.5;0.00687;54.8;0;0;0;0;0;136;24.1;0.143;0.46;0.31;0.619;0.124;1.64;0.924;0.262;1.02e-05;0.000134; 51120;26;27;0.0275;0.0261;47;0.00188;1;0.00188;0.619;0.0836;4.43;0.981;0.0276;0.00052;0.0276; 21520;0;1;0.0254;0.0238;54;0.000332;0.833;0.000398;0.619;0.0268;1.09;0.975;0.0122;0.000943;0.0384; 25520;0;2;0.0255;0.0232;55;0.00137;0.997;0.00137;0.619;0.0688;4.64;0.985;0.0164;0.000589;0.0397;  7520;0;3;0.0284;0.0247;54;11;8.24;10.6;  0%;  0%;  0%;2.37;3.79;6.72;  0%;  0%;  0%;2.65;3.57;2.78;  0%;  0%;  0%;2.74;3.95;6.16;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.303;15.2;0;84.4;0;0;0;0;0;0.0644;29.7;0.00325;70.3;0;0;0;0;0;0.221;35.2;0.0242;64.5;0;0;0;0;0;46.1;28.6;30.8;30.7;6.58 ;5.96 ;5.96 ;5.57 ;
2018-01-24;15:40:51.635;0.036;0.459;0.0786;0.619;0.345;13.4;0.974;0.0538;2.8e-05;0.00109;0.106;0.0971;1.23e+04;2.68e+04;2.14e+03;0.917;22.9;0.0721;1.8;63.8;12.7;32.1;0.00408;55.2;0;0;0;0;0;136;24;0.14;0.452;0.31;0.619;0.132;1.72;0.923;0.237;1.1e-05;0.000144; 50880;12;31;0.0289;0.0261;47;0.0021;0.999;0.0021;0.619;0.0981;5.24;0.981;0.0246;0.000547;0.0292; 21680;0;4;0.0246;0.0234;53;0.000362;0.83;0.000437;0.619;0.0336;1.18;0.972;0.013;0.00109;0.0383; 25360;0;2;0.0246;0.023;55;0.00155;1.02;0.00152;0.619;0.0813;5.28;0.985;0.0152;0.000615;0.04;  7760;1;4;0.0278;0.0246;54;10.7;7.89;10.2;  0%;  0%;  0%;2.2;4.1;6.95;  0%;  0%;  0%;2.37;3.4;2.73;  0%;  0%;  0%;2.72;4.25;6.24;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.34;13.5;0;86.1;0;0;0;0;0;0.0705;34.5;0.00143;65.4;0;0;0;0;0;0.246;30.4;0.0149;69.4;0;0;0;0;0;45.9;28.5;31.2;30.2;6.55 ;5.96 ;5.94 ;5.52 ;
2018-01-24;15:40:52.650;0.037;0.471;0.0785;0.619;0.303;12.3;0.975;0.0582;2.4e-05;0.000976;0.0882;0.0827;1.26e+04;2.68e+04;2.13e+03;0.943;23.6;0.074;1.85;62.5;12.7;25.2;0.00974;62.1;0;23.8;0;0;0;133;23.3;0.144;0.465;0.31;0.619;0.12;1.64;0.927;0.251;9.79e-06;0.000133; 52000;18;23;0.0274;0.026;47;0.00196;1.01;0.00194;0.608;0.0866;4.68;0.981;0.0265;0.000518;0.028; 21680;1;2;0.0174;0.0167;54;0.000341;0.824;0.000414;0.619;0.0269;1.14;0.976;0.0118;0.000923;0.039; 25280;0;2;0.0242;0.0233;56;0.00143;0.977;0.00146;0.618;0.0693;4.87;0.986;0.0146;0.000568;0.0399;  7520;0;5;0.0192;0.0168;54;11;8.18;10.4;  0%;  0%;  0%;2.09;3.72;6.57;  0%;  0%;  0%;2.26;3.37;2.55;  0%;  0%;  0%;2.49;3.92;5.99;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.32;14.8;0.000256;84.8;0;42.6;0;0;0;0.0669;21.4;0.00243;78.5;0;2.66;0;0;0;0.237;14.6;0.0363;85.2;0;49.9;0;0;0;46;28.6;30;28.7;6.53 ;5.68 ;5.88 ;5.2 ;
