System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;15:42:44.347;0.149;1.9;0.0784;0.619;36.6;48.3;0.243;0.379;0.000719;0.000951;2.68;3.31;5.09e+04;2.68e+04;2.13e+03;3.8;95;0.298;7.45;4.58e+03;12.7;18.2;0.0131;69.1;0;42.3;0;0;0;139;41.7;0.593;1.91;0.31;0.619;36.4;41.5;0.122;0.414;0.000719;0.000819; 51440;991;2513;0.67;0.469;47;0.00187;0.966;0.00193;0.614;0.0974;4.35;0.978;0.0282;0.000612;0.0273; 22240;4;2;0.676;0.957;53;0.000371;0.676;0.000548;0.61;0.0407;1.22;0.967;0.0149;0.00129;0.0384; 26480;0;0;0.661;0.941;55;0.000449;0.575;0.000781;0.613;0.0439;1.3;0.966;0.0215;0.00115;0.034;  9360;1;3;0.675;0.947;54;638;630;635;  3%;  3%;  3%;38.5;39.8;818;  0%;  0%;  4%;38.9;806;39;  0%;  4%;  0%;38.8;40;821;  0%;  0%;  4%;50.1;49.9;0;0;0;0;0;0;0;0.315;8.22;0;91.5;0;22.9;0;0;0;0.0899;5.63;0.00406;94.3;0;72.1;0;0;0;0.127;9.02;0.0483;90.8;0;74.1;0;0;0;53.6;28.2;29;28.6;9.68 ;10.8 ;11.2 ;10.1 ;
2018-01-24;15:42:45.363;0.113;2.02;0.056;0.619;13.3;27.4;0.514;0.798;0.000346;0.000712;1.17;1.15;3.85e+04;1.91e+04;2.13e+03;4.03;101;0.226;5.64;1.62e+03;9.04;27.6;0.108;63.3;0;0.54;0;0;0;137;32.2;0.449;2.03;0.221;0.619;13.2;21.9;0.398;0.831;0.000344;0.000571; 54160;393;1119;0.276;0.157;47;0.00135;0.935;0.00144;0.619;0.0793;3.23;0.975;0.0266;0.000687;0.028; 21840;2;3;0.295;0.332;54;0.000349;0.629;0.000554;0.619;0.0408;1.13;0.964;0.0152;0.00137;0.0379; 26160;0;2;0.298;0.331;56;0.000409;0.622;0.000657;0.619;0.0382;1.15;0.967;0.0235;0.0011;0.0331;  9120;0;3;0.299;0.334;53;200;198;200;  1%;  1%;  1%;23.1;23;294;  0%;  0%;  1%;23.3;295;23;  0%;  1%;  0%;22.7;23.4;294;  0%;  0%;  1%;35.7;38.2;0.42;25.7;0;2.16;0;0;0;0.233;16.6;0;83.1;0;0;0;0;0;0.0896;21.2;0.00137;78.8;0;0;0;0;0;0.106;34.2;0.012;65.7;0;0;0;0;0;47.2;28.8;30.2;30.6;7.91 ;8.09 ;8.49 ;7.67 ;
2018-01-24;15:42:46.379;0.226;2.9;0.078;0.619;1.4;10.6;0.868;0.709;1.82e-05;0.000138;0.347;0.494;7.72e+04;2.66e+04;2.13e+03;5.8;145;0.452;11.3;523;12.6;30.3;0.0414;57.1;0;0;0;0;0;140;25.6;0.902;2.93;0.308;0.619;1.15;4.25;0.73;0.858;1.49e-05;5.52e-05; 50320;222;353;0.0694;0.133;47;0.00179;0.933;0.00192;0.619;0.14;4.04;0.965;0.0298;0.000918;0.0264; 22080;2;6;0.0915;0.12;53;0.000407;0.373;0.00109;0.619;0.0618;1.15;0.946;0.0323;0.00178;0.033; 26240;1;2;0.0921;0.119;55;0.000432;0.617;0.0007;0.619;0.0545;1.22;0.955;0.0268;0.00148;0.033;  8800;1;1;0.0944;0.121;53;107;103;104;  0%;  0%;  0%;11.7;11.6;48.9;  0%;  0%;  0%;12;45.3;10.8;  0%;  0%;  0%;10.6;12;46;  0%;  0%;  0%;49.8;50.1;0.0712;0.0755;0;0;0;0;0;0.31;19.1;0.00121;80.6;0;0;0;0;0;0.176;16;0.0808;83.8;0;0;0;0;0;0.113;36.1;0.0124;63.8;0;0;0;0;0;51.3;28.9;29.5;30.6;6.81 ;6.35 ;6.5 ;5.93 ;
2018-01-24;15:42:47.395;0.239;3.04;0.0784;0.619;0.797;11.5;0.931;0.871;9.78e-06;0.000141;0.234;0.347;8.15e+04;2.68e+04;2.13e+03;6.09;152;0.477;11.9;293;12.7;22.6;0.00838;64.8;0;19.6;0;0;0;145;24.6;0.951;3.07;0.31;0.619;0.631;3.4;0.814;0.958;7.77e-06;4.19e-05; 50400;84;247;0.043;0.0635;47;0.00199;0.986;0.00202;0.619;0.0909;4.82;0.981;0.0261;0.000535;0.0284; 22640;3;1;0.0652;0.0959;54;0.000281;0.727;0.000387;0.617;0.0178;0.918;0.981;0.0118;0.000741;0.0383; 26400;1;0;0.0606;0.0913;55;0.000747;0.761;0.000982;0.615;0.0567;2.37;0.976;0.0173;0.000889;0.0372;  9120;2;2;0.0653;0.0965;53;62.7;60.1;66.8;  0%;  0%;  0%;2.72;4.54;27.5;  0%;  0%;  0%;2.85;24.7;3.29;  0%;  0%;  0%;3.21;4.82;29.4;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.326;11.8;0.000164;87.9;0;0.728;0;0;0;0.0627;9.73;0.000644;90.2;0;30.4;0;0;0;0.16;18.9;0.0327;80.9;0;47.1;0;0;0;58.7;28.2;28.9;29;6.65 ;6.28 ;6.01 ;5.61 ;
2018-01-24;15:42:48.411;0.174;2.22;0.0783;0.619;0.49;9.06;0.946;0.852;8.24e-06;0.000152;0.0769;0.0792;5.94e+04;2.67e+04;2.13e+03;4.45;111;0.348;8.71;78;12.6;17.6;0.00639;69.8;0;52.4;0;0;0;139;22.8;0.694;2.24;0.31;0.619;0.341;2.58;0.868;0.953;5.77e-06;4.36e-05; 50960;22;40;0.031;0.0279;47;0.00182;0.98;0.00185;0.603;0.0769;4.2;0.982;0.0283;0.000496;0.0271; 22560;0;4;0.0151;0.018;54;0.00033;0.619;0.000533;0.608;0.0347;1.06;0.967;0.0145;0.00123;0.0377; 26080;0;0;0.0142;0.0157;56;0.000437;0.545;0.000801;0.61;0.037;1.22;0.97;0.022;0.000992;0.0327;  8880;0;1;0.0166;0.0176;54;13.5;11.6;12;  0%;  0%;  0%;2.34;2.52;9.88;  0%;  0%;  0%;2.57;8.14;2.08;  0%;  0%;  0%;1.87;2.75;8.75;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.307;5.41;0.000351;94.3;0;62.9;0;0;0;0.0877;6.86;0.000165;93.1;0;72.3;0;0;0;0.131;8.08;0.025;91.8;0;74.3;0;0;0;54.4;27.6;28.7;27.9;6.58 ;5.72 ;5.5 ;4.98 ;
2018-01-24;15:42:49.426;0.0363;0.465;0.0782;0.619;0.22;7.51;0.971;0.0793;1.77e-05;0.000605;0.0962;0.0944;1.24e+04;2.67e+04;2.13e+03;0.93;23.2;0.0727;1.82;44.8;12.6;34.7;0.00461;52.6;0;0;0;0;0;136;23.8;0.143;0.461;0.31;0.619;0.0987;1.21;0.919;0.284;8.1e-06;9.96e-05; 48960;16;28;0.0249;0.0244;47;0.00182;1;0.00181;0.619;0.0712;4.19;0.983;0.0289;0.000459;0.027; 22640;0;2;0.0229;0.0231;54;0.000279;0.814;0.000343;0.619;0.0156;0.908;0.983;0.0122;0.000655;0.0381; 26160;0;2;0.0229;0.0227;56;0.000417;0.64;0.000652;0.619;0.0342;1.19;0.971;0.0238;0.000961;0.0336;  9120;1;2;0.0254;0.0242;54;9.18;5.62;7.12;  0%;  0%;  0%;1.37;2.13;6.43;  0%;  0%;  0%;1.42;2.34;1.67;  0%;  0%;  0%;1.54;2.21;3.74;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.293;20.9;0.00064;78.9;0;0;0;0;0;0.0554;33.4;0;66.6;0;0;0;0;0;0.105;34.8;0.0178;65;0;0;0;0;0;45.9;28.8;31.1;30.4;6.42 ;6.02 ;5.95 ;5.44 ;
2018-01-24;15:42:50.441;0.0359;0.459;0.0782;0.619;0.205;7.38;0.972;0.0832;1.68e-05;0.000603;0.0962;0.0935;1.22e+04;2.66e+04;2.13e+03;0.918;23;0.0718;1.79;42.6;12.6;33.3;0.00402;54;0;0;0;0;0;136;23.8;0.141;0.455;0.31;0.619;0.0865;1.22;0.929;0.291;7.19e-06;0.000101; 51120;21;26;0.0241;0.0236;47;0.0018;1;0.0018;0.619;0.0654;4.15;0.984;0.029;0.000425;0.027; 22480;0;3;0.0232;0.0231;54;0.000292;0.812;0.00036;0.619;0.0184;0.954;0.981;0.0145;0.000736;0.0383; 26160;1;1;0.0234;0.0228;55;0.000387;0.609;0.000635;0.619;0.0352;1.06;0.967;0.0286;0.00107;0.0322;  8960;0;0;0.0256;0.024;53;8.28;5.4;6.71;  0%;  0%;  0%;1.59;2.07;5.47;  0%;  0%;  0%;1.64;2.43;1.74;  0%;  0%;  0%;1.53;2.18;3.57;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.291;14.3;0.000214;85.4;0;0;0;0;0;0.0582;32.7;0;67.3;0;0;0;0;0;0.103;36.4;0.0159;63.5;0;0;0;0;0;45.9;28.4;30.8;30.5;6.44 ;6.02 ;5.84 ;5.46 ;
2018-01-24;15:42:51.463;0.0364;0.468;0.0779;0.619;0.222;7.67;0.971;0.0851;1.77e-05;0.000613;0.101;0.0996;1.25e+04;2.67e+04;2.13e+03;0.935;23.4;0.0729;1.82;50.6;12.6;31.5;0.00283;55.9;0;0;0;0;0;136;23.9;0.143;0.464;0.309;0.619;0.0949;1.36;0.93;0.284;7.72e-06;0.000111; 51120;18;27;0.0248;0.0245;47;0.00183;0.995;0.00184;0.619;0.069;4.22;0.984;0.0289;0.00044;0.0269; 22640;1;1;0.0244;0.0248;54;0.0003;0.755;0.000397;0.619;0.0214;0.962;0.978;0.0152;0.000831;0.0374; 26160;0;0;0.0248;0.0245;55;0.000402;0.616;0.000654;0.619;0.0365;1.13;0.968;0.0279;0.00106;0.0327;  9120;0;3;0.027;0.0257;54;9.84;6.97;8.23;  0%;  0%;  0%;1.79;2.42;6.1;  0%;  0%;  0%;1.97;2.95;2;  0%;  0%;  0%;1.76;2.5;4.07;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.297;14.7;0;85;0;0;0;0;0;0.0641;25;0;75;0;0;0;0;0;0.106;36.3;0.0113;63.6;0;0;0;0;0;46.2;28.8;30.3;30.7;6.48 ;6.04 ;5.94 ;5.46 ;
2018-01-24;15:42:52.479;0.0373;0.476;0.0784;0.619;0.212;7.44;0.972;0.0832;1.66e-05;0.000584;0.0637;0.0643;1.27e+04;2.68e+04;2.15e+03;0.951;23.8;0.0746;1.87;48.6;12.7;18.2;0.0111;69.1;0;49.8;0;0;0;131;22.3;0.147;0.472;0.31;0.619;0.0935;1.32;0.929;0.281;7.46e-06;0.000105; 51280;21;21;0.0246;0.0244;47;0.00179;0.994;0.0018;0.603;0.067;4.13;0.984;0.0286;0.000439;0.027; 22720;0;2;0.0134;0.0143;54;0.000282;0.731;0.000386;0.613;0.0172;0.917;0.981;0.013;0.000715;0.0381; 26080;0;2;0.0116;0.0122;55;0.000387;0.53;0.000729;0.612;0.0341;1.08;0.968;0.0238;0.00103;0.0326;  8880;0;0;0.0141;0.0134;53;10;7.05;8.04;  0%;  0%;  0%;1.45;2.17;6.38;  0%;  0%;  0%;1.51;2.69;1.71;  0%;  0%;  0%;1.58;2.28;3.79;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.299;5;0.00227;94.7;0;59.1;0;0;0;0.0629;6.8;0;93.1;0;70.4;0;0;0;0.119;11.2;0.042;88.7;0;69.6;0;0;0;46;27.7;28.8;28.2;6.43 ;5.47 ;5.52 ;4.91 ;
2018-01-24;15:42:53.494;0.036;0.46;0.0783;0.619;0.255;8.72;0.971;0.0748;2.07e-05;0.00071;0.0997;0.0993;1.23e+04;2.67e+04;2.13e+03;0.92;23;0.072;1.8;53.3;12.7;31.8;0.0172;55.6;0;0;0;0;0;136;23.9;0.141;0.455;0.31;0.619;0.105;1.4;0.925;0.267;8.72e-06;0.000116; 49440;13;26;0.0255;0.025;47;0.0019;1;0.00189;0.619;0.0822;4.47;0.982;0.0271;0.000508;0.0276; 22640;1;4;0.024;0.0246;54;0.000273;0.784;0.000348;0.619;0.0156;0.887;0.982;0.0123;0.000668;0.038; 26160;0;0;0.0237;0.0243;55;0.000878;0.912;0.000963;0.619;0.0522;1.96;0.973;0.03;0.000697;0.0262;  9200;0;3;0.0264;0.0254;54;10.3;7.28;8.71;  0%;  0%;  0%;1.51;3.03;6.6;  0%;  0%;  0%;1.74;2.71;1.85;  0%;  0%;  0%;1.76;3.41;4.43;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.306;21;0.052;78.6;0;0;0;0;0;0.0563;25.5;0;74.4;0;0;0;0;0;0.156;30.6;0.0166;69.2;0;0;0;0;0;45.9;28.9;30.4;30.3;6.43 ;6.02 ;5.95 ;5.47 ;
