System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;15:22:11.376;0.177;1.84;0.096;0.762;1.31;12.7;0.897;0.962;2.17e-05;0.00021;0.315;0.382;6.02e+04;3.27e+04;2.13e+03;3.69;92.2;0.354;8.85;475;12.6;26.2;0.00994;61.2;0;0;0;0;0;157;25.7;0.705;1.85;0.381;0.762;1.2;6.56;0.817;0.98;2e-05;0.000109; 51200;121;335;0.0506;0.0813;46;0.0019;1.11;0.0017;0.762;0.063;4.23;0.985;0.0361;0.00039;0.0262; 14240;1;0;0.0867;0.1;53;0.000293;0.626;0.000468;0.762;0.0177;0.894;0.98;0.0168;0.00071;0.0359; 16480;0;0;0.0875;0.0987;55;0.000358;0.571;0.000626;0.762;0.0227;0.993;0.977;0.0229;0.000746;0.0326; 11600;1;0;0.0898;0.102;54;92.3;89.8;90.6;  0%;  0%;  0%;12.6;12.6;43.6;  0%;  0%;  0%;12.7;41;12.6;  0%;  0%;  0%;12.4;12.7;42;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.223;8.73;0.00204;91;0;0;0;0;0;0.0614;26.7;0.00615;73.2;0;0;0;0;0;0.0822;19.3;0.0316;80.6;0;0;0;0;0;62.1;30.2;33;31.8;6.77 ;6.45 ;6.57 ;5.9 ;
2018-01-24;15:22:12.438;0.149;2.24;0.0666;0.761;19.5;44.9;0.566;0.717;0.000367;0.000846;1.63;1.37;5.31e+04;2.37e+04;2.13e+03;4.48;112;0.299;7.46;2.24e+03;8.75;15.2;0.0915;76;0;34.5;0;0;0;153;32.9;0.601;2.26;0.266;0.762;19.3;39.2;0.508;0.744;0.000365;0.000741; 49840;506;1449;0.4;0.174;46;0.00146;0.904;0.00161;0.701;0.115;3.61;0.968;0.0285;0.000888;0.0278; 13840;0;1;0.404;0.395;53;0.000293;0.622;0.00047;0.762;0.0202;0.929;0.978;0.0163;0.000774;0.0356; 16480;0;2;0.416;0.404;55;0.000398;0.513;0.000775;0.721;0.0482;1.19;0.959;0.0227;0.00136;0.0335; 11200;0;14;0.406;0.394;54;233;229;232;  1%;  1%;  1%;37.4;38.8;439;  0%;  0%;  2%;37.9;436;37.8;  0%;  2%;  0%;37.8;39.7;439;  0%;  0%;  2%;35;39.3;0.312;25.4;0;1.7;0;0;0;0.23;4.1;0.00221;95.7;0;65.5;0;0;0;0.0617;12.2;0.0133;87.7;0;0;0;0;0;0.108;5.48;0.0417;94.4;0;70.3;0;0;0;56.1;31.3;33.2;31.9;8.33 ;8.15 ;8.6 ;7.87 ;
2018-01-24;15:22:13.451;0.29;2.95;0.0983;0.762;1.38;11.5;0.88;0.815;1.39e-05;0.000116;0.346;0.505;9.9e+04;3.36e+04;2.23e+03;5.9;147;0.58;14.5;513;12.9;27.6;0.029;59.5;0;0;0;0;0;157;25.1;1.14;2.97;0.385;0.762;1.17;3.9;0.701;0.928;1.18e-05;3.95e-05; 52800;196;336;0.0704;0.134;46;0.00191;1.07;0.00179;0.762;0.106;4.25;0.975;0.0352;0.00065;0.0262; 13920;0;2;0.0896;0.122;53;0.000306;0.627;0.000488;0.762;0.0202;0.949;0.979;0.0142;0.000774;0.0364; 16480;1;1;0.0912;0.122;55;0.00104;0.692;0.0015;0.762;0.0841;2.42;0.965;0.0314;0.000952;0.0274; 11280;1;3;0.0952;0.127;54;106;102;105;  0%;  0%;  0%;9.31;10.9;47.7;  0%;  0%;  0%;9.51;44.8;9.35;  0%;  0%;  0%;9.37;11.2;48;  0%;  0%;  0%;50.6;49.3;0.0395;0.108;0;0;0;0;0;0.235;12.7;0.00607;87.1;0;0;0;0;0;0.0641;29.9;0.00186;70;0;0;0;0;0;0.197;18.2;0.0685;81.5;0;0;0;0;0;61.4;30.7;33.3;31.8;6.78 ;6.24 ;6.3 ;5.75 ;
2018-01-24;15:22:14.465;0.295;3.06;0.0964;0.762;0.866;15.7;0.945;0.859;8.61e-06;0.000156;0.249;0.356;1.01e+05;3.28e+04;2.13e+03;6.12;153;0.59;14.8;298;12.7;27;0.00887;60.3;0;0;0;0;0;165;24.7;1.18;3.08;0.381;0.762;0.634;3.27;0.806;0.967;6.33e-06;3.27e-05; 50080;72;247;0.0452;0.0629;45;0.0022;1.1;0.002;0.762;0.102;5.34;0.981;0.0302;0.000545;0.0285; 13920;0;5;0.0656;0.0966;53;0.000635;0.817;0.000777;0.762;0.0544;2.1;0.974;0.0126;0.00101;0.0387; 16480;0;2;0.0683;0.0977;55;0.00148;0.966;0.00153;0.762;0.0751;5;0.985;0.014;0.000596;0.0397; 11440;0;5;0.0703;0.0989;54;63.5;62.1;63.9;  0%;  0%;  0%;3.7;5.04;27.7;  0%;  0%;  0%;4.06;26.2;4.71;  0%;  0%;  0%;4.94;4.93;26.8;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.262;13.9;0.00619;85.9;0;0;0;0;0;0.102;25.1;0.00332;74.8;0;0;0;0;0;0.201;19;0.026;80.7;0;0;0;0;0;69.6;30.8;32.9;31.9;6.64 ;6.14 ;6.16 ;5.73 ;
2018-01-24;15:22:15.479;0.203;2.1;0.0965;0.762;0.621;15.2;0.959;0.8;8.98e-06;0.00022;0.12;0.113;6.92e+04;3.29e+04;2.13e+03;4.21;105;0.406;10.2;89.5;12.7;24.4;0.0105;62.9;0;0;0;0;0;157;24.3;0.808;2.12;0.381;0.762;0.343;2.69;0.873;0.957;4.99e-06;3.92e-05; 48560;18;28;0.0352;0.0289;46;0.00223;1.06;0.00211;0.762;0.133;5.37;0.975;0.0318;0.000701;0.0282; 14320;2;2;0.0254;0.0271;53;0.000731;0.82;0.000891;0.762;0.0631;2.24;0.972;0.0348;0.00101;0.036; 17600;1;7;0.0284;0.0272;55;0.00146;0.923;0.00158;0.762;0.0816;4.93;0.983;0.0139;0.000655;0.0396; 11280;0;2;0.0308;0.0293;53;14.7;11.1;11.9;  0%;  0%;  0%;3.22;4.13;11.4;  0%;  0%;  0%;3.44;8.78;3.71;  0%;  0%;  0%;3.56;4.29;9.22;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.277;14.2;0.011;85.5;0;0;0;0;0;0.117;20.3;0.00905;79.6;0;0;0;0;0;0.208;13.3;0.0221;86.4;0;0;0;0;0;63;30.8;32.4;31.3;6.58 ;6.07 ;6.03 ;5.63 ;
2018-01-24;15:22:16.492;0.0448;0.465;0.0964;0.761;0.328;13.8;0.976;0.0495;2.15e-05;0.000906;0.07;0.0623;1.53e+04;3.28e+04;2.13e+03;0.93;23.3;0.0897;2.24;57.1;12.7;16.8;0.012;70.5;0;50.7;0;0;0;143;22;0.175;0.459;0.381;0.762;0.109;1.41;0.922;0.261;7.32e-06;9.44e-05; 48560;10;25;0.0279;0.025;46;0.00219;1.06;0.00207;0.7;0.1;5.47;0.982;0.0243;0.000537;0.0293; 14400;0;3;0.0135;0.0132;53;0.000634;0.841;0.000754;0.748;0.0527;2.13;0.975;0.0111;0.000977;0.0394; 17520;2;0;0.013;0.0114;55;0.00143;0.983;0.00145;0.757;0.0657;4.84;0.986;0.0131;0.000541;0.0399; 11200;0;0;0.0156;0.0127;54;9.53;6.87;8.07;  0%;  0%;  0%;2.76;3.17;6.83;  0%;  0%;  0%;2.75;3.53;3.03;  0%;  0%;  0%;2.81;3.35;4.42;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.296;3.39;0.00858;96.3;0;60.6;0;0;0;0.101;8.26;0.0156;91.6;0;71;0;0;0;0.192;5.79;0.024;94;0;71.1;0;0;0;51.9;29.8;31.2;30.5;6.38 ;5.37 ;5.31 ;4.93 ;
2018-01-24;15:22:17.505;0.0442;0.458;0.0963;0.762;0.33;13.3;0.975;0.0566;2.2e-05;0.000887;0.109;0.101;1.5e+04;3.28e+04;2.13e+03;0.917;22.9;0.0883;2.21;63.3;12.6;26.9;0.0163;60.5;0;0;0;0;0;147;23.6;0.172;0.452;0.381;0.762;0.114;1.31;0.913;0.294;7.74e-06;8.91e-05; 50400;10;29;0.0276;0.0254;46;0.00216;1.09;0.00198;0.762;0.105;5.17;0.98;0.0308;0.00057;0.0281; 14400;0;2;0.0255;0.0251;53;0.000602;0.843;0.000714;0.762;0.0489;2.01;0.976;0.0121;0.000954;0.0392; 17760;0;4;0.0265;0.0247;55;0.00143;0.981;0.00146;0.762;0.0627;4.86;0.987;0.0137;0.000516;0.0399; 11280;1;1;0.0293;0.0261;53;11;7.79;9.11;  0%;  0%;  0%;2.86;3.57;7.3;  0%;  0%;  0%;2.85;3.94;3.16;  0%;  0%;  0%;3.03;3.85;4.87;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.259;18.2;0.0235;81.5;0;0;0;0;0;0.0937;21.3;0.00869;78.6;0;0;0;0;0;0.191;18.1;0.0328;81.6;0;0;0;0;0;51.8;31.2;32.4;31.8;6.42 ;5.84 ;5.85 ;5.48 ;
2018-01-24;15:22:18.518;0.0447;0.464;0.0962;0.762;0.297;11.8;0.975;0.0593;1.95e-05;0.000777;0.105;0.099;1.52e+04;3.28e+04;2.13e+03;0.928;23.2;0.0893;2.23;58.1;12.6;25.3;0.022;62;0;0;0;0;0;147;23.5;0.175;0.459;0.381;0.762;0.108;1.27;0.915;0.285;7.24e-06;8.55e-05; 53280;12;28;0.0274;0.025;46;0.00211;1.11;0.0019;0.762;0.0911;5.01;0.982;0.0315;0.000507;0.0279; 14480;0;3;0.0242;0.0242;54;0.000527;0.798;0.00066;0.762;0.0438;1.74;0.975;0.0125;0.000978;0.0389; 17520;1;2;0.0254;0.0244;55;0.00113;0.92;0.00123;0.762;0.0543;3.78;0.986;0.0137;0.000565;0.0393; 11280;0;2;0.0279;0.0255;54;10.3;7.51;8.39;  0%;  0%;  0%;2.56;3.06;6.99;  0%;  0%;  0%;2.64;3.61;2.74;  0%;  0%;  0%;2.55;3.19;4.56;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.249;16.2;0.0157;83.5;0;0;0;0;0;0.0866;21.6;0.00802;78.3;0;0;0;0;0;0.161;13.4;0.0641;86.4;0;0;0;0;0;51.9;31;32.4;31.2;6.32 ;5.88 ;5.89 ;5.45 ;
2018-01-24;15:22:19.532;0.0449;0.465;0.0967;0.762;0.399;15.9;0.975;0.0491;2.6e-05;0.00104;0.111;0.104;1.53e+04;3.29e+04;2.13e+03;0.93;23.2;0.0899;2.25;72;12.7;23.9;0.0142;63.4;0;0;0;0;0;146;23.7;0.175;0.459;0.381;0.762;0.128;1.42;0.91;0.27;8.59e-06;9.54e-05; 54480;18;19;0.0296;0.0262;46;0.0024;1.03;0.00235;0.762;0.118;5.95;0.98;0.0286;0.000576;0.0291; 14240;0;4;0.025;0.0255;53;0.000817;0.729;0.00112;0.762;0.0675;2.67;0.975;0.0137;0.00097;0.0383; 17520;2;2;0.0268;0.0257;55;0.00173;0.898;0.00193;0.762;0.0855;5.84;0.985;0.0137;0.000579;0.0396; 11280;0;2;0.0298;0.0269;54;12.3;9.45;10.3;  0%;  0%;  0%;3.28;4.06;7.86;  0%;  0%;  0%;3.27;4.32;3.87;  0%;  0%;  0%;3.59;4.11;5.67;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.308;12.2;0.00304;87.5;0;0;0;0;0;0.147;17.2;0.0213;82.6;0;0;0;0;0;0.253;16.3;0.0325;83.5;0;0;0;0;0;51.8;30.6;32.1;31.7;6.38 ;5.92 ;5.89 ;5.51 ;
2018-01-24;15:22:20.545;0.0445;0.462;0.0964;0.762;0.341;13.9;0.975;0.0523;2.25e-05;0.000915;0.0777;0.075;1.52e+04;3.28e+04;2.13e+03;0.923;23.1;0.089;2.23;70.2;12.7;17.6;0.0179;69.7;0;47;0;0;0;144;22.4;0.174;0.456;0.381;0.762;0.118;1.4;0.915;0.279;8e-06;9.46e-05; 54000;12;30;0.0283;0.0265;46;0.00217;1.05;0.00207;0.709;0.101;5.37;0.981;0.0249;0.000544;0.029; 14400;0;4;0.0158;0.017;54;0.000622;0.848;0.000734;0.74;0.0528;2.09;0.975;0.0108;0.000998;0.0394; 17600;0;5;0.0153;0.0152;55;0.00147;0.99;0.00149;0.758;0.0695;5.01;0.986;0.0129;0.000555;0.04; 11280;0;4;0.0183;0.0164;53;12.8;9.99;10.8;  0%;  0%;  0%;2.8;3.54;7.52;  0%;  0%;  0%;2.7;4.24;3.49;  0%;  0%;  0%;3.09;3.85;5.36;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.292;5.48;0.00632;94.2;0;56.1;0;0;0;0.0992;8.19;0.0165;91.7;0;65.8;0;0;0;0.196;6.77;0.0486;93;0;65.9;0;0;0;51.8;30;31.2;30.6;6.36 ;5.47 ;5.55 ;4.99 ;
