System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;15:14:14.202;0.18;1.75;0.103;0.81;9.87;26.5;0.628;0.894;0.000162;0.000434;0.709;0.258;6.11e+04;3.49e+04;2.13e+03;3.5;87.5;0.359;8.98;880;12.7;34.9;0.00906;52.4;0;0;0;0;0;168;27;0.714;1.76;0.406;0.81;9.68;14.2;0.318;0.94;0.000159;0.000234; 52880;167;512;0.182;0.0462;45;0.00192;1.07;0.0018;0.81;0.0766;4.56;0.983;0.0254;0.000469;0.028;  7280;1;0;0.175;0.0694;53;0.000489;0.934;0.000523;0.81;0.0329;1.65;0.98;0.012;0.00079;0.0396; 12320;1;1;0.173;0.0689;54;0.00179;1.07;0.00167;0.81;0.0803;6.14;0.987;0.0134;0.000528;0.0404; 27360;0;1;0.178;0.0734;53;50.7;48.2;52.8;  0%;  0%;  0%;32.1;33.6;177;  0%;  0%;  0%;32.1;175;32.6;  0%;  0%;  0%;32.4;33.6;180;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;0.222;34.7;0;65.1;0;0;0;0;0;0.0646;32.2;0;67.8;0;0;0;0;0;0.207;22.8;0.0363;76.9;0;0;0;0;0;65.4;33.8;34.8;33.6;7.13 ;6.82 ;6.68 ;6.34 ;
2018-01-24;15:14:15.225;0.186;2.1;0.0888;0.81;17.6;39.6;0.555;0.795;0.000276;0.00062;1.46;1.19;6.39e+04;3.05e+04;2.13e+03;4.19;105;0.372;9.31;1.87e+03;11;34.1;0.0336;54.9;0;0;0;0;0;167;29.9;0.743;2.11;0.353;0.81;17.4;30.8;0.434;0.833;0.000274;0.000484; 53680;423;1219;0.368;0.133;45;0.00176;1.02;0.00172;0.81;0.106;3.89;0.973;0.0324;0.000701;0.0258;  9200;0;4;0.363;0.354;53;0.00045;0.89;0.000506;0.81;0.0368;1.31;0.972;0.0483;0.000951;0.034; 13200;1;3;0.361;0.35;55;0.00108;0.866;0.00125;0.81;0.079;3.62;0.978;0.0162;0.000851;0.0389; 27440;0;1;0.364;0.353;53;175;171;176;  0%;  0%;  0%;27.3;28.8;396;  0%;  0%;  2%;28.1;390;27.7;  0%;  1%;  0%;27.7;29.2;395;  0%;  0%;  2%;43.6;44.1;0.117;12.2;0;0;0;0;0;0.212;33.4;0;66.4;0;0;0;0;0;0.0625;28.9;0;71;0;0;0;0;0;0.154;30.2;0.0179;69.6;0;0;0;0;0;63.3;34.1;34.9;34.3;7.64 ;7.5 ;7.58 ;7.13 ;
2018-01-24;15:14:16.239;0.254;2.83;0.09;0.809;1.51;14.1;0.893;0.277;1.74e-05;0.000162;0.399;0.605;8.66e+04;3.07e+04;2.15e+03;5.65;141;0.508;12.7;645;11.1;19.8;0.0587;69;0;38;0;0;0;152;24.6;1.01;2.85;0.355;0.81;1.3;7.44;0.826;0.411;1.5e-05;8.62e-05; 50560;250;449;0.0745;0.155;45;0.00203;0.712;0.00285;0.731;0.139;5;0.972;0.028;0.000806;0.029;  9200;0;2;0.105;0.148;53;0.000235;0.503;0.000467;0.807;0.0292;0.648;0.955;0.0221;0.00146;0.0324; 12400;1;0;0.109;0.151;55;0.000381;0.488;0.000781;0.791;0.0455;0.981;0.954;0.031;0.0014;0.0302; 27360;0;1;0.111;0.152;53;138;132;133;  0%;  0%;  0%;11.9;12.2;59.6;  0%;  0%;  0%;12.3;54.1;11.7;  0%;  0%;  0%;11.4;12.7;56.2;  0%;  0%;  0%;43.8;45.2;0.184;10.8;0;2.09;0;0;0;0.389;3.2;0.0171;96.4;0;66.5;0;0;0;0.0579;16.1;0;83.8;0;41.8;0;0;0;0.0988;14.7;0.033;85.2;0;41.9;0;0;0;55.3;30.7;33.1;32.5;6.81 ;5.91 ;6.25 ;5.67 ;
2018-01-24;15:14:17.237;0.31;3.04;0.102;0.809;0.679;8.61;0.921;0.854;6.51e-06;8.27e-05;0.111;0.124;1.04e+05;3.43e+04;2.1e+03;6.07;152;0.62;15.5;95.6;12.6;30.3;0.00795;57.1;0;17.8;0;0;0;165;23;1.24;3.05;0.406;0.81;0.551;2.54;0.783;0.952;5.3e-06;2.45e-05; 50320;30;47;0.034;0.0301;45;0.00184;1.06;0.00173;0.738;0.0766;4.14;0.981;0.0274;0.000495;0.0267;  9440;1;2;0.0196;0.0259;53;0.000243;0.709;0.000342;0.803;0.0175;0.726;0.976;0.0132;0.000858;0.0356; 12480;0;3;0.0279;0.0343;55;0.000434;0.622;0.000698;0.784;0.0335;1.21;0.972;0.0237;0.00092;0.0331; 27520;0;0;0.029;0.0338;53;16.9;13.8;14.8;  0%;  0%;  0%;1.26;1.91;15.1;  0%;  0%;  0%;1.34;12.2;1.39;  0%;  0%;  0%;1.22;1.97;13.6;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.235;10.5;0;89.3;0;50.6;0;0;0;0.0426;30.8;0.000336;69.2;0;10.2;0;0;0;0.089;30.1;0.0315;69.8;0;10.3;0;0;0;66.5;31.1;34.2;33.5;6.43 ;5.4 ;5.86 ;5.36 ;
2018-01-24;15:14:18.249;0.314;3.07;0.102;0.81;0.859;11.9;0.928;0.88;8.04e-06;0.000111;0.249;0.359;1.07e+05;3.48e+04;2.13e+03;6.14;154;0.628;15.7;301;12.6;38.2;0.00279;49.1;0;0;0;0;0;177;24.6;1.25;3.09;0.406;0.81;0.704;3.61;0.805;0.96;6.61e-06;3.39e-05; 53520;64;230;0.0442;0.0628;44;0.00188;1.06;0.00177;0.81;0.0718;4.4;0.984;0.0259;0.000449;0.0275;  9600;0;1;0.0677;0.0979;53;0.000394;0.849;0.000464;0.81;0.0339;1.28;0.974;0.0121;0.00101;0.0382; 12640;0;4;0.0675;0.0984;55;0.000807;0.888;0.000909;0.81;0.0492;2.59;0.981;0.0179;0.000716;0.0377; 27600;1;0;0.0694;0.0998;53;64.9;64.3;65;  0%;  0%;  0%;3.82;4.09;28.9;  0%;  0%;  0%;3.9;27.4;3.77;  0%;  0%;  0%;3.56;4.2;27.6;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.219;25.6;0;74.2;0;0;0;0;0;0.0573;36.7;0.000267;63.2;0;0;0;0;0;0.112;40.8;0.0109;59.1;0;0;0;0;0;74.3;33;35.1;34.9;6.59 ;6.2 ;6.26 ;5.58 ;
2018-01-24;15:14:19.264;0.164;1.6;0.102;0.81;0.395;11.4;0.965;0.771;7.07e-06;0.000204;0.106;0.104;5.58e+04;3.48e+04;2.13e+03;3.21;80.2;0.328;8.19;63.9;12.6;34.7;0.00801;52.7;0;0;0;0;0;165;23.8;0.652;1.61;0.405;0.81;0.229;2.6;0.912;0.936;4.12e-06;4.69e-05; 53200;20;25;0.0293;0.026;45;0.00181;1.05;0.00172;0.81;0.0711;4.22;0.983;0.0267;0.000461;0.0273;  9680;0;1;0.0249;0.0256;53;0.00041;0.745;0.00055;0.81;0.0427;1.33;0.968;0.0154;0.00122;0.038; 12640;0;11;0.0245;0.0257;55;0.000988;0.95;0.00104;0.81;0.052;3.26;0.984;0.017;0.000617;0.0387; 27520;0;0;0.0273;0.0272;53;10.3;9.35;10.4;  0%;  0%;  0%;2.08;2.56;7.11;  0%;  0%;  0%;2.44;5.47;2;  0%;  0%;  0%;1.99;2.63;7.55;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.212;30;0;69.8;0;0;0;0;0;0.068;32.9;0.00101;67;0;0;0;0;0;0.128;25.9;0.031;74;0;0;0;0;0;63.2;33.5;34.9;33.5;6.47 ;5.97 ;5.92 ;5.39 ;
2018-01-24;15:14:20.277;0.0475;0.463;0.102;0.809;0.273;10.9;0.975;0.0619;1.69e-05;0.000676;0.0804;0.0757;1.62e+04;3.49e+04;2.13e+03;0.927;23.2;0.095;2.37;52;12.7;19.4;0.00691;67.9;0;30;0;0;0;151;22.5;0.187;0.459;0.406;0.81;0.117;1.86;0.937;0.223;7.35e-06;0.000117; 51520;9;26;0.027;0.0245;45;0.00187;1.07;0.00175;0.767;0.0707;4.35;0.984;0.0261;0.000445;0.0274;  9680;1;0;0.0183;0.0174;53;0.000401;0.827;0.000485;0.806;0.0282;1.32;0.979;0.0138;0.000826;0.0386; 12480;0;1;0.0163;0.0163;55;0.00103;0.879;0.00117;0.801;0.0577;3.4;0.983;0.0152;0.000659;0.0388; 27600;0;1;0.0189;0.0175;53;8.99;6.89;8.98;  0%;  0%;  0%;1.66;2.59;5.96;  0%;  0%;  0%;1.9;3.04;1.9;  0%;  0%;  0%;1.86;2.72;5.56;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;0.229;9.27;0;90.5;0;36.1;0;0;0;0.0602;10.5;0;89.4;0;41.9;0;0;0;0.146;8;0.0276;91.8;0;42;0;0;0;54.6;31.4;32.7;31.9;6.34 ;5.66 ;5.47 ;5.01 ;
2018-01-24;15:14:21.290;0.0475;0.464;0.102;0.809;0.252;10.7;0.977;0.0658;1.56e-05;0.000665;0.101;0.097;1.62e+04;3.48e+04;2.13e+03;0.928;23.2;0.095;2.37;54.3;12.6;30.6;0.00891;56.8;0;2.97;0;0;0;155;23.3;0.187;0.46;0.406;0.81;0.11;1.87;0.941;0.237;6.92e-06;0.000118; 52080;21;25;0.0263;0.0245;45;0.00183;1.06;0.00173;0.801;0.0646;4.28;0.985;0.0259;0.000414;0.0275;  9680;0;1;0.0244;0.0237;53;0.000386;0.844;0.000457;0.806;0.0253;1.27;0.98;0.0112;0.00077;0.0388; 12560;0;2;0.0235;0.0233;55;0.001;0.912;0.0011;0.801;0.0522;3.33;0.984;0.0145;0.000612;0.039; 27680;0;1;0.027;0.0255;53;9.67;7.56;9.15;  0%;  0%;  0%;1.72;2.55;6.1;  0%;  0%;  0%;1.93;3.56;1.98;  0%;  0%;  0%;1.94;2.64;5.51;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;0.216;25.8;0;74;0;5.48;0;0;0;0.0568;27.8;0.00976;72.2;0;6.35;0;0;0;0.137;18.9;0.0259;81;0;0.0569;0;0;0;54.5;33;34.2;32.8;6.3 ;5.91 ;5.77 ;5.29 ;
2018-01-24;15:14:22.302;0.0458;0.448;0.102;0.81;0.223;8.62;0.974;0.0748;1.43e-05;0.000554;0.0991;0.0984;1.56e+04;3.47e+04;2.13e+03;0.896;22.4;0.0916;2.29;48.9;12.6;33.7;0.0106;53.7;0;0;0;0;0;156;23.4;0.18;0.445;0.406;0.81;0.0972;1.6;0.939;0.251;6.33e-06;0.000104; 54080;13;25;0.0251;0.0241;45;0.00184;1.06;0.00173;0.81;0.0636;4.26;0.985;0.0264;0.000407;0.0273;  9680;0;0;0.0243;0.0246;53;0.000317;0.753;0.000422;0.81;0.0257;1.01;0.975;0.0135;0.000954;0.0375; 12480;0;3;0.0237;0.0243;55;0.000572;0.74;0.000773;0.81;0.0364;1.75;0.979;0.019;0.000747;0.036; 27680;0;0;0.026;0.0254;53;9.48;7.19;8.18;  0%;  0%;  0%;1.66;2.08;5.9;  0%;  0%;  0%;1.78;3.06;1.67;  0%;  0%;  0%;1.46;2.13;4.35;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.213;23.2;0;76.6;0;0;0;0;0;0.0521;35;0.0194;65;0;0;0;0;0;0.0955;26.6;0.0229;73.2;0;0;0;0;0;54.3;32.9;34.8;33.8;6.31 ;5.94 ;5.83 ;5.33 ;
2018-01-24;15:14:23.314;0.0469;0.459;0.102;0.81;0.261;9.65;0.973;0.0708;1.64e-05;0.000605;0.101;0.0995;1.59e+04;3.48e+04;2.13e+03;0.917;22.9;0.0938;2.34;53.2;12.6;31.1;0.00843;56.3;0;0;0;0;0;155;23.4;0.184;0.454;0.406;0.81;0.109;1.71;0.936;0.238;6.94e-06;0.000109; 51680;10;33;0.0266;0.025;45;0.00187;1.06;0.00177;0.81;0.0724;4.37;0.983;0.0262;0.000456;0.0275;  9760;0;1;0.0245;0.0247;53;0.000365;0.831;0.000439;0.81;0.0269;1.18;0.977;0.014;0.000868;0.0382; 12560;1;0;0.0235;0.0244;54;0.000996;0.972;0.00102;0.81;0.0528;2.39;0.978;0.0269;0.000624;0.0282; 27760;0;0;0.0261;0.0253;53;10.1;7.64;8.76;  0%;  0%;  0%;1.53;2.68;6.28;  0%;  0%;  0%;1.67;3.16;1.86;  0%;  0%;  0%;1.85;2.71;4.95;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.218;12.1;0;87.7;0;0;0;0;0;0.0542;34.8;0.0182;65.2;0;0;0;0;0;0.127;27.7;0.0155;72.1;0;0;0;0;0;54.4;31.7;35;34;6.35 ;5.92 ;5.8 ;5.36 ;
