System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;15:10:21.043;0.207;1.92;0.108;0.857;0.247;11.5;0.979;0.966;3.5e-06;0.000163;0.0697;0.0601;7.05e+04;3.68e+04;2.13e+03;3.83;95.8;0.415;10.4;25.7;12.6;35.5;0.0158;51.8;0;23.3;0;0;0;175;22.8;0.826;1.93;0.429;0.857;0.117;1.56;0.925;0.995;1.67e-06;2.23e-05; 54720;10;6;0.0291;0.0224;45;0.00311;0.918;0.00339;0.798;0.091;8.05;0.989;0.0267;0.000344;0.0305; 25040;0;3;0.00753;0.0067;54;0.000298;0.905;0.000329;0.856;0.0192;0.97;0.98;0.0114;0.000757;0.0383; 11040;0;3;0.0189;0.0178;55;0.000298;0.82;0.000364;0.837;0.0194;0.939;0.979;0.0145;0.000763;0.037; 27120;0;3;0.0141;0.0132;53;6.02;1.43;1.55;  0%;  0%;  0%;1.49;1.2;6.63;  0%;  0%;  0%;1.39;1.8;0.538;  0%;  0%;  0%;0.388;1.27;1.98;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.424;2.29;0.0633;97.2;0;65.9;0;0;0;0.0384;52.2;0;47.8;0;0.132;0;0;0;0.0435;37.8;0;62.2;0;27.3;0;0;0;70.1;31.6;37.8;35.8;6.36 ;5.31 ;5.93 ;5.24 ;
2018-01-24;15:10:22.055;0.199;2.39;0.0831;0.856;13.4;27.1;0.507;0.828;0.000198;0.000401;1.2;1.08;6.76e+04;2.83e+04;2.12e+03;4.78;120;0.398;9.94;1.57e+03;9.71;40;0.152;50.1;0;21.6;0;0;0;169;29;0.793;2.41;0.33;0.857;13.2;21.5;0.387;0.858;0.000196;0.000319; 52320;405;1040;0.295;0.138;45;0.00163;0.778;0.00209;0.755;0.117;3.65;0.968;0.0345;0.000849;0.0264; 22560;0;2;0.291;0.305;54;0.000279;0.858;0.000326;0.857;0.0175;0.901;0.981;0.0127;0.000738;0.0379; 10400;0;0;0.308;0.318;55;0.000341;0.701;0.000487;0.857;0.036;1.06;0.966;0.0168;0.00124;0.0365; 26880;0;1;0.306;0.318;53;173;168;168;  0%;  0%;  0%;22.7;23;311;  0%;  0%;  1%;23;308;22;  0%;  1%;  0%;21.9;23.7;307;  0%;  0%;  1%;38.5;46.7;0.134;14.7;0;0;0;0;0;0.277;1.13;0.106;98.5;0;86.2;0;0;0;0.038;53.5;0;46.5;0;0;0;0;0;0.0568;58.8;0.369;40.8;0;0;0;0;0;61.8;31.5;38;38.1;7.53 ;7.17 ;7.3 ;7.01 ;
2018-01-24;15:10:23.067;0.32;2.95;0.108;0.857;1.27;17.9;0.929;0.701;1.17e-05;0.000164;0.329;0.479;1.09e+05;3.69e+04;2.12e+03;5.9;147;0.64;16;507;12.7;40.4;0.0106;46.9;0;10.5;0;0;0;176;24.3;1.27;2.98;0.428;0.857;1.08;3.31;0.673;0.926;1e-05;3.06e-05; 52320;232;344;0.0684;0.133;45;0.00443;0.924;0.0048;0.827;0.13;12.5;0.99;0.0233;0.000345;0.0331; 22880;0;1;0.0821;0.111;54;0.000301;0.91;0.00033;0.857;0.0235;0.964;0.976;0.0142;0.00092;0.0377; 10800;0;2;0.0894;0.117;55;0.000603;1.22;0.000493;0.857;0.0324;1.15;0.972;0.0342;0.000632;0.0223; 26640;0;1;0.0892;0.118;53;106;101;102;  0%;  0%;  0%;10.5;10.5;48;  0%;  0%;  0%;10.8;43.7;9.54;  0%;  0%;  0%;9.46;11;43.7;  0%;  0%;  0%;49.9;50;0.00693;0.0117;0;0;0;0;0;0.58;3.63;0.0355;95.8;0;41.8;0;0;0;0.0386;51.9;0;48;0;0;0;0;0;0.0575;56.2;0;43.8;0;0;0;0;0;68.1;31.9;37.8;38;6.71 ;5.85 ;6.16 ;5.61 ;
2018-01-24;15:10:24.089;0.333;3.09;0.108;0.856;0.296;12.2;0.976;0.895;2.59e-06;0.000107;0.109;0.138;1.14e+05;3.7e+04;2.13e+03;6.18;155;0.666;16.7;92.7;12.6;28.9;0.0209;58.5;0;30.7;0;0;0;184;23.2;1.33;3.11;0.428;0.857;0.167;1.7;0.902;0.984;1.47e-06;1.49e-05; 55760;43;28;0.0311;0.0342;45;0.00325;0.916;0.00355;0.784;0.0892;8.61;0.99;0.0262;0.00032;0.0309; 23200;1;1;0.0185;0.0279;54;0.000291;0.846;0.000344;0.857;0.0185;0.949;0.981;0.0144;0.000741;0.038; 10720;0;1;0.033;0.0414;55;0.000322;0.782;0.000412;0.85;0.0212;0.986;0.978;0.0177;0.000769;0.0357; 26880;0;0;0.0264;0.0348;53;22;17.4;17.9;  0%;  0%;  0%;1.69;1.6;11.7;  0%;  0%;  0%;1.63;7.69;0.821;  0%;  0%;  0%;0.677;1.62;7.93;  0%;  0%;  0%;49.9;50.1;0;0;0;0;0;0;0;0.453;1.18;0.0835;98.3;0;83.5;0;0;0;0.0401;33.7;0;66.2;0;0;0;0;0;0.0484;30.6;0;69.4;0;39.2;0;0;0;80.3;32;36.3;35.2;6.56 ;5.29 ;6.04 ;5.35 ;
2018-01-24;15:10:25.100;0.323;2.98;0.108;0.857;0.805;8.62;0.907;0.922;7.33e-06;7.85e-05;0.188;0.277;1.1e+05;3.69e+04;2.14e+03;5.95;149;0.645;16.1;235;12.7;35.6;0.0217;51.8;0;26.5;0;0;0;184;23.7;1.29;2.99;0.43;0.857;0.68;2.43;0.721;0.976;6.21e-06;2.22e-05; 54480;98;225;0.0425;0.0547;44;0.00197;0.855;0.00231;0.754;0.0863;4.37;0.98;0.0337;0.000514;0.0261; 23280;0;2;0.0399;0.0665;54;0.000279;0.864;0.000323;0.854;0.0152;0.903;0.983;0.0116;0.00064;0.0381; 10640;0;2;0.0549;0.0796;55;0.000291;0.749;0.000388;0.852;0.0238;0.905;0.974;0.0148;0.000962;0.0366; 26880;0;0;0.0505;0.0766;53;53.6;48.8;48.8;  0%;  0%;  0%;2.61;2.66;25.4;  0%;  0%;  0%;2.62;22.4;1.82;  0%;  0%;  0%;1.74;2.73;21.6;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.306;1.22;0.0867;98.4;0;83.4;0;0;0;0.0378;48.4;0;51.6;0;0.14;0;0;0;0.0456;42.8;0;57.2;0;22.6;0;0;0;78.1;31.5;37.6;36.3;6.61 ;5.34 ;6.15 ;5.58 ;
2018-01-24;15:10:26.111;0.0503;0.465;0.108;0.857;0.247;10.2;0.976;0.138;1.44e-05;0.000597;0.0847;0.0826;1.71e+04;3.68e+04;2.12e+03;0.929;23.2;0.101;2.51;45;12.6;44.5;0.0156;42.9;0;15.1;0;0;0;166;22.6;0.197;0.46;0.429;0.857;0.118;0.561;0.79;0.712;7.04e-06;3.35e-05; 53040;44;14;0.0283;0.0246;45;0.00298;0.919;0.00324;0.796;0.0852;7.71;0.989;0.0263;0.000337;0.0305; 23520;0;2;0.012;0.0129;54;0.000292;0.943;0.00031;0.857;0.0171;0.945;0.982;0.0126;0.000688;0.0381; 10640;0;2;0.0221;0.0223;54;0.000316;0.742;0.000426;0.857;0.0264;0.977;0.973;0.0156;0.000985;0.0364; 27120;0;1;0.0223;0.0227;53;10.1;5.8;6.38;  0%;  0%;  0%;1.77;1.96;7.01;  0%;  0%;  0%;1.73;3.05;0.932;  0%;  0%;  0%;0.828;2.05;3.42;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.407;3.93;0.0624;95.6;0;60.5;0;0;0;0.0361;67.9;0;32.1;0;0;0;0;0;0.0497;56.1;0;43.8;0;0;0;0;0;56.9;31.7;39.6;37.9;6.36 ;5.23 ;5.77 ;5.24 ;
2018-01-24;15:10:27.122;0.0487;0.45;0.108;0.857;0.203;10.3;0.98;0.0576;1.23e-05;0.000626;0.0825;0.0804;1.65e+04;3.67e+04;2.12e+03;0.9;22.5;0.0974;2.43;40.7;12.6;39.2;0.0181;48.1;0;16.4;0;0;0;164;22.4;0.191;0.446;0.429;0.857;0.0816;0.401;0.796;0.488;5.03e-06;2.47e-05; 52080;32;28;0.0269;0.0239;45;0.00309;0.926;0.00334;0.794;0.0816;8.06;0.99;0.0265;0.000311;0.0308; 23360;0;0;0.0107;0.0115;54;0.000291;0.929;0.000313;0.857;0.0176;0.944;0.981;0.0156;0.000713;0.0382; 10480;0;0;0.0223;0.0222;55;0.0003;0.845;0.000355;0.857;0.0219;0.936;0.977;0.017;0.000858;0.0367; 26960;1;0;0.0226;0.0227;53;9.71;5.02;5.64;  0%;  0%;  0%;1.72;1.78;6.32;  0%;  0%;  0%;1.7;2.4;0.926;  0%;  0%;  0%;0.792;1.9;2.8;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.42;2.21;0.0725;97.3;0;65.6;0;0;0;0.0365;57;0;43;0;0;0;0;0;0.0414;47.8;0;52.2;0;0;0;0;0;56.7;31.6;38.2;37;6.37 ;5.08 ;5.72 ;5.29 ;
2018-01-24;15:10:28.134;0.0485;0.449;0.108;0.857;0.208;10.4;0.98;0.0557;1.26e-05;0.00063;0.0827;0.079;1.65e+04;3.68e+04;2.12e+03;0.897;22.4;0.0971;2.43;38.2;12.6;28.5;0.0159;58.8;0;14.6;0;0;0;159;22.8;0.19;0.444;0.429;0.857;0.0866;0.39;0.778;0.481;5.35e-06;2.41e-05; 50960;42;13;0.0271;0.0237;45;0.00312;0.92;0.00339;0.796;0.0828;8.13;0.99;0.0263;0.000313;0.0307; 23360;0;1;0.0116;0.0118;54;0.000288;0.856;0.000336;0.857;0.0167;0.925;0.982;0.0151;0.000684;0.0378; 10720;0;5;0.0219;0.0216;55;0.000305;0.787;0.000388;0.857;0.0215;0.938;0.977;0.0172;0.00083;0.0362; 26960;0;2;0.0221;0.0219;53;9.01;4.43;4.91;  0%;  0%;  0%;1.73;1.75;6.43;  0%;  0%;  0%;1.55;2.27;0.875;  0%;  0%;  0%;0.784;1.79;2.63;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.426;2.68;0.0638;96.8;0;58.5;0;0;0;0.0392;35.9;0;64.1;0;0;0;0;0;0.0452;25.5;0;74.4;0;0;0;0;0;56.7;31.7;36.2;34.5;6.35 ;5.33 ;5.75 ;5.36 ;
2018-01-24;15:10:29.145;0.0475;0.439;0.108;0.857;0.204;10.5;0.981;0.0546;1.26e-05;0.000649;0.0789;0.075;1.62e+04;3.68e+04;2.12e+03;0.878;22;0.095;2.38;36.9;12.6;36.5;0.0163;50.9;0;18.9;0;0;0;162;22.7;0.186;0.435;0.429;0.857;0.0862;0.393;0.781;0.476;5.44e-06;2.48e-05; 48560;37;10;0.0272;0.0237;45;0.00317;0.917;0.00346;0.796;0.082;8.24;0.99;0.0265;0.000304;0.0306; 23600;0;2;0.0115;0.0117;54;0.000284;0.877;0.000324;0.857;0.0153;0.903;0.983;0.0117;0.000636;0.0374; 10640;0;0;0.0216;0.0213;54;0.000302;0.851;0.000355;0.851;0.0201;0.935;0.979;0.0134;0.000781;0.0364; 26880;0;2;0.0186;0.0184;53;8.86;4.27;4.72;  0%;  0%;  0%;1.58;1.61;6.59;  0%;  0%;  0%;1.39;2.23;0.813;  0%;  0%;  0%;0.698;1.55;2.59;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.434;2.69;0.0653;96.8;0;57.4;0;0;0;0.0378;52.6;0;47.4;0;0.128;0;0;0;0.0417;40.7;0;59.2;0;18.2;0;0;0;56.6;31.7;37.8;36.3;6.37 ;5.35 ;5.81 ;5.2 ;
2018-01-24;15:10:30.144;0.0499;0.462;0.108;0.856;0.185;6.5;0.972;0.0762;1.11e-05;0.000388;0.0757;0.0725;1.67e+04;3.62e+04;2.1e+03;0.924;23.1;0.0997;2.49;35.5;12.6;39.7;0.0243;47.7;0;20.8;0;0;0;162;22.4;0.197;0.459;0.429;0.857;0.0765;0.384;0.801;0.484;4.63e-06;2.32e-05; 47280;39;17;0.0261;0.023;45;0.00199;0.873;0.00228;0.738;0.0761;4.36;0.983;0.0339;0.000457;0.0261; 23680;0;3;0.00689;0.00716;54;0.000271;0.898;0.000302;0.857;0.0153;0.856;0.982;0.0125;0.000672;0.0376; 10640;1;0;0.0213;0.0211;55;0.000294;0.83;0.000354;0.857;0.0173;0.902;0.981;0.0138;0.000701;0.0366; 26960;0;0;0.0214;0.0213;53;8.33;4.4;4.64;  0%;  0%;  0%;1.51;1.54;6;  0%;  0%;  0%;1.44;2.13;0.82;  0%;  0%;  0%;0.713;1.58;2.4;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.309;1.22;0.0963;98.4;0;83.2;0;0;0;0.0352;59.2;0.000735;40.7;0;0;0;0;0;0.0413;48.3;0;51.7;0;0;0;0;0;56.2;31.1;38.1;36.3;6.25 ;5.14 ;5.75 ;5.27 ;
