System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:52:12.998;0.238;2.78;0.0857;0.951;1.52;13.6;0.888;0.265;1.88e-05;0.000169;0.39;0.608;8.08e+04;2.91e+04;2.12e+03;5.56;139;0.476;11.9;681;9;18.4;0.163;72.4;0;51;0;0;0;161;25.8;0.951;2.79;0.341;0.952;1.33;9.22;0.856;0.341;1.65e-05;0.000114; 56320;251;473;0.0703;0.161;46;0.00163;0.89;0.00183;0.842;0.156;4.13;0.962;0.026;0.00113;0.03;  4400;1;4;0.104;0.15;52;7.1e-05;0.387;0.000184;0.879;0.0177;0.129;0.863;0.0624;0.00294;0.0215; 15600;0;1;0.102;0.144;54;7.78e-05;0.373;0.000208;0.925;0.0188;0.131;0.857;0.0753;0.00285;0.0199; 33200;0;1;0.114;0.155;52;145;138;139;  0%;  0%;  0%;13.3;13.5;63.8;  0%;  0%;  0%;14.1;55.6;13.1;  0%;  0%;  0%;12.8;14.7;57.3;  0%;  0%;  0%;35.8;38.6;0.653;25;0;4.86;0;0;0;0.217;5.99;0;93.8;0;76.9;0;0;0;0.0209;13;0;87;0;86.1;0;0;0;0.0225;16.2;0;83.8;0;36.2;0;0;0;59.7;32.1;34.6;34.2;6.97 ;6.33 ;6.57 ;5.93 ;
2018-01-24;14:52:14.009;0.0986;2.53;0.039;0.952;3.17;15.2;0.792;0.636;9.46e-05;0.000455;0.382;0.528;3.35e+04;1.32e+04;2.12e+03;5.06;127;0.197;4.93;736;4.09;18.3;1.63;75.9;0;37.9;0;0;0;161;31.8;0.393;2.55;0.154;0.952;3.07;11.6;0.735;0.696;9.21e-05;0.000348; 51600;126;399;0.0875;0.101;47;0.00063;0.79;0.000797;0.857;0.0437;1.6;0.973;0.0236;0.000816;0.0299;  4240;0;1;0.091;0.135;52;0.000279;0.881;0.000317;0.937;0.0168;0.904;0.981;0.0113;0.00071;0.0381; 15440;0;0;0.1;0.144;54;0.000608;1.04;0.000586;0.886;0.0357;1.14;0.969;0.0346;0.000691;0.022; 32160;0;0;0.104;0.148;52;118;119;122;  0%;  0%;  0%;14.7;15.6;95.9;  0%;  0%;  0%;14.7;94;15.1;  0%;  0%;  0%;15;15.8;96.3;  0%;  0%;  0%;16.2;23.9;6.49;53.4;0;0;0;0;0;0.093;1.81;0.0204;98.1;0;81.6;0;0;0;0.0338;16.6;0;83.3;0;36.1;0;0;0;0.0662;31;0;68.9;0;33.8;0;0;0;53.4;32.9;36.5;38.2;7.93 ;8.04 ;8.2 ;7.59 ;
2018-01-24;14:52:15.009;0.017;1.57;0.0108;0.952;2.43;9.17;0.735;0.308;0.000425;0.0016;0.334;0.46;5.72e+03;3.64e+03;2.1e+03;3.14;78.5;0.034;0.851;633;1.14;46.2;0.727;51.9;0;0;0;0;0;167;31.9;0.0678;1.59;0.0427;0.952;2.38;8.86;0.731;0.314;0.000418;0.00155; 50160;93;294;0.0711;0.089;46;0.000112;0.328;0.00034;0.952;0.0221;0.159;0.861;0.0914;0.00236;0.017;  4160;0;1;0.0866;0.123;52;5.82e-05;0.351;0.000166;0.952;0.0121;0.0757;0.84;0.0939;0.00247;0.0155; 15280;0;1;0.0863;0.123;54;6.9e-05;0.36;0.000192;0.952;0.0141;0.0803;0.824;0.11;0.00244;0.0139; 32000;0;1;0.09;0.126;52;104;103;105;  0%;  0%;  0%;14.9;15.2;78.3;  0%;  0%;  0%;14.7;75.1;15;  0%;  0%;  0%;14.9;15.2;77.6;  0%;  0%;  0%;4.48;13.5;2.9;79.1;0;0;0;0;0;0.0357;9.04;0.00598;90.9;0;0;0;0;0;0.0174;82.5;0;17.4;0;0;0;0;0;0.0201;79.7;0;20.3;0;0;0;0;0;40.8;33.5;46.5;45.8;7.86 ;8.21 ;8.24 ;7.58 ;
2018-01-24;14:52:16.021;0.0321;1.57;0.0205;0.952;5.12;18.3;0.72;0.319;0.00047;0.00168;0.599;0.754;1.09e+04;6.96e+03;2.12e+03;3.13;78.3;0.0642;1.6;1.18e+03;2.15;27.5;0.665;69.7;0;22.3;0;0;0;158;33.4;0.128;1.58;0.0811;0.952;5.04;17.9;0.718;0.322;0.000464;0.00165; 51680;183;601;0.131;0.141;46;0.000129;0.314;0.000412;0.935;0.0378;0.167;0.773;0.119;0.00345;0.0152;  4640;0;2;0.152;0.202;52;0.000132;0.459;0.000287;0.946;0.0271;0.115;0.765;0.327;0.00242;0.0103; 15520;1;0;0.153;0.201;54;7.26e-05;0.316;0.00023;0.952;0.0148;0.0864;0.829;0.113;0.0024;0.014; 32000;0;1;0.163;0.21;52;181;181;181;  0%;  0%;  0%;27.5;27.6;158;  0%;  0%;  0%;27.5;154;27.7;  0%;  0%;  0%;27.7;27.6;155;  0%;  0%;  0%;8.52;18.8;2.66;70;0;0;0;0;0;0.0441;4.79;0.00364;95.2;0;44.8;0;0;0;0.0303;42.7;0.00174;57.3;0;44.5;0;0;0;0.0241;43.8;0;56.2;0;0;0;0;0;44.5;32.8;40.3;39.9;8.24 ;8.52 ;8.61 ;8.01 ;
2018-01-24;14:52:17.031;0.0419;1.58;0.0265;0.952;6.94;23.4;0.703;0.318;0.000487;0.00164;0.828;1.05;1.42e+04;9.02e+03;2.13e+03;3.16;79;0.0838;2.1;1.57e+03;2.79;37.7;0.978;58.5;0;17.1;0;0;0;171;34.4;0.167;1.59;0.105;0.952;6.71;22.8;0.706;0.321;0.000472;0.0016; 51920;270;762;0.174;0.187;46;0.00011;0.348;0.000315;0.952;0.0228;0.155;0.852;0.0992;0.00245;0.0166;  4640;1;0;0.223;0.287;52;5.87e-05;0.384;0.000153;0.899;0.0123;0.0822;0.85;0.0592;0.00247;0.0165; 15360;1;0;0.215;0.278;53;0.000121;0.307;0.000393;0.946;0.2;0.321;0.379;0.247;0.0195;0.0313; 33120;7;28;0.216;0.294;52;236;234;243;  1%;  1%;  1%;34.8;38.2;211;  0%;  0%;  1%;34.6;207;38.4;  0%;  1%;  0%;37.6;36.8;217;  0%;  0%;  1%;11.1;23.5;3.91;61.5;0;0;0;0;0;0.0331;21.7;0.00319;78.3;0;0;0;0;0;0.017;49.9;0;50.1;0;34.2;0;0;0;0.0416;55.8;0;44.2;0;34.1;0;0;0;48.8;36.4;42.5;42.9;8.39 ;8.84 ;8.93 ;8.21 ;
2018-01-24;14:52:18.041;0.0643;1.53;0.0419;0.952;11.8;42.3;0.722;0.328;0.000539;0.00194;1.17;1.34;2.18e+04;1.42e+04;2.12e+03;3.07;76.7;0.129;3.21;2.19e+03;4.4;57.3;1.38;36.9;0;0;0;0;0;188;35.7;0.257;1.54;0.167;0.952;11.7;42;0.721;0.329;0.000537;0.00193; 51680;406;1187;0.266;0.23;47;0.000109;0.364;0.000301;0.952;0.0213;0.143;0.851;0.105;0.00229;0.0154;  4560;0;1;0.301;0.373;52;5.92e-05;0.451;0.000131;0.952;0.013;0.0758;0.829;0.092;0.00258;0.0151; 15200;0;0;0.301;0.368;53;6.97e-05;0.439;0.000159;0.953;0.0146;0.0785;0.814;0.114;0.00247;0.0133; 31280;0;2;0.304;0.368;52;312;312;313;  1%;  1%;  1%;46.2;46.8;325;  0%;  0%;  1%;46;323;47.4;  0%;  1%;  0%;47.2;46.8;325;  0%;  0%;  1%;17.5;30.8;5.5;46.2;0;0;0;0;0;0.0316;32.9;0.00272;67.1;0;0;0;0;0;0.0138;81.5;0;18.5;0;0;0;0;0;0.0166;84.3;0;15.7;0;0;0;0;0;54.5;38;47.6;47.6;8.71 ;9.2 ;9.26 ;8.51 ;
2018-01-24;14:52:19.050;0.0741;1.54;0.0481;0.952;13.9;46.7;0.702;0.337;0.000554;0.00186;1.39;1.63;2.51e+04;1.63e+04;2.12e+03;3.08;77;0.148;3.71;2.5e+03;5.05;60;1.46;33.5;0;0;0;0;0;191;36.3;0.296;1.54;0.192;0.952;13.9;46.4;0.701;0.338;0.000553;0.00185; 51360;500;1400;0.31;0.262;46;0.000116;0.391;0.000296;0.952;0.0241;0.165;0.854;0.105;0.00246;0.0169;  4560;1;1;0.358;0.472;52;5.8e-05;0.473;0.000123;0.952;0.0127;0.0732;0.827;0.122;0.00257;0.0149; 15040;0;0;0.358;0.468;53;6.68e-05;0.505;0.000132;0.952;0.0136;0.0735;0.815;0.139;0.0024;0.013; 30240;0;0;0.361;0.432;52;360;358;361;  1%;  1%;  1%;42.7;48;381;  0%;  0%;  1%;42.5;380;48.3;  0%;  1%;  0%;48.1;48;381;  0%;  0%;  1%;20.1;29;5.83;45;0;0;0;0;0;0.0311;39.3;0.00163;60.7;0;0;0;0;0;0.0129;83.1;0;16.9;0;0;0;0;0;0.0139;88.4;0;11.6;0;0;0;0;0;56.1;39.1;47.7;48.5;8.77 ;9.35 ;9.47 ;8.68 ;
2018-01-24;14:52:20.062;0.0938;1.49;0.0629;0.952;22.1;63.9;0.655;0.328;0.000693;0.00201;2.09;2.45;3.18e+04;2.14e+04;2.12e+03;2.98;74.5;0.188;4.69;3.73e+03;6.61;37.9;1.4;54.1;0;22.3;0;0;0;183;38.7;0.375;1.49;0.251;0.952;22;63.6;0.654;0.329;0.000692;0.002; 48400;711;2182;0.473;0.378;46;0.000129;0.365;0.000355;0.952;0.0258;0.198;0.87;0.101;0.00235;0.0181;  4560;0;2;0.539;0.684;52;6.37e-05;0.42;0.000152;0.937;0.0135;0.08;0.832;0.101;0.00249;0.0148; 15120;0;2;0.536;0.687;53;7.28e-05;0.43;0.00017;0.916;0.0155;0.0816;0.81;0.118;0.0025;0.0132; 30400;0;2;0.539;0.702;52;528;529;532;  2%;  2%;  2%;61.6;60.6;590;  0%;  0%;  3%;61.5;593;59.7;  0%;  3%;  0%;59.5;60.7;595;  0%;  0%;  3%;26.4;31.3;5.59;36.8;0;0;0;0;0;0.0373;22.4;0.000644;77.6;0;0;0;0;0;0.0162;46.8;0;53.2;0;44.6;0;0;0;0.0185;51.2;0;48.7;0;44.5;0;0;0;61.3;36.7;42.2;42.5;9.22 ;10 ;10.2 ;9.27 ;
2018-01-24;14:52:21.073;0.0731;1.54;0.0475;0.952;13.7;46.6;0.706;0.314;0.000551;0.00187;1.29;1.47;2.48e+04;1.62e+04;2.13e+03;3.07;76.8;0.146;3.65;2.39e+03;4.99;45.3;3.83;45.9;0;15;0;0;0;182;36.1;0.292;1.54;0.189;0.952;13.6;46.2;0.705;0.315;0.00055;0.00186; 50800;452;1351;0.296;0.249;46;0.000107;0.351;0.000304;0.952;0.0226;0.142;0.84;0.117;0.0025;0.0156;  4480;0;1;0.334;0.407;52;6.02e-05;0.408;0.000148;0.917;0.0126;0.0793;0.841;0.058;0.00246;0.0155; 15040;0;2;0.328;0.402;53;7.51e-05;0.426;0.000176;0.935;0.0176;0.0889;0.802;0.0952;0.00276;0.0139; 28720;0;2;0.332;0.414;52;340;338;340;  1%;  1%;  1%;48.9;48.1;359;  0%;  0%;  1%;48.7;358;47.7;  0%;  1%;  0%;47.4;48.1;362;  0%;  0%;  1%;19.9;26.7;15.3;38.1;0;0;0;0;0;0.0319;31.9;0.00268;68;0;0;0;0;0;0.0161;61.8;0;38.2;0;30.2;0;0;0;0.0189;60.8;0;39.2;0;30;0;0;0;56.1;37.8;44.7;43.8;8.8 ;9.27 ;9.43 ;8.61 ;
2018-01-24;14:52:22.082;0.0786;1.51;0.0519;0.952;16.3;53.6;0.695;0.327;0.000611;0.00201;1.54;1.72;2.67e+04;1.76e+04;2.12e+03;3.03;75.7;0.157;3.93;2.78e+03;5.45;57.1;3.2;34.2;0;0;0;0;0;191;36.8;0.314;1.52;0.207;0.952;16.3;53.3;0.695;0.328;0.00061;0.002; 49360;518;1608;0.355;0.281;46;0.000107;0.355;0.000301;0.952;0.0215;0.14;0.847;0.112;0.00237;0.0155;  4480;0;1;0.392;0.477;52;6.03e-05;0.475;0.000127;0.952;0.0132;0.0756;0.825;0.0936;0.00259;0.0148; 15120;0;2;0.398;0.485;53;6.78e-05;0.444;0.000153;0.952;0.0138;0.0763;0.819;0.116;0.00241;0.0133; 28720;0;0;0.4;0.479;52;383;389;389;  1%;  2%;  2%;52.7;53.7;428;  0%;  0%;  2%;52.5;433;54;  0%;  2%;  0%;53.8;53.7;435;  0%;  0%;  2%;21.7;26.5;12.8;38.9;0;0;0;0;0;0.0316;26.2;0.00564;73.7;0;0;0;0;0;0.0133;87.7;0;12.3;0;0;0;0;0;0.016;88;0;12;0;0;0;0;0;57.2;37.1;48.8;48.4;8.85 ;9.4 ;9.74 ;8.77 ;
