System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:43:42.295;0.297;1.96;0.152;1.24;40.7;60.2;0.324;0.848;0.000403;0.000597;3.05;2.56;1.01e+05;5.14e+04;2.12e+03;3.92;98;0.594;14.9;3.86e+03;12.2;42.3;0.0582;45.4;0;0;0;0;0;320;41.5;1.19;1.96;0.604;1.24;40.5;53.6;0.244;0.862;0.000403;0.000533; 52240;898;2418;0.772;0.213;36;0.00165;1.02;0.00162;1.24;0.0812;3.92;0.979;0.0275;0.00058;0.028; 25200;1;0;0.756;0.787;49;0.000327;0.952;0.000343;1.24;0.0215;1.07;0.98;0.0133;0.000776;0.0387; 15760;0;0;0.762;0.776;49;0.000516;0.576;0.000897;1.25;0.0542;1.58;0.966;0.0192;0.00124;0.0361; 38080;0;0;0.765;0.782;50;315;315;319;  1%;  1%;  1%;37.4;38.7;889;  0%;  0%;  4%;37.6;894;39.4;  0%;  4%;  0%;39.4;38.7;896;  0%;  0%;  4%;48.7;48.6;0.202;2.41;0;0;0;0;0;0.131;47.9;0.0045;52;0;0;0;0;0;0.0277;54.3;0.00703;45.7;0;0;0;0;0;0.0717;18.6;0.0192;81.3;0;0;0;0;0;130;64.1;69.2;56.4;10.3 ;10.4 ;10.7 ;10.2 ;
2018-01-24;14:43:43.304;0.315;2.83;0.111;1.24;2.33;12.7;0.817;0.297;2.19e-05;0.000119;0.463;0.658;1.07e+05;3.77e+04;2.12e+03;5.66;142;0.629;15.7;721;8.96;41.7;0.0662;49.3;0;0;0;0;0;287;35.1;1.26;2.84;0.442;1.24;2.16;9.77;0.779;0.349;2.02e-05;9.17e-05; 47520;269;485;0.0809;0.16;35;0.00108;0.789;0.00137;1.24;0.122;2.31;0.947;0.0336;0.00133;0.0252; 25120;0;1;0.125;0.166;49;8.46e-05;0.452;0.000187;1.24;0.0179;0.152;0.882;0.0562;0.0025;0.0211; 15600;0;1;0.127;0.166;49;0.000467;0.629;0.000743;1.25;0.0391;0.505;0.923;0.0823;0.000988;0.0128; 38000;1;1;0.129;0.166;50;144;140;140;  0%;  0%;  0%;12.9;13.6;74.6;  0%;  0%;  0%;13.7;70.2;13.2;  0%;  0%;  0%;13;14.5;72;  0%;  0%;  0%;35.6;39.4;0.253;24.7;0;0;0;0;0;0.111;50.4;0.00211;49.5;0;0;0;0;0;0.0151;58.4;0;41.6;0;0;0;0;0;0.0595;18.6;0.00983;81.3;0;0;0;0;0;97.3;64.2;69.6;56;9.11 ;8.78 ;8.69 ;8.53 ;
2018-01-24;14:43:44.313;0.479;3.07;0.156;1.24;0.665;9.72;0.932;0.927;4.1e-06;5.99e-05;0.106;0.121;1.62e+05;5.28e+04;2.12e+03;6.15;154;0.958;23.9;95.4;12.6;29.8;0.00227;57.6;0;25.1;0;0;0;317;29.7;1.91;3.08;0.621;1.24;0.538;3.45;0.844;0.973;3.32e-06;2.13e-05; 49040;27;55;0.0334;0.0297;30;0.00166;1.01;0.00164;1.15;0.0708;3.92;0.982;0.0281;0.000502;0.0278; 25200;0;1;0.0202;0.0272;49;0.00033;0.822;0.000401;1.27;0.0246;1.05;0.977;0.0143;0.000881;0.0377; 15680;0;1;0.0297;0.0361;49;0.000433;0.614;0.000705;1.13;0.0315;1.29;0.976;0.018;0.000859;0.0352; 38160;0;2;0.0225;0.0277;50;16.5;14.4;15.2;  0%;  0%;  0%;1.23;1.87;14.2;  0%;  0%;  0%;1.25;12.6;1.45;  0%;  0%;  0%;1.2;1.95;13.5;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.143;24;0.00164;75.9;0;47;0;0;0;0.0316;33.4;0;66.6;0;0;0;0;0;0.0622;12;0.00746;88;0;53.5;0;0;0;143;57;64.6;52.5;8.8 ;6.86 ;7.94 ;6.13 ;
2018-01-24;14:43:45.322;0.479;3.08;0.156;1.24;0.919;11.7;0.922;0.927;5.65e-06;7.22e-05;0.252;0.368;1.63e+05;5.29e+04;2.12e+03;6.15;154;0.959;24;312;12.6;31;0.00276;56.4;0;0;0;0;0;327;34.3;1.91;3.09;0.62;1.24;0.768;4.37;0.824;0.971;4.73e-06;2.69e-05; 47840;76;242;0.0432;0.064;30;0.00174;0.942;0.00185;1.25;0.084;4.16;0.98;0.0259;0.000569;0.0282; 25120;0;1;0.0666;0.0994;49;0.000345;0.849;0.000406;1.24;0.0237;1.14;0.979;0.0108;0.000811;0.0391; 15760;0;0;0.0694;0.101;49;0.000642;0.746;0.00086;1.25;0.0424;2.06;0.979;0.0136;0.000779;0.0378; 38160;0;0;0.0725;0.104;50;67.3;65.6;67.1;  0%;  0%;  0%;3.15;4.33;30.2;  0%;  0%;  0%;3.56;29.1;3.34;  0%;  0%;  0%;3.29;4.46;30.3;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.147;30.3;0.00138;69.5;0;0;0;0;0;0.0326;29.9;0;70.1;0;0;0;0;0;0.0688;13.7;0.00965;86.2;0;0;0;0;0;147;60.6;64;55.2;9.11 ;8.52 ;8.48 ;8.16 ;
2018-01-24;14:43:46.331;0.142;0.909;0.156;1.24;0.3;9.48;0.968;0.729;6.23e-06;0.000197;0.102;0.103;4.81e+04;5.29e+04;2.12e+03;1.82;45.5;0.284;7.09;58.7;12.6;35.3;0.00191;52.1;0;0;0;0;0;293;31.5;0.564;0.909;0.621;1.24;0.16;2.65;0.94;0.905;3.34e-06;5.54e-05; 50560;18;38;0.0269;0.0252;37;0.00172;0.998;0.00173;1.24;0.076;4.07;0.981;0.0274;0.00052;0.0278; 25040;0;1;0.0243;0.0255;49;0.000313;0.904;0.000346;1.24;0.0214;1.03;0.979;0.012;0.000808;0.0389; 15680;0;1;0.0243;0.0254;50;0.000557;0.695;0.000801;1.25;0.0425;1.73;0.975;0.015;0.000901;0.0367; 38160;0;2;0.0269;0.0264;50;10.7;8.93;9.76;  0%;  0%;  0%;1.65;2.71;6.72;  0%;  0%;  0%;1.86;4.43;1.75;  0%;  0%;  0%;1.64;2.95;5.55;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.139;34.3;0.0007;65.6;0;0;0;0;0;0.0279;43.3;0;56.7;0;0;0;0;0;0.064;13.8;0.00694;86.2;0;0;0;0;0;110;60.9;66.4;55.2;8.61 ;7.9 ;7.65 ;7.29 ;
2018-01-24;14:43:47.340;0.0711;0.456;0.156;1.24;0.21;8.27;0.975;0.085;8.71e-06;0.000343;0.103;0.103;2.41e+04;5.28e+04;2.12e+03;0.913;22.8;0.142;3.55;56.1;12.6;33.7;0.00114;53.7;0;0;0;0;0;284;30.9;0.282;0.454;0.62;1.24;0.0976;2.11;0.954;0.227;4.08e-06;8.84e-05; 50640;14;34;0.0252;0.0248;37;0.00167;1.05;0.00159;1.24;0.0598;3.93;0.985;0.0281;0.000423;0.0278; 25040;1;0;0.0249;0.0257;49;0.000343;0.916;0.000375;1.24;0.0237;1.12;0.979;0.0132;0.000816;0.0386; 15680;0;2;0.0251;0.0256;50;0.000385;0.597;0.000645;1.25;0.0288;1.12;0.974;0.0184;0.000882;0.0342; 38000;0;0;0.0277;0.0266;51;10.7;9.02;9.54;  0%;  0%;  0%;1.76;2.29;6.42;  0%;  0%;  0%;1.77;3.98;1.85;  0%;  0%;  0%;1.62;2.38;4.83;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.129;36.3;0;63.6;0;0;0;0;0;0.0303;33.2;0;66.8;0;0;0;0;0;0.0516;15.6;0.00456;84.4;0;0;0;0;0;103;61.1;64.1;55.2;8.47 ;7.77 ;7.49 ;7.16 ;
2018-01-24;14:43:48.349;0.0716;0.458;0.156;1.24;0.309;11.2;0.972;0.0648;1.27e-05;0.000461;0.079;0.0743;2.43e+04;5.29e+04;2.12e+03;0.917;22.9;0.143;3.58;61.1;12.6;24.9;0.00135;62.5;0;38.4;0;0;0;271;27.3;0.283;0.456;0.621;1.24;0.117;2.33;0.95;0.202;4.86e-06;9.71e-05; 50560;12;24;0.0276;0.0248;37;0.00194;0.93;0.00208;1.17;0.0939;4.8;0.98;0.025;0.000572;0.0292; 25040;0;3;0.0164;0.0167;49;0.000626;0.748;0.000836;1.2;0.0471;2.07;0.977;0.0135;0.000887;0.039; 15600;1;0;0.0161;0.0159;50;0.000656;0.607;0.00108;1.2;0.0516;2;0.974;0.0173;0.000929;0.0359; 38240;0;2;0.0189;0.0168;50;10.8;8.89;9.07;  0%;  0%;  0%;2.54;3.14;6.74;  0%;  0%;  0%;2.64;4.4;2.46;  0%;  0%;  0%;2.16;3.25;5;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.177;16.1;0.000314;83.7;0;46.9;0;0;0;0.0698;21.6;0;78.4;0;53.1;0;0;0;0.0904;11.9;0.00507;88;0;53.6;0;0;0;103;55.3;59.6;52.4;8.48 ;6.66 ;6.25 ;5.87 ;
2018-01-24;14:43:49.358;0.0722;0.464;0.156;1.24;0.223;8.23;0.973;0.0825;9.12e-06;0.000336;0.101;0.103;2.45e+04;5.28e+04;2.12e+03;0.927;23.2;0.144;3.61;56.8;12.6;33.1;0.00191;54.3;0;0;0;0;0;285;31;0.286;0.462;0.62;1.24;0.105;2.02;0.948;0.228;4.3e-06;8.33e-05; 50080;13;25;0.0256;0.0256;37;0.00165;0.946;0.00174;1.24;0.0673;3.88;0.983;0.0275;0.000482;0.0278; 24960;0;1;0.0241;0.0256;49;0.000338;0.883;0.000383;1.24;0.0212;1.12;0.981;0.0107;0.000741;0.0391; 15680;0;0;0.0247;0.0257;50;0.000406;0.621;0.000654;1.25;0.0303;1.2;0.975;0.0175;0.000882;0.0349; 38160;0;0;0.0271;0.0264;50;11.3;9.32;9.58;  0%;  0%;  0%;1.62;2.34;6.52;  0%;  0%;  0%;1.78;3.76;1.76;  0%;  0%;  0%;1.67;2.58;4.57;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.14;27.7;0.000747;72.2;0;0;0;0;0;0.0309;36.6;0;63.4;0;0;0;0;0;0.0525;18.4;0.00689;81.5;0;0;0;0;0;104;60.1;65.2;55.7;8.5 ;7.78 ;7.5 ;7.24 ;
2018-01-24;14:43:50.367;0.0705;0.452;0.156;1.24;0.211;8.29;0.975;0.0813;8.85e-06;0.000347;0.0992;0.102;2.39e+04;5.28e+04;2.12e+03;0.905;22.6;0.141;3.52;54.6;12.6;34.7;0.00159;52.7;0;0;0;0;0;285;30.8;0.279;0.45;0.62;1.24;0.0946;2.05;0.954;0.223;4e-06;8.65e-05; 49680;17;27;0.0247;0.025;37;0.00166;1.05;0.00159;1.24;0.0595;3.9;0.985;0.0274;0.000422;0.0277; 25120;0;0;0.0237;0.0254;49;0.000363;0.902;0.000403;1.24;0.0252;1.21;0.979;0.011;0.000819;0.0394; 15680;0;0;0.0242;0.0256;50;0.000397;0.614;0.000646;1.24;0.0321;1.13;0.972;0.0196;0.000955;0.0336; 38240;0;0;0.0266;0.0264;51;10.8;9.35;9.49;  0%;  0%;  0%;1.6;2.31;5.66;  0%;  0%;  0%;1.72;3.71;1.67;  0%;  0%;  0%;1.64;2.39;4.3;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.128;31.5;0.00114;68.4;0;0;0;0;0;0.0325;36.4;0;63.5;0;0;0;0;0;0.0519;21;0.00521;78.9;0;0;0;0;0;103;60.4;65.2;56.3;8.44 ;7.7 ;7.41 ;7.3 ;
2018-01-24;14:43:51.376;0.0726;0.466;0.156;1.24;0.238;8.47;0.972;0.0812;9.65e-06;0.000344;0.103;0.107;2.46e+04;5.28e+04;2.12e+03;0.932;23.3;0.145;3.63;61.3;12.6;34.6;0.0022;52.8;0;0;0;0;0;285;30.9;0.288;0.464;0.62;1.24;0.109;2.15;0.949;0.218;4.45e-06;8.82e-05; 50240;16;29;0.0257;0.0261;37;0.00165;1.02;0.00162;1.24;0.071;3.91;0.982;0.0278;0.000507;0.0279; 25040;0;1;0.0247;0.0265;49;0.000364;0.925;0.000394;1.24;0.0259;1.21;0.979;0.0116;0.000838;0.0392; 15680;1;1;0.025;0.0266;50;0.000403;0.62;0.00065;1.25;0.032;1.2;0.973;0.0183;0.000936;0.0351; 38080;1;0;0.0274;0.0276;51;12.3;10.4;10.8;  0%;  0%;  0%;1.78;2.35;6.74;  0%;  0%;  0%;1.97;4.03;1.87;  0%;  0%;  0%;1.76;2.61;4.66;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.131;31.6;0.000225;68.2;0;0;0;0;0;0.0318;40.6;0;59.4;0;0;0;0;0;0.0519;16.2;0.00859;83.8;0;0;0;0;0;103;60.5;65.9;55.3;8.47 ;7.64 ;7.49 ;7.32 ;
