System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:36:30.399;0.276;2.01;0.137;0.571;25.1;60.7;0.587;0.793;0.000266;0.000643;1.96;1.38;9.44e+04;4.69e+04;2.13e+03;4.03;101;0.552;13.8;2.73e+03;24;31.3;0.024;44.7;0;18.7;0;0;0;158;29.7;0.549;2.01;0.273;0.571;12.1;26.3;0.54;0.807;0.000258;0.000561; 49520;308;669;0.536;0.36;48;0.55;2.03;0.271;0.571;12.7;19.3;0.34;0.863;0.000271;0.00041; 52080;229;786;0.501;0.332;49;0.00157;1.01;0.00155;0.571;0.115;4;0.971;0.0239;0.00086;0.0298; 18400;0;3;0.465;0.349;56;0.00324;1.22;0.00266;0.571;0.131;11.1;0.988;0.00986;0.000473;0.04; 32560;0;0;0.455;0.34;54;604;129;134;  3%;  0%;  0%;126;125;581;  0%;  0%;  2%;237;229;46.4;  1%;  1%;  0%;47.3;237;234;  0%;  1%;  1%;47.9;47.2;0.0354;4.96;0;3.63;0;0;0;47.4;48.9;0.0564;3.63;0;0;0;0;0;0.272;27.2;0;72.5;0;0;0;0;0;0.466;1.98;0.00415;97.6;0;71.1;0;0;0;50;48.9;30.6;28;7.83 ;7.5 ;7.66 ;6.72 ;
2018-01-24;14:36:31.417;0.263;2.7;0.0975;0.571;4.05;22.5;0.82;0.453;4.5e-05;0.00025;0.634;0.744;9e+04;3.33e+04;2.14e+03;5.4;135;0.527;13.2;949;17.1;26.5;0.149;56.3;0;2.27;0;0;0;141;28.8;0.517;2.7;0.191;0.571;1.86;9.18;0.797;0.507;4.22e-05;0.000208; 48960;152;260;0.164;0.232;48;0.534;2.73;0.195;0.571;1.96;5.26;0.627;0.633;4.3e-05;0.000115; 51040;96;327;0.134;0.164;49;0.000801;0.819;0.000978;0.571;0.117;1.77;0.934;0.0344;0.00171;0.0258; 18160;1;2;0.154;0.172;55;0.00196;0.899;0.00218;0.571;0.105;6.33;0.983;0.0144;0.000625;0.0379; 32720;4;0;0.182;0.177;54;173;77.7;84.7;  0%;  0%;  0%;83.3;87;207;  0%;  0%;  1%;47.2;45.8;17.8;  0%;  0%;  0%;18.1;52.1;55;  0%;  0%;  0%;33.5;35.8;0.286;30.5;0;9.08;0;0;0;34.2;42.2;0.283;23.3;0;0;0;0;0;0.171;21.8;0;78.1;0;0;0;0;0;0.381;6.13;0.0288;93.5;0;0;0;0;0;41.5;40.9;30;28.5;7.53 ;7.28 ;7.16 ;6.81 ;
2018-01-24;14:36:32.434;0.445;3.06;0.145;0.571;0.621;31.1;0.98;0.797;4.08e-06;0.000205;0.0977;0.0977;1.52e+05;4.97e+04;2.14e+03;6.13;153;0.89;22.2;84.1;25.4;27.2;0.00263;47.4;0;33;0;0;0;165;24.1;0.885;3.05;0.29;0.571;0.225;12.2;0.982;0.834;2.97e-06;0.000161; 49040;9;17;0.0325;0.0307;47;0.889;3.11;0.286;0.571;0.159;2.02;0.921;0.968;2.09e-06;2.66e-05; 50480;5;22;0.0295;0.0287;49;0.00204;0.951;0.00214;0.571;0.118;5.49;0.978;0.0218;0.000678;0.0315; 18480;0;2;0.0174;0.0198;55;0.00338;1.14;0.00297;0.571;0.119;11.4;0.99;0.0103;0.00041;0.0396; 32560;1;0;0.0183;0.0185;54;10.7;8.59;10.9;  0%;  0%;  0%;7.24;6.1;9.89;  0%;  0%;  0%;5.18;6.3;2.78;  0%;  0%;  0%;3.32;4.04;9.01;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.375;7.33;0;92.3;0;60.7;0;0;0;0.519;2.03;0.0105;97.4;0;71.2;0;0;0;55.1;53.7;28.6;27.7;6.59 ;6.14 ;5.98 ;5.37 ;
2018-01-24;14:36:33.451;0.412;2.85;0.145;0.571;1.06;24.3;0.956;0.817;7.54e-06;0.000173;0.25;0.347;1.41e+05;4.94e+04;2.14e+03;5.7;143;0.824;20.6;306;25.3;30.1;0.00256;44.6;0;5.29;0;0;0;164;25.6;0.824;2.86;0.288;0.571;0.322;8.19;0.961;0.868;4.57e-06;0.000116; 53040;33;69;0.0668;0.0885;48;0.82;2.87;0.286;0.571;0.514;2.05;0.75;0.963;7.34e-06;2.93e-05; 56080;49;182;0.0514;0.0714;49;0.00166;1.03;0.00162;0.571;0.113;4.21;0.973;0.0253;0.000798;0.0296; 18400;0;2;0.0655;0.0944;56;0.00314;1.25;0.00251;0.571;0.112;9.85;0.989;0.0131;0.000418;0.0367; 32960;1;6;0.0661;0.0931;54;39.7;21;24.3;  0%;  0%;  0%;46.8;45;53.9;  0%;  0%;  0%;21.2;11.5;4.62;  0%;  0%;  0%;4.86;19.2;14.5;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.283;12.5;0;87.2;0;0;0;0;0;0.44;8.48;0.0102;91.1;0;21.2;0;0;0;54;52.7;29.2;28.5;6.78 ;6.45 ;6.57 ;5.8 ;
2018-01-24;14:36:34.466;0.065;0.45;0.144;0.571;0.539;21.6;0.975;0.0358;2.43e-05;0.000972;0.121;0.116;2.22e+04;4.93e+04;2.13e+03;0.9;22.5;0.13;3.25;88.8;25.3;34.5;0.00468;40.2;0;0;0;0;0;145;24.3;0.128;0.446;0.288;0.571;0.189;6.41;0.97;0.0414;1.72e-05;0.000585; 52880;14;8;0.0358;0.0328;47;0.127;0.444;0.286;0.571;0.145;0.944;0.846;0.247;1.34e-05;8.72e-05; 53040;11;35;0.0295;0.0282;49;0.0016;1.04;0.00154;0.571;0.0978;4.06;0.976;0.0252;0.000716;0.0297; 18800;0;2;0.0265;0.0271;56;0.00299;1.22;0.00244;0.571;0.107;10.2;0.989;0.0106;0.00042;0.0398; 32880;3;3;0.0295;0.0284;54;10.5;6.76;9.29;  0%;  0%;  0%;9.67;8.94;12.5;  0%;  0%;  0%;5.7;5.66;3.44;  0%;  0%;  0%;3.68;4.58;8.09;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.269;21.2;0;78.5;0;0;0;0;0;0.427;17;0.0187;82.5;0;0;0;0;0;43.9;42.7;29.6;28.9;6.47 ;6.08 ;6.1 ;5.63 ;
2018-01-24;14:36:35.482;0.0684;0.473;0.145;0.571;0.511;25.5;0.98;0.031;2.19e-05;0.00109;0.117;0.108;2.33e+04;4.94e+04;2.13e+03;0.945;23.6;0.137;3.42;80.1;25.3;33.5;0.00423;41.1;0;0;0;0;0;145;24.1;0.135;0.468;0.288;0.571;0.172;7.35;0.977;0.0372;1.49e-05;0.000638; 51840;12;11;0.0338;0.0303;48;0.133;0.466;0.286;0.571;0.109;1.27;0.914;0.181;9.57e-06;0.000112; 53120;4;26;0.0288;0.0262;49;0.00206;0.967;0.00213;0.571;0.116;5.49;0.979;0.0226;0.000661;0.0313; 18800;0;6;0.0254;0.0252;55;0.00339;1.16;0.00292;0.571;0.115;11.4;0.99;0.0109;0.000397;0.0396; 33280;1;4;0.0287;0.0265;54;8.22;6.63;8.53;  0%;  0%;  0%;8.63;7.35;9.9;  0%;  0%;  0%;5.28;5.91;3.92;  0%;  0%;  0%;4.02;4.1;7.57;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.373;26.3;0;73.3;0;0;0;0;0;0.511;8.3;0.0169;91.2;0;0;0;0;0;43.9;42.8;30.2;28.5;6.49 ;6.06 ;6.08 ;5.5 ;
2018-01-24;14:36:36.497;0.0665;0.461;0.144;0.571;0.449;21.8;0.979;0.0355;1.98e-05;0.000961;0.0897;0.0845;2.27e+04;4.92e+04;2.13e+03;0.922;23;0.133;3.33;77;25.3;26.5;0.00412;48.2;0;37.5;0;0;0;142;23;0.132;0.457;0.288;0.571;0.165;6.79;0.976;0.042;1.47e-05;0.000605; 50560;14;18;0.0323;0.0301;47;0.13;0.455;0.286;0.571;0.0962;0.784;0.877;0.272;8.68e-06;7.07e-05; 51040;6;21;0.0282;0.0273;49;0.00163;1.05;0.00156;0.571;0.0923;4.12;0.978;0.025;0.000664;0.0296; 18800;0;3;0.0163;0.0162;56;0.00298;1.24;0.00241;0.571;0.0957;10.1;0.991;0.0104;0.000376;0.0398; 32960;2;0;0.0129;0.0109;54;9.29;7.54;9.64;  0%;  0%;  0%;7.11;6.18;9.38;  0%;  0%;  0%;4.54;5.84;3.18;  0%;  0%;  0%;3.27;3.49;7.58;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.272;5.74;0;94;0;55.4;0;0;0;0.422;0.78;0.0165;98.8;0;94.4;0;0;0;43.9;42.8;28.3;27.4;6.46 ;6.09 ;5.69 ;4.74 ;
2018-01-24;14:36:37.558;0.0642;0.456;0.141;0.571;0.481;24.6;0.98;0.0336;2.12e-05;0.00108;0.111;0.103;2.27e+04;4.98e+04;2.13e+03;0.912;22.8;0.128;3.21;82;24.6;29.5;0.0033;45.9;0;15.3;0;0;0;150;24.7;0.128;0.453;0.283;0.571;0.167;9.3;0.982;0.0352;1.5e-05;0.000832; 51120;11;8;0.0351;0.0319;48;0.126;0.449;0.282;0.571;0.111;0.837;0.868;0.267;9.98e-06;7.53e-05; 48800;8;21;0.029;0.0278;49;0.00157;1.03;0.00153;0.571;0.106;4.14;0.975;0.0254;0.000753;0.0296; 18880;0;2;0.027;0.0266;55;0.00291;1.24;0.00234;0.571;0.0976;10.3;0.991;0.0101;0.000377;0.0399; 33200;5;0;0.0195;0.0171;54;9.17;6.93;8.68;  0%;  0%;  0%;8.61;7.66;10.7;  0%;  0%;  0%;5.34;5.88;3.53;  0%;  0%;  0%;3.9;4.15;7.49;  0%;  0%;  0%;49.5;50.5;0;0;0;0;0;0;0;49.3;50.7;0;0;0;0;0;0;0;0.268;14.9;0;84.8;0;0;0;0;0;0.41;2.49;0.0131;97.1;0;60.8;0;0;0;45.9;44.6;30.1;29;6.75 ;6.34 ;6.3 ;5.26 ;
2018-01-24;14:36:38.573;0.0675;0.455;0.148;0.571;0.474;24.7;0.981;0.0338;2.04e-05;0.00106;0.116;0.11;2.32e+04;5.1e+04;2.23e+03;0.91;22.8;0.135;3.37;78.8;25.9;30;0.00343;44;0;0;0;0;0;144;24.1;0.133;0.452;0.294;0.571;0.166;9.31;0.982;0.0361;1.43e-05;0.000803; 50880;10;14;0.0328;0.0303;48;0.13;0.448;0.29;0.571;0.11;0.837;0.869;0.265;9.76e-06;7.44e-05; 46640;8;20;0.0284;0.0273;49;0.00164;1.04;0.00158;0.571;0.102;4.15;0.975;0.0252;0.000731;0.0296; 19040;0;1;0.0259;0.0256;55;0.00305;1.26;0.00242;0.571;0.0968;10.4;0.991;0.0101;0.000373;0.0399; 32960;3;0;0.029;0.027;54;8.96;7.08;8.92;  0%;  0%;  0%;8.13;7.09;9.95;  0%;  0%;  0%;5.23;5.79;3.22;  0%;  0%;  0%;3.32;3.72;7.43;  0%;  0%;  0%;51.5;48.5;0;0;0;0;0;0;0;50.7;49.3;0;0;0;0;0;0;0;0.277;13.9;0;85.8;0;0;0;0;0;0.424;7.76;0.0138;91.8;0;0;0;0;0;43.9;42.7;29;28.5;6.46 ;6.06 ;6.04 ;5.54 ;
2018-01-24;14:36:39.588;0.066;0.457;0.145;0.571;0.478;24.4;0.98;0.0336;2.12e-05;0.00108;0.116;0.11;2.25e+04;4.93e+04;2.13e+03;0.914;22.8;0.132;3.3;80;25.3;32.3;0.00285;42.4;0;0.0461;0;0;0;144;24.1;0.131;0.454;0.289;0.571;0.161;9.42;0.983;0.0353;1.44e-05;0.000842; 50640;11;9;0.0324;0.0299;48;0.128;0.45;0.286;0.571;0.115;0.84;0.863;0.256;1.05e-05;7.67e-05; 47680;8;24;0.0291;0.0279;50;0.0016;1.01;0.00158;0.571;0.104;4.03;0.974;0.0259;0.00076;0.0295; 18720;1;3;0.0257;0.0255;56;0.00297;1.25;0.00237;0.571;0.0977;10.1;0.99;0.0105;0.000386;0.0398; 33120;1;5;0.0291;0.0268;54;9.02;6.76;8.99;  0%;  0%;  0%;8.66;7.19;10.1;  0%;  0%;  0%;5.59;5.38;3.31;  0%;  0%;  0%;3.6;3.85;7.5;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.276;15.7;0;84;0;0.184;0;0;0;0.414;13.9;0.0114;85.7;0;0;0;0;0;43.9;42.7;29.1;28.8;6.48 ;6.06 ;6.02 ;5.55 ;
