System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:37:43.929;0.279;1.93;0.145;0.571;13;45.5;0.715;0.805;0.000136;0.000477;1.12;1.28;9.55e+04;4.95e+04;2.14e+03;3.86;96.5;0.559;14;1.68e+03;25.3;29.3;0.00104;45.4;0;11.5;0;0;0;158;33.6;0.556;1.93;0.289;0.571;5.95;19.6;0.696;0.83;0.000125;0.000412; 52160;133;324;0.278;0.282;48;0.556;1.95;0.286;0.571;6.78;11.1;0.388;0.892;0.000143;0.000233; 49360;136;456;0.282;0.279;49;0.0016;1.01;0.00159;0.571;0.103;4.06;0.975;0.0245;0.000756;0.0298; 19360;0;0;0.277;0.357;55;0.00343;1.21;0.00283;0.571;0.129;10.8;0.988;0.013;0.00044;0.0369; 37600;0;1;0.284;0.365;54;276;109;116;  1%;  0%;  0%;125;126;272;  0%;  0%;  1%;164;143;17.4;  0%;  0%;  0%;18;165;151;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.277;13.1;0;86.7;0;21.7;0;0;0;0.495;4.59;0.00418;94.9;0;24.2;0;0;0;50.7;49.4;29.1;28.4;8.46 ;8.59 ;8.55 ;7.98 ;
2018-01-24;14:37:44.987;0.235;2.53;0.0928;0.571;13.2;40.3;0.672;0.624;0.00016;0.000487;1.23;1.06;8.28e+04;3.27e+04;2.14e+03;5.06;126;0.469;11.7;1.74e+03;16.2;22.7;0.0831;61;0;18.8;0;0;0;146;31.8;0.459;2.51;0.183;0.571;6.53;20.5;0.681;0.626;0.000163;0.000511; 52480;191;484;0.334;0.271;47;0.484;2.57;0.188;0.571;6.45;10.6;0.39;0.755;0.000152;0.000249; 57760;173;518;0.303;0.252;49;0.00115;0.886;0.0013;0.571;0.148;3.21;0.954;0.021;0.00144;0.0313; 18720;0;1;0.305;0.273;56;0.00172;1.06;0.00162;0.571;0.0928;6.07;0.985;0.0123;0.000608;0.0398; 37840;0;0;0.291;0.269;54;340;109;107;  1%;  0%;  0%;106;106;348;  0%;  0%;  1%;140;146;28.8;  0%;  0%;  0%;29.9;136;144;  0%;  0%;  0%;32;35;0.14;32.9;0;7.33;0;0;0;32.9;37.4;0.169;29.5;0;0;0;0;0;0.228;15.6;0;84.2;0;19.8;0;0;0;0.283;3.14;0.0259;96.6;0;47.6;0;0;0;43.4;42.5;30.6;29.2;8.23 ;8.23 ;7.97 ;7.32 ;
2018-01-24;14:37:46.035;0.42;2.91;0.145;0.571;2.49;18;0.862;0.869;1.68e-05;0.000122;0.565;0.56;1.48e+05;5.1e+04;2.22e+03;5.82;145;0.841;21;835;25.3;30.2;0.045;44.4;0;23;0;0;0;165;29.1;0.837;2.92;0.286;0.571;1.12;3.41;0.672;0.949;1.51e-05;4.61e-05; 44720;111;185;0.195;0.203;48;0.837;2.92;0.286;0.571;1.15;3.61;0.683;0.94;1.55e-05;4.89e-05; 52000;71;228;0.124;0.125;49;0.00159;0.981;0.00162;0.571;0.142;4.13;0.966;0.0251;0.00102;0.0296; 18960;0;1;0.128;0.123;55;0.00216;0.771;0.0028;0.571;0.0843;6.89;0.988;0.0163;0.000443;0.0362; 38160;2;2;0.118;0.11;54;131;66;66.2;  0%;  0%;  0%;65.3;62.9;190;  0%;  0%;  0%;36;71.9;20.3;  0%;  0%;  0%;20.7;33.7;71.9;  0%;  0%;  0%;50.1;49.7;0.0143;0.207;0;0;0;0;0;50.1;49.7;0.0774;0.143;0;0;0;0;0;0.283;20.1;0;79.7;0;0;0;0;0;0.491;1.43;0.0885;98;0;92.2;0;0;0;53.6;52.2;30.7;28.5;7.72 ;7.44 ;7.59 ;6.31 ;
2018-01-24;14:37:47.051;0.406;2.77;0.147;0.571;1.02;16.6;0.938;0.881;7.33e-06;0.000119;0.26;0.372;1.4e+05;5.04e+04;2.2e+03;5.55;139;0.813;20.3;318;25.6;30.8;0.00552;43.6;0;3.77;0;0;0;164;25.4;0.809;2.78;0.291;0.571;0.501;5.61;0.911;0.917;7.15e-06;8.01e-05; 47440;53;114;0.0614;0.0844;48;0.804;2.79;0.288;0.571;0.376;1.6;0.766;0.974;5.42e-06;2.31e-05; 51920;30;119;0.0623;0.088;48;0.00165;1.01;0.00163;0.571;0.0996;4.17;0.976;0.0246;0.000708;0.0297; 19120;1;0;0.067;0.0981;55;0.00158;1.07;0.00147;0.571;0.0476;5.23;0.991;0.0111;0.000354;0.0388; 38240;0;1;0.0687;0.101;54;55.1;39.2;40.4;  0%;  0%;  0%;31;29.8;50.4;  0%;  0%;  0%;15;18.9;3.6;  0%;  0%;  0%;3.64;12.4;18;  0%;  0%;  0%;50.9;49.1;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.285;19.3;0.00125;80.5;0;0;0;0;0;0.258;4.74;0.021;95;0;15.2;0;0;0;53.6;52.3;29.6;28.2;6.7 ;6.39 ;6.53 ;5.81 ;
2018-01-24;14:37:48.067;0.0665;0.462;0.144;0.571;0.465;13.1;0.965;0.0524;2.05e-05;0.000578;0.109;0.11;2.27e+04;4.91e+04;2.13e+03;0.925;23.1;0.133;3.33;83.1;25.2;29;0.00552;45.8;0;12.1;0;0;0;144;23.8;0.132;0.46;0.286;0.571;0.172;2.64;0.935;0.109;1.53e-05;0.000235; 49120;9;18;0.0327;0.0319;48;0.131;0.459;0.286;0.571;0.144;0.871;0.834;0.21;1.29e-05;7.79e-05; 52400;8;30;0.0297;0.0299;49;0.00168;1.01;0.00166;0.571;0.0992;4.28;0.977;0.0245;0.000692;0.0299; 19120;0;2;0.0223;0.024;55;0.00162;1.06;0.00152;0.571;0.0498;5.34;0.991;0.0118;0.000361;0.0386; 38240;0;4;0.0243;0.0241;54;11.2;8.46;7.35;  0%;  0%;  0%;9.65;7.22;12.2;  0%;  0%;  0%;6.49;6.36;2.86;  0%;  0%;  0%;2.81;3.67;4.83;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.29;11.8;0;87.9;0;21.8;0;0;0;0.267;4.21;0.0221;95.5;0;26.7;0;0;0;44;42.8;28.8;28.1;6.46 ;6.02 ;5.91 ;5.38 ;
2018-01-24;14:37:49.067;0.065;0.453;0.143;0.571;0.355;7.59;0.953;0.0803;1.63e-05;0.000347;0.108;0.111;2.18e+04;4.82e+04;2.1e+03;0.907;22.7;0.13;3.25;74.7;25.1;30.6;0.0106;44.3;0;5.34;0;0;0;142;23.5;0.129;0.451;0.286;0.571;0.128;0.823;0.845;0.265;1.18e-05;7.59e-05; 51120;10;12;0.0305;0.0309;48;0.129;0.451;0.286;0.571;0.103;0.815;0.873;0.221;9.54e-06;7.54e-05; 51520;2;32;0.0274;0.0287;49;0.00168;1.05;0.00159;0.571;0.0945;4.19;0.977;0.0248;0.000671;0.0298; 19120;0;1;0.024;0.0254;56;0.000587;0.71;0.000827;0.571;0.0302;1.76;0.983;0.0151;0.000613;0.0357; 38240;0;2;0.0261;0.026;54;9.89;8.65;6.17;  0%;  0%;  0%;8.45;6.73;10.9;  0%;  0%;  0%;5.51;6.47;2.73;  0%;  0%;  0%;2.62;3.12;3.51;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.278;17.6;0;82.1;0;9.15;0;0;0;0.145;4.86;0.0423;95;0;12.2;0;0;0;43.2;42.1;28.9;27.6;6.33 ;5.9 ;5.89 ;5.43 ;
2018-01-24;14:37:50.086;0.0642;0.448;0.143;0.571;0.371;7.86;0.953;0.0768;1.69e-05;0.000358;0.113;0.113;2.2e+04;4.9e+04;2.13e+03;0.896;22.4;0.128;3.21;72.6;25.1;32.8;0.00948;42.1;0;0;0;0;0;145;24.1;0.127;0.446;0.285;0.571;0.126;0.827;0.848;0.264;1.16e-05;7.6e-05; 51680;9;21;0.0302;0.0298;47;0.127;0.446;0.285;0.571;0.116;1.12;0.896;0.165;1.07e-05;0.000103; 50880;4;27;0.0287;0.0294;49;0.00166;1.06;0.00157;0.571;0.102;4.2;0.976;0.0249;0.000715;0.0295; 19440;0;2;0.0254;0.0261;55;0.000563;0.708;0.000795;0.571;0.0271;1.72;0.984;0.0154;0.000563;0.0356; 37920;1;0;0.0283;0.0275;54;10.3;8.59;6.53;  0%;  0%;  0%;7.87;5.5;9.76;  0%;  0%;  0%;5.92;6.35;2.63;  0%;  0%;  0%;2.61;2.88;3.65;  0%;  0%;  0%;49.9;50.1;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.274;25.7;0;74.1;0;0;0;0;0;0.139;5.53;0.0379;94.3;0;0;0;0;0;44;42.8;30.3;28.3;6.46 ;6.08 ;6.02 ;5.56 ;
2018-01-24;14:37:51.101;0.0661;0.46;0.144;0.571;0.346;7.53;0.954;0.083;1.53e-05;0.000334;0.113;0.116;2.26e+04;4.91e+04;2.14e+03;0.92;23;0.132;3.3;73.9;25.1;31.5;0.602;42.7;0;0;0;0;0;145;23.9;0.131;0.458;0.286;0.571;0.127;0.838;0.848;0.272;1.14e-05;7.48e-05; 54160;11;22;0.03;0.0302;48;0.131;0.458;0.286;0.571;0.105;0.878;0.88;0.211;9.44e-06;7.86e-05; 50960;5;18;0.0285;0.0302;49;0.00162;1.07;0.00152;0.571;0.084;4.06;0.979;0.0256;0.000609;0.0295; 19520;0;0;0.026;0.0271;56;0.000578;0.725;0.000798;0.571;0.0291;1.75;0.983;0.0155;0.000589;0.0356; 38240;0;1;0.0285;0.0283;54;11.2;9.41;7.34;  0%;  0%;  0%;7.18;5.37;10.2;  0%;  0%;  0%;5.21;6.5;2.55;  0%;  0%;  0%;2.4;2.76;3.82;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.265;20.7;0;79;0;0;0;0;0;0.14;5.53;2.41;91.9;0;0;0;0;0;43.9;42.7;29.7;28.4;6.36 ;6.05 ;5.99 ;5.53 ;
2018-01-24;14:37:52.117;0.0669;0.466;0.143;0.571;0.347;7.63;0.955;0.082;1.52e-05;0.000335;0.103;0.105;2.28e+04;4.89e+04;2.13e+03;0.932;23.3;0.134;3.34;72;25.1;29;0.0383;45.9;0;12.1;0;0;0;143;23.7;0.133;0.464;0.286;0.571;0.127;0.891;0.857;0.262;1.12e-05;7.87e-05; 53040;12;27;0.0291;0.029;48;0.132;0.464;0.286;0.571;0.105;0.801;0.869;0.222;9.27e-06;7.09e-05; 52240;6;17;0.0287;0.0301;49;0.00162;1.05;0.00154;0.571;0.0853;4.06;0.979;0.0257;0.000616;0.0293; 19600;0;2;0.0218;0.0229;55;0.000616;0.72;0.000855;0.571;0.0292;1.88;0.984;0.0158;0.000557;0.0358; 38480;1;0;0.0236;0.0233;54;11.1;9.43;7.45;  0%;  0%;  0%;6.7;4.87;9.33;  0%;  0%;  0%;5.25;6.26;2.64;  0%;  0%;  0%;2.51;2.6;3.91;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.27;11.7;0;88;0;21.8;0;0;0;0.15;4.14;0.153;95.6;0;26.8;0;0;0;43.9;42.8;28.6;28;6.45 ;6.02 ;5.81 ;5.39 ;
2018-01-24;14:37:53.132;0.0663;0.459;0.144;0.571;0.411;19.7;0.979;0.0426;1.82e-05;0.000873;0.114;0.114;2.26e+04;4.92e+04;2.13e+03;0.918;23;0.133;3.31;80.3;25.3;30.4;0.00724;44.4;0;2.98;0;0;0;144;24;0.132;0.458;0.289;0.571;0.142;9.38;0.985;0.046;1.26e-05;0.000833; 51920;8;21;0.0304;0.0302;48;0.129;0.453;0.286;0.571;0.115;0.843;0.863;0.218;1.04e-05;7.63e-05; 49520;2;27;0.0293;0.0298;49;0.00163;1.04;0.00157;0.571;0.101;4.11;0.975;0.0248;0.000725;0.0296; 19680;0;1;0.0256;0.0267;55;0.00187;1.15;0.00163;0.571;0.0526;5.4;0.99;0.0158;0.000329;0.0339; 38480;0;1;0.0285;0.0273;54;10.5;8.78;7.81;  0%;  0%;  0%;8.61;6.94;10.8;  0%;  0%;  0%;5.99;5.98;3.08;  0%;  0%;  0%;3.26;3.68;4.89;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.275;16.7;0;83;0;4.88;0;0;0;0.285;5.21;0.0289;94.5;0;7.05;0;0;0;44;42.7;29.1;28.1;6.48 ;6.04 ;5.98 ;5.53 ;
