System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:39:55.899;0.274;2;0.137;0.571;1.68;24.9;0.932;0.933;1.63e-05;0.000241;0.211;0.205;1.03e+05;5.16e+04;2.14e+03;4;99.9;0.548;13.7;240;24;28.2;0.00404;47.8;0;24.4;0;0;0;176;28.6;0.546;2;0.273;0.571;0.69;9;0.923;0.948;1.39e-05;0.000181; 55280;26;84;0.0604;0.0561;47;0.563;2.01;0.28;0.571;0.727;2.36;0.692;0.987;1.37e-05;4.45e-05; 51920;52;81;0.0687;0.0574;48;0.0014;0.947;0.00148;0.571;0.14;3.75;0.963;0.0282;0.00105;0.0281; 19920;0;6;0.047;0.0511;55;0.00256;1.15;0.00224;0.571;0.124;9.77;0.987;0.0112;0.000505;0.0399; 28880;0;3;0.0348;0.0407;54;48.8;18.1;19.5;  0%;  0%;  0%;21;18.8;48.8;  0%;  0%;  0%;15.4;12.1;5.66;  0%;  0%;  0%;6.62;11.9;13.4;  0%;  0%;  0%;47.8;52;0.00534;0.153;0;0;0;0;0;49;50.8;0.000819;0.206;0;0;0;0;0;0.258;9.65;0;90.1;0;21.4;0;0;0;0.391;1.69;0.01;97.9;0;74.7;0;0;0;57.1;55.5;32.1;30.9;7.73 ;7.4 ;7.21 ;6.31 ;
2018-01-24;14:39:56.919;0.267;2.05;0.13;0.571;11.4;35.9;0.683;0.894;0.000122;0.000386;1;0.894;9.31e+04;4.54e+04;2.39e+03;4.1;102;0.534;13.3;1.4e+03;22.8;24.6;0.0251;52.6;0;25.1;0;0;0;152;28.9;0.532;2.04;0.26;0.571;5.4;13.2;0.591;0.925;0.000113;0.000275; 51760;182;388;0.285;0.233;47;0.513;2.07;0.248;0.571;5.79;8.76;0.339;0.941;0.000129;0.000196; 51040;148;466;0.242;0.203;49;0.00142;1.02;0.0014;0.571;0.0965;3.68;0.974;0.0229;0.000793;0.0302; 19440;1;4;0.245;0.232;55;0.00299;1.19;0.00251;0.571;0.111;10.3;0.989;0.0108;0.000435;0.0401; 28880;0;2;0.231;0.225;54;272;81.7;83.3;  1%;  0%;  0%;85.1;82.9;259;  0%;  0%;  1%;126;121;21.3;  0%;  0%;  0%;21.8;122;121;  0%;  0%;  0%;45.6;40.6;0.0527;13.7;0;4.97;0;0;0;43.4;42.9;0.0276;13.7;0;0;0;0;0;0.244;11.7;0;88;0;25.6;0;0;0;0.438;1.96;0.0185;97.6;0;71.2;0;0;0;48.2;46.6;29.3;28.1;7.56 ;7.5 ;7.48 ;6.4 ;
2018-01-24;14:39:57.936;0.347;2.82;0.123;0.571;3.53;25.7;0.863;0.707;2.98e-05;0.000217;0.591;0.704;1.18e+05;4.2e+04;2.14e+03;5.64;141;0.693;17.3;866;21.5;27.9;0.12;50.5;0;2.1;0;0;0;150;27.8;0.687;2.81;0.245;0.571;1.68;14;0.88;0.696;2.85e-05;0.000239; 50960;135;255;0.186;0.233;47;0.696;2.86;0.244;0.571;1.61;4.02;0.599;0.881;2.71e-05;6.75e-05; 52160;94;311;0.128;0.16;49;0.000997;0.806;0.00124;0.571;0.151;2.19;0.931;0.0349;0.00177;0.0257; 19680;0;2;0.139;0.155;55;0.00165;1.02;0.00163;0.571;0.0891;5.47;0.984;0.0125;0.00063;0.0387; 28480;1;3;0.137;0.155;54;170;76.6;73.6;  0%;  0%;  0%;75.9;75.2;201;  0%;  0%;  1%;39.6;42.3;16.2;  0%;  0%;  0%;17.2;37.7;41.7;  0%;  0%;  0%;42.8;43;0.204;14;0;1.32;0;0;0;42.6;44.2;0.249;13;0;7.1;0;0;0;0.217;18.8;0;81;0;0;0;0;0;0.285;5.71;0.0264;94;0;0;0;0;0;47.1;45.7;29.4;28.3;7.28 ;7.1 ;7.14 ;6.31 ;
2018-01-24;14:39:58.975;0.436;3.08;0.142;0.571;0.864;11.3;0.924;0.924;5.7e-06;7.45e-05;0.252;0.368;1.52e+05;4.93e+04;2.14e+03;6.16;154;0.873;21.8;296;24.8;29.7;0.0104;45.4;0;0;0;0;0;169;26;0.874;3.08;0.284;0.571;0.369;3.85;0.904;0.946;4.88e-06;5.1e-05; 52560;44;99;0.0596;0.0855;47;0.877;3.09;0.283;0.571;0.382;1.62;0.764;0.978;5.03e-06;2.13e-05; 50640;44;137;0.0567;0.083;48;0.00158;1.06;0.00149;0.571;0.0811;4.06;0.98;0.0249;0.000589;0.0295; 19760;0;1;0.0666;0.0985;55;0.000569;0.702;0.000811;0.571;0.0324;1.77;0.982;0.0163;0.000652;0.0356; 28560;0;2;0.0693;0.101;54;48.8;32.3;30.9;  0%;  0%;  0%;34.8;34.2;51.5;  0%;  0%;  0%;15.5;15;3.19;  0%;  0%;  0%;3.14;13.7;13.5;  0%;  0%;  0%;49.7;50.3;0;0;0;0;0;0;0;49.6;50.4;0;0;0;0;0;0;0;0.261;13;0;86.7;0;0;0;0;0;0.142;5.54;0.0412;94.3;0;0;0;0;0;56.3;54.7;29.6;28.6;6.86 ;6.58 ;6.58 ;6.02 ;
2018-01-24;14:39:59.991;0.198;1.36;0.146;0.571;0.557;14.1;0.961;0.77;8.2e-06;0.000208;0.114;0.115;6.79e+04;5e+04;2.18e+03;2.72;67.9;0.396;9.9;93.2;25.5;28.5;0.333;45.7;0;13;0;0;0;150;24.1;0.395;1.36;0.29;0.571;0.218;6.53;0.967;0.778;6.4e-06;0.000191; 50720;19;18;0.0338;0.032;47;0.391;1.36;0.288;0.571;0.191;1.28;0.85;0.95;5.68e-06;3.79e-05; 51680;10;21;0.031;0.0311;49;0.00158;1.03;0.00153;0.571;0.0891;3.97;0.978;0.025;0.000661;0.0294; 19920;0;1;0.0233;0.0254;55;0.000762;0.737;0.00103;0.571;0.0583;2.35;0.975;0.0173;0.000896;0.0361; 28400;0;2;0.0259;0.0264;54;14.2;9.66;8.75;  0%;  0%;  0%;8.52;7.96;14;  0%;  0%;  0%;5.62;6.96;3.35;  0%;  0%;  0%;3.46;4.77;6.01;  0%;  0%;  0%;50.8;49.2;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;0.269;9.83;0;89.9;0;25.7;0;0;0;0.181;4.91;1.34;93.6;0;26.7;0;0;0;47.6;46.1;28.6;28.1;6.55 ;6.09 ;5.89 ;5.52 ;
2018-01-24;14:40:01.007;0.0682;0.474;0.144;0.571;0.364;15.1;0.976;0.053;1.56e-05;0.000647;0.109;0.112;2.33e+04;4.92e+04;2.13e+03;0.947;23.7;0.136;3.41;80.2;25.2;28.4;0.004;46.4;0;10.1;0;0;0;143;23.7;0.136;0.473;0.288;0.571;0.128;7.52;0.983;0.0518;1.1e-05;0.000647; 49840;13;15;0.0306;0.0315;47;0.134;0.47;0.286;0.571;0.11;0.961;0.885;0.235;9.61e-06;8.39e-05; 49040;12;22;0.0279;0.0295;49;0.00159;1.04;0.00153;0.571;0.0821;4.04;0.98;0.0241;0.000605;0.0297; 20000;0;1;0.024;0.0254;55;0.000807;0.827;0.000976;0.571;0.0436;2.55;0.983;0.0143;0.000633;0.037; 28640;0;1;0.0265;0.0259;54;11;8.09;7.05;  0%;  0%;  0%;9.01;8.14;12.1;  0%;  0%;  0%;4.92;5.54;2.98;  0%;  0%;  0%;3.12;3.81;4.41;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.267;9.65;0;90.1;0;19.6;0;0;0;0.171;4.45;0.016;95.4;0;20.7;0;0;0;44.2;42.7;28.7;27.9;6.49 ;5.99 ;5.88 ;5.36 ;
2018-01-24;14:40:02.023;0.0674;0.468;0.144;0.571;0.384;17.9;0.979;0.046;1.67e-05;0.000779;0.117;0.12;2.3e+04;4.92e+04;2.13e+03;0.936;23.4;0.135;3.37;82;25.2;29.4;0.00326;45.4;0;0;0;0;0;144;24;0.134;0.466;0.288;0.571;0.139;7.5;0.982;0.0526;1.21e-05;0.000654; 51920;12;31;0.03;0.0303;48;0.132;0.463;0.286;0.571;0.1;0.834;0.88;0.254;8.88e-06;7.39e-05; 46400;5;19;0.0297;0.0308;49;0.00159;1.04;0.00153;0.571;0.0843;4.04;0.979;0.0242;0.00062;0.0297; 19840;0;1;0.0273;0.029;55;0.00167;1.09;0.00153;0.571;0.0613;5.57;0.989;0.0115;0.000429;0.039; 28320;0;2;0.0305;0.0298;54;12.2;9.91;9.73;  0%;  0%;  0%;6.95;6.35;10.4;  0%;  0%;  0%;4.29;5.98;3.29;  0%;  0%;  0%;3.54;3.47;5.89;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.267;12.2;0;87.5;0;0;0;0;0;0.268;5.6;0.0131;94.1;0;0;0;0;0;44.2;42.7;28.9;28.1;6.52 ;5.97 ;5.99 ;5.56 ;
2018-01-24;14:40:03.039;0.068;0.471;0.144;0.571;0.41;19.6;0.979;0.045;1.77e-05;0.000844;0.119;0.121;2.32e+04;4.93e+04;2.13e+03;0.942;23.6;0.136;3.4;84.4;25.3;29;0.00522;45.8;0;0;0;0;0;144;24;0.135;0.469;0.288;0.571;0.141;9.11;0.985;0.046;1.22e-05;0.000789; 52960;15;18;0.0309;0.0314;47;0.133;0.466;0.286;0.571;0.113;0.859;0.869;0.253;9.94e-06;7.56e-05; 46800;11;29;0.0296;0.0303;49;0.00161;1.04;0.00155;0.571;0.0911;4.08;0.978;0.0243;0.000664;0.0297; 20000;0;4;0.0275;0.0291;55;0.00191;1.15;0.00165;0.571;0.0646;5.54;0.988;0.0161;0.000397;0.0341; 28480;0;2;0.0309;0.0298;54;11.5;8.59;8.47;  0%;  0%;  0%;8.75;7.95;11.8;  0%;  0%;  0%;5.17;5.61;3.32;  0%;  0%;  0%;3.66;4.09;5.52;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.272;10.7;0;89;0;0;0;0;0;0.289;5.65;0.0209;94;0;0;0;0;0;44.1;42.7;28.7;28;6.48 ;5.93 ;6.02 ;5.55 ;
2018-01-24;14:40:04.054;0.0664;0.46;0.144;0.571;0.423;23;0.982;0.038;1.87e-05;0.00102;0.107;0.109;2.26e+04;4.93e+04;2.13e+03;0.919;23;0.133;3.32;85.6;25.3;27.6;0.0026;47.1;0;18;0;0;0;143;23.3;0.132;0.457;0.288;0.571;0.151;8.89;0.983;0.0459;1.34e-05;0.000792; 53200;15;26;0.0313;0.0316;47;0.129;0.453;0.286;0.571;0.109;0.854;0.872;0.25;9.91e-06;7.73e-05; 48560;9;20;0.03;0.0306;49;0.00156;1.01;0.00154;0.571;0.0872;3.95;0.978;0.0247;0.000655;0.0296; 20080;0;1;0.0231;0.0246;55;0.00274;1.21;0.00226;0.571;0.0761;9.29;0.992;0.01;0.000325;0.0397; 28320;0;1;0.0231;0.0223;54;12;8.93;9.75;  0%;  0%;  0%;8.09;7.53;11.6;  0%;  0%;  0%;4.75;5.62;3.44;  0%;  0%;  0%;3.69;3.88;6.37;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.27;7.6;0;92.1;0;25.7;0;0;0;0.395;3.31;0.0104;96.3;0;46.3;0;0;0;44.1;42.6;28.6;27.8;6.52 ;5.91 ;5.71 ;5.16 ;
2018-01-24;14:40:05.070;0.0672;0.468;0.144;0.571;0.319;10.6;0.97;0.0647;1.39e-05;0.00046;0.105;0.109;2.29e+04;4.9e+04;2.13e+03;0.936;23.4;0.134;3.36;70.6;25.1;28.4;0.0113;46.5;0;7.21;0;0;0;143;23.7;0.134;0.467;0.287;0.571;0.12;3.92;0.969;0.0773;1.05e-05;0.000343; 53440;12;17;0.029;0.0296;48;0.133;0.465;0.285;0.571;0.0932;0.754;0.876;0.264;8.22e-06;6.65e-05; 50240;7;20;0.0271;0.0289;49;0.0016;1.06;0.00151;0.571;0.0717;4.03;0.982;0.0246;0.000526;0.0296; 20320;0;1;0.0232;0.0248;55;0.000609;0.695;0.000876;0.571;0.034;1.85;0.982;0.0158;0.000654;0.0357; 28560;0;4;0.0259;0.0258;54;10.3;7.88;6.56;  0%;  0%;  0%;7.32;6.3;10.4;  0%;  0%;  0%;4.32;5.2;2.85;  0%;  0%;  0%;2.69;3.06;3.78;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.264;8.9;0;90.8;0;14.1;0;0;0;0.153;4.8;0.0451;95;0;14.8;0;0;0;44.1;42.7;28.7;28;6.48 ;5.95 ;5.89 ;5.34 ;
