System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:30:52.170;0.436;2.8;0.156;0.619;29.8;69.2;0.569;0.662;0.0002;0.000465;1.99;1.78;1.49e+05;5.32e+04;2.13e+03;5.6;140;0.873;21.8;3.38e+03;25.2;29.9;0.0016;44.9;0;19.4;0;0;0;173;32.6;0.878;2.82;0.311;0.619;12.9;30.8;0.582;0.685;0.000172;0.000411; 49600;376;923;0.503;0.414;47;0.864;2.8;0.308;0.619;16.6;26.1;0.362;0.723;0.000226;0.000354; 47680;397;1242;0.495;0.392;48;0.00227;0.951;0.00239;0.614;0.176;6.36;0.972;0.0193;0.00091;0.0328; 20800;0;3;0.494;0.485;55;0.00178;0.993;0.0018;0.615;0.13;5.99;0.978;0.0116;0.000851;0.0394; 18880;0;5;0.496;0.488;54;512;225;227;  2%;  1%;  1%;252;252;476;  1%;  1%;  2%;353;289;73;  1%;  1%;  0%;74.9;351;291;  0%;  1%;  1%;50.3;49.1;0;0.616;0;0;0;0;0;49.8;49.8;0;0.4;0;0;0;0;0;0.389;7.74;0.00165;91.9;0;37.2;0;0;0;0.292;12.9;0.00473;86.8;0;40.3;0;0;0;58;56.2;29.3;29.4;8.4 ;8.18 ;8.47 ;7.52 ;
2018-01-24;14:30:53.230;0.143;1.81;0.0789;0.619;17.1;41.6;0.59;0.549;0.000338;0.000824;1.49;0.897;5.04e+04;2.78e+04;2.13e+03;3.62;90.5;0.286;7.14;2.14e+03;12.7;24.2;0.137;62.9;0;6.9;0;0;0;147;35;0.283;1.79;0.158;0.619;8.67;20.3;0.573;0.551;0.000352;0.000825; 48400;170;362;0.451;0.247;47;0.291;1.85;0.157;0.619;8.17;14.1;0.422;0.643;0.00032;0.000553; 50880;117;353;0.426;0.246;49;0.00117;0.919;0.00128;0.615;0.119;3.43;0.965;0.0182;0.00114;0.0329; 19360;0;1;0.315;0.201;55;0.00128;1.07;0.00119;0.618;0.0932;3.65;0.974;0.0178;0.00082;0.0321; 18240;0;0;0.303;0.203;53;552;117;116;  2%;  0%;  0%;102;99.4;569;  0%;  0%;  2%;119;150;25.8;  0%;  0%;  0%;27.4;115;149;  0%;  0%;  0%;25.6;30.5;0.361;43.6;0;12.2;0;0;0;25.4;35.4;0.175;38.9;0;0;0;0;0;0.208;15.6;0.00485;84.2;0;14.7;0;0;0;0.192;15.7;0.0108;84.1;0;0.64;0;0;0;43.7;42.4;30.5;30.4;9.05 ;8.9 ;9.03 ;7.98 ;
2018-01-24;14:30:54.246;0.452;2.86;0.158;0.619;3.45;24.4;0.859;0.611;2.21e-05;0.000156;0.497;0.566;1.56e+05;5.45e+04;2.23e+03;5.72;143;0.905;22.6;747;25.6;35.2;0.0373;39.2;0;0;0;0;0;160;26.3;0.909;2.85;0.319;0.619;1.71;13.6;0.874;0.583;2.16e-05;0.000171; 50480;110;168;0.215;0.203;47;0.882;2.88;0.306;0.619;1.48;3.68;0.598;0.839;1.94e-05;4.82e-05; 50560;74;234;0.0844;0.12;48;0.00141;0.862;0.00164;0.619;0.172;3.4;0.949;0.0276;0.00143;0.0282; 19840;0;6;0.0969;0.121;55;0.00115;0.78;0.00148;0.619;0.0853;3.74;0.977;0.0168;0.000866;0.0379; 18000;0;2;0.101;0.122;54;160;65.6;67.4;  0%;  0%;  0%;60.4;54.4;180;  0%;  0%;  0%;28.8;38.6;12.8;  0%;  0%;  0%;13.3;24.8;40.5;  0%;  0%;  0%;51.5;48.3;0.0901;0.0939;0;0;0;0;0;49.4;48.6;0.0507;1.95;0;0;0;0;0;0.265;26.7;0.00484;73;0;0;0;0;0;0.239;16.7;0.00238;83.1;0;0;0;0;0;51;49.1;30.5;29;7 ;6.71 ;6.6 ;5.98 ;
2018-01-24;14:30:55.263;0.48;3.07;0.156;0.619;0.966;23.3;0.958;0.851;5.88e-06;0.000142;0.259;0.337;1.64e+05;5.34e+04;2.13e+03;6.14;154;0.961;24;316;25.3;37.4;0.00106;37.3;0;0;0;0;0;175;25.2;0.957;3.05;0.314;0.619;0.52;13;0.96;0.835;6.36e-06;0.000159; 50400;62;134;0.0599;0.0762;47;0.962;3.11;0.309;0.619;0.268;1.22;0.78;0.982;3.26e-06;1.48e-05; 51520;30;94;0.0615;0.0851;48;0.00185;1.03;0.0018;0.619;0.11;4.95;0.978;0.0216;0.000692;0.0313; 20000;3;3;0.0679;0.0872;55;0.00122;1.13;0.00108;0.619;0.0679;4.11;0.983;0.0114;0.000652;0.0395; 18000;0;3;0.0696;0.0886;54;54.1;44.3;44;  0%;  0%;  0%;26;24.8;44.3;  0%;  0%;  0%;12.6;21.5;6.21;  0%;  0%;  0%;6.59;10.8;21.1;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.29;26.6;0.00235;73.1;0;0;0;0;0;0.175;23.8;0.00187;76;0;0;0;0;0;58.5;56.8;30.4;29.7;6.72 ;6.38 ;6.35 ;5.8 ;
2018-01-24;14:30:56.278;0.326;2.08;0.157;0.619;0.748;22.9;0.967;0.777;6.73e-06;0.000206;0.116;0.11;1.11e+05;5.34e+04;2.14e+03;4.16;104;0.651;16.3;107;25.3;29;0.00282;45.7;0;19.8;0;0;0;162;23.9;0.651;2.07;0.314;0.619;0.353;12.5;0.972;0.764;6.36e-06;0.000224; 50480;16;28;0.0379;0.0324;47;0.649;2.1;0.309;0.619;0.192;1.19;0.839;0.971;3.47e-06;2.15e-05; 51440;5;26;0.032;0.0311;48;0.00192;1.02;0.00189;0.611;0.121;5.12;0.976;0.0214;0.000736;0.0312; 19840;2;3;0.0224;0.0228;55;0.00125;1.01;0.00125;0.616;0.0821;4.18;0.98;0.0116;0.000767;0.0391; 18000;0;6;0.0239;0.0239;54;15.5;12.4;12.2;  0%;  0%;  0%;7.7;6.28;13.8;  0%;  0%;  0%;6.3;10;3.66;  0%;  0%;  0%;3.98;4.5;10.5;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.309;5.75;0.000869;93.9;0;37.5;0;0;0;0.203;10.9;0.0104;88.9;0;41.5;0;0;0;53.5;51.9;28.6;28.2;6.55 ;6.12 ;5.92 ;5.27 ;
2018-01-24;14:30:57.292;0.0744;0.476;0.156;0.619;0.43;22.1;0.981;0.0388;1.7e-05;0.00087;0.12;0.113;2.54e+04;5.34e+04;2.13e+03;0.951;23.8;0.149;3.72;88.4;25.3;34.9;0.00336;39.8;0;3.7;0;0;0;149;23.9;0.149;0.475;0.313;0.619;0.168;12;0.986;0.0443;1.33e-05;0.000942; 51200;19;27;0.0329;0.0303;47;0.146;0.471;0.309;0.619;0.105;0.801;0.869;0.188;8.44e-06;6.45e-05; 53600;7;25;0.0308;0.0301;49;0.00189;1.04;0.00182;0.618;0.0948;5.06;0.981;0.0208;0.000587;0.0314; 20080;0;6;0.0272;0.0261;55;0.00127;1.11;0.00114;0.617;0.0626;4.26;0.985;0.0103;0.000578;0.0394; 18000;0;2;0.0289;0.0263;54;12.8;11.8;11.3;  0%;  0%;  0%;6.14;4.94;10.6;  0%;  0%;  0%;4.77;8.5;3.02;  0%;  0%;  0%;3.21;3.23;8.19;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.295;18.1;0;81.6;0;6.84;0;0;0;0.185;22.2;0.0134;77.6;0;7.97;0;0;0;45.9;44.5;29.3;29.4;6.41 ;6.02 ;6.08 ;5.39 ;
2018-01-24;14:30:58.313;0.0731;0.467;0.156;0.619;0.519;22.7;0.977;0.0409;2.08e-05;0.000908;0.197;0.123;2.49e+04;5.34e+04;2.13e+03;0.934;23.4;0.146;3.65;163;25.3;34.9;0.0053;39.9;0;0;0;0;0;150;25.6;0.146;0.466;0.313;0.619;0.185;11.9;0.985;0.045;1.48e-05;0.000959; 52080;10;31;0.0532;0.0334;47;0.143;0.462;0.31;0.619;0.159;0.973;0.836;0.201;1.31e-05;7.97e-05; 51840;9;30;0.0489;0.0316;48;0.00193;1.03;0.00188;0.619;0.106;5.17;0.98;0.0204;0.000641;0.0313; 20160;1;6;0.0462;0.0286;56;0.00136;1.1;0.00124;0.619;0.0692;4.57;0.985;0.0108;0.000595;0.0393; 18160;0;2;0.0487;0.0296;54;15.5;12.7;12.6;  0%;  0%;  0%;8.78;7.69;33.9;  0%;  0%;  0%;6;27.1;3.51;  0%;  0%;  0%;3.82;4.91;26.8;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.304;17.2;0.00125;82.5;0;0;0;0;0;0.2;23;0.0199;76.8;0;0;0;0;0;46.2;44.7;29.6;29.6;6.78 ;6.41 ;6.55 ;5.83 ;
2018-01-24;14:30:59.327;0.0734;0.468;0.157;0.619;0.443;23;0.981;0.0383;1.76e-05;0.000915;0.111;0.107;2.51e+04;5.37e+04;2.14e+03;0.936;23.4;0.147;3.67;85.4;25.3;31.7;0.00651;43;0;12.9;0;0;0;148;23.4;0.146;0.466;0.314;0.619;0.179;11.4;0.984;0.046;1.43e-05;0.000905; 51440;13;21;0.0326;0.0307;48;0.143;0.463;0.309;0.619;0.0936;0.769;0.878;0.204;7.63e-06;6.26e-05; 49760;4;25;0.0291;0.0296;48;0.00213;1.04;0.00205;0.619;0.104;5.82;0.982;0.0201;0.000569;0.0319; 20160;4;1;0.0276;0.0272;55;0.00152;1.1;0.00139;0.617;0.0672;5.06;0.987;0.0102;0.000517;0.039; 18160;0;3;0.0213;0.0191;54;12;11.1;10.7;  0%;  0%;  0%;6.55;5.63;9.98;  0%;  0%;  0%;4.59;7.5;3.29;  0%;  0%;  0%;3.49;3.23;7.32;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.331;11.5;0.000324;88.1;0;0;0;0;0;0.224;15.7;0.0257;84.1;0;51.7;0;0;0;45.8;44.5;28.9;28.7;6.38 ;5.94 ;6.08 ;4.98 ;
2018-01-24;14:31:00.342;0.0732;0.466;0.157;0.619;0.495;26.7;0.981;0.0334;1.98e-05;0.00107;0.113;0.105;2.49e+04;5.35e+04;2.13e+03;0.933;23.3;0.146;3.66;86.7;25.3;31.6;0.00862;43;0;9.39;0;0;0;148;23.4;0.146;0.465;0.313;0.619;0.182;11.7;0.984;0.0432;1.47e-05;0.000945; 51920;16;18;0.0338;0.0301;47;0.143;0.461;0.31;0.619;0.0959;1.33;0.928;0.126;7.89e-06;0.000109; 51440;5;21;0.0296;0.028;49;0.00251;0.977;0.00257;0.614;0.126;7.12;0.982;0.0183;0.000586;0.0333; 20160;1;7;0.0208;0.0197;55;0.00198;0.993;0.00199;0.619;0.0909;6.56;0.986;0.0107;0.00054;0.0389; 18080;1;2;0.0292;0.0267;54;11.1;11.4;10.6;  0%;  0%;  0%;6.14;5.42;9.33;  0%;  0%;  0%;4.55;7.97;4.54;  0%;  0%;  0%;4.79;3.58;7.17;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.419;8.73;0.000552;90.8;0;37.6;0;0;0;0.321;18.4;0.0339;81.3;0;0;0;0;0;45.9;44.4;28.6;29.3;6.43 ;5.9 ;5.74 ;5.33 ;
2018-01-24;14:31:01.356;0.0728;0.465;0.156;0.619;0.42;23.3;0.982;0.0367;1.69e-05;0.000939;0.119;0.113;2.48e+04;5.33e+04;2.13e+03;0.93;23.3;0.146;3.64;86.1;25.3;34.1;0.0176;40.6;0;0.322;0;0;0;149;23.6;0.145;0.464;0.313;0.619;0.168;11.6;0.985;0.0444;1.36e-05;0.000933; 50960;8;31;0.0333;0.0307;48;0.142;0.46;0.309;0.619;0.0832;0.753;0.889;0.2;6.87e-06;6.21e-05; 51520;6;25;0.0294;0.0288;49;0.00216;1.06;0.00204;0.619;0.1;5.96;0.983;0.0191;0.000544;0.0324; 20160;1;3;0.0273;0.0263;55;0.0015;1.14;0.00132;0.618;0.0684;5.02;0.986;0.00947;0.000535;0.0393; 18000;0;3;0.0293;0.0271;54;11.8;11.3;10.7;  0%;  0%;  0%;6.48;5.63;10.4;  0%;  0%;  0%;4.48;7.67;3.59;  0%;  0%;  0%;3.73;3.24;7.06;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.33;8;0.00119;91.7;0;1.19;0;0;0;0.214;28.9;0.0691;70.8;0;0.0999;0;0;0;45.8;44.4;28.7;30.2;6.37 ;5.88 ;6.03 ;5.34 ;
