System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:29:54.010;0.243;2.54;0.0955;0.619;4.75;18.8;0.747;0.326;5.74e-05;0.000227;0.665;0.752;8.27e+04;3.25e+04;2.12e+03;5.09;127;0.486;12.2;1.09e+03;15.4;25.4;0.487;58.7;0;36.1;0;0;0;139;28.7;0.489;2.55;0.192;0.619;2.29;8.82;0.74;0.335;5.51e-05;0.000212; 51040;164;281;0.177;0.24;49;0.482;2.56;0.188;0.619;2.25;7.29;0.692;0.383;5.49e-05;0.000178; 55040;101;328;0.183;0.198;51;0.000767;0.797;0.000963;0.604;0.134;1.66;0.919;0.0393;0.00205;0.0255; 19520;1;2;0.155;0.156;56;0.000632;0.674;0.000937;0.604;0.0777;1.04;0.925;0.0626;0.00145;0.0193; 25280;2;4;0.15;0.159;55;235;102;99.7;  1%;  0%;  0%;85.4;81;242;  0%;  0%;  1%;50.4;53.5;21.5;  0%;  0%;  0%;22;45.7;53;  0%;  0%;  0%;31;34.4;1.2;33.4;0;14.2;0;0;0;30.4;34.3;0.734;34.5;0;8.88;0;0;0;0.16;14.8;0;85.1;0;76.1;0;0;0;0.155;18.1;0.0121;81.7;0;45.2;0;0;0;41.1;39.7;29.5;29.2;7.53 ;7.45 ;7.21 ;6.55 ;
2018-01-24;14:29:55.025;0.00847;1.51;0.00562;0.618;1.49;4.66;0.682;0.271;0.000514;0.00161;0.237;0.36;2.89e+03;1.92e+03;2.13e+03;3.01;75.3;0.0169;0.424;442;0.91;24.3;1.55;73.2;0;9.37;0;0;0;121;31.1;0.017;1.48;0.0115;0.618;0.723;3.22;0.775;0.235;0.000499;0.00222; 51280;29;86;0.0595;0.0896;50;0.0167;1.57;0.0107;0.619;0.735;1.27;0.421;0.365;0.000515;0.000889; 52240;42;108;0.057;0.0866;51;5.83e-05;0.352;0.000166;0.619;0.0106;0.0824;0.872;0.0734;0.00213;0.0166; 18800;0;2;0.0608;0.0932;56;7.09e-05;0.373;0.00019;0.615;0.0164;0.0928;0.823;0.0885;0.00272;0.0154; 25040;0;2;0.0597;0.0904;54;80.7;54.4;55.8;  0%;  0%;  0%;30.1;31;58.7;  0%;  0%;  0%;26.8;27.8;9.87;  0%;  0%;  0%;9.64;27.2;30;  0%;  0%;  0%;1.86;6.31;4.04;87.8;0;5.22;0;0;0;1.72;23.8;2.16;72.3;0;0;0;0;0;0.0268;31.2;0;68.8;0;0;0;0;0;0.0308;36;0;64;0;32.3;0;0;0;29.9;30.3;30.6;30.6;7.78 ;8.01 ;8.01 ;7.28 ;
2018-01-24;14:29:56.026;0.0173;1.63;0.0106;0.619;2.74;7.35;0.627;0.292;0.000471;0.00126;0.391;0.571;5.83e+03;3.57e+03;2.1e+03;3.27;81.7;0.0347;0.867;776;1.72;32.2;0.406;65.7;0;11.3;0;0;0;124;32.6;0.0242;1.57;0.0155;0.618;0.885;4.66;0.81;0.202;0.000435;0.00229; 51120;31;92;0.103;0.151;49;0.045;1.69;0.0266;0.619;1.83;2.51;0.272;0.421;0.000484;0.000665; 51040;90;253;0.0849;0.125;51;6.29e-05;0.367;0.000171;0.619;0.0135;0.0852;0.841;0.0802;0.00257;0.0161; 18720;1;0;0.103;0.151;56;7.45e-05;0.397;0.000188;0.617;0.0145;0.0863;0.832;0.0987;0.00232;0.0138; 23920;0;1;0.1;0.144;54;138;80.7;82.1;  0%;  0%;  0%;64.4;64.5;99.2;  0%;  0%;  0%;63.4;40.9;18;  0%;  0%;  0%;17.8;63.7;43.3;  0%;  0%;  0%;2.5;7.03;0.983;89.5;0;2.77;0;0;0;4.3;35.5;0.642;59.5;0;0;0;0;0;0.0277;41;0;59;0;0;0;0;0;0.0304;45.4;0;54.6;0;42.4;0;0;0;29.9;32.3;31.1;31;8.16 ;8.34 ;8.48 ;7.65 ;
2018-01-24;14:29:57.040;0.0216;1.64;0.0132;0.619;3.45;10.5;0.67;0.279;0.000468;0.00142;0.498;0.73;7.38e+03;4.51e+03;2.13e+03;3.27;81.8;0.0433;1.08;1.03e+03;2.14;40.6;0.304;57;0;7.88;0;0;0;130;33.8;0.0128;1.47;0.00872;0.617;0.571;5.37;0.894;0.0974;0.000522;0.00491; 52480;26;66;0.136;0.212;50;0.0736;1.68;0.0438;0.619;2.85;4.94;0.423;0.412;0.000455;0.000788; 51440;139;390;0.0998;0.147;50;5.57e-05;0.365;0.000152;0.619;0.0132;0.0798;0.834;0.0686;0.00278;0.0168; 18720;0;1;0.133;0.188;56;6.62e-05;0.419;0.000158;0.618;0.0143;0.0819;0.825;0.0868;0.00254;0.0145; 23840;0;0;0.13;0.183;54;183;96.4;97.4;  0%;  0%;  0%;97;97.1;126;  0%;  0%;  0%;99.7;41.5;26.1;  0%;  0%;  0%;25.9;99.6;43.1;  0%;  0%;  0%;1.41;8.12;0.625;89.8;0;0.161;0;0;0;7.08;42.2;0.592;50.1;0;0;0;0;0;0.0246;55;0;44.9;0;0.176;0;0;0;0.0255;57;0;43;0;31.2;0;0;0;29.8;34.6;33;32.5;8.48 ;8.64 ;8.73 ;7.92 ;
2018-01-24;14:29:58.055;0.0454;1.58;0.0287;0.619;8.04;27.1;0.703;0.3;0.000519;0.00175;0.926;1.16;1.55e+04;9.77e+03;2.13e+03;3.17;79.2;0.0909;2.27;1.69e+03;4.63;53.9;0.339;41.2;0;0;0;0;0;139;35.1;0.0326;1.56;0.0209;0.619;1.42;7.91;0.821;0.189;0.000511;0.00285; 50720;63;187;0.238;0.309;50;0.149;1.59;0.0935;0.619;6.59;19;0.654;0.338;0.000519;0.0015; 50960;245;694;0.201;0.22;51;5.86e-05;0.424;0.000138;0.619;0.0133;0.0763;0.826;0.0921;0.00266;0.0153; 18720;0;3;0.242;0.318;56;6.78e-05;0.416;0.000163;0.619;0.0135;0.0785;0.829;0.107;0.00233;0.0136; 24000;0;2;0.245;0.31;54;303;127;129;  1%;  0%;  0%;155;155;208;  0%;  0%;  1%;196;73.7;34.9;  1%;  0%;  0%;34.7;196;76.5;  0%;  1%;  0%;3.37;11.9;0.827;83.9;0;0;0;0;0;15.1;57.3;0.528;27.1;0;0;0;0;0;0.0223;74.3;0;25.7;0;0;0;0;0;0.0263;72;0;28;0;0;0;0;0;31.4;39;34.4;34.1;8.8 ;8.89 ;9.12 ;8.32 ;
2018-01-24;14:29:59.069;0.0891;1.52;0.0587;0.619;20.8;63.6;0.673;0.297;0.000684;0.00209;1.86;2.24;3.04e+04;2e+04;2.13e+03;3.03;75.9;0.178;4.45;3.38e+03;9.48;50.9;2.03;37.6;0;0;0;0;0;146;38.3;0.0744;1.55;0.0479;0.619;2.34;14.1;0.834;0.266;0.000369;0.00223; 49120;73;231;0.478;0.59;50;0.282;1.51;0.187;0.619;18.4;49.3;0.627;0.306;0.000767;0.00205; 49760;539;1571;0.434;0.388;51;5.72e-05;0.428;0.000134;0.619;0.0123;0.0752;0.836;0.112;0.00254;0.0154; 18720;0;0;0.475;0.626;56;7.11e-05;0.449;0.000158;0.619;0.016;0.0817;0.804;0.118;0.00264;0.0135; 23840;0;0;0.475;0.634;54;592;159;161;  3%;  0%;  0%;374;372;447;  1%;  1%;  2%;471;114;52.6;  2%;  0%;  0%;52.5;466;117;  0%;  2%;  0%;7.74;13.2;2.5;76.6;0;0;0;0;0;30.1;51.8;5.62;12.5;0;0;0;0;0;0.0216;72.8;0;27.2;0;0;0;0;0;0.0256;65.7;0;34.2;0;0;0;0;0;33.7;44.5;34.7;33.6;9.56 ;9.57 ;10.1 ;9.14 ;
2018-01-24;14:30:00.085;0.049;1.62;0.0303;0.619;8.19;24.7;0.669;0.308;0.00049;0.00148;0.923;1.16;1.67e+04;1.03e+04;2.13e+03;3.23;80.8;0.098;2.45;1.76e+03;4.9;30.9;2.74;61.5;0;10.5;0;0;0;132;35.2;0.062;1.61;0.0386;0.619;2.72;11;0.753;0.244;0.000515;0.00208; 51040;102;309;0.233;0.299;50;0.134;1.63;0.0824;0.619;5.44;13.5;0.598;0.355;0.000477;0.00119; 52640;225;644;0.208;0.26;51;6.18e-05;0.378;0.000163;0.619;0.0162;0.085;0.809;0.0943;0.00307;0.0161; 18720;0;1;0.242;0.301;56;7.44e-05;0.382;0.000195;0.617;0.0177;0.0915;0.807;0.103;0.00278;0.0144; 23920;1;1;0.24;0.3;54;297;154;157;  1%;  0%;  0%;150;150;234;  0%;  0%;  1%;163;105;40.3;  0%;  0%;  0%;40.1;163;109;  0%;  0%;  0%;6.24;9.05;3.05;81.7;0;0;0;0;0;13.3;35.6;7.91;43.2;0;0;0;0;0;0.0264;40.1;0;59.9;0;0;0;0;0;0.0316;38.9;0;61.1;0;41.9;0;0;0;32.6;36.8;31.6;31;8.77 ;8.96 ;9.13 ;8.37 ;
2018-01-24;14:30:01.100;0.0577;1.58;0.0366;0.619;9.34;35.7;0.738;0.314;0.000474;0.00181;0.991;1.18;1.97e+04;1.25e+04;2.13e+03;3.16;78.9;0.115;2.88;1.82e+03;5.91;42.7;0.962;50.4;0;12.7;0;0;0;137;35.4;0.0774;1.55;0.0499;0.619;2.99;15.5;0.806;0.26;0.000453;0.00234; 47360;113;304;0.255;0.308;49;0.153;1.59;0.0961;0.619;6.32;20.1;0.685;0.352;0.000484;0.00154; 51360;225;654;0.225;0.247;51;6.06e-05;0.398;0.000152;0.618;0.014;0.0806;0.827;0.0649;0.0027;0.0156; 18640;1;1;0.253;0.307;56;6.79e-05;0.42;0.000162;0.617;0.014;0.0825;0.831;0.0863;0.00241;0.0142; 23600;0;1;0.258;0.317;54;312;146;149;  1%;  0%;  0%;151;152;237;  0%;  0%;  1%;187;108;39.6;  0%;  0%;  0%;39.4;187;112;  0%;  0%;  0%;8.05;11.5;2.87;77.6;0;0;0;0;0;15.5;35.5;0.977;48;0;0;0;0;0;0.0247;60.3;0;39.7;0;25.4;0;0;0;0.0262;63.7;0;36.3;0;25.4;0;0;0;33.5;37.4;33.3;33.3;8.83 ;9.04 ;9.14 ;8.43 ;
2018-01-24;14:30:02.155;0.0888;1.51;0.0587;0.619;21.2;68.3;0.69;0.31;0.000678;0.00218;1.94;2.11;3.13e+04;2.07e+04;2.13e+03;3.02;75.6;0.178;4.44;3.41e+03;9.48;56.3;2.16;32;0;0;0;0;0;154;39.6;0.0923;1.52;0.0606;0.619;4.31;19.5;0.779;0.282;0.000537;0.00243; 50800;138;397;0.498;0.562;49;0.264;1.51;0.175;0.619;16.8;48.6;0.653;0.321;0.000725;0.00209; 65600;512;1541;0.456;0.386;50;5.59e-05;0.393;0.000142;0.619;0.0137;0.0765;0.82;0.0907;0.00277;0.0154; 18640;0;2;0.492;0.577;55;6.68e-05;0.425;0.000157;0.619;0.0149;0.0788;0.811;0.111;0.00251;0.0133; 23680;0;3;0.496;0.583;54;585;178;181;  2%;  0%;  0%;336;336;452;  1%;  1%;  2%;446;159;63;  2%;  0%;  0%;62.8;445;163;  0%;  2%;  0%;9.8;15;2.5;72.7;0;0;0;0;0;28.3;48.4;6.17;17.2;0;0;0;0;0;0.023;76.9;0;23.1;0;0;0;0;0;0.0254;84.2;0;15.8;0;0;0;0;0;35.9;45.4;36.4;36.7;9.87 ;9.97 ;10.3 ;9.4 ;
2018-01-24;14:30:03.170;0.0831;1.55;0.0536;0.619;16;54.9;0.709;0.309;0.00056;0.00192;1.55;1.72;2.85e+04;1.84e+04;2.22e+03;3.1;77.5;0.166;4.15;2.7e+03;8.66;53.8;2.49;35.1;0;0;0;0;0;146;37.1;0.108;1.55;0.0696;0.619;4.7;21;0.776;0.277;0.000502;0.00224; 50320;164;463;0.39;0.431;49;0.222;1.56;0.143;0.619;11.2;33.7;0.666;0.329;0.000587;0.00176; 49600;352;1073;0.361;0.344;50;5.9e-05;0.417;0.000141;0.619;0.0131;0.0733;0.821;0.117;0.0026;0.0146; 18640;0;0;0.395;0.484;56;0.000345;1.17;0.000296;0.619;0.0215;0.167;0.871;0.194;0.000731;0.00568; 23600;0;2;0.399;0.463;54;454;175;180;  2%;  0%;  0%;242;243;371;  1%;  1%;  1%;307;158;50.6;  1%;  0%;  0%;50.4;308;164;  0%;  1%;  0%;11.2;14.4;1.75;72.6;0;0;0;0;0;23.1;45.4;8.15;23.4;0;0;0;0;0;0.0228;72.3;0;27.7;0;0;0;0;0;0.0478;83.9;0;16;0;0;0;0;0;35.1;41.1;34.6;35.3;9.21 ;9.32 ;9.67 ;8.86 ;
