System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:22:48.768;0.335;1.86;0.18;0.714;8.83;82.1;0.893;0.857;7.74e-05;0.00072;0.637;0.254;1.14e+05;6.14e+04;2.13e+03;3.71;92.8;0.669;16.7;780;25.2;29.7;0.00999;45.1;0;23.7;0;0;0;178;27.8;0.672;1.86;0.361;0.714;3.98;35.7;0.888;0.874;6.95e-05;0.000623; 48000;66;158;0.168;0.0626;46;0.662;1.86;0.356;0.714;4.64;34;0.863;0.878;8.23e-05;0.000602; 51120;86;233;0.166;0.0627;48;0.00232;1.07;0.00216;0.683;0.118;6.4;0.982;0.0191;0.0006;0.0324; 26000;0;4;0.151;0.064;56;0.00179;1.17;0.00153;0.698;0.0848;6.08;0.986;0.00976;0.000556;0.0399; 41760;1;0;0.151;0.0652;54;110;37.7;38.1;  0%;  0%;  0%;36;34.6;101;  0%;  0%;  0%;95.6;87.8;28.6;  0%;  0%;  0%;29.2;92.9;88.5;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;49.9;50.1;0.0356;0;0;0;0;0;0;0.316;5.3;0.0021;94.4;0;45.6;0;0;0;0.219;13.8;0.00226;85.9;0;49.1;0;0;0;59;57.3;30.8;30.8;7.25 ;7.17 ;6.95 ;6.41 ;
2018-01-24;14:22:49.876;0.288;2.37;0.121;0.714;20.4;54.9;0.628;0.743;0.000193;0.000519;1.78;1.39;1.06e+05;4.45e+04;2.13e+03;4.75;119;0.576;14.4;2.37e+03;17;27.1;0.138;55.8;0;13.1;0;0;0;176;33.6;0.567;2.33;0.243;0.714;10.5;26.8;0.61;0.748;0.000207;0.000529; 50800;267;697;0.508;0.347;46;0.596;2.44;0.244;0.714;9.64;13.6;0.294;0.852;0.000177;0.00025; 48320;225;637;0.435;0.319;48;0.00249;0.97;0.00257;0.696;0.162;7.87;0.979;0.0178;0.000701;0.034; 25120;1;2;0.423;0.359;56;0.00178;1.05;0.0017;0.714;0.125;6.54;0.981;0.0105;0.000752;0.0394; 41440;2;0;0.416;0.367;53;475;134;132;  2%;  0%;  0%;113;109;463;  0%;  0%;  2%;209;230;37;  0%;  1%;  0%;38.3;202;226;  0%;  0%;  1%;34;39.4;0.325;26.3;0;1.83;0;0;0;34.2;38.3;0.224;27.3;0;8.07;0;0;0;0.369;3.49;0.00495;96.1;0;42;0;0;0;0.239;27.8;0.00626;72;0;0;0;0;0;54.5;52.4;33.3;35.3;8.65 ;8.31 ;8.6 ;8.02 ;
2018-01-24;14:22:50.890;0.551;2.95;0.187;0.714;2.46;22.2;0.889;0.866;1.29e-05;0.000117;0.375;0.473;1.91e+05;6.47e+04;2.33e+03;5.9;147;1.1;27.6;560;26.2;30.9;0.0681;42.9;0;19.2;0;0;0;186;25.3;1.1;2.94;0.372;0.714;1.18;8.51;0.861;0.894;1.22e-05;8.75e-05; 48080;95;183;0.129;0.163;46;1.08;2.98;0.361;0.714;1.11;2.95;0.626;0.96;1.19e-05;3.17e-05; 54080;41;218;0.0776;0.105;48;0.00257;0.889;0.0029;0.661;0.118;7.14;0.983;0.0221;0.000538;0.0326; 24960;0;2;0.0754;0.0951;55;0.0011;1.08;0.00102;0.714;0.0553;3.63;0.985;0.0105;0.000592;0.0389; 41680;0;1;0.0925;0.111;54;107;52.6;52.6;  0%;  0%;  0%;49.4;47.3;125;  0%;  0%;  0%;24.9;28.3;10.8;  0%;  0%;  0%;11;22.8;27.8;  0%;  0%;  0%;52.1;47.6;0.11;0.18;0;0;0;0;0;50.6;49.2;0.144;0.091;0;0;0;0;0;0.438;1.92;0.00641;97.6;0;77.7;0;0;0;0.143;23.7;0.00876;76.1;0;0;0;0;0;62.5;61.1;30.4;31.8;6.84 ;6.48 ;6.06 ;5.92 ;
2018-01-24;14:22:51.904;0.452;2.51;0.18;0.714;1.14;26.7;0.957;0.834;7.39e-06;0.000174;0.262;0.372;1.54e+05;6.15e+04;2.13e+03;5.01;125;0.904;22.6;338;25.3;29.9;0.000832;44.9;0;17.6;0;0;0;185;25.1;0.902;2.5;0.361;0.714;0.509;13.1;0.961;0.837;6.62e-06;0.000171; 50000;45;119;0.0681;0.0894;46;0.902;2.53;0.357;0.714;0.447;1.79;0.751;0.974;5.82e-06;2.34e-05; 52640;39;140;0.0613;0.0873;47;0.0023;1.04;0.00222;0.69;0.123;6.37;0.981;0.0194;0.000629;0.0325; 25040;0;10;0.0662;0.0977;55;0.00162;1.18;0.00138;0.71;0.0595;5.47;0.989;0.01;0.000431;0.0396; 41440;0;1;0.0667;0.0972;54;56.7;38.5;37;  0%;  0%;  0%;36.6;34.8;56.8;  0%;  0%;  0%;17.1;19.5;4.52;  0%;  0%;  0%;4.84;14.3;17.4;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.322;4.88;0.00283;94.8;0;33;0;0;0;0.194;15.1;0.000499;84.7;0;37.5;0;0;0;62.3;60.9;30.6;30.9;6.77 ;6.44 ;6.22 ;5.65 ;
2018-01-24;14:22:52.916;0.0834;0.462;0.18;0.714;0.398;24.9;0.984;0.0383;1.4e-05;0.000877;0.107;0.109;2.84e+04;6.14e+04;2.13e+03;0.925;23.1;0.167;4.17;87.1;25.3;29.9;0.0016;44.8;0;18.3;0;0;0;160;23.6;0.166;0.461;0.361;0.714;0.151;12.5;0.988;0.0405;1.06e-05;0.000881; 48640;17;24;0.0314;0.0312;47;0.163;0.457;0.357;0.714;0.095;0.753;0.874;0.277;6.84e-06;5.42e-05; 53840;10;21;0.0284;0.031;48;0.0022;1.07;0.00205;0.69;0.0937;6.08;0.985;0.0199;0.000499;0.0324; 25040;0;3;0.0225;0.0237;55;0.00165;1.21;0.00136;0.71;0.059;5.58;0.989;0.00942;0.00042;0.0398; 41840;0;0;0.0246;0.0235;54;13;11;10.1;  0%;  0%;  0%;7.32;6.63;11.2;  0%;  0%;  0%;3.98;6.58;3.94;  0%;  0%;  0%;4.21;3.34;5.87;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.298;6.73;0.00395;93;0;34.5;0;0;0;0.192;13.5;0.00245;86.3;0;38.9;0;0;0;50;48.6;30.8;30.9;6.39 ;6.01 ;5.82 ;5.35 ;
2018-01-24;14:22:53.929;0.0857;0.476;0.18;0.714;0.4;24.3;0.984;0.039;1.37e-05;0.000833;0.117;0.115;2.92e+04;6.14e+04;2.13e+03;0.951;23.8;0.171;4.29;80.9;25.2;30.6;0.000186;44.2;0;0;0;0;0;160;24;0.171;0.474;0.361;0.714;0.145;12.1;0.988;0.0405;9.96e-06;0.000829; 50000;13;14;0.0311;0.0298;47;0.168;0.47;0.357;0.714;0.0924;0.777;0.881;0.263;6.47e-06;5.44e-05; 56640;8;27;0.0279;0.0293;48;0.00214;1.06;0.00203;0.714;0.0966;5.82;0.983;0.0204;0.00053;0.032; 24880;0;4;0.0273;0.0277;55;0.00191;1.24;0.00154;0.714;0.0656;5.64;0.988;0.0138;0.000403;0.0346; 41680;0;1;0.0302;0.0283;54;11.7;9.87;9.04;  0%;  0%;  0%;6.68;6.08;10.3;  0%;  0%;  0%;3.95;6.19;3.88;  0%;  0%;  0%;4.16;3.23;5.77;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.284;8.31;0.000743;91.4;0;0;0;0;0;0.216;14.5;0;85.3;0;0;0;0;0;50;48.6;30.8;30.7;6.38 ;5.94 ;6.08 ;5.6 ;
2018-01-24;14:22:54.942;0.086;0.478;0.18;0.714;0.345;20.7;0.983;0.0431;1.18e-05;0.000706;0.115;0.117;2.93e+04;6.13e+04;2.13e+03;0.955;23.9;0.172;4.3;78.5;25.2;31.7;0.00468;43.1;0;0;0;0;0;160;24;0.172;0.477;0.36;0.714;0.127;11.1;0.989;0.0421;8.69e-06;0.000761; 51040;7;18;0.0303;0.0306;46;0.169;0.474;0.357;0.714;0.0889;0.745;0.881;0.281;6.18e-06;5.18e-05; 55600;10;37;0.0271;0.0294;48;0.00186;1.02;0.00182;0.714;0.0756;4.85;0.984;0.0225;0.000479;0.0307; 24960;0;0;0.0276;0.0282;56;0.00118;1.06;0.00111;0.714;0.0535;3.93;0.986;0.0101;0.000532;0.0391; 41840;0;1;0.0302;0.0286;54;11.1;8.43;8.11;  0%;  0%;  0%;7.6;6.95;11.1;  0%;  0%;  0%;4.11;5.18;3.46;  0%;  0%;  0%;3.81;3.45;5.15;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.255;8.3;0.00408;91.4;0;0;0;0;0;0.156;18.9;0.0146;80.9;0;0;0;0;0;50;48.6;30.7;31.1;6.39 ;5.95 ;6.05 ;5.62 ;
2018-01-24;14:22:55.968;0.0841;0.47;0.179;0.714;0.411;23.7;0.983;0.0398;1.42e-05;0.000819;0.109;0.109;2.89e+04;6.15e+04;2.13e+03;0.94;23.5;0.168;4.2;87.2;25.1;28.8;0.00167;46.1;0;17.6;0;0;0;162;23.9;0.168;0.469;0.358;0.714;0.145;11.7;0.988;0.0418;1.01e-05;0.000815; 50960;10;27;0.0325;0.0316;47;0.165;0.465;0.356;0.714;0.103;0.766;0.865;0.279;7.28e-06;5.39e-05; 54640;9;33;0.0289;0.0305;48;0.00206;1.05;0.00197;0.691;0.0972;5.65;0.983;0.0209;0.000548;0.0318; 25040;0;1;0.0227;0.0234;55;0.00163;1.16;0.0014;0.709;0.0652;5.56;0.988;0.00973;0.000464;0.0396; 41680;0;2;0.0249;0.0233;54;12;9.69;9.29;  0%;  0%;  0%;8.36;7.41;11.8;  0%;  0%;  0%;4.75;6.17;3.99;  0%;  0%;  0%;4.17;3.85;5.77;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;49.8;50.2;0;0;0;0;0;0;0;0.285;4.39;0.00065;95.3;0;33;0;0;0;0.197;11.1;0.00603;88.7;0;37.4;0;0;0;50.6;49.2;30.8;31;6.51 ;6.06 ;5.92 ;5.44 ;
2018-01-24;14:22:56.981;0.084;0.463;0.181;0.714;0.323;17.3;0.981;0.0457;1.13e-05;0.000604;0.0986;0.0984;2.86e+04;6.18e+04;2.15e+03;0.927;23.2;0.168;4.2;69.2;25.4;29.6;0.00733;45.1;0;15.3;0;0;0;160;23.3;0.168;0.464;0.362;0.714;0.114;10.6;0.989;0.0408;7.93e-06;0.000738; 50640;10;9;0.0286;0.0278;47;0.165;0.46;0.358;0.714;0.0959;0.751;0.872;0.25;6.81e-06;5.34e-05; 52640;8;21;0.0265;0.028;48;0.00166;0.991;0.00167;0.693;0.0808;4.12;0.98;0.0248;0.000574;0.0292; 25520;0;3;0.0209;0.0214;56;0.000572;0.848;0.000674;0.698;0.0321;1.82;0.982;0.0117;0.00066;0.0373; 41840;0;2;0.0225;0.0213;53;9.71;7.87;6.4;  0%;  0%;  0%;7.3;5.96;9.76;  0%;  0%;  0%;4.53;5.03;2.85;  0%;  0%;  0%;3;2.99;3.81;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.241;7.33;0.00769;92.4;0;28.8;0;0;0;0.0966;11.6;0.0217;88.3;0;32.5;0;0;0;49.9;48.6;30.9;30.5;6.35 ;5.9 ;5.74 ;5.31 ;
2018-01-24;14:22:58.019;0.0812;0.458;0.177;0.714;0.419;23.5;0.982;0.0382;1.49e-05;0.000832;0.12;0.119;2.82e+04;6.16e+04;2.13e+03;0.915;22.9;0.162;4.06;85.2;24.8;32.9;0.396;41.9;0;0;0;0;0;165;24.6;0.162;0.456;0.356;0.714;0.147;11.7;0.987;0.0403;1.05e-05;0.000834; 51680;9;26;0.0321;0.031;47;0.16;0.453;0.354;0.714;0.111;0.808;0.863;0.251;7.96e-06;5.82e-05; 51360;5;29;0.0293;0.0308;48;0.00195;1.04;0.00188;0.714;0.0951;5.34;0.982;0.0213;0.000558;0.0314; 25600;0;1;0.0277;0.0283;56;0.00163;1.17;0.0014;0.714;0.0663;5.63;0.988;0.00959;0.000466;0.0396; 41680;0;1;0.0306;0.0293;54;12;9.27;9.23;  0%;  0%;  0%;8.05;7.01;11.2;  0%;  0%;  0%;5.07;5.71;3.83;  0%;  0%;  0%;4.05;3.74;6.09;  0%;  0%;  0%;49.9;50.1;0;0;0;0;0;0;0;49.6;50.4;0;0;0;0;0;0;0;0.263;9.15;0.00316;90.6;0;0;0;0;0;0.195;22.1;1.57;76.1;0;0;0;0;0;51.1;49.8;31.7;32.5;6.57 ;6.11 ;6.17 ;5.76 ;
