System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:23:50.744;0.262;1.77;0.148;0.714;39.5;81.1;0.513;0.787;0.000448;0.000919;2.98;1.94;8.82e+04;4.98e+04;2.1e+03;3.54;88.6;0.524;13.1;4.48e+03;20.7;29.6;0.0355;49.6;0;3.88;0;0;0;167;34.7;0.522;1.77;0.294;0.714;19.1;39.7;0.518;0.787;0.000436;0.000904; 41920;374;1089;0.825;0.542;46;0.524;1.78;0.295;0.714;20.1;32.6;0.382;0.825;0.000457;0.000739; 50480;356;1174;0.779;0.509;48;0.00157;0.922;0.00171;0.714;0.13;4.09;0.968;0.0219;0.000981;0.0309; 25440;0;0;0.69;0.444;55;0.00143;1.02;0.0014;0.714;0.102;4.71;0.978;0.0109;0.000847;0.0392; 24800;0;1;0.685;0.446;54;1.08e+03;215;215;  5%;  1%;  1%;218;218;1.05e+03;  1%;  1%;  5%;337;324;82.6;  1%;  1%;  0%;83.6;333;322;  0%;  1%;  1%;41.2;41.3;0.0555;17.4;0;15.5;0;0;0;41.3;42.9;0.0667;15.8;0;0;0;0;0;0.239;7.75;0.00323;92;0;0;0;0;0;0.197;26.5;0.0166;73.3;0;0;0;0;0;53;52.1;30.4;32;8.59 ;8.98 ;9.01 ;8.14 ;
2018-01-24;14:23:51.758;0.342;2.74;0.125;0.714;4.29;25.3;0.83;0.665;3.68e-05;0.000217;0.637;0.747;1.17e+05;4.26e+04;2.13e+03;5.48;137;0.685;17.1;954;17.5;26.6;0.182;55.7;0;4.73;0;0;0;158;28.8;0.671;2.74;0.245;0.714;1.96;11.6;0.831;0.688;3.43e-05;0.000203; 52160;124;228;0.214;0.242;46;0.695;2.76;0.252;0.714;2.13;6.44;0.669;0.791;3.59e-05;0.000109; 50160;88;314;0.129;0.162;48;0.00146;0.78;0.00187;0.714;0.135;3.85;0.965;0.0232;0.00109;0.0309; 24960;2;6;0.15;0.172;56;0.00106;0.792;0.00134;0.714;0.067;3.38;0.98;0.0139;0.00074;0.0373; 24560;0;0;0.145;0.171;54;195;78.8;76.4;  1%;  0%;  0%;86;83.3;225;  0%;  0%;  1%;46.3;45;15.9;  0%;  0%;  0%;16.4;42.2;43.9;  0%;  0%;  0%;34.3;35.5;0.443;29.7;0;9.83;0;0;0;35.2;36.8;0.262;27.7;0;9.1;0;0;0;0.262;5.75;0.00667;94;0;0;0;0;0;0.188;28.4;0.0165;71.4;0;0;0;0;0;48.2;47.3;30.3;32.1;7.56 ;7.19 ;7.37 ;6.68 ;
2018-01-24;14:23:52.773;0.553;3.08;0.179;0.714;0.882;12.2;0.928;0.934;4.68e-06;6.48e-05;0.236;0.348;1.88e+05;6.11e+04;2.13e+03;6.16;154;1.11;27.6;303;25.1;29.5;0.615;44.7;0;24.8;0;0;0;192;25.3;1.1;3.08;0.358;0.714;0.398;4.36;0.909;0.952;4.23e-06;4.63e-05; 52800;48;120;0.0588;0.0836;46;1.1;3.09;0.357;0.714;0.363;1.91;0.81;0.978;3.85e-06;2.03e-05; 50480;38;123;0.0573;0.0853;47;0.00169;0.995;0.0017;0.678;0.0924;4.23;0.978;0.025;0.000641;0.0293; 24880;2;0;0.0595;0.0889;55;0.00054;0.827;0.000653;0.687;0.0286;1.7;0.983;0.0128;0.000621;0.0371; 24800;1;1;0.0603;0.0898;54;51.1;34.8;33.4;  0%;  0%;  0%;34.7;32.1;50.7;  0%;  0%;  0%;15.5;16;3.79;  0%;  0%;  0%;3.97;12.6;14.7;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.251;2.97;0.00267;96.8;0;46.5;0;0;0;0.095;15.3;2.46;82.1;0;52.5;0;0;0;65.7;64.3;30.3;31.4;6.75 ;6.49 ;6.19 ;5.92 ;
2018-01-24;14:23:53.848;0.252;1.45;0.173;0.714;0.598;8.94;0.933;0.878;6.65e-06;9.94e-05;0.128;0.127;9e+04;6.2e+04;2.13e+03;2.9;72.6;0.503;12.6;96.6;24.3;35.6;0.00266;40.1;0;0;0;0;0;184;26.4;0.51;1.47;0.347;0.714;0.248;1.32;0.812;0.961;5.54e-06;2.95e-05; 51840;18;16;0.0369;0.0333;46;0.506;1.44;0.351;0.714;0.206;1.3;0.841;0.96;4.58e-06;2.88e-05; 51120;10;18;0.0311;0.0314;47;0.00164;0.949;0.00173;0.714;0.0933;4.3;0.978;0.0257;0.000629;0.029; 25040;0;1;0.0281;0.03;55;0.000852;0.906;0.00094;0.714;0.0511;2.02;0.975;0.0259;0.000664;0.0263; 24800;1;2;0.0323;0.0319;53;15.3;9.81;8.37;  0%;  0%;  0%;8.44;7.48;15.1;  0%;  0%;  0%;5.79;7.73;3.39;  0%;  0%;  0%;3.41;4.71;7.04;  0%;  0%;  0%;48.6;51.4;0;0;0;0;0;0;0;49.2;50.8;0;0;0;0;0;0;0;0.242;8.37;0.00423;91.4;0;0;0;0;0;0.132;32.7;0.00628;67.2;0;0;0;0;0;58.9;57.4;32.7;34.7;6.96 ;6.59 ;6.61 ;6.21 ;
2018-01-24;14:23:54.864;0.0843;0.454;0.186;0.714;0.363;17.7;0.979;0.0461;1.25e-05;0.000607;0.112;0.113;2.91e+04;6.41e+04;2.26e+03;0.908;22.7;0.169;4.22;74;26;32.3;0.00171;41.7;0;0;0;0;0;161;24.2;0.168;0.454;0.37;0.714;0.129;10.3;0.988;0.0425;8.75e-06;0.000701; 52160;11;18;0.0299;0.0295;46;0.163;0.451;0.362;0.714;0.111;0.783;0.858;0.25;7.83e-06;5.53e-05; 51360;8;27;0.0276;0.0287;48;0.00169;0.984;0.00172;0.714;0.0867;4.24;0.98;0.0248;0.0006;0.0293; 25120;0;1;0.0261;0.0273;56;0.000717;0.966;0.000742;0.714;0.036;2.32;0.984;0.012;0.000589;0.0379; 25040;0;1;0.0286;0.0278;54;10.3;7.82;6.65;  0%;  0%;  0%;8.43;6.65;10.6;  0%;  0%;  0%;5.19;5.09;2.77;  0%;  0%;  0%;2.96;3.29;4.18;  0%;  0%;  0%;51.8;48.2;0;0;0;0;0;0;0;50.7;49.3;0;0;0;0;0;0;0;0.241;5.84;0.00316;93.9;0;0;0;0;0;0.104;25.3;0.00375;74.6;0;0;0;0;0;50.1;48.7;30.5;32;6.48 ;6.04 ;6.05 ;5.64 ;
2018-01-24;14:23:55.877;0.084;0.465;0.181;0.714;0.443;21.9;0.98;0.0408;1.55e-05;0.000766;0.112;0.105;2.86e+04;6.15e+04;2.13e+03;0.93;23.3;0.168;4.2;90.4;25.3;30.1;0.0032;44.6;0;18.4;0;0;0;160;23.9;0.168;0.464;0.361;0.714;0.127;10.4;0.988;0.0415;8.9e-06;0.000728; 51440;14;21;0.033;0.0301;46;0.165;0.461;0.358;0.714;0.143;1.47;0.903;0.172;1.02e-05;0.000104; 50320;11;23;0.0313;0.0297;48;0.00213;0.933;0.00228;0.693;0.111;5.66;0.98;0.0216;0.000611;0.0313; 25120;0;2;0.0227;0.0222;56;0.00135;0.914;0.00148;0.71;0.0628;4.41;0.986;0.0123;0.000545;0.0383; 24800;0;1;0.0249;0.0226;54;11.7;8.47;7.55;  0%;  0%;  0%;9.55;7.54;13.7;  0%;  0%;  0%;6.22;7.08;3.86;  0%;  0%;  0%;4.03;4.15;6.57;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.329;3.77;0.0026;95.9;0;34.7;0;0;0;0.209;17;0.0102;82.8;0;39;0;0;0;49.9;48.5;30.3;31.1;6.49 ;6.1 ;5.88 ;5.41 ;
2018-01-24;14:23:56.890;0.0849;0.472;0.18;0.714;0.314;18.5;0.983;0.0454;1.09e-05;0.00064;0.097;0.1;2.89e+04;6.12e+04;2.13e+03;0.944;23.6;0.17;4.25;70.7;25.2;29.4;0.00338;45.4;0;20.3;0;0;0;160;23.5;0.17;0.472;0.36;0.714;0.11;10.8;0.99;0.0428;7.62e-06;0.000744; 53280;18;15;0.0285;0.0286;46;0.167;0.469;0.357;0.714;0.0928;0.763;0.878;0.259;6.52e-06;5.36e-05; 49120;3;25;0.0269;0.0286;48;0.00163;0.992;0.00164;0.685;0.0719;4.07;0.982;0.0245;0.000518;0.0294; 25040;0;2;0.02;0.0215;55;0.000885;1.04;0.000849;0.707;0.0391;2.91;0.987;0.0107;0.000519;0.0386; 25120;0;1;0.0216;0.0214;54;10.3;7.73;7.11;  0%;  0%;  0%;7.35;6.31;10.2;  0%;  0%;  0%;4.35;4.7;2.6;  0%;  0%;  0%;2.79;3.04;4.21;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.24;3.8;0.00286;96;0;38.4;0;0;0;0.12;14.2;0.0107;85.6;0;43;0;0;0;50;48.6;30.4;30.7;6.46 ;6.02 ;5.72 ;5.27 ;
2018-01-24;14:23:57.902;0.0815;0.453;0.18;0.714;0.36;18.2;0.98;0.0467;1.3e-05;0.000656;0.117;0.121;2.77e+04;6.12e+04;2.13e+03;0.906;22.6;0.163;4.08;80.5;25.2;33.9;0.000691;40.9;0;0;0;0;0;161;24.1;0.163;0.453;0.36;0.714;0.125;9.99;0.987;0.0453;9.04e-06;0.00072; 52560;15;20;0.0303;0.0303;47;0.16;0.449;0.357;0.714;0.111;0.815;0.864;0.254;8.14e-06;5.97e-05; 49920;7;21;0.0287;0.0306;48;0.00176;0.981;0.0018;0.714;0.0868;4.49;0.981;0.0234;0.00058;0.0299; 25200;0;1;0.0276;0.0296;55;0.000888;1.05;0.000848;0.714;0.037;2.9;0.987;0.0113;0.00049;0.0385; 24880;0;0;0.03;0.0302;54;11.9;9.01;8.01;  0%;  0%;  0%;8.58;6.97;11.6;  0%;  0%;  0%;5.24;5.59;2.77;  0%;  0%;  0%;2.92;3.37;4.56;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.251;11.2;0.00152;88.6;0;0;0;0;0;0.119;24.8;0.00124;75;0;0;0;0;0;49.8;48.5;31.2;31.8;6.47 ;6 ;5.98 ;5.62 ;
2018-01-24;14:23:58.915;0.0833;0.463;0.18;0.714;0.344;19.3;0.982;0.0441;1.21e-05;0.000679;0.113;0.116;2.84e+04;6.12e+04;2.13e+03;0.926;23.2;0.167;4.17;74.9;25.2;34.7;0.000555;40.1;0;0;0;0;0;162;24.1;0.167;0.463;0.361;0.714;0.123;11.5;0.989;0.041;8.66e-06;0.000812; 53200;15;21;0.029;0.029;46;0.164;0.459;0.357;0.714;0.103;0.773;0.866;0.25;7.42e-06;5.55e-05; 48640;8;21;0.0281;0.0299;48;0.00162;0.971;0.00167;0.714;0.0808;4.04;0.98;0.0249;0.000585;0.0293; 25200;0;1;0.0266;0.0284;56;0.000885;1.06;0.000837;0.714;0.0367;2.9;0.987;0.0115;0.000487;0.0386; 25120;0;4;0.0289;0.0289;54;11.2;8.69;7.94;  0%;  0%;  0%;7.7;6.08;10.4;  0%;  0%;  0%;4.75;5.31;2.57;  0%;  0%;  0%;2.7;3.06;4.49;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.234;10.8;0.000678;89;0;0;0;0;0;0.117;28.3;0.00154;71.6;0;0;0;0;0;49.9;48.5;31.1;32;6.45 ;5.97 ;6.01 ;5.63 ;
2018-01-24;14:23:59.928;0.0835;0.463;0.18;0.714;0.429;21.8;0.98;0.0398;1.51e-05;0.000765;0.105;0.105;2.84e+04;6.13e+04;2.13e+03;0.927;23.2;0.167;4.18;84.2;25.2;30.1;0.00174;44.7;0;18.5;0;0;0;160;23.4;0.167;0.463;0.36;0.714;0.14;10.4;0.987;0.043;9.91e-06;0.000735; 52800;16;21;0.0307;0.0296;47;0.164;0.459;0.357;0.714;0.125;1.31;0.905;0.163;8.95e-06;9.38e-05; 47280;2;28;0.03;0.0305;48;0.00212;0.937;0.00227;0.691;0.106;5.64;0.981;0.0214;0.000585;0.0312; 25120;0;0;0.0208;0.0225;55;0.00134;0.919;0.00146;0.711;0.0577;4.38;0.987;0.0119;0.000505;0.0384; 24800;1;1;0.023;0.0225;54;11.8;9.53;8.42;  0%;  0%;  0%;8.36;6.74;10.9;  0%;  0%;  0%;5.61;6.19;3.78;  0%;  0%;  0%;3.88;3.76;5.16;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.328;3.77;0.00228;95.9;0;34.8;0;0;0;0.206;16.9;0.00468;82.9;0;39.1;0;0;0;49.9;48.6;30.3;31.1;6.49 ;5.94 ;5.7 ;5.27 ;
