System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;14:11:55.076;0.345;1.69;0.204;0.81;37.6;75.6;0.503;0.858;0.00032;0.000643;4.54;5.53;1.18e+05;6.95e+04;2.13e+03;3.38;84.5;0.691;17.3;7.56e+03;25.2;35.6;0.00243;39.1;0;0;0;0;0;199;41.2;0.681;1.68;0.405;0.81;20.1;28.9;0.306;0.885;0.000347;0.000499; 51600;946;2852;1.01;1.28;45;0.696;1.7;0.409;0.81;17.3;33.6;0.487;0.875;0.000292;0.000568; 52880;855;2466;1.06;1.36;47;0.00299;1.1;0.00271;0.81;0.145;8.78;0.983;0.0168;0.00057;0.0345; 19440;0;2;1.23;1.44;55;0.00128;1.13;0.00113;0.81;0.0818;4.25;0.981;0.0121;0.000753;0.0391; 32000;0;0;1.24;1.45;53;1.25e+03;721;721;  6%;  3%;  3%;627;626;1.23e+03;  3%;  3%;  6%;488;560;142;  2%;  2%;  0%;142;489;564;  0%;  2%;  2%;50;50;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.335;13;0.00946;86.6;0;0;0;0;0;0.14;30.1;0.000246;69.8;0;0;0;0;0;65.6;64.7;33.6;34.7;10.1 ;10.4 ;11 ;9.66 ;
2018-01-24;14:11:56.095;0.213;1.76;0.121;0.809;34.3;57;0.399;0.787;0.000471;0.000783;2.64;1.8;7.27e+04;4.12e+04;2.13e+03;3.53;88.2;0.426;10.6;3.57e+03;14.9;22.7;0.123;62.3;0;22.1;0;0;0;169;33.9;0.43;1.76;0.244;0.81;18.6;24.9;0.255;0.809;0.000506;0.000679; 51760;354;1056;0.723;0.424;45;0.419;1.77;0.236;0.809;15.5;24.4;0.365;0.812;0.000434;0.000683; 50320;287;837;0.682;0.431;47;0.00168;0.989;0.0017;0.786;0.0935;4.78;0.98;0.0193;0.000651;0.0333; 19040;0;2;0.618;0.471;55;0.000868;0.953;0.000911;0.782;0.062;2.84;0.978;0.0129;0.000836;0.0383; 32320;0;1;0.616;0.473;53;760;168;167;  3%;  0%;  0%;140;139;797;  0%;  0%;  4%;296;353;50.8;  1%;  1%;  0%;50.8;294;351;  0%;  1%;  1%;30.1;30.8;0.192;38.9;0;1.78;0;0;0;29.2;29.5;0.276;41;0;36.6;0;0;0;0.216;6.17;0.0158;93.6;0;24.5;0;0;0;0.116;24.4;0.00674;75.5;0;25.7;0;0;0;52.7;50.4;32.6;33.8;8.67 ;8.5 ;8.7 ;8.04 ;
2018-01-24;14:11:57.108;0.54;2.87;0.188;0.809;4.07;25.2;0.838;0.679;2.21e-05;0.000137;0.595;0.681;1.84e+05;6.41e+04;2.14e+03;5.74;143;1.08;27;929;23.3;27.3;0.0909;49.4;0;24.2;0;0;0;184;26.3;1.07;2.89;0.371;0.809;1.79;5.14;0.651;0.836;1.96e-05;5.63e-05; 49440;143;251;0.156;0.221;45;1.08;2.88;0.377;0.809;2.01;7.48;0.731;0.78;2.18e-05;8.1e-05; 49600;77;311;0.126;0.154;47;0.00222;0.983;0.00226;0.762;0.174;6.01;0.971;0.0223;0.000919;0.0318; 19360;2;4;0.131;0.151;55;0.00207;0.824;0.00251;0.771;0.0907;6.51;0.986;0.0159;0.000516;0.037; 32320;0;5;0.182;0.154;53;179;80.1;84.4;  0%;  0%;  0%;77.3;84.3;202;  0%;  0%;  1%;43.1;40.4;16.9;  0%;  0%;  0%;17;54.2;50.8;  0%;  0%;  0%;45.8;47.1;0.215;6.86;0;0.583;0;0;0;46.6;47.5;0.129;5.76;0;0.457;0;0;0;0.297;6.73;0.012;93;0;50.6;0;0;0;0.325;7.62;0.00762;92.1;0;45.2;0;0;0;60.4;59.2;32.5;32;7.24 ;6.76 ;6.43 ;5.82 ;
2018-01-24;14:11:58.120;0.629;3.08;0.204;0.81;0.899;24.5;0.963;0.887;4.2e-06;0.000115;0.25;0.359;2.14e+05;6.95e+04;2.13e+03;6.15;154;1.26;31.4;300;25.2;35.3;0.00353;39.5;0;2.29;0;0;0;214;25.1;1.26;3.11;0.405;0.81;0.221;1.09;0.797;0.989;2.07e-06;1.02e-05; 53040;75;63;0.0661;0.0897;44;1.25;3.06;0.409;0.81;0.486;11.4;0.957;0.895;4.56e-06;0.000107; 49920;65;150;0.0529;0.0759;46;0.0028;1.1;0.00254;0.808;0.128;8.13;0.984;0.0174;0.000537;0.0341; 19280;0;3;0.0657;0.0965;55;0.00115;1.15;0.001;0.796;0.0642;3.89;0.983;0.00986;0.000655;0.0396; 32400;0;1;0.0657;0.0968;53;42.6;22.8;21.8;  0%;  0%;  0%;46.5;44;55.1;  0%;  0%;  0%;21.3;10.3;4.24;  0%;  0%;  0%;4.26;18.2;9.34;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.315;8.74;0.0141;90.9;0;0.0499;0;0;0;0.126;32.9;0;67;0;9.1;0;0;0;74.5;72.9;32.6;34.4;6.78 ;6.26 ;6.2 ;5.83 ;
2018-01-24;14:11:59.132;0.434;2.12;0.204;0.81;0.723;24.1;0.97;0.831;4.9e-06;0.000163;0.128;0.121;1.48e+05;6.95e+04;2.13e+03;4.25;106;0.868;21.7;103;25.2;37.5;0.00378;37.3;0;0;0;0;0;200;24.5;0.865;2.14;0.405;0.81;0.177;1.09;0.838;0.982;2.41e-06;1.49e-05; 53280;56;15;0.0384;0.0322;45;0.867;2.12;0.409;0.81;0.334;11.1;0.97;0.844;4.54e-06;0.000151; 50160;11;35;0.0331;0.0305;46;0.00274;1.1;0.0025;0.81;0.129;7.85;0.984;0.0181;0.000554;0.0337; 19440;0;4;0.0283;0.0288;55;0.0012;1.06;0.00113;0.81;0.0821;4;0.979;0.0121;0.000804;0.0391; 32240;1;0;0.0282;0.0293;53;15.1;7.11;6.05;  0%;  0%;  0%;12.6;10.5;15.1;  0%;  0%;  0%;10.2;5.66;4.21;  0%;  0%;  0%;4.21;7.14;4.73;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.309;7.89;0.0142;91.8;0;0;0;0;0;0.14;42.5;0.000897;57.4;0;0;0;0;0;66.9;65.6;32.4;35.3;6.52 ;6.14 ;6.13 ;5.72 ;
2018-01-24;14:12:00.144;0.0935;0.457;0.204;0.809;0.477;24.8;0.981;0.034;1.5e-05;0.00078;0.107;0.101;3.18e+04;6.95e+04;2.12e+03;0.915;22.9;0.187;4.67;88.6;25.2;29.2;0.00343;45.5;0;22.1;0;0;0;173;23.5;0.183;0.452;0.405;0.81;0.0972;0.774;0.874;0.181;6.24e-06;4.97e-05; 53840;53;19;0.0343;0.0309;46;0.186;0.456;0.409;0.81;0.171;10.9;0.984;0.0434;1.08e-05;0.000691; 51280;8;37;0.0311;0.03;47;0.00304;1.12;0.00271;0.767;0.137;8.87;0.985;0.0173;0.000529;0.0344; 19680;0;2;0.0174;0.0172;55;0.00125;1.12;0.00112;0.798;0.0727;4.2;0.983;0.0114;0.000683;0.0394; 32560;0;0;0.0237;0.023;53;10.7;7.76;5.87;  0%;  0%;  0%;11.9;9.2;11.9;  0%;  0%;  0%;8.22;5.29;4.39;  0%;  0%;  0%;4.48;5.08;3.94;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.354;2.38;0.0134;97.3;0;60.7;0;0;0;0.14;15.1;0.000334;84.8;0;27.8;0;0;0;54.7;53.5;31.9;32.5;6.49 ;5.9 ;5.63 ;5.48 ;
2018-01-24;14:12:01.155;0.093;0.455;0.204;0.809;0.436;25;0.983;0.0324;1.38e-05;0.00079;0.108;0.102;3.16e+04;6.95e+04;2.13e+03;0.91;22.8;0.186;4.65;80;25.3;32.6;0.00284;42.2;0;13.1;0;0;0;174;23.6;0.182;0.45;0.405;0.81;0.0845;0.724;0.883;0.176;5.46e-06;4.67e-05; 52960;49;14;0.0332;0.0295;45;0.185;0.454;0.409;0.81;0.155;11.1;0.986;0.0416;9.82e-06;0.000706; 53840;7;27;0.0297;0.0284;47;0.00304;1.13;0.00269;0.767;0.128;8.93;0.986;0.0169;0.000495;0.0346; 19600;0;3;0.0186;0.0185;55;0.00125;1.15;0.00109;0.801;0.0683;4.2;0.984;0.0107;0.000643;0.0396; 32000;0;1;0.0262;0.0254;53;9.28;6.46;4.81;  0%;  0%;  0%;11.2;8.81;10.8;  0%;  0%;  0%;7.92;4.54;4.04;  0%;  0%;  0%;4.12;4.76;3.28;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.352;3.07;0.0113;96.6;0;46.6;0;0;0;0.135;27.7;0;72.1;0;5.62;0;0;0;54.6;53.5;31.9;33.7;6.47 ;5.9 ;5.73 ;5.5 ;
2018-01-24;14:12:02.166;0.0953;0.466;0.204;0.809;0.459;25.6;0.982;0.032;1.42e-05;0.000789;0.109;0.103;3.24e+04;6.95e+04;2.12e+03;0.933;23.3;0.191;4.77;79.8;25.3;34.8;0.00283;39.9;0;11.4;0;0;0;175;23.6;0.187;0.462;0.405;0.81;0.0914;0.739;0.876;0.182;5.75e-06;4.65e-05; 52480;55;14;0.0327;0.0289;46;0.19;0.465;0.409;0.81;0.158;11;0.986;0.0414;9.82e-06;0.00068; 52800;8;22;0.0309;0.0291;47;0.00319;1.15;0.00277;0.765;0.136;9.45;0.986;0.0163;0.000502;0.0349; 19600;0;3;0.0186;0.0184;55;0.00131;1.17;0.00112;0.81;0.0733;4.39;0.983;0.0111;0.000659;0.0395; 32080;0;4;0.0271;0.0263;53;9.78;7.33;5.64;  0%;  0%;  0%;10.2;7.61;9.85;  0%;  0%;  0%;7.91;5.03;4.09;  0%;  0%;  0%;4.28;4.58;3.54;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.362;3.15;0.0113;96.5;0;45.5;0;0;0;0.138;36.6;0;63.3;0;0;0;0;0;54.7;53.5;32;34.7;6.5 ;5.92 ;5.7 ;5.53 ;
2018-01-24;14:12:03.178;0.0964;0.472;0.204;0.809;0.455;25.9;0.982;0.0312;1.39e-05;0.000789;0.107;0.0982;3.28e+04;6.95e+04;2.12e+03;0.943;23.6;0.193;4.82;74.9;25.3;32.5;0.00223;42.2;0;11.1;0;0;0;174;23.7;0.189;0.466;0.405;0.81;0.0846;0.717;0.882;0.161;5.27e-06;4.47e-05; 51440;53;6;0.0333;0.0286;46;0.192;0.47;0.409;0.81;0.161;11.5;0.986;0.0391;9.86e-06;0.000702; 53200;9;34;0.0295;0.0272;47;0.00317;1.14;0.00279;0.77;0.136;9.43;0.986;0.0161;0.000504;0.035; 19600;0;2;0.0177;0.0174;55;0.00151;1.22;0.00124;0.81;0.0742;4.25;0.983;0.0173;0.000577;0.0331; 31840;1;3;0.0261;0.025;53;8.2;5.43;3.83;  0%;  0%;  0%;11;8.23;9.84;  0%;  0%;  0%;8.14;4.42;3.97;  0%;  0%;  0%;4.07;4.78;2.97;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.363;3.2;0.0089;96.4;0;44.5;0;0;0;0.153;27.5;0;72.3;0;0;0;0;0;54.7;53.6;31.9;33.9;6.49 ;5.96 ;5.64 ;5.59 ;
2018-01-24;14:12:04.190;0.0935;0.457;0.205;0.809;0.52;29.2;0.982;0.0298;1.64e-05;0.000918;0.104;0.0952;3.18e+04;6.96e+04;2.12e+03;0.913;22.8;0.187;4.68;87.7;25.3;27;0.00214;47.7;0;23.7;0;0;0;172;23.4;0.183;0.451;0.405;0.81;0.102;1.31;0.922;0.115;6.59e-06;8.42e-05; 51840;49;17;0.0342;0.0296;45;0.186;0.455;0.409;0.81;0.174;12;0.986;0.0394;1.1e-05;0.000761; 52800;8;27;0.0316;0.0293;47;0.00348;1.06;0.0033;0.762;0.157;10.3;0.985;0.0162;0.00053;0.0349; 19760;0;6;0.0153;0.0148;55;0.00165;0.98;0.00169;0.803;0.0864;5.48;0.984;0.0115;0.000615;0.039; 32000;1;0;0.0228;0.0216;53;10.2;7.27;5.55;  0%;  0%;  0%;11.8;8.89;10.9;  0%;  0%;  0%;8.74;5.38;4.84;  0%;  0%;  0%;4.93;5.31;3.81;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.433;1.96;0.00855;97.6;0;66.7;0;0;0;0.21;6.46;0;93.3;0;28.2;0;0;0;54.5;53.5;31.9;31.5;6.54 ;6.09 ;5.52 ;5.29 ;
