System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:51:23.310;0.406;1.61;0.252;1;36.7;79.9;0.541;0.838;0.000266;0.000579;2.82;1.97;1.38e+05;8.55e+04;2.12e+03;3.23;80.7;0.813;20.3;4.53e+03;25.2;33.2;0.00663;41.6;0;0;0;0;0;322;42.5;0.816;1.62;0.503;1;18;36;0.501;0.852;0.00026;0.000521; 52960;471;1156;0.721;0.547;39;0.805;1.61;0.5;1;18.4;28.9;0.362;0.877;0.00027;0.000423; 54400;418;1297;0.705;0.536;39;0.00265;1.2;0.00221;1;0.141;7.91;0.982;0.0161;0.000629;0.0352; 16400;0;4;0.696;0.441;50;0.00226;1.33;0.00169;1;0.0993;7;0.986;0.0134;0.000519;0.0366; 19040;1;6;0.699;0.446;49;847;267;270;  4%;  1%;  1%;273;271;841;  1%;  1%;  4%;384;376;121;  1%;  1%;  0%;122;380;378;  0%;  1%;  1%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.221;19.3;0.0183;80.5;0;0;0;0;0;0.169;14;0.00821;85.8;0;0;0;0;0;103;103;61.1;54.4;10.8 ;10.6 ;10.9 ;10.1 ;
2018-01-24;13:51:24.405;0.416;2.22;0.187;1;25.2;56.6;0.555;0.824;0.000167;0.000375;2.03;1.43;1.51e+05;6.81e+04;2.13e+03;4.44;111;0.832;20.8;2.77e+03;18.8;27.7;0.0833;53.4;0;14.9;0;0;0;324;40.6;0.843;2.23;0.379;0.999;12.4;25;0.506;0.844;0.000165;0.000335; 49600;292;766;0.557;0.366;40;0.841;2.22;0.379;1;12.6;21.7;0.417;0.856;0.000166;0.000285; 49120;240;753;0.499;0.343;39;0.00173;1.05;0.00165;0.992;0.138;5.35;0.974;0.018;0.000865;0.0336; 15520;0;4;0.495;0.361;50;0.00124;1.09;0.00113;0.937;0.0804;4.58;0.982;0.0108;0.000706;0.0402; 18640;0;2;0.475;0.355;50;597;142;141;  2%;  0%;  0%;133;129;570;  0%;  0%;  2%;240;247;48.7;  1%;  1%;  0%;49.4;234;241;  0%;  1%;  1%;37.9;43;0.169;18.9;0;13.6;0;0;0;37.9;42;0.129;20;0;0;0;0;0;0.166;14.9;0.0257;84.9;0;1.71;0;0;0;0.121;11.9;0.0139;88;0;44;0;0;0;101;101;65.1;57;10.4 ;10.8 ;10.7 ;8.67 ;
2018-01-24;13:51:25.415;0.777;2.97;0.262;1;2.58;22;0.883;0.867;9.65e-06;8.22e-05;0.432;0.548;2.67e+05;9.01e+04;2.29e+03;5.93;148;1.55;38.8;655;26.2;36.9;0.0211;36.9;0;0;0;0;0;328;34.4;1.54;2.96;0.521;1;1.21;9.07;0.867;0.887;8.85e-06;6.66e-05; 51920;119;173;0.165;0.196;38;1.51;2.98;0.509;1;1.19;4.52;0.737;0.941;9.07e-06;3.45e-05; 52320;59;194;0.0789;0.113;38;0.00182;1.06;0.00173;1;0.136;4.95;0.972;0.0206;0.00088;0.032; 16080;0;3;0.0923;0.119;50;0.00102;1.15;0.000886;1;0.0519;3.43;0.985;0.0116;0.000601;0.0397; 19040;1;1;0.0959;0.12;49;131;62.4;60.1;  0%;  0%;  0%;57.5;54.1;146;  0%;  0%;  0%;28.4;33.4;11.2;  0%;  0%;  0%;11.7;24.9;33.1;  0%;  0%;  0%;52.1;47.9;0.061;0.00265;0;0;0;0;0;50.9;49;0.00824;0.0935;0;0;0;0;0;0.173;25.3;0.00846;74.5;0;0;0;0;0;0.0886;24.7;0.0055;75.2;0;0;0;0;0;105;105;61.8;55.6;9.04 ;8.64 ;8.53 ;8.18 ;
2018-01-24;13:51:26.425;0.775;3.08;0.252;1;1.11;25.7;0.957;0.9;4.23e-06;9.77e-05;0.264;0.372;2.63e+05;8.54e+04;2.12e+03;6.16;154;1.55;38.8;330;25.2;36.3;0.00498;38.5;0;0;0;0;0;347;35.3;1.55;3.07;0.503;1;0.468;10;0.953;0.921;3.57e-06;7.62e-05; 50960;45;110;0.0685;0.089;37;1.55;3.09;0.5;1;0.442;2.1;0.79;0.982;3.36e-06;1.6e-05; 49680;49;138;0.0548;0.0823;37;0.00247;1.21;0.00204;1;0.126;7.28;0.983;0.0171;0.000604;0.0348; 16000;0;4;0.0697;0.0999;50;0.00182;1.3;0.0014;1;0.0764;6.32;0.988;0.0104;0.000495;0.0409; 18880;1;0;0.0711;0.101;50;53.1;35.3;34.8;  0%;  0%;  0%;37.8;36;55;  0%;  0%;  0%;17.7;18.6;4.5;  0%;  0%;  0%;4.68;15.1;17.5;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.204;27.7;0.0119;72.1;0;0;0;0;0;0.14;17.8;0.00804;82;0;0;0;0;0;115;115;62.1;54.7;9.13 ;8.83 ;8.83 ;8.5 ;
2018-01-24;13:51:27.436;0.133;0.526;0.252;1;0.626;26.5;0.976;0.19;1.39e-05;0.000589;0.135;0.132;4.5e+04;8.55e+04;2.12e+03;1.05;26.3;0.265;6.63;115;25.2;33.3;0.00242;41.5;0;0;0;0;0;293;32;0.265;0.527;0.503;1;0.23;9.71;0.976;0.25;1.02e-05;0.000432; 51360;19;22;0.0403;0.0358;39;0.261;0.521;0.5;1;0.178;1.66;0.893;0.625;8.04e-06;7.52e-05; 51040;9;28;0.0325;0.0331;39;0.00274;1.14;0.00241;1;0.133;8.18;0.984;0.0167;0.000572;0.0352; 16320;0;3;0.0298;0.0308;50;0.00204;1.17;0.00174;1;0.0851;6.97;0.988;0.0111;0.000492;0.0403; 18960;0;4;0.0326;0.0322;50;16.9;13;11.6;  0%;  0%;  0%;10.4;8.83;16.2;  0%;  0%;  0%;6.52;9.75;4.59;  0%;  0%;  0%;4.67;4.75;7.83;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.241;15.9;0.00517;83.8;0;0;0;0;0;0.174;17.6;0.00452;82.2;0;0;0;0;0;89;89.3;60.2;54.8;8.48 ;8.05 ;7.95 ;7.48 ;
2018-01-24;13:51:28.446;0.117;0.467;0.252;1;0.478;24.6;0.981;0.0367;1.2e-05;0.000617;0.118;0.112;3.99e+04;8.55e+04;2.12e+03;0.933;23.3;0.235;5.87;97.2;25.2;33.2;0.00705;41.6;0;12;0;0;0;290;30.2;0.234;0.465;0.504;1;0.179;10.4;0.983;0.0428;8.99e-06;0.000525; 52400;15;16;0.0384;0.0335;39;0.231;0.463;0.5;1;0.11;0.941;0.883;0.233;5.59e-06;4.79e-05; 52640;8;26;0.0294;0.0296;39;0.0024;1.19;0.00201;1;0.113;7.04;0.984;0.017;0.000556;0.0345; 16160;0;3;0.028;0.0283;50;0.00179;1.28;0.0014;0.961;0.0762;6.21;0.988;0.0103;0.0005;0.0408; 18880;0;1;0.0227;0.0209;49;12.2;11;10.4;  0%;  0%;  0%;8.61;7.81;12.4;  0%;  0%;  0%;5.14;8.24;4.76;  0%;  0%;  0%;4.79;4.19;7.56;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.201;22.9;0.0183;76.9;0;0;0;0;0;0.146;10.2;0.00991;89.6;0;48;0;0;0;88.4;88.6;61.2;51.8;8.47 ;7.93 ;7.89 ;5.89 ;
2018-01-24;13:51:29.456;0.119;0.471;0.252;1;0.563;27.9;0.98;0.034;1.4e-05;0.000692;0.124;0.118;4.03e+04;8.56e+04;2.12e+03;0.942;23.6;0.238;5.94;92.7;25.2;40.8;0.00434;34;0;0;0;0;0;296;31.7;0.236;0.469;0.504;1;0.195;10.8;0.982;0.0418;9.69e-06;0.00054; 52240;12;13;0.0378;0.033;39;0.234;0.467;0.5;1;0.11;0.959;0.885;0.23;5.54e-06;4.84e-05; 52560;7;20;0.029;0.0288;39;0.00265;1.2;0.00221;1;0.142;7.85;0.982;0.0168;0.000632;0.035; 16160;0;3;0.0275;0.0278;50;0.00241;1.27;0.00189;1;0.116;8.28;0.986;0.0107;0.000569;0.0405; 18880;0;3;0.03;0.0287;50;11.3;10.5;9.52;  0%;  0%;  0%;8.7;7.48;11.5;  0%;  0%;  0%;5.39;8.37;4.46;  0%;  0%;  0%;4.58;3.96;6.83;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.221;38.2;0.00691;61.6;0;0;0;0;0;0.189;25.3;0.0104;74.5;0;0;0;0;0;88.4;88.4;63.9;55.7;8.46 ;7.94 ;7.85 ;7.41 ;
2018-01-24;13:51:30.465;0.117;0.464;0.252;1;0.484;23.8;0.98;0.0368;1.22e-05;0.000602;0.119;0.117;3.96e+04;8.54e+04;2.12e+03;0.928;23.2;0.234;5.84;84.9;25.2;38.3;0.00783;36.5;0;0;0;0;0;295;31.7;0.233;0.462;0.503;1;0.167;8.91;0.981;0.0459;8.48e-06;0.000452; 51920;14;23;0.035;0.0317;39;0.23;0.46;0.5;1;0.109;0.94;0.884;0.23;5.58e-06;4.81e-05; 52160;8;25;0.0281;0.0289;39;0.00252;1.21;0.00209;1;0.126;7.46;0.983;0.0171;0.000589;0.0349; 16160;0;6;0.0269;0.0275;50;0.00189;1.28;0.00147;1;0.0813;6.53;0.988;0.0108;0.000506;0.0406; 18960;0;0;0.0293;0.0285;49;11.8;10.3;9.35;  0%;  0%;  0%;7.32;6.22;10.9;  0%;  0%;  0%;4.71;7.53;3.68;  0%;  0%;  0%;3.69;3.28;6.14;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.209;30.8;0.0161;69;0;0;0;0;0;0.147;22.9;0.0153;77;0;0;0;0;0;88.2;88.3;62.5;55.5;8.5 ;7.89 ;7.87 ;7.47 ;
2018-01-24;13:51:31.474;0.116;0.462;0.252;1;0.483;22.5;0.979;0.0392;1.23e-05;0.00057;0.124;0.122;3.94e+04;8.53e+04;2.12e+03;0.924;23.1;0.233;5.81;94.3;25.2;35.5;0.0115;39.4;0;1.05;0;0;0;293;32;0.232;0.461;0.503;1;0.178;8.81;0.98;0.0468;9.07e-06;0.000449; 50800;13;16;0.0375;0.034;40;0.229;0.458;0.5;1;0.112;0.95;0.882;0.238;5.75e-06;4.89e-05; 51200;3;30;0.0287;0.0296;39;0.00232;1.18;0.00197;0.992;0.118;6.72;0.982;0.018;0.000603;0.0342; 16320;0;2;0.0279;0.0284;50;0.00174;1.27;0.00137;0.979;0.0748;6.01;0.988;0.0105;0.000509;0.0408; 18880;0;1;0.0303;0.0295;50;11.9;10.3;9.02;  0%;  0%;  0%;9.43;8.29;13.1;  0%;  0%;  0%;5.5;8.24;3.97;  0%;  0%;  0%;4.05;4.02;6.56;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.198;20.1;0.0162;79.7;0;1.95;0;0;0;0.14;22.1;0.0297;77.7;0;2.24;0;0;0;88.2;88.4;60.8;55.3;8.61 ;8.03 ;7.86 ;7.49 ;
2018-01-24;13:51:32.485;0.116;0.461;0.251;1;0.459;21.6;0.979;0.0397;1.17e-05;0.000549;0.113;0.111;3.93e+04;8.54e+04;2.12e+03;0.922;23;0.232;5.79;88.2;25.1;31.8;0.00746;43.1;0;11.5;0;0;0;289;30.5;0.231;0.46;0.502;1;0.168;8.32;0.98;0.0489;8.58e-06;0.000425; 49760;12;17;0.0353;0.0324;40;0.229;0.457;0.5;1;0.11;0.919;0.881;0.24;5.65e-06;4.73e-05; 50960;12;15;0.0286;0.0298;39;0.0022;1.18;0.00187;1;0.111;6.39;0.983;0.0176;0.000594;0.0342; 16240;0;2;0.0271;0.0279;50;0.00172;1.3;0.00132;0.973;0.0704;5.96;0.988;0.00999;0.000483;0.0409; 18960;0;2;0.0216;0.0213;50;11.8;10.3;9.26;  0%;  0%;  0%;8.21;7.21;11.5;  0%;  0%;  0%;5.2;7.7;3.54;  0%;  0%;  0%;3.59;3.64;6.21;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.187;16.4;0.00378;83.4;0;0.0421;0;0;0;0.136;11.1;0.0261;88.8;0;45.9;0;0;0;88.4;88.4;60.2;52;8.52 ;7.88 ;7.82 ;6.31 ;
