System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:46:49.178;0.596;1.91;0.312;1.24;0.873;25.3;0.965;0.97;4.31e-06;0.000125;0.145;0.135;2.02e+05;1.06e+05;2.12e+03;3.83;95.7;1.19;29.8;132;25.2;44.9;0.00519;29.9;0;4.71;0;0;0;388;36.4;1.19;1.91;0.623;1.24;0.388;11.5;0.966;0.973;3.84e-06;0.000114; 52640;29;37;0.0409;0.0351;33;1.19;1.92;0.619;1.24;0.252;1.6;0.842;0.996;2.5e-06;1.58e-05; 53520;4;74;0.0379;0.0354;32;0.002;1.06;0.00188;1.21;0.13;5.62;0.977;0.0185;0.000765;0.0331;  8240;3;3;0.0332;0.0308;50;0.00195;1.11;0.00176;1.23;0.103;6.58;0.984;0.0096;0.000622;0.0398; 15840;0;1;0.0328;0.0335;49;22.6;15.5;15.3;  0%;  0%;  0%;8.15;6.35;18.1;  0%;  0%;  0%;7.53;11.4;4.99;  0%;  0%;  0%;5.41;5.07;11.3;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.156;37.3;0.00159;62.6;0;8.91;0;0;0;0.143;42.6;0.0192;57.2;0;9.94;0;0;0;131;132;64.7;60.7;9.45 ;9.44 ;8.97 ;8.58 ;
2018-01-24;13:46:50.187;0.674;2.62;0.258;1.24;14.7;46.4;0.684;0.792;6.42e-05;0.000203;1.51;1.49;2.28e+05;8.73e+04;2.12e+03;5.23;131;1.35;33.7;2.25e+03;20.8;47.2;0.0944;31.9;0;1.95;0;0;0;351;38.1;1.34;2.61;0.512;1.24;7.33;22.7;0.676;0.801;6.48e-05;0.0002; 45280;263;629;0.397;0.418;34;1.36;2.63;0.515;1.24;7.09;12.8;0.444;0.869;6.18e-05;0.000111; 48080;215;726;0.404;0.35;33;0.00179;1;0.00179;1.24;0.157;5.2;0.97;0.0173;0.00104;0.0342;  8000;3;3;0.365;0.365;49;0.00173;1.2;0.00144;1.24;0.0799;5.8;0.986;0.0108;0.000546;0.0396; 15760;0;4;0.346;0.36;49;451;157;150;  2%;  0%;  0%;156;150;487;  0%;  0%;  2%;162;161;34.2;  0%;  0%;  0%;35.3;154;155;  0%;  0%;  0%;41.3;42.4;0.213;16.1;0;7.81;0;0;0;41.6;47.8;0.145;10.4;0;0;0;0;0;0.144;45.2;0.00876;54.7;0;0;0;0;0;0.117;53.6;0.0107;46.3;0;0;0;0;0;109;112;67;63.3;9.67 ;9.66 ;9.71 ;9.09 ;
2018-01-24;13:46:51.194;0.966;3.1;0.311;1.24;0.559;24.2;0.977;0.922;1.71e-06;7.39e-05;0.109;0.1;3.27e+05;1.06e+05;2.12e+03;6.2;155;1.93;48.3;67.4;25.2;49.3;0.00804;25.5;0;0;0;0;0;428;34.1;1.93;3.09;0.623;1.24;0.265;11.4;0.977;0.929;1.62e-06;6.96e-05; 48960;13;16;0.03;0.0258;30;1.93;3.12;0.619;1.24;0.111;0.87;0.873;0.994;6.77e-07;5.32e-06; 48560;2;20;0.0285;0.0253;29;0.00201;1.15;0.00176;1.24;0.112;5.57;0.98;0.0237;0.000658;0.0327;  8160;3;2;0.0228;0.0235;49;0.00188;1.29;0.00146;1.24;0.0712;6.37;0.989;0.011;0.000447;0.04; 15520;1;0;0.0277;0.0256;49;8.4;8.41;8.15;  0%;  0%;  0%;4.04;3.31;7.52;  0%;  0%;  0%;3.89;7.39;2.86;  0%;  0%;  0%;3.3;2.7;7.48;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.142;48.5;0.0081;51.3;0;0;0;0;0;0.118;49.1;0.024;50.7;0;0;0;0;0;148;150;67.5;62.2;9.1 ;8.6 ;8.36 ;8.04 ;
2018-01-24;13:46:52.204;0.91;2.93;0.311;1.24;1.07;25.2;0.958;0.911;3.48e-06;8.19e-05;0.256;0.37;3.08e+05;1.05e+05;2.12e+03;5.85;146;1.82;45.5;328;25.1;34.7;0.00766;40.2;0;7.88;0;0;0;400;34.3;1.81;2.91;0.622;1.24;0.657;11.9;0.945;0.919;4.28e-06;7.73e-05; 50480;57;177;0.0539;0.0773;34;1.82;2.95;0.618;1.24;0.23;1.13;0.797;0.991;1.49e-06;7.34e-06; 55920;25;77;0.0671;0.0956;33;0.00209;0.996;0.0021;1.18;0.114;5.91;0.981;0.0193;0.00064;0.0333;  8000;2;2;0.0633;0.0945;50;0.00187;1.21;0.00154;1.24;0.0718;6.34;0.989;0.011;0.000453;0.04; 15840;1;6;0.0716;0.103;49;61.1;51.7;52.2;  0%;  0%;  0%;20.4;19.5;44.9;  0%;  0%;  0%;10.5;25.2;4.46;  0%;  0%;  0%;4.68;8.65;24.3;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.179;13.4;0.00555;86.4;0;31.5;0;0;0;0.124;25.7;0.0251;74.2;0;0;0;0;0;142;141;58.9;57.4;9.29 ;8.94 ;7.77 ;8.3 ;
2018-01-24;13:46:53.212;0.142;0.455;0.311;1.24;0.486;23.2;0.979;0.0351;1.01e-05;0.000483;0.118;0.115;4.8e+04;1.06e+05;2.12e+03;0.91;22.7;0.283;7.09;87.3;25.2;42.9;0.00893;32;0;3.2;0;0;0;332;31.7;0.283;0.454;0.623;1.24;0.194;10.3;0.981;0.0467;8.1e-06;0.00043; 49200;11;25;0.0318;0.0302;37;0.28;0.452;0.619;1.24;0.112;0.884;0.873;0.139;4.73e-06;3.72e-05; 56480;5;28;0.0316;0.0311;36;0.00206;1.06;0.00194;1.22;0.109;5.76;0.981;0.019;0.000625;0.033;  7840;2;3;0.0262;0.0263;50;0.00208;1.29;0.00162;1.23;0.0709;6.26;0.989;0.0136;0.000402;0.0354; 15840;0;1;0.0281;0.0271;49;12.8;11.7;10.7;  0%;  0%;  0%;6.71;5.02;10.1;  0%;  0%;  0%;5.36;7.94;3.58;  0%;  0%;  0%;3.49;3.17;6.67;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.159;35;0.00144;64.9;0;5.87;0;0;0;0.132;36.8;0.0343;63;0;6.95;0;0;0;104;105;64.5;59.6;8.67 ;8.01 ;7.81 ;7.25 ;
2018-01-24;13:46:54.220;0.145;0.466;0.311;1.24;0.409;22.7;0.982;0.0332;8.32e-06;0.000462;0.112;0.107;4.91e+04;1.05e+05;2.12e+03;0.931;23.3;0.29;7.25;71.8;25.2;45.9;0.00392;29;0;0;0;0;0;334;31.9;0.29;0.465;0.623;1.24;0.152;10.3;0.985;0.0448;6.22e-06;0.000419; 49520;15;26;0.0292;0.0275;37;0.287;0.463;0.619;1.24;0.0781;0.728;0.893;0.144;3.22e-06;3e-05; 56160;5;10;0.0294;0.0284;36;0.00198;1.1;0.00179;1.24;0.104;5.55;0.981;0.019;0.000624;0.0332;  8080;3;1;0.0253;0.025;50;0.00181;1.25;0.00145;1.24;0.0738;6.15;0.988;0.0108;0.000481;0.04; 15760;0;3;0.0282;0.0263;49;10.4;9.6;9.59;  0%;  0%;  0%;4.57;3.66;7.17;  0%;  0%;  0%;4;6.75;3.45;  0%;  0%;  0%;3.61;2.61;6.35;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.145;36.9;0.00119;63;0;0;0;0;0;0.118;47;0.0145;52.8;0;0;0;0;0;103;104;65.1;61.7;8.61 ;7.97 ;7.83 ;7.45 ;
2018-01-24;13:46:55.227;0.145;0.467;0.311;1.24;0.404;23.3;0.983;0.0339;8.21e-06;0.000475;0.112;0.108;4.92e+04;1.05e+05;2.12e+03;0.933;23.3;0.291;7.26;73;25.1;43.6;0.000993;31.2;0;0;0;0;0;332;31.7;0.29;0.466;0.623;1.24;0.151;10.8;0.986;0.0442;6.14e-06;0.000438; 50240;7;23;0.0293;0.0281;37;0.287;0.464;0.619;1.24;0.0829;0.717;0.884;0.163;3.41e-06;2.95e-05; 54400;3;24;0.029;0.028;36;0.00201;1.12;0.0018;1.24;0.0992;5.65;0.982;0.0191;0.000582;0.0332;  8080;2;2;0.0256;0.0254;50;0.00183;1.27;0.00145;1.24;0.0711;6.22;0.989;0.0114;0.000458;0.0401; 15760;0;1;0.0284;0.0266;49;9.74;8.76;8.54;  0%;  0%;  0%;6.05;5.01;8.21;  0%;  0%;  0%;4.54;6.27;3.4;  0%;  0%;  0%;3.54;3.03;5.95;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.145;32.3;0.00124;67.5;0;0;0;0;0;0.117;42.5;0.00273;57.4;0;0;0;0;0;103;104;63.9;60.7;8.59 ;7.9 ;7.82 ;7.38 ;
2018-01-24;13:46:56.228;0.145;0.466;0.311;1.24;0.448;24;0.981;0.0325;9.18e-06;0.000493;0.109;0.103;4.88e+04;1.05e+05;2.1e+03;0.932;23.3;0.29;7.26;77.3;25.2;31.2;0.0046;43.7;0;8.72;0;0;0;319;30.6;0.29;0.465;0.623;1.24;0.167;11.3;0.985;0.0424;6.86e-06;0.000463; 50080;10;22;0.0304;0.0282;37;0.287;0.463;0.619;1.24;0.086;0.771;0.889;0.147;3.57e-06;3.2e-05; 54000;3;20;0.0298;0.0282;37;0.00198;0.998;0.00199;1.28;0.116;5.53;0.979;0.0191;0.000695;0.0332;  8160;2;4;0.0257;0.0256;50;0.00192;1.17;0.00165;1.21;0.0789;6.47;0.988;0.0106;0.000488;0.0401; 15840;0;7;0.0229;0.0209;50;10.2;10.1;9.47;  0%;  0%;  0%;5.55;4.73;8.24;  0%;  0%;  0%;4.5;7.19;3.79;  0%;  0%;  0%;3.96;3.13;6.4;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.155;14.4;0.00105;85.4;0;0;0;0;0;0.136;10.5;0.0173;89.3;0;34.9;0;0;0;103;103;60.6;53.1;8.55 ;7.96 ;7.69 ;6.43 ;
2018-01-24;13:46:57.236;0.146;0.469;0.312;1.24;0.416;23.5;0.982;0.0334;8.41e-06;0.000474;0.112;0.109;4.95e+04;1.06e+05;2.12e+03;0.938;23.4;0.292;7.31;76.6;25.2;41.4;0.00585;33.4;0;2.1;0;0;0;330;31.4;0.292;0.468;0.623;1.24;0.16;11;0.985;0.0433;6.47e-06;0.000445; 52160;14;17;0.0301;0.0288;37;0.289;0.466;0.619;1.24;0.0823;0.718;0.885;0.162;3.37e-06;2.93e-05; 52640;2;23;0.0292;0.0286;36;0.00202;1.03;0.00196;1.23;0.104;5.68;0.982;0.0191;0.000605;0.0331;  8240;2;3;0.0252;0.0254;50;0.00179;1.19;0.0015;1.23;0.0704;6.06;0.988;0.0102;0.000465;0.04; 15760;0;7;0.0279;0.0264;50;10.3;9.97;9.33;  0%;  0%;  0%;5.72;5.04;8.74;  0%;  0%;  0%;4.39;6.85;3.44;  0%;  0%;  0%;3.54;3.06;6.15;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.159;28.6;0;71.2;0;3.81;0;0;0;0.122;37.3;0.0234;62.6;0;4.59;0;0;0;103;104;63.4;59.3;8.6 ;7.94 ;7.67 ;7.23 ;
2018-01-24;13:46:58.244;0.144;0.461;0.311;1.24;0.39;21.5;0.982;0.033;8.02e-06;0.000443;0.109;0.104;4.86e+04;1.05e+05;2.12e+03;0.923;23.1;0.287;7.18;68.3;25.1;42.2;0.00252;32.7;0;0;0;0;0;331;31.4;0.287;0.461;0.622;1.24;0.146;9.82;0.985;0.0439;6.02e-06;0.000405; 53600;14;16;0.0287;0.027;37;0.284;0.459;0.619;1.24;0.0744;0.698;0.893;0.145;3.09e-06;2.9e-05; 53120;3;16;0.0285;0.0276;36;0.00199;1.04;0.00191;1.24;0.101;5.59;0.982;0.0193;0.000602;0.0332;  8240;1;3;0.0244;0.0247;50;0.0016;1.19;0.00135;1.24;0.0681;5.42;0.987;0.0102;0.000501;0.0399; 15920;0;1;0.0272;0.0252;49;9.66;9.69;8.86;  0%;  0%;  0%;4.44;3.41;6.91;  0%;  0%;  0%;3.91;6.56;3.34;  0%;  0%;  0%;3.46;2.42;5.64;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.154;25.3;0;74.5;0;0;0;0;0;0.109;43.7;0.0101;56.2;0;0;0;0;0;103;103;63;60.9;8.51 ;7.8 ;7.8 ;7.24 ;
