System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:47:13.376;0.597;1.92;0.312;1.24;2.2;26.3;0.917;0.975;1.09e-05;0.00013;0.246;0.19;2.02e+05;1.06e+05;2.12e+03;3.83;95.9;1.19;29.9;244;25.2;38.2;0.00526;36.7;0;0;0;0;0;385;36.1;1.19;1.91;0.623;1.24;1.05;12.1;0.914;0.977;1.03e-05;0.00012; 50080;22;57;0.0638;0.0446;32;1.19;1.92;0.619;1.24;0.958;2.19;0.562;0.996;9.49e-06;2.17e-05; 54480;22;67;0.0595;0.0428;32;0.00203;1.1;0.00184;1.24;0.115;5.73;0.98;0.0198;0.000666;0.0333;  8160;5;1;0.0653;0.0504;50;0.0021;1.21;0.00174;1.24;0.0793;6.28;0.987;0.0136;0.000446;0.0353; 16160;1;3;0.0577;0.0519;50;40;16;14.5;  0%;  0%;  0%;14.1;11.1;39.5;  0%;  0%;  0%;25.4;26.9;5.84;  0%;  0%;  0%;6.03;20.3;24;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.149;32;0.00275;67.9;0;0;0;0;0;0.14;21.1;0.0183;78.8;0;0;0;0;0;131;132;64.3;57.1;9.36 ;9.05 ;9.03 ;8.61 ;
2018-01-24;13:47:14.436;0.452;1.95;0.232;1.24;36.4;75.7;0.519;0.875;0.000228;0.000475;2.99;2.14;1.6e+05;8.2e+04;2.12e+03;3.89;97.3;0.905;22.6;4.52e+03;18.8;35.9;0.102;45.2;0;3.71;0;0;0;366;43.7;0.9;1.93;0.467;1.24;18;36.3;0.503;0.88;0.000231;0.000464; 49840;408;1164;0.763;0.56;36;0.924;1.97;0.469;1.24;18.2;30.9;0.411;0.895;0.000224;0.000381; 48560;385;1221;0.726;0.534;36;0.00147;1.02;0.00144;1.24;0.103;4.3;0.976;0.0195;0.000787;0.0329;  7200;0;3;0.817;0.532;50;0.00122;1.06;0.00115;1.24;0.0686;4.25;0.984;0.0111;0.000631;0.0391; 15760;1;2;0.686;0.513;49;1.01e+03;266;242;  5%;  1%;  1%;262;235;1.01e+03;  1%;  1%;  5%;355;354;79.7;  1%;  1%;  0%;80;315;316;  0%;  1%;  1%;37.7;42.8;0.328;19.2;0;0;0;0;0;37.9;41.8;0.0635;20.2;0;14.9;0;0;0;0.116;29.6;0.00372;70.3;0;0;0;0;0;0.0928;29.7;0.0173;70.2;0;0;0;0;0;119;119;67.2;61.5;11.2 ;10.7 ;11.4 ;10.4 ;
2018-01-24;13:47:15.452;0.949;2.97;0.32;1.24;2.54;31;0.918;0.843;7.8e-06;9.52e-05;0.433;0.564;3.26e+05;1.1e+05;2.23e+03;5.94;148;1.9;47.5;664;25.8;40.3;0.0393;33.8;0;0;0;0;0;392;34.9;1.89;2.96;0.637;1.24;1.21;16.2;0.926;0.828;7.33e-06;9.86e-05; 52320;125;174;0.146;0.193;30;1.87;2.99;0.626;1.24;1.05;2.33;0.551;0.974;6.5e-06;1.45e-05; 51280;68;211;0.0889;0.12;30;0.00233;0.983;0.00237;1.24;0.207;6.54;0.968;0.0202;0.00104;0.033;  8320;1;3;0.0957;0.124;50;0.00181;1.19;0.00151;1.24;0.0818;5.95;0.986;0.0189;0.000531;0.0387; 16480;1;0;0.103;0.127;49;124;67.2;64.7;  0%;  0%;  0%;57.2;55.2;143;  0%;  0%;  0%;28.3;37.7;12.2;  0%;  0%;  0%;13.3;26.1;35.3;  0%;  0%;  0%;51.5;48.5;0.0329;0.03;0;0;0;0;0;50.5;49.3;0.104;0.0135;0;0;0;0;0;0.191;35;0.00732;64.8;0;0;0;0;0;0.122;28.1;0.0127;71.8;0;0;0;0;0;134;135;65.6;57.9;9.24 ;8.76 ;8.63 ;8.23 ;
2018-01-24;13:47:16.462;0.964;3.08;0.313;1.24;1.12;27.4;0.959;0.914;3.4e-06;8.36e-05;0.239;0.347;3.28e+05;1.06e+05;2.13e+03;6.17;154;1.93;48.2;332;25.3;27.7;0.00742;47;0;38;0;0;0;403;30.7;1.92;3.08;0.625;1.24;0.51;12.7;0.96;0.917;3.11e-06;7.77e-05; 51280;52;109;0.0615;0.0859;30;1.93;3.11;0.62;1.24;0.378;1.72;0.781;0.989;2.3e-06;1.05e-05; 52240;37;112;0.0594;0.0843;28;0.00231;0.898;0.00257;1.12;0.154;6.35;0.976;0.0184;0.000783;0.0323;  9040;0;2;0.0568;0.0872;50;0.00196;1.16;0.00168;1.23;0.0751;6.64;0.989;0.0104;0.000451;0.0399; 16800;1;0;0.0612;0.0893;49;51.9;38.4;39.6;  0%;  0%;  0%;35.5;33.7;51.5;  0%;  0%;  0%;16.1;19.7;5.43;  0%;  0%;  0%;6.23;14.3;19.4;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.229;5.98;0.0132;93.8;0;72.1;0;0;0;0.136;5.43;0.0165;94.4;0;80.1;0;0;0;148;148;55.3;50.5;9.4 ;8.88 ;6.41 ;5.97 ;
2018-01-24;13:47:17.470;0.222;0.713;0.312;1.24;0.572;24.8;0.977;0.531;7.59e-06;0.00033;0.124;0.119;7.53e+04;1.06e+05;2.12e+03;1.43;35.7;0.444;11.1;97;25.2;32.2;0.00431;42.6;0;0;0;0;0;332;31.7;0.445;0.714;0.623;1.24;0.212;11.2;0.981;0.553;5.62e-06;0.000297; 53040;18;18;0.0344;0.0318;36;0.44;0.71;0.62;1.24;0.16;1;0.841;0.933;4.29e-06;2.69e-05; 53520;12;25;0.0316;0.0301;35;0.00219;1;0.00218;1.28;0.128;6.2;0.979;0.0181;0.000692;0.0335;  9200;0;3;0.0276;0.0278;50;0.0019;1.19;0.00159;1.25;0.0714;6.42;0.989;0.0104;0.000444;0.04; 16480;0;3;0.0307;0.029;49;13.4;10;8.95;  0%;  0%;  0%;9.6;7.94;13.8;  0%;  0%;  0%;6.19;7.86;4.09;  0%;  0%;  0%;4.41;4.37;6.32;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.171;15.3;0.00487;84.5;0;0;0;0;0;0.127;13.8;0.0124;86.1;0;0;0;0;0;107;108;61.7;55.1;8.62 ;7.85 ;7.8 ;7.48 ;
2018-01-24;13:47:18.480;0.144;0.464;0.311;1.24;0.443;24;0.982;0.0356;9.04e-06;0.00049;0.118;0.114;4.9e+04;1.06e+05;2.12e+03;0.928;23.2;0.289;7.22;84.1;25.1;39.2;0.00232;35.6;0;0;0;0;0;330;31.3;0.288;0.463;0.622;1.24;0.15;10.2;0.985;0.0422;6.13e-06;0.000416; 54800;17;12;0.0317;0.0299;37;0.286;0.461;0.619;1.24;0.101;0.77;0.869;0.242;4.17e-06;3.18e-05; 52480;8;22;0.0295;0.0288;36;0.00225;1.05;0.00214;1.25;0.117;6.46;0.982;0.0179;0.000615;0.0339;  9280;0;2;0.0266;0.027;50;0.00196;1.25;0.00157;1.24;0.075;6.62;0.989;0.011;0.000451;0.0398; 16720;0;2;0.03;0.0283;50;10.5;8.99;8.36;  0%;  0%;  0%;8.58;7.02;10.7;  0%;  0%;  0%;5.38;6.67;4.2;  0%;  0%;  0%;4.22;3.71;5.75;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.171;21.2;0.00208;78.6;0;0;0;0;0;0.127;36;0.00721;63.9;0;0;0;0;0;104;104;62.6;59.4;8.54 ;7.72 ;7.67 ;7.33 ;
2018-01-24;13:47:19.488;0.146;0.469;0.312;1.24;0.437;23.5;0.981;0.035;8.84e-06;0.000474;0.115;0.11;4.95e+04;1.06e+05;2.12e+03;0.937;23.4;0.292;7.3;78.7;25.2;38;0.0038;36.9;0;0;0;0;0;329;31.4;0.291;0.467;0.623;1.24;0.148;9.85;0.985;0.0422;5.98e-06;0.000399; 53760;13;28;0.0308;0.0286;37;0.289;0.466;0.619;1.24;0.101;0.79;0.872;0.223;4.13e-06;3.23e-05; 50240;6;16;0.0295;0.0283;36;0.00223;1.02;0.00219;1.26;0.118;6.36;0.981;0.0181;0.000624;0.0336;  9440;0;2;0.0259;0.0259;50;0.0019;1.26;0.00151;1.24;0.0707;6.47;0.989;0.0112;0.000438;0.0401; 16480;0;0;0.0293;0.0276;49;10.4;9.14;8.56;  0%;  0%;  0%;7.12;5.52;9.32;  0%;  0%;  0%;5.04;6.78;3.97;  0%;  0%;  0%;4.08;3.15;5.54;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.174;17.5;0.00559;82.4;0;0;0;0;0;0.122;34.7;0.00963;65.1;0;0;0;0;0;104;104;61.9;58.9;8.5 ;7.8 ;7.76 ;7.35 ;
2018-01-24;13:47:20.496;0.14;0.451;0.311;1.24;0.455;23.9;0.981;0.0353;9.56e-06;0.000503;0.0942;0.0903;4.76e+04;1.06e+05;2.12e+03;0.902;22.5;0.281;7.02;84.8;25.2;29;0.00417;45.9;0;36.6;0;0;0;314;27.7;0.28;0.45;0.623;1.24;0.151;10.3;0.985;0.0416;6.36e-06;0.000435; 53760;22;10;0.0319;0.03;37;0.277;0.448;0.619;1.24;0.11;0.943;0.884;0.208;4.67e-06;4.02e-05; 50960;9;22;0.0298;0.0291;36;0.00219;1.06;0.00208;1.11;0.122;6.25;0.98;0.0177;0.00066;0.0337;  9520;0;3;0.0152;0.0156;50;0.0019;1.18;0.00161;1.22;0.0716;6.41;0.989;0.0105;0.000446;0.0399; 16800;0;0;0.0174;0.0157;50;10.8;9.06;8.62;  0%;  0%;  0%;8.63;6.87;11;  0%;  0%;  0%;5.48;6.83;4.05;  0%;  0%;  0%;4.2;3.66;5.69;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.187;6.93;0.00493;92.9;0;69.3;0;0;0;0.132;9.32;0.0118;90.5;0;76.9;0;0;0;103;104;55.6;51.3;8.45 ;7.76 ;6.18 ;5.26 ;
2018-01-24;13:47:21.504;0.142;0.456;0.311;1.24;0.409;23.1;0.982;0.0368;8.5e-06;0.00048;0.117;0.115;4.81e+04;1.05e+05;2.12e+03;0.913;22.8;0.284;7.11;81.3;25.2;41.2;0.00409;33.7;0;0;0;0;0;331;31.4;0.284;0.455;0.623;1.24;0.141;9.83;0.986;0.0438;5.88e-06;0.00041; 51360;19;27;0.0306;0.0294;37;0.281;0.453;0.619;1.24;0.0979;0.8;0.878;0.237;4.12e-06;3.36e-05; 49040;7;24;0.0295;0.0296;36;0.00216;1.03;0.00209;1.24;0.103;6.1;0.983;0.0185;0.000565;0.0334;  9360;0;3;0.0267;0.0272;50;0.00188;1.27;0.00148;1.24;0.0665;6.38;0.99;0.0106;0.000418;0.0401; 16640;0;0;0.0299;0.0288;49;11.3;9.39;9.23;  0%;  0%;  0%;7.31;6.07;10;  0%;  0%;  0%;4.89;6.45;3.73;  0%;  0%;  0%;3.81;3.36;5.74;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.169;23.9;0.00959;75.9;0;0;0;0;0;0.12;41.2;0.00678;58.7;0;0;0;0;0;103;104;63;60.6;8.47 ;7.82 ;7.8 ;7.35 ;
2018-01-24;13:47:22.512;0.141;0.453;0.312;1.24;0.607;25.2;0.976;0.0403;1.27e-05;0.000527;0.237;0.128;4.78e+04;1.06e+05;2.12e+03;0.906;22.7;0.282;7.06;206;25.2;43.6;0.00212;31.2;0;0;0;0;0;332;34.6;0.282;0.453;0.624;1.24;0.286;11.8;0.976;0.0498;1.2e-05;0.000495; 51200;21;27;0.0625;0.0334;37;0.278;0.45;0.619;1.24;0.124;0.942;0.869;0.208;5.24e-06;4e-05; 52160;7;26;0.059;0.0326;36;0.00215;1.08;0.002;1.24;0.131;6.09;0.979;0.0189;0.000716;0.0334;  9440;0;2;0.0557;0.0308;50;0.00186;1.26;0.00147;1.24;0.0668;6.3;0.989;0.0111;0.000424;0.04; 16800;0;3;0.0594;0.0317;49;18.1;16.5;15.4;  0%;  0%;  0%;8.85;7.18;43.3;  0%;  0%;  0%;5.92;39.7;4.14;  0%;  0%;  0%;4.61;4.1;38.2;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.162;26.8;0.000826;73;0;0;0;0;0;0.119;48.1;0.00766;51.8;0;0;0;0;0;103;104;62.9;61.8;9.06 ;8.61 ;8.64 ;8.32 ;
