System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:43:14.889;0.419;1.92;0.218;0.571;5.97;43.4;0.863;0.929;4.13e-05;0.0003;0.513;0.56;1.45e+05;7.53e+04;2.17e+03;3.84;96.1;0.838;20.9;785;38.2;38;0.00324;23.8;0;10.7;0;0;0;181;30.3;0.556;1.9;0.293;0.571;1.11;20.5;0.946;0.908;2.31e-05;0.000425; 53120;45;97;0.14;0.152;48;0.557;1.94;0.287;0.571;2.58;5.58;0.539;0.97;5.35e-05;0.000116; 51120;64;184;0.13;0.133;49;0.556;1.94;0.287;0.571;2.06;4.6;0.551;0.975;4.3e-05;9.58e-05; 49920;47;131;0.126;0.135;51;0.00409;1.12;0.00364;0.571;0.218;12.8;0.983;0.0134;0.000619;0.0363; 27920;0;4;0.118;0.141;54;85.4;73.1;39;  0%;  0%;  0%;93.7;56.2;75.7;  0%;  0%;  0%;95.4;67;47.1;  0%;  0%;  0%;51.3;62.2;39;  0%;  0%;  0%;51.3;48.7;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;0.637;3.68;0.013;95.7;0;43;0;0;0;51.6;49.7;51.4;28.2;7.78 ;7.72 ;7.75 ;7.03 ;
2018-01-24;13:43:16.029;0.316;2.51;0.126;0.571;16;48.2;0.669;0.371;0.000136;0.000409;1.59;1.39;1.18e+05;4.69e+04;2.15e+03;5.01;125;0.632;15.8;2.35e+03;22.1;28.6;0.153;49.2;0;21.7;0;0;0;168;34.8;0.447;2.49;0.179;0.571;5.34;17.7;0.698;0.371;0.000131;0.000435; 48400;205;419;0.436;0.413;48;0.41;2.53;0.162;0.571;5.02;9.78;0.487;0.472;0.000134;0.000261; 51440;162;408;0.352;0.328;50;0.416;2.53;0.164;0.571;5.41;9.62;0.438;0.486;0.000138;0.000245; 50480;145;451;0.377;0.33;52;0.00323;1.05;0.00306;0.571;0.192;11.1;0.983;0.0146;0.000621;0.0358; 27920;1;6;0.421;0.322;54;267;278;127;  1%;  1%;  0%;246;112;282;  1%;  0%;  1%;239;287;118;  1%;  1%;  0%;128;119;145;  0%;  0%;  0%;31.4;38.9;0.17;29.5;0;0.995;0;0;0;28.4;41.4;0.262;29.9;0;0;0;0;0;28.7;33.9;0.16;37.2;0;0;0;0;0;0.536;1.45;0.0258;98;0;83.6;0;0;0;47.1;44.4;44.8;31.3;9.08 ;8.85 ;8.98 ;7.91 ;
2018-01-24;13:43:17.056;0.691;3.05;0.227;0.571;1.62;37.1;0.956;0.845;6.61e-06;0.000151;0.271;0.375;2.45e+05;8.06e+04;2.39e+03;6.09;152;1.38;34.5;351;39.7;36.7;0.00527;23.6;0;15.5;0;0;0;194;25.8;0.919;2.99;0.307;0.571;0.461;22.2;0.979;0.745;5.51e-06;0.000266; 46800;46;72;0.0768;0.1;48;0.92;3.08;0.299;0.571;0.353;1.35;0.738;0.98;4.24e-06;1.62e-05; 46800;27;82;0.07;0.099;49;0.894;3.09;0.289;0.571;0.605;1.92;0.685;0.973;7.74e-06;2.45e-05; 52640;47;133;0.062;0.0858;51;0.00371;1.18;0.00314;0.571;0.202;11.6;0.983;0.0148;0.00063;0.0363; 27920;2;4;0.0622;0.0907;54;27.9;36;27.5;  0%;  0%;  0%;34.9;21.6;26.9;  0%;  0%;  0%;45.5;44.9;36.7;  0%;  0%;  0%;17.8;12.1;19;  0%;  0%;  0%;53.7;46.3;0;0;0;0;0;0;0;52.3;47.7;0;0;0;0;0;0;0;50.7;49.3;0;0;0;0;0;0;0;0.549;2.17;0.0217;97.3;0;63.7;0;0;0;55.9;54;55.8;28;6.97 ;6.68 ;6.69 ;5.44 ;
2018-01-24;13:43:18.072;0.302;1.38;0.218;0.571;0.834;33.9;0.975;0.675;8.06e-06;0.000327;0.129;0.123;1.03e+05;7.47e+04;2.16e+03;2.77;69.2;0.604;15.1;125;38.2;37.4;0.00122;24.5;0;20.2;0;0;0;169;24;0.401;1.37;0.293;0.571;0.261;18.7;0.986;0.553;7.59e-06;0.000544; 47120;12;19;0.0438;0.0369;48;0.403;1.4;0.287;0.571;0.166;1.32;0.874;0.946;4.81e-06;3.82e-05; 47120;4;25;0.0347;0.0352;49;0.398;1.39;0.287;0.571;0.217;1.59;0.863;0.938;6.36e-06;4.66e-05; 48720;10;22;0.0331;0.0321;51;0.00394;1.19;0.0033;0.571;0.189;12.2;0.985;0.0146;0.000562;0.0363; 28080;4;0;0.0174;0.0186;54;9.83;12.1;13.3;  0%;  0%;  0%;9.15;6.79;8.75;  0%;  0%;  0%;12;14.3;11.7;  0%;  0%;  0%;7.93;6.42;12.8;  0%;  0%;  0%;51.3;48.7;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;0.578;1.13;0.00492;98.3;0;81.2;0;0;0;47.9;46.2;47.7;27.5;6.62 ;6.18 ;6.16 ;5.06 ;
2018-01-24;13:43:19.112;0.0976;0.457;0.214;0.571;0.566;34.3;0.983;0.0291;1.67e-05;0.00101;0.119;0.121;3.38e+04;7.4e+04;2.13e+03;0.914;22.9;0.195;4.88;105;37.4;37.8;0.0014;24.8;0;20.8;0;0;0;162;24.1;0.133;0.46;0.288;0.571;0.186;20.3;0.991;0.0218;1.62e-05;0.00178; 46720;14;8;0.0377;0.0354;48;0.127;0.452;0.282;0.571;0.0968;1.15;0.915;0.108;8.8e-06;0.000104; 48480;5;12;0.0318;0.0337;50;0.128;0.452;0.283;0.571;0.115;1.12;0.897;0.192;1.04e-05;0.000101; 46240;4;26;0.0318;0.0332;51;0.00367;1.21;0.00304;0.571;0.168;11.7;0.986;0.0141;0.000522;0.0364; 28320;1;1;0.0171;0.0183;54;9.45;10.3;13.4;  0%;  0%;  0%;7.21;6.68;8.2;  0%;  0%;  0%;8.11;9.92;8.87;  0%;  0%;  0%;6.12;5.29;11.5;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;49.4;50.6;0;0;0;0;0;0;0;49.5;50.5;0;0;0;0;0;0;0;0.532;1.07;0.00557;98.4;0;82.6;0;0;0;45.3;43.6;45.1;28.2;6.62 ;6.17 ;6.19 ;5.14 ;
2018-01-24;13:43:20.131;0.099;0.451;0.219;0.571;0.612;38.6;0.984;0.0276;1.79e-05;0.00113;0.121;0.121;3.41e+04;7.57e+04;2.19e+03;0.902;22.5;0.198;4.95;111;38.4;37.3;0.000111;24.3;0;19;0;0;0;159;23.7;0.134;0.454;0.295;0.571;0.196;21.5;0.991;0.0214;1.7e-05;0.00186; 46240;10;14;0.0389;0.036;48;0.129;0.445;0.289;0.571;0.114;1.96;0.942;0.0775;1.02e-05;0.000176; 49040;5;24;0.0317;0.0326;50;0.128;0.445;0.288;0.571;0.122;1.92;0.936;0.126;1.1e-05;0.000174; 45520;6;16;0.0323;0.0334;52;0.00428;1.13;0.0038;0.571;0.18;13.3;0.986;0.0139;0.000492;0.0362; 28320;2;1;0.0185;0.0191;54;9.24;9.16;13.2;  0%;  0%;  0%;9.06;8.71;9.7;  0%;  0%;  0%;8.73;9.52;8.87;  0%;  0%;  0%;6.28;6.3;12;  0%;  0%;  0%;51.6;48.4;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;0.665;1.46;0.000445;97.9;0;76.7;0;0;0;44.4;42.7;44;27.7;6.47 ;6.04 ;6.06 ;5.12 ;
2018-01-24;13:43:21.146;0.099;0.455;0.217;0.571;0.702;35.7;0.98;0.032;2.07e-05;0.00106;0.235;0.127;3.38e+04;7.43e+04;2.14e+03;0.911;22.8;0.198;4.95;223;38.1;37.4;0;24.6;0;20.6;0;0;0;158;25.5;0.135;0.46;0.294;0.571;0.337;22.4;0.985;0.0273;2.92e-05;0.00194; 49120;18;26;0.0682;0.0369;48;0.129;0.449;0.286;0.571;0.0867;1.06;0.918;0.116;7.89e-06;9.61e-05; 48240;3;18;0.0603;0.0354;50;0.128;0.449;0.286;0.571;0.113;1.16;0.903;0.179;1.03e-05;0.000106; 47040;7;21;0.0607;0.0354;52;0.0036;1.2;0.00302;0.571;0.165;11.1;0.985;0.0144;0.000538;0.0361; 28320;0;3;0.0461;0.0198;55;15.8;16.3;20;  0%;  0%;  0%;6.64;6.3;42.4;  0%;  0%;  0%;7.17;43.5;8.25;  0%;  0%;  0%;5.95;5.01;45.8;  0%;  0%;  0%;51.4;48.6;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.528;1.08;0;98.4;0;82.7;0;0;0;44.3;42.5;43.9;27.6;6.83 ;6.52 ;6.53 ;5.61 ;
2018-01-24;13:43:22.161;0.101;0.467;0.217;0.571;0.539;34.1;0.984;0.0288;1.56e-05;0.000988;0.167;0.113;3.45e+04;7.39e+04;2.13e+03;0.934;23.3;0.202;5.06;144;37.9;37.8;0.000839;24.3;0;15.1;0;0;0;158;24.5;0.137;0.47;0.292;0.571;0.182;20.6;0.991;0.0224;1.56e-05;0.00176; 47840;15;11;0.0495;0.0329;48;0.132;0.462;0.286;0.571;0.0833;1.1;0.924;0.108;7.41e-06;9.79e-05; 48320;3;17;0.0425;0.0306;49;0.132;0.461;0.286;0.571;0.112;1.18;0.906;0.171;9.94e-06;0.000105; 47680;5;19;0.043;0.0304;52;0.00361;1.2;0.00301;0.571;0.162;11.1;0.985;0.0143;0.000526;0.0362; 28240;4;0;0.0324;0.019;54;9.71;10.8;14.1;  0%;  0%;  0%;6.17;5.45;21.5;  0%;  0%;  0%;7.43;23.7;8.7;  0%;  0%;  0%;6.08;4.56;25.8;  0%;  0%;  0%;51.1;48.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.527;2.33;0.00335;97.1;0;60.4;0;0;0;44.2;42.6;43.9;27.7;6.61 ;6.21 ;6.18 ;5.46 ;
2018-01-24;13:43:23.175;0.0991;0.457;0.217;0.571;0.554;36.3;0.985;0.0284;1.64e-05;0.00107;0.114;0.113;3.38e+04;7.39e+04;2.13e+03;0.914;22.9;0.198;4.96;101;37.9;37.5;0.000964;24.6;0;20.4;0;0;0;158;23.4;0.135;0.461;0.293;0.571;0.177;22.8;0.992;0.0205;1.54e-05;0.00199; 48480;15;9;0.0375;0.0342;48;0.129;0.451;0.286;0.571;0.0903;1.11;0.918;0.111;8.22e-06;0.000101; 49200;1;20;0.0304;0.0316;50;0.129;0.451;0.286;0.571;0.124;1.16;0.893;0.183;1.13e-05;0.000106; 47840;5;33;0.0299;0.0307;52;0.00387;1.22;0.00316;0.571;0.162;11.2;0.985;0.0162;0.000492;0.034; 28400;2;2;0.0165;0.0164;55;7.19;8.63;11.4;  0%;  0%;  0%;7.63;6.28;7.23;  0%;  0%;  0%;9.56;10.6;10.2;  0%;  0%;  0%;6.6;5.01;10.8;  0%;  0%;  0%;51.2;48.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.552;1.15;0.00386;98.3;0;81.7;0;0;0;44.2;42.5;43.8;27.5;6.44 ;5.94 ;6.07 ;4.93 ;
2018-01-24;13:43:24.190;0.0981;0.452;0.217;0.571;0.59;40.1;0.985;0.0262;1.76e-05;0.0012;0.116;0.113;3.34e+04;7.4e+04;2.13e+03;0.904;22.6;0.196;4.91;104;38;37.4;0.00272;24.6;0;20.6;0;0;0;158;23.4;0.133;0.455;0.293;0.571;0.183;23;0.992;0.0204;1.62e-05;0.00203; 46960;9;8;0.038;0.0347;48;0.128;0.446;0.286;0.571;0.0985;1.93;0.949;0.072;9.07e-06;0.000178; 49440;5;16;0.0311;0.0317;49;0.127;0.446;0.286;0.571;0.132;2.01;0.934;0.117;1.22e-05;0.000185; 48080;8;18;0.0303;0.0303;52;0.00426;1.12;0.00382;0.571;0.176;13.2;0.987;0.0138;0.000483;0.0363; 28320;1;1;0.0164;0.0163;54;7.19;8.69;11.8;  0%;  0%;  0%;7.63;6.63;7.14;  0%;  0%;  0%;9.78;11;10.8;  0%;  0%;  0%;6.99;5.48;11.3;  0%;  0%;  0%;51.2;48.8;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.668;1.12;0.0109;98.2;0;82.3;0;0;0;44.2;42.5;43.9;27.5;6.46 ;6.05 ;6.08 ;4.85 ;
