System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:33:40.645;0.492;1.9;0.259;0.667;1.24;38.7;0.968;0.947;7.26e-06;0.000227;0.168;0.149;1.7e+05;8.99e+04;2.24e+03;3.8;94.9;0.984;24.6;175;38.9;38.3;0.00294;22.8;0;6.84;0;0;0;197;27.1;0.655;1.89;0.347;0.667;0.369;17.8;0.979;0.924;6.44e-06;0.000311; 53040;79;16;0.0579;0.0438;46;0.652;1.91;0.342;0.667;0.316;1.85;0.829;0.992;5.54e-06;3.24e-05; 52240;10;37;0.0393;0.0372;48;0.644;1.91;0.338;0.667;0.32;1.93;0.834;0.992;5.75e-06;3.46e-05; 51920;12;36;0.0425;0.0374;50;0.00545;1.21;0.00451;0.661;0.233;17.1;0.986;0.0113;0.000501;0.0369; 21280;0;5;0.0288;0.0303;54;16.3;16.5;15;  0%;  0%;  0%;17.4;11.2;16;  0%;  0%;  0%;17;18.1;13;  0%;  0%;  0%;9.71;9.77;14.7;  0%;  0%;  0%;52.1;47.9;0;0.0363;0;0;0;0;0;51.3;48.7;0;0.00607;0;0;0;0;0;50.7;49.2;0;0.0717;0;0;0;0;0;0.683;6.81;0.012;92.5;0;27.8;0;0;0;56.2;54.7;56.6;29.4;7.11 ;6.87 ;6.91 ;6.19 ;
2018-01-24;13:33:41.659;0.423;2.46;0.172;0.667;14.9;51.9;0.713;0.67;0.000103;0.00036;1.51;1.41;1.44e+05;5.86e+04;2.13e+03;4.92;123;0.846;21.1;2.24e+03;25.8;30.3;0.392;43.5;0;8.02;0;0;0;166;31.1;0.563;2.45;0.229;0.666;4.68;18.7;0.749;0.653;9.76e-05;0.000389; 50160;181;377;0.42;0.41;47;0.568;2.49;0.229;0.667;5.17;8.95;0.422;0.795;0.000107;0.000185; 49120;143;457;0.34;0.326;48;0.556;2.47;0.225;0.666;4.82;8.81;0.453;0.8;0.000102;0.000186; 52400;145;423;0.412;0.346;50;0.00512;0.927;0.00552;0.667;0.223;15.5;0.986;0.0131;0.00051;0.0355; 20800;1;3;0.341;0.33;54;258;255;116;  1%;  1%;  0%;262;110;268;  1%;  0%;  1%;265;267;104;  1%;  1%;  0%;109;110;115;  0%;  0%;  0%;34.4;35.1;1.03;29.5;0;21.9;0;0;0;34.3;37.5;0.197;28;0;0;0;0;0;33.8;35.5;0.298;30.4;0;10.2;0;0;0;0.829;13.1;0.0414;86;0;0;0;0;0;45.6;44.4;45.7;30.4;8.1 ;7.73 ;7.94 ;7.3 ;
2018-01-24;13:33:42.707;0.758;3.06;0.248;0.667;1.6;32.9;0.952;0.868;6.05e-06;0.000125;0.302;0.421;2.64e+05;8.63e+04;2.13e+03;6.12;153;1.52;37.9;394;37.1;38.9;0.00322;24;0;10;0;0;0;220;26.5;1.01;3.03;0.333;0.667;0.447;17.5;0.974;0.797;5.12e-06;0.000201; 51280;37;62;0.0823;0.111;47;1.01;3.09;0.328;0.667;0.606;1.81;0.664;0.976;6.92e-06;2.06e-05; 52640;50;130;0.0699;0.0963;48;1.02;3.09;0.33;0.667;0.327;1.1;0.703;0.985;3.69e-06;1.24e-05; 48720;24;76;0.0769;0.107;50;0.0039;1.17;0.00334;0.655;0.215;12.5;0.983;0.0145;0.000625;0.0364; 20960;0;2;0.0734;0.107;53;42.6;30.3;30.2;  0%;  0%;  0%;49.3;39.7;51.9;  0%;  0%;  0%;40.8;30.1;24;  0%;  0%;  0%;13.7;21.2;20.6;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.2;50.8;0;0;0;0;0;0;0;49.4;50.6;0;0;0;0;0;0;0;0.509;4.58;0.0127;94.9;0;39.6;0;0;0;63.4;62;64;30.3;7.17 ;6.64 ;6.76 ;5.96 ;
2018-01-24;13:33:43.721;0.404;1.57;0.257;0.667;0.911;31.8;0.971;0.76;6.55e-06;0.000228;0.135;0.127;1.39e+05;8.84e+04;2.2e+03;3.15;78.7;0.808;20.2;132;38.5;37.6;0.00353;23.9;0;14.9;0;0;0;189;24.6;0.537;1.57;0.343;0.667;0.273;13.5;0.98;0.713;5.86e-06;0.000291; 52640;21;16;0.0417;0.0369;47;0.538;1.59;0.339;0.667;0.254;1.64;0.845;0.954;5.46e-06;3.51e-05; 50080;8;23;0.036;0.0344;48;0.53;1.57;0.337;0.667;0.179;1.3;0.862;0.962;3.93e-06;2.84e-05; 47520;6;27;0.0367;0.0339;50;0.00512;1.21;0.00422;0.653;0.205;15.3;0.987;0.0144;0.00047;0.0351; 21200;0;2;0.0208;0.0221;54;12.6;10.7;13.5;  0%;  0%;  0%;11.7;11.5;12.8;  0%;  0%;  0%;11.1;10.3;8.64;  0%;  0%;  0%;7.11;8.8;12.9;  0%;  0%;  0%;51.4;48.6;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.646;2.71;0.0143;96.6;0;60.3;0;0;0;53.4;52.1;53.9;29.1;6.73 ;6.24 ;6.27 ;5.34 ;
2018-01-24;13:33:44.733;0.113;0.45;0.252;0.667;0.55;29.3;0.981;0.0289;1.43e-05;0.000759;0.114;0.11;3.86e+04;8.57e+04;2.13e+03;0.9;22.5;0.227;5.67;95.6;37.8;39.3;0.0019;22.9;0;15.9;0;0;0;171;23.9;0.152;0.45;0.337;0.667;0.173;13.4;0.987;0.0245;1.34e-05;0.00104; 52400;15;11;0.0349;0.0319;46;0.149;0.446;0.333;0.667;0.119;1.36;0.912;0.144;9.44e-06;0.000107; 50400;7;16;0.0306;0.0305;48;0.148;0.445;0.333;0.667;0.0909;1.07;0.915;0.104;7.19e-06;8.48e-05; 47600;1;23;0.0301;0.0296;50;0.00433;1.21;0.00358;0.655;0.166;13.4;0.988;0.0135;0.000452;0.0365; 21040;0;2;0.0185;0.0182;54;8.73;7.77;11.8;  0%;  0%;  0%;7.24;8.1;8.56;  0%;  0%;  0%;6.96;7.62;7.09;  0%;  0%;  0%;5.18;6.09;10.5;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.546;7.78;0.00762;91.7;0;63.5;0;0;0;47.7;46.3;47.8;29.6;6.62 ;6.01 ;6.08 ;5.19 ;
2018-01-24;13:33:45.798;0.111;0.453;0.245;0.667;0.61;36.5;0.983;0.0272;1.56e-05;0.000932;0.138;0.135;3.92e+04;8.64e+04;2.13e+03;0.907;22.7;0.223;5.56;112;36.8;40.4;0.000697;22.8;0;0.0502;0;0;0;181;25.5;0.15;0.455;0.331;0.667;0.199;19.5;0.99;0.0218;1.52e-05;0.00149; 51760;13;14;0.0382;0.0356;47;0.146;0.448;0.325;0.667;0.129;1.14;0.888;0.184;1.01e-05;9e-05; 49360;8;25;0.0337;0.0333;49;0.147;0.448;0.328;0.667;0.0952;1.06;0.91;0.113;7.35e-06;8.16e-05; 48480;3;23;0.0341;0.0339;50;0.0045;1.21;0.00371;0.667;0.187;14.8;0.987;0.0129;0.000464;0.0367; 21280;0;3;0.0324;0.0321;54;10.5;8.7;13.8;  0%;  0%;  0%;9.53;10.6;11.6;  0%;  0%;  0%;7.39;7.96;6.75;  0%;  0%;  0%;5.45;7.6;12.4;  0%;  0%;  0%;49.6;50.4;0;0;0;0;0;0;0;48.7;51.3;0;0;0;0;0;0;0;49.2;50.8;0;0;0;0;0;0;0;0.557;9.68;0.00274;89.8;0;0.198;0;0;0;50.3;48.7;50.3;31.5;6.94 ;6.32 ;6.32 ;5.93 ;
2018-01-24;13:33:46.938;0.114;0.462;0.246;0.667;0.635;34.4;0.982;0.0295;1.48e-05;0.000802;0.135;0.133;4.29e+04;9.28e+04;2.24e+03;0.925;23.1;0.227;5.68;115;36.9;38.6;0.00164;24.5;0;13;0;0;0;193;26.9;0.152;0.464;0.327;0.667;0.208;17.1;0.988;0.0244;1.48e-05;0.00122; 51680;21;7;0.0397;0.0376;47;0.149;0.458;0.325;0.667;0.134;1.26;0.893;0.175;9.64e-06;9.04e-05; 49600;7;24;0.0359;0.036;48;0.152;0.457;0.332;0.667;0.0976;1.09;0.91;0.12;6.73e-06;7.51e-05; 49280;6;30;0.0356;0.0352;51;0.00426;1.22;0.00348;0.656;0.195;14.9;0.987;0.0132;0.000478;0.0366; 21360;0;3;0.0241;0.024;54;10.4;8.88;14;  0%;  0%;  0%;9.12;10.1;11.1;  0%;  0%;  0%;8.28;8.69;7.87;  0%;  0%;  0%;5.97;7.74;12.5;  0%;  0%;  0%;49.1;50.9;0;0;0;0;0;0;0;48.8;51.2;0;0;0;0;0;0;0;49.8;50.2;0;0;0;0;0;0;0;0.53;2.96;0.00646;96.5;0;51.3;0;0;0;53.8;52.2;54;32.7;7.4 ;6.81 ;6.82 ;5.84 ;
2018-01-24;13:33:47.951;0.119;0.448;0.266;0.667;0.666;37.8;0.982;0.027;1.59e-05;0.000902;0.133;0.128;4.19e+04;9.34e+04;2.39e+03;0.896;22.4;0.238;5.96;111;39.9;37.7;0.00254;22.4;0;1.55;0;0;0;171;24.4;0.16;0.448;0.358;0.667;0.202;16.9;0.988;0.0235;1.39e-05;0.00116; 52720;14;14;0.0376;0.0347;47;0.155;0.444;0.35;0.667;0.15;2.05;0.927;0.119;1.08e-05;0.000147; 48480;6;15;0.0334;0.0327;48;0.15;0.443;0.34;0.667;0.111;1.91;0.942;0.0732;8.49e-06;0.000147; 49040;5;24;0.0328;0.0314;51;0.00544;1.15;0.00472;0.664;0.203;16.9;0.988;0.0125;0.00044;0.0366; 21680;0;1;0.0296;0.0294;53;9.34;8.34;12.8;  0%;  0%;  0%;8.91;10;9.92;  0%;  0%;  0%;8.61;8.92;8.47;  0%;  0%;  0%;6.27;7.69;11.9;  0%;  0%;  0%;53.6;46.4;0;0;0;0;0;0;0;52.5;47.5;0;0;0;0;0;0;0;50.9;49.1;0;0;0;0;0;0;0;0.71;6.74;0.0105;92.5;0;6.41;0;0;0;47.7;46.3;47.8;29.6;6.63 ;6.05 ;6.1 ;5.63 ;
2018-01-24;13:33:48.966;0.116;0.462;0.252;0.667;0.589;34.3;0.983;0.0278;1.49e-05;0.000866;0.133;0.128;3.96e+04;8.58e+04;2.13e+03;0.924;23.1;0.233;5.82;110;37.8;40.6;0.00398;21.7;0;0.0046;0;0;0;173;24.4;0.157;0.463;0.338;0.667;0.188;17.3;0.989;0.0226;1.41e-05;0.0013; 54560;13;12;0.0368;0.0342;47;0.152;0.457;0.333;0.667;0.137;1.22;0.888;0.175;1.06e-05;9.45e-05; 50080;7;20;0.0323;0.0317;48;0.152;0.457;0.333;0.667;0.0859;1.06;0.919;0.108;6.64e-06;8.21e-05; 48480;3;16;0.033;0.0322;51;0.00472;1.21;0.00389;0.666;0.178;14.7;0.988;0.0128;0.000442;0.0367; 21360;0;1;0.031;0.0295;54;10;7.88;13.4;  0%;  0%;  0%;9.58;10.8;11.3;  0%;  0%;  0%;7.35;7.53;6.59;  0%;  0%;  0%;5.5;7.82;12.2;  0%;  0%;  0%;50.8;49.2;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.584;12.8;0.0159;86.6;0;0.0184;0;0;0;48;46.5;48.1;30.1;6.64 ;6.03 ;6.08 ;5.7 ;
2018-01-24;13:33:49.980;0.113;0.447;0.253;0.667;0.647;38.7;0.983;0.0261;1.68e-05;0.001;0.133;0.126;3.85e+04;8.62e+04;2.13e+03;0.893;22.3;0.226;5.65;109;37.9;40.4;0.00428;21.7;0;0;0;0;0;172;24.3;0.153;0.449;0.34;0.667;0.212;20.8;0.99;0.0219;1.63e-05;0.0016; 54880;12;21;0.0361;0.0331;47;0.147;0.441;0.334;0.667;0.139;1.21;0.885;0.167;1.11e-05;9.63e-05; 50880;3;23;0.0333;0.0319;48;0.147;0.44;0.334;0.667;0.0867;1.05;0.918;0.106;6.93e-06;8.42e-05; 47920;6;15;0.033;0.0312;51;0.00501;1.2;0.00417;0.667;0.209;15.7;0.987;0.0129;0.000489;0.0367; 21520;0;2;0.0307;0.0294;53;10.6;8.61;15.2;  0%;  0%;  0%;7.99;9.98;10.3;  0%;  0%;  0%;6.09;7.08;6.3;  0%;  0%;  0%;5.54;7.84;13.4;  0%;  0%;  0%;51;49;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.625;12.7;0.0171;86.7;0;0;0;0;0;47.8;46.4;47.9;30.4;6.63 ;5.99 ;6.01 ;5.64 ;
