System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:35:59.223;0.533;2.15;0.248;0.667;3.09;56.2;0.945;0.903;1.39e-05;0.000253;0.346;0.292;2.22e+05;1.03e+05;2.4e+03;4.31;108;1.07;26.7;430;37.2;40.6;0.0104;22.3;0;0;0;0;0;246;33.8;0.716;2.18;0.328;0.667;0.985;23.6;0.958;0.87;1.35e-05;0.000323; 50400;38;111;0.0961;0.0749;46;0.718;2.18;0.329;0.667;0.868;2.87;0.697;0.985;1.16e-05;3.84e-05; 55360;57;103;0.1;0.0759;48;0.701;2.11;0.332;0.667;0.907;2.92;0.689;0.984;1.23e-05;3.97e-05; 44880;31;102;0.0859;0.0743;50;0.00682;1.26;0.00541;0.667;0.33;26.8;0.988;0.0117;0.000459;0.0374; 24880;0;3;0.0639;0.0671;53;48.6;48.5;30.8;  0%;  0%;  0%;48.4;23.8;48.3;  0%;  0%;  0%;48.2;47.6;23.6;  0%;  0%;  0%;18.5;18.2;25.8;  0%;  0%;  0%;49.2;50.5;0.0096;0.276;0;0;0;0;0;49.3;50.5;0;0.185;0;0;0;0;0;49.8;50.1;0.0279;0.0956;0;0;0;0;0;0.811;11.6;0.00389;87.6;0;0;0;0;0;70;68.1;70.1;37.7;8.87 ;8.5 ;8.69 ;7.75 ;
2018-01-24;13:36:00.237;0.45;2.24;0.2;0.667;13.5;44.5;0.697;0.879;8.43e-05;0.000278;1.23;1.06;1.6e+05;7.13e+04;2.63e+03;4.49;112;0.899;22.5;1.75e+03;30.1;28.3;0.165;41.5;0;12;0;0;0;171;31.2;0.623;2.22;0.281;0.667;4.4;17.4;0.747;0.879;7.54e-05;0.000298; 48880;120;315;0.34;0.274;47;0.593;2.27;0.262;0.666;4.21;7.28;0.422;0.936;7.85e-05;0.000136; 50320;105;342;0.283;0.251;48;0.551;2.27;0.243;0.667;4.71;8.42;0.44;0.915;9.85e-05;0.000176; 49760;126;325;0.326;0.271;50;0.00365;1.11;0.00328;0.662;0.177;11.4;0.984;0.0131;0.000568;0.0367; 24240;0;4;0.285;0.261;54;202;222;83.9;  0%;  1%;  0%;200;75.6;196;  0%;  0%;  0%;195;209;78.1;  0%;  1%;  0%;99;90.8;101;  0%;  0%;  0%;42.2;33.6;0.186;24;0;19;0;0;0;39.3;35.3;0.16;25.2;0;18.2;0;0;0;36.4;36.1;0.156;27.4;0;0.892;0;0;0;0.496;7.13;0.155;92.2;0;9.02;0;0;0;47.6;46;47.3;29.6;8.07 ;7.84 ;8.09 ;7.16 ;
2018-01-24;13:36:01.252;0.731;2.9;0.252;0.667;2.79;45.1;0.938;0.775;1.12e-05;0.000181;0.455;0.547;2.49e+05;8.59e+04;2.13e+03;5.81;145;1.46;36.6;672;37.8;38.3;0.0424;23.9;0;12.6;0;0;0;202;26.6;0.972;2.87;0.339;0.667;0.983;22.1;0.956;0.701;1.19e-05;0.000267; 52080;86;126;0.181;0.2;46;0.974;2.93;0.332;0.667;0.802;2.37;0.662;0.954;9.66e-06;2.85e-05; 48960;46;133;0.0914;0.118;48;0.973;2.93;0.332;0.667;0.798;2.21;0.639;0.961;9.63e-06;2.67e-05; 50800;42;164;0.0931;0.118;50;0.0059;1.15;0.00514;0.653;0.209;18.3;0.989;0.0123;0.000415;0.0365; 24480;0;7;0.0893;0.111;53;82.6;81.5;53;  0%;  0%;  0%;59.6;37.2;89.6;  0%;  0%;  0%;59.4;91.9;39.7;  0%;  0%;  0%;21.6;20.8;34.7;  0%;  0%;  0%;50.8;48.9;0.105;0.187;0;0;0;0;0;49.8;50;0.0388;0.182;0;0;0;0;0;49.8;49.9;0.0231;0.25;0;0;0;0;0;0.787;4.31;0.00255;94.9;0;50.5;0;0;0;58.1;56.5;58;29.5;7.24 ;6.76 ;6.66 ;5.93 ;
2018-01-24;13:36:02.266;0.518;2.06;0.252;0.667;1.25;34.6;0.964;0.802;7.06e-06;0.000196;0.286;0.395;1.77e+05;8.6e+04;2.13e+03;4.11;103;1.04;25.9;361;37.8;40.1;0.000197;22.1;0;0;0;0;0;198;26;0.691;2.04;0.339;0.667;0.454;18.3;0.975;0.721;7.71e-06;0.000311; 51040;50;93;0.073;0.096;46;0.692;2.08;0.333;0.667;0.324;1.59;0.796;0.966;5.49e-06;2.69e-05; 51360;22;89;0.067;0.0964;48;0.687;2.06;0.333;0.667;0.319;1.59;0.799;0.968;5.45e-06;2.72e-05; 52800;32;81;0.0696;0.0966;50;0.00424;1.23;0.00346;0.667;0.151;13.1;0.988;0.0135;0.000418;0.0364; 24480;0;4;0.0761;0.106;53;42.5;42;34.3;  0%;  0%;  0%;34.3;25.6;37.9;  0%;  0%;  0%;34.8;39.1;26;  0%;  0%;  0%;12.5;11.9;19.6;  0%;  0%;  0%;50.8;49.2;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.519;11.1;0.000786;88.4;0;0;0;0;0;56.5;55.1;56.5;30.3;6.85 ;6.47 ;6.61 ;6.02 ;
2018-01-24;13:36:03.279;0.119;0.471;0.252;0.667;0.553;33.9;0.984;0.029;1.37e-05;0.00084;0.13;0.132;4.04e+04;8.59e+04;2.13e+03;0.941;23.5;0.237;5.94;106;37.8;40.1;0.000437;22.1;0;0;0;0;0;172;24.4;0.159;0.471;0.338;0.667;0.185;16.5;0.989;0.0267;1.36e-05;0.00121; 47200;19;13;0.0351;0.0332;46;0.155;0.466;0.333;0.667;0.106;1.18;0.91;0.125;8.02e-06;8.91e-05; 50880;5;11;0.0313;0.0331;48;0.155;0.465;0.333;0.667;0.108;1.1;0.902;0.134;8.17e-06;8.3e-05; 51760;4;26;0.0317;0.0332;50;0.00513;1.29;0.00398;0.667;0.154;15.2;0.99;0.0146;0.000353;0.0348; 24640;0;4;0.0321;0.0323;53;11.9;11.8;14.7;  0%;  0%;  0%;6.6;6.44;8.53;  0%;  0%;  0%;7.17;9.55;7.94;  0%;  0%;  0%;5.42;4.68;11;  0%;  0%;  0%;50.8;49.2;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.597;11.1;0.00175;88.3;0;0;0;0;0;48;46.5;47.7;30.3;6.59 ;6.08 ;6.14 ;5.6 ;
2018-01-24;13:36:04.291;0.117;0.463;0.252;0.667;0.51;34.1;0.985;0.028;1.29e-05;0.000859;0.118;0.119;3.97e+04;8.58e+04;2.13e+03;0.925;23.1;0.233;5.83;98.6;37.8;38.7;0;23.4;0;12.2;0;0;0;171;24.1;0.157;0.463;0.338;0.667;0.168;17;0.99;0.0252;1.26e-05;0.00128; 48480;13;18;0.0345;0.0328;47;0.152;0.458;0.333;0.667;0.101;1.09;0.908;0.139;7.78e-06;8.42e-05; 49680;9;15;0.0299;0.0314;48;0.152;0.458;0.333;0.667;0.0946;1.08;0.912;0.135;7.29e-06;8.33e-05; 52240;4;18;0.0309;0.0318;50;0.0048;1.26;0.00382;0.658;0.146;14.9;0.99;0.0131;0.000359;0.0365; 24400;0;2;0.0229;0.023;53;9.82;9.04;12.4;  0%;  0%;  0%;7.92;7.75;9.04;  0%;  0%;  0%;7.24;8.01;7.37;  0%;  0%;  0%;5.1;5;9.88;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.581;5.68;0;93.7;0;48.8;0;0;0;47.9;46.4;47.6;29.4;6.56 ;6.08 ;6.17 ;5.27 ;
2018-01-24;13:36:05.303;0.115;0.457;0.252;0.667;0.534;34.4;0.984;0.0288;1.36e-05;0.000879;0.131;0.135;3.92e+04;8.58e+04;2.13e+03;0.913;22.8;0.23;5.76;106;37.8;40.4;0;21.8;0;0;0;0;0;172;24.3;0.155;0.458;0.338;0.667;0.176;17.1;0.99;0.0261;1.33e-05;0.0013; 47200;17;22;0.0357;0.0345;47;0.15;0.452;0.333;0.667;0.104;1.1;0.905;0.143;8.12e-06;8.58e-05; 49920;5;22;0.0311;0.0338;48;0.15;0.451;0.333;0.667;0.106;1.1;0.904;0.144;8.33e-06;8.64e-05; 51920;6;27;0.032;0.0337;50;0.00488;1.25;0.0039;0.667;0.148;15.1;0.99;0.0128;0.000357;0.0365; 24720;0;3;0.0326;0.0334;54;11.3;10.9;13.6;  0%;  0%;  0%;7.83;7.11;9.28;  0%;  0%;  0%;8;9.44;8.19;  0%;  0%;  0%;5.6;4.85;10.3;  0%;  0%;  0%;50.8;49.2;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.585;12.3;0;87.1;0;0;0;0;0;47.9;46.4;47.5;30.4;6.55 ;6.05 ;6.14 ;5.58 ;
2018-01-24;13:36:06.316;0.118;0.47;0.252;0.667;0.45;27.7;0.984;0.0319;1.12e-05;0.000688;0.123;0.128;4.03e+04;8.56e+04;2.13e+03;0.94;23.5;0.237;5.92;92.8;37.8;40.1;0.000142;22.1;0;0;0;0;0;172;24.1;0.159;0.471;0.338;0.667;0.14;14.9;0.991;0.0263;1.04e-05;0.0011; 47680;15;9;0.0334;0.0336;47;0.155;0.467;0.333;0.667;0.0943;1.14;0.917;0.134;7.13e-06;8.59e-05; 49760;6;12;0.0292;0.0314;48;0.155;0.466;0.333;0.667;0.0957;1.09;0.912;0.142;7.25e-06;8.26e-05; 52720;8;31;0.0295;0.0312;50;0.0035;1.18;0.00297;0.667;0.119;10.6;0.989;0.0143;0.0004;0.0356; 24640;0;3;0.031;0.0322;53;8.28;8.24;9.69;  0%;  0%;  0%;8;7.07;8.24;  0%;  0%;  0%;8.54;9.01;8.16;  0%;  0%;  0%;5.18;4.57;7.82;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.445;11;0.000567;88.5;0;0;0;0;0;47.9;46.5;47.7;30.2;6.48 ;6 ;6.11 ;5.55 ;
2018-01-24;13:36:07.328;0.118;0.47;0.252;0.667;0.505;33.2;0.985;0.0286;1.25e-05;0.000825;0.126;0.128;4.03e+04;8.57e+04;2.13e+03;0.939;23.5;0.237;5.92;98;37.8;40.1;0.000838;22.1;0;0;0;0;0;172;24.1;0.159;0.47;0.338;0.667;0.162;16.4;0.99;0.0259;1.2e-05;0.00121; 48160;17;22;0.0347;0.0331;47;0.155;0.465;0.333;0.667;0.106;1.11;0.904;0.14;8.08e-06;8.43e-05; 48320;5;22;0.0294;0.0307;48;0.155;0.465;0.333;0.667;0.0941;1.08;0.913;0.135;7.15e-06;8.24e-05; 52640;5;17;0.031;0.0323;50;0.00472;1.25;0.00378;0.667;0.142;14.6;0.99;0.013;0.000354;0.0364; 24960;0;4;0.0313;0.0316;53;10.1;8.74;11.7;  0%;  0%;  0%;8.7;8.56;9.88;  0%;  0%;  0%;6.93;7.22;6.6;  0%;  0%;  0%;4.83;5.39;9.37;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.567;11.1;0.00335;88.4;0;0;0;0;0;47.9;46.4;47.6;30.3;6.48 ;6.05 ;6.05 ;5.55 ;
2018-01-24;13:36:08.422;0.111;0.456;0.242;0.667;0.525;32.6;0.984;0.0305;1.32e-05;0.00082;0.131;0.135;3.97e+04;8.71e+04;2.13e+03;0.912;22.8;0.221;5.53;112;36.4;39.4;0.00125;24.2;0;11.6;0;0;0;185;25.8;0.148;0.457;0.325;0.667;0.165;15.7;0.989;0.0272;1.26e-05;0.0012; 48080;14;16;0.0381;0.0372;46;0.145;0.452;0.321;0.667;0.103;1.11;0.907;0.147;8.05e-06;8.64e-05; 49200;2;21;0.0329;0.0352;48;0.148;0.451;0.327;0.667;0.11;1.12;0.902;0.151;8.27e-06;8.41e-05; 52400;6;29;0.0337;0.0358;51;0.00441;1.24;0.00356;0.658;0.146;14.7;0.99;0.0133;0.00036;0.0362; 24640;0;2;0.0262;0.0269;53;10.6;10.5;12.8;  0%;  0%;  0%;9.1;8.38;9.84;  0%;  0%;  0%;9.43;10.2;9.15;  0%;  0%;  0%;6.06;5.43;10.1;  0%;  0%;  0%;48.7;51.3;0;0;0;0;0;0;0;48.1;51.9;0;0;0;0;0;0;0;49.1;50.9;0;0;0;0;0;0;0;0.54;4.77;0.0049;94.7;0;45.3;0;0;0;51.8;50.2;51.4;31.8;7.06 ;6.5 ;6.59 ;5.63 ;
