System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:25:35.782;0.524;1.91;0.275;0.762;2.62;36.5;0.928;0.964;1.37e-05;0.000191;0.384;0.263;1.91e+05;1e+05;2.13e+03;3.81;95.3;1.05;26.2;414;36.1;42.5;0.00135;21.5;0;0;0;0;0;241;29.3;0.696;1.89;0.369;0.762;0.724;22.8;0.968;0.933;1.16e-05;0.000367; 53040;31;30;0.0967;0.0626;45;0.699;1.92;0.364;0.762;0.698;2.04;0.657;0.994;1.11e-05;3.24e-05; 49680;10;53;0.108;0.0707;47;0.716;1.91;0.374;0.762;1.04;2.77;0.626;0.992;1.57e-05;4.2e-05; 53680;26;53;0.0983;0.0629;49;0.00271;1.12;0.00242;0.762;0.158;8.89;0.982;0.0156;0.000619;0.0349; 24960;0;13;0.0816;0.0668;53;44.3;47.3;21.2;  0%;  0%;  0%;50.7;17.8;44.4;  0%;  0%;  0%;47.2;44.5;19.4;  0%;  0%;  0%;27.3;23.2;26.5;  0%;  0%;  0%;48.4;51.6;0;0;0;0;0;0;0;47.8;52.2;0;0;0;0;0;0;0;49.1;50.9;0;0;0;0;0;0;0;0.318;16.1;0.00528;83.5;0;0;0;0;0;68.9;67.4;69.3;35.2;7.71 ;7.38 ;7.47 ;6.77 ;
2018-01-24;13:25:36.958;0.32;1.8;0.177;0.762;50.6;99;0.488;0.773;0.000404;0.00079;3.79;2.26;1.25e+05;6.96e+04;2.35e+03;3.6;90;0.639;16;5.84e+03;23.3;28.5;0.104;48.1;0;10.9;0;0;0;209;40;0.427;1.73;0.247;0.762;16.6;43.7;0.621;0.722;0.000401;0.00106; 51040;325;1015;0.976;0.587;46;0.334;1.63;0.205;0.762;17.1;24.3;0.296;0.832;0.000522;0.000741; 48400;389;1055;0.982;0.587;47;0.518;2.01;0.258;0.762;16.8;24;0.301;0.81;0.000329;0.000471; 50560;402;982;0.967;0.586;49;0.00195;1.05;0.00185;0.73;0.152;6.93;0.978;0.0132;0.00079;0.036; 24080;1;9;0.864;0.504;53;722;695;221;  3%;  3%;  0%;743;220;720;  3%;  0%;  3%;751;698;221;  3%;  3%;  0%;279;283;285;  1%;  1%;  1%;32.5;34.8;0.197;32.5;0;6.09;0;0;0;26.8;33.1;0.102;39.9;0;0.257;0;0;0;33.9;39.8;0.0818;26.3;0;0;0;0;0;0.253;6.66;0.0358;93;0;37;0;0;0;58.8;54.3;59.8;36.5;10.3 ;10.3 ;10.6 ;8.81 ;
2018-01-24;13:25:37.971;0.888;2.92;0.305;0.762;3.66;42.8;0.914;0.832;1.17e-05;0.000136;0.627;0.792;3.14e+05;1.08e+05;2.47e+03;5.83;146;1.78;44.4;940;40;38.2;0.0138;21.8;0;0;0;0;0;229;27.1;1.19;2.88;0.415;0.762;1.32;29.3;0.955;0.715;1.2e-05;0.000267; 50720;96;194;0.158;0.24;46;1.17;2.94;0.399;0.762;1.09;2.52;0.568;0.966;1.03e-05;2.4e-05; 49840;51;177;0.203;0.19;47;1.14;2.94;0.388;0.762;1.09;2.96;0.631;0.957;1.1e-05;2.98e-05; 46240;55;175;0.129;0.176;49;0.0027;1.1;0.00246;0.762;0.169;8.06;0.979;0.0155;0.000737;0.035; 24160;0;5;0.137;0.186;53;112;104;70.6;  0%;  0%;  0%;103;56.9;129;  0%;  0%;  0%;99.4;116;53.6;  0%;  0%;  0%;27.1;29.6;38.3;  0%;  0%;  0%;54.4;45.4;0.000587;0.135;0;0;0;0;0;52.3;47.5;0;0.19;0;0;0;0;0;50.9;49;0.0509;0.0178;0;0;0;0;0;0.324;9.64;0.00457;90;0;0;0;0;0;66.1;64.5;66.7;31.5;7.29 ;6.85 ;6.76 ;6.22 ;
2018-01-24;13:25:38.983;0.511;1.77;0.288;0.762;0.938;37.1;0.975;0.778;5.4e-06;0.000214;0.16;0.173;1.74e+05;9.81e+04;2.13e+03;3.54;88.6;1.02;25.5;159;37.8;39.9;0.00206;22.3;0;0;0;0;0;213;24.9;0.685;1.76;0.389;0.762;0.366;25.8;0.986;0.639;6.28e-06;0.000442; 50000;17;45;0.0445;0.0438;46;0.68;1.78;0.381;0.762;0.205;1.47;0.86;0.967;3.55e-06;2.54e-05; 51520;10;47;0.0377;0.043;47;0.675;1.77;0.381;0.762;0.228;1.48;0.846;0.965;3.97e-06;2.58e-05; 49760;11;50;0.0383;0.0412;49;0.00282;1.14;0.00248;0.762;0.139;8.43;0.983;0.015;0.000581;0.0351; 24320;0;1;0.0397;0.045;53;16.6;18.2;16.8;  0%;  0%;  0%;12.1;8.28;14.2;  0%;  0%;  0%;14.7;18.5;12.5;  0%;  0%;  0%;7.61;5.89;13.4;  0%;  0%;  0%;51;49;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.325;10.6;0.00824;89.1;0;0;0;0;0;60.9;59.3;61.1;31.4;6.71 ;6.22 ;6.21 ;5.74 ;
2018-01-24;13:25:39.995;0.134;0.466;0.288;0.762;0.508;36;0.986;0.0277;1.11e-05;0.00079;0.118;0.119;4.56e+04;9.79e+04;2.13e+03;0.931;23.3;0.268;6.71;102;37.8;38.4;0.00257;23.8;0;13.7;0;0;0;185;23.7;0.183;0.47;0.389;0.762;0.177;25.4;0.993;0.0217;1.14e-05;0.00164; 51680;10;21;0.0347;0.0327;46;0.176;0.462;0.381;0.762;0.0996;1.08;0.908;0.126;6.67e-06;7.25e-05; 50960;4;25;0.0306;0.0321;47;0.176;0.462;0.381;0.762;0.106;1.11;0.905;0.139;7.08e-06;7.44e-05; 50960;11;28;0.031;0.0318;50;0.00281;1.16;0.00243;0.733;0.126;8.42;0.985;0.0147;0.000529;0.0353; 24480;0;3;0.022;0.0227;54;9.77;10.2;11.9;  0%;  0%;  0%;7.61;6.81;8.81;  0%;  0%;  0%;8.37;10.1;8.38;  0%;  0%;  0%;5.36;4.8;9.49;  0%;  0%;  0%;51;49;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.331;4.46;0.0103;95.2;0;55;0;0;0;52;50.6;51.9;30.7;6.58 ;5.96 ;5.95 ;5.2 ;
2018-01-24;13:25:40.994;0.133;0.462;0.288;0.762;0.498;34.9;0.986;0.0289;1.11e-05;0.000781;0.116;0.119;4.47e+04;9.67e+04;2.1e+03;0.925;23.1;0.266;6.66;104;37.8;37.8;0.00103;24.3;0;18.1;0;0;0;183;23.1;0.181;0.466;0.388;0.762;0.18;24.3;0.993;0.0228;1.19e-05;0.0016; 51680;11;21;0.0337;0.033;46;0.175;0.458;0.381;0.762;0.0922;1.11;0.917;0.129;6.3e-06;7.61e-05; 50400;5;23;0.0305;0.0327;47;0.174;0.458;0.381;0.762;0.0958;1.1;0.913;0.142;6.54e-06;7.48e-05; 52480;4;30;0.0318;0.033;49;0.00286;1.17;0.00244;0.724;0.13;8.46;0.985;0.0149;0.000542;0.0353; 24640;0;3;0.0196;0.0201;53;11.6;11.7;14;  0%;  0%;  0%;6.9;6.55;9.15;  0%;  0%;  0%;6.88;9.41;7.35;  0%;  0%;  0%;5.14;4.68;10.4;  0%;  0%;  0%;51;49;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.337;2.31;0.00412;97.3;0;72.6;0;0;0;51.4;50;51.3;30.1;6.46 ;5.92 ;5.89 ;4.88 ;
2018-01-24;13:25:42.004;0.134;0.464;0.288;0.762;0.566;36.5;0.984;0.0287;1.25e-05;0.000804;0.122;0.123;4.54e+04;9.79e+04;2.12e+03;0.928;23.2;0.267;6.68;112;37.8;38.2;0.00125;24;0;17.3;0;0;0;185;23.6;0.182;0.468;0.389;0.762;0.199;25.6;0.992;0.0224;1.29e-05;0.00166; 50960;14;21;0.0359;0.0343;46;0.175;0.46;0.381;0.762;0.112;1.15;0.902;0.131;7.56e-06;7.73e-05; 50320;4;26;0.0317;0.0333;47;0.175;0.46;0.381;0.762;0.111;1.12;0.9;0.144;7.48e-06;7.52e-05; 53280;13;27;0.0331;0.0337;50;0.00288;1.16;0.00247;0.721;0.144;8.61;0.983;0.0148;0.000588;0.0353; 24880;1;2;0.0214;0.0216;53;11.6;11.5;14.1;  0%;  0%;  0%;8.24;7.6;10.2;  0%;  0%;  0%;8.14;10.3;8.04;  0%;  0%;  0%;5.63;5.28;11;  0%;  0%;  0%;51;49;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.343;3.65;0.00498;96;0;69.1;0;0;0;51.9;50.5;51.9;30.5;6.6 ;6.06 ;6.01 ;4.88 ;
2018-01-24;13:25:43.015;0.133;0.463;0.288;0.762;0.511;35.2;0.985;0.0291;1.13e-05;0.000778;0.129;0.131;4.53e+04;9.78e+04;2.12e+03;0.926;23.1;0.267;6.67;103;37.8;39.6;0.000458;22.6;0;0;0;0;0;186;24;0.181;0.466;0.388;0.762;0.187;24.4;0.992;0.0223;1.22e-05;0.00159; 51200;8;20;0.0348;0.0337;46;0.175;0.459;0.381;0.762;0.0932;1.08;0.914;0.134;6.28e-06;7.27e-05; 50320;6;25;0.0303;0.0324;47;0.175;0.459;0.381;0.762;0.0998;1.1;0.909;0.14;6.73e-06;7.42e-05; 53440;5;30;0.032;0.0329;50;0.00313;1.2;0.00261;0.762;0.131;8.64;0.985;0.0174;0.000494;0.0325; 25200;0;3;0.0316;0.0317;53;11.1;10.8;13.3;  0%;  0%;  0%;7.36;6.96;9.73;  0%;  0%;  0%;7.02;9.4;7.16;  0%;  0%;  0%;5.26;4.77;10.6;  0%;  0%;  0%;51;49;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.343;9.14;0.00183;90.5;0;0;0;0;0;52;50.6;51.9;31.2;6.57 ;5.9 ;5.98 ;5.52 ;
2018-01-24;13:25:44.037;0.131;0.455;0.287;0.762;0.672;35.4;0.981;0.0325;1.51e-05;0.000794;0.181;0.141;4.47e+04;9.8e+04;2.12e+03;0.911;22.8;0.261;6.53;169;37.6;39.1;0.00115;23.3;0;8.93;0;0;0;187;24.7;0.178;0.459;0.387;0.762;0.303;24;0.987;0.0277;2e-05;0.00158; 52720;16;31;0.0527;0.039;46;0.171;0.451;0.379;0.762;0.113;1.15;0.902;0.133;7.77e-06;7.91e-05; 51760;7;31;0.0441;0.036;47;0.171;0.451;0.379;0.762;0.111;1.12;0.901;0.146;7.6e-06;7.67e-05; 50880;6;31;0.0454;0.0365;50;0.00302;1.14;0.00266;0.743;0.145;9.15;0.984;0.0146;0.000558;0.0353; 24880;0;3;0.0389;0.0293;53;14.9;14.5;16.7;  0%;  0%;  0%;9.25;8.53;25.5;  0%;  0%;  0%;8.93;24.7;8.57;  0%;  0%;  0%;5.95;5.83;25.4;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;49.7;50.3;0;0;0;0;0;0;0;49.8;50.2;0;0;0;0;0;0;0;0.358;6.73;0.00459;92.9;0;35.6;0;0;0;52.4;51;52.4;31.4;6.7 ;6.22 ;6.33 ;5.46 ;
2018-01-24;13:25:45.050;0.202;0.699;0.29;0.762;0.693;35.9;0.981;0.411;1e-05;0.00052;0.178;0.129;6.9e+04;9.88e+04;2.15e+03;1.4;34.9;0.405;10.1;174;38;37.4;0.00117;24.6;0;21.3;0;0;0;190;24.8;0.274;0.701;0.39;0.762;0.253;24.8;0.99;0.263;1.08e-05;0.00106; 53200;13;19;0.0524;0.0375;46;0.266;0.696;0.383;0.762;0.149;1.34;0.889;0.857;6.54e-06;5.9e-05; 50560;6;25;0.0461;0.0354;47;0.266;0.697;0.382;0.762;0.158;1.24;0.873;0.866;6.94e-06;5.49e-05; 50240;10;26;0.0473;0.0353;50;0.00285;1.15;0.00248;0.717;0.134;8.52;0.984;0.0147;0.000553;0.0352; 24880;0;4;0.0324;0.021;53;14.2;14.4;15.3;  0%;  0%;  0%;9.7;7.96;26.6;  0%;  0%;  0%;9.95;27.3;9.21;  0%;  0%;  0%;6.73;6.13;26.9;  0%;  0%;  0%;51.2;48.8;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.345;0.938;0.0047;98.7;0;85.7;0;0;0;53.7;52.3;53.7;30.3;6.75 ;6.34 ;6.49 ;5.22 ;
