System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:27:16.518;0.473;1.65;0.287;0.762;67.7;121;0.442;0.816;0.00042;0.000752;4.75;2.3;1.61e+05;9.78e+04;2.13e+03;3.3;82.4;0.945;23.6;7.5e+03;37.6;37.9;0.0494;24.4;0;17.2;0;0;0;216;35.1;0.63;1.63;0.386;0.762;22;48.7;0.548;0.787;0.000409;0.000905; 49680;367;981;1.26;0.62;45;0.628;1.65;0.379;0.762;22.9;32.1;0.285;0.848;0.000429;0.000599; 53440;358;1063;1.2;0.584;46;0.629;1.66;0.379;0.762;22.6;29.8;0.242;0.858;0.000421;0.000555; 49120;338;1066;1.22;0.606;48;0.00346;1.15;0.003;0.724;0.189;10.7;0.982;0.0136;0.000639;0.0363; 28000;1;0;1.07;0.492;53;955;963;252;  4%;  4%;  1%;952;255;928;  4%;  1%;  4%;953;959;247;  4%;  4%;  1%;340;353;338;  1%;  1%;  1%;50.7;48.8;0.0295;0.409;0;0;0;0;0;49.8;49.7;0.0582;0.429;0;0;0;0;0;49.7;49.8;0.0975;0.431;0;0;0;0;0;0.415;3.13;0.0122;96.4;0;68.8;0;0;0;61.9;60.5;62.3;31.7;9.22 ;9.04 ;9.28 ;7.55 ;
2018-01-24;13:27:17.531;0.341;2.59;0.132;0.761;5.65;29.6;0.809;0.411;4.86e-05;0.000254;0.732;0.756;1.16e+05;4.49e+04;2.13e+03;5.17;129;0.682;17.1;1.07e+03;17.3;23.6;0.0844;58.9;0;11.3;0;0;0;161;30.3;0.278;2.34;0.119;0.76;1.62;15.4;0.895;0.313;6.83e-05;0.000651; 49040;91;168;0.192;0.238;46;0.522;2.7;0.194;0.761;1.44;4.43;0.675;0.597;3.24e-05;9.96e-05; 51200;56;172;0.212;0.181;47;0.564;2.63;0.214;0.762;2.49;6.48;0.615;0.52;5.2e-05;0.000135; 51600;95;289;0.17;0.169;49;0.0011;0.899;0.00122;0.762;0.101;3.26;0.969;0.0166;0.00108;0.0347; 26320;2;4;0.159;0.168;53;106;130;54.1;  0%;  0%;  0%;130;50.9;126;  0%;  0%;  0%;133;146;70.9;  0%;  0%;  0%;49.8;33.3;38.6;  0%;  0%;  0%;15.6;18.6;0.0703;65.7;0;18.4;0;0;0;25.4;28.5;0.0593;46;0;26.9;0;0;0;28.1;35;0.197;36.6;0;0;0;0;0;0.161;12.5;0.0107;87.4;0;0;0;0;0;39.9;43.3;46.3;31.7;7.83 ;7.74 ;7.76 ;6.93 ;
2018-01-24;13:27:18.544;0.884;3.08;0.287;0.762;1.05;23;0.954;0.92;3.49e-06;7.64e-05;0.265;0.373;3.01e+05;9.78e+04;2.13e+03;6.16;154;1.77;44.2;331;37.7;39.9;0.00309;22.5;0;0;0;0;0;240;25.7;1.17;3.05;0.385;0.762;0.38;13.3;0.971;0.866;3.8e-06;0.000133; 52560;43;94;0.0664;0.0909;45;1.18;3.1;0.381;0.762;0.255;1.49;0.83;0.983;2.53e-06;1.49e-05; 53040;21;74;0.064;0.0944;47;1.18;3.1;0.381;0.762;0.302;1.72;0.824;0.981;3.01e-06;1.71e-05; 49840;35;77;0.0637;0.0901;49;0.00222;1.1;0.00203;0.762;0.115;6.49;0.982;0.0171;0.00061;0.0344; 26320;3;0;0.0707;0.098;53;36.1;38.1;30.6;  0%;  0%;  0%;30.8;21.8;32.4;  0%;  0%;  0%;34.3;37.4;27;  0%;  0%;  0%;13.6;10.9;17.6;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.266;9.91;0.0124;89.8;0;0;0;0;0;69.5;68.2;70.5;31.4;6.76 ;6.34 ;6.46 ;6.17 ;
2018-01-24;13:27:19.621;0.298;1.07;0.279;0.762;0.831;35.8;0.977;0.623;7.83e-06;0.000337;0.152;0.148;1.06e+05;9.92e+04;2.13e+03;2.14;53.4;0.597;14.9;135;36.6;40.3;0.00213;23;0;0;0;0;0;210;26.1;0.402;1.07;0.375;0.762;0.25;21.8;0.989;0.472;7.08e-06;0.000618; 49680;18;21;0.0422;0.0378;46;0.399;1.08;0.37;0.762;0.177;1.38;0.872;0.934;5.03e-06;3.93e-05; 52320;10;26;0.0379;0.0377;47;0.397;1.06;0.376;0.762;0.241;3.94;0.939;0.835;6.82e-06;0.000111; 48480;9;37;0.0368;0.0359;50;0.00271;1.13;0.0024;0.762;0.163;8.65;0.981;0.0154;0.000664;0.0352; 26320;1;3;0.0355;0.0368;53;12.3;14.8;12;  0%;  0%;  0%;11.1;7.44;10.7;  0%;  0%;  0%;13.4;15.5;12.9;  0%;  0%;  0%;8.93;5.91;9.8;  0%;  0%;  0%;49.3;50.7;0;0;0;0;0;0;0;48.5;51.5;0;0;0;0;0;0;0;49.4;50.6;0;0;0;0;0;0;0;0.315;9.28;0.00837;90.4;0;0;0;0;0;59.4;57.9;59.5;33.3;7.02 ;6.49 ;6.51 ;6.11 ;
2018-01-24;13:27:20.633;0.137;0.463;0.297;0.762;0.531;32.7;0.984;0.0314;1.12e-05;0.000687;0.13;0.123;4.76e+04;1.03e+05;2.26e+03;0.926;23.1;0.275;6.87;114;39;37.7;0.00288;23.3;0;14.6;0;0;0;185;24;0.187;0.467;0.399;0.762;0.181;21.8;0.992;0.0252;1.11e-05;0.00133; 51920;13;23;0.0374;0.034;46;0.18;0.46;0.392;0.762;0.107;1.19;0.91;0.129;6.77e-06;7.51e-05; 54080;7;38;0.0337;0.0328;47;0.177;0.457;0.387;0.762;0.114;1.12;0.899;0.147;7.46e-06;7.36e-05; 49200;5;17;0.0353;0.0339;49;0.00286;1.18;0.00242;0.726;0.13;8.65;0.985;0.0148;0.000535;0.0356; 26640;1;3;0.0237;0.0227;53;10.3;10.1;11.5;  0%;  0%;  0%;9.1;8.38;13.4;  0%;  0%;  0%;8.02;11.9;8.14;  0%;  0%;  0%;5.99;5.52;12;  0%;  0%;  0%;52.4;47.6;0;0;0;0;0;0;0;51.5;48.5;0;0;0;0;0;0;0;50.7;49.3;0;0;0;0;0;0;0;0.333;4.58;0.0117;95.1;0;59.6;0;0;0;52;50.5;51.9;30.7;6.62 ;6 ;6.06 ;5.29 ;
2018-01-24;13:27:21.644;0.132;0.46;0.288;0.762;0.526;33.9;0.984;0.0292;1.17e-05;0.000753;0.131;0.135;4.5e+04;9.78e+04;2.12e+03;0.92;23;0.265;6.62;107;37.8;40;0.00181;22.2;0;0;0;0;0;186;24.1;0.18;0.463;0.388;0.762;0.157;22;0.993;0.0229;1.03e-05;0.00145; 50320;18;16;0.035;0.0342;46;0.174;0.456;0.381;0.762;0.103;1.08;0.905;0.132;6.98e-06;7.34e-05; 53680;9;12;0.0323;0.0343;47;0.174;0.456;0.381;0.762;0.13;1.54;0.916;0.119;8.8e-06;0.000104; 50720;8;28;0.0323;0.0336;49;0.00305;1.18;0.00258;0.762;0.136;9.23;0.985;0.0142;0.000526;0.0357; 26800;3;0;0.0317;0.0332;53;9.07;10.6;10.8;  0%;  0%;  0%;8.59;7.04;8.28;  0%;  0%;  0%;10.2;11.6;10.5;  0%;  0%;  0%;6.93;5.21;8.69;  0%;  0%;  0%;50.9;49.1;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.338;10.8;0.00722;88.8;0;0;0;0;0;51.9;50.5;51.9;31.3;6.5 ;5.91 ;5.99 ;5.67 ;
2018-01-24;13:27:22.654;0.133;0.462;0.288;0.762;0.565;36.2;0.984;0.0281;1.25e-05;0.000802;0.133;0.134;4.52e+04;9.79e+04;2.12e+03;0.923;23.1;0.266;6.65;110;37.8;40.7;0.00158;21.5;0;0;0;0;0;186;24.3;0.181;0.465;0.388;0.762;0.173;24.2;0.993;0.0219;1.13e-05;0.00158; 48560;10;17;0.0356;0.0336;45;0.174;0.457;0.381;0.762;0.113;1.32;0.914;0.113;7.64e-06;8.91e-05; 51440;9;18;0.0323;0.0337;47;0.174;0.458;0.381;0.762;0.145;2.35;0.938;0.0832;9.81e-06;0.000158; 51200;6;20;0.0328;0.0338;49;0.00278;1.15;0.00241;0.762;0.134;8.37;0.984;0.0148;0.000568;0.0354; 26800;0;2;0.0321;0.0327;53;10.4;11.6;11.3;  0%;  0%;  0%;8.65;7.25;9.42;  0%;  0%;  0%;9.41;11.3;9.53;  0%;  0%;  0%;6.83;5.25;8.73;  0%;  0%;  0%;51;49;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.316;13.9;0.00631;85.8;0;0;0;0;0;51.9;50.5;51.9;31.7;6.55 ;6 ;6.04 ;5.68 ;
2018-01-24;13:27:23.665;0.131;0.456;0.288;0.762;0.536;25.9;0.979;0.0353;1.21e-05;0.000581;0.13;0.131;4.45e+04;9.77e+04;2.12e+03;0.911;22.8;0.262;6.55;106;37.7;40.4;0.00375;21.9;0;0;0;0;0;186;24.2;0.176;0.457;0.385;0.762;0.16;13.6;0.988;0.0297;1.07e-05;0.000908; 50080;16;20;0.0345;0.0325;46;0.172;0.452;0.381;0.762;0.112;1.95;0.943;0.0814;7.66e-06;0.000133; 52000;5;26;0.0315;0.0332;47;0.173;0.453;0.381;0.762;0.134;2.31;0.942;0.0806;9.12e-06;0.000158; 51680;4;20;0.0332;0.0342;49;0.00297;1.04;0.00285;0.762;0.131;8.02;0.984;0.019;0.000519;0.0319; 26960;2;6;0.0308;0.0315;53;11.2;11.3;11.5;  0%;  0%;  0%;8.3;7.55;9.73;  0%;  0%;  0%;7.87;9.46;8.48;  0%;  0%;  0%;6.59;5.48;8.43;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.375;12.2;0.015;87.4;0;0;0;0;0;51.8;50.5;51.9;31.5;6.58 ;5.98 ;6.05 ;5.6 ;
2018-01-24;13:27:24.681;0.132;0.461;0.287;0.762;0.484;25;0.981;0.035;1.08e-05;0.000554;0.124;0.126;4.5e+04;9.76e+04;2.12e+03;0.923;23.1;0.264;6.61;101;37.6;39.8;0.00118;22.6;0;5.1;0;0;0;186;24.3;0.178;0.463;0.384;0.762;0.151;14.7;0.99;0.0279;9.95e-06;0.000969; 49120;21;23;0.0331;0.0319;46;0.174;0.458;0.38;0.762;0.0979;1.17;0.916;0.127;6.6e-06;7.89e-05; 53440;6;22;0.0309;0.0327;47;0.174;0.458;0.38;0.762;0.11;1.12;0.902;0.145;7.41e-06;7.57e-05; 50880;12;12;0.0328;0.0338;49;0.00266;1.16;0.0023;0.746;0.126;7.99;0.984;0.0153;0.000554;0.0352; 27360;0;4;0.0269;0.0275;53;10.8;10.9;11.9;  0%;  0%;  0%;7.39;7.02;9.09;  0%;  0%;  0%;7.15;8.64;7.95;  0%;  0%;  0%;6.11;5.13;8.81;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.309;9.34;0.0047;90.3;0;20.4;0;0;0;52.1;50.8;52.1;31.2;6.62 ;6.05 ;6.14 ;5.47 ;
2018-01-24;13:27:25.693;0.204;0.71;0.288;0.762;0.673;22;0.969;0.529;9.68e-06;0.000316;0.131;0.13;6.95e+04;9.79e+04;2.13e+03;1.42;35.5;0.408;10.2;110;37.7;41.3;0.000831;20.9;0;0;0;0;0;191;24.4;0.275;0.713;0.385;0.762;0.212;12.6;0.983;0.396;9.04e-06;0.00054; 50880;13;19;0.0361;0.0326;46;0.27;0.709;0.381;0.762;0.145;1.24;0.883;0.863;6.31e-06;5.39e-05; 53600;3;14;0.0319;0.0333;47;0.269;0.705;0.381;0.762;0.19;1.26;0.848;0.871;8.32e-06;5.49e-05; 50480;7;23;0.0334;0.0328;49;0.00233;1.06;0.00219;0.762;0.126;6.84;0.982;0.0166;0.000636;0.0345; 27520;1;2;0.0299;0.0316;53;10.1;11.4;10.3;  0%;  0%;  0%;8.35;6.61;9.26;  0%;  0%;  0%;9.69;11.5;9.54;  0%;  0%;  0%;7.79;6.01;9.39;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.288;15.8;0.00333;83.9;0;0;0;0;0;53.5;52.3;53.7;31.9;6.61 ;6.05 ;6.14 ;5.65 ;
