System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:22:34.878;0.567;1.97;0.289;0.81;16.7;55.3;0.699;0.932;8.63e-05;0.000286;1.38;1.1;1.93e+05;9.83e+04;2.13e+03;3.93;98.3;1.13;28.4;1.93e+03;35.6;38.7;0.0244;25.7;0;0;0;0;0;226;28.7;0.756;1.95;0.387;0.81;5.75;21.4;0.732;0.92;8.94e-05;0.000333; 49440;148;385;0.379;0.285;45;0.755;1.98;0.381;0.81;5.3;7.63;0.305;0.971;8.24e-05;0.000119; 46800;130;335;0.335;0.266;46;0.754;1.98;0.381;0.81;5.45;7.83;0.304;0.971;8.48e-05;0.000122; 52080;118;349;0.346;0.269;49;0.00579;1.25;0.00463;0.81;0.185;18.4;0.99;0.012;0.000376;0.0374; 22080;0;16;0.317;0.283;54;220;228;87.2;  1%;  1%;  0%;213;76.9;222;  1%;  0%;  1%;210;224;75.6;  1%;  1%;  0%;120;118;130;  0%;  0%;  0%;47.8;47.3;0.0225;4.88;0;0;0;0;0;47.1;49.1;0.0155;3.77;0;0;0;0;0;47.1;49.6;0.0462;3.27;0;0;0;0;0;0.572;8.7;0.0132;90.7;0;0;0;0;0;64.8;63.1;65.5;32.4;7.65 ;7.15 ;7.32 ;6.55 ;
2018-01-24;13:22:35.891;0.635;2.8;0.227;0.809;5.61;38.9;0.856;0.733;2.59e-05;0.00018;0.73;0.698;2.16e+05;7.72e+04;2.13e+03;5.6;140;1.27;31.8;1.05e+03;28;30.8;0.197;41;0;13.9;0;0;0;198;27.9;0.844;2.81;0.301;0.809;1.83;10.3;0.822;0.768;2.54e-05;0.000143; 51120;89;165;0.179;0.221;45;0.847;2.81;0.302;0.809;1.75;4.91;0.643;0.879;2.43e-05;6.81e-05; 49200;59;188;0.148;0.157;46;0.842;2.83;0.298;0.81;1.84;4.32;0.575;0.895;2.56e-05;6.02e-05; 48720;54;184;0.257;0.175;48;0.00653;0.919;0.00711;0.786;0.189;19.4;0.99;0.0141;0.000341;0.0348; 21840;2;1;0.146;0.145;53;114;125;60.6;  0%;  0%;  0%;126;56.1;131;  0%;  0%;  0%;128;141;55.7;  0%;  0%;  0%;40.2;35.3;40.8;  0%;  0%;  0%;37.2;38.4;0.162;24.3;0;13.4;0;0;0;37.3;39.3;0.378;23;0;4.26;0;0;0;36.8;40.4;0.153;22.7;0;0;0;0;0;0.905;5.01;0.0956;94;0;38;0;0;0;55.5;54.3;55.9;31.8;7.47 ;6.98 ;7.39 ;6.05 ;
2018-01-24;13:22:36.903;0.899;2.94;0.306;0.809;1.25;28.5;0.956;0.901;4.1e-06;9.31e-05;0.27;0.377;3.06e+05;1.04e+05;2.13e+03;5.89;147;1.8;45;348;37.8;38.8;0.00272;23.5;0;11.7;0;0;0;251;25.4;1.19;2.93;0.407;0.81;0.533;8.08;0.934;0.916;5.25e-06;7.96e-05; 53600;48;102;0.0663;0.0895;45;1.2;2.97;0.405;0.81;0.277;1.55;0.821;0.982;2.7e-06;1.51e-05; 52640;19;61;0.0691;0.0967;46;1.19;2.95;0.405;0.81;0.297;1.62;0.817;0.981;2.92e-06;1.6e-05; 49840;14;74;0.0676;0.0946;48;0.00544;1.27;0.00429;0.789;0.147;17.2;0.991;0.0123;0.000317;0.0372; 21760;0;3;0.0672;0.0958;54;45.7;45.3;39.9;  0%;  0%;  0%;27.8;20.9;37.3;  0%;  0%;  0%;28.7;37;21.8;  0%;  0%;  0%;11.5;10.3;21.6;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.544;5.48;0.0109;94;0;46.9;0;0;0;73.1;71.7;74.2;31.8;6.91 ;6.33 ;6.39 ;5.76 ;
2018-01-24;13:22:37.914;0.142;0.466;0.306;0.81;0.56;31.4;0.982;0.0314;1.16e-05;0.000649;0.131;0.132;4.84e+04;1.04e+05;2.12e+03;0.932;23.3;0.285;7.12;107;37.8;40.3;0.00207;21.9;0;0;0;0;0;196;23.9;0.19;0.465;0.409;0.81;0.188;11.7;0.984;0.0373;1.16e-05;0.000722; 54880;19;34;0.0343;0.0328;45;0.188;0.463;0.405;0.81;0.118;1.14;0.896;0.149;7.41e-06;7.13e-05; 52800;5;16;0.0327;0.0334;46;0.187;0.46;0.405;0.81;0.126;1.23;0.897;0.107;7.95e-06;7.73e-05; 49360;3;23;0.0326;0.0335;49;0.0055;1.28;0.00431;0.81;0.128;17.4;0.993;0.0125;0.000274;0.0372; 21920;0;1;0.0311;0.032;54;13.1;12.5;13.5;  0%;  0%;  0%;7.66;6.62;9.98;  0%;  0%;  0%;7.6;9.71;7.24;  0%;  0%;  0%;5.49;4.78;9.18;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.532;11.9;0.00828;87.5;0;0;0;0;0;54.9;53.3;55;32.6;6.5 ;5.86 ;5.92 ;5.58 ;
2018-01-24;13:22:38.924;0.14;0.456;0.306;0.81;0.508;36.4;0.986;0.0265;1.07e-05;0.000766;0.129;0.13;4.74e+04;1.04e+05;2.12e+03;0.913;22.8;0.279;6.99;103;37.8;38.8;0.000877;23.3;0;0;0;0;0;195;24;0.187;0.457;0.41;0.81;0.162;16.4;0.99;0.0283;1.02e-05;0.00103; 53680;16;30;0.0338;0.0332;45;0.183;0.452;0.405;0.81;0.102;1.14;0.911;0.115;6.56e-06;7.36e-05; 51120;11;17;0.0308;0.032;47;0.183;0.452;0.405;0.81;0.115;1.45;0.92;0.0923;7.43e-06;9.35e-05; 49200;3;23;0.0323;0.0331;49;0.00548;1.29;0.00426;0.81;0.129;17.3;0.993;0.0123;0.000278;0.0372; 22000;1;2;0.0316;0.0319;54;11.1;10.5;12;  0%;  0%;  0%;8.58;7.74;10.1;  0%;  0%;  0%;7.7;8.86;7.27;  0%;  0%;  0%;5.39;5.04;8.51;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.526;6.1;0.00351;93.4;0;0;0;0;0;54.8;53.3;54.9;32;6.46 ;5.98 ;5.92 ;5.61 ;
2018-01-24;13:22:39.937;0.139;0.452;0.306;0.81;0.546;41.9;0.987;0.0246;1.16e-05;0.000889;0.132;0.129;4.71e+04;1.04e+05;2.12e+03;0.905;22.6;0.277;6.93;107;37.9;38.8;0.000621;23.4;0;0.701;0;0;0;195;24;0.186;0.453;0.411;0.81;0.184;18.5;0.99;0.0268;1.16e-05;0.00117; 51200;19;23;0.0339;0.0319;45;0.181;0.448;0.405;0.81;0.108;1.96;0.945;0.071;6.99e-06;0.000127; 51680;4;18;0.0328;0.0328;47;0.181;0.447;0.405;0.81;0.116;2.23;0.948;0.0647;7.53e-06;0.000145; 50640;6;20;0.0334;0.0328;49;0.00606;1.22;0.00497;0.806;0.138;19.1;0.993;0.0123;0.000269;0.0372; 21920;0;2;0.0317;0.0312;53;12.8;12.3;14.7;  0%;  0%;  0%;6.8;6.7;9.77;  0%;  0%;  0%;6.64;9.55;6.96;  0%;  0%;  0%;5.4;5.08;10.5;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.617;5.85;0.00249;93.5;0;2.8;0;0;0;54.9;53.4;55;32;6.45 ;6 ;5.96 ;5.57 ;
2018-01-24;13:22:40.948;0.142;0.464;0.306;0.81;0.498;36.9;0.987;0.0274;1.03e-05;0.000763;0.128;0.129;4.83e+04;1.04e+05;2.13e+03;0.928;23.2;0.284;7.1;101;37.8;38.8;0.00101;23.4;0;0.254;0;0;0;195;24;0.191;0.465;0.411;0.81;0.169;17.9;0.991;0.0279;1.04e-05;0.0011; 46640;14;29;0.0326;0.0326;45;0.186;0.46;0.405;0.81;0.0943;1.12;0.916;0.118;5.95e-06;7.1e-05; 51600;6;14;0.0314;0.0327;47;0.186;0.459;0.405;0.81;0.101;1.17;0.913;0.119;6.4e-06;7.37e-05; 49680;5;33;0.0321;0.0325;49;0.00531;1.28;0.00416;0.807;0.133;16.7;0.992;0.0127;0.000294;0.037; 22000;0;2;0.0316;0.0316;54;11.2;11.2;12.8;  0%;  0%;  0%;6.98;6.41;8.78;  0%;  0%;  0%;7.48;9.56;7.54;  0%;  0%;  0%;5.38;4.54;8.96;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.515;5.9;0.00405;93.6;0;1.02;0;0;0;54.9;53.4;55;31.9;6.5 ;5.96 ;6.03 ;5.54 ;
2018-01-24;13:22:41.962;0.139;0.454;0.306;0.81;0.546;38.8;0.986;0.0259;1.15e-05;0.000819;0.131;0.13;4.73e+04;1.04e+05;2.12e+03;0.909;22.7;0.278;6.95;106;37.8;38.9;0.0018;23.3;0;0;0;0;0;196;24.2;0.186;0.454;0.41;0.81;0.179;16.2;0.989;0.0285;1.13e-05;0.00103; 48640;11;28;0.0346;0.033;45;0.182;0.45;0.405;0.81;0.103;1.14;0.91;0.116;6.63e-06;7.33e-05; 50400;5;9;0.032;0.0325;47;0.182;0.449;0.405;0.81;0.113;1.18;0.905;0.114;7.28e-06;7.66e-05; 50800;4;23;0.0325;0.0326;49;0.00636;1.28;0.00496;0.81;0.152;20.2;0.992;0.0122;0.00028;0.0373; 22000;2;0;0.0322;0.0319;54;11;10.9;13.8;  0%;  0%;  0%;7.38;7.34;8.96;  0%;  0%;  0%;7.66;9.42;8.05;  0%;  0%;  0%;6.14;5.43;10.1;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.613;6.28;0.00718;93.1;0;0;0;0;0;55;53.5;55.1;32.2;6.58 ;5.96 ;5.99 ;5.64 ;
2018-01-24;13:22:42.973;0.14;0.457;0.307;0.81;0.557;39.7;0.986;0.0259;1.17e-05;0.000831;0.13;0.133;4.77e+04;1.04e+05;2.13e+03;0.915;22.9;0.281;7.02;107;37.9;38.8;0.0025;23.2;0;0;0;0;0;195;24.1;0.188;0.457;0.411;0.81;0.189;16.5;0.989;0.0293;1.18e-05;0.00104; 51440;19;25;0.0335;0.0332;45;0.184;0.452;0.406;0.81;0.107;1.27;0.916;0.105;6.87e-06;8.16e-05; 50240;2;11;0.0321;0.0334;47;0.183;0.452;0.406;0.81;0.109;1.17;0.907;0.117;7e-06;7.5e-05; 52320;7;24;0.0325;0.0335;49;0.00653;1.29;0.00507;0.81;0.151;20.7;0.993;0.0119;0.000273;0.0373; 22240;0;2;0.0323;0.033;54;11.9;11.7;13.7;  0%;  0%;  0%;7.62;6.99;9.57;  0%;  0%;  0%;7.88;9.64;7.79;  0%;  0%;  0%;5.54;5.05;9.47;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.626;6.3;0.01;93.1;0;0;0;0;0;54.8;53.3;54.9;31.9;6.56 ;5.94 ;5.98 ;5.61 ;
2018-01-24;13:22:43.984;0.328;1.07;0.306;0.809;0.843;36.9;0.977;0.625;7.56e-06;0.000331;0.14;0.14;1.12e+05;1.04e+05;2.12e+03;2.14;53.6;0.657;16.4;138;37.8;38.8;0.00215;23.4;0;10.6;0;0;0;209;24.2;0.435;1.06;0.41;0.81;0.323;15.8;0.98;0.571;8.74e-06;0.000427; 56080;19;32;0.0406;0.0376;45;0.436;1.08;0.405;0.81;0.178;1.31;0.864;0.94;4.79e-06;3.54e-05; 49840;8;22;0.0357;0.0363;47;0.436;1.08;0.405;0.81;0.193;1.55;0.875;0.928;5.21e-06;4.18e-05; 50720;6;32;0.0359;0.0364;49;0.00604;1.26;0.00479;0.792;0.15;18.3;0.992;0.0138;0.000291;0.0356; 22240;0;16;0.0276;0.0297;53;14.5;14.8;14.6;  0%;  0%;  0%;10.8;8.43;13.5;  0%;  0%;  0%;11.2;14.4;9.59;  0%;  0%;  0%;7.64;6.71;12.4;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.605;5.98;0.00859;93.4;0;42.6;0;0;0;59.5;58;59.8;31.8;6.62 ;6.13 ;6.09 ;5.34 ;
