System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:15:48.582;0.482;2.58;0.187;0.856;7.14;31.2;0.771;0.318;4.36e-05;0.00019;0.864;0.806;1.64e+05;6.36e+04;2.12e+03;5.15;129;0.964;24.1;1.34e+03;21.9;31.5;1.13;45.6;0;14.8;0;0;0;177;29.6;0.628;2.58;0.243;0.856;2.29;7.66;0.702;0.353;4.29e-05;0.000144; 50240;93;186;0.215;0.247;48;0.658;2.59;0.254;0.856;2.43;7.5;0.677;0.408;4.34e-05;0.000134; 51920;88;261;0.169;0.18;49;0.638;2.58;0.247;0.856;2.27;5.31;0.572;0.488;4.19e-05;9.79e-05; 50400;66;214;0.314;0.209;52;0.0037;0.895;0.00413;0.819;0.156;10.7;0.985;0.015;0.000495;0.034;  5040;4;4;0.166;0.169;54;152;162;73.1;  0%;  0%;  0%;165;72.1;165;  0%;  0%;  0%;167;183;67.6;  0%;  0%;  0%;45.9;46.3;45.6;  0%;  0%;  0%;28.4;33.8;2.59;35.2;0;17.9;0;0;0;29.7;36.4;1.41;32.5;0;13.9;0;0;0;28.8;37.3;0.536;33.3;0;15.3;0;0;0;0.505;18.3;0.00242;81.2;0;12;0;0;0;48.2;47.7;48.9;32.4;7.8 ;7.27 ;7.71 ;6.86 ;
2018-01-24;13:15:49.638;0.0114;1.52;0.00749;0.854;1.79;5.48;0.674;0.301;0.000443;0.00136;0.286;0.422;4.03e+03;2.65e+03;2.13e+03;3.05;76.2;0.0228;0.57;535;0.876;19;1.45;78.7;0;15.8;0;0;0;134;32.4;0.0135;1.46;0.0093;0.855;0.681;2.32;0.706;0.214;0.000573;0.00195; 52800;28;86;0.0772;0.108;48;0.0239;1.59;0.0151;0.853;0.71;2.4;0.704;0.362;0.000337;0.00114; 53520;36;95;0.0646;0.0973;49;0.00824;1.51;0.00544;0.857;0.383;0.669;0.428;0.349;0.000524;0.000915; 52400;23;57;0.0725;0.111;52;6.76e-05;0.332;0.000203;0.837;0.0142;0.091;0.844;0.0852;0.00236;0.0152;  4960;0;2;0.0711;0.106;54;80.5;70.5;58.3;  0%;  0%;  0%;42.3;31.4;55.8;  0%;  0%;  0%;43.5;47.1;23.7;  0%;  0%;  0%;20.4;29.3;32.4;  0%;  0%;  0%;1.09;20.1;2.49;76.3;0;0;0;0;0;1.77;7.18;2.2;88.9;0;28.5;0;0;0;0.635;13.5;1.11;84.7;0;0;0;0;0;0.0243;35;0;65;0;34.7;0;0;0;34.6;32.4;33;34.4;8.28 ;8.19 ;8.36 ;7.57 ;
2018-01-24;13:15:50.593;0.0155;1.62;0.00956;0.857;2.48;5.45;0.544;0.309;0.000498;0.00109;0.363;0.543;4.99e+03;3.08e+03;2.1e+03;3.24;81;0.031;0.774;731;1.11;38.1;0.428;60.3;0;0;0;0;0;138;31.1;0.0212;1.57;0.0134;0.857;0.894;3.14;0.715;0.213;0.00052;0.00183; 50880;41;115;0.0934;0.137;48;0.0287;1.67;0.0172;0.857;1.1;1.53;0.28;0.421;0.000476;0.000662; 51200;48;164;0.083;0.127;49;0.0119;1.63;0.00727;0.857;0.473;0.696;0.321;0.399;0.000496;0.00073; 50240;25;68;0.0905;0.142;52;7.41e-05;0.336;0.000221;0.857;0.0149;0.0844;0.823;0.103;0.00251;0.0142;  5040;0;2;0.0964;0.137;54;115;95.4;83.9;  0%;  0%;  0%;57.9;46.3;76.2;  0%;  0%;  0%;56.5;55.5;27.6;  0%;  0%;  0%;27.7;45.1;44.1;  0%;  0%;  0%;1.57;21.8;1.62;75;0;0;0;0;0;2.01;29.7;0.0789;68.2;0;0;0;0;0;0.848;44.9;0;54.2;0;0;0;0;0;0.0258;56.3;0;43.6;0;0;0;0;0;33.9;33.6;35.3;35.4;7.81 ;8 ;7.98 ;7.36 ;
2018-01-24;13:15:51.654;0.019;1.64;0.0116;0.857;3.32;6.89;0.519;0.321;0.000497;0.00103;0.508;0.743;6.67e+03;4.08e+03;2.13e+03;3.27;81.8;0.038;0.949;1.01e+03;1.35;38.4;0.277;59.9;0;0.843;0;0;0;156;35.2;0.0254;1.59;0.0159;0.857;1.12;3.79;0.704;0.228;0.000507;0.00171; 51520;55;134;0.129;0.19;48;0.024;1.66;0.0144;0.857;1.03;1.42;0.278;0.41;0.00049;0.000678; 52080;54;145;0.123;0.182;50;0.0268;1.67;0.016;0.857;1.15;1.59;0.276;0.418;0.000487;0.000672; 55760;53;155;0.121;0.182;52;7.51e-05;0.32;0.000234;0.856;0.0217;0.102;0.787;0.103;0.00325;0.0153;  5120;0;1;0.134;0.189;53;140;145;109;  0%;  0%;  0%;82.7;49.5;89.7;  0%;  0%;  0%;82.2;94.4;53.9;  0%;  0%;  0%;53.6;49.5;59.2;  0%;  0%;  0%;1.86;19.6;0.586;78;0;0;0;0;0;1.68;25;0.26;73.1;0;0;0;0;0;1.87;40.2;0.269;57.6;0;0;0;0;0;0.0274;68.4;0;31.6;0;3.33;0;0;0;38;36.8;39.9;40.8;8.78 ;9.01 ;9.06 ;8.32 ;
2018-01-24;13:15:52.666;0.0303;1.64;0.0185;0.857;4.49;14.4;0.687;0.31;0.00043;0.00137;0.586;0.882;1.04e+04;6.38e+03;2.23e+03;3.28;81.9;0.0606;1.51;1.18e+03;2.16;37.8;1.11;59;0;8.92;0;0;0;151;34.2;0.0525;1.63;0.0322;0.857;1.96;8.29;0.763;0.245;0.00043;0.00181; 48720;84;260;0.145;0.21;48;0.0324;1.63;0.0198;0.857;1.05;3.38;0.689;0.372;0.000374;0.0012; 48960;49;134;0.146;0.225;49;0.0356;1.66;0.0214;0.857;1.46;2.59;0.438;0.404;0.000476;0.000846; 51680;65;186;0.141;0.223;51;6.97e-05;0.403;0.000173;0.849;0.0155;0.0866;0.821;0.0814;0.00262;0.0146;  5120;0;1;0.154;0.224;53;164;176;137;  0%;  0%;  0%;85.7;48.8;106;  0%;  0%;  0%;86.1;120;59.4;  0%;  0%;  0%;60;50.1;82.1;  0%;  0%;  0%;3.75;24.9;0.925;70.4;0;0;0;0;0;2.31;33.5;0.307;63.9;0;6.73;0;0;0;2.5;38.3;3.2;56;0;0;0;0;0;0.0204;54.7;0;45.3;0;29.3;0;0;0;38.3;36.6;38.8;37.6;8.51 ;8.78 ;8.77 ;8.11 ;
2018-01-24;13:15:53.677;0.0687;1.58;0.0436;0.857;8.68;42.5;0.796;0.33;0.000371;0.00182;0.969;1.27;2.34e+04;1.48e+04;2.13e+03;3.15;78.8;0.137;3.44;1.78e+03;5.09;51.8;1.64;41.5;0;0;0;0;0;166;35.3;0.0659;1.55;0.0425;0.857;2.1;13.3;0.842;0.254;0.000376;0.00238; 50160;83;225;0.248;0.322;48;0.089;1.59;0.056;0.857;2.48;12.4;0.799;0.354;0.000328;0.00163; 50240;86;294;0.236;0.305;49;0.12;1.58;0.0757;0.857;4.06;16.7;0.757;0.366;0.000399;0.00164; 52080;155;419;0.231;0.284;52;0.000341;1.02;0.000334;0.857;0.0373;0.184;0.797;0.165;0.00128;0.00633;  5840;1;5;0.254;0.356;54;200;246;137;  1%;  1%;  0%;191;84.9;144;  0%;  0%;  0%;174;179;110;  0%;  0%;  0%;134;91.4;90.2;  0%;  0%;  0%;4.96;27.1;2.3;65.7;0;0;0;0;0;6.53;52.5;1.31;39.7;0;0;0;0;0;8.83;50.6;2.95;37.6;0;0;0;0;0;0.0389;76.9;0;23;0;0;0;0;0;39.4;41.8;44.6;40.3;8.8 ;9.05 ;9.05 ;8.45 ;
2018-01-24;13:15:54.689;0.103;1.53;0.0675;0.857;18;72.3;0.751;0.332;0.000513;0.00206;1.62;1.81;3.51e+04;2.3e+04;2.12e+03;3.06;76.5;0.207;5.16;2.95e+03;7.88;47.2;4.12;40.8;0;0;0;0;0;172;37.2;0.119;1.51;0.0787;0.857;5.24;24.2;0.783;0.298;0.000518;0.00239; 50800;157;457;0.414;0.45;48;0.0755;1.57;0.0481;0.857;2.17;11.2;0.806;0.368;0.000338;0.00175; 53040;86;226;0.401;0.464;50;0.218;1.53;0.143;0.857;10.6;36.8;0.712;0.343;0.000571;0.00198; 49200;348;948;0.394;0.387;51;6.79e-05;0.449;0.000151;0.857;0.0141;0.079;0.822;0.125;0.00244;0.0137;  5840;0;1;0.41;0.511;54;252;439;197;  1%;  2%;  1%;334;98.9;225;  1%;  0%;  1%;270;347;216;  1%;  1%;  1%;286;106;178;  1%;  0%;  0%;9.18;27.7;2.61;60.5;0;0;0;0;0;5.62;49.3;5.24;39.9;0;0;0;0;0;16.7;41.9;8.62;32.8;0;0;0;0;0;0.0176;70.1;0;29.8;0;0;0;0;0;42.2;41;48.7;39.5;9.28 ;9.49 ;9.54 ;8.93 ;
2018-01-24;13:15:55.703;0.0569;1.61;0.0354;0.857;7.7;30;0.744;0.326;0.000398;0.00155;0.905;1.2;1.94e+04;1.2e+04;2.13e+03;3.22;80.5;0.114;2.85;1.68e+03;4.12;42;2.26;51.6;0;0.888;0;0;0;159;35.1;0.06;1.58;0.0379;0.857;2.28;11.5;0.802;0.258;0.000447;0.00225; 50000;87;268;0.232;0.306;48;0.0974;1.63;0.0596;0.857;3.28;9.99;0.671;0.366;0.000396;0.00121; 52720;130;408;0.211;0.277;49;0.0703;1.61;0.0437;0.857;2.13;8.48;0.749;0.36;0.000355;0.00142; 51680;79;253;0.222;0.294;52;7.17e-05;0.365;0.000197;0.843;0.0167;0.088;0.81;0.108;0.00274;0.0144;  5760;0;1;0.239;0.322;54;226;195;139;  1%;  1%;  0%;163;107;173;  0%;  0%;  0%;165;144;79.5;  0%;  0%;  0%;82.5;114;92.7;  0%;  0%;  0%;4.42;32.2;3.73;59.7;0;0;0;0;0;6.95;33.3;2.51;57.2;0;0;0;0;0;5.1;30.8;2.79;61.3;0;0;0;0;0;0.0233;71.8;0;28.2;0;3.55;0;0;0;39.7;40.1;39.8;39.6;8.79 ;8.96 ;9.01 ;8.36 ;
2018-01-24;13:15:56.715;0.0601;1.59;0.0379;0.857;7.94;36;0.779;0.345;0.000388;0.00176;0.896;1.19;2.05e+04;1.29e+04;2.13e+03;3.17;79.3;0.12;3.01;1.69e+03;4.42;38.3;2.17;55.1;0;7.18;0;0;0;159;35.2;0.0994;1.54;0.0644;0.857;4.07;19.3;0.789;0.294;0.000481;0.00228; 48960;130;380;0.228;0.283;48;0.0568;1.63;0.035;0.857;1.34;6.69;0.8;0.409;0.000277;0.00138; 51760;59;196;0.223;0.318;49;0.084;1.62;0.052;0.857;2.51;9.87;0.746;0.387;0.000351;0.00138; 51600;120;335;0.211;0.281;52;7.55e-05;0.424;0.000178;0.856;0.0169;0.0918;0.816;0.0961;0.00262;0.0143;  5760;0;0;0.234;0.311;53;201;233;165;  1%;  1%;  0%;134;65.2;169;  0%;  0%;  0%;131;199;95.7;  0%;  1%;  0%;96.6;63.8;133;  0%;  0%;  0%;7.52;25.6;3.08;63.8;0;0;0;0;0;4.08;33;5.26;57.7;0;0;0;0;0;6.07;34.7;0.336;58.9;0;4.16;0;0;0;0.0208;59.9;0;40.1;0;24.6;0;0;0;41;38.5;41.1;38.6;8.71 ;9.04 ;9.02 ;8.4 ;
2018-01-24;13:15:57.727;0.0849;1.54;0.0549;0.857;13.6;57.7;0.764;0.318;0.000472;0.002;1.36;1.55;2.89e+04;1.87e+04;2.13e+03;3.09;77.2;0.17;4.24;2.37e+03;6.41;44.7;1.81;47;0;0;0;0;0;167;36.3;0.0768;1.51;0.0507;0.857;2.9;17.4;0.833;0.255;0.000445;0.00266; 50160;101;279;0.35;0.4;48;0.116;1.55;0.0748;0.857;4.57;18.2;0.75;0.353;0.000462;0.00185; 49600;154;481;0.333;0.374;49;0.146;1.56;0.0941;0.857;6.15;22;0.721;0.332;0.000494;0.00177; 49600;193;621;0.328;0.361;51;6.83e-05;0.434;0.000157;0.857;0.0152;0.0807;0.811;0.109;0.00262;0.0139;  5760;0;0;0.349;0.418;53;251;288;138;  1%;  1%;  0%;276;127;204;  1%;  0%;  1%;260;224;146;  1%;  1%;  0%;186;151;117;  0%;  0%;  0%;5.92;26.2;1.95;66;0;0;0;0;0;8.72;36.7;1.84;52.8;0;0;0;0;0;11;34.7;3.44;50.9;0;0;0;0;0;0.0183;81.4;0;18.6;0;0;0;0;0;40;41.5;44.3;40.9;9.02 ;9.32 ;9.27 ;8.66 ;
