System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:13:49.683;0.603;1.76;0.342;0.905;30.5;80.4;0.62;0.908;0.000149;0.000392;4.32;5.62;2.05e+05;1.16e+05;2.12e+03;3.53;88.2;1.21;30.2;7.49e+03;37.8;43.8;0.00327;18.4;0;0;0;0;0;259;39.5;0.801;1.77;0.453;0.905;10.3;16.7;0.384;0.941;0.000151;0.000246; 50160;608;1886;1.07;1.4;44;0.795;1.74;0.458;0.905;10.9;31.1;0.648;0.893;0.000162;0.000461; 51680;639;1877;1.03;1.38;45;0.81;1.79;0.453;0.905;9.12;14.9;0.387;0.947;0.000132;0.000216; 52000;548;1482;1.07;1.43;47;0.00575;1.25;0.00458;0.905;0.192;17.7;0.989;0.0157;0.000393;0.0363; 15840;0;9;1.16;1.41;53;861;805;530;  4%;  4%;  2%;819;556;866;  4%;  2%;  4%;787;775;473;  4%;  3%;  2%;314;357;342;  1%;  1%;  1%;50;50;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.506;26;0.0131;73.5;0;0;0;0;0;74.3;72.5;75.6;36.7;10 ;9.88 ;10.3 ;9.27 ;
2018-01-24;13:13:50.705;0.315;1.64;0.192;0.905;47;76.3;0.384;0.801;0.000435;0.000706;3.59;2.39;1.08e+05;6.58e+04;2.12e+03;3.28;82.1;0.631;15.8;4.78e+03;21.2;31.5;0.0728;47.2;0;2.5;0;0;0;205;37;0.414;1.64;0.253;0.905;15.6;19.7;0.209;0.84;0.000439;0.000555; 51120;319;783;0.952;0.602;44;0.421;1.64;0.256;0.904;15.8;26;0.392;0.798;0.00044;0.000722; 48080;286;815;0.891;0.572;46;0.424;1.65;0.257;0.905;15.4;20.3;0.24;0.833;0.000425;0.000559; 51680;280;761;0.916;0.591;48;0.00335;1.15;0.00292;0.905;0.143;10.3;0.986;0.0174;0.000497;0.0357; 15760;1;3;0.831;0.629;53;586;576;153;  2%;  2%;  0%;551;148;572;  2%;  0%;  2%;563;570;150;  2%;  2%;  0%;295;309;309;  1%;  1%;  1%;27.9;37.2;0.0315;34.8;0;0;0;0;0;28.3;31.5;0.148;40;0;10;0;0;0;28.4;30.8;0.0615;40.8;0;0;0;0;0;0.322;26.6;0.0496;73;0;0;0;0;0;56.7;54.7;57.1;36.5;9.35 ;9.1 ;9.87 ;8.66 ;
2018-01-24;13:13:51.718;0.964;2.9;0.332;0.905;3.74;46.5;0.919;0.807;1.14e-05;0.000141;0.522;0.608;3.29e+05;1.13e+05;2.15e+03;5.81;145;1.93;48.2;779;36.7;40.6;0.12;22.6;0;0.332;0;0;0;256;26.4;1.28;2.92;0.439;0.905;1.19;3.44;0.655;0.946;1.08e-05;3.14e-05; 52400;148;143;0.195;0.216;43;1.28;2.89;0.444;0.905;1.24;15.5;0.92;0.811;1.13e-05;0.000142; 48400;55;187;0.106;0.129;45;1.28;2.93;0.438;0.905;1.08;3.53;0.694;0.949;9.87e-06;3.23e-05; 52400;67;191;0.109;0.131;47;0.00781;1.07;0.0073;0.902;0.241;24;0.99;0.0129;0.000362;0.0361; 16160;1;4;0.112;0.131;53;94.3;89.6;50.2;  0%;  0%;  0%;73.4;51.6;108;  0%;  0%;  0%;73.5;100;48.1;  0%;  0%;  0%;26.9;31.4;31.4;  0%;  0%;  0%;48.5;49.5;0.111;1.89;0;0;0;0;0;49.1;49;0.174;1.77;0;0.0385;0;0;0;48.4;49.2;0.171;2.21;0;0.0452;0;0;0;0.809;14.6;0.0226;84.6;0;1.25;0;0;0;74.1;72.2;75.1;34.9;7.1 ;6.59 ;6.63 ;6.03 ;
2018-01-24;13:13:52.872;0.727;2.26;0.322;0.905;1.24;17.9;0.931;0.923;4.54e-06;6.56e-05;0.295;0.405;2.73e+05;1.21e+05;2.13e+03;4.51;113;1.45;36.4;367;35.6;44.7;0.0115;19.7;0;4.32;0;0;0;298;28.4;0.992;2.34;0.424;0.905;0.292;1.52;0.808;0.978;3.23e-06;1.68e-05; 50080;94;60;0.0815;0.105;44;0.982;2.28;0.431;0.905;0.42;4.55;0.908;0.941;4.64e-06;5.03e-05; 49680;34;98;0.0699;0.0985;45;0.964;2.16;0.445;0.905;0.388;1.81;0.785;0.976;4.22e-06;1.96e-05; 52800;35;123;0.0701;0.0974;47;0.00302;1.15;0.00262;0.888;0.14;10.1;0.986;0.0225;0.000479;0.0344; 16400;0;1;0.073;0.105;53;36.3;35;23.1;  0%;  0%;  0%;43.4;31.8;39.8;  0%;  0%;  0%;43.7;39.8;31;  0%;  0%;  0%;14.9;16.4;12.2;  0%;  0%;  0%;46.9;53.1;0;0;0;0;0;0;0;47.6;52.4;0;0;0;0;0;0;0;49.2;50.8;0;0;0;0;0;0;0;0.295;23.5;0.0447;76.2;0;16.8;0;0;0;86.1;84.1;87.6;40.6;7.75 ;7.05 ;7.05 ;6.59 ;
2018-01-24;13:13:53.882;0.164;0.456;0.36;0.905;0.451;7.1;0.936;0.104;7.82e-06;0.000123;0.122;0.125;5.77e+04;1.26e+05;2.42e+03;0.912;22.8;0.328;8.2;93.5;39.8;42.8;0.0238;17.4;0;0;0;0;0;215;23.8;0.219;0.454;0.482;0.905;0.106;1.1;0.904;0.136;5.34e-06;5.56e-05; 48960;77;13;0.0349;0.0327;44;0.217;0.454;0.477;0.905;0.14;1.18;0.881;0.178;7.21e-06;6.08e-05; 51280;12;35;0.0296;0.0313;45;0.211;0.458;0.461;0.905;0.111;1.12;0.9;0.152;6.11e-06;6.14e-05; 49520;3;25;0.0297;0.0316;48;0.0017;1.08;0.00158;0.905;0.0937;3.7;0.975;0.0506;0.000648;0.0256; 16880;0;5;0.0279;0.0298;53;9.06;7.54;6.77;  0%;  0%;  0%;9.92;9.51;10.2;  0%;  0%;  0%;8.39;7.83;7.49;  0%;  0%;  0%;5.28;6.48;5.02;  0%;  0%;  0%;53.3;46.7;0;0;0;0;0;0;0;52.7;47.3;0;0;0;0;0;0;0;51;49;0;0;0;0;0;0;0;0.175;27.6;0.0987;72.2;0;0;0;0;0;60.1;58.3;61;36.1;6.48 ;5.95 ;5.95 ;5.46 ;
2018-01-24;13:13:54.896;0.156;0.456;0.341;0.905;0.543;33.8;0.984;0.0292;1.03e-05;0.000638;0.131;0.128;5.29e+04;1.16e+05;2.12e+03;0.912;22.8;0.311;7.78;106;37.7;44.1;0.00194;18.2;0;0;0;0;0;216;24;0.204;0.452;0.452;0.905;0.112;1.27;0.912;0.116;6.44e-06;7.34e-05; 49360;75;14;0.0361;0.0326;44;0.208;0.456;0.456;0.905;0.165;15.2;0.989;0.0244;9.35e-06;0.000861; 50080;4;27;0.0318;0.0323;45;0.205;0.452;0.452;0.905;0.11;1.19;0.908;0.136;6.33e-06;6.86e-05; 50160;3;33;0.0327;0.0328;48;0.00527;1.28;0.00411;0.905;0.155;16.1;0.99;0.0172;0.000347;0.0359; 16800;0;7;0.03;0.0307;53;10.7;9.15;8.81;  0%;  0%;  0%;9.93;12.2;10.9;  0%;  0%;  0%;7.9;7.84;7.53;  0%;  0%;  0%;5.72;9.21;6.29;  0%;  0%;  0%;49.9;50.1;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.454;26.9;0.00773;72.7;0;0;0;0;0;60.3;58.7;61.1;36;6.52 ;5.97 ;6.01 ;5.45 ;
2018-01-24;13:13:55.905;0.157;0.458;0.342;0.905;0.54;31.9;0.983;0.0307;1.01e-05;0.000599;0.129;0.127;5.32e+04;1.16e+05;2.13e+03;0.915;22.9;0.314;7.84;105;37.9;44.2;0.00179;17.9;0;0.36;0;0;0;215;23.8;0.206;0.454;0.454;0.905;0.107;1.14;0.907;0.129;6.1e-06;6.53e-05; 48720;76;21;0.0361;0.0326;45;0.209;0.457;0.458;0.905;0.163;13.6;0.988;0.0256;9.18e-06;0.000764; 50240;3;22;0.0326;0.0335;45;0.206;0.454;0.453;0.905;0.118;1.22;0.903;0.142;6.75e-06;6.95e-05; 47760;6;30;0.0313;0.0315;48;0.00525;1.26;0.00416;0.897;0.151;16;0.991;0.0173;0.00034;0.0359; 16720;0;6;0.0292;0.0298;53;9.97;9.64;8.8;  0%;  0%;  0%;8.55;10.5;8.68;  0%;  0%;  0%;9.24;9.62;9.19;  0%;  0%;  0%;6.12;8.66;5.95;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.464;27.7;0.00719;71.8;0;1.44;0;0;0;59.9;58.5;60.9;36.2;6.49 ;5.88 ;5.97 ;5.48 ;
2018-01-24;13:13:56.915;0.155;0.452;0.342;0.905;0.542;34.4;0.984;0.0302;1.03e-05;0.000655;0.132;0.133;5.24e+04;1.16e+05;2.12e+03;0.904;22.6;0.309;7.73;112;37.8;43.9;0.00243;18.4;0;0.597;0;0;0;215;23.7;0.203;0.448;0.453;0.905;0.0967;1.13;0.914;0.132;5.62e-06;6.55e-05; 47520;72;15;0.0368;0.0349;44;0.207;0.452;0.458;0.905;0.177;16.2;0.989;0.0242;1.01e-05;0.000924; 49200;7;30;0.0331;0.0343;45;0.203;0.448;0.453;0.905;0.121;1.27;0.905;0.147;7.05e-06;7.38e-05; 46400;7;31;0.0321;0.0331;48;0.00518;1.27;0.00408;0.901;0.147;15.7;0.991;0.0172;0.000335;0.0359; 16720;0;4;0.0304;0.0312;53;9.86;8.91;7.77;  0%;  0%;  0%;11.1;12.6;10.5;  0%;  0%;  0%;10.5;9.65;9.58;  0%;  0%;  0%;6.39;9.62;5.51;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.453;26.1;0.0097;73.5;0;2.39;0;0;0;59.8;58.4;60.9;35.7;6.49 ;5.82 ;5.92 ;5.47 ;
2018-01-24;13:13:57.924;0.156;0.456;0.342;0.905;0.518;33.1;0.984;0.0309;9.81e-06;0.000627;0.132;0.132;5.28e+04;1.16e+05;2.12e+03;0.912;22.8;0.312;7.79;110;37.8;45.4;0.00121;16.8;0;0;0;0;0;216;23.8;0.205;0.452;0.453;0.905;0.0924;1.08;0.914;0.136;5.32e-06;6.22e-05; 49120;68;9;0.0366;0.0344;44;0.209;0.456;0.457;0.905;0.167;15.1;0.989;0.0249;9.47e-06;0.000856; 48560;3;29;0.0331;0.0341;45;0.205;0.452;0.453;0.905;0.113;1.21;0.907;0.15;6.49e-06;6.99e-05; 50160;7;33;0.0314;0.0326;48;0.0052;1.27;0.00409;0.905;0.146;15.7;0.991;0.0178;0.000331;0.0356; 16800;0;3;0.0305;0.0309;53;9.3;8.67;7.46;  0%;  0%;  0%;10.6;12.6;9.99;  0%;  0%;  0%;10.7;9.69;9.7;  0%;  0%;  0%;6.14;9.76;5.32;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.452;32.3;0.00484;67.2;0;0;0;0;0;59.9;58.5;60.8;36.9;6.53 ;5.81 ;5.96 ;5.49 ;
2018-01-24;13:13:58.937;0.16;0.468;0.342;0.905;0.552;39.7;0.986;0.0271;1.02e-05;0.000731;0.131;0.127;5.43e+04;1.16e+05;2.12e+03;0.936;23.4;0.32;7.99;107;37.8;45.5;0.00186;16.8;0;0;0;0;0;218;23.9;0.21;0.464;0.452;0.905;0.0907;1.16;0.922;0.119;5.1e-06;6.52e-05; 49280;71;16;0.0366;0.0331;44;0.215;0.469;0.459;0.905;0.186;21.7;0.991;0.0206;1.02e-05;0.00119; 48800;7;23;0.0332;0.033;45;0.21;0.464;0.452;0.905;0.119;1.27;0.906;0.14;6.68e-06;7.1e-05; 51520;8;37;0.0315;0.0315;48;0.00518;1.27;0.00408;0.905;0.157;15.6;0.99;0.0181;0.000356;0.0355; 16800;0;6;0.0298;0.0297;53;8.97;8.26;7.05;  0%;  0%;  0%;9.99;12.4;9.32;  0%;  0%;  0%;10.5;9.37;9.68;  0%;  0%;  0%;6.57;10.2;5.19;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50.7;49.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.451;32.5;0.00744;67.1;0;0;0;0;0;60.3;59;61.2;37;6.56 ;5.9 ;5.93 ;5.51 ;
