System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:04:40.312;1.07;3;0.359;1;24.5;75.5;0.676;0.812;6.3e-05;0.000195;1.91;1.8;3.88e+05;1.3e+05;2.12e+03;5.99;150;2.15;53.7;3.32e+03;35.9;43.3;0;20.9;0;11.5;0;0;0;441;43.1;1.43;3;0.476;1;6.56;29.1;0.775;0.781;5.18e-05;0.00023; 56160;208;532;0.494;0.455;36;1.43;2.99;0.478;1;9.66;19.9;0.515;0.845;7.59e-05;0.000157; 54720;249;759;0.473;0.426;36;1.47;3.01;0.49;1;8.05;18;0.554;0.864;6.01e-05;0.000135; 48800;212;631;0.477;0.439;39;0.00251;1.06;0.00237;0.937;0.191;8.44;0.977;0.0128;0.000825;0.0364; 26240;0;17;0.467;0.477;49;358;329;169;  1%;  1%;  0%;358;203;341;  1%;  0%;  1%;372;324;184;  1%;  1%;  0%;225;252;204;  1%;  1%;  0%;47.6;51;0;1.4;0;0;0;0;0;47.8;51.7;0;0.51;0;0;0;0;0;49;50.6;0;0.478;0;0;0;0;0;0.253;20.6;0;79.2;0;44.9;0;0;0;124;125;132;59;11.3 ;11.3 ;11.4 ;8.98 ;
2018-01-24;13:04:41.322;0.624;2.34;0.266;1;22.2;55.2;0.598;0.565;0.000102;0.000254;2;1.38;2.17e+05;9.28e+04;2.32e+03;4.68;117;1.25;31.2;3.04e+03;26.6;37.7;0.745;34.9;0;0.987;0;0;0;312;41;0.84;2.32;0.362;1;7.88;27.5;0.713;0.49;0.000106;0.000368; 48960;167;363;0.611;0.418;39;0.852;2.38;0.357;1;7.17;12;0.4;0.678;9.52e-05;0.000159; 49440;123;348;0.497;0.337;38;0.779;2.32;0.336;1;7.02;12.7;0.449;0.611;0.000104;0.000189; 52800;118;369;0.504;0.337;40;0.00103;1.03;0.00101;1;0.106;3.02;0.965;0.0156;0.00121;0.0344; 24720;0;3;0.385;0.291;49;397;388;139;  1%;  1%;  0%;356;119;413;  1%;  0%;  2%;350;409;117;  1%;  2%;  0%;108;110;135;  0%;  0%;  0%;36.2;33.1;2.65;28.1;0;3.87;0;0;0;35.7;38.4;0.112;25.7;0;0;0;0;0;33.6;41.7;0.168;24.5;0;0;0;0;0;0.101;37.8;0;62.1;0;0;0;0;0;82.1;83.3;88.2;58.4;10.6 ;10.3 ;10.5 ;9.53 ;
2018-01-24;13:04:42.331;1.16;3.09;0.377;1;1.4;26;0.946;0.92;3.54e-06;6.57e-05;0.291;0.396;3.95e+05;1.28e+05;2.12e+03;6.18;154;2.33;58.2;397;37.7;43.3;0;19;0;0;0;0;0;406;36;1.55;3.07;0.506;1;0.424;18;0.976;0.839;3.22e-06;0.000136; 49360;44;89;0.0727;0.101;36;1.55;3.11;0.5;1;0.479;1.98;0.758;0.981;3.63e-06;1.5e-05; 51040;41;111;0.0674;0.0956;37;1.55;3.09;0.5;1;0.392;2.18;0.82;0.979;2.99e-06;1.66e-05; 49440;30;85;0.0716;0.0993;39;0.00135;1.08;0.00125;1;0.103;3.83;0.973;0.0186;0.000895;0.0334; 25040;1;0;0.0793;0.1;50;41.9;38.9;29.5;  0%;  0%;  0%;45.9;33.7;44.7;  0%;  0%;  0%;41.9;38.9;29.5;  0%;  0%;  0%;16.6;18.3;17.8;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.125;23.9;0;76;0;0;0;0;0;114;115;121;55.5;9.43 ;9.1 ;9.07 ;8.43 ;
2018-01-24;13:04:43.363;0.399;1.07;0.372;1;0.669;24.4;0.973;0.737;4.87e-06;0.000178;0.136;0.136;1.37e+05;1.28e+05;2.12e+03;2.14;53.6;0.798;19.9;115;37.2;44.6;0;18.2;0;0;0;0;0;353;33.7;0.533;1.07;0.5;1;0.209;17.5;0.988;0.55;4.57e-06;0.000383; 49760;13;17;0.038;0.0343;39;0.534;1.08;0.495;1;0.177;1.42;0.875;0.942;3.88e-06;3.1e-05; 51360;9;22;0.0331;0.0341;38;0.531;1.07;0.497;1;0.171;1.26;0.864;0.95;3.74e-06;2.76e-05; 48800;3;26;0.0331;0.0343;40;0.00166;1.12;0.00148;1;0.112;4.17;0.973;0.0237;0.000777;0.029; 25280;0;5;0.032;0.033;49;12.2;11.3;10.1;  0%;  0%;  0%;10.9;8.78;11.8;  0%;  0%;  0%;10;10.6;8.3;  0%;  0%;  0%;6.3;6.29;8.86;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.5;50.5;0;0;0;0;0;0;0;49.7;50.3;0;0;0;0;0;0;0;0.148;27.6;0;72.3;0;0;0;0;0;96.3;96.6;102;57.8;9.01 ;8.44 ;8.44 ;7.82 ;
2018-01-24;13:04:44.371;0.173;0.454;0.382;1;0.44;23.9;0.982;0.0366;7.43e-06;0.000404;0.113;0.116;5.92e+04;1.3e+05;2.17e+03;0.909;22.7;0.347;8.67;91.2;38.2;40.9;0;21;0;12.3;0;0;0;322;30.6;0.234;0.457;0.511;1;0.122;18.1;0.993;0.0241;6.11e-06;0.000902; 49760;13;15;0.0319;0.0308;39;0.229;0.453;0.506;1;0.115;1.16;0.9;0.157;5.87e-06;5.9e-05; 52000;5;17;0.0299;0.0313;38;0.228;0.452;0.504;1;0.106;1.09;0.902;0.142;5.48e-06;5.62e-05; 49200;6;22;0.0296;0.0314;40;0.00128;1.07;0.00119;0.899;0.0953;3.6;0.973;0.0183;0.000879;0.0332; 25280;0;4;0.0213;0.0222;50;9.17;8.16;7.95;  0%;  0%;  0%;8.7;8.28;9.39;  0%;  0%;  0%;7.85;7.8;7.23;  0%;  0%;  0%;5.09;5.36;6.2;  0%;  0%;  0%;51.1;48.9;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;0.133;15.4;0;84.5;0;49.5;0;0;0;88;88.2;92.9;52.6;8.58 ;7.9 ;7.93 ;6.14 ;
2018-01-24;13:04:45.383;0.167;0.443;0.376;1;0.68;24.8;0.973;0.04;1.2e-05;0.000437;0.189;0.145;5.66e+04;1.28e+05;2.12e+03;0.886;22.2;0.334;8.34;174;37.6;45.2;0;17.2;0;0;0;0;0;327;33.6;0.225;0.446;0.505;1;0.26;18.3;0.986;0.0267;1.36e-05;0.000959; 50000;19;16;0.0499;0.0373;39;0.221;0.441;0.5;1;0.209;1.76;0.881;0.135;1.12e-05;9.4e-05; 50560;9;32;0.0463;0.0366;38;0.22;0.441;0.5;1;0.109;1.09;0.901;0.145;5.82e-06;5.86e-05; 50400;4;33;0.0462;0.0364;40;0.00127;1.07;0.00119;1;0.103;3.58;0.971;0.0189;0.000948;0.0331; 25440;0;3;0.0463;0.0352;49;15.5;12.3;11.9;  0%;  0%;  0%;11.7;11.2;32.4;  0%;  0%;  0%;11.3;23.4;8.94;  0%;  0%;  0%;6.34;8.28;21.2;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.119;31.3;0;68.6;0;0;0;0;0;88.2;88.4;93.1;57.3;8.88 ;8.36 ;8.42 ;7.91 ;
2018-01-24;13:04:46.391;0.168;0.446;0.378;1;0.446;24.1;0.981;0.0385;7.82e-06;0.000422;0.181;0.124;5.71e+04;1.28e+05;2.12e+03;0.892;22.3;0.337;8.42;147;37.8;45.1;0;17.1;0;0;0;0;0;326;34;0.227;0.449;0.506;1;0.134;18.1;0.993;0.0259;6.94e-06;0.00094; 49840;12;16;0.0471;0.0312;39;0.222;0.444;0.501;1;0.109;1.29;0.915;0.146;5.8e-06;6.82e-05; 50400;4;12;0.0448;0.0314;38;0.222;0.444;0.501;1;0.11;1.1;0.9;0.149;5.83e-06;5.84e-05; 51760;3;22;0.0443;0.0314;40;0.00128;1.08;0.00119;1;0.0934;3.59;0.974;0.0191;0.000863;0.0332; 25600;0;2;0.0449;0.0302;49;11.3;11;10.5;  0%;  0%;  0%;7.76;6.97;24.6;  0%;  0%;  0%;8.38;25.2;7.86;  0%;  0%;  0%;5.43;5.21;22.9;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.119;31.3;0;68.5;0;0;0;0;0;87.9;88;92.7;57.3;8.92 ;8.53 ;8.49 ;8.04 ;
2018-01-24;13:04:47.399;0.171;0.453;0.377;1;0.445;24;0.981;0.0366;7.7e-06;0.000415;0.123;0.125;5.78e+04;1.28e+05;2.12e+03;0.906;22.7;0.341;8.54;94.1;37.7;43.5;0;18.8;0;0;0;0;0;325;32;0.231;0.456;0.506;1;0.123;18.2;0.993;0.0241;6.3e-06;0.00093; 50560;19;13;0.0325;0.0308;39;0.226;0.451;0.5;1;0.121;1.21;0.9;0.151;6.34e-06;6.33e-05; 50000;4;19;0.0303;0.0318;39;0.226;0.451;0.5;1;0.105;1.09;0.904;0.14;5.51e-06;5.71e-05; 52480;5;26;0.0301;0.0322;40;0.00126;1.07;0.00118;1;0.0956;3.53;0.973;0.0192;0.000895;0.0331; 25680;0;7;0.03;0.0304;49;10.2;9;8.82;  0%;  0%;  0%;8.4;7.93;9.47;  0%;  0%;  0%;7.79;8.05;7.1;  0%;  0%;  0%;5.16;5.51;6.64;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.118;24.6;0;75.2;0;0;0;0;0;87.9;88.1;92.8;55.8;8.59 ;7.96 ;8 ;7.49 ;
2018-01-24;13:04:48.407;0.171;0.454;0.377;1;0.434;24;0.982;0.0356;7.49e-06;0.000414;0.112;0.112;5.8e+04;1.28e+05;2.12e+03;0.908;22.7;0.342;8.56;89.9;37.7;40.2;0;22.1;0;12.3;0;0;0;321;30.7;0.231;0.457;0.506;1;0.117;18.1;0.994;0.0236;6e-06;0.000926; 49360;13;12;0.0318;0.03;39;0.226;0.452;0.5;1;0.114;1.16;0.902;0.148;5.93e-06;6.05e-05; 49200;2;20;0.03;0.0308;39;0.226;0.452;0.5;1;0.106;1.1;0.903;0.138;5.56e-06;5.72e-05; 51520;11;22;0.0294;0.0306;40;0.00129;1.08;0.00119;0.879;0.0968;3.62;0.973;0.0189;0.000889;0.0332; 25600;0;3;0.0211;0.021;50;8.82;8.09;7.76;  0%;  0%;  0%;8.18;7.86;8.77;  0%;  0%;  0%;7.83;8.02;7.59;  0%;  0%;  0%;5.36;5.49;6.16;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.136;11.6;0;88.3;0;49.3;0;0;0;88;88.2;92.8;52;8.57 ;7.88 ;7.93 ;6.29 ;
2018-01-24;13:04:49.407;0.167;0.442;0.377;1;0.461;24.7;0.981;0.0357;8.22e-06;0.000441;0.123;0.125;5.6e+04;1.27e+05;2.1e+03;0.884;22.1;0.333;8.33;95;37.7;44.8;0;17.5;0;0;0;0;0;323;31.6;0.225;0.445;0.506;1;0.131;18.5;0.993;0.0238;6.92e-06;0.000977; 49600;16;14;0.0324;0.0311;39;0.22;0.44;0.5;1;0.115;1.25;0.908;0.144;6.24e-06;6.78e-05; 50240;8;19;0.0305;0.0319;39;0.22;0.44;0.5;1;0.111;1.11;0.9;0.143;6.01e-06;5.98e-05; 49840;3;22;0.0298;0.0315;41;0.00137;1.08;0.00127;1;0.103;3.87;0.973;0.0179;0.000893;0.0335; 25760;0;6;0.0301;0.0302;49;9.66;9.19;8.78;  0%;  0%;  0%;8.2;7.76;9.17;  0%;  0%;  0%;8.02;8.7;7.72;  0%;  0%;  0%;5.49;5.55;6.74;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.127;29.7;0;70.2;0;0;0;0;0;87.4;87.2;91.9;56.4;8.54 ;7.77 ;7.88 ;7.41 ;
