System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:06:18.205;0.714;1.94;0.368;1;12.8;205;0.938;0.823;5.1e-05;0.000819;1.96;1.52;2.51e+05;1.29e+05;2.12e+03;3.88;96.9;1.43;35.7;2.64e+03;36.8;44.6;0.0156;18.5;0;0;0;0;0;392;41.3;0.97;1.96;0.494;1;2.55;64.2;0.96;0.831;3.03e-05;0.000761; 47120;71;196;0.53;0.391;39;0.942;1.93;0.489;1;3.96;74.7;0.947;0.81;4.83e-05;0.00091; 43600;112;345;0.475;0.357;38;0.953;1.93;0.494;1;6.14;61.2;0.9;0.839;7.3e-05;0.000728; 45760;134;420;0.491;0.36;40;0.00166;1.1;0.00152;1;0.143;5.16;0.972;0.016;0.000965;0.0349; 32080;0;3;0.463;0.409;50;311;299;101;  1%;  1%;  0%;295;99.7;288;  1%;  0%;  1%;311;292;102;  1%;  1%;  0%;180;190;173;  0%;  0%;  0%;49.4;50.3;0.0171;0.269;0;0;0;0;0;48.9;51;0.0148;0.129;0;0;0;0;0;49.4;50.3;0.0276;0.24;0;0;0;0;0;0.152;27.3;0.00324;72.6;0;0;0;0;0;109;109;115;59.2;10.7 ;10.5 ;10.5 ;9.69 ;
2018-01-24;13:06:19.214;0.839;2.76;0.304;1;17.3;55.6;0.688;0.726;6e-05;0.000192;0.716;0.691;2.89e+05;1.04e+05;2.22e+03;5.53;138;1.68;42;1.05e+03;30.4;36.7;0.148;32.8;0;4.05;0;0;0;339;36.9;1.11;2.69;0.415;1;7.31;39;0.813;0.546;7.55e-05;0.000403; 52320;195;483;0.182;0.216;38;1.11;2.77;0.4;0.999;6.51;9.81;0.336;0.84;6.76e-05;0.000102; 51760;160;437;0.147;0.155;39;1.12;2.85;0.393;1;3.4;5.42;0.373;0.9;3.56e-05;5.67e-05; 50240;77;299;0.234;0.174;41;0.000596;0.725;0.000822;1;0.115;1.37;0.916;0.0348;0.00227;0.027; 31600;0;2;0.153;0.146;49;120;125;66.3;  0%;  0%;  0%;113;53.7;137;  0%;  0%;  0%;112;145;53.3;  0%;  0%;  0%;36.6;34.4;50.2;  0%;  0%;  0%;41.5;39.7;0.277;18.6;0;0.569;0;0;0;40.1;39.9;0.158;19.8;0;15.5;0;0;0;39.3;43.4;0.154;17.2;0;0;0;0;0;0.0822;23.6;0;76.3;0;0;0;0;0;93.4;91.8;98.3;55.7;9.91 ;8.87 ;9.5 ;8.6 ;
2018-01-24;13:06:20.224;1.11;2.93;0.378;1;1.17;41.9;0.972;0.885;3.13e-06;0.000111;0.257;0.362;3.76e+05;1.28e+05;2.12e+03;5.85;146;2.21;55.4;339;37.8;38.2;0;24;0;17.3;0;0;0;395;33.8;1.47;2.88;0.51;1;0.414;31.3;0.987;0.768;3.33e-06;0.000251; 53760;45;81;0.0666;0.091;39;1.48;2.95;0.501;1;0.315;2.42;0.87;0.978;2.51e-06;1.93e-05; 51040;37;73;0.0649;0.0915;38;1.48;2.95;0.501;1;0.333;2.52;0.868;0.977;2.65e-06;2e-05; 47120;24;89;0.0649;0.0911;40;0.00191;1.04;0.00184;0.885;0.112;5.61;0.98;0.0155;0.00069;0.0346; 32000;0;2;0.061;0.0882;50;38.2;38.5;29.5;  0%;  0%;  0%;33.7;24.4;36.8;  0%;  0%;  0%;34.2;37.7;25.5;  0%;  0%;  0%;12.2;11.9;16.7;  0%;  0%;  0%;51;49;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.208;3.77;0;96;0;69.1;0;0;0;113;113;119;50;9.72 ;8.96 ;9.02 ;6.14 ;
2018-01-24;13:06:21.244;0.172;0.457;0.376;1;0.549;35.5;0.985;0.0304;9.35e-06;0.000605;0.117;0.122;5.87e+04;1.28e+05;2.12e+03;0.914;22.9;0.344;8.59;110;37.6;37.6;0;24.9;0;22;0;0;0;322;30.3;0.234;0.461;0.506;1;0.185;29.4;0.994;0.0207;9.27e-06;0.00148; 51920;23;25;0.0346;0.0338;40;0.226;0.454;0.498;1;0.138;1.2;0.885;0.134;7.18e-06;6.26e-05; 51440;6;18;0.0334;0.0351;39;0.227;0.455;0.499;1;0.136;1.24;0.89;0.159;7.03e-06;6.4e-05; 47200;9;27;0.0319;0.0344;41;0.00128;1.1;0.00116;0.811;0.0896;3.66;0.976;0.0186;0.000819;0.0335; 32080;0;1;0.0175;0.0187;50;13;12.4;10.8;  0%;  0%;  0%;9.74;7.47;11.4;  0%;  0%;  0%;9.5;11.1;7.69;  0%;  0%;  0%;4.76;4.79;7.63;  0%;  0%;  0%;50.6;49.4;0;0;0;0;0;0;0;49.8;50.2;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.143;0.673;0;99.2;0;87.5;0;0;0;89.6;89.1;94.1;49.2;9.02 ;8.14 ;8.06 ;5.07 ;
2018-01-24;13:06:22.252;0.175;0.46;0.38;1;0.409;35.3;0.988;0.0279;6.88e-06;0.000594;0.115;0.119;5.94e+04;1.29e+05;2.14e+03;0.92;23;0.349;8.73;88;38;39;0;23;0;5.73;0;0;0;321;31.8;0.238;0.465;0.511;1;0.128;29.4;0.996;0.02;6.31e-06;0.00145; 51280;18;12;0.0313;0.0307;40;0.23;0.457;0.503;1;0.102;1.09;0.907;0.14;5.19e-06;5.56e-05; 51200;10;24;0.0288;0.0303;39;0.229;0.457;0.502;1;0.0958;1.12;0.914;0.131;4.91e-06;5.75e-05; 48560;7;27;0.029;0.0309;41;0.0013;1.09;0.0012;0.948;0.0837;3.68;0.977;0.0183;0.000758;0.0333; 32320;0;3;0.0262;0.0265;50;9.33;8.27;8.1;  0%;  0%;  0%;8.56;7.6;9.53;  0%;  0%;  0%;7.38;7.73;6.43;  0%;  0%;  0%;4.2;4.58;6.33;  0%;  0%;  0%;51.1;48.9;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;0.127;7.6;0;92.3;0;23;0;0;0;88.5;88.1;92.9;51.9;9.06 ;7.85 ;7.88 ;7.06 ;
2018-01-24;13:06:23.260;0.177;0.468;0.378;1;0.396;33.2;0.988;0.0299;6.63e-06;0.000554;0.12;0.124;5.98e+04;1.28e+05;2.12e+03;0.935;23.4;0.353;8.83;88.2;37.8;40;0;22.3;0;0;0;0;0;323;31.9;0.24;0.472;0.508;1;0.127;26.9;0.995;0.0211;6.24e-06;0.00133; 50720;18;23;0.0312;0.0307;40;0.232;0.465;0.5;1;0.0973;1.12;0.914;0.137;4.94e-06;5.71e-05; 50800;5;19;0.0292;0.0311;39;0.232;0.465;0.5;1;0.0872;1.06;0.918;0.137;4.43e-06;5.4e-05; 48960;5;20;0.0293;0.0319;41;0.00165;1.21;0.00137;1;0.0854;4.05;0.979;0.0227;0.000612;0.029; 32320;0;2;0.0299;0.0303;50;10.7;9.68;9.7;  0%;  0%;  0%;7.31;6.77;9.24;  0%;  0%;  0%;6.33;7.53;5.68;  0%;  0%;  0%;3.93;4.42;6.88;  0%;  0%;  0%;50.8;49.2;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.137;10.7;0;89.2;0;0;0;0;0;88.5;88.1;93;53.2;8.9 ;7.69 ;7.81 ;7.44 ;
2018-01-24;13:06:24.311;0.171;0.463;0.369;1;0.419;32.1;0.987;0.0309;7.04e-06;0.00054;0.118;0.124;5.95e+04;1.29e+05;2.12e+03;0.926;23.2;0.342;8.54;96.2;36.9;39.7;0;23.4;0;12.4;0;0;0;335;32.5;0.233;0.468;0.497;1;0.132;26.1;0.995;0.0216;6.57e-06;0.0013; 51760;19;24;0.0329;0.0329;40;0.226;0.46;0.49;1;0.102;1.09;0.906;0.144;5.23e-06;5.58e-05; 51760;5;17;0.0316;0.034;39;0.227;0.46;0.494;1;0.102;1.14;0.91;0.143;5.17e-06;5.76e-05; 48640;4;33;0.0305;0.0332;42;0.00129;1.08;0.00119;0.891;0.0826;3.79;0.978;0.0187;0.000725;0.0333; 32400;0;3;0.0231;0.0238;50;10.5;10.2;9.4;  0%;  0%;  0%;8.17;6.72;9.06;  0%;  0%;  0%;8.66;9.75;7.69;  0%;  0%;  0%;4.79;4.55;6.68;  0%;  0%;  0%;49.7;50.3;0;0;0;0;0;0;0;49;51;0;0;0;0;0;0;0;49.4;50.6;0;0;0;0;0;0;0;0.134;7.59;0;92.3;0;49;0;0;0;92.2;91.9;97.2;53.3;9.37 ;8.23 ;8.26 ;6.61 ;
2018-01-24;13:06:25.319;0.175;0.452;0.386;1;0.399;34.9;0.989;0.0291;6.66e-06;0.000582;0.118;0.122;6e+04;1.33e+05;2.21e+03;0.904;22.6;0.349;8.73;86.5;38.6;38.6;0;22.7;0;0;0;0;0;322;32.1;0.237;0.456;0.519;1;0.129;29;0.996;0.0209;6.31e-06;0.00142; 52000;18;30;0.0305;0.0302;40;0.229;0.449;0.511;1;0.0941;1.17;0.919;0.134;4.75e-06;5.9e-05; 52080;7;20;0.0294;0.0313;39;0.228;0.449;0.507;1;0.0941;1.08;0.913;0.143;4.81e-06;5.52e-05; 49440;6;29;0.0285;0.0305;42;0.00129;1.09;0.00119;1;0.0819;3.67;0.978;0.0178;0.000747;0.0335; 32480;0;1;0.0297;0.0301;50;9.66;9.44;8.92;  0%;  0%;  0%;7.03;5.92;8.08;  0%;  0%;  0%;7.39;8.5;6.76;  0%;  0%;  0%;4.28;4.07;6.47;  0%;  0%;  0%;51.9;48.1;0;0;0;0;0;0;0;51.1;48.9;0;0;0;0;0;0;0;50.7;49.3;0;0;0;0;0;0;0;0.119;7.7;0;92.2;0;0;0;0;0;88.5;88;92.8;52.8;8.98 ;7.74 ;7.86 ;7.54 ;
2018-01-24;13:06:26.327;0.171;0.453;0.377;1;0.41;31.5;0.987;0.0313;7.08e-06;0.000543;0.123;0.129;5.79e+04;1.28e+05;2.12e+03;0.906;22.7;0.342;8.55;96.2;37.7;41.4;0;20.9;0;0;0;0;0;324;32;0.232;0.457;0.508;1;0.127;25.2;0.995;0.0218;6.47e-06;0.00128; 50880;18;18;0.0328;0.033;40;0.225;0.45;0.5;1;0.0994;1.09;0.909;0.149;5.21e-06;5.74e-05; 52000;7;28;0.0303;0.0325;40;0.225;0.45;0.5;1;0.101;1.1;0.908;0.15;5.3e-06;5.76e-05; 49440;7;23;0.0294;0.032;42;0.00142;1.11;0.00127;1;0.0824;4.07;0.98;0.0168;0.000687;0.0339; 32400;0;4;0.0309;0.0316;50;9.86;9.31;8.83;  0%;  0%;  0%;8.75;7.38;9.43;  0%;  0%;  0%;8.89;9.43;8.03;  0%;  0%;  0%;4.93;4.7;6.7;  0%;  0%;  0%;50.8;49.2;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.127;16.3;0;83.6;0;0;0;0;0;88.4;88;93;54.3;8.97 ;7.77 ;7.76 ;7.46 ;
2018-01-24;13:06:27.336;0.413;1.09;0.377;1;0.738;33.7;0.978;0.685;5.27e-06;0.000241;0.136;0.14;1.4e+05;1.28e+05;2.12e+03;2.19;54.7;0.826;20.7;123;37.7;42.7;0;19.6;0;0;0;0;0;345;33.2;0.554;1.09;0.508;1;0.25;27;0.991;0.478;5.32e-06;0.000575; 50720;13;30;0.0368;0.0354;39;0.55;1.1;0.5;1;0.191;1.35;0.858;0.947;4.1e-06;2.9e-05; 51520;8;24;0.0343;0.0357;39;0.547;1.09;0.5;1;0.204;1.33;0.847;0.948;4.4e-06;2.88e-05; 52160;9;42;0.0324;0.0341;41;0.00142;1.08;0.00132;1;0.0929;4.08;0.977;0.0171;0.000773;0.0339; 32240;0;8;0.0325;0.035;50;12.8;12.8;10.6;  0%;  0%;  0%;10.9;7.73;11.9;  0%;  0%;  0%;11.6;13.1;8.89;  0%;  0%;  0%;6.64;6.36;9.06;  0%;  0%;  0%;50.8;49.2;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.132;21.5;0;78.4;0;0;0;0;0;95;94.6;99.9;55.2;9.13 ;8.21 ;8.13 ;7.73 ;
