System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;13:01:11.508;0.84;1.8;0.467;1.24;25.9;66.2;0.608;0.926;9.11e-05;0.000233;2.65;2.73;2.85e+05;1.58e+05;2.12e+03;3.6;90.1;1.68;42;4.32e+03;37.7;44.4;0.00445;17.9;0;0.599;0;0;0;455;41.9;1.12;1.79;0.624;1.24;8.83;25.8;0.658;0.907;9.32e-05;0.000273; 45920;296;875;0.665;0.685;33;1.12;1.8;0.619;1.24;8.28;12;0.31;0.96;8.77e-05;0.000127; 54800;297;903;0.643;0.684;33;1.12;1.81;0.619;1.24;8.61;12.3;0.301;0.958;9.05e-05;0.000129; 50400;324;890;0.664;0.693;35;0.00503;1.22;0.00412;1.24;0.216;16.1;0.987;0.0114;0.000508;0.0377; 32480;0;17;0.68;0.666;48;463;474;265;  2%;  2%;  1%;458;251;460;  2%;  1%;  2%;459;474;256;  2%;  2%;  1%;253;245;262;  1%;  1%;  1%;50.4;49.6;0;0;0;0;0;0;0;50;50;0;0.0232;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.332;28.2;0.0178;71.4;0;2.4;0;0;0;130;131;137;58.3;10.8 ;10.6 ;10.6 ;9.94 ;
2018-01-24;13:01:12.525;0.712;1.78;0.4;1.24;55.6;104;0.463;0.852;0.000229;0.000427;3.91;2.23;2.43e+05;1.36e+05;2.12e+03;3.56;89;1.42;35.6;6.03e+03;32.3;38;0.207;29.5;0;0.883;0;0;0;423;43.6;0.927;1.73;0.536;1.24;20.9;38.4;0.456;0.833;0.000264;0.000486; 48880;331;1135;1.03;0.587;38;0.973;1.83;0.531;1.24;15.8;23.3;0.321;0.894;0.00019;0.00028; 46880;239;844;0.977;0.565;36;0.943;1.78;0.53;1.24;18.7;27.7;0.325;0.882;0.000233;0.000345; 49040;332;974;0.993;0.582;38;0.00436;1.14;0.00383;1.27;0.222;14.2;0.984;0.0103;0.000598;0.0381; 31920;0;10;0.911;0.494;48;680;776;233;  3%;  3%;  1%;699;201;740;  3%;  1%;  3%;661;812;214;  3%;  4%;  1%;335;298;377;  1%;  1%;  1%;43.3;44.9;0.48;11.3;0;3.53;0;0;0;42.9;46.1;0.0773;10.9;0;0;0;0;0;42.8;45.6;0.251;11.4;0;0;0;0;0;0.301;15.3;0.0197;84.4;0;0;0;0;0;119;121;126;56.4;11.1 ;11 ;11.5 ;10.1 ;
2018-01-24;13:01:13.604;1.25;2.94;0.426;1.24;4.21;44.3;0.905;0.836;9.46e-06;9.95e-05;0.633;0.677;4.45e+05;1.52e+05;2.13e+03;5.88;147;2.5;62.6;922;34.4;38.7;0.151;26.8;0;12.2;0;0;0;475;36.6;1.66;2.92;0.569;1.24;1.47;17.9;0.918;0.806;1.01e-05;0.000122; 47680;110;336;0.177;0.223;31;1.67;2.96;0.565;1.24;1.2;2.51;0.522;0.966;8.17e-06;1.71e-05; 46560;61;320;0.136;0.15;30;1.7;2.96;0.574;1.24;1.31;2.85;0.541;0.965;8.64e-06;1.88e-05; 46640;202;169;0.19;0.166;33;0.00669;1.01;0.00659;1.2;0.23;21.1;0.989;0.0146;0.00038;0.0347; 33440;1;6;0.131;0.138;48;106;118;62.8;  0%;  0%;  0%;90.1;49.5;112;  0%;  0%;  0%;95.1;126;54.6;  0%;  0%;  0%;35.1;30.2;42.8;  0%;  0%;  0%;46;49.5;0.392;4.18;0;1.17;0;0;0;45.6;50.4;0.113;3.91;0;0;0;0;0;46.4;49.3;0.075;4.27;0;0;0;0;0;0.551;6.34;0.0278;93.1;0;46.7;0;0;0;137;139;143;56.1;10.2 ;9.51 ;9.58 ;7.31 ;
2018-01-24;13:01:14.612;1.14;2.37;0.482;1.24;1.3;35.7;0.964;0.899;3.29e-06;9.01e-05;0.277;0.386;3.96e+05;1.67e+05;2.27e+03;4.75;119;2.29;57.2;364;39;39.9;0.00271;21.1;0;7.53;0;0;0;464;34.3;1.53;2.37;0.646;1.24;0.478;17.6;0.973;0.856;3.57e-06;0.000131; 50560;40;107;0.0739;0.0956;36;1.54;2.4;0.639;1.24;0.288;1.52;0.81;0.986;2.15e-06;1.13e-05; 52080;29;67;0.0665;0.0976;35;1.48;2.36;0.626;1.23;0.367;1.76;0.791;0.984;2.88e-06;1.38e-05; 48720;34;88;0.0674;0.0938;38;0.00467;1.18;0.00394;1.24;0.169;14.8;0.989;0.0112;0.000427;0.0375; 33280;0;15;0.0689;0.0991;48;40.8;44.1;35.2;  0%;  0%;  0%;31.6;22.2;35.4;  0%;  0%;  0%;36.5;42.2;29.1;  0%;  0%;  0%;14.3;11.1;21.1;  0%;  0%;  0%;52.2;47.8;0;0;0;0;0;0;0;51.6;48.4;0;0;0;0;0;0;0;50.7;49.3;0;0;0;0;0;0;0;0.319;13.5;0.0111;86.1;0;30.8;0;0;0;135;137;137;54.2;9.32 ;8.68 ;8.78 ;7.57 ;
2018-01-24;13:01:15.627;0.214;0.459;0.466;1.24;0.666;39.1;0.983;0.0266;9.17e-06;0.000538;0.136;0.13;7.27e+04;1.59e+05;2.12e+03;0.917;22.9;0.427;10.7;117;37.6;42.5;0.00239;19.9;0;0;0;0;0;375;32.1;0.286;0.46;0.623;1.24;0.204;18.1;0.989;0.024;8.4e-06;0.000743; 49360;21;8;0.0404;0.0349;37;0.281;0.456;0.618;1.24;0.114;1.99;0.943;0.0699;4.78e-06;8.34e-05; 51040;0;26;0.0316;0.032;36;0.282;0.455;0.619;1.24;0.142;2;0.929;0.0923;5.94e-06;8.33e-05; 48640;15;24;0.0326;0.0316;39;0.0055;1.16;0.00474;1.25;0.205;17.1;0.988;0.0157;0.000438;0.0364; 36800;2;9;0.0317;0.0315;48;9.07;10.5;13.5;  0%;  0%;  0%;8.43;7.98;8.53;  0%;  0%;  0%;10.2;11.7;11.9;  0%;  0%;  0%;7.37;5.71;11.8;  0%;  0%;  0%;50.3;49.7;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.379;20.2;0.00953;79.4;0;0;0;0;0;104;104;110;56.7;8.71 ;7.9 ;8.02 ;7.53 ;
2018-01-24;13:01:16.634;0.212;0.453;0.469;1.24;0.5;34.8;0.986;0.0276;6.94e-06;0.000484;0.123;0.124;7.21e+04;1.59e+05;2.13e+03;0.907;22.7;0.425;10.6;103;37.8;40;0.00184;22.1;0;7.16;0;0;0;369;30.9;0.285;0.454;0.627;1.24;0.17;17.7;0.99;0.0254;7.02e-06;0.000731; 49520;13;18;0.0357;0.0336;38;0.28;0.451;0.622;1.24;0.0887;1.24;0.929;0.112;3.72e-06;5.21e-05; 49680;7;17;0.0302;0.0317;37;0.279;0.45;0.62;1.24;0.103;1.15;0.91;0.149;4.34e-06;4.84e-05; 50880;8;22;0.0313;0.0319;39;0.00464;1.24;0.00373;1.24;0.139;14.8;0.991;0.0113;0.000354;0.0376; 36800;0;1;0.0263;0.0264;48;9.64;10;12.3;  0%;  0%;  0%;7.69;6.85;8.72;  0%;  0%;  0%;8.3;10.1;8.89;  0%;  0%;  0%;5.82;4.6;10.5;  0%;  0%;  0%;50.7;49.3;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.301;11;0.00738;88.7;0;28.7;0;0;0;103;103;109;53.7;8.63 ;7.7 ;7.85 ;6.71 ;
2018-01-24;13:01:17.641;0.216;0.463;0.467;1.24;0.497;34.6;0.986;0.0272;6.8e-06;0.000472;0.126;0.127;7.32e+04;1.58e+05;2.12e+03;0.926;23.2;0.432;10.8;99.8;37.7;42.8;0.00217;19.5;0;0;0;0;0;373;31.5;0.29;0.464;0.625;1.24;0.169;17.6;0.99;0.0252;6.89e-06;0.000717; 49280;13;20;0.0351;0.033;37;0.285;0.46;0.619;1.24;0.0894;1.11;0.92;0.12;3.71e-06;4.61e-05; 51360;8;25;0.0295;0.0312;37;0.285;0.46;0.619;1.24;0.0992;1.1;0.91;0.149;4.11e-06;4.55e-05; 51120;3;15;0.031;0.0319;39;0.0046;1.24;0.00372;1.24;0.14;14.8;0.991;0.0114;0.000359;0.0379; 36880;0;3;0.0303;0.0306;48;10.3;10.5;12.9;  0%;  0%;  0%;7.23;6.66;8.54;  0%;  0%;  0%;7.06;8.86;7.49;  0%;  0%;  0%;5.29;4.61;10.4;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.299;21.9;0.00867;77.8;0;0;0;0;0;103;104;109;56.9;8.65 ;7.72 ;7.76 ;7.37 ;
2018-01-24;13:01:18.649;0.215;0.461;0.467;1.24;0.483;34.1;0.986;0.0273;6.64e-06;0.000469;0.124;0.124;7.28e+04;1.58e+05;2.12e+03;0.921;23;0.43;10.8;95.4;37.7;40.8;0.00307;21.5;0;0;0;0;0;371;31.2;0.288;0.461;0.625;1.24;0.167;17;0.99;0.0254;6.86e-06;0.000697; 50880;12;21;0.0342;0.0325;38;0.284;0.458;0.619;1.24;0.0741;1.05;0.929;0.122;3.08e-06;4.36e-05; 51280;5;17;0.029;0.0304;37;0.283;0.458;0.619;1.24;0.103;1.11;0.907;0.149;4.27e-06;4.61e-05; 51280;3;12;0.0307;0.0311;39;0.00467;1.27;0.00367;1.26;0.139;15;0.991;0.0115;0.000353;0.0379; 36560;0;1;0.0298;0.03;48;9.18;10;12.5;  0%;  0%;  0%;6.74;5.9;7.81;  0%;  0%;  0%;6.92;8.85;7.79;  0%;  0%;  0%;5.49;4.11;10.1;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.291;13.7;0.0123;86;0;0;0;0;0;103;103;109;55.2;8.49 ;7.62 ;7.78 ;7.34 ;
2018-01-24;13:01:19.656;0.211;0.452;0.467;1.24;0.542;38.8;0.986;0.0254;7.58e-06;0.000543;0.129;0.129;7.15e+04;1.58e+05;2.12e+03;0.904;22.6;0.422;10.6;105;37.7;43.8;0.00387;18.4;0;0;0;0;0;372;31.5;0.283;0.453;0.625;1.24;0.181;18;0.99;0.0248;7.57e-06;0.000752; 51200;15;13;0.0359;0.0338;37;0.278;0.449;0.62;1.24;0.0912;1.97;0.954;0.076;3.87e-06;8.38e-05; 50480;3;17;0.0305;0.0317;37;0.278;0.449;0.62;1.24;0.112;1.94;0.942;0.0939;4.76e-06;8.26e-05; 51440;9;15;0.032;0.0324;39;0.00528;1.22;0.00434;1.24;0.158;16.9;0.991;0.0111;0.000353;0.0377; 36800;0;3;0.0306;0.031;48;10.1;10.8;13.4;  0%;  0%;  0%;7.3;6.74;8.53;  0%;  0%;  0%;7.73;9.52;8.67;  0%;  0%;  0%;6.13;4.9;10.9;  0%;  0%;  0%;50.5;49.5;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;0.349;26;0.0155;73.7;0;0;0;0;0;103;103;109;57.2;8.67 ;7.76 ;7.77 ;7.31 ;
2018-01-24;13:01:20.667;0.215;0.462;0.466;1.24;0.513;32.5;0.984;0.028;7.03e-06;0.000446;0.127;0.127;7.3e+04;1.58e+05;2.12e+03;0.923;23.1;0.43;10.8;100;37.6;39.4;0.00602;22.9;0;0.0025;0;0;0;371;31.5;0.289;0.463;0.624;1.24;0.165;17.3;0.99;0.0244;6.73e-06;0.000705; 51520;7;22;0.0364;0.034;38;0.284;0.46;0.618;1.24;0.0854;1.11;0.923;0.119;3.54e-06;4.59e-05; 50240;0;17;0.0294;0.0311;37;0.284;0.459;0.619;1.24;0.117;1.22;0.904;0.14;4.85e-06;5.06e-05; 50560;6;22;0.0307;0.0314;39;0.00409;1.18;0.00345;1.27;0.146;12.9;0.989;0.0119;0.000421;0.0373; 36560;0;3;0.0301;0.0304;48;8.43;9.69;11.5;  0%;  0%;  0%;7.67;6.46;7.88;  0%;  0%;  0%;8.72;9.98;9.21;  0%;  0%;  0%;6.09;4.42;9.98;  0%;  0%;  0%;50.4;49.6;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.271;8.03;0.0241;91.7;0;0.01;0;0;0;104;104;109;54.3;8.72 ;7.76 ;7.72 ;7.3 ;
