System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;12:58:48.097;0.559;1.89;0.296;0.571;17.2;70.7;0.757;0.918;8.41e-05;0.000347;1.41;1.19;2.04e+05;1.08e+05;2.31e+03;3.78;94.5;1.12;28;2.05e+03;51.8;47.7;0.0177;0.498;0;0;0;0;0;207;30.5;0.566;1.86;0.305;0.571;4.14;42.3;0.902;0.835;7.98e-05;0.000816; 50480;123;325;0.381;0.306;47;0.562;1.91;0.295;0.571;4.47;8.6;0.48;0.957;8.67e-05;0.000167; 51680;122;322;0.331;0.291;49;0.559;1.9;0.294;0.571;4.26;7.51;0.434;0.965;8.3e-05;0.000146; 50240;94;297;0.362;0.301;51;0.549;1.9;0.289;0.571;4.28;12.3;0.653;0.934;8.69e-05;0.00025; 47920;89;294;0.337;0.292;49;175;179;181;  0%;  0%;  0%;166;163;171;  0%;  0%;  0%;166;174;166;  0%;  0%;  0%;169;166;176;  0%;  0%;  0%;53.4;45.9;0.0442;0.668;0;0;0;0;0;51.6;48.1;0.00115;0.315;0;0;0;0;0;51.5;48.2;0.0104;0.326;0;0;0;0;0;50.6;48.7;0.0151;0.688;0;0;0;0;0;52.6;50.6;52.2;51.6;7.95 ;7.67 ;7.83 ;7.09 ;
2018-01-24;12:58:49.196;0.437;2.64;0.165;0.571;6.36;31.6;0.799;0.616;4.07e-05;0.000202;0.765;0.678;1.56e+05;5.91e+04;2.21e+03;5.28;132;0.873;21.8;1.06e+03;28.9;34.1;0.124;36.8;0;14.6;0;0;0;178;32.1;0.432;2.57;0.168;0.571;2;18.6;0.892;0.38;5.21e-05;0.000484; 49360;88;161;0.209;0.223;48;0.427;2.67;0.16;0.571;1.21;2.62;0.538;0.807;3.2e-05;6.93e-05; 51840;40;117;0.145;0.144;50;0.429;2.63;0.163;0.571;1.91;4.43;0.569;0.75;5.01e-05;0.000116; 52720;49;189;0.256;0.163;51;0.459;2.69;0.17;0.571;1.23;5.88;0.791;0.717;2.96e-05;0.000141; 50800;38;136;0.155;0.148;49;83.9;113;88;  0%;  0%;  0%;85.9;58.9;88;  0%;  0%;  0%;90;121;89.3;  0%;  0%;  0%;85.6;61.8;90.7;  0%;  0%;  0%;29.5;33.2;0.0883;37.2;0;24.6;0;0;0;27.9;33.6;0.0745;38.4;0;29.8;0;0;0;28.5;34.6;0.198;36.7;0;4.35;0;0;0;29.8;35;0.136;35.1;0;0;0;0;0;45.3;43.3;45;44.3;8.29 ;7.98 ;8.31 ;7.48 ;
2018-01-24;12:58:50.282;0.661;2.28;0.29;0.571;1.59;44.1;0.964;0.814;6.54e-06;0.000182;0.318;0.422;2.42e+05;1.06e+05;2.31e+03;4.56;114;1.32;33;407;50.8;49.2;0;0;0;0;0;0;0;215;28.3;0.67;2.25;0.298;0.571;0.472;32.9;0.986;0.597;7.67e-06;0.000534; 52800;56;62;0.0848;0.109;48;0.672;2.34;0.287;0.571;0.352;1.75;0.798;0.964;5.71e-06;2.83e-05; 50240;23;87;0.0774;0.105;49;0.664;2.31;0.287;0.571;0.355;1.72;0.794;0.966;5.82e-06;2.82e-05; 50400;29;83;0.0764;0.102;51;0.637;2.21;0.288;0.571;0.406;7.71;0.947;0.86;6.97e-06;0.000132; 49520;17;66;0.079;0.107;49;36.3;35.9;40.1;  0%;  0%;  0%;30.7;30;35;  0%;  0%;  0%;32;36.1;33.2;  0%;  0%;  0%;30.5;28.9;38.7;  0%;  0%;  0%;52.1;47.9;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;54.7;52.9;54.2;53.5;7.53 ;7.13 ;7.24 ;6.44 ;
2018-01-24;12:58:51.329;0.134;0.46;0.293;0.571;0.551;40.4;0.986;0.0284;1.15e-05;0.00084;0.139;0.149;4.81e+04;1.05e+05;2.28e+03;0.919;23;0.269;6.72;118;51.2;48.8;0;0;0;0;0;0;0;179;25.2;0.142;0.47;0.301;0.571;0.184;36;0.995;0.0188;1.45e-05;0.00284; 54800;34;30;0.0339;0.0349;48;0.133;0.457;0.291;0.571;0.12;1.48;0.919;0.101;1.01e-05;0.000125; 51440;4;30;0.0331;0.0374;50;0.133;0.456;0.291;0.571;0.116;1.41;0.917;0.102;9.8e-06;0.000118; 52080;6;29;0.0361;0.0374;52;0.131;0.454;0.288;0.571;0.131;1.46;0.91;0.0985;1.13e-05;0.000126; 49200;7;15;0.036;0.039;49;12.7;12.4;14;  0%;  0%;  0%;7.87;7.46;10.5;  0%;  0%;  0%;7.99;10.5;8.28;  0%;  0%;  0%;7.9;7.33;11.4;  0%;  0%;  0%;52.7;47.3;0;0;0;0;0;0;0;50.9;49.1;0;0;0;0;0;0;0;50.9;49.1;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;45.6;43.9;45;44.4;6.73 ;6.29 ;6.34 ;5.8 ;
2018-01-24;12:58:52.493;0.129;0.462;0.279;0.571;0.628;62.3;0.99;0.0226;1.29e-05;0.00128;0.161;0.168;4.87e+04;1.05e+05;2.2e+03;0.924;23.1;0.258;6.46;141;48.9;51.1;0;0;0;0;0;0;0;199;28.4;0.137;0.479;0.286;0.571;0.204;53.9;0.996;0.0163;1.6e-05;0.00423; 53440;32;11;0.0406;0.0409;48;0.124;0.456;0.271;0.571;0.123;2.5;0.951;0.0642;1.07e-05;0.000218; 50400;5;21;0.0388;0.0428;50;0.126;0.456;0.276;0.571;0.137;2.42;0.943;0.071;1.15e-05;0.000204; 51760;8;38;0.0412;0.0416;51;0.13;0.457;0.284;0.571;0.164;3.54;0.954;0.0523;1.3e-05;0.00028; 50560;6;29;0.04;0.0426;49;12.1;12.6;14.5;  0%;  0%;  0%;9;8.88;10.9;  0%;  0%;  0%;10.6;13.1;11.9;  0%;  0%;  0%;12;10.6;15;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;47.5;52.5;0;0;0;0;0;0;0;48.3;51.7;0;0;0;0;0;0;0;49.8;50.2;0;0;0;0;0;0;0;50.8;48.9;50;49.4;7.49 ;7.11 ;7.26 ;6.5 ;
2018-01-24;12:58:53.549;0.134;0.451;0.298;0.571;0.693;44.4;0.984;0.0293;1.41e-05;0.000901;0.151;0.159;4.93e+04;1.09e+05;2.44e+03;0.901;22.5;0.269;6.72;138;52.2;47.8;0;0;0;0;0;0;0;180;25.7;0.143;0.461;0.31;0.571;0.21;37.6;0.994;0.0192;1.57e-05;0.00282; 52720;31;19;0.0396;0.0389;48;0.134;0.448;0.299;0.571;0.15;1.49;0.899;0.114;1.2e-05;0.000119; 49840;9;34;0.0355;0.0399;50;0.132;0.447;0.295;0.571;0.144;1.4;0.897;0.116;1.19e-05;0.000115; 51600;8;29;0.0387;0.0399;52;0.128;0.447;0.288;0.571;0.189;3.95;0.952;0.0555;1.65e-05;0.000346; 49200;10;18;0.0375;0.0406;49;12.7;12.3;15;  0%;  0%;  0%;9.75;9.83;12;  0%;  0%;  0%;9.82;11.5;10.6;  0%;  0%;  0%;10.4;9.86;14.3;  0%;  0%;  0%;54.3;45.7;0;0;0;0;0;0;0;52.4;47.6;0;0;0;0;0;0;0;51.6;48.4;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;46;44.3;45.4;44.8;6.88 ;6.44 ;6.6 ;5.78 ;
2018-01-24;12:58:54.617;0.132;0.461;0.287;0.571;0.555;40.6;0.986;0.0285;1.18e-05;0.00086;0.144;0.152;4.72e+04;1.03e+05;2.22e+03;0.921;23;0.265;6.61;123;50.2;49.8;0;0;0;0;0;0;0;183;25.6;0.139;0.471;0.294;0.571;0.178;35.5;0.995;0.0186;1.44e-05;0.00287; 50240;34;14;0.0368;0.0372;48;0.13;0.457;0.284;0.571;0.121;1.47;0.918;0.105;1.04e-05;0.000127; 50640;4;35;0.0339;0.0378;49;0.13;0.457;0.284;0.571;0.109;1.34;0.918;0.108;9.44e-06;0.000116; 50400;2;28;0.0374;0.0388;51;0.131;0.457;0.286;0.571;0.147;2.32;0.937;0.0736;1.26e-05;0.000199; 50160;7;24;0.0354;0.0384;49;11.3;10.3;13.3;  0%;  0%;  0%;8.61;9.44;11;  0%;  0%;  0%;7.8;9.26;8.39;  0%;  0%;  0%;9.9;10;13.5;  0%;  0%;  0%;51.5;48.5;0;0;0;0;0;0;0;49.7;50.3;0;0;0;0;0;0;0;49.7;50.3;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;46.5;44.8;45.9;45.3;6.85 ;6.4 ;6.53 ;5.87 ;
2018-01-24;12:58:55.802;0.36;1.29;0.279;0.571;2.58;53.5;0.952;0.595;1.86e-05;0.000386;0.333;0.299;1.39e+05;1.08e+05;2.24e+03;2.58;64.4;0.719;18;426;48.8;51;0;0.14;0;0;0;0;0;222;30.8;0.331;1.18;0.281;0.571;0.664;37.8;0.982;0.325;2.12e-05;0.0012; 49200;39;82;0.0878;0.0742;48;0.333;1.23;0.271;0.571;0.568;3.09;0.816;0.846;1.8e-05;9.79e-05; 48800;50;53;0.1;0.0777;49;0.369;1.33;0.278;0.571;0.612;3.44;0.822;0.852;1.71e-05;9.62e-05; 46080;9;91;0.0757;0.0739;51;0.402;1.4;0.287;0.571;0.737;9.24;0.92;0.72;1.85e-05;0.000231; 47840;10;94;0.0698;0.0733;49;38.8;35.9;40.5;  0%;  0%;  0%;34.4;35.3;38.9;  0%;  0%;  0%;32.2;35;31.2;  0%;  0%;  0%;30.7;34.8;38.5;  0%;  0%;  0%;49.2;50.7;0;0.107;0;0;0;0;0;47.4;52.3;0;0.328;0;0;0;0;0;48.6;51.4;0;0.0514;0;0;0;0;0;50.2;49.7;0;0.0789;0;0;0;0;0;56.5;54.5;56.1;55.3;8.06 ;7.89 ;7.89 ;7 ;
2018-01-24;12:58:57.070;0.56;1.96;0.286;0.571;2.43;59.2;0.959;0.945;1.03e-05;0.000251;0.261;0.22;2.36e+05;1.21e+05;2.5e+03;3.92;98.1;1.12;28;289;50;49.8;0.0613;0.178;0;0;0;0;0;249;34.7;0.569;1.97;0.288;0.571;0.772;45;0.983;0.84;1.31e-05;0.000765; 50560;47;34;0.0843;0.0584;48;0.565;2.01;0.281;0.571;0.551;2.3;0.76;0.991;9.25e-06;3.86e-05; 48000;16;48;0.0519;0.053;49;0.559;1.96;0.285;0.571;0.508;2.34;0.783;0.99;8.51e-06;3.92e-05; 47440;15;51;0.0719;0.0555;51;0.549;1.91;0.288;0.571;0.601;9.62;0.938;0.968;1.03e-05;0.000165; 49360;12;45;0.0525;0.0533;49;26.2;28.5;35.1;  0%;  0%;  0%;17.8;17.9;23.9;  0%;  0%;  0%;18.6;26.3;21.3;  0%;  0%;  0%;21.3;19.6;32.8;  0%;  0%;  0%;50.5;49.3;0.0867;0.151;0;0;0;0;0;49.2;50.3;0.125;0.407;0;0;0;0;0;49.9;49.9;0.0349;0.138;0;0;0;0;0;50.3;49.6;0;0.019;0;0;0;0;0;63.4;60.9;62.7;61.9;9.03 ;8.76 ;8.93 ;7.95 ;
2018-01-24;12:58:58.211;0.549;1.86;0.295;0.571;7.3;59;0.876;0.942;3.4e-05;0.000274;0.931;0.936;2.15e+05;1.15e+05;2.65e+03;3.73;93.2;1.1;27.5;1.44e+03;51.5;48.4;0;0.0173;0;0;0;0;0;226;33.2;0.569;1.84;0.31;0.571;1.9;39.3;0.952;0.869;3.32e-05;0.000685; 51760;102;227;0.243;0.234;47;0.551;1.87;0.294;0.571;1.78;4.92;0.637;0.981;3.28e-05;9.03e-05; 53440;81;240;0.227;0.233;49;0.54;1.88;0.287;0.571;1.77;4.64;0.619;0.979;3.4e-05;8.94e-05; 53680;79;244;0.231;0.235;51;0.535;1.86;0.287;0.571;1.85;10.2;0.818;0.957;3.6e-05;0.000198; 48880;66;254;0.23;0.234;49;120;122;127;  0%;  0%;  0%;117;116;120;  0%;  0%;  0%;114;120;118;  0%;  0%;  0%;116;119;128;  0%;  0%;  0%;54.2;45.8;0;0;0;0;0;0;0;51.5;48.5;0;0.0321;0;0;0;0;0;50.2;49.8;0;0.0192;0;0;0;0;0;50.3;49.7;0;0.0185;0;0;0;0;0;57.5;55.4;57;56.2;8.56 ;8.44 ;8.59 ;7.58 ;
