System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;12:35:55.690;0.379;2.31;0.164;0.856;7.21;24.7;0.708;0.259;5.6e-05;0.000192;0.89;0.844;1.29e+05;5.58e+04;2.12e+03;4.62;115;0.757;18.9;1.39e+03;19.2;32.3;2.71;45.8;0;18.8;0;0;0;168;30.5;0.381;2.32;0.164;0.856;1.74;7.46;0.766;0.215;5.38e-05;0.00023; 48240;88;164;0.235;0.249;49;0.382;2.31;0.165;0.856;1.9;5.12;0.629;0.318;5.85e-05;0.000158; 50480;55;198;0.17;0.181;50;0.374;2.31;0.162;0.856;1.66;4.76;0.651;0.278;5.22e-05;0.00015; 47360;53;170;0.282;0.204;52;0.377;2.29;0.165;0.857;1.91;7.34;0.74;0.243;5.96e-05;0.000229; 50880;114;189;0.202;0.21;49;112;117;118;  0%;  0%;  0%;114;112;116;  0%;  0%;  0%;108;121;118;  0%;  0%;  0%;112;109;130;  0%;  0%;  0%;19.2;30.2;3.35;47.3;0;19.9;0;0;0;19.3;31.1;2.99;46.6;0;14.6;0;0;0;18.9;32.5;2.02;46.5;0;32.8;0;0;0;19.2;35.4;2.48;42.9;0;7.97;0;0;0;42.2;41.2;42.3;42.7;7.88 ;7.66 ;7.89 ;7.05 ;
2018-01-24;12:35:56.701;0.00992;1.53;0.00647;0.853;1.43;4.66;0.693;0.315;0.000425;0.00138;0.229;0.368;3.37e+03;2.2e+03;2.13e+03;3.07;76.6;0.0198;0.496;461;0.759;54.9;0.153;44.2;0;19.3;0;0;0;146;31.1;0.00906;1.43;0.00635;0.857;0.473;1.67;0.716;0.194;0.000614;0.00216; 48320;20;54;0.0633;0.096;48;0.0176;1.59;0.0111;0.855;0.377;1.99;0.811;0.383;0.000252;0.00133; 51760;18;58;0.0546;0.0905;50;0.00434;1.48;0.00293;0.842;0.211;0.386;0.454;0.306;0.000571;0.00105; 48000;6;30;0.0544;0.0911;52;0.00866;1.56;0.00553;0.852;0.372;0.62;0.4;0.352;0.000506;0.000843; 50640;22;60;0.0563;0.0909;49;62.1;56.7;63.1;  0%;  0%;  0%;25.9;31.2;37.1;  0%;  0%;  0%;26.7;31.6;26.5;  0%;  0%;  0%;27.3;32.3;40;  0%;  0%;  0%;0.741;58;0.467;40.8;0;0;0;0;0;1.3;48.6;0.0576;50.1;0;16.2;0;0;0;0.348;57.9;0.0856;41.7;0;32.2;0;0;0;0.649;55.3;0;44.1;0;29;0;0;0;37.2;35.4;36.8;36.4;7.93 ;7.96 ;7.93 ;7.32 ;
2018-01-24;12:35:57.699;0.0165;1.63;0.0102;0.857;2.8;5.5;0.492;0.312;0.000504;0.000991;0.414;0.608;5.55e+03;3.41e+03;2.1e+03;3.25;81.4;0.0331;0.827;815;1.19;91.2;0.0177;7.6;0;0;0;0;0;165;32.7;0.013;1.55;0.00839;0.857;0.595;2.42;0.754;0.186;0.000545;0.00222; 50800;29;66;0.109;0.156;48;0.0245;1.66;0.0148;0.857;1.01;1.38;0.272;0.392;0.000491;0.000674; 51280;50;141;0.0969;0.145;49;0.0106;1.62;0.00657;0.857;0.442;0.655;0.325;0.367;0.000496;0.000735; 52560;22;68;0.105;0.154;52;0.018;1.65;0.0109;0.857;0.75;1.04;0.277;0.394;0.000496;0.000686; 53360;36;88;0.103;0.153;48;107;91;99.9;  0%;  0%;  0%;56.8;64.9;66.1;  0%;  0%;  0%;57.5;50;50.1;  0%;  0%;  0%;48.3;64.2;58.6;  0%;  0%;  0%;0.978;80.4;0.0707;18.5;0;0;0;0;0;1.72;88.7;0;9.54;0;0;0;0;0;0.767;99.2;0;0;0;0;0;0;0;1.28;96.4;0;2.36;0;0;0;0;0;40.2;40.5;42.2;42.1;8.24 ;8.35 ;8.43 ;7.7 ;
2018-01-24;12:35:58.708;0.0249;1.66;0.015;0.857;3.79;8.94;0.577;0.319;0.000448;0.00106;0.548;0.795;8.45e+03;5.08e+03;2.12e+03;3.33;83.2;0.0499;1.25;1.09e+03;1.75;91.3;0.0569;6.93;0;0;0;0;0;174;33.8;0.00846;1.49;0.00569;0.857;0.395;3.32;0.881;0.107;0.000551;0.00462; 50000;14;43;0.151;0.215;48;0.0444;1.7;0.0262;0.857;1.74;2.32;0.249;0.424;0.000464;0.000618; 54080;87;252;0.123;0.181;50;0.0188;1.68;0.0112;0.857;0.742;1.02;0.271;0.416;0.000466;0.00064; 52240;36;101;0.136;0.201;52;0.0281;1.66;0.0169;0.857;0.904;2.28;0.604;0.371;0.00038;0.000959; 51760;42;123;0.137;0.198;48;141;112;118;  0%;  0%;  0%;91.1;96.4;89.5;  0%;  0%;  0%;90.5;59.1;67;  0%;  0%;  0%;67.1;95.9;65.4;  0%;  0%;  0%;0.663;84.1;0.228;15;0;0;0;0;0;3.06;92.9;0;4.09;0;0;0;0;0;1.3;98.7;0;0;0;0;0;0;0;1.97;89.4;0;8.58;0;0;0;0;0;41.8;43.7;44.4;43.7;8.47 ;8.63 ;8.68 ;7.97 ;
2018-01-24;12:35:59.731;0.0295;1.63;0.0181;0.857;3.77;14.5;0.74;0.317;0.000373;0.00143;0.526;0.806;1.01e+04;6.2e+03;2.12e+03;3.26;81.6;0.0589;1.47;1.07e+03;2.11;78.9;0.217;18.8;0;2.5;0;0;0;172;34.3;0.0151;1.53;0.00986;0.856;0.655;4.65;0.859;0.124;0.000506;0.0036; 50320;25;82;0.141;0.216;48;0.05;1.65;0.0303;0.857;1.53;4.71;0.675;0.394;0.000357;0.0011; 51040;65;202;0.122;0.188;49;0.0293;1.66;0.0177;0.857;0.861;2.78;0.69;0.374;0.000342;0.0011; 51920;34;113;0.129;0.2;52;0.0234;1.63;0.0144;0.857;0.725;2.35;0.692;0.366;0.00036;0.00117; 51280;29;99;0.134;0.201;48;144;125;121;  0%;  0%;  0%;84.8;80.9;86.7;  0%;  0%;  0%;85.1;68.8;64.2;  0%;  0%;  0%;64.3;81.9;65.8;  0%;  0%;  0%;1.15;69.8;0.107;29;0;0;0;0;0;3.53;81.4;0.68;14.4;0;0;0;0;0;2.07;83;0;14.9;0;0;0;0;0;1.68;81.4;0.0801;16.9;0;10;0;0;0;41.3;43.4;43.8;43.2;8.65 ;8.72 ;8.78 ;8.15 ;
2018-01-24;12:36:00.742;0.0746;1.58;0.0472;0.857;9.19;45.7;0.799;0.317;0.000363;0.0018;1.01;1.34;2.53e+04;1.6e+04;2.15e+03;3.16;79;0.149;3.73;1.85e+03;5.51;61.5;0.521;32.5;0;1.53;0;0;0;171;35.4;0.0287;1.53;0.0187;0.853;0.833;8.45;0.901;0.188;0.000341;0.00346; 47760;21;77;0.269;0.346;48;0.12;1.58;0.0763;0.857;4.55;16.8;0.729;0.337;0.000445;0.00164; 50480;160;490;0.238;0.301;49;0.0791;1.6;0.0496;0.857;2.01;10.8;0.814;0.339;0.000299;0.00161; 54960;75;217;0.253;0.347;52;0.0702;1.59;0.0442;0.857;1.8;9.65;0.814;0.349;0.000302;0.00162; 51360;69;192;0.254;0.349;48;231;162;159;  1%;  0%;  0%;171;169;151;  0%;  0%;  0%;188;101;118;  0%;  0%;  0%;117;185;99.1;  0%;  0%;  0%;2.2;57.1;0.156;40.5;0;0;0;0;0;8.9;63.1;0.967;27.1;0;0.225;0;0;0;5.79;66.4;0.593;27.2;0;0;0;0;0;5.15;59.2;0.368;35.2;0;5.88;0;0;0;40.3;44.2;44.4;42.6;8.87 ;9 ;9.13 ;8.39 ;
2018-01-24;12:36:01.752;0.0874;1.56;0.0559;0.857;12.8;55.2;0.768;0.311;0.000432;0.00186;1.24;1.47;2.97e+04;1.9e+04;2.12e+03;3.13;78.1;0.175;4.37;2.29e+03;6.53;84.4;0.248;8.79;0;0;0;0;0;185;36;0.0487;1.55;0.0314;0.857;1.67;11.1;0.849;0.229;0.000403;0.00268; 48800;47;167;0.319;0.38;48;0.115;1.55;0.0744;0.857;4.82;17.8;0.73;0.321;0.000493;0.00182; 50080;142;416;0.305;0.349;49;0.107;1.58;0.0677;0.857;3.77;14.8;0.746;0.335;0.000415;0.00163; 50880;143;399;0.299;0.353;52;0.0785;1.56;0.0502;0.857;2.56;11.5;0.778;0.333;0.000384;0.00173; 51840;67;210;0.314;0.389;48;248;230;198;  1%;  1%;  1%;205;175;163;  1%;  0%;  0%;224;162;175;  1%;  0%;  0%;180;195;137;  0%;  1%;  0%;3.67;70.2;0.576;25.6;0;0;0;0;0;8.68;86.4;0;4.87;0;0;0;0;0;7.9;90.7;0.416;0.993;0;0;0;0;0;5.86;90.4;0;3.72;0;0;0;0;0;42.9;46.5;48.5;46.8;9.03 ;9.18 ;9.24 ;8.58 ;
2018-01-24;12:36:02.762;0.0524;1.62;0.0324;0.857;6.66;28.2;0.764;0.313;0.000374;0.00159;0.832;1.16;1.78e+04;1.1e+04;2.12e+03;3.23;80.8;0.105;2.62;1.59e+03;3.78;84.6;0.872;10.8;0;0;0;0;0;177;35;0.0156;1.49;0.0105;0.857;0.552;7.01;0.921;0.133;0.000416;0.00529; 49040;21;46;0.227;0.309;48;0.0817;1.63;0.05;0.857;2.86;8.53;0.665;0.359;0.000412;0.00123; 54000;115;386;0.191;0.265;50;0.0688;1.62;0.0424;0.857;1.83;8.08;0.774;0.357;0.000313;0.00138; 51680;81;248;0.203;0.285;51;0.0434;1.63;0.0266;0.857;1.42;4.55;0.687;0.355;0.000387;0.00124; 49360;63;202;0.21;0.298;48;178;148;138;  0%;  0%;  0%;152;142;124;  0%;  0%;  0%;154;94.9;113;  0%;  0%;  0%;115;145;89.2;  0%;  0%;  0%;1.23;73.1;2.29;23.4;0;0;0;0;0;5.83;91.1;1.2;1.83;0;0;0;0;0;4.95;89.3;0;5.75;0;0;0;0;0;3.11;84.8;0;12.1;0;0;0;0;0;41.4;45.5;46.2;44;8.78 ;8.9 ;8.99 ;8.33 ;
2018-01-24;12:36:03.774;0.102;1.57;0.0649;0.857;13.7;61;0.776;0.318;0.000394;0.00176;1.41;1.66;3.47e+04;2.2e+04;2.12e+03;3.15;78.7;0.204;5.11;2.53e+03;7.57;69.6;1.4;21.5;0;0;0;0;0;181;36.6;0.0785;1.56;0.0503;0.857;2.58;15.2;0.83;0.263;0.000387;0.00228; 49600;91;281;0.361;0.436;48;0.16;1.57;0.102;0.857;6.02;22.3;0.73;0.329;0.000444;0.00164; 56080;205;654;0.34;0.376;49;0.085;1.57;0.0543;0.857;2.97;12.5;0.763;0.329;0.000412;0.00174; 48240;96;260;0.357;0.421;52;0.0854;1.6;0.0534;0.857;2.09;11;0.81;0.349;0.000287;0.00151; 53120;93;269;0.35;0.428;48;307;226;214;  1%;  1%;  1%;222;208;226;  1%;  1%;  1%;239;163;151;  1%;  0%;  0%;163;241;168;  0%;  1%;  0%;5.87;63;0.971;30.2;0;0;0;0;0;11.9;71.5;1.71;14.9;0;0;0;0;0;6.33;71.8;2.17;19.7;0;0;0;0;0;6.23;72;0.746;21.1;0;0;0;0;0;43.8;47.2;45.1;45;9.19 ;9.26 ;9.43 ;8.72 ;
2018-01-24;12:36:04.786;0.103;1.54;0.0666;0.857;16.6;68.9;0.759;0.317;0.000475;0.00197;1.57;1.75;3.5e+04;2.26e+04;2.12e+03;3.09;77.2;0.206;5.15;2.75e+03;7.77;57.6;1.29;33.3;0;0.87;0;0;0;176;36.9;0.0535;1.5;0.0355;0.857;1.97;13.2;0.851;0.271;0.000434;0.00291; 50480;62;168;0.408;0.475;48;0.15;1.53;0.0975;0.857;6.78;24.4;0.723;0.319;0.000534;0.00192; 52000;207;664;0.384;0.402;49;0.0775;1.59;0.0488;0.857;2.37;10.7;0.78;0.341;0.000359;0.00163; 53120;92;264;0.391;0.451;51;0.131;1.55;0.0846;0.857;5.49;20.5;0.732;0.331;0.000492;0.00184; 50080;187;537;0.391;0.423;49;280;181;254;  1%;  0%;  1%;215;286;207;  1%;  1%;  1%;257;150;230;  1%;  0%;  1%;200;295;193;  1%;  1%;  0%;4.15;49;3.38;43.5;0;0;0;0;0;11.4;58.3;0.569;29.8;0;0;0;0;0;5.7;61.5;0.396;32.4;0;0;0;0;0;9.87;61.8;0.803;27.5;0;3.48;0;0;0;41.2;45.2;43.7;46.1;9.25 ;9.4 ;9.62 ;8.68 ;
