System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;12:20:46.884;0.17;1.18;0.144;0.571;6.66;21.8;0.695;0.993;0.00011;0.000362;0.517;0.34;6.03e+04;5.09e+04;2.22e+03;2.37;59.2;0.34;8.49;660;25.1;12.7;0.00822;62.2;0;0;0;0;0;150;34.1;0.676;1.19;0.57;0.571;6.51;13.2;0.507;0.996;0.000109;0.00022; 52240;226;350;0.14;0.0621;47;0.00209;0.948;0.0022;0.571;0.0564;5.14;0.989;0.0269;0.000305;0.0278; 15120;0;2;0.123;0.0917;53;0.000473;0.946;0.0005;0.571;0.0228;1.64;0.986;0.00995;0.000544;0.039; 23520;0;1;0.126;0.092;56;0.000599;0.62;0.000966;0.571;0.063;1.85;0.966;0.0202;0.00119;0.0348; 31040;0;2;0.128;0.0939;54;62.5;61.9;64.1;  0%;  0%;  0%;15.3;16.4;124;  0%;  0%;  0%;15.4;126;15.6;  0%;  0%;  0%;15.3;16.5;127;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.385;11.1;0.0158;88.5;0;0;0;0;0;0.0875;17.9;0;82;0;0;0;0;0;0.169;21.5;0.0171;78.3;0;0;0;0;0;59.4;29.4;30.5;30.5;8.43 ;8.85 ;8.81 ;8.05 ;
2018-01-24;12:20:47.944;0.139;1.39;0.0995;0.571;10.8;32.7;0.669;0.946;0.000219;0.000661;1.22;1.26;4.94e+04;3.54e+04;2.22e+03;2.79;69.7;0.278;6.94;1.74e+03;17.4;13.5;0.059;69;0;2.8;0;0;0;137;32.5;0.549;1.4;0.391;0.571;10.6;19.6;0.458;0.967;0.000216;0.0004; 52480;419;976;0.274;0.232;47;0.00168;0.868;0.00194;0.571;0.0954;4.31;0.978;0.0256;0.000638;0.0288; 15440;0;2;0.314;0.342;54;0.000492;0.899;0.000547;0.571;0.0305;1.69;0.982;0.0114;0.000698;0.0388; 23360;0;2;0.318;0.341;55;0.00221;0.763;0.00289;0.571;0.0877;7.08;0.988;0.0169;0.000447;0.0361; 31360;1;3;0.318;0.343;54;244;243;246;  1%;  1%;  1%;32;33.8;269;  0%;  0%;  1%;32.2;272;32;  0%;  1%;  0%;32.1;34;273;  0%;  0%;  1%;68.5;5.99;0.2;25.3;0;1.85;0;0;0;0.34;10.8;0.014;88.8;0;0;0;0;0;0.0958;16.9;0;83;0;3.15;0;0;0;0.507;20.5;0.0213;79;0;6.22;0;0;0;45.8;29.6;30.9;30.6;8.08 ;8.34 ;8.5 ;7.6 ;
2018-01-24;12:20:48.000;0.224;1.59;0.141;0.571;1.19;15.1;0.921;0.958;1.49e-05;0.000189;0.135;0.138;7.97e+04;5e+04;2.22e+03;3.19;79.6;0.448;11.2;124;24.6;12;0.0229;63.3;0;11.9;0;0;0;147;26.6;0.895;1.6;0.56;0.571;0.971;3.31;0.707;0.99;1.22e-05;4.18e-05; 52240;139;265;0.04;0.0312;47;0.00261;0.993;0.00263;0.571;0.0968;7.07;0.986;0.0218;0.000418;0.0305; 15520;1;0;0.0341;0.0386;53;0.000394;0.796;0.000495;0.571;0.0377;1.32;0.972;0.0112;0.00108;0.0378; 23680;0;2;0.0324;0.0368;56;0.00103;0.714;0.00144;0.571;0.0815;3.37;0.976;0.0144;0.000893;0.0369; 31520;0;3;0.0281;0.0311;54;19.4;15.6;17.2;  0%;  0%;  0%;4.01;6.6;16.2;  0%;  0%;  0%;3.59;13.9;2.73;  0%;  0%;  0%;2.61;7;15;  0%;  0%;  0%;98;1.79;0.0576;0.115;0;0;0;0;0;0.46;11.4;0.0178;88.1;0;0.165;0;0;0;0.0866;19.7;0;80.2;0;0.747;0;0;0;0.252;15.1;0.0166;84.6;0;46.6;0;0;0;56.7;29.6;31.1;30;6.96 ;6.89 ;6.87 ;5.9 ;
2018-01-24;12:20:50.060;0.233;1.62;0.144;0.571;0.979;17.3;0.943;0.966;1.18e-05;0.000208;0.252;0.354;8.3e+04;5.11e+04;2.22e+03;3.24;81.1;0.467;11.7;303;25.2;11.5;0.0101;63.3;0;0;0;0;0;150;28;0.93;1.63;0.57;0.571;0.771;2.51;0.693;0.995;9.34e-06;3.04e-05; 51440;97;241;0.0436;0.0621;47;0.00356;0.931;0.00382;0.571;0.111;10;0.989;0.0195;0.000352;0.0316; 16240;1;0;0.0677;0.0979;54;0.000535;0.881;0.000607;0.571;0.0405;1.81;0.978;0.0104;0.000852;0.0381; 23680;0;3;0.0703;0.0971;55;0.000882;0.832;0.00106;0.571;0.0559;2.93;0.981;0.0144;0.000714;0.0374; 31520;0;1;0.0704;0.0969;54;65.1;63.4;63.3;  0%;  0%;  0%;4.49;4.83;27.6;  0%;  0%;  0%;4.47;28.3;4.54;  0%;  0%;  0%;4.27;5;27.4;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.669;7.32;0.0306;92;0;0;0;0;0;0.106;16.9;0;83;0;0;0;0;0;0.185;21.6;0.00976;78.2;0;0;0;0;0;59.9;28.9;30.7;30.6;7.14 ;7.15 ;7.2 ;6.48 ;
2018-01-24;12:20:51.108;0.0915;0.636;0.144;0.571;0.219;9.54;0.977;0.904;6.76e-06;0.000294;0.129;0.112;3.24e+04;5.1e+04;2.23e+03;1.27;31.8;0.183;4.57;82;25.2;14.5;0.00921;60.4;0;0;0;0;0;140;24.9;0.362;0.634;0.57;0.571;0.118;0.948;0.876;0.99;3.66e-06;2.95e-05; 49920;24;33;0.0306;0.0253;47;0.00215;0.96;0.00224;0.571;0.0487;5.27;0.991;0.0271;0.000256;0.0278; 16080;0;1;0.0321;0.0291;53;0.000475;0.958;0.000496;0.571;0.0219;1.64;0.987;0.0102;0.00052;0.0389; 23680;0;0;0.0321;0.0284;55;0.000525;0.73;0.00072;0.571;0.0308;1.68;0.982;0.0162;0.000663;0.0362; 31440;0;0;0.0345;0.0291;54;12;10.7;10.7;  0%;  0%;  0%;2.03;2.56;12.4;  0%;  0%;  0%;2;11.5;1.99;  0%;  0%;  0%;1.71;2.75;11.7;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.391;18.5;0.0288;81.1;0;0;0;0;0;0.0868;20.1;0;79.8;0;0;0;0;0;0.126;19.1;0.00808;80.7;0;0;0;0;0;49.6;29.7;30.6;29.8;6.65 ;6.31 ;6.28 ;5.67 ;
2018-01-24;12:20:52.144;0.0566;0.393;0.144;0.571;0.356;11.5;0.969;0.0926;1.8e-05;0.000582;0.231;0.0975;1.98e+04;5.05e+04;2.2e+03;0.786;19.6;0.113;2.83;194;25.2;8.28;0.0132;66.5;0;24.8;0;0;0;135;26.5;0.222;0.389;0.57;0.571;0.215;0.687;0.688;0.585;1.1e-05;3.52e-05; 48640;27;40;0.0607;0.0264;47;0.00256;0.991;0.00258;0.571;0.0653;6.74;0.99;0.0227;0.000292;0.0301; 16080;0;0;0.0542;0.0221;54;0.000531;0.926;0.000573;0.571;0.0294;1.81;0.984;0.0107;0.000634;0.0389; 23680;0;1;0.053;0.0204;56;0.000714;0.758;0.000942;0.571;0.0466;2.31;0.98;0.0146;0.000745;0.0369; 31600;0;5;0.063;0.0286;54;15.9;14.1;14.9;  0%;  0%;  0%;2.75;3.46;44.6;  0%;  0%;  0%;2.67;43.3;2.23;  0%;  0%;  0%;1.94;3.75;44.1;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.451;6.98;0.0428;92.5;0;41.4;0;0;0;0.1;13.2;0;86.7;0;49.6;0;0;0;0.165;12.8;0.0101;87;0;8.3;0;0;0;47.3;28.4;30;29.1;7.12 ;6.6 ;6.58 ;6.2 ;
2018-01-24;12:20:53.180;0.0573;0.399;0.144;0.571;0.166;8.91;0.981;0.102;8.32e-06;0.000447;0.102;0.107;1.99e+04;5e+04;2.18e+03;0.799;20;0.115;2.86;53.2;25.1;14.5;0.0101;60.4;0;0;0;0;0;137;24;0.226;0.396;0.57;0.571;0.0611;0.354;0.827;0.693;3.11e-06;1.8e-05; 49040;17;31;0.0221;0.0246;47;0.00213;0.954;0.00223;0.571;0.0479;5.15;0.991;0.0268;0.000258;0.0278; 16080;0;2;0.0252;0.0268;53;0.000488;0.962;0.000508;0.571;0.0226;1.64;0.986;0.0101;0.000532;0.0385; 23600;1;1;0.0259;0.0271;56;0.000796;0.927;0.000859;0.571;0.0342;1.77;0.981;0.0279;0.000494;0.0256; 31680;0;1;0.0285;0.0282;54;9.82;9.06;9.57;  0%;  0%;  0%;2.1;2.68;3.93;  0%;  0%;  0%;2.09;3.28;2.1;  0%;  0%;  0%;1.82;2.89;3.9;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.391;13.1;0.0289;86.5;0;0;0;0;0;0.0888;24.8;0;75.1;0;0;0;0;0;0.15;19.8;0.0116;80;0;0;0;0;0;47.3;28.9;30.8;29.6;6.38 ;6.05 ;6.05 ;5.51 ;
2018-01-24;12:20:54.216;0.058;0.404;0.143;0.571;0.165;8.78;0.981;0.102;8.16e-06;0.000435;0.101;0.109;2.02e+04;4.99e+04;2.18e+03;0.809;20.2;0.116;2.9;55.9;25.1;13.1;0.00838;61.8;0;0;0;0;0;136;24;0.229;0.401;0.57;0.571;0.0655;0.347;0.811;0.701;3.29e-06;1.74e-05; 52400;22;42;0.0222;0.0252;47;0.00212;0.948;0.00224;0.571;0.0467;5.15;0.991;0.0267;0.000252;0.0279; 16080;0;1;0.0251;0.0275;54;0.000483;0.961;0.000502;0.571;0.0215;1.64;0.987;0.0111;0.000512;0.039; 23760;1;0;0.0257;0.0279;56;0.000526;0.717;0.000734;0.571;0.0313;1.65;0.981;0.0167;0.000682;0.0359; 31600;0;0;0.0284;0.0288;54;10.6;10;10.4;  0%;  0%;  0%;2.03;2.6;4.22;  0%;  0%;  0%;2;3.4;2.04;  0%;  0%;  0%;1.75;2.79;3.96;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.392;7.48;0.0251;92.1;0;0;0;0;0;0.0879;23.7;0;76.2;0;0;0;0;0;0.128;21.1;0.00846;78.7;0;0;0;0;0;47.4;28.2;30.7;29.7;6.36 ;6.05 ;6.1 ;5.53 ;
2018-01-24;12:20:55.244;0.0581;0.404;0.144;0.571;0.167;8.68;0.981;0.107;8.27e-06;0.00043;0.104;0.115;2.02e+04;4.99e+04;2.18e+03;0.808;20.2;0.116;2.91;63.4;25.2;15.3;0.0071;59.5;0;0;0;0;0;136;23.9;0.229;0.401;0.57;0.571;0.0685;0.371;0.816;0.697;3.44e-06;1.87e-05; 53840;22;49;0.0222;0.0259;47;0.00212;0.952;0.00223;0.571;0.0463;5.1;0.991;0.0269;0.000252;0.0278; 16000;1;0;0.026;0.0292;54;0.000474;0.951;0.000499;0.571;0.0213;1.59;0.987;0.0111;0.000518;0.0388; 23760;0;4;0.0267;0.0294;55;0.000519;0.721;0.00072;0.571;0.0308;1.62;0.981;0.0167;0.000686;0.036; 31520;0;1;0.0292;0.0303;54;12.6;11.7;12;  0%;  0%;  0%;2.18;2.76;4.6;  0%;  0%;  0%;2.16;3.87;2.17;  0%;  0%;  0%;1.89;2.96;4.42;  0%;  0%;  0%;99.8;0.165;0;0;0;0;0;0;0;0.39;13.8;0.0229;85.8;0;0;0;0;0;0.0873;26.7;0;73.2;0;0;0;0;0;0.126;20.6;0.00549;79.3;0;0;0;0;0;47;28.6;30.7;29.3;6.39 ;6.04 ;6.04 ;5.47 ;
2018-01-24;12:20:56.276;0.0572;0.399;0.143;0.571;0.205;10.7;0.981;0.0923;1.04e-05;0.00054;0.0848;0.0957;1.98e+04;4.96e+04;2.16e+03;0.797;19.9;0.114;2.86;71.5;25.1;9.2;0.00758;65.7;0;35.1;0;0;0;134;22.9;0.225;0.395;0.57;0.571;0.0818;0.406;0.799;0.685;4.2e-06;2.09e-05; 51440;22;52;0.0235;0.0269;47;0.00249;0.974;0.00255;0.571;0.0575;6.39;0.991;0.0232;0.000267;0.0297; 16080;1;0;0.02;0.0234;54;0.000511;0.922;0.000554;0.571;0.0251;1.68;0.985;0.0114;0.000568;0.0381; 23440;0;0;0.0192;0.022;55;0.000692;0.747;0.000926;0.571;0.0409;2.21;0.981;0.0139;0.000684;0.0369; 31520;0;2;0.0222;0.0234;54;13.9;12.9;13.4;  0%;  0%;  0%;2.46;3.49;5.22;  0%;  0%;  0%;2.44;4.34;2.37;  0%;  0%;  0%;2.18;3.66;4.98;  0%;  0%;  0%;99.8;0.165;0;0;0;0;0;0;0;0.447;9.81;0.025;89.7;0;41.9;0;0;0;0.0969;15.6;0;84.3;0;50.1;0;0;0;0.162;11.3;0.00534;88.6;0;48.2;0;0;0;47.2;28.5;30;28.7;6.39 ;5.7 ;5.65 ;5.12 ;
