System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;12:13:38.692;0.148;0.95;0.156;0.619;27.6;41.7;0.339;0.986;0.000536;0.000811;1.81;0.753;5.15e+04;5.42e+04;2.18e+03;1.9;47.5;0.296;7.41;2.49e+03;25.2;17.9;0.0158;56.9;0;0;0;0;0;150;36.3;0.587;0.95;0.618;0.619;27.5;33.3;0.175;0.989;0.000537;0.00065; 51840;516;1236;0.466;0.119;46;0.00207;1.1;0.00188;0.619;0.0403;5.17;0.992;0.0223;0.000224;0.0288;  5520;0;1;0.441;0.209;53;0.000508;0.685;0.000742;0.619;0.0288;1.56;0.982;0.0185;0.000653;0.0355; 25440;0;3;0.451;0.21;56;0.000557;0.63;0.000884;0.619;0.0346;1.71;0.98;0.0186;0.000717;0.0353; 18960;0;2;0.452;0.215;54;167;168;172;  0%;  0%;  0%;82.5;82.3;489;  0%;  0%;  2%;82.5;500;83.2;  0%;  2%;  0%;83.1;82.3;499;  0%;  0%;  2%;99.8;0.164;0;0;0;0;0;0;0;0.304;39.7;0;60;0;0;0;0;0;0.12;22.1;0.0334;77.8;0;0;0;0;0;0.143;9.78;0.0298;90;0;0;0;0;0;59.4;31.1;30.4;28.9;8.94 ;9.32 ;9.46 ;8.6 ;
2018-01-24;12:13:39.709;0.138;1.19;0.116;0.619;19.4;49.5;0.608;0.98;0.00041;0.00105;1.54;1.2;4.73e+04;3.97e+04;2.15e+03;2.38;59.6;0.276;6.89;2e+03;18.7;13;0.0351;68.3;0;12;0;0;0;141;34.6;0.545;1.2;0.456;0.619;19.2;33.3;0.425;0.987;0.000409;0.000711; 48080;466;1256;0.389;0.136;46;0.00192;1.04;0.00184;0.619;0.0862;5.09;0.983;0.0193;0.000525;0.031;  5200;0;3;0.384;0.355;54;0.00125;0.892;0.00141;0.619;0.0654;4.14;0.984;0.0136;0.000607;0.0385; 25280;0;2;0.38;0.351;55;0.00206;0.931;0.00222;0.617;0.1;6.93;0.986;0.0123;0.000565;0.0391; 18720;0;2;0.386;0.355;54;179;178;181;  0%;  0%;  0%;33.8;35.5;416;  0%;  0%;  2%;34;415;34.7;  0%;  2%;  0%;34.9;35.9;419;  0%;  0%;  2%;73.7;2.47;0.0782;23.8;0;0.789;0;0;0;0.297;29.6;0;70.1;0;0;0;0;0;0.227;15;0.0258;84.7;0;27.5;0;0;0;0.359;4.92;0.0364;94.7;0;19.8;0;0;0;52.6;30.2;30;28.5;8.55 ;8.86 ;8.98 ;8.22 ;
2018-01-24;12:13:40.752;0.21;1.49;0.141;0.619;2;26.8;0.925;0.737;2.76e-05;0.000369;0.445;0.643;7.25e+04;4.86e+04;2.14e+03;2.98;74.6;0.42;10.5;727;22.8;9.73;0.0642;67.5;0;33.9;0;0;0;140;26.5;0.84;1.5;0.56;0.619;1.67;7.32;0.772;0.911;2.31e-05;0.000102; 50240;271;493;0.0892;0.165;47;0.00172;0.983;0.00175;0.606;0.126;4.07;0.969;0.0242;0.000848;0.0273;  5680;1;2;0.114;0.157;53;0.00159;0.927;0.00171;0.612;0.0924;5.37;0.983;0.0133;0.000673;0.0391; 25280;2;1;0.116;0.156;56;0.00312;0.804;0.00387;0.618;0.114;10;0.989;0.0153;0.000423;0.0371; 18960;2;4;0.126;0.165;54;145;145;146;  0%;  0%;  0%;15.4;15.9;64.1;  0%;  0%;  0%;16;65.3;16.4;  0%;  0%;  0%;15.9;16.3;65.8;  0%;  0%;  0%;90.5;5.06;0.173;4.31;0;0;0;0;0;0.289;16.5;0;83.2;0;55;0;0;0;0.28;11.6;0.0305;88;0;62.4;0;0;0;0.627;5.61;0.0541;93.7;0;18.1;0;0;0;51.1;29.6;30.2;29.1;7.17 ;6.51 ;6.59 ;6.26 ;
2018-01-24;12:13:41.796;0.253;1.62;0.156;0.619;0.889;16.6;0.946;0.97;1e-05;0.000188;0.256;0.36;8.86e+04;5.45e+04;2.19e+03;3.25;81.2;0.505;12.6;303;25.1;20.4;0.0189;54.5;0;0;0;0;0;155;27.7;1.01;1.63;0.618;0.619;0.702;2.45;0.714;0.995;7.97e-06;2.78e-05; 52720;94;245;0.0459;0.0622;46;0.00224;1.11;0.00202;0.619;0.0655;5.72;0.989;0.0213;0.000334;0.0291;  5680;0;1;0.0673;0.0975;54;0.0013;0.944;0.00137;0.619;0.0611;4.34;0.986;0.014;0.000538;0.0382; 25440;1;1;0.0705;0.0998;56;0.00121;0.878;0.00138;0.619;0.0604;4.09;0.985;0.0127;0.000571;0.0387; 18880;0;2;0.0725;0.1;55;62.8;64.2;63.8;  0%;  0%;  0%;4.35;4.49;27;  0%;  0%;  0%;4.47;28.2;5.54;  0%;  0%;  0%;5.41;4.65;27.8;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.326;41.3;0.00166;58.4;0;0;0;0;0;0.222;31;0.0197;68.7;0;0;0;0;0;0.222;9.05;0.0541;90.7;0;0;0;0;0;62.8;31.6;31.5;29.2;7.11 ;7.01 ;7.09 ;6.53 ;
2018-01-24;12:13:42.816;0.16;1.02;0.157;0.619;0.393;12.9;0.969;0.954;7.08e-06;0.000232;0.107;0.111;5.55e+04;5.44e+04;2.19e+03;2.04;51;0.319;7.99;66.7;25.3;17.5;0.0164;57.2;0;0;0;0;0;144;24.9;0.631;1.02;0.618;0.619;0.267;1.67;0.84;0.994;4.84e-06;3.02e-05; 53680;22;47;0.0264;0.0253;47;0.00214;1.1;0.00194;0.619;0.049;5.34;0.991;0.022;0.000264;0.0288;  5680;0;0;0.0254;0.0282;54;0.00125;0.952;0.00131;0.619;0.0346;4.15;0.992;0.0141;0.000319;0.0383; 25520;0;3;0.0264;0.0283;56;0.000572;0.598;0.000957;0.619;0.0427;1.74;0.975;0.0193;0.000861;0.035; 18800;0;1;0.0288;0.0296;54;10.8;10.6;11.3;  0%;  0%;  0%;2.34;2.64;6.28;  0%;  0%;  0%;2.36;6.29;2.3;  0%;  0%;  0%;2.17;2.62;6.91;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.314;25.9;0;73.8;0;0;0;0;0;0.212;32;0.026;67.7;0;0;0;0;0;0.155;12;0.0398;87.8;0;0;0;0;0;54.9;29.5;31;28.8;6.68 ;6.15 ;6.27 ;5.83 ;
2018-01-24;12:13:43.852;0.0641;0.413;0.155;0.619;0.261;16.1;0.984;0.0645;1.18e-05;0.000728;0.109;0.108;2.21e+04;5.36e+04;2.14e+03;0.826;20.6;0.128;3.21;63.6;25.1;10.2;0.0182;64.7;0;0;0;0;0;138;24.2;0.252;0.408;0.618;0.619;0.0669;0.371;0.82;0.69;3.09e-06;1.71e-05; 53120;20;35;0.0249;0.0246;47;0.00252;1.01;0.00251;0.619;0.0711;6.66;0.989;0.0197;0.000327;0.0306;  5680;0;1;0.0264;0.0272;53;0.00112;0.732;0.00153;0.619;0.0586;3.62;0.984;0.015;0.000606;0.0374; 25600;0;2;0.0276;0.0276;56;0.0019;0.873;0.00218;0.619;0.0649;5.47;0.988;0.0172;0.000394;0.0332; 18880;0;0;0.0304;0.0288;54;9.97;9.56;10.2;  0%;  0%;  0%;3.35;3.57;4.48;  0%;  0%;  0%;3.14;4.3;3.4;  0%;  0%;  0%;3.2;3.69;4.8;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.405;14.3;0;85.3;0;0;0;0;0;0.247;20.6;0.031;79.1;0;0;0;0;0;0.352;5.74;0.0417;93.9;0;0;0;0;0;49.7;29.1;30.7;28.8;6.44 ;6.09 ;6.07 ;5.63 ;
2018-01-24;12:13:44.876;0.0623;0.399;0.156;0.619;0.167;8.97;0.981;0.106;7.72e-06;0.000416;0.0879;0.0929;2.16e+04;5.41e+04;2.18e+03;0.798;20;0.125;3.11;59.1;25.2;13.5;0.0193;61.3;0;24.7;0;0;0;137;23.4;0.245;0.396;0.618;0.619;0.0665;0.387;0.828;0.696;3.12e-06;1.82e-05; 52960;25;46;0.0221;0.0246;47;0.00209;1.09;0.00191;0.608;0.0394;5.21;0.992;0.022;0.000218;0.0288;  5680;0;0;0.0189;0.0205;53;0.000538;0.628;0.000856;0.613;0.0281;1.66;0.983;0.0169;0.000603;0.0356; 25440;0;3;0.0183;0.0193;56;0.000567;0.615;0.000922;0.615;0.0326;1.72;0.981;0.0185;0.000664;0.0351; 18880;0;1;0.0286;0.0284;55;10.8;10.3;11;  0%;  0%;  0%;2.37;2.64;4.24;  0%;  0%;  0%;2.36;3.82;2.36;  0%;  0%;  0%;2.22;2.63;4.44;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.314;25.4;0.00167;74.3;0;43.5;0;0;0;0.14;16.2;0.0291;83.6;0;50.6;0;0;0;0.15;12.1;0.0465;87.7;0;4.71;0;0;0;49;29.6;29.9;28.8;6.31 ;5.72 ;5.75 ;5.59 ;
2018-01-24;12:13:45.908;0.0615;0.397;0.155;0.619;0.168;8.99;0.981;0.108;7.91e-06;0.000424;0.113;0.122;2.12e+04;5.35e+04;2.15e+03;0.793;19.8;0.123;3.07;78;25;19.2;0.0174;55.8;0;0;0;0;0;141;24.3;0.243;0.394;0.618;0.619;0.0704;0.395;0.822;0.697;3.36e-06;1.89e-05; 50480;24;52;0.0242;0.0272;47;0.0021;1.1;0.0019;0.619;0.0394;5.24;0.992;0.0217;0.000217;0.0289;  5680;1;0;0.0279;0.0312;53;0.000545;0.68;0.000802;0.619;0.0278;1.69;0.984;0.0164;0.000592;0.0359; 25280;0;0;0.029;0.0315;55;0.00055;0.623;0.000883;0.619;0.0302;1.67;0.982;0.0181;0.000636;0.0351; 18800;0;1;0.0319;0.0324;54;14.4;13.8;14.1;  0%;  0%;  0%;3.41;3.29;5.24;  0%;  0%;  0%;3.29;4.82;3.58;  0%;  0%;  0%;3.44;3.3;5.32;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.308;38.5;0;61.2;0;0;0;0;0;0.13;27.6;0.0227;72.3;0;0;0;0;0;0.143;10.3;0.0468;89.5;0;0;0;0;0;49.4;31.2;31.2;28.9;6.38 ;6.12 ;6.19 ;5.62 ;
2018-01-24;12:13:46.940;0.0637;0.408;0.156;0.619;0.305;18.6;0.984;0.0608;1.38e-05;0.00084;0.114;0.121;2.21e+04;5.41e+04;2.17e+03;0.816;20.4;0.127;3.19;79.5;25.2;18.9;0.0163;55.9;0;0;0;0;0;140;24.3;0.249;0.403;0.618;0.619;0.0789;0.403;0.805;0.693;3.65e-06;1.87e-05; 48720;27;46;0.0251;0.0273;47;0.0022;1.06;0.00207;0.619;0.0727;5.58;0.987;0.0217;0.000381;0.0292;  5680;0;1;0.0277;0.0303;53;0.000893;0.713;0.00125;0.619;0.0572;2.78;0.979;0.0173;0.000739;0.0359; 25360;0;1;0.0284;0.0306;56;0.00295;0.969;0.00304;0.619;0.0961;9.82;0.99;0.012;0.000376;0.0384; 18960;1;3;0.0324;0.0323;55;13.9;13.4;14.4;  0%;  0%;  0%;2.58;4.91;5.34;  0%;  0%;  0%;2.62;4.53;3.5;  0%;  0%;  0%;3.52;5.09;5.68;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.334;39.1;0.000679;60.6;0;0;0;0;0;0.202;23.1;0.0225;76.7;0;0;0;0;0;0.491;13.3;0.0421;86.2;0;0;0;0;0;49.4;31.2;30.3;29.3;6.44 ;6.14 ;6.14 ;5.62 ;
2018-01-24;12:13:47.960;0.063;0.404;0.156;0.619;0.224;9.32;0.976;0.106;1.03e-05;0.000429;0.0792;0.0911;2.17e+04;5.38e+04;2.17e+03;0.807;20.2;0.126;3.15;75;25.2;4.45;0.0198;70.3;0;44;0;0;0;133;22.6;0.248;0.401;0.618;0.619;0.0916;0.428;0.786;0.682;4.27e-06;1.99e-05; 50640;19;53;0.0231;0.0274;47;0.00216;1.07;0.00203;0.612;0.0585;5.37;0.989;0.0221;0.000314;0.0288;  5680;0;1;0.0208;0.0247;54;0.000536;0.597;0.000898;0.616;0.0384;1.61;0.976;0.0182;0.000832;0.0348; 25440;0;0;0.0202;0.0231;56;0.000632;0.594;0.00106;0.609;0.0357;1.92;0.981;0.0186;0.000656;0.0352; 18880;0;1;0.0151;0.016;54;14.7;14;14.5;  0%;  0%;  0%;2.63;2.98;5.36;  0%;  0%;  0%;2.54;4.77;2.71;  0%;  0%;  0%;2.58;3;5.24;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.331;9.97;0;89.7;0;39;0;0;0;0.146;6.46;0.0382;93.4;0;46.5;0;0;0;0.175;1.21;0.0409;98.6;0;90.6;0;0;0;48.9;28.1;28.7;27.5;6.26 ;5.74 ;5.7 ;4.93 ;
