System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;12:15:40.564;0.171;1.1;0.155;0.619;24.2;108;0.775;0.968;0.000395;0.00176;1.48;0.315;6.14e+04;5.59e+04;2.22e+03;2.2;55;0.342;8.54;1.89e+03;25.1;4.77;0.015;70.1;0;20.7;0;0;0;153;36.1;0.68;1.1;0.618;0.619;24;88.8;0.73;0.974;0.000394;0.00146; 48320;362;1013;0.389;0.0563;47;0.00214;1.03;0.00208;0.619;0.0974;5.65;0.983;0.0211;0.000506;0.0294;  8160;0;3;0.367;0.0913;54;0.00115;0.789;0.00145;0.616;0.0902;3.88;0.977;0.0145;0.000873;0.0376; 28560;2;1;0.363;0.0839;56;0.00275;1.02;0.00269;0.618;0.0913;9.69;0.991;0.0106;0.000369;0.0392; 22000;0;2;0.361;0.0835;55;82.3;82.4;80.8;  0%;  0%;  0%;78.5;78.3;391;  0%;  0%;  1%;78.7;392;78.2;  0%;  1%;  0%;78.2;78.4;387;  0%;  0%;  1%;99.8;0.229;0;0;0;0;0;0;0;0.336;9.06;0.00479;90.6;0;0;0;0;0;0.236;5.72;0.0398;94;0;41.1;0;0;0;0.435;4.05;0.0155;95.5;0;41.4;0;0;0;63.1;29.9;30.6;29.8;8.93 ;9.25 ;9.38 ;8.57 ;
2018-01-24;12:15:41.582;0.155;1.22;0.127;0.619;18.3;33.9;0.46;0.988;0.000334;0.000619;1.45;1.09;5.47e+04;4.49e+04;2.27e+03;2.44;61;0.31;7.76;1.83e+03;20.5;4.41;0.0238;75;0;38.9;0;0;0;140;33.9;0.609;1.22;0.498;0.619;18.1;25.4;0.284;0.991;0.000333;0.000465; 53600;444;1203;0.375;0.117;46;0.00183;1.05;0.00175;0.603;0.0598;4.72;0.987;0.0212;0.000371;0.0293;  7920;0;2;0.355;0.32;54;0.000691;0.63;0.0011;0.61;0.0625;2.15;0.971;0.0175;0.00103;0.0354; 28320;0;3;0.362;0.325;56;0.000553;0.598;0.000925;0.614;0.0325;1.68;0.981;0.0186;0.00067;0.0347; 21680;0;0;0.361;0.325;54;153;155;153;  0%;  0%;  0%;30.9;30;394;  0%;  0%;  1%;31;398;30.4;  0%;  1%;  0%;30.2;30.2;394;  0%;  0%;  1%;80.4;1.91;0.0463;17.6;0;0;0;0;0;0.29;2.99;0.00832;96.7;0;68.9;0;0;0;0.18;8.86;0.0281;90.9;0;42.1;0;0;0;0.151;3.92;0.0122;95.9;0;45.4;0;0;0;54.7;27.9;29.4;28.4;8.33 ;8.71 ;8.89 ;8.02 ;
2018-01-24;12:15:42.628;0.194;1.5;0.129;0.619;1.85;16.9;0.89;0.807;2.77e-05;0.000252;0.447;0.608;6.69e+04;4.45e+04;2.14e+03;3.01;75.2;0.387;9.68;712;20.8;12;0.0441;67.1;0;7.34;0;0;0;139;27.8;0.777;1.51;0.514;0.619;1.63;6.97;0.766;0.91;2.45e-05;0.000105; 49120;283;518;0.0821;0.159;46;0.00136;0.952;0.00142;0.619;0.0894;3.1;0.971;0.0261;0.000762;0.0264;  8480;0;3;0.12;0.15;54;0.000308;0.471;0.000654;0.619;0.0451;0.79;0.943;0.0318;0.00169;0.0296; 28480;0;1;0.123;0.151;56;0.00194;0.665;0.00291;0.609;0.0863;6.03;0.986;0.0191;0.000514;0.036; 22160;2;4;0.122;0.148;55;140;139;141;  0%;  0%;  0%;16.8;18.2;61.2;  0%;  0%;  0%;17.1;63;17;  0%;  0%;  0%;17.1;18.3;64.3;  0%;  0%;  0%;83;5.56;0.156;11.3;0;2;0;0;0;0.23;6.59;0.00371;93.2;0;0;0;0;0;0.106;30.9;0.00418;69;0;0;0;0;0;0.478;5.05;0.0139;94.5;0;27.3;0;0;0;49.9;28.5;31.6;29;7.15 ;7.08 ;7.26 ;6.28 ;
2018-01-24;12:15:43.672;0.254;1.63;0.156;0.619;0.371;15;0.975;0.972;4.15e-06;0.000168;0.166;0.206;8.93e+04;5.48e+04;2.2e+03;3.26;81.5;0.509;12.7;176;25.2;6.85;0.00611;67.9;0;17.7;0;0;0;150;26.2;1.01;1.64;0.618;0.619;0.169;1.72;0.902;0.997;1.9e-06;1.93e-05; 53120;61;24;0.0339;0.0424;47;0.00254;0.962;0.00264;0.61;0.079;6.74;0.988;0.0201;0.000355;0.0303;  8400;1;0;0.0389;0.0511;54;0.00101;0.656;0.00154;0.617;0.0619;3.27;0.981;0.0149;0.000696;0.0367; 28560;0;4;0.0481;0.0581;56;0.00127;0.714;0.00178;0.616;0.0608;3.3;0.982;0.023;0.000545;0.0296; 22400;2;2;0.0452;0.0542;55;35;33.9;34.2;  0%;  0%;  0%;5.09;4.71;14.4;  0%;  0%;  0%;5.11;15;4.68;  0%;  0%;  0%;4.37;4.79;15;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.432;3.46;0.00381;96.1;0;40;0;0;0;0.25;18.8;0.0137;80.9;0;0.843;0;0;0;0.289;4.92;0.00694;94.8;0;30.2;0;0;0;62.9;28.1;30.5;28.8;6.86 ;6.39 ;6.85 ;6.05 ;
2018-01-24;12:15:44.712;0.194;1.25;0.156;0.619;0.901;11.1;0.919;0.97;1.32e-05;0.000163;0.167;0.228;6.8e+04;5.45e+04;2.19e+03;2.5;62.4;0.388;9.71;189;25.1;9.55;0.00667;65.3;0;17.7;0;0;0;146;26.8;0.773;1.25;0.618;0.619;0.778;2.45;0.682;0.993;1.15e-05;3.61e-05; 49680;132;200;0.0373;0.0447;47;0.0021;1.08;0.00194;0.613;0.0466;5.3;0.991;0.0219;0.000254;0.0288;  8480;0;2;0.0423;0.0613;53;0.000534;0.636;0.000839;0.614;0.0317;1.65;0.981;0.0163;0.000679;0.0354; 28480;1;0;0.0433;0.0611;56;0.000568;0.597;0.000952;0.615;0.0446;1.72;0.974;0.0204;0.000897;0.0346; 22400;0;2;0.0445;0.0609;55;38.1;38.2;38.4;  0%;  0%;  0%;3.01;3.36;17.8;  0%;  0%;  0%;3;18.8;2.97;  0%;  0%;  0%;2.83;3.37;18.8;  0%;  0%;  0%;99.8;0.161;0;0;0;0;0;0;0;0.317;8.04;0.00425;91.6;0;22.3;0;0;0;0.137;20.9;0.0114;78.9;0;24.4;0;0;0;0.155;9.1;0.0111;90.7;0;23.9;0;0;0;58.3;28.4;30.7;29;6.95 ;6.74 ;6.86 ;6.29 ;
2018-01-24;12:15:45.736;0.0639;0.41;0.156;0.619;0.155;8.9;0.983;0.0976;6.97e-06;0.000401;0.0918;0.0932;2.22e+04;5.42e+04;2.18e+03;0.819;20.5;0.128;3.2;47.4;25.2;11.5;0.00686;63.3;0;9.89;0;0;0;136;23.6;0.251;0.407;0.618;0.619;0.0523;0.335;0.844;0.701;2.39e-06;1.53e-05; 52640;40;36;0.0211;0.0227;47;0.00207;1.07;0.00194;0.61;0.04;5.17;0.992;0.0221;0.000223;0.0288;  8480;0;1;0.0176;0.018;54;0.00055;0.677;0.000812;0.619;0.0311;1.68;0.982;0.0174;0.000653;0.0354; 28480;0;2;0.0254;0.0261;56;0.000561;0.619;0.000907;0.619;0.0312;1.71;0.982;0.0183;0.000641;0.0352; 22480;0;2;0.0277;0.0264;55;8.56;7.83;7.64;  0%;  0%;  0%;2.32;2.49;3.31;  0%;  0%;  0%;2.29;3.04;2.09;  0%;  0%;  0%;1.98;2.5;3.34;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.318;4.89;0.00731;94.8;0;39.6;0;0;0;0.131;32.2;0.00821;67.7;0;0;0;0;0;0.146;8.92;0.012;90.9;0;0;0;0;0;49.3;27.8;30.9;28.5;6.4 ;5.69 ;6.06 ;5.46 ;
2018-01-24;12:15:46.760;0.0606;0.39;0.155;0.619;0.161;9.05;0.982;0.1;7.72e-06;0.000434;0.0989;0.0997;2.09e+04;5.35e+04;2.15e+03;0.78;19.5;0.121;3.03;53;25.1;11.6;0.00617;63.3;0;3.97;0;0;0;137;23.9;0.239;0.387;0.618;0.619;0.058;0.356;0.837;0.698;2.82e-06;1.73e-05; 49840;46;36;0.0215;0.0233;47;0.00213;1.08;0.00196;0.615;0.0406;5.3;0.992;0.0218;0.000221;0.0289;  8480;0;1;0.0226;0.023;54;0.000554;0.675;0.00082;0.619;0.0304;1.68;0.982;0.0181;0.000638;0.0354; 28480;0;1;0.0262;0.0265;56;0.000567;0.626;0.000905;0.619;0.0321;1.71;0.981;0.019;0.00066;0.0351; 22320;0;1;0.0286;0.0269;55;9.42;8.67;8.95;  0%;  0%;  0%;2.5;2.72;3.72;  0%;  0%;  0%;2.45;3.38;2.37;  0%;  0%;  0%;2.26;2.74;3.78;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.319;7.82;0.00322;91.9;0;15.9;0;0;0;0.132;27.4;0.00381;72.5;0;0;0;0;0;0.146;11;0.0176;88.8;0;0;0;0;0;49.1;28;30.7;28.8;6.37 ;5.9 ;6.14 ;5.51 ;
2018-01-24;12:15:47.792;0.062;0.399;0.156;0.619;0.265;13.5;0.98;0.0739;1.24e-05;0.000629;0.0998;0.1;2.14e+04;5.37e+04;2.15e+03;0.797;19.9;0.124;3.1;71.8;25.1;7.48;0.0103;67.4;0;14.1;0;0;0;136;23.8;0.244;0.395;0.618;0.619;0.0733;0.381;0.807;0.687;3.49e-06;1.81e-05; 54000;41;49;0.0244;0.0257;47;0.00254;0.969;0.00262;0.607;0.0739;6.69;0.989;0.02;0.000337;0.0305;  8480;0;1;0.017;0.0182;54;0.001;0.653;0.00153;0.616;0.0576;3.19;0.982;0.0155;0.000666;0.0369; 28480;2;0;0.028;0.0279;56;0.00102;0.626;0.00163;0.617;0.0605;3.21;0.981;0.0162;0.000687;0.0364; 22320;0;4;0.0303;0.0285;55;11.9;11.4;11.7;  0%;  0%;  0%;3.79;3.93;4.71;  0%;  0%;  0%;3.77;4.54;3.59;  0%;  0%;  0%;3.35;4.07;5.07;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.431;2.56;0.00782;97;0;54.1;0;0;0;0.249;16.8;0.0165;82.9;0;0.917;0;0;0;0.264;10.3;0.0167;89.4;0;1.44;0;0;0;49.5;27.8;29.8;29.1;6.41 ;5.62 ;6.18 ;5.59 ;
2018-01-24;12:15:48.805;0.0634;0.409;0.155;0.619;0.18;9.19;0.98;0.0974;8.4e-06;0.00043;0.0962;0.103;2.14e+04;5.23e+04;2.1e+03;0.818;20.5;0.127;3.17;63.5;25;9.97;0.00892;65;0;9.91;0;0;0;134;23.6;0.251;0.406;0.618;0.619;0.0657;0.354;0.815;0.697;3.11e-06;1.68e-05; 49040;48;40;0.0217;0.0251;47;0.00211;1.08;0.00196;0.615;0.0443;5.16;0.991;0.0221;0.000248;0.0289;  8480;0;2;0.0236;0.0256;54;0.000609;0.668;0.000911;0.613;0.0344;1.85;0.981;0.0158;0.000669;0.0361; 28400;0;0;0.0243;0.0256;56;0.000611;0.635;0.000963;0.616;0.0355;1.83;0.981;0.0177;0.000688;0.0354; 22560;0;1;0.0266;0.0264;55;11.7;11.3;11.6;  0%;  0%;  0%;2.77;2.86;4.31;  0%;  0%;  0%;2.69;3.86;2.61;  0%;  0%;  0%;2.49;2.87;4.41;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.319;8.41;0.00126;91.3;0;12.3;0;0;0;0.149;20.6;0.0169;79.2;0;13.5;0;0;0;0.156;10.7;0.0174;89.2;0;13.8;0;0;0;48.6;27.8;29.7;28.4;6.3 ;5.91 ;6 ;5.43 ;
2018-01-24;12:15:49.844;0.0631;0.406;0.156;0.619;0.173;9.05;0.981;0.104;7.8e-06;0.000409;0.106;0.114;2.21e+04;5.45e+04;2.2e+03;0.811;20.3;0.126;3.16;66.3;25.1;10.5;0.00635;64.3;0;0;0;0;0;138;24.5;0.249;0.403;0.618;0.619;0.0703;0.379;0.815;0.697;3.22e-06;1.74e-05; 51600;46;46;0.0221;0.026;47;0.00211;1.08;0.00195;0.619;0.0431;5.32;0.992;0.022;0.000233;0.0288;  8480;0;2;0.0265;0.029;54;0.000535;0.654;0.000817;0.619;0.0299;1.65;0.982;0.0169;0.000638;0.0353; 28480;0;3;0.0274;0.029;55;0.000556;0.625;0.00089;0.619;0.0293;1.7;0.983;0.0184;0.000603;0.035; 22400;0;0;0.0297;0.0297;55;12.6;12.1;12.3;  0%;  0%;  0%;2.72;2.86;4.49;  0%;  0%;  0%;2.69;4.06;2.65;  0%;  0%;  0%;2.51;2.89;4.46;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.315;9.63;0;90.1;0;0;0;0;0;0.132;19.9;0.0136;79.9;0;0;0;0;0;0.144;12.4;0.0118;87.4;0;0;0;0;0;49.9;28.6;30.3;29.3;6.48 ;6.1 ;6.23 ;5.65 ;
