System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;12:13:52.136;0.136;0.871;0.156;0.619;39.9;76.8;0.48;0.968;0.000841;0.00162;2.61;1.36;4.75e+04;5.46e+04;2.19e+03;1.74;43.5;0.272;6.8;3.88e+03;25.2;6.62;0.0196;68.1;0;32.1;0;0;0;149;38.5;0.538;0.87;0.618;0.619;39.7;63.6;0.376;0.973;0.000844;0.00135; 49440;877;2523;0.659;0.225;46;0.00235;1.08;0.00218;0.613;0.0757;6.15;0.988;0.0198;0.00037;0.03;  5680;0;1;0.647;0.375;53;0.000983;0.798;0.00123;0.617;0.0534;3.23;0.983;0.0131;0.000623;0.0377; 25920;0;1;0.645;0.374;56;0.00116;0.687;0.00169;0.616;0.0798;3.82;0.979;0.015;0.000789;0.0377; 18640;1;0;0.655;0.382;55;327;326;332;  1%;  1%;  1%;118;119;725;  0%;  0%;  3%;118;724;118;  0%;  3%;  0%;118;119;733;  0%;  0%;  3%;99.8;0.173;0;0;0;0;0;0;0;0.356;5.6;0.00647;94;0;38.6;0;0;0;0.2;15.1;0.0395;84.7;0;45.9;0;0;0;0.274;5.67;0.0327;94;0;44.1;0;0;0;59.6;29.1;31;29.5;9.36 ;9.92 ;10.1 ;9.16 ;
2018-01-24;12:13:53.180;0.127;1.24;0.102;0.619;18.8;41.9;0.553;0.975;0.000424;0.000947;1.55;1.24;4.42e+04;3.56e+04;2.17e+03;2.49;62.2;0.254;6.35;2.05e+03;16.5;13.7;0.0836;69.8;0;22.5;0;0;0;141;34.3;0.506;1.25;0.406;0.619;18.6;34.2;0.456;0.98;0.000423;0.000777; 52240;488;1360;0.38;0.151;46;0.00151;1.04;0.00146;0.613;0.0619;3.98;0.984;0.0201;0.000469;0.0301;  5520;1;1;0.388;0.363;54;0.000547;0.662;0.000828;0.616;0.0303;1.69;0.982;0.0165;0.000634;0.0354; 25600;0;2;0.395;0.364;56;0.000917;0.717;0.00128;0.612;0.0616;2.09;0.97;0.0317;0.000771;0.0261; 18560;0;3;0.391;0.361;55;199;200;201;  1%;  1%;  1%;36.3;37.1;405;  0%;  0%;  2%;36.6;412;36.9;  0%;  2%;  0%;37;37.4;410;  0%;  0%;  2%;65.6;5.41;0.272;28.7;0;0.856;0;0;0;0.238;21;0;78.8;0;21.1;0;0;0;0.134;22.4;0.0299;77.5;0;25.3;0;0;0;0.209;5.88;0.0336;93.9;0;42.5;0;0;0;50.3;30.1;31.3;29.1;8.42 ;8.8 ;8.95 ;8.18 ;
2018-01-24;12:13:54.224;0.234;1.51;0.154;0.619;1.46;25.4;0.942;0.857;1.79e-05;0.00031;0.347;0.474;8.19e+04;5.41e+04;2.19e+03;3.03;75.7;0.467;11.7;531;24.9;9.37;0.0421;65.7;0;10.7;0;0;0;143;26.5;0.927;1.52;0.609;0.619;1.16;3.38;0.658;0.978;1.42e-05;4.15e-05; 52480;218;344;0.0748;0.135;46;0.00195;1.02;0.00191;0.619;0.115;4.89;0.976;0.0219;0.000676;0.0286;  5680;1;0;0.091;0.116;53;0.00145;0.918;0.00158;0.619;0.0758;4.89;0.985;0.0137;0.000597;0.0386; 25680;0;3;0.0927;0.114;56;0.00373;0.855;0.00436;0.612;0.115;12.3;0.991;0.0145;0.000352;0.0375; 18720;0;2;0.0886;0.109;54;103;103;105;  0%;  0%;  0%;13.1;13.9;44.6;  0%;  0%;  0%;13.6;45.5;13.5;  0%;  0%;  0%;13.4;14.4;48.1;  0%;  0%;  0%;98.4;1.48;0.0959;0.0434;0;0;0;0;0;0.309;13;0;86.7;0;0;0;0;0;0.254;18.6;0.0321;81.1;0;0;0;0;0;0.712;4.33;0.0404;94.9;0;42.6;0;0;0;54;29.1;30.5;28.9;7.03 ;6.77 ;6.95 ;5.78 ;
2018-01-24;12:13:55.276;0.252;1.63;0.155;0.619;0.829;11.3;0.926;0.979;9.33e-06;0.000127;0.25;0.36;8.89e+04;5.47e+04;2.19e+03;3.25;81.3;0.505;12.6;296;25.1;12.9;0.018;62;0;4.22;0;0;0;154;27.7;1.01;1.63;0.618;0.619;0.695;2.28;0.695;0.996;7.84e-06;2.57e-05; 52160;89;253;0.0444;0.0621;46;0.00211;1.08;0.00195;0.619;0.0559;5.34;0.99;0.0221;0.000301;0.0287;  5600;0;1;0.0675;0.0997;53;0.000559;0.696;0.000804;0.619;0.0356;1.74;0.98;0.0174;0.000723;0.0353; 25760;0;2;0.07;0.101;56;0.000604;0.629;0.000961;0.618;0.0424;1.89;0.978;0.0178;0.000795;0.0355; 18800;0;1;0.0677;0.0974;54;64.4;63;63;  0%;  0%;  0%;3.86;4.19;26.4;  0%;  0%;  0%;3.92;27.9;3.76;  0%;  0%;  0%;3.6;4.39;27.1;  0%;  0%;  0%;99.8;0.165;0;0;0;0;0;0;0;0.315;18.1;0;81.5;0;0;0;0;0;0.13;25.4;0.0253;74.5;0;0;0;0;0;0.156;7.88;0.0469;91.9;0;16.9;0;0;0;63.2;29.7;31.6;29.2;7.12 ;7 ;7.16 ;6.42 ;
2018-01-24;12:13:56.328;0.174;1.12;0.156;0.619;0.448;14.7;0.97;0.954;7.31e-06;0.00024;0.0874;0.0875;6.13e+04;5.5e+04;2.21e+03;2.23;55.8;0.348;8.69;70.5;25.2;7.74;0.0265;67.1;0;34.7;0;0;0;146;24.9;0.691;1.12;0.618;0.619;0.25;1.63;0.847;0.995;4.11e-06;2.68e-05; 48000;20;33;0.0288;0.0258;46;0.00232;1.06;0.0022;0.613;0.0743;6.09;0.988;0.0201;0.000363;0.0298;  5520;0;1;0.019;0.0211;54;0.000849;0.705;0.0012;0.616;0.0495;2.77;0.982;0.0142;0.00066;0.0369; 25600;0;1;0.0194;0.0207;55;0.00128;0.701;0.00183;0.614;0.0744;4.25;0.982;0.0149;0.000657;0.0375; 18720;0;1;0.0202;0.0199;55;10.2;10.1;11;  0%;  0%;  0%;2.72;3.68;6.16;  0%;  0%;  0%;2.73;6.46;3.06;  0%;  0%;  0%;2.98;3.97;7.47;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.359;11;0.0162;88.7;0;38.4;0;0;0;0.195;11.4;0.0445;88.3;0;44.9;0;0;0;0.298;8.4;0.0452;91.3;0;55.6;0;0;0;57.5;29.1;30.3;29.1;6.8 ;6.19 ;6.26 ;5.65 ;
2018-01-24;12:13:57.364;0.0629;0.403;0.156;0.619;0.162;9.03;0.982;0.0999;7.34e-06;0.000409;0.0984;0.0997;2.21e+04;5.48e+04;2.21e+03;0.807;20.2;0.126;3.15;47.3;25.2;16.1;0.0124;58.7;0;3.14;0;0;0;140;23.9;0.248;0.401;0.618;0.619;0.0584;0.353;0.835;0.699;2.68e-06;1.62e-05; 49440;21;29;0.022;0.0231;47;0.00209;1.1;0.0019;0.618;0.0411;5.26;0.992;0.022;0.000225;0.0288;  5520;1;0;0.0239;0.0247;54;0.000538;0.652;0.000825;0.615;0.0288;1.69;0.983;0.0171;0.00061;0.0359; 25680;0;2;0.0245;0.025;56;0.000558;0.625;0.000894;0.619;0.0339;1.72;0.98;0.0189;0.000691;0.0351; 18720;0;0;0.028;0.0269;54;8.11;7.72;8.13;  0%;  0%;  0%;2.13;2.45;3.49;  0%;  0%;  0%;2.1;3.11;2.08;  0%;  0%;  0%;1.94;2.42;3.64;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.308;31.3;0;68.3;0;5.69;0;0;0;0.134;20.5;0.0123;79.4;0;6.88;0;0;0;0.144;12.5;0.0372;87.3;0;0;0;0;0;49.7;30.6;30.2;29.2;6.42 ;5.96 ;5.97 ;5.55 ;
2018-01-24;12:13:58.400;0.0614;0.395;0.155;0.619;0.164;9.11;0.982;0.105;7.67e-06;0.000426;0.109;0.113;2.14e+04;5.41e+04;2.17e+03;0.79;19.8;0.123;3.07;63.6;25.1;16.8;0.0116;58;0;0;0;0;0;140;24.1;0.242;0.392;0.618;0.619;0.0636;0.387;0.836;0.697;3.02e-06;1.84e-05; 51040;21;45;0.0233;0.025;47;0.00209;1.1;0.0019;0.619;0.0396;5.25;0.992;0.0215;0.000218;0.0289;  5360;1;0;0.0272;0.0286;53;0.000543;0.679;0.0008;0.619;0.0288;1.69;0.983;0.0173;0.000609;0.0357; 25440;1;0;0.0282;0.0293;56;0.000579;0.643;0.0009;0.619;0.0319;1.79;0.982;0.0177;0.000633;0.0355; 18800;1;0;0.0304;0.0301;55;11.1;10.7;11.1;  0%;  0%;  0%;2.94;2.83;4.48;  0%;  0%;  0%;2.98;4.26;2.89;  0%;  0%;  0%;2.88;2.79;4.59;  0%;  0%;  0%;99.8;0.162;0;0;0;0;0;0;0;0.307;29.9;0;69.7;0;0;0;0;0;0.129;27;0.0132;72.8;0;0;0;0;0;0.145;10.3;0.0334;89.6;0;0;0;0;0;49.6;30.2;31.2;28.9;6.42 ;6.03 ;6.07 ;5.56 ;
2018-01-24;12:13:59.460;0.0627;0.403;0.155;0.619;0.316;18.6;0.983;0.0608;1.44e-05;0.000846;0.121;0.122;2.2e+04;5.47e+04;2.18e+03;0.807;20.2;0.125;3.13;88.1;25.1;15.9;0.0206;59;0;0.105;0;0;0;143;24.8;0.246;0.398;0.618;0.619;0.0749;0.396;0.811;0.694;3.48e-06;1.84e-05; 51600;23;44;0.0291;0.028;47;0.00244;1.03;0.00238;0.619;0.0789;6.44;0.988;0.0208;0.000367;0.03;  5440;0;1;0.0284;0.0299;53;0.00216;0.941;0.0023;0.619;0.0849;7.34;0.988;0.0146;0.000446;0.0386; 25920;1;2;0.0304;0.0317;56;0.00135;0.764;0.00177;0.617;0.0776;4.47;0.983;0.0143;0.000652;0.0375; 18800;0;3;0.0334;0.0326;54;13.7;13.9;13.8;  0%;  0%;  0%;4.44;4.63;5.62;  0%;  0%;  0%;4.46;5.8;5.65;  0%;  0%;  0%;5.43;4.67;6.02;  0%;  0%;  0%;99.8;0.165;0;0;0;0;0;0;0;0.384;30.2;0.00602;69.4;0;0;0;0;0;0.371;22.7;0.0402;76.9;0;0;0;0;0;0.287;10.6;0.036;89.1;0;0.419;0;0;0;50.9;31.3;31.2;29.7;6.62 ;6.19 ;6.23 ;5.77 ;
2018-01-24;12:14:00.484;0.0644;0.409;0.157;0.619;0.277;15.2;0.982;0.0696;1.22e-05;0.000672;0.0706;0.0818;2.26e+04;5.52e+04;2.23e+03;0.819;20.5;0.129;3.22;63.6;25.4;3.42;0.0205;71.1;0;47.9;0;0;0;134;22.2;0.25;0.405;0.618;0.619;0.0767;0.39;0.803;0.694;3.46e-06;1.76e-05; 57520;24;48;0.022;0.0257;47;0.00227;1.03;0.00221;0.607;0.0667;5.88;0.989;0.0208;0.000335;0.0296;  5520;0;1;0.0153;0.0189;53;0.00112;0.718;0.00156;0.614;0.0667;3.63;0.982;0.0143;0.000683;0.0372; 25760;0;1;0.0115;0.0142;56;0.00163;0.79;0.00207;0.617;0.0663;5.29;0.987;0.0141;0.000464;0.037; 18640;0;0;0.0218;0.023;55;12.5;11.7;12.3;  0%;  0%;  0%;2.34;2.53;4.4;  0%;  0%;  0%;2.35;3.98;2.33;  0%;  0%;  0%;2.14;2.54;4.42;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.363;4.17;0.00465;95.5;0;62.2;0;0;0;0.253;2.49;0.0396;97.2;0;87.9;0;0;0;0.335;6.92;0.0381;92.7;0;42.2;0;0;0;49.2;27.7;28.6;28.3;6.37 ;5.32 ;5.23 ;5.28 ;
2018-01-24;12:14:01.524;0.0618;0.4;0.155;0.619;0.177;9.01;0.98;0.104;8.27e-06;0.000421;0.107;0.118;2.14e+04;5.35e+04;2.15e+03;0.8;20;0.124;3.09;67;25;13.7;0.0126;61.3;0;0;0;0;0;139;24.3;0.245;0.397;0.618;0.619;0.0759;0.388;0.804;0.692;3.59e-06;1.84e-05; 52080;24;46;0.0229;0.0266;47;0.00212;1.11;0.00191;0.619;0.0423;5.3;0.992;0.0214;0.000231;0.0289;  5520;0;1;0.0267;0.0302;54;0.000534;0.652;0.00082;0.619;0.0278;1.65;0.983;0.0171;0.000601;0.0357; 25840;0;0;0.0276;0.0303;56;0.000551;0.637;0.000865;0.619;0.0309;1.67;0.981;0.0189;0.000646;0.0349; 18720;0;1;0.0298;0.0309;54;13.1;12.6;12.8;  0%;  0%;  0%;2.39;2.65;4.82;  0%;  0%;  0%;2.36;4.23;2.42;  0%;  0%;  0%;2.29;2.62;4.64;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;0.309;28.7;0;70.9;0;0;0;0;0;0.132;12.3;0.0222;87.6;0;0;0;0;0;0.14;13.6;0.0281;86.2;0;0;0;0;0;49.9;30.4;29.5;29.4;6.45 ;6.05 ;6.14 ;5.62 ;
