System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;12:06:38.167;0.212;1.18;0.18;0.714;2.31;22.8;0.899;0.996;3.14e-05;0.00031;0.233;0.117;7.35e+04;6.26e+04;2.17e+03;2.35;58.8;0.423;10.6;238;25.2;7.47;0.0144;67.3;0;27.3;0;0;0;163;32.2;0.839;1.18;0.713;0.714;2.07;4.74;0.564;0.999;2.83e-05;6.49e-05; 52320;85;66;0.0695;0.0289;45;0.00269;1.01;0.00266;0.714;0.0978;7.05;0.986;0.0206;0.000419;0.0302; 22880;0;4;0.0585;0.0348;54;0.000729;0.929;0.000785;0.701;0.0422;2.45;0.983;0.0105;0.000666;0.0386; 24400;1;1;0.0521;0.0272;55;0.00259;0.923;0.0028;0.699;0.104;8.55;0.988;0.0126;0.000462;0.0381; 22960;0;1;0.053;0.026;54;15.5;14.2;16.4;  0%;  0%;  0%;8.75;11.6;44.2;  0%;  0%;  0%;8.57;43.5;9.21;  0%;  0%;  0%;9.06;11.7;45.7;  0%;  0%;  0%;99.8;0.171;0;0;0;0;0;0;0;0.372;14.5;0.0162;85.2;0;0;0;0;0;0.112;7.18;0.00049;92.7;0;46.6;0;0;0;0.401;8.07;0.0409;91.5;0;62.7;0;0;0;70.7;30.6;30.9;30.5;7.97 ;8.29 ;8.23 ;7.68 ;
2018-01-24;12:06:39.319;0.196;1.48;0.133;0.714;11;38.2;0.712;0.809;0.00015;0.000519;1.2;1.26;7.35e+04;4.98e+04;2.19e+03;2.95;73.8;0.393;9.82;1.71e+03;18.6;12;0.0737;69.4;0;14.2;0;0;0;163;33.1;0.795;1.48;0.536;0.714;10.7;19.8;0.461;0.891;0.000146;0.000272; 50880;527;1195;0.272;0.234;45;0.00203;0.975;0.00208;0.714;0.137;6.02;0.977;0.0183;0.000717;0.0315; 22560;2;6;0.311;0.345;54;0.000646;0.928;0.000696;0.714;0.0387;2.37;0.984;0.0104;0.000636;0.039; 24240;0;6;0.315;0.346;56;0.00283;0.806;0.00351;0.702;0.139;9.97;0.986;0.0161;0.00052;0.0374; 23600;0;9;0.306;0.335;54;242;241;243;  1%;  1%;  1%;29.8;33.3;263;  0%;  0%;  1%;30;265;30.3;  0%;  1%;  0%;30.5;33.9;266;  0%;  0%;  1%;75;6.75;0.262;18;0;0;0;0;0;0.291;15.7;0.00899;84;0;0;0;0;0;0.0974;16.7;0.00062;83.2;0;0;0;0;0;0.5;8.57;0.0282;90.9;0;56.6;0;0;0;58;34.6;36;34.5;8.54 ;8.54 ;8.49 ;7.52 ;
2018-01-24;12:06:40.372;0.294;1.61;0.183;0.714;0.75;16.9;0.956;0.97;7.04e-06;0.000158;0.106;0.112;1.07e+05;6.61e+04;2.4e+03;3.23;80.6;0.589;14.7;112;25.6;5.1;0.0633;69.3;0;41.3;0;0;0;164;26.2;1.15;1.62;0.713;0.714;0.537;2.01;0.733;0.996;5.06e-06;1.89e-05; 48400;25;64;0.036;0.0297;45;0.00281;0.983;0.00286;0.699;0.0936;7.62;0.988;0.0202;0.00037;0.0301; 22640;2;5;0.0255;0.0312;54;0.000887;0.747;0.00119;0.712;0.0431;3.05;0.986;0.0118;0.000539;0.0381; 24160;0;5;0.0246;0.0292;56;0.00129;0.64;0.00202;0.697;0.0762;4.21;0.982;0.0157;0.000656;0.0363; 23360;1;5;0.0199;0.0223;54;16.3;14.7;16.2;  0%;  0%;  0%;3.03;5.93;13.4;  0%;  0%;  0%;2.9;13;3.45;  0%;  0%;  0%;3.41;6.17;13.7;  0%;  0%;  0%;99.8;0.162;0;0;0;0;0;0;0;0.409;11.8;0.0128;87.8;0;34.9;0;0;0;0.167;7.05;0;92.8;0;41.4;0;0;0;0.289;1.52;0.242;98;0;90;0;0;0;70.9;30.9;31.5;30.3;7.05 ;6.46 ;6.87 ;5.8 ;
2018-01-24;12:06:41.403;0.263;1.46;0.181;0.714;1.04;18.4;0.943;0.966;1.13e-05;0.000199;0.246;0.35;9.23e+04;6.33e+04;2.21e+03;2.92;72.9;0.526;13.2;323;25.3;9.85;0.0119;64.9;0;23.2;0;0;0;161;27.2;1.04;1.46;0.713;0.714;0.78;2.65;0.705;0.995;8.49e-06;2.88e-05; 52240;110;235;0.047;0.0641;45;0.00259;1;0.00259;0.714;0.0988;6.89;0.986;0.0202;0.000435;0.0304; 22720;4;4;0.0689;0.101;54;0.000559;0.778;0.000718;0.7;0.0435;1.85;0.977;0.0124;0.00089;0.0379; 24400;1;2;0.0639;0.0921;56;0.00209;0.813;0.00257;0.703;0.117;6.97;0.983;0.0141;0.000639;0.0381; 23440;0;12;0.0661;0.0933;55;67.4;66;66.8;  0%;  0%;  0%;4.41;7.45;28.5;  0%;  0%;  0%;4.57;29.7;5.02;  0%;  0%;  0%;5.35;7.8;29.6;  0%;  0%;  0%;99.8;0.161;0;0;0;0;0;0;0;0.362;18.5;0.0188;81.2;0;0;0;0;0;0.103;12.6;0;87.3;0;46.4;0;0;0;0.366;8.27;0.0288;91.3;0;46.5;0;0;0;67.9;31;31.5;30.5;7.09 ;6.84 ;7.02 ;6.28 ;
2018-01-24;12:06:42.443;0.0702;0.393;0.179;0.714;0.227;9.82;0.977;0.0959;9.3e-06;0.000402;0.0904;0.0941;2.44e+04;6.22e+04;2.17e+03;0.785;19.6;0.14;3.51;57;25;9.27;0.0131;65.7;0;22;0;0;0;148;23.7;0.278;0.39;0.713;0.714;0.0928;0.478;0.806;0.64;3.85e-06;1.98e-05; 51440;24;40;0.0231;0.0246;45;0.00228;1.03;0.00222;0.714;0.0624;5.78;0.989;0.0222;0.000315;0.0291; 22720;1;2;0.0261;0.0275;54;0.000491;0.836;0.000587;0.714;0.0257;1.63;0.984;0.0114;0.000601;0.0383; 24400;0;2;0.0267;0.0281;56;0.000647;0.562;0.00115;0.686;0.0462;1.93;0.976;0.0215;0.00082;0.0343; 23680;0;1;0.0145;0.0139;55;10;9.65;10.3;  0%;  0%;  0%;1.88;3.07;4.67;  0%;  0%;  0%;1.83;3.81;2;  0%;  0%;  0%;1.84;3.14;4.8;  0%;  0%;  0%;99.8;0.162;0;0;0;0;0;0;0;0.311;18.8;0.024;80.9;0;0;0;0;0;0.0822;16.2;0;83.7;0;0;0;0;0;0.168;1.91;0.0282;97.9;0;88.1;0;0;0;54.7;31.2;32.1;30;6.54 ;6.03 ;6.19 ;4.96 ;
2018-01-24;12:06:43.460;0.0726;0.402;0.18;0.714;0.179;9.26;0.981;0.103;7.13e-06;0.000368;0.0866;0.0897;2.51e+04;6.25e+04;2.18e+03;0.804;20.1;0.145;3.63;52.8;25.3;6.71;0.0111;68;0;22.1;0;0;0;144;23.2;0.285;0.399;0.713;0.714;0.0654;0.363;0.82;0.701;2.63e-06;1.46e-05; 47760;17;44;0.022;0.0234;46;0.00219;1.02;0.00214;0.714;0.0492;5.41;0.991;0.0232;0.00026;0.0286; 22720;0;2;0.0252;0.0267;54;0.000483;0.838;0.000577;0.714;0.0199;1.61;0.988;0.0122;0.000477;0.0385; 24400;0;4;0.0259;0.0268;56;0.000875;0.711;0.00123;0.694;0.0447;1.88;0.976;0.0338;0.000591;0.0249; 23920;0;4;0.0135;0.0128;54;9.38;8.52;9.5;  0%;  0%;  0%;1.86;3.12;3.98;  0%;  0%;  0%;1.83;3.27;1.96;  0%;  0%;  0%;1.88;3.24;4.21;  0%;  0%;  0%;99.8;0.161;0;0;0;0;0;0;0;0.3;16.4;0.0126;83.3;0;0;0;0;0;0.0808;8.62;0;91.3;0;0;0;0;0;0.177;1.77;0.0318;98;0;88.5;0;0;0;53.7;30.3;30.6;29.3;6.32 ;5.94 ;6.02 ;4.9 ;
2018-01-24;12:06:44.491;0.0717;0.402;0.178;0.714;0.163;8.83;0.982;0.105;6.61e-06;0.000359;0.0621;0.0712;2.46e+04;6.12e+04;2.13e+03;0.804;20.1;0.143;3.58;59.7;25;2.41;0.0151;72.6;0;61.6;0;0;0;144;22.3;0.285;0.4;0.713;0.714;0.0639;0.361;0.823;0.703;2.62e-06;1.48e-05; 49120;24;30;0.022;0.0252;46;0.00208;1.04;0.00201;0.665;0.0429;5.1;0.992;0.0234;0.00024;0.0285; 22720;1;1;0.0134;0.0161;54;0.000492;0.878;0.000561;0.695;0.0184;1.65;0.989;0.0109;0.000435;0.0389; 24320;0;2;0.0116;0.0143;56;0.000592;0.547;0.00108;0.683;0.0376;1.72;0.978;0.0223;0.000738;0.0338; 23840;0;2;0.015;0.0156;54;11.5;10.9;11.5;  0%;  0%;  0%;1.87;2.93;4.33;  0%;  0%;  0%;1.79;3.67;1.99;  0%;  0%;  0%;1.81;2.96;4.58;  0%;  0%;  0%;99.8;0.161;0;0;0;0;0;0;0;0.302;3.5;0.0238;96.2;0;73.7;0;0;0;0.0806;3.31;0.0012;96.6;0;86.8;0;0;0;0.158;2.66;0.0355;97.1;0;85.3;0;0;0;54.5;29.5;30.6;29.8;6.45 ;5.4 ;5.53 ;4.9 ;
2018-01-24;12:06:45.531;0.0708;0.396;0.179;0.714;0.166;8.93;0.981;0.109;6.74e-06;0.000363;0.0924;0.104;2.46e+04;6.22e+04;2.17e+03;0.792;19.8;0.142;3.54;66.2;25;8.43;0.0125;66.5;0;20.2;0;0;0;148;23.7;0.281;0.393;0.713;0.714;0.0685;0.384;0.822;0.702;2.82e-06;1.58e-05; 54320;14;54;0.0225;0.0264;46;0.00212;1.03;0.00205;0.714;0.0417;5.24;0.992;0.0234;0.000226;0.0284; 22800;0;1;0.0267;0.0301;54;0.000476;0.868;0.000548;0.714;0.0182;1.6;0.989;0.011;0.000441;0.0388; 24400;0;1;0.0272;0.0303;56;0.000578;0.549;0.00105;0.687;0.0375;1.7;0.978;0.0224;0.000746;0.0338; 23600;0;0;0.0161;0.0176;54;13.1;12.2;13.1;  0%;  0%;  0%;1.99;3.11;4.68;  0%;  0%;  0%;1.99;3.91;2.11;  0%;  0%;  0%;1.94;3.17;4.88;  0%;  0%;  0%;99.8;0.161;0;0;0;0;0;0;0;0.288;21.4;0.0193;78.3;0;0;0;0;0;0.0767;8.79;0.00199;91.1;0;0;0;0;0;0.153;3.35;0.0287;96.5;0;80.8;0;0;0;54.8;31.5;31.3;30;6.49 ;6.07 ;6.23 ;4.93 ;
2018-01-24;12:06:46.563;0.0719;0.4;0.18;0.714;0.192;10.9;0.982;0.0944;7.69e-06;0.000435;0.0957;0.108;2.5e+04;6.26e+04;2.18e+03;0.8;20;0.144;3.59;72.2;25.2;9.27;0.0112;65.6;0;19.4;0;0;0;147;23.8;0.283;0.397;0.713;0.714;0.0745;0.385;0.807;0.707;3.01e-06;1.56e-05; 51760;22;41;0.0228;0.0271;45;0.00213;1.02;0.00208;0.714;0.0473;5.3;0.991;0.0235;0.000256;0.0286; 22800;1;2;0.0274;0.031;54;0.000558;0.86;0.000649;0.714;0.0246;1.87;0.987;0.0114;0.000506;0.0384; 24400;0;2;0.0279;0.0312;56;0.00104;0.746;0.00139;0.694;0.046;3.32;0.986;0.0165;0.00051;0.0369; 23440;0;4;0.0176;0.0191;54;13.9;13.3;14.2;  0%;  0%;  0%;2.13;3.3;4.95;  0%;  0%;  0%;2.17;4.45;2.6;  0%;  0%;  0%;2.5;3.45;5.3;  0%;  0%;  0%;99.8;0.161;0;0;0;0;0;0;0;0.292;17.5;0.0221;82.2;0;0;0;0;0;0.0909;13.8;0.00145;86.1;0;0;0;0;0;0.2;5.62;0.0212;94.2;0;77.6;0;0;0;54.4;30.9;31.7;30;6.49 ;6.09 ;6.15 ;5.03 ;
2018-01-24;12:06:47.588;0.0738;0.411;0.18;0.714;0.178;9.11;0.98;0.107;6.96e-06;0.000357;0.089;0.0997;2.55e+04;6.21e+04;2.17e+03;0.822;20.6;0.148;3.69;64.4;25.1;6.7;0.0122;68.1;0;22.6;0;0;0;145;23.3;0.291;0.409;0.713;0.714;0.0763;0.38;0.799;0.704;3.02e-06;1.51e-05; 49200;20;49;0.0225;0.026;46;0.00216;1.03;0.0021;0.714;0.0448;5.34;0.992;0.0233;0.00024;0.0286; 22800;0;1;0.026;0.0293;54;0.0005;0.856;0.000584;0.714;0.0193;1.65;0.988;0.0117;0.000446;0.0382; 24400;1;2;0.0268;0.0296;56;0.000593;0.556;0.00107;0.686;0.0374;1.74;0.979;0.0224;0.000729;0.034; 23600;0;3;0.0137;0.0148;54;12.6;11.9;12.3;  0%;  0%;  0%;2.03;3.04;4.69;  0%;  0%;  0%;1.96;4;2.1;  0%;  0%;  0%;1.96;3.16;4.62;  0%;  0%;  0%;99.8;0.16;0;0;0;0;0;0;0;0.294;14.8;0.0196;84.9;0;0;0;0;0;0.0817;9.84;0.000795;90.1;0;0;0;0;0;0.155;2.01;0.0284;97.8;0;90.5;0;0;0;54.2;30.4;31;29.4;6.4 ;6.02 ;6.1 ;4.83 ;
