System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;11:47:35.576;0.212;1.41;0.15;0.857;2.02;23.1;0.912;0.431;2.73e-05;0.000312;0.463;0.671;7.4e+04;5.25e+04;2.12e+03;2.82;70.5;0.423;10.6;794;17.5;12;0.128;70.3;0;29;0;0;0;158;28.1;0.849;1.42;0.6;0.857;1.75;9.91;0.823;0.635;2.38e-05;0.000135; 50800;248;551;0.0888;0.173;48;0.00172;0.961;0.00179;0.793;0.117;4.51;0.974;0.021;0.000777;0.0299;  2720;1;1;0.115;0.158;55;0.000605;0.675;0.000897;0.83;0.055;1.88;0.971;0.0178;0.00103;0.0355; 30880;1;0;0.125;0.166;57;0.0021;0.727;0.00288;0.857;0.0984;6.78;0.985;0.0183;0.000535;0.0368; 24080;1;2;0.134;0.174;55;157;155;159;  0%;  0%;  0%;17.1;18.6;71.7;  0%;  0%;  0%;17.6;70;17.5;  0%;  0%;  0%;17.2;19;74;  0%;  0%;  0%;70;4.33;0.518;25.1;0;3.97;0;0;0;0.226;13.4;0;86.4;0;75.9;0;0;0;0.108;16.6;0;83.3;0;36;0;0;0;0.337;13.7;0;86;0;0;0;0;0;56.5;33.1;34.6;33.7;7.48 ;6.67 ;7.22 ;6.75 ;
2018-01-24;11:47:36.586;0.0184;1.5;0.0123;0.856;1.5;7.74;0.807;0.691;0.000234;0.00121;0.196;0.294;6.4e+03;4.27e+03;2.23e+03;3;74.9;0.0369;0.922;402;1.44;19.1;1.11;78.4;0;58.5;0;0;0;128;29.9;0.0723;1.51;0.0478;0.857;1.44;5.1;0.718;0.772;0.000227;0.000806; 50480;69;193;0.048;0.0644;48;0.00033;0.819;0.000402;0.834;0.0269;1;0.973;0.014;0.000942;0.0351;  2560;0;1;0.0476;0.0749;55;0.000255;0.87;0.000294;0.809;0.015;0.797;0.981;0.0133;0.000679;0.0361; 30480;0;1;0.048;0.0745;57;0.000276;0.776;0.000356;0.824;0.0181;0.849;0.979;0.0156;0.000759;0.0355; 24000;0;1;0.0527;0.0803;55;67;67.9;70.3;  0%;  0%;  0%;9.08;9.1;47.4;  0%;  0%;  0%;8.91;45.6;9.4;  0%;  0%;  0%;9.18;9.01;49.5;  0%;  0%;  0%;5.58;17.3;4.41;72.7;0;0;0;0;0;0.0482;20;0;79.9;0;78.2;0;0;0;0.0363;19.7;0;80.3;0;78.6;0;0;0;0.0433;19.3;0;80.7;0;78.1;0;0;0;34.5;30.8;31.7;31.3;7.74 ;7.57 ;7.61 ;7.03 ;
2018-01-24;11:47:37.584;0.0165;1.62;0.0102;0.857;2.47;7.95;0.689;0.267;0.000447;0.00144;0.37;0.535;5.53e+03;3.41e+03;2.1e+03;3.24;81;0.0329;0.823;747;1.19;75.3;1.44;22.1;0;0;0;0;0;161;32.5;0.0657;1.63;0.0402;0.857;2.42;7.72;0.686;0.271;0.00044;0.0014; 50960;128;320;0.0734;0.104;48;6.67e-05;0.398;0.000168;0.857;0.0163;0.0783;0.792;0.103;0.0029;0.014;  2640;0;0;0.0973;0.144;54;5.92e-05;0.386;0.000153;0.857;0.012;0.0724;0.835;0.113;0.00241;0.0146; 30400;0;2;0.0973;0.142;56;6.93e-05;0.397;0.000175;0.857;0.016;0.0766;0.791;0.129;0.00275;0.0132; 23920;0;3;0.102;0.146;54;126;126;128;  0%;  0%;  0%;18.1;18.5;86.4;  0%;  0%;  0%;18;83.1;18.9;  0%;  0%;  0%;18.7;18.5;87.1;  0%;  0%;  0%;4.69;17.2;5.76;72.3;0;0;0;0;0;0.0196;93.6;0;6.35;0;0;0;0;0;0.0179;98.4;0;1.57;0;0;0;0;0;0.0204;91.9;0;8.11;0;0;0;0;0;37.7;40;42.2;41.5;8.1 ;8.35 ;8.35 ;7.74 ;
2018-01-24;11:47:38.593;0.0281;1.6;0.0175;0.857;4.41;15;0.707;0.283;0.000463;0.00158;0.588;0.756;9.51e+03;5.94e+03;2.12e+03;3.21;80.2;0.0561;1.4;1.12e+03;2.04;80.1;0.943;16.9;0;0;0;0;0;168;33.6;0.112;1.61;0.0696;0.857;4.36;14.8;0.705;0.284;0.000459;0.00156; 50160;191;566;0.117;0.135;47;6.24e-05;0.459;0.000136;0.857;0.0177;0.0775;0.772;0.138;0.00334;0.0146;  2640;0;2;0.156;0.205;54;5.75e-05;0.456;0.000126;0.857;0.012;0.0696;0.828;0.152;0.00246;0.0143; 30320;1;3;0.155;0.206;56;7.02e-05;0.448;0.000157;0.857;0.0145;0.0764;0.811;0.156;0.00243;0.0128; 23840;0;2;0.161;0.21;54;176;175;179;  0%;  0%;  0%;26.5;26.9;146;  0%;  0%;  0%;26.3;141;26.7;  0%;  0%;  0%;26.5;26.8;146;  0%;  0%;  0%;8.12;25.9;3.77;62.2;0;0;0;0;0;0.0159;98.4;0;1.56;0;0;0;0;0;0.0147;100;0;0;0;0;0;0;0;0.0183;96;0;4.02;0;0;0;0;0;41.2;41.4;43;42.3;8.29 ;8.62 ;8.6 ;8.05 ;
2018-01-24;11:47:39.602;0.0771;1.5;0.0515;0.857;15.3;53.1;0.712;0.315;0.000584;0.00203;1.48;1.65;2.61e+04;1.75e+04;2.12e+03;2.99;74.8;0.154;3.86;2.68e+03;6.01;84.7;1.79;7.54;0;0;0;0;0;180;36.6;0.308;1.5;0.206;0.857;15.2;52.9;0.712;0.316;0.000583;0.00202; 51520;494;1474;0.339;0.269;48;6.79e-05;0.55;0.000123;0.857;0.018;0.0827;0.783;0.143;0.00313;0.0144;  2720;0;1;0.376;0.466;54;6.33e-05;0.544;0.000116;0.857;0.0131;0.0703;0.814;0.159;0.00244;0.0131; 30320;0;0;0.38;0.459;56;7.12e-05;0.553;0.000129;0.857;0.0154;0.0765;0.799;0.154;0.00255;0.0127; 23840;1;1;0.382;0.459;54;370;372;372;  1%;  1%;  1%;52;52.5;412;  0%;  0%;  2%;51.9;415;53.8;  0%;  2%;  0%;53.7;52.4;417;  0%;  0%;  2%;24;40.3;7.16;28.5;0;0;0;0;0;0.0144;100;0;0;0;0;0;0;0;0.0136;98.4;0;1.55;0;0;0;0;0;0.015;99.9;0;0.0814;0;0;0;0;0;52.6;41.9;43.1;42.9;8.89 ;9.45 ;9.53 ;8.75 ;
2018-01-24;11:47:40.612;0.0702;1.5;0.0467;0.857;13.8;45.3;0.695;0.316;0.000581;0.0019;1.3;1.51;2.38e+04;1.59e+04;2.12e+03;3;75.1;0.14;3.51;2.46e+03;5.45;24.7;1.98;67.9;0;58.2;0;0;0;153;36.1;0.281;1.5;0.186;0.857;13.8;45.1;0.694;0.317;0.00058;0.0019; 49680;465;1401;0.301;0.257;48;5.89e-05;0.378;0.000156;0.793;0.0131;0.0851;0.846;0.0984;0.00262;0.017;  2720;0;2;0.33;0.424;54;5.93e-05;0.416;0.000143;0.799;0.0114;0.0765;0.851;0.107;0.00226;0.0152; 30320;0;0;0.333;0.413;56;6.82e-05;0.396;0.000172;0.798;0.0136;0.0823;0.835;0.109;0.00235;0.0142; 23520;0;0;0.336;0.415;54;351;352;354;  1%;  1%;  1%;47.4;47.9;368;  0%;  0%;  1%;47.3;371;49.5;  0%;  1%;  0%;49.3;47.8;374;  0%;  0%;  1%;21.8;34.4;7.92;35.9;0;0;0;0;0;0.0197;21.4;0;78.5;0;77.5;0;0;0;0.0178;21.3;0;78.7;0;77.8;0;0;0;0.0216;21.6;0;78.4;0;77.5;0;0;0;50.7;33.7;34.6;34;8.85 ;9.34 ;9.26 ;8.68 ;
2018-01-24;11:47:41.629;0.0436;1.55;0.0282;0.857;7.3;24.9;0.707;0.319;0.000492;0.00168;0.872;1.08;1.48e+04;9.59e+03;2.12e+03;3.1;77.4;0.0872;2.18;1.63e+03;3.29;85;0.769;11;0;0;0;0;0;175;34.9;0.174;1.55;0.112;0.857;7.26;24.7;0.706;0.32;0.00049;0.00167; 49200;294;838;0.181;0.184;48;5.91e-05;0.512;0.000116;0.857;0.0128;0.0724;0.823;0.113;0.00254;0.0144;  2640;1;0;0.227;0.29;54;6e-05;0.523;0.000115;0.857;0.0123;0.0731;0.831;0.113;0.00242;0.0143; 30240;0;2;0.229;0.301;56;6.63e-05;0.537;0.000123;0.857;0.0131;0.0753;0.826;0.125;0.00232;0.0134; 23440;0;1;0.234;0.31;54;246;246;250;  1%;  1%;  1%;34.9;34.8;224;  0%;  0%;  1%;34.7;224;33.7;  0%;  1%;  0%;33.5;34.7;229;  0%;  0%;  1%;13.1;40;3.08;43.9;0;0;0;0;0;0.0135;100;0;0;0;0;0;0;0;0.0134;100;0;0;0;0;0;0;0;0.0144;100;0;0;0;0;0;0;0;46.3;42.2;43.6;43.2;8.53 ;8.95 ;9 ;8.37 ;
2018-01-24;11:47:42.648;0.0704;1.48;0.0475;0.857;14.2;47.3;0.7;0.313;0.000586;0.00195;1.39;1.61;2.42e+04;1.63e+04;2.14e+03;2.96;74.1;0.141;3.52;2.53e+03;5.54;85.5;0.638;8.28;0;0;0;0;0;181;36.7;0.282;1.48;0.19;0.857;14.1;47.1;0.7;0.314;0.000585;0.00195; 52160;488;1310;0.312;0.264;47;5.73e-05;0.558;0.000103;0.857;0.012;0.0693;0.827;0.15;0.00244;0.0141;  2720;0;1;0.356;0.465;54;5.91e-05;0.566;0.000104;0.857;0.012;0.0689;0.826;0.156;0.00236;0.0136; 29760;0;0;0.36;0.442;56;6.78e-05;0.522;0.00013;0.857;0.0143;0.0727;0.803;0.16;0.00245;0.0125; 23440;0;1;0.362;0.443;54;361;364;364;  1%;  1%;  1%;47.4;47.6;382;  0%;  0%;  1%;47.2;385;51.3;  0%;  1%;  0%;51.1;47.6;385;  0%;  0%;  1%;22.2;42;2.56;33.2;0;0;0;0;0;0.012;100;0;0;0;0;0;0;0;0.0122;100;0;0;0;0;0;0;0;0.0152;100;0;0;0;0;0;0;0;51.9;42.3;43.8;43.3;8.89 ;9.48 ;9.5 ;8.81 ;
2018-01-24;11:47:43.658;0.0913;1.48;0.0617;0.857;21.6;64.2;0.664;0.303;0.000696;0.00207;1.97;2.23;3.1e+04;2.09e+04;2.14e+03;2.96;74;0.183;4.56;3.56e+03;7.2;83.7;2.52;6.56;0;0;0;0;0;183;38.3;0.363;1.48;0.245;0.857;21.5;63.8;0.663;0.304;0.000695;0.00206; 50320;719;1992;0.45;0.355;47;6.17e-05;0.544;0.000114;0.857;0.0136;0.0714;0.809;0.157;0.0026;0.0137;  2720;0;1;0.506;0.638;54;6.35e-05;0.539;0.000118;0.857;0.0144;0.0719;0.8;0.155;0.00268;0.0134; 29600;0;0;0.506;0.612;56;0.000342;1.23;0.000278;0.857;0.0205;0.162;0.874;0.193;0.000707;0.00561; 23360;0;0;0.511;0.625;54;497;494;502;  2%;  2%;  2%;63.9;64;558;  0%;  0%;  2%;63.7;557;66.7;  0%;  2%;  0%;66.5;63.9;562;  0%;  0%;  2%;28.6;36.4;10.1;24.9;0;0;0;0;0;0.0132;100;0;0;0;0;0;0;0;0.0138;99.9;0;0.0394;0;0;0;0;0;0.0325;98.7;0;1.26;0;0;0;0;0;55.1;42;43.4;43;9.19 ;9.89 ;10 ;9.19 ;
2018-01-24;11:47:44.668;0.0716;1.49;0.048;0.857;13.7;48.1;0.715;0.307;0.000564;0.00198;1.3;1.43;2.43e+04;1.63e+04;2.12e+03;2.99;74.6;0.143;3.58;2.34e+03;5.6;28.6;1.54;64.2;0;42.3;0;0;0;155;35.8;0.286;1.5;0.191;0.857;13.7;47.9;0.714;0.308;0.000563;0.00197; 54400;438;1283;0.303;0.237;48;5.67e-05;0.367;0.000154;0.796;0.0121;0.0793;0.848;0.104;0.00251;0.0165;  2640;0;0;0.335;0.406;54;5.86e-05;0.418;0.00014;0.789;0.0118;0.0743;0.842;0.108;0.00237;0.015; 29600;0;1;0.33;0.397;56;6.8e-05;0.422;0.000161;0.787;0.0148;0.0837;0.823;0.11;0.00257;0.0145; 23120;0;2;0.334;0.387;54;321;322;325;  1%;  1%;  1%;44.2;46.4;363;  0%;  0%;  1%;44.1;366;46.9;  0%;  1%;  0%;46.7;46.4;369;  0%;  0%;  1%;22.3;31.4;6.17;40.1;0;0;0;0;0;0.0194;29.3;0;70.7;0;24.7;0;0;0;0.0177;26.8;0;73.2;0;72.3;0;0;0;0.0205;27.1;0;72.9;0;72.1;0;0;0;50.4;34.3;35.3;34.7;8.76 ;9.27 ;9.29 ;8.52 ;
2018-01-24;11:47:45.677;0.0419;1.56;0.027;0.857;8.71;29.8;0.707;0.277;0.000613;0.00209;0.798;0.94;1.42e+04;9.14e+03;2.12e+03;3.11;77.8;0.0838;2.1;1.42e+03;3.14;81.3;1.75;13.8;0;0;0;0;0;170;34.1;0.167;1.56;0.107;0.857;8.67;29.5;0.706;0.278;0.000611;0.00208; 51440;281;778;0.193;0.154;48;5.91e-05;0.372;0.000159;0.857;0.0126;0.0737;0.828;0.109;0.00252;0.0147;  2560;0;1;0.199;0.256;54;6e-05;0.379;0.000158;0.857;0.0135;0.073;0.815;0.111;0.00265;0.0143; 29600;1;1;0.2;0.263;56;7.01e-05;0.375;0.000187;0.857;0.0152;0.0765;0.802;0.124;0.00255;0.0129; 23200;0;2;0.206;0.267;54;198;198;201;  1%;  1%;  1%;25;25.5;223;  0%;  0%;  1%;24.9;224;24.7;  0%;  1%;  0%;24.5;25.4;229;  0%;  0%;  1%;12.5;30.5;7.02;50;0;0;0;0;0;0.0185;100;0;0;0;0;0;0;0;0.0185;97.5;0;2.43;0;0;0;0;0;0.0218;97.1;0;2.85;0;0;0;0;0;44.3;41.5;42.4;42.3;8.36 ;8.75 ;8.83 ;8.15 ;
2018-01-24;11:47:46.685;0.0535;1.92;0.0278;0.857;8.1;25.3;0.68;0.326;0.000447;0.0014;0.713;0.923;1.81e+04;9.42e+03;2.12e+03;3.85;96.1;0.107;2.67;1.28e+03;3.24;83.5;0.358;12.9;0;0;0;0;0;172;33.9;0.214;1.93;0.111;0.857;8.06;25.1;0.679;0.327;0.000445;0.00139; 51920;222;651;0.178;0.142;47;6.65e-05;0.443;0.00015;0.857;0.0148;0.0746;0.801;0.157;0.00263;0.0132;  2720;0;1;0.175;0.257;54;5.65e-05;0.401;0.000141;0.857;0.0116;0.0693;0.832;0.15;0.00243;0.0145; 29520;0;0;0.177;0.26;56;6.89e-05;0.452;0.000153;0.857;0.0145;0.0746;0.806;0.151;0.00248;0.0128; 23280;0;1;0.182;0.265;54;178;179;182;  0%;  0%;  0%;17.9;18;208;  0%;  0%;  1%;17.7;210;18.1;  0%;  1%;  0%;17.9;18;214;  0%;  0%;  1%;12.9;37.5;1.43;48.1;0;0;0;0;0;0.0175;97.5;0;2.48;0;0;0;0;0;0.0164;99.9;0;0.0415;0;0;0;0;0;0.0178;99;0;0.989;0;0;0;0;0;45.8;41.1;43.1;42.5;8.34 ;8.77 ;8.77 ;8.07 ;
2018-01-24;11:47:47.805;0.204;2.35;0.0867;0.857;13.5;36.7;0.632;0.57;0.000183;0.000498;1.18;1.45;7.37e+04;3.14e+04;2.12e+03;4.7;117;0.408;10.2;2.14e+03;10.1;83.6;0.705;5.6;0;0;0;0;0;215;39.5;0.829;2.35;0.352;0.857;13.4;36;0.627;0.574;0.000182;0.000488; 40080;341;1033;0.307;0.222;47;0.000264;0.812;0.000325;0.857;0.0622;0.556;0.888;0.0547;0.00259;0.0232;  3600;2;2;0.289;0.408;53;5.59e-05;0.536;0.000104;0.857;0.0138;0.0714;0.807;0.158;0.00271;0.014; 29520;0;1;0.292;0.409;56;7.57e-05;0.527;0.000144;0.857;0.0175;0.0813;0.785;0.161;0.00254;0.0118; 23440;0;2;0.296;0.414;54;290;289;292;  1%;  1%;  1%;30.2;30.3;360;  0%;  0%;  1%;30.3;360;30.6;  0%;  1%;  0%;30.4;30.5;364;  0%;  0%;  1%;41.1;39.7;2.87;16.3;0;0;0;0;0;0.0379;95.9;0;4.05;0;0;0;0;0;0.0122;99.8;0;0.175;0;0;0;0;0;0.0168;97.8;0;2.15;0;0;0;0;0;74.3;45.6;48;47.1;9.61 ;10.2 ;10.2 ;9.45 ;
2018-01-24;11:47:48.821;0.306;1.56;0.197;0.857;18.5;45.1;0.59;0.89;0.000171;0.000415;1.38;1.68;1.09e+05;6.96e+04;2.35e+03;3.12;77.9;0.613;15.3;2.55e+03;22.9;35.2;0;41.9;0;25.5;0;0;0;192;36.8;1.21;1.56;0.773;0.857;18.4;43.2;0.573;0.894;0.00017;0.000399; 45520;474;1351;0.367;0.26;46;0.000772;1.14;0.000679;0.832;0.0306;1.64;0.981;0.043;0.00045;0.0241;  3760;0;2;0.329;0.463;54;5.95e-05;0.442;0.000134;0.791;0.0118;0.0965;0.877;0.0885;0.00226;0.0184; 29520;0;0;0.343;0.476;56;7.84e-05;0.466;0.000168;0.835;0.0174;0.123;0.859;0.073;0.00251;0.0178; 23360;0;1;0.342;0.477;54;342;346;350;  1%;  1%;  1%;36.8;37.1;423;  0%;  0%;  2%;36.8;429;37.1;  0%;  2%;  0%;37;37.3;433;  0%;  0%;  2%;90.2;9.81;0;0.011;0;0;0;0;0;0.0817;43.2;0;56.7;0;54.7;0;0;0;0.017;45.6;0;54.4;0;9.04;0;0;0;0.0202;42.5;0;57.5;0;38.7;0;0;0;81.9;36;37.5;36.8;9.02 ;9.47 ;9.53 ;8.81 ;
2018-01-24;11:47:49.924;0.322;1.52;0.211;0.857;12.9;26.9;0.52;0.954;0.000113;0.000235;1.17;1.49;1.15e+05;7.52e+04;2.13e+03;3.05;76.2;0.644;16.1;2.1e+03;24.7;75.3;0;0.0825;0;0;0;0;0;231;39.1;1.31;1.52;0.857;0.857;12.9;22.3;0.424;0.961;0.000112;0.000195; 50560;374;952;0.312;0.223;46;0.00167;1.29;0.0013;0.857;0.0391;3.74;0.99;0.04;0.000262;0.025;  4080;0;2;0.28;0.42;54;0.000139;0.82;0.00017;0.857;0.0142;0.382;0.963;0.0266;0.00114;0.0306; 29680;1;0;0.284;0.422;56;0.000166;0.801;0.000207;0.857;0.0204;0.458;0.956;0.0274;0.00137;0.0309; 23280;0;0;0.29;0.428;54;289;289;293;  1%;  1%;  1%;26.8;27.5;352;  0%;  0%;  1%;26.9;354;27.3;  0%;  1%;  0%;27.2;27.6;360;  0%;  0%;  1%;100;0.000395;0;0;0;0;0;0;0;0.151;99.5;0;0.328;0;0;0;0;0;0.0198;100;0;0;0;0;0;0;0;0.0241;100;0;0;0;0;0;0;0;90.9;45.9;47.4;47.1;9.55 ;10.1 ;10.1 ;9.38 ;
2018-01-24;11:47:50.945;0.311;1.43;0.218;0.857;29.4;54.6;0.462;0.893;0.000265;0.000492;2.13;2.74;1.11e+05;7.77e+04;2.32e+03;2.85;71.4;0.622;15.6;3.87e+03;25.4;69;0;5.56;0;0;0;0;0;210;40;1.22;1.43;0.857;0.857;29.3;47.7;0.386;0.905;0.000265;0.000431; 49600;779;2269;0.561;0.402;46;0.00198;1.17;0.00169;0.857;0.0439;4.85;0.991;0.0255;0.00025;0.0277;  4000;0;0;0.518;0.776;54;0.000269;1.08;0.00025;0.857;0.0152;0.881;0.983;0.0193;0.000636;0.0369; 29600;0;2;0.526;0.781;55;0.000347;1.13;0.000307;0.857;0.0243;1.13;0.978;0.0184;0.000789;0.0366; 23200;0;2;0.527;0.785;53;538;540;543;  2%;  2%;  2%;40.1;40.5;665;  0%;  0%;  3%;40.2;671;40.4;  0%;  3%;  0%;40.3;40.6;671;  0%;  0%;  3%;100;0.000375;0;0;0;0;0;0;0;0.198;79.7;0;20.1;0;0;0;0;0;0.0292;97.7;0;2.22;0;0;0;0;0;0.0358;100;0;0;0;0;0;0;0;82.9;40;43.5;43.8;9.52 ;10.3 ;10.6 ;9.65 ;
