System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;11:31:22.075;0.335;1.09;0.308;1.23;23;54.1;0.574;0.991;0.000202;0.000475;3.61;4.57;1.14e+05;1.05e+05;2.12e+03;2.18;54.5;0.67;16.8;6.59e+03;25.1;8.45;0.0363;66.5;0;0;0;0;0;320;48.3;1.33;1.09;1.22;1.23;22.8;38.7;0.41;0.994;0.000201;0.000341; 46560;1642;4859;0.503;0.835;30;0.00239;0.986;0.00242;1.25;0.0696;6.07;0.989;0.0212;0.000343;0.0299; 34720;1;1;1.03;1.25;49;0.00068;0.754;0.000902;1.25;0.0318;2.11;0.985;0.0142;0.000552;0.0366; 14160;1;3;1.03;1.24;50;0.00211;1.04;0.00203;1.25;0.0538;7.15;0.992;0.0111;0.0003;0.0398; 21120;0;3;1.03;1.25;50;1.2e+03;1.2e+03;1.2e+03;  6%;  6%;  6%;149;149;702;  0%;  0%;  3%;149;698;148;  0%;  3%;  0%;149;149;698;  0%;  0%;  3%;99.7;0.274;0;0;0;0;0;0;0;0.194;18.9;0.0713;80.8;0;0;0;0;0;0.0719;5.93;0.0369;94;0;0;0;0;0;0.163;8.7;0.0372;91.1;0;0;0;0;0;146;59;59.6;54.8;11.3 ;12.4 ;12.7 ;11.9 ;
2018-01-24;11:31:23.089;0.255;1.14;0.223;1.21;46.6;73.8;0.368;0.981;0.000536;0.000849;3.47;2.82;8.68e+04;7.59e+04;2.12e+03;2.29;57.2;0.51;12.8;4.48e+03;18.4;10.5;0.0592;71.1;0;0.363;0;0;0;293;46.8;1.02;1.15;0.888;1.21;46.5;65.9;0.295;0.983;0.000537;0.000761; 49680;1061;2915;0.871;0.253;36;0.00169;1.01;0.00168;1.24;0.0469;4.26;0.989;0.0215;0.000325;0.0296; 34400;1;2;0.863;0.87;50;0.000534;0.705;0.000758;1.25;0.0243;1.63;0.985;0.0154;0.000534;0.0359; 14080;0;2;0.867;0.848;51;0.000924;0.676;0.00137;1.3;0.0571;1.98;0.971;0.0318;0.000727;0.0251; 20880;0;1;0.867;0.851;51;374;376;378;  1%;  1%;  1%;53.6;54.6;1.01e+03;  0%;  0%;  5%;53.7;1.01e+03;56.9;  0%;  5%;  0%;57;54.7;1.01e+03;  0%;  0%;  5%;73.2;2.67;0.139;24;0;1.45;0;0;0;0.136;23.7;0.0414;76.2;0;0;0;0;0;0.0606;8.62;0.0332;91.3;0;0;0;0;0;0.105;7.16;0.0236;92.7;0;0;0;0;0;119;59.5;60.2;54.2;11.2 ;12 ;12.2 ;11.4 ;
2018-01-24;11:31:24.177;0.44;1.52;0.29;1.24;1.84;19.3;0.905;0.902;1.19e-05;0.000125;0.422;0.624;1.55e+05;1.02e+05;2.13e+03;3.04;75.9;0.88;22;699;23.4;8;0.044;68.6;0;28.6;0;0;0;308;34.8;1.78;1.52;1.17;1.24;1.6;6.71;0.762;0.964;1.03e-05;4.35e-05; 52320;275;520;0.0791;0.162;29;0.00193;0.874;0.00221;1.27;0.0997;4.87;0.98;0.0236;0.000585;0.0286; 34400;0;3;0.116;0.157;49;0.00195;0.665;0.00293;1.07;0.0835;6.03;0.986;0.0213;0.000485;0.035; 14480;1;2;0.115;0.154;51;0.000603;0.464;0.0013;1.17;0.0586;1.73;0.966;0.0242;0.0011;0.0325; 21360;0;2;0.112;0.151;51;142;142;140;  0%;  0%;  0%;15.6;14.6;61.5;  0%;  0%;  0%;15.5;63.9;14.1;  0%;  0%;  0%;13.9;14.7;61.4;  0%;  0%;  0%;94.4;3.14;0.065;2.42;0;0;0;0;0;0.173;14.3;0.0499;85.4;0;9.31;0;0;0;0.273;7.29;0.0274;92.4;0;48.2;0;0;0;0.111;7.14;0.0342;92.7;0;56.3;0;0;0;129;61.1;61.7;56;9.91 ;9.27 ;8.18 ;7.44 ;
2018-01-24;11:31:25.187;0.514;1.63;0.314;1.24;0.913;16.7;0.945;0.984;5.03e-06;9.19e-05;0.25;0.357;1.82e+05;1.11e+05;2.29e+03;3.27;81.7;1.03;25.7;308;25.4;13.3;0.0184;61.2;0;0.0197;0;0;0;327;38.2;2.02;1.64;1.23;1.24;0.734;2.49;0.705;0.998;4.05e-06;1.37e-05; 54480;100;258;0.0426;0.0621;29;0.00236;1.07;0.00221;1.24;0.074;6.03;0.988;0.0219;0.000356;0.0291; 34480;0;2;0.0672;0.0983;50;0.00177;0.991;0.00179;1.24;0.052;6.05;0.991;0.0127;0.000333;0.0388; 14400;1;1;0.0694;0.098;51;0.000683;0.649;0.00105;1.25;0.0534;2.13;0.975;0.0172;0.000889;0.0354; 21360;0;2;0.0706;0.0983;50;64.7;64.8;64.7;  0%;  0%;  0%;4.83;4.54;27.7;  0%;  0%;  0%;5.01;28.4;5.24;  0%;  0%;  0%;5.01;4.99;27.6;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;0.179;23.7;0.0407;76.1;0;0;0;0;0;0.144;10.7;0.0111;89.1;0;0.0792;0;0;0;0.0844;19;0.0223;80.9;0;0;0;0;0;152;58.6;60.1;56.1;9.63 ;9.54 ;9.64 ;9.35 ;
2018-01-24;11:31:26.205;0.298;0.978;0.305;1.22;0.432;15.8;0.973;0.966;4.26e-06;0.000155;0.111;0.11;1.02e+05;1.04e+05;2.12e+03;1.96;48.9;0.596;14.9;73.2;25;13.3;0.0197;61.7;0;0;0;0;0;304;35.3;1.19;0.978;1.22;1.22;0.221;1.56;0.858;0.997;2.18e-06;1.54e-05; 52720;25;38;0.0287;0.0258;34;0.00232;1.05;0.00221;1.24;0.0829;5.94;0.986;0.0209;0.00042;0.03; 34480;0;2;0.0258;0.0275;49;0.00148;0.918;0.00161;1.26;0.0699;4.9;0.986;0.0132;0.000556;0.039; 14240;0;14;0.0272;0.0279;51;0.00105;0.771;0.00137;1.25;0.0587;3.36;0.983;0.0146;0.000655;0.0375; 21280;0;2;0.0291;0.0285;51;10.6;11;10.7;  0%;  0%;  0%;3.51;3.23;6.34;  0%;  0%;  0%;3.95;7.01;3.42;  0%;  0%;  0%;3.14;3.63;6.61;  0%;  0%;  0%;99.8;0.24;0;0;0;0;0;0;0;0.178;27.2;0.0346;72.6;0;0;0;0;0;0.128;9.64;0.0218;90.2;0;0;0;0;0;0.109;16.2;0.0222;83.7;0;0;0;0;0;128;59.7;60.4;56.2;9.23 ;8.84 ;8.73 ;8.5 ;
2018-01-24;11:31:27.215;0.125;0.4;0.311;1.24;0.175;9.25;0.981;0.0966;4.11e-06;0.000218;0.0954;0.0948;4.24e+04;1.06e+05;2.14e+03;0.8;20;0.249;6.23;52.5;25.1;11.5;0.0262;63.3;0;8.06;0;0;0;285;30.6;0.494;0.399;1.24;1.24;0.0669;0.365;0.817;0.687;1.59e-06;8.67e-06; 56160;23;27;0.0224;0.0233;35;0.00221;1.03;0.00215;1.25;0.0496;5.44;0.991;0.0231;0.000264;0.0289; 34480;1;1;0.025;0.0254;49;0.000523;0.738;0.000709;1.21;0.0255;1.62;0.984;0.0152;0.000572;0.0365; 14400;0;2;0.0202;0.0197;51;0.000615;0.626;0.000982;1.25;0.0325;1.82;0.982;0.019;0.000621;0.0347; 21280;0;2;0.0279;0.0264;50;9.02;8.2;8.83;  0%;  0%;  0%;2.23;2.72;4.53;  0%;  0%;  0%;2.24;3.53;2.1;  0%;  0%;  0%;2.13;2.9;4.09;  0%;  0%;  0%;100;0.000206;0;0;0;0;0;0;0;0.172;20.7;0.0426;79.1;0;0;0;0;0;0.0585;8.12;0.0405;91.8;0;32.3;0;0;0;0.0789;17.4;0.0216;82.5;0;0;0;0;0;114;58.3;57.5;55.9;8.5 ;7.83 ;6.74 ;7.5 ;
2018-01-24;11:31:28.224;0.124;0.4;0.311;1.24;0.237;13.2;0.982;0.0728;5.61e-06;0.000313;0.0898;0.0884;4.22e+04;1.05e+05;2.12e+03;0.801;20;0.249;6.22;60.7;25.1;8.05;0.0266;66.8;0;20;0;0;0;281;29.2;0.493;0.399;1.24;1.24;0.0705;0.371;0.81;0.684;1.68e-06;8.87e-06; 53040;21;33;0.0233;0.0238;35;0.00256;0.959;0.00267;1.27;0.0678;6.64;0.99;0.0204;0.000312;0.0305; 34400;0;3;0.0236;0.0241;50;0.000972;0.718;0.00135;1.21;0.0471;3.1;0.985;0.0141;0.000572;0.0376; 14400;0;2;0.0242;0.0237;51;0.00101;0.643;0.00157;1.15;0.0513;3.11;0.984;0.0166;0.000599;0.0364; 21360;0;2;0.0186;0.0168;51;9.87;9.22;9.59;  0%;  0%;  0%;3.21;3.23;4.72;  0%;  0%;  0%;3.16;4.06;3.01;  0%;  0%;  0%;2.79;3.35;4.47;  0%;  0%;  0%;100;0.000401;0;0;0;0;0;0;0;0.21;9.98;0.0376;89.8;0;9.95;0;0;0;0.112;12.2;0.0378;87.7;0;11.6;0;0;0;0.137;10.1;0.0311;89.8;0;58.6;0;0;0;113;55.8;59.5;52;8.53 ;7.49 ;7.34 ;5.88 ;
2018-01-24;11:31:29.232;0.122;0.394;0.31;1.24;0.166;8.85;0.981;0.102;3.99e-06;0.000213;0.1;0.107;4.15e+04;1.05e+05;2.12e+03;0.789;19.7;0.245;6.12;58.8;25.1;17.3;0.0222;57.6;0;0;0;0;0;291;31.7;0.486;0.393;1.24;1.24;0.067;0.374;0.821;0.688;1.62e-06;9.06e-06; 53440;19;38;0.0216;0.0247;35;0.00212;1.03;0.00206;1.25;0.042;5.15;0.992;0.0229;0.000234;0.0287; 34560;0;1;0.0252;0.0275;49;0.00054;0.744;0.000727;1.24;0.0277;1.65;0.983;0.0164;0.000605;0.0359; 14400;2;2;0.0258;0.0271;51;0.00058;0.646;0.000898;1.24;0.0289;1.68;0.983;0.0195;0.000588;0.0342; 21440;0;1;0.0279;0.0282;50;11.3;10.6;10.9;  0%;  0%;  0%;2.25;2.46;4.58;  0%;  0%;  0%;2.28;3.73;2.19;  0%;  0%;  0%;2.06;2.46;4.11;  0%;  0%;  0%;100;0.00042;0;0;0;0;0;0;0;0.165;21.5;0.043;78.3;0;0;0;0;0;0.0585;23.5;0.0345;76.4;0;0;0;0;0;0.0725;24.3;0.0111;75.6;0;0;0;0;0;113;58.5;62.6;56.9;8.51 ;7.79 ;7.87 ;7.53 ;
2018-01-24;11:31:30.242;0.123;0.395;0.311;1.24;0.212;14;0.985;0.0724;5.11e-06;0.000336;0.106;0.113;4.16e+04;1.05e+05;2.12e+03;0.79;19.7;0.245;6.13;69.9;25.1;14.3;0.021;60.6;0;0;0;0;0;289;31.7;0.486;0.393;1.24;1.24;0.0693;0.379;0.817;0.694;1.68e-06;9.21e-06; 52160;20;51;0.0231;0.0259;35;0.00222;1.01;0.0022;1.29;0.052;5.53;0.991;0.0219;0.000276;0.0293; 34320;0;1;0.0262;0.0288;49;0.0017;1.02;0.00166;1.24;0.0458;5.63;0.992;0.0121;0.000318;0.0391; 14480;0;5;0.0275;0.0292;51;0.000804;0.712;0.00113;1.24;0.0453;2.46;0.982;0.016;0.000665;0.0361; 21280;0;2;0.0292;0.0294;50;12.6;12.3;12.6;  0%;  0%;  0%;2.92;2.99;4.68;  0%;  0%;  0%;3.13;4.34;3.23;  0%;  0%;  0%;3.12;2.98;4.98;  0%;  0%;  0%;100;0.000376;0;0;0;0;0;0;0;0.171;13.1;0.042;86.7;0;0;0;0;0;0.134;23.2;0.0227;76.6;0;0;0;0;0;0.0907;21;0.0194;78.9;0;0;0;0;0;113;57.2;62.4;56.5;8.48 ;7.86 ;7.89 ;7.49 ;
2018-01-24;11:31:31.251;0.125;0.402;0.31;1.24;0.167;9.01;0.981;0.104;3.94e-06;0.000213;0.102;0.112;4.23e+04;1.05e+05;2.12e+03;0.804;20.1;0.25;6.24;65.2;25.1;13.5;0.0251;61.4;0;0;0;0;0;289;31.6;0.496;0.4;1.24;1.24;0.07;0.376;0.814;0.697;1.66e-06;8.95e-06; 53040;27;48;0.0217;0.0256;35;0.00213;1.01;0.00211;1.27;0.0405;5.18;0.992;0.023;0.000225;0.0287; 34320;0;2;0.0258;0.0287;50;0.000545;0.733;0.000744;1.24;0.0217;1.68;0.987;0.0156;0.00047;0.0363; 14560;0;3;0.0263;0.0279;50;0.000608;0.628;0.000968;1.25;0.0345;1.78;0.981;0.0198;0.00067;0.0345; 21280;0;0;0.0287;0.0294;50;12.5;12;12.4;  0%;  0%;  0%;2.32;2.86;4.56;  0%;  0%;  0%;2.26;4.05;2.4;  0%;  0%;  0%;2.33;2.88;4.62;  0%;  0%;  0%;100;0.000359;0;0;0;0;0;0;0;0.167;16.8;0.0317;83;0;0;0;0;0;0.0599;18.5;0.0495;81.4;0;0;0;0;0;0.0776;18.7;0.019;81.2;0;0;0;0;0;113;58;61.4;55.9;8.49 ;7.86 ;7.81 ;7.43 ;
