System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;10:59:25.573;0.422;0.944;0.447;0.905;3.33;35.2;0.906;0.98;2.1e-05;0.000223;0.378;0.367;1.58e+05;1.68e+05;2.31e+03;1.89;47.2;0.844;21.1;508;49.4;6.26;0.0123;44.3;0;0;0;0;0;253;31.6;0.83;0.927;0.895;0.905;1.52;3.01;0.494;0.996;1.97e-05;3.9e-05; 50320;71;182;0.0988;0.0888;42;0.854;0.959;0.891;0.905;1.47;2.84;0.484;0.997;1.83e-05;3.54e-05; 49920;101;133;0.114;0.0965;44;0.00461;1.14;0.00406;0.905;0.149;15.3;0.99;0.0156;0.000345;0.0352; 10960;0;1;0.0838;0.0909;55;0.00385;1.26;0.00306;0.905;0.189;14.1;0.987;0.0119;0.000522;0.039; 27280;1;0;0.0808;0.0904;54;102;35.5;39;  0%;  0%;  0%;34.4;37.5;103;  0%;  0%;  0%;29.4;30.8;12.9;  0%;  0%;  0%;16.8;32.9;34.7;  0%;  0%;  0%;99;1.02;0;0.0195;0;0;0;0;0;98.4;1.45;0;0.106;0;0;0;0;0;0.448;6.82;0.0369;92.7;0;0;0;0;0;0.338;15.7;0.0121;83.9;0;0;0;0;0;88.8;86.9;38.2;39.1;8.23 ;8.01 ;8.04 ;7.36 ;
2018-01-24;10:59:26.593;0.429;1.19;0.362;0.905;13.6;57.4;0.762;0.994;8.61e-05;0.000363;1.24;1.02;1.58e+05;1.33e+05;2.39e+03;2.37;59.3;0.858;21.4;1.69e+03;40;6.88;0.0611;53.1;0;4.57;0;0;0;222;34.2;0.845;1.18;0.713;0.905;6.8;11.6;0.415;0.998;8.46e-05;0.000145; 50880;208;490;0.34;0.255;43;0.834;1.19;0.703;0.904;6.3;12;0.476;0.997;8.19e-05;0.000156; 55120;167;484;0.296;0.244;44;0.00463;1.1;0.00421;0.905;0.231;15.2;0.985;0.0151;0.000551;0.0362; 10800;0;1;0.316;0.265;55;0.00513;1.27;0.00404;0.905;0.296;18.5;0.984;0.0123;0.000635;0.0398; 26640;0;3;0.287;0.259;54;334;103;103;  1%;  0%;  0%;97.7;96;330;  0%;  0%;  1%;134;146;34;  0%;  0%;  0%;37.8;132;145;  0%;  0%;  0%;78.9;2.3;0.103;18.7;0;3.58;0;0;0;77.7;1.79;0.0435;20.5;0;14.6;0;0;0;0.465;12.2;0.068;87.2;0;0;0;0;0;0.446;11.5;0.0283;88;0;0;0;0;0;77.5;75.1;35;34.3;8.5 ;8.65 ;8.94 ;8.14 ;
2018-01-24;10:59:27.721;0.653;1.55;0.421;0.905;2.74;36.5;0.925;0.928;1.19e-05;0.000158;0.448;0.558;2.31e+05;1.49e+05;2.14e+03;3.1;77.5;1.31;32.6;688;46.5;6.62;0.128;46.7;0;12.1;0;0;0;240;30;1.31;1.56;0.84;0.905;1.26;3.29;0.617;0.985;1.13e-05;2.94e-05; 53760;148;221;0.134;0.191;42;1.34;1.55;0.864;0.905;1.2;2.9;0.587;0.989;1.01e-05;2.45e-05; 47760;71;249;0.0907;0.12;44;0.00465;1.08;0.0043;0.905;0.136;14.9;0.991;0.0157;0.000325;0.0357; 10880;4;2;0.129;0.132;55;0.00455;0.949;0.0048;0.866;0.15;15.4;0.99;0.0133;0.000365;0.0376; 27120;0;3;0.0946;0.115;54;118;69.4;62.8;  0%;  0%;  0%;64.3;56.8;140;  0%;  0%;  0%;36.8;39.9;17.7;  0%;  0%;  0%;18.8;29.4;33.7;  0%;  0%;  0%;92.9;4.51;0.13;2.49;0;0;0;0;0;95.5;3.91;0.164;0.421;0;0.0409;0;0;0;0.476;11.8;0.173;87.5;0;0;0;0;0;0.554;6.1;0.0443;93.3;0;47.4;0;0;0;82.8;81.3;39.1;37.3;8.06 ;7.52 ;7.66 ;6.72 ;
2018-01-24;10:59:28.841;0.502;1.1;0.456;0.905;1.71;68.3;0.975;0.931;9.02e-06;0.000359;0.321;0.421;1.9e+05;1.73e+05;2.37e+03;2.2;55;1;25.1;424;50.5;2.53;0.0118;47;0;9.35;0;0;0;245;29.5;1.01;1.12;0.905;0.905;0.6;1.48;0.593;0.997;6.27e-06;1.54e-05; 49520;77;150;0.0831;0.103;43;0.977;1.08;0.905;0.905;0.626;1.59;0.607;0.996;6.77e-06;1.72e-05; 51840;55;164;0.0736;0.0991;44;0.0103;1.26;0.00816;0.905;0.231;35.9;0.994;0.0144;0.000239;0.0371; 10800;0;1;0.0873;0.113;55;0.00785;1.36;0.00578;0.891;0.255;29.3;0.991;0.01;0.000343;0.0395; 27040;0;2;0.0775;0.106;54;66.7;40.8;43.3;  0%;  0%;  0%;43.3;45.8;68;  0%;  0%;  0%;21;20;13;  0%;  0%;  0%;16;23.2;22.8;  0%;  0%;  0%;100;0.000539;0;0;0;0;0;0;0;100;0.000657;0;0;0;0;0;0;0;0.902;6.35;0.0305;92.7;0;0.0649;0;0;0;0.649;3.81;0.0169;95.5;0;37.4;0;0;0;86.1;83.8;37.9;36.9;7.85 ;7.26 ;7.58 ;6.78 ;
2018-01-24;10:59:29.921;0.176;0.384;0.457;0.905;0.533;47.2;0.989;0.0397;8.18e-06;0.000724;0.142;0.148;6.52e+04;1.7e+05;2.35e+03;0.769;19.2;0.351;8.78;124;50.5;3.94;0.0152;45.5;0;5.64;0;0;0;212;25.8;0.343;0.379;0.905;0.905;0.139;0.332;0.582;0.665;4.32e-06;1.03e-05; 50880;27;38;0.038;0.0394;43;0.343;0.38;0.905;0.905;0.148;0.351;0.578;0.661;4.67e-06;1.11e-05; 50240;12;52;0.0337;0.0377;45;0.0084;1.29;0.00648;0.892;0.129;28.1;0.995;0.0146;0.000166;0.0363; 10800;0;1;0.0329;0.0331;55;0.00515;1.34;0.00384;0.905;0.118;18.4;0.994;0.0102;0.000247;0.0387; 27040;0;1;0.0374;0.0376;54;16.8;10.8;11;  0%;  0%;  0%;12.1;12.2;17.9;  0%;  0%;  0%;6.27;5.89;8.18;  0%;  0%;  0%;9.23;6.84;6.7;  0%;  0%;  0%;100;0.000214;0;0;0;0;0;0;0;100;0.00024;0;0;0;0;0;0;0;0.727;9.16;0.0467;90.1;0;22.6;0;0;0;0.424;6.68;0.0142;92.9;0;0;0;0;0;70.1;68.5;37.2;35.8;6.98 ;6.4 ;6.35 ;6.01 ;
2018-01-24;10:59:31.013;0.184;0.404;0.455;0.905;0.597;50.7;0.988;0.0366;8.9e-06;0.000756;0.141;0.142;6.7e+04;1.66e+05;2.27e+03;0.809;20.2;0.368;9.19;131;50.2;2.59;0.00753;47.2;0;15.3;0;0;0;214;25.8;0.361;0.399;0.905;0.905;0.145;0.328;0.556;0.653;4.44e-06;1e-05; 52960;32;24;0.0397;0.0391;44;0.361;0.398;0.905;0.905;0.15;0.338;0.557;0.659;4.55e-06;1.03e-05; 51600;9;42;0.0359;0.0386;45;0.00868;1.29;0.00674;0.905;0.144;28.9;0.995;0.0148;0.000181;0.0365; 10800;0;0;0.0382;0.0377;55;0.00598;1.37;0.00437;0.898;0.158;21.1;0.993;0.0102;0.00029;0.0388; 27040;0;3;0.0269;0.0266;54;17.4;11.7;12.8;  0%;  0%;  0%;11;12;16.6;  0%;  0%;  0%;6.14;6.51;9.52;  0%;  0%;  0%;11.1;7.92;8.6;  0%;  0%;  0%;100;0.000326;0;0;0;0;0;0;0;100;0.000389;0;0;0;0;0;0;0;0.745;7.85;0.0234;91.4;0;0;0;0;0;0.486;2.49;0.00672;97;0;61;0;0;0;71.4;69.7;37.3;35.7;7.14 ;6.55 ;6.64 ;5.46 ;
2018-01-24;10:59:32.109;0.181;0.397;0.455;0.905;0.679;55.8;0.988;0.0351;1.02e-05;0.000841;0.135;0.138;6.64e+04;1.67e+05;2.29e+03;0.793;19.8;0.361;9.03;147;50.3;1.18;0.0102;48.5;0;32.6;0;0;0;214;25.3;0.354;0.391;0.905;0.905;0.165;0.363;0.546;0.641;5.08e-06;1.12e-05; 54880;21;51;0.0419;0.0415;44;0.353;0.39;0.905;0.905;0.174;0.381;0.544;0.642;5.36e-06;1.18e-05; 47280;11;49;0.0371;0.0401;45;0.0094;1.24;0.00758;0.866;0.179;31.3;0.994;0.0142;0.000207;0.0363; 10800;2;3;0.0246;0.0248;55;0.00672;1.29;0.00523;0.893;0.161;23.7;0.993;0.0105;0.00026;0.0384; 27120;0;4;0.0311;0.0311;54;18.9;13;13.8;  0%;  0%;  0%;13.6;14.1;19.2;  0%;  0%;  0%;7.17;7.36;10.7;  0%;  0%;  0%;11.9;8.14;8.87;  0%;  0%;  0%;100;0.000435;0;0;0;0;0;0;0;100;0.000498;0;0;0;0;0;0;0;0.875;1.7;0.0337;97.4;0;80.2;0;0;0;0.585;3.02;0.00693;96.4;0;50.3;0;0;0;71.3;69.7;36.7;36;7.22 ;6.5 ;5.98 ;5.63 ;
2018-01-24;10:59:33.217;0.213;0.469;0.455;0.905;0.896;52;0.983;0.647;1.14e-05;0.000659;0.174;0.177;7.89e+04;1.68e+05;2.3e+03;0.938;23.4;0.426;10.7;191;50.3;4.89;0.0066;44.8;0;11;0;0;0;222;27.1;0.42;0.464;0.905;0.905;0.283;0.534;0.47;0.989;7.32e-06;1.38e-05; 52240;41;50;0.0488;0.0467;44;0.419;0.463;0.905;0.905;0.3;0.571;0.474;0.988;7.74e-06;1.47e-05; 49120;16;55;0.0433;0.0459;45;0.00875;1.28;0.00683;0.883;0.157;29.3;0.995;0.015;0.000193;0.0361; 10800;1;0;0.0378;0.0383;55;0.00625;1.39;0.00449;0.899;0.156;21.6;0.993;0.0115;0.00027;0.0373; 27040;0;2;0.0446;0.0458;54;24.2;15.8;17.6;  0%;  0%;  0%;16.1;17.6;23.8;  0%;  0%;  0%;10.3;10.3;13.2;  0%;  0%;  0%;15.8;12.8;13.1;  0%;  0%;  0%;100;0.000423;0;0;0;0;0;0;0;100;0.000648;0;0;0;0;0;0;0;0.774;9;0.0152;90.2;0;42.8;0;0;0;0.499;10.5;0.0112;88.9;0;1.19;0;0;0;73.7;72.1;38.3;37.5;7.39 ;6.78 ;6.52 ;6.38 ;
2018-01-24;10:59:34.425;0.532;1.2;0.445;0.905;4.37;65;0.933;0.99;2.1e-05;0.000312;0.472;0.432;2.08e+05;1.74e+05;2.33e+03;2.39;59.9;1.06;26.6;632;49.1;4.99;0.0775;45.8;0;7.71;0;0;0;287;36.1;1.06;1.18;0.896;0.905;1.76;3.65;0.518;0.999;1.73e-05;3.6e-05; 53360;80;160;0.134;0.113;42;1.08;1.21;0.887;0.905;1.97;5.08;0.612;0.999;1.87e-05;4.82e-05; 49840;105;140;0.128;0.108;44;0.00776;1.21;0.00641;0.89;0.282;28.4;0.99;0.0138;0.000368;0.0371; 11120;0;2;0.108;0.103;55;0.00719;1.31;0.00547;0.905;0.357;27.9;0.987;0.00973;0.000504;0.0394; 26960;0;3;0.102;0.107;54;123;41.1;46.1;  0%;  0%;  0%;43.4;47.9;121;  0%;  0%;  0%;40.9;37.2;18.7;  0%;  0%;  0%;24.1;45.7;42.8;  0%;  0%;  0%;99;0.975;0;0.0459;0;0;0;0;0;98;1.89;0;0.0918;0;0;0;0;0;0.72;5.8;0.267;93.2;0;30.6;0;0;0;0.604;11.2;0.0398;88.2;0;0;0;0;0;104;102;40.8;40.4;9.41 ;9.3 ;8.94 ;8.49 ;
2018-01-24;10:59:35.557;0.483;1.05;0.458;0.905;46.2;156;0.704;0.986;0.000245;0.000826;4.76;4.07;1.89e+05;1.79e+05;2.54e+03;2.11;52.7;0.967;24.2;7.6e+03;50.6;4.83;0.0159;44.5;0;5.17;0;0;0;271;46.8;0.964;1.07;0.904;0.905;21.2;48.9;0.566;0.991;0.000223;0.000514; 50480;674;1738;1.22;1.06;43;0.943;1.04;0.904;0.905;24.5;58.4;0.58;0.989;0.000266;0.000633; 52800;666;2091;1.16;1.02;44;0.00783;1.2;0.00654;0.897;0.221;27.7;0.992;0.0142;0.000291;0.0365; 11360;0;3;1.2;1;55;0.00554;1.23;0.00449;0.905;0.26;20.9;0.988;0.00944;0.000484;0.039; 26800;1;1;1.18;0.999;54;1.38e+03;487;484;  6%;  2%;  2%;517;515;1.39e+03;  2%;  2%;  6%;633;615;173;  2%;  2%;  0%;175;624;603;  0%;  2%;  2%;100;0.038;0;0.000102;0;0;0;0;0;100;0.0468;0;0.000174;0;0;0;0;0;0.729;8.61;0.0266;90.6;0;20.8;0;0;0;0.497;10.7;0.0375;88.7;0;0;0;0;0;97.7;95;39.7;38.8;11.6 ;12 ;12.2 ;11 ;
