System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;10:30:10.071;0.524;0.875;0.598;0.809;3.17;22.9;0.861;0.989;1.42e-05;0.000103;0.426;0.404;2.23e+05;2.54e+05;2.65e+03;1.75;43.8;1.05;26.2;595;73.9;2.45;0.00519;23.6;0;8.44;0;0;0;298;35.1;0.676;0.848;0.797;0.81;0.908;1.74;0.479;0.996;1.26e-05;2.42e-05; 51760;56;123;0.122;0.106;45;0.698;0.878;0.796;0.81;1.05;2.09;0.496;0.997;1.42e-05;2.81e-05; 51280;89;114;0.118;0.105;46;0.716;0.899;0.797;0.81;1.12;2.16;0.484;0.998;1.47e-05;2.84e-05; 52320;38;168;0.106;0.101;48;0.00428;1.17;0.00366;0.791;0.0936;16.9;0.994;0.0167;0.000206;0.0372; 17600;0;2;0.0806;0.0922;54;72.9;70.8;30.5;  0%;  0%;  0%;69.4;31.9;72.4;  0%;  0%;  0%;71.3;67.4;31.2;  0%;  0%;  0%;25.3;26.7;25.2;  0%;  0%;  0%;98.4;1.58;0.00148;0.00443;0;0;0;0;0;98.3;1.71;0.00113;0;0;0;0;0;0;98.4;1.53;0.00651;0.0635;0;0;0;0;0;0.463;4.99;0.0117;94.5;0;33.8;0;0;0;86.5;84.4;87.7;39.6;9.13 ;8.96 ;8.98 ;8.03 ;
2018-01-24;10:30:11.093;0.559;1.16;0.483;0.809;14.4;40.7;0.645;0.997;6.5e-05;0.000183;1.23;0.99;2.22e+05;1.92e+05;2.65e+03;2.31;57.8;1.12;27.9;1.69e+03;59.7;2.59;0.0757;37.7;0;20.2;0.17;0.98;0;232;33.9;0.747;1.16;0.644;0.809;4.98;9.04;0.449;0.998;6.41e-05;0.000116; 52320;159;378;0.347;0.263;45;0.73;1.16;0.631;0.809;4.77;7.61;0.373;0.998;6.49e-05;0.000103; 46240;109;371;0.289;0.238;46;0.725;1.15;0.628;0.809;4.59;7.9;0.419;0.998;6.5e-05;0.000112; 52960;126;348;0.316;0.249;49;0.00457;1.12;0.00409;0.783;0.105;16.2;0.993;0.017;0.000241;0.037; 17200;0;0;0.276;0.241;54;199;199;72.8;  0%;  0%;  0%;195;71.3;201;  0%;  0%;  0%;193;201;73.9;  0%;  0%;  0%;92.1;95.8;98.7;  0%;  0%;  0%;79.6;1.91;0.116;18.4;0;2.03;0.65;0.448;0;78;1.71;0.0658;20.2;0;15;0;1.13;0;77.5;1.58;0.0514;20.8;0;13.4;0;1.17;0;0.523;5.29;0.0668;94.1;0;52.3;0;1.21;0;67.7;65.3;67.8;31.7;8.5 ;8.67 ;8.78 ;7.97 ;
2018-01-24;10:30:12.340;0.828;1.44;0.575;0.809;5.04;34;0.852;0.97;1.67e-05;0.000112;0.751;0.894;3.03e+05;2.1e+05;2.15e+03;2.88;72;1.66;41.4;1.15e+03;71;2.57;0.0427;26.4;0;21.8;0;0;0;287;33.7;1.15;1.49;0.774;0.81;1.64;3.38;0.514;0.991;1.65e-05;3.39e-05; 48240;118;221;0.2;0.272;45;1.11;1.45;0.766;0.81;1.6;3.21;0.502;0.991;1.59e-05;3.2e-05; 46000;79;267;0.159;0.209;46;1.09;1.39;0.784;0.81;1.6;3.49;0.541;0.991;1.57e-05;3.42e-05; 49840;94;270;0.247;0.22;48;0.00671;1.08;0.00621;0.769;0.2;23.9;0.992;0.015;0.000313;0.0375; 17760;3;0;0.144;0.193;54;122;138;75.8;  0%;  0%;  0%;123;67.1;131;  0%;  0%;  0%;135;159;74.2;  0%;  0%;  0%;43.1;38.1;43.2;  0%;  0%;  0%;95.6;2.89;0.0653;1.48;0;0.0486;0;0;0;94.6;3.23;0.0248;2.18;0;0;0;0;0;96.8;2.15;0.0559;0.951;0;0.0568;0;0;0;0.808;2.07;0.026;97.1;0;83.9;0;0;0;83.2;80.9;84.5;38.8;8.91 ;8.6 ;8.82 ;7.32 ;
2018-01-24;10:30:13.575;0.233;0.383;0.608;0.809;0.82;23.9;0.966;0.0817;8.44e-06;0.000246;0.181;0.201;9.71e+04;2.54e+05;2.62e+03;0.766;19.1;0.466;11.6;185;75.2;1.04;0.00321;23.8;0;11.4;0;0;0;253;29;0.308;0.38;0.81;0.81;0.249;0.505;0.507;0.571;7.76e-06;1.57e-05; 52240;31;54;0.049;0.0527;45;0.309;0.382;0.809;0.81;0.197;0.376;0.476;0.573;6.11e-06;1.17e-05; 48640;7;39;0.0464;0.0539;46;0.309;0.382;0.809;0.81;0.22;0.434;0.493;0.582;6.83e-06;1.35e-05; 51040;15;54;0.0471;0.0521;48;0.00596;1.24;0.0048;0.777;0.154;22.6;0.993;0.015;0.000247;0.0363; 17920;0;1;0.0388;0.0425;54;19.1;21.2;17.6;  0%;  0%;  0%;14.7;12.5;15.5;  0%;  0%;  0%;17.7;20.4;16;  0%;  0%;  0%;10.3;9.23;11.2;  0%;  0%;  0%;100;0.000441;0;0;0;0;0;0;0;100;0.0149;0;0;0;0;0;0;0;100;0.0149;0;0;0;0;0;0;0;0.618;4.12;0.0129;95.3;0;45.6;0;0;0;71.6;69.8;72.7;39;7.86 ;7.31 ;7.4 ;6.44 ;
2018-01-24;10:30:14.807;0.231;0.379;0.608;0.81;0.585;28.4;0.979;0.0718;6.13e-06;0.000298;0.181;0.204;9.54e+04;2.52e+05;2.6e+03;0.759;19;0.461;11.5;173;75.1;2.13;0.00328;22.7;0;0.0485;0;0;0;252;29.2;0.305;0.377;0.81;0.81;0.178;0.377;0.527;0.634;5.64e-06;1.19e-05; 54080;25;45;0.0476;0.053;45;0.306;0.378;0.81;0.81;0.152;0.319;0.523;0.622;4.81e-06;1.01e-05; 47760;19;45;0.0428;0.0512;47;0.305;0.377;0.81;0.81;0.162;0.345;0.531;0.636;5.14e-06;1.1e-05; 53120;11;52;0.0451;0.0513;49;0.00697;1.25;0.00556;0.807;0.0928;27.4;0.997;0.0149;0.000129;0.0379; 17920;1;2;0.0456;0.0487;54;17.7;17.8;14;  0%;  0%;  0%;17.4;13.9;18.4;  0%;  0%;  0%;17.4;17.9;13.4;  0%;  0%;  0%;8.3;8.35;8.7;  0%;  0%;  0%;100;0.000254;0;0;0;0;0;0;0;100;0.000407;0;0;0;0;0;0;0;100;0.000407;0;0;0;0;0;0;0;0.689;8.52;0.0131;90.8;0;0.194;0;0;0;71.1;69.3;72.4;39.1;7.87 ;7.29 ;7.31 ;6.77 ;
2018-01-24;10:30:16.076;0.343;0.566;0.607;0.809;1.77;27.5;0.936;0.933;1.23e-05;0.000191;0.325;0.277;1.44e+05;2.54e+05;2.59e+03;1.13;28.3;0.686;17.2;426;74.9;1.96;0.00208;23.1;0;8.79;0;0;0;277;32.6;0.445;0.549;0.809;0.81;0.437;0.846;0.483;0.993;9.41e-06;1.82e-05; 50880;34;46;0.0892;0.0733;45;0.45;0.558;0.806;0.81;0.514;0.998;0.485;0.992;1.09e-05;2.11e-05; 50480;25;72;0.102;0.0768;46;0.474;0.586;0.809;0.81;0.595;1.13;0.471;0.992;1.2e-05;2.28e-05; 45680;14;88;0.0788;0.0717;49;0.00635;1.18;0.0054;0.792;0.228;24.6;0.991;0.0175;0.000342;0.0367; 20720;4;6;0.0548;0.0553;54;48.1;46.5;27.1;  0%;  0%;  0%;46.1;25.3;47.8;  0%;  0%;  0%;45.3;46.6;25.4;  0%;  0%;  0%;22.3;22.1;23.7;  0%;  0%;  0%;100;0.0108;0;0;0;0;0;0;0;99.6;0.364;0;0.0161;0;0;0;0;0;99.9;0.12;0;0.00128;0;0;0;0;0;0.682;7.33;0.00828;92;0;35;0;0;0;79.3;77.2;80.7;40;8.61 ;8.39 ;8.31 ;7.27 ;
2018-01-24;10:30:16.004;0.695;1.15;0.606;0.809;14;44.8;0.688;0.996;6.13e-05;0.000196;2.33;2.65;2.28e+05;1.99e+05;2.1e+03;2.3;57.4;1.39;34.8;3.83e+03;74.8;1.21;0.00695;24;0;19.8;0;0;0;243;34.3;0.909;1.13;0.804;0.81;3.86;5.66;0.318;0.998;5.05e-05;7.41e-05; 53680;223;494;0.593;0.659;44;0.923;1.16;0.796;0.81;4.45;7.38;0.397;0.998;5.88e-05;9.75e-05; 53920;253;544;0.575;0.661;46;0.927;1.15;0.803;0.81;5.4;8.38;0.355;0.998;7.14e-05;0.000111; 50640;219;669;0.591;0.663;48;0.00758;1.2;0.00631;0.762;0.277;23.4;0.988;0.0139;0.000452;0.0382; 20560;0;16;0.573;0.668;54;425;414;232;  2%;  2%;  1%;419;236;420;  2%;  1%;  2%;413;407;225;  2%;  2%;  1%;210;217;211;  1%;  1%;  1%;99.3;0.728;0.00426;0.00118;0;0;0;0;0;98.4;1.54;0.0151;0.0797;0;0;0;0;0;99.2;0.758;0.00215;0.00164;0;0;0;0;0;0.827;1.83;0.0063;97.3;0;80.4;0;0;0;71.1;69.7;72.4;29.8;8.59 ;8.71 ;8.99 ;8.01 ;
2018-01-24;10:30:18.256;0.544;0.901;0.604;0.809;122;344;0.645;0.949;0.000549;0.00155;9.21;4.13;2.22e+05;2.47e+05;2.51e+03;1.8;45.1;1.09;27.2;1.34e+04;74.6;0.763;0.0262;24.6;0;20.8;0;0;0;308;58.5;0.725;0.902;0.804;0.81;41.4;103;0.598;0.955;0.000569;0.00141; 52240;823;2285;2.33;1.13;45;0.729;0.905;0.805;0.81;39.5;104;0.622;0.954;0.00053;0.0014; 50800;699;2083;2.31;1.16;46;0.721;0.894;0.806;0.81;41;107;0.615;0.95;0.000553;0.00143; 50080;798;2304;2.33;1.15;48;0.00779;1.19;0.00654;0.774;0.2;30.1;0.993;0.0135;0.00025;0.0375; 20320;0;5;2.23;0.681;54;1.44e+03;1.47e+03;567;  6%;  6%;  2%;1.4e+03;509;1.46e+03;  5%;  2%;  6%;1.4e+03;1.49e+03;531;  5%;  6%;  2%;1.04e+03;1.01e+03;1.09e+03;  4%;  4%;  4%;99.3;0.607;0.0737;0.0146;0;0;0;0;0;99.4;0.52;0;0.0583;0;0;0;0;0;99.5;0.436;0.0147;0;0;0;0;0;0;0.845;1.48;0.0176;97.7;0;82.7;0;0;0;89.8;87.8;91.1;39.6;14.5 ;15.3 ;15.7 ;13 ;
2018-01-24;10:30:19.516;0.589;0.969;0.608;0.809;93.4;265;0.647;0.967;0.000377;0.00107;5.09;1.76;2.48e+05;2.55e+05;2.63e+03;1.94;48.5;1.18;29.4;6.95e+03;75.1;0.392;0.00431;24.5;0;20.9;0;0;0;320;50.5;0.754;0.931;0.81;0.81;37.7;94.4;0.601;0.952;0.000477;0.0012; 51840;636;1776;1.29;0.509;44;0.803;0.991;0.81;0.81;26.8;72.8;0.631;0.976;0.000319;0.000864; 51680;434;1289;1.28;0.509;46;0.796;0.983;0.81;0.81;28.8;74.3;0.612;0.974;0.000344;0.000887; 53280;500;1421;1.28;0.511;48;0.00591;1.21;0.0049;0.773;0.121;23.1;0.995;0.0141;0.000195;0.0371; 20480;0;4;1.24;0.231;54;659;718;288;  2%;  2%;  1%;675;252;804;  2%;  1%;  3%;633;823;264;  2%;  3%;  1%;591;539;705;  2%;  2%;  2%;100;0.000384;0;0;0;0;0;0;0;100;0.000364;0;0;0;0;0;0;0;100;0.000479;0;0;0;0;0;0;0;0.634;1.56;0.0172;97.8;0;83.3;0;0;0;92.7;92.2;95.7;39.9;12.6 ;13.1 ;13.4 ;11.4 ;
2018-01-24;10:30:20.788;0.669;1.1;0.609;0.809;36.9;126;0.707;0.992;0.000129;0.00044;3.89;1.37;2.85e+05;2.6e+05;2.65e+03;2.2;55;1.34;33.5;5.23e+03;75.2;0.357;0.00402;24.4;0;20.8;0;0;0;328;47.7;0.888;1.1;0.81;0.81;13.7;34.2;0.601;0.993;0.000144;0.00036; 52720;273;664;0.984;0.396;44;0.895;1.11;0.81;0.81;10.7;28;0.619;0.995;0.000112;0.000293; 50240;175;546;0.976;0.393;45;0.885;1.09;0.81;0.81;12.4;32;0.613;0.994;0.000132;0.00034; 52240;212;597;0.982;0.393;47;0.00783;1.24;0.0063;0.772;0.156;31.5;0.995;0.0133;0.000187;0.0378; 20640;0;5;0.947;0.189;53;526;532;209;  2%;  2%;  0%;518;197;574;  2%;  0%;  2%;516;577;199;  2%;  2%;  0%;446;441;493;  1%;  1%;  2%;100;0.000314;0;0;0;0;0;0;0;100;0.000404;0;0;0;0;0;0;0;100;0.000332;0;0;0;0;0;0;0;0.815;1.43;0.0161;97.7;0;83.3;0;0;0;95.8;94;98.2;39.8;11.9 ;12.3 ;12.5 ;10.9 ;
