System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;10:29:15.038;0.22;1.15;0.191;0.808;6.74;22.2;0.697;0.371;9e-05;0.000297;0.846;0.869;7.49e+04;6.52e+04;2.12e+03;2.3;57.4;0.44;11;1.37e+03;23.7;10.2;6.53;59.6;0;25.1;0;0;0;149;31.2;0.292;1.16;0.252;0.809;2.18;5.75;0.621;0.415;8.78e-05;0.000232; 49040;131;196;0.231;0.264;49;0.297;1.17;0.255;0.809;2.22;5.93;0.626;0.472;8.78e-05;0.000235; 50880;75;249;0.241;0.208;50;0.29;1.13;0.257;0.808;2.26;6.29;0.64;0.367;9.17e-05;0.000255; 49600;91;289;0.207;0.206;52;0.00147;0.723;0.00203;0.762;0.0825;4.25;0.981;0.0224;0.000658;0.0339; 15360;0;0;0.168;0.191;55;164;160;80.8;  0%;  0%;  0%;166;77.2;173;  0%;  0%;  0%;162;179;72.8;  0%;  0%;  0%;45.8;46.1;48;  0%;  0%;  0%;31.2;12.2;7.22;49.4;0;16.7;0;0;0;31.5;6.19;10.7;51.6;0;29.8;0;0;0;31.8;8.16;8.16;51.9;0;24.7;0;0;0;0.267;14.3;0.00838;85.4;0;29.2;0;0;0;40;38.6;39.7;30.4;8 ;7.95 ;7.94 ;7.28 ;
2018-01-24;10:29:16.053;0.0114;1.45;0.0079;0.804;1.81;6.08;0.702;0.3;0.000465;0.00156;0.254;0.396;3.9e+03;2.7e+03;2.13e+03;2.89;72.3;0.0229;0.571;529;0.983;10.2;1.15;87.6;0;41.7;0;0;0;126;31.7;0.0144;1.45;0.00989;0.805;0.744;2.98;0.75;0.181;0.000606;0.00243; 49360;37;87;0.0731;0.107;48;0.0227;1.45;0.0156;0.805;0.643;2.3;0.721;0.402;0.000332;0.00119; 53600;30;107;0.0608;0.0963;50;0.00838;1.49;0.00564;0.799;0.388;0.648;0.402;0.363;0.000543;0.000907; 54400;22;65;0.0591;0.0966;52;0.000218;0.481;0.000453;0.772;0.0391;0.155;0.747;0.199;0.00211;0.00834; 15360;0;2;0.0609;0.0967;55;80.6;72.8;63;  0%;  0%;  0%;39.2;29;52.6;  0%;  0%;  0%;40.5;47;23.4;  0%;  0%;  0%;20.1;27;33.5;  0%;  0%;  0%;1.23;11.7;2.14;84.9;0;0;0;0;0;1.94;5.91;1.75;90.4;0;30.2;0;0;0;0.706;4.41;0.691;94.2;0;61.3;0;0;0;0.0587;18.8;0.00176;81.1;0;75.3;0;0;0;32.4;31;30.9;31.2;8.11 ;8.07 ;8.08 ;7.44 ;
2018-01-24;10:29:17.052;0.0158;1.58;0.01;0.807;2.66;6.01;0.558;0.318;0.000501;0.00113;0.383;0.566;5.31e+03;3.37e+03;2.1e+03;3.15;78.8;0.0316;0.79;767;1.24;30.2;0.195;68.4;0;15.4;0;0;0;138;32.5;0.0153;1.54;0.00997;0.802;0.669;3.17;0.789;0.168;0.00052;0.00246; 49040;29;89;0.102;0.15;48;0.0248;1.61;0.0154;0.808;1.05;1.46;0.282;0.416;0.000503;0.0007; 50080;48;149;0.0922;0.138;50;0.023;1.58;0.0146;0.809;0.928;1.3;0.284;0.461;0.000481;0.000671; 54320;43;144;0.09;0.138;52;6.96e-05;0.353;0.000197;0.806;0.0136;0.0825;0.835;0.0936;0.00233;0.0141; 14800;0;0;0.0985;0.14;55;107;104;78;  0%;  0%;  0%;70.7;44.4;68.2;  0%;  0%;  0%;68.9;64.2;40.9;  0%;  0%;  0%;40.1;42.7;38.4;  0%;  0%;  0%;1.24;11;0.5;87.3;0;1.92;0;0;0;1.9;16.1;0.267;81.7;0;7.89;0;0;0;1.8;28.4;0.0144;69.8;0;20.3;0;0;0;0.0245;65.2;0;34.8;0;31.6;0;0;0;33.1;32.8;34.9;37;8.24 ;8.3 ;8.36 ;7.64 ;
2018-01-24;10:29:18.064;0.0313;1.6;0.0196;0.809;4.53;15.6;0.709;0.307;0.000426;0.00147;0.608;0.87;1.06e+04;6.66e+03;2.13e+03;3.2;79.9;0.0625;1.56;1.21e+03;2.42;39.8;0.882;56.9;0;0.193;0;0;0;148;34.2;0.0212;1.52;0.0139;0.81;0.742;6.8;0.891;0.14;0.000412;0.00377; 49840;30;91;0.163;0.234;48;0.0805;1.6;0.0502;0.809;2.83;7.42;0.618;0.397;0.000414;0.00108; 49360;119;362;0.133;0.188;50;0.0233;1.67;0.014;0.81;0.944;1.3;0.272;0.415;0.000477;0.000655; 51840;54;139;0.15;0.226;52;6.89e-05;0.433;0.000159;0.81;0.0142;0.078;0.818;0.12;0.00243;0.0133; 14800;0;1;0.162;0.222;54;183;130;105;  0%;  0%;  0%;122;95.3;125;  0%;  0%;  0%;126;76;50.2;  0%;  0%;  0%;49.5;97.2;50.9;  0%;  0%;  0%;1.72;13.5;0.25;84.5;0;0;0;0;0;6.2;16.3;0.651;76.8;0;0.772;0;0;0;1.73;38.6;2.63;57.1;0;0;0;0;0;0.0197;90.9;0;9.12;0;0;0;0;0;34.7;36.3;37;40.3;8.55 ;8.73 ;8.79 ;8.14 ;
2018-01-24;10:29:19.076;0.0754;1.56;0.0484;0.81;11.1;49.7;0.776;0.335;0.000435;0.00194;1.16;1.41;2.56e+04;1.65e+04;2.13e+03;3.11;77.8;0.151;3.77;2.13e+03;5.98;45.9;1.38;46.8;0;0;0;0;0;160;35.9;0.0434;1.5;0.0289;0.81;1.51;12.1;0.876;0.26;0.000408;0.00329; 50480;44;160;0.306;0.388;48;0.176;1.57;0.112;0.81;6.85;24.8;0.724;0.355;0.000459;0.00167; 50000;245;696;0.267;0.293;49;0.0825;1.56;0.0529;0.81;2.78;12.7;0.781;0.359;0.000396;0.0018; 52320;88;293;0.289;0.349;52;6.74e-05;0.527;0.000128;0.81;0.0138;0.0735;0.812;0.147;0.00241;0.0128; 15040;0;1;0.299;0.377;54;308;205;136;  1%;  1%;  0%;236;165;215;  1%;  0%;  1%;257;130;88;  1%;  0%;  0%;107;205;81.2;  0%;  1%;  0%;3.57;15.3;0.383;80.8;0;0;0;0;0;13.8;33.2;3.7;49.3;0;0;0;0;0;6.53;49;1.44;43;0;0;0;0;0;0.0158;86;0;14;0;0;0;0;0;36.1;42.6;41.2;39.8;9.01 ;9.11 ;9.27 ;8.55 ;
2018-01-24;10:29:20.089;0.0821;1.53;0.0538;0.809;13.4;55.6;0.759;0.346;0.000479;0.00199;1.26;1.5;2.79e+04;1.83e+04;2.13e+03;3.05;76.3;0.164;4.11;2.36e+03;6.65;30.5;4.24;58.6;0;11.2;0;0;0;156;36.3;0.0506;1.52;0.0333;0.808;1.72;12.3;0.86;0.253;0.0004;0.00286; 50080;56;171;0.331;0.421;48;0.168;1.54;0.11;0.81;7.52;26.7;0.718;0.361;0.000525;0.00186; 52320;243;688;0.306;0.333;49;0.11;1.52;0.0721;0.81;4.14;16.5;0.749;0.382;0.000444;0.00177; 52400;129;392;0.31;0.363;52;8.04e-05;0.427;0.000188;0.801;0.0197;0.0914;0.784;0.13;0.00288;0.0134; 14800;0;0;0.316;0.385;54;312;236;139;  1%;  1%;  0%;263;163;220;  1%;  0%;  1%;295;165;124;  1%;  0%;  0%;139;211;87;  0%;  1%;  0%;4.12;8.14;3.16;84.6;0;0;0;0;0;13.5;29.8;7.68;49;0;0;0;0;0;8.9;35.2;6.12;49.8;0;0;0;0;0;0.0235;49;0;50.9;0;44.6;0;0;0;35.9;42.2;41.3;36.4;9.11 ;9.24 ;9.35 ;8.63 ;
2018-01-24;10:29:21.102;0.0358;1.64;0.0219;0.809;5.32;16.7;0.682;0.313;0.000436;0.00137;0.697;1;1.22e+04;7.45e+03;2.13e+03;3.27;81.8;0.0716;1.79;1.33e+03;2.71;35.9;2.19;59.2;0;10.2;0;0;0;148;34.6;0.0453;1.6;0.0282;0.808;1.68;8.45;0.801;0.216;0.000437;0.00219; 49280;81;220;0.178;0.25;48;0.0409;1.66;0.0246;0.809;1.62;3.05;0.47;0.41;0.000465;0.000877; 50400;78;246;0.169;0.25;49;0.0571;1.65;0.0346;0.809;2.01;5.15;0.61;0.38;0.000414;0.00106; 49520;92;271;0.167;0.241;52;6.65e-05;0.43;0.000154;0.806;0.0146;0.0807;0.82;0.0898;0.00257;0.0143; 14800;0;1;0.184;0.263;54;171;183;128;  0%;  0%;  0%;124;67.7;118;  0%;  0%;  0%;118;136;73.6;  0%;  0%;  0%;76.6;64.8;72.9;  0%;  0%;  0%;3.49;10.1;5.68;80.8;0;0.963;0;0;0;3.03;24.9;2.42;69.6;0;8.92;0;0;0;4.28;40.4;0.679;54.6;0;3.45;0;0;0;0.0192;68.1;0;31.9;0;27.7;0;0;0;35.8;35.4;39;38.2;8.62 ;8.83 ;8.92 ;8.23 ;
2018-01-24;10:29:22.132;0.0755;1.5;0.0502;0.809;10.4;47.3;0.78;0.331;0.000403;0.00183;1.15;1.42;2.58e+04;1.72e+04;2.13e+03;3.01;75.2;0.151;3.77;2.04e+03;6.2;47.2;1.74;44.9;0;0;0;0;0;164;36.5;0.052;1.54;0.0339;0.809;1.56;12.6;0.877;0.265;0.000352;0.00286; 51120;60;178;0.298;0.372;48;0.156;1.45;0.108;0.81;5.91;21.8;0.729;0.357;0.000444;0.00164; 51920;197;613;0.268;0.29;50;0.0941;1.59;0.0591;0.81;2.91;12.8;0.773;0.343;0.00036;0.00159; 50640;123;333;0.286;0.353;52;6.85e-05;0.451;0.000152;0.81;0.014;0.0789;0.823;0.116;0.00238;0.0134; 14880;0;0;0.298;0.404;54;289;196;122;  1%;  1%;  0%;223;149;199;  1%;  0%;  1%;259;142;93.8;  1%;  0%;  0%;101;192;77.3;  0%;  0%;  0%;4.18;9.64;4.76;81.4;0;0;0;0;0;13.3;36.2;1.37;49.1;0;0;0;0;0;7.31;62.5;0.856;29.3;0;0;0;0;0;0.0188;80;0;20;0;0;0;0;0;36.7;42.9;43.8;40.3;9.12 ;9.25 ;9.38 ;8.75 ;
2018-01-24;10:29:23.177;0.0936;1.54;0.0609;0.81;15.5;63.2;0.754;0.334;0.000473;0.00192;1.52;1.76;3.29e+04;2.14e+04;2.16e+03;3.08;76.9;0.187;4.68;2.73e+03;7.52;40;3.59;48.9;0;0;0;0;0;167;38.2;0.0717;1.52;0.0473;0.81;2.9;16.8;0.828;0.28;0.000462;0.00268; 53920;79;234;0.396;0.465;48;0.158;1.53;0.104;0.81;7.01;24.1;0.709;0.354;0.000504;0.00173; 41200;244;711;0.364;0.399;50;0.144;1.56;0.0922;0.81;5.62;22.1;0.746;0.351;0.000444;0.00175; 51920;194;561;0.368;0.413;52;0.000331;1.2;0.000275;0.81;0.0251;0.174;0.855;0.186;0.000864;0.00598; 14880;1;0;0.39;0.487;54;324;295;157;  1%;  1%;  0%;320;178;257;  1%;  0%;  1%;318;224;148;  1%;  1%;  0%;184;210;119;  0%;  1%;  0%;5.84;10.2;4.6;79.3;0;0;0;0;0;12.8;20.9;6.08;60.2;0;0;0;0;0;11.4;51.8;3.67;33.2;0;0;0;0;0;0.034;77.1;0;22.8;0;0;0;0;0;38.3;42.1;46.1;40.4;9.59 ;9.64 ;9.78 ;9.17 ;
2018-01-24;10:29:24.191;0.0745;1.54;0.0483;0.81;11.8;50.2;0.765;0.318;0.000459;0.00195;1.06;1.24;2.57e+04;1.67e+04;2.2e+03;3.09;77.1;0.149;3.72;1.92e+03;5.96;23.9;2.08;68;0;11;0;0;0;151;35.5;0.0788;1.54;0.0511;0.81;2.62;17.1;0.847;0.25;0.000383;0.0025; 50400;101;220;0.271;0.319;48;0.136;1.53;0.0886;0.81;5.81;20.6;0.718;0.332;0.000496;0.00176; 45360;180;539;0.257;0.288;49;0.0831;1.56;0.0531;0.81;3.35;12.4;0.73;0.375;0.000469;0.00174; 52240;112;344;0.267;0.307;52;7.52e-05;0.397;0.00019;0.798;0.0183;0.0971;0.811;0.101;0.00283;0.015; 14880;0;0;0.267;0.327;54;248;199;126;  1%;  1%;  0%;201;126;195;  1%;  0%;  0%;214;160;95;  1%;  0%;  0%;108;152;101;  0%;  0%;  0%;6.31;12;2.63;79;0;0;0;0;0;10.9;16.7;2.81;69.5;0;0;0;0;0;6.56;25.9;2.89;64.7;0;0;0;0;0;0.0238;41.3;0;58.7;0;44.2;0;0;0;37.7;39;38.6;35.6;8.88 ;9.04 ;9.18 ;8.44 ;
