System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;10:25:19.583;0.803;1.18;0.681;0.905;9.84;63.1;0.844;0.997;2.84e-05;0.000182;1.09;0.917;3.47e+05;2.94e+05;2.7e+03;2.36;58.9;1.61;40.1;1.62e+03;75.3;0.857;0.0541;23.8;0;14;0;0;0;377;42.4;1.07;1.18;0.905;0.905;3.82;9.83;0.612;0.999;3.31e-05;8.52e-05; 53280;141;353;0.29;0.233;42;1.07;1.18;0.905;0.905;2.19;6.82;0.68;0.999;1.88e-05;5.88e-05; 48560;71;245;0.264;0.234;43;1.06;1.18;0.9;0.905;3.58;9.27;0.613;0.999;3.14e-05;8.12e-05; 46320;132;339;0.272;0.234;46;0.00921;1.18;0.0078;0.864;0.254;37.2;0.993;0.0127;0.000259;0.0378; 19680;0;5;0.263;0.215;53;150;186;113;  0%;  0%;  0%;145;77.1;181;  0%;  0%;  0%;141;210;98.4;  0%;  0%;  0%;101;74.7;142;  0%;  0%;  0%;100;0.00924;0;0;0;0;0;0;0;100;0.0172;0;0;0;0;0;0;0;99.5;0.322;0.187;0.0162;0;0;0;0;0;0.903;3.11;0.03;96;0;56.7;0;0;0;112;109;115;41.7;10.6 ;10.9 ;10.9 ;9.99 ;
2018-01-24;10:25:20.599;0.626;1.16;0.54;0.904;18.3;43.4;0.578;0.997;7.4e-05;0.000175;1.42;1.06;2.47e+05;2.14e+05;2.64e+03;2.32;57.9;1.25;31.3;1.95e+03;59.8;2.14;0.547;37.5;0;27.6;0.0514;0.673;0;265;33.7;0.83;1.16;0.717;0.904;6.14;8.66;0.291;0.998;7.13e-05;0.000101; 50160;160;348;0.402;0.279;43;0.822;1.16;0.709;0.905;6.17;9.18;0.328;0.998;7.54e-05;0.000112; 49520;125;412;0.348;0.26;45;0.818;1.16;0.708;0.905;5.75;7.78;0.26;0.998;7.28e-05;9.84e-05; 51600;126;341;0.361;0.261;47;0.00502;1.06;0.00474;0.819;0.259;17.8;0.985;0.0145;0.000539;0.0371; 19120;0;3;0.313;0.257;54;233;224;80.3;  1%;  0%;  0%;212;77;225;  0%;  0%;  0%;216;224;73.6;  0%;  0%;  0%;124;128;134;  0%;  0%;  0%;79.2;2.1;0.823;17.8;0;14.1;0;0.691;0;78.3;2.69;0.953;18;0;0.589;0.204;0.511;0;78.3;2.1;0.335;19.3;0;16.5;0;0.741;0;0.579;1.65;0.0414;97.7;0;81.5;0;0.755;0;77.4;75.6;79;33.3;8.43 ;8.61 ;8.72 ;7.93 ;
2018-01-24;10:25:21.883;0.853;1.6;0.532;0.904;4.92;26.3;0.813;0.969;1.55e-05;8.3e-05;0.841;0.953;3.17e+05;1.98e+05;2.13e+03;3.21;80.1;1.71;42.7;1.27e+03;58.8;6;0.037;35.1;0;25.3;0;0;0;320;35.5;1.1;1.67;0.66;0.905;1.43;3.69;0.612;0.985;1.48e-05;3.81e-05; 52240;98;143;0.23;0.294;42;1.26;1.58;0.799;0.905;1.57;3.42;0.54;0.988;1.37e-05;2.98e-05; 49840;68;264;0.189;0.226;43;1.11;1.58;0.699;0.905;1.69;4.4;0.617;0.986;1.6e-05;4.18e-05; 49920;77;263;0.191;0.218;45;0.0042;0.897;0.00468;0.823;0.227;14.8;0.985;0.0175;0.000554;0.0362; 19440;0;3;0.23;0.216;54;125;126;77;  0%;  0%;  0%;144;89.5;158;  0%;  0%;  0%;137;148;91.6;  0%;  0%;  0%;60.9;56.4;56.5;  0%;  0%;  0%;73;10.5;0.0404;16.5;0;6.23;0;0;0;88.3;6.6;0.035;5.03;0;0.516;0;0;0;77.3;5.6;0.0282;17.1;0;4.02;0;0;0;0.568;1.76;0.0445;97.6;0;86.3;0;0;0;92;93;92.6;42;9.5 ;9.04 ;9.18 ;7.77 ;
2018-01-24;10:25:23.131;0.522;0.766;0.681;0.905;1.46;19.4;0.925;0.977;6.56e-06;8.76e-05;0.191;0.194;2.22e+05;2.89e+05;2.7e+03;1.53;38.3;1.04;26.1;202;75.3;0.837;0.00724;23.8;0;13.5;0;0;0;297;30.7;0.727;0.804;0.905;0.905;0.42;0.783;0.464;0.997;5.41e-06;1.01e-05; 53920;53;78;0.0608;0.0553;43;0.699;0.772;0.905;0.905;0.352;0.685;0.485;0.998;4.74e-06;9.2e-06; 51120;24;75;0.0495;0.0521;44;0.651;0.72;0.905;0.905;0.499;1.19;0.579;0.995;7.21e-06;1.71e-05; 55680;40;119;0.0497;0.0507;47;0.00426;1.12;0.00381;0.826;0.184;16.8;0.989;0.0151;0.00041;0.0373; 19760;0;3;0.0312;0.0357;53;15.8;18.3;13.7;  0%;  0%;  0%;19.4;14.7;17.4;  0%;  0%;  0%;21.7;22;19.4;  0%;  0%;  0%;14.7;12.5;12.9;  0%;  0%;  0%;100;0.000418;0;0;0;0;0;0;0;100;0.000501;0;0;0;0;0;0;0;100;0.000505;0;0;0;0;0;0;0;0.462;3.37;0.0292;96.1;0;54.3;0;0;0;85.6;83.5;86.9;41.3;8.35 ;7.8 ;7.85 ;6.69 ;
2018-01-24;10:25:24.335;0.256;0.377;0.68;0.905;0.681;23.4;0.971;0.0736;6.44e-06;0.000221;0.157;0.169;1.06e+05;2.81e+05;2.62e+03;0.753;18.8;0.512;12.8;157;75.2;0.659;0.00595;24.1;0;16.3;0;0;0;272;28.3;0.34;0.375;0.905;0.905;0.168;0.327;0.484;0.558;4.79e-06;9.28e-06; 54640;29;23;0.0478;0.0475;44;0.339;0.375;0.905;0.905;0.172;0.347;0.503;0.531;4.92e-06;9.91e-06; 51040;12;46;0.0419;0.0466;45;0.339;0.375;0.905;0.905;0.2;0.428;0.533;0.619;5.73e-06;1.23e-05; 54000;18;60;0.0425;0.0465;47;0.00596;1.19;0.005;0.841;0.141;22.3;0.994;0.0158;0.000229;0.0364; 19760;1;0;0.0253;0.0282;53;14.6;16.1;13.1;  0%;  0%;  0%;13.9;11.4;13.5;  0%;  0%;  0%;15.5;16.4;14.4;  0%;  0%;  0%;10.1;8.73;9.54;  0%;  0%;  0%;100;0.000169;0;0;0;0;0;0;0;100;0.000186;0;0;0;0;0;0;0;100;0.000363;0;0;0;0;0;0;0;0.595;2.64;0.0239;96.7;0;65.4;0;0;0;78;76;78.8;39.5;7.83 ;7.19 ;7.24 ;6.04 ;
2018-01-24;10:25:25.531;0.26;0.382;0.68;0.905;0.669;17.3;0.961;0.102;6.38e-06;0.000165;0.25;0.186;1.05e+05;2.74e+05;2.53e+03;0.765;19.1;0.52;13;281;75.1;0.779;0.0039;24.1;0;13.1;0;0;0;272;30;0.345;0.381;0.905;0.905;0.259;0.525;0.507;0.529;7.42e-06;1.51e-05; 53760;35;44;0.0709;0.0513;44;0.345;0.381;0.905;0.905;0.122;0.273;0.552;0.59;3.52e-06;7.84e-06; 51440;9;29;0.0646;0.0508;45;0.345;0.382;0.905;0.905;0.185;0.417;0.556;0.639;5.32e-06;1.2e-05; 49440;22;59;0.0627;0.0476;47;0.00429;1.17;0.00368;0.856;0.103;16.1;0.994;0.0151;0.000238;0.0371; 19600;0;0;0.0522;0.0358;53;18.8;22.5;18;  0%;  0%;  0%;16.5;13.2;39.3;  0%;  0%;  0%;21.6;48.5;21.3;  0%;  0%;  0%;14.2;11.1;36.3;  0%;  0%;  0%;100;0.000369;0;0;0;0;0;0;0;100;0.000302;0;0;0;0;0;0;0;100;0.000494;0;0;0;0;0;0;0;0.43;3.12;0.0156;96.4;0;52.6;0;0;0;77.8;75.8;78.6;39.3;8.09 ;7.63 ;7.62 ;6.64 ;
2018-01-24;10:25:26.751;0.419;0.617;0.678;0.905;1.54;21;0.927;0.962;9.05e-06;0.000124;0.304;0.26;1.7e+05;2.75e+05;2.51e+03;1.23;30.9;0.838;20.9;395;75;1.25;0.00513;23.7;0;9.4;0;0;0;299;31.2;0.546;0.603;0.905;0.905;0.313;0.618;0.494;0.996;5.67e-06;1.12e-05; 56160;31;38;0.0852;0.0696;43;0.56;0.62;0.904;0.905;0.378;0.743;0.492;0.996;6.64e-06;1.31e-05; 49440;17;48;0.0996;0.0739;45;0.565;0.626;0.902;0.905;0.678;1.39;0.511;0.993;1.18e-05;2.42e-05; 50000;22;94;0.0702;0.0655;46;0.0048;1.15;0.00417;0.851;0.169;18.2;0.991;0.0143;0.000347;0.0374; 19680;0;1;0.0487;0.0513;54;42;43.5;21.4;  0%;  0%;  0%;45.3;20.5;41.5;  0%;  0%;  0%;46.9;46;26.3;  0%;  0%;  0%;22.6;19.2;19.4;  0%;  0%;  0%;100;0.0109;0;0;0;0;0;0;0;99.9;0.0849;0;0;0;0;0;0;0;99.7;0.317;0;0;0;0;0;0;0;0.49;4.58;0.0205;94.9;0;37.6;0;0;0;86.7;84.4;87.7;40.5;8.35 ;7.95 ;7.97 ;6.92 ;
2018-01-24;10:25:28.089;0.782;1.16;0.671;0.905;5.53;39.2;0.859;0.998;1.62e-05;0.000115;0.721;0.707;3.42e+05;2.93e+05;2.56e+03;2.33;58.2;1.56;39.1;1.05e+03;74.2;1.49;0.00887;24.3;0;11.8;0;0;0;399;43;1.04;1.15;0.902;0.905;1.73;3.52;0.508;0.999;1.55e-05;3.15e-05; 52160;74;195;0.201;0.187;42;1.05;1.16;0.898;0.905;1.82;3.82;0.524;0.999;1.61e-05;3.38e-05; 56240;110;194;0.174;0.183;44;1.06;1.18;0.897;0.905;1.77;3.79;0.532;0.999;1.52e-05;3.26e-05; 49680;85;227;0.193;0.184;46;0.00673;1.17;0.00576;0.882;0.213;28.1;0.992;0.0134;0.000284;0.0375; 19440;0;2;0.153;0.154;53;115;119;64;  0%;  0%;  0%;114;64.2;115;  0%;  0%;  0%;116;118;67.7;  0%;  0%;  0%;52.8;49.5;50.5;  0%;  0%;  0%;99.7;0.312;0.005;0.00382;0;0;0;0;0;99.2;0.727;0.00173;0.0593;0;0;0;0;0;99.2;0.794;0.0116;0;0;0;0;0;0;0.653;4.07;0.0169;95.3;0;46.3;0;0;0;119;116;121;44.2;10.8 ;11 ;11.1 ;10.1 ;
2018-01-24;10:25:29.335;0.804;1.18;0.682;0.905;35.7;105;0.659;0.994;0.000104;0.000306;3.81;4.55;3.42e+05;2.9e+05;2.81e+03;2.36;58.9;1.61;40.2;6.4e+03;75.4;1.06;0.018;23.5;0;10.4;0;0;0;368;49.9;1.07;1.18;0.902;0.905;11.6;25.1;0.538;0.996;0.000101;0.000219; 50400;575;1322;0.956;1.13;42;1.06;1.18;0.903;0.905;12.4;26.5;0.532;0.995;0.000108;0.000232; 52480;437;1439;0.939;1.11;44;1.06;1.18;0.904;0.905;11.6;25.3;0.543;0.995;0.000103;0.000226; 52320;420;1396;0.935;1.12;45;0.00708;1.22;0.0058;0.863;0.148;27.7;0.995;0.0133;0.0002;0.0375; 19600;0;1;0.98;1.19;54;708;682;383;  2%;  2%;  1%;702;402;707;  2%;  1%;  2%;700;681;378;  2%;  2%;  1%;344;367;349;  1%;  1%;  1%;99.7;0.264;0.000752;0;0;0;0;0;0;99.8;0.122;0.0283;0.0104;0;0;0;0;0;99.9;0.0612;0.0267;0.00153;0;0;0;0;0;0.672;3.86;0.0165;95.4;0;42.2;0;0;0;109;106;112;41.8;12.4 ;12.7 ;13 ;11.8 ;
2018-01-24;10:25:30.607;0.671;0.987;0.68;0.905;100;254;0.606;0.977;0.000353;0.000897;9.62;5.32;2.84e+05;2.87e+05;2.62e+03;1.97;49.4;1.34;33.6;1.43e+04;75.1;1.32;0.00445;23.6;0;4.83;0;0;0;362;59.6;0.908;1;0.905;0.905;29.9;70.3;0.575;0.982;0.000313;0.000737; 51760;658;1864;2.44;1.43;43;0.892;0.985;0.905;0.905;33.7;76.4;0.559;0.979;0.000358;0.000812; 47440;670;2091;2.43;1.42;43;0.88;0.972;0.905;0.905;36.4;80.6;0.548;0.976;0.00039;0.000865; 50480;797;2166;2.42;1.43;45;0.00687;1.22;0.00565;0.893;0.138;27;0.995;0.0135;0.000191;0.0372; 20000;1;0;2.34;1.04;54;1.61e+03;1.6e+03;564;  6%;  6%;  2%;1.62e+03;574;1.59e+03;  6%;  2%;  6%;1.62e+03;1.6e+03;573;  6%;  6%;  2%;996;999;983;  4%;  4%;  4%;100;0.00374;0;0;0;0;0;0;0;100;0.000852;0;0;0;0;0;0;0;100;0.000622;0;0;0;0;0;0;0;0.633;5.27;0.0178;94.1;0;19.3;0;0;0;106;103;109;43.2;14.8 ;15.4 ;15.9 ;13.6 ;
