System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;12:57:14.153;0.157;1.77;0.0887;0.713;14.2;19.8;0.284;0.288;0.000265;0.00037;2.4;3.97;5.35e+04;3.01e+04;2.12e+03;3.55;88.7;0.315;7.86;4.66e+03;12.4;27.8;0.618;59.2;0;26.3;0;0;0;160;37.8;0.394;1.74;0.227;0.714;12.1;14.5;0.163;0.224;0.000362;0.000432; 49920;1019;3283;0.377;0.69;51;0.233;1.89;0.123;0.713;1.54;2.94;0.477;0.476;7.76e-05;0.000148; 54480;38;119;0.72;1.23;53;0.00207;0.509;0.00407;0.677;0.402;1.86;0.783;0.359;0.00229;0.0105; 38320;15;42;0.633;1.01;55;0.000586;0.59;0.000993;0.714;0.124;0.534;0.768;0.167;0.00248;0.0107; 23360;6;7;0.672;1.04;53;1e+03;864;868;  5%;  4%;  4%;83.4;83.7;514;  0%;  0%;  2%;89.1;452;80.2;  0%;  2%;  0%;79.4;89.9;454;  0%;  0%;  2%;31.8;37.4;0.621;30.2;0;11.9;0;0;0;17.2;29.6;1.76;51.4;0;24.9;0;0;0;0.602;14.2;0.0638;85.1;0;68.6;0;0;0;0.139;29.8;0.0316;70;0;0;0;0;0;50.5;41.6;33.6;34.3;9.09 ;9.83 ;9.78 ;9.09 ;
2017-09-05;12:57:15.166;0.317;1.91;0.166;0.714;6.23;17.2;0.638;0.397;5.77e-05;0.000159;0.465;0.682;1.08e+05;5.64e+04;2.13e+03;3.82;95.6;0.635;15.9;793;23.2;35.7;0.154;40.9;0;8.81;0;0;0;174;33.6;0.629;1.91;0.33;0.714;3.03;9.29;0.674;0.378;5.66e-05;0.000174; 53360;96;239;0.119;0.153;51;0.639;1.92;0.332;0.714;2.98;4.38;0.319;0.562;5.49e-05;8.06e-05; 48400;82;248;0.121;0.153;52;0.000995;0.814;0.00122;0.714;0.166;2.44;0.932;0.0244;0.00197;0.0288; 38240;2;5;0.115;0.192;56;0.00035;0.812;0.000431;0.696;0.0488;1.09;0.955;0.0154;0.00164;0.0367; 23520;0;0;0.111;0.185;53;133;69.3;63.5;  0%;  0%;  0%;61.9;61.1;132;  0%;  0%;  0%;64.8;68.9;3.48;  0%;  0%;  0%;4.24;62.2;67.8;  0%;  0%;  0%;46.1;47.2;0.618;6.05;0;0;0;0;0;46.5;49;0;4.48;0;0;0;0;0;0.171;23.9;0;75.9;0;0;0;0;0;0.062;22.8;0;77.2;0;35.3;0;0;0;56;54.7;32.1;31.8;8.28 ;8.62 ;8.76 ;7.9 ;
2017-09-05;12:57:16.165;0.266;2.05;0.129;0.714;396;418;0.0505;0.605;0.00445;0.00468;26.6;18.2;8.92e+04;4.35e+04;2.1e+03;4.11;103;0.531;13.3;4.19e+04;18.1;50.2;2.06;29.6;0;0.279;0;0;0;219;72.7;0.512;2.04;0.251;0.714;193;205;0.0575;0.614;0.00449;0.00476; 50320;3730;10859;6.77;4.97;50;0.55;2.07;0.266;0.714;203;211;0.0376;0.597;0.00441;0.00458; 53520;3855;11930;6.63;4.8;51;0.000423;0.731;0.000578;0.714;0.11;1.08;0.898;0.024;0.00309;0.0304; 38320;2;3;6.55;4.21;54;0.00016;0.609;0.000263;0.714;0.0167;0.407;0.959;0.0263;0.00124;0.0302; 23680;0;5;6.62;4.27;53;6.79e+03;2.21e+03;2.24e+03; 35%; 11%; 11%;2.29e+03;2.31e+03;6.59e+03; 11%; 12%; 34%;4.41e+03;4.22e+03;1.09e+03; 22%; 22%;  5%;1.09e+03;4.45e+03;4.26e+03;  5%; 23%; 22%;35.2;42.3;7.9;14.6;0;1.11;0;0;0;37.2;52.7;0.345;9.76;0;0;0;0;0;0.081;49.7;0;50.3;0;0;0;0;0;0.0368;56;0;44;0;0;0;0;0;63.6;63.8;46.8;44.9;18.2 ;18.6 ;19 ;17 ;
2017-09-05;12:57:17.177;0.266;2.14;0.124;0.714;476;496;0.0399;0.587;0.00527;0.00549;31.8;20.7;9.04e+04;4.22e+04;2.12e+03;4.28;107;0.532;13.3;5.01e+04;17.4;55;2.75;24.8;0;0.0466;0;0;0;235;79.3;0.541;2.12;0.256;0.714;242;253;0.0427;0.613;0.00527;0.00551; 51920;4649;13524;8.11;5.62;49;0.522;2.17;0.241;0.714;234;242;0.0335;0.555;0.00527;0.00545; 52640;4489;13481;7.94;5.58;51;0.000303;0.621;0.000489;0.714;0.121;0.655;0.815;0.035;0.00469;0.0254; 38000;3;5;7.84;4.72;53;0.000141;0.596;0.000237;0.714;0.0187;0.345;0.946;0.0344;0.00155;0.0287; 23520;0;3;7.93;4.79;53;7.91e+03;2.69e+03;2.71e+03; 40%; 13%; 13%;2.65e+03;2.69e+03;7.98e+03; 13%; 13%; 41%;5.11e+03;5.22e+03;1.36e+03; 26%; 26%;  6%;1.36e+03;5.16e+03;5.26e+03;  6%; 26%; 27%;35.8;46.1;10;8.12;0;0.186;0;0;0;33.7;57.9;0.951;7.42;0;0;0;0;0;0.0684;48.5;0;51.4;0;0;0;0;0;0.0332;67.6;0;32.4;0;0;0;0;0;68.4;66.8;50.4;49;20.2 ;20.3 ;20.6 ;18.2 ;
2017-09-05;12:57:18.219;0.255;2.1;0.121;0.714;470;496;0.0534;0.618;0.00528;0.00558;31.6;20.6;8.89e+04;4.24e+04;2.13e+03;4.19;105;0.509;12.7;4.96e+04;17;48.4;3.5;31.1;0;0.201;0;0;0;235;80.8;0.481;2.07;0.232;0.714;222;236;0.0625;0.618;0.00531;0.00567; 45280;4265;12301;8.05;5.65;49;0.539;2.13;0.253;0.714;248;257;0.0373;0.62;0.00525;0.00546; 54880;4700;14049;7.88;5.47;51;0.000532;0.676;0.000786;0.714;0.142;1.44;0.902;0.0231;0.00305;0.031; 38160;2;4;7.78;4.69;53;0.000295;0.662;0.000446;0.714;0.0355;0.853;0.958;0.0248;0.00137;0.033; 23600;1;0;7.86;4.76;53;7.98e+03;2.61e+03;2.64e+03; 39%; 13%; 13%;2.67e+03;2.7e+03;7.72e+03; 13%; 13%; 38%;5.31e+03;4.97e+03;1.34e+03; 26%; 24%;  6%;1.34e+03;5.34e+03;5.02e+03;  6%; 26%; 25%;32.5;43;11.4;13.1;0;0.809;0;0;0;35.5;51.5;2.64;10.4;0;0;0;0;0;0.11;43.6;0;56.3;0;0;0;0;0;0.0624;55.4;0;44.5;0;0;0;0;0;68.1;68.3;49.9;48.4;20.4 ;20.6 ;21.1 ;18.7 ;
2017-09-05;12:57:19.232;0.133;1.76;0.0756;0.714;202;234;0.135;0.597;0.00445;0.00515;14.3;10.4;4.54e+04;2.58e+04;2.19e+03;3.52;88;0.266;6.66;2.22e+04;10.6;54.9;4.63;29.9;0;0.0156;0;0;0;187;57.9;0.278;1.76;0.158;0.714;108;126;0.142;0.6;0.00451;0.00525; 47440;2264;6386;3.76;2.87;50;0.253;1.76;0.143;0.714;94.4;108;0.125;0.594;0.00439;0.00502; 47600;1879;5567;3.73;2.86;52;7.94e-05;0.34;0.000233;0.714;0.0244;0.141;0.828;0.0546;0.00361;0.0209; 37520;0;2;3.58;2.56;54;7.16e-05;0.299;0.000239;0.714;0.0183;0.0986;0.814;0.0923;0.00301;0.0162; 22560;1;0;3.27;2.13;53;4.49e+03;1.37e+03;1.19e+03; 23%;  7%;  6%;1.29e+03;1.13e+03;4.54e+03;  6%;  5%; 23%;1.81e+03;1.94e+03;434;  9%;  9%;  2%;434;1.74e+03;1.87e+03;  2%;  8%;  9%;22.1;56.4;13.1;8.34;0;0.0621;0;0;0;20;63.8;5.31;10.9;0;0;0;0;0;0.0327;40;0;60;0;0;0;0;0;0.0335;59.3;0;40.6;0;0;0;0;0;53.8;52;40.4;41.2;14.6 ;15.1 ;15.3 ;12.9 ;
2017-09-05;12:57:20.246;0.0241;0.848;0.0284;0.714;20.2;53.1;0.619;0.35;0.00247;0.00647;1.68;1.22;8.2e+03;9.67e+03;2.13e+03;1.7;42.4;0.0481;1.2;2.54e+03;3.98;70.1;3.62;22.3;0;0.0147;0;0;0;150;30.5;0.0667;0.753;0.0886;0.714;14.5;42.1;0.656;0.312;0.00255;0.0074; 52320;313;992;0.414;0.223;50;0.0294;1.2;0.0246;0.714;5.7;10.8;0.471;0.467;0.00228;0.0043; 43600;129;192;0.536;0.454;52;6.68e-05;0.337;0.000198;0.714;0.0172;0.121;0.857;0.0607;0.00303;0.0212; 37440;0;1;0.376;0.273;55;7.53e-05;0.391;0.000193;0.714;0.0171;0.104;0.836;0.0953;0.00267;0.0162; 22640;0;0;0.352;0.272;53;563;171;167;  2%;  0%;  0%;67.8;63.5;696;  0%;  0%;  3%;68;300;42.3;  0%;  1%;  0%;42.1;63.2;296;  0%;  0%;  1%;12.4;75.3;10.9;1.4;0;0.0588;0;0;0;3.44;84.3;3.57;8.66;0;0;0;0;0;0.0278;50.7;0;49.3;0;0;0;0;0;0.027;70.1;0;29.9;0;0;0;0;0;42.2;38;34;35.7;7.89 ;8.19 ;7.56 ;6.86 ;
2017-09-05;12:57:21.304;0.121;1.79;0.0676;0.714;325;362;0.102;0.549;0.0076;0.00846;25.5;9.01;4.28e+04;2.39e+04;2.14e+03;3.59;89.6;0.242;6.06;3.61e+04;9.46;65.9;2.31;22.4;0;0.0517;0;0;0;222;63.2;0.284;1.83;0.155;0.714;194;214;0.0968;0.555;0.00781;0.00864; 53920;3661;10508;6.49;2.75;49;0.204;1.75;0.116;0.714;132;148;0.108;0.541;0.00731;0.00819; 54880;2446;7160;6.52;2.92;50;0.000126;0.38;0.000332;0.714;0.0581;0.259;0.776;0.0473;0.00518;0.0231; 37520;1;2;6.29;1.68;52;6.92e-05;0.292;0.000237;0.714;0.0159;0.105;0.849;0.104;0.00259;0.0171; 22720;0;2;6.22;1.66;52;5.07e+03;1.6e+03;1.59e+03; 25%;  7%;  7%;1.5e+03;1.47e+03;6.12e+03;  7%;  7%; 30%;3.52e+03;4.68e+03;1.23e+03; 17%; 23%;  6%;1.23e+03;3.46e+03;4.68e+03;  6%; 17%; 23%;21.7;64.2;8.66;5.46;0;0.209;0;0;0;16.3;73;0.689;10;0;0;0;0;0;0.0465;55.1;0;44.9;0;0;0;0;0;0.0332;71.3;0;28.7;0;0;0;0;0;63.8;58.8;49.6;49.4;16.2 ;17 ;15.9 ;14.1 ;
2017-09-05;12:57:22.318;0.0888;1.64;0.0541;0.714;215;250;0.142;0.533;0.00706;0.00823;14.7;5.37;3.04e+04;1.85e+04;2.21e+03;3.28;82;0.178;4.44;2.05e+04;7.58;63.5;2.11;26.8;0;0.0138;0;0;0;189;49.4;0.214;1.64;0.13;0.714;118;141;0.162;0.522;0.00637;0.0076; 43920;2206;6287;3.73;1.6;49;0.138;1.65;0.084;0.714;96.7;108;0.107;0.549;0.00816;0.00914; 49200;1809;5259;3.84;1.78;52;0.00016;0.456;0.000352;0.714;0.0384;0.407;0.906;0.0322;0.00281;0.0298; 37520;1;0;3.59;1.01;54;0.000292;0.728;0.000401;0.714;0.0245;0.86;0.972;0.0222;0.000984;0.0346; 22560;0;1;3.51;0.978;52;3.16e+03;947;914; 16%;  4%;  4%;798;795;3.36e+03;  4%;  4%; 17%;2.19e+03;2.46e+03;654; 11%; 12%;  3%;654;2.19e+03;2.38e+03;  3%; 11%; 12%;18.2;69.6;6.92;5.29;0;0.0548;0;0;0;11.8;75.4;1.44;11.4;0;0;0;0;0;0.0493;47.7;0;52.3;0;0;0;0;0;0.0562;61.4;0;38.6;0;0;0;0;0;53.8;49.8;42.5;42.6;12.5 ;13.4 ;12.5 ;11.1 ;
2017-09-05;12:57:23.352;0.0792;1.69;0.047;0.714;202;236;0.143;0.639;0.00734;0.00856;14.7;4.77;2.75e+04;1.63e+04;2.16e+03;3.37;84.3;0.158;3.96;2.03e+04;6.58;64.5;2.01;26.9;0;0.00215;0;0;0;192;50.8;0.22;1.61;0.137;0.714;128;155;0.173;0.641;0.00667;0.00807; 57360;2377;6813;3.73;1.19;49;0.0963;1.9;0.0506;0.714;74.3;81;0.0837;0.637;0.00887;0.00968; 10400;1326;3972;3.71;1.4;51;5.58e-05;0.254;0.00022;0.714;0.0162;0.0838;0.806;0.091;0.00335;0.0173; 37440;0;3;3.64;1.1;54;7.06e-05;0.305;0.000232;0.714;0.0181;0.104;0.826;0.0938;0.00295;0.017; 22560;0;0;3.59;1.08;52;2.43e+03;1.02e+03;1e+03; 12%;  5%;  5%;805;795;3.29e+03;  4%;  4%; 16%;1.91e+03;2.95e+03;664;  9%; 14%;  3%;664;1.89e+03;2.91e+03;  3%;  9%; 14%;19.2;65.6;7.99;7.21;0;0.00859;0;0;0;7.08;80.1;0.045;12.8;0;0;0;0;0;0.0308;53;0;46.9;0;0;0;0;0;0.0324;59.3;0;40.7;0;0;0;0;0;56;48.8;43.5;43.2;12.7 ;13.1 ;13.4 ;11.6 ;
