System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;10:23:53.247;0.181;1.11;0.164;1.24;17.7;27.1;0.347;0.305;0.00028;0.000429;3.07;5.12;6.3e+04;5.69e+04;2.12e+03;2.22;55.4;0.363;9.07;6e+03;13.2;12.5;0.265;74;0;23;0;0;0;272;46.4;0.713;1.16;0.615;1.24;15.3;18.6;0.178;0.309;0.000247;0.000301; 50320;1282;4287;0.444;0.773;47;0.0076;0.293;0.026;1.31;0.673;3.22;0.791;0.195;0.00102;0.00487; 37680;54;28;0.948;1.63;52;0.00222;0.369;0.006;0.973;0.827;2.88;0.713;0.257;0.00429;0.0149; 40000;29;55;0.788;1.29;54;0.00402;0.445;0.00902;1.3;0.86;2.35;0.634;0.43;0.00246;0.00672; 30240;45;33;0.891;1.43;53;1.24e+03;1.06e+03;1.16e+03;  6%;  5%;  5%;120;96.5;678;  0%;  0%;  3%;99.7;579;123;  0%;  2%;  0%;100;95.9;642;  0%;  0%;  3%;49.8;7.97;0.793;41.5;0;13.4;0;0;0;1.99;11.5;0.231;86.3;0;16.9;0;0;0;0.617;8.93;0.0191;90.4;0;61.8;0;0;0;0.694;21.6;0.0176;77.7;0;0;0;0;0;99;57.5;57;58.6;11.2 ;12.2 ;11.2 ;11.7 ;
2017-09-05;10:23:54.269;0.346;1.28;0.27;1.24;32;39.9;0.198;0.498;0.000269;0.000336;2.58;2.77;1.19e+05;9.27e+04;2.18e+03;2.57;64.2;0.693;17.3;4.18e+03;21.8;28.2;0.0766;49.9;0;16.3;0;0;0;320;43.9;1.38;1.28;1.08;1.24;31.8;36.4;0.126;0.521;0.000267;0.000306; 55600;835;2420;0.66;0.363;45;0.00113;0.839;0.00135;1.29;0.149;2.56;0.942;0.0303;0.00154;0.0264; 37760;5;7;0.64;0.805;52;0.00017;0.54;0.000315;1.22;0.0488;0.435;0.888;0.0343;0.00334;0.0297; 40000;0;3;0.629;0.793;52;0.000458;0.873;0.000525;1.26;0.0533;0.58;0.908;0.0667;0.00136;0.0148; 30560;1;2;0.647;0.808;52;507;499;508;  2%;  2%;  2%;43.9;45.2;803;  0%;  0%;  4%;44.5;789;44.3;  0%;  4%;  0%;44.1;46;808;  0%;  0%;  4%;86.9;9;0.305;3.81;0;0;0;0;0;0.105;30;0.000546;69.9;0;3.25;0;0;0;0.0258;50.6;0;49.4;0;31.3;0;0;0;0.0417;23.4;0;76.6;0;30.7;0;0;0;135;60.2;67.4;56.8;11.1 ;11.5 ;11 ;10.3 ;
2017-09-05;10:23:55.259;0.271;1.19;0.228;1.24;441;490;0.0996;0.56;0.00489;0.00543;30.8;16.7;9.02e+04;7.61e+04;2.09e+03;2.37;59.3;0.542;13.5;4.72e+04;18.4;74.8;0.479;6.31;0;0;0;0;0;354;77.8;1.08;1.19;0.911;1.24;441;486;0.0918;0.562;0.0049;0.00539; 55040;9385;27638;7.85;2.45;46;0.000816;0.831;0.000982;1.24;0.185;2.06;0.91;0.0245;0.00272;0.0303; 38480;7;16;7.7;4.79;51;0.000415;1.09;0.000382;1.24;0.0433;1.3;0.967;0.0172;0.00125;0.0377; 40160;0;7;7.59;4.72;52;0.000378;1.08;0.00035;1.24;0.033;1.16;0.972;0.0171;0.00105;0.0369; 30400;0;3;7.71;4.79;52;3.94e+03;3.89e+03;3.94e+03; 20%; 20%; 20%;1.31e+03;1.32e+03;9.24e+03;  6%;  6%; 48%;1.31e+03;9.1e+03;1.31e+03;  6%; 47%;  6%;1.31e+03;1.32e+03;9.24e+03;  6%;  6%; 48%;73.6;21.9;1.91;2.54;0;0;0;0;0;0.0793;85.8;0;14.1;0;0;0;0;0;0.0308;96.6;0;3.42;0;0;0;0;0;0.0283;94.8;0;5.15;0;0;0;0;0;126;73.6;80.3;74.3;18.1 ;20.2 ;20.8 ;18.7 ;
2017-09-05;10:23:56.306;0.266;1.18;0.226;1.24;448;497;0.0993;0.565;0.00486;0.0054;31.9;17.4;9.22e+04;7.81e+04;2.13e+03;2.36;59;0.533;13.3;4.89e+04;18.2;76.6;0.339;4.8;0;0;0;0;0;376;81.3;1.07;1.18;0.902;1.24;448;494;0.0937;0.566;0.00486;0.00537; 50960;9430;27889;8.12;2.53;43;0.000638;0.751;0.000849;1.24;0.17;1.6;0.894;0.0284;0.00308;0.0289; 38400;7;11;7.97;4.97;50;0.000263;1.02;0.000257;1.24;0.0296;0.828;0.964;0.0225;0.0013;0.0363; 40160;0;3;7.86;4.91;51;0.000298;1.07;0.000278;1.24;0.0253;0.935;0.973;0.0213;0.000981;0.0362; 30480;0;1;7.97;4.97;51;4.08e+03;4.02e+03;4.08e+03; 20%; 20%; 20%;1.35e+03;1.36e+03;9.57e+03;  6%;  6%; 48%;1.35e+03;9.42e+03;1.35e+03;  6%; 47%;  6%;1.35e+03;1.37e+03;9.56e+03;  6%;  6%; 48%;72.9;22.7;1.36;3.01;0;0;0;0;0;0.0686;83.8;0;16.2;0;0;0;0;0;0.0208;100;0;0;0;0;0;0;0;0.0224;100;0;0;0;0;0;0;0;133;77.5;85.6;79.8;19 ;21 ;21.8 ;19.5 ;
2017-09-05;10:23:57.320;0.233;1.06;0.22;1.24;394;441;0.106;0.559;0.00489;0.00546;28.5;18.2;8.07e+04;7.6e+04;2.2e+03;2.12;53.1;0.467;11.7;4.41e+04;17.7;78.3;0.403;3.51;0;0;0;0;0;361;77.5;0.93;1.06;0.876;1.24;394;437;0.0993;0.561;0.00489;0.00543; 58480;8992;27164;7.04;2.6;45;0.00059;0.764;0.000772;1.24;0.165;1.41;0.883;0.0315;0.00324;0.0276; 35600;7;16;7.33;5.54;50;0.000236;1;0.000235;1.24;0.0272;0.721;0.962;0.0259;0.00134;0.0354; 33040;0;4;6.87;4.75;51;0.000393;1.15;0.000342;1.24;0.0281;1.27;0.978;0.0194;0.000826;0.0373; 29280;2;0;7.27;5.35;51;4.38e+03;3.85e+03;4.26e+03; 22%; 19%; 21%;1.13e+03;1.14e+03;8.35e+03;  5%;  5%; 42%;1.13e+03;8.11e+03;1.13e+03;  5%; 41%;  5%;1.13e+03;1.14e+03;8.37e+03;  5%;  5%; 42%;70.8;25.8;1.61;1.84;0;0;0;0;0;0.0624;87.7;0;12.2;0;0;0;0;0;0.0189;100;0;0;0;0;0;0;0;0.0276;100;0;0.0185;0;0;0;0;0;125;75.7;82.7;77.3;17.8 ;20.4 ;20.5 ;18.8 ;
2017-09-05;10:23:58.329;0.119;1.14;0.104;1.24;130;192;0.321;0.584;0.00322;0.00473;9.44;6.52;4.05e+04;3.54e+04;2.12e+03;2.29;57.2;0.239;5.97;1.47e+04;8.42;81.6;0.213;9.78;0;0;0;0;0;323;52.4;0.477;1.15;0.416;1.24;130;191;0.319;0.585;0.00322;0.00472; 49920;2759;8212;2.43;0.888;46;0.000123;0.551;0.000224;1.24;0.0421;0.261;0.839;0.0618;0.00402;0.0249; 35440;3;0;2.27;1.79;50;9.07e-05;0.552;0.000164;1.24;0.0241;0.158;0.848;0.0983;0.00312;0.0206; 33040;0;0;2.21;1.87;51;9.54e-05;0.527;0.000181;1.24;0.0279;0.148;0.812;0.103;0.00344;0.0183; 29440;0;2;2.52;1.97;51;1.34e+03;1.38e+03;1.49e+03;  6%;  7%;  7%;318;350;2.76e+03;  1%;  1%; 14%;318;2.7e+03;338;  1%; 13%;  1%;338;350;3.06e+03;  1%;  1%; 15%;33.6;65.2;0.853;0.275;0;0;0;0;0;0.0181;83.4;0;16.6;0;0;0;0;0;0.0133;94.8;0;5.18;0;0;0;0;0;0.0146;82.9;0;17.1;0;0;0;0;0;102;71.8;78.6;70.5;13 ;13.2 ;13.6 ;12.6 ;
2017-09-05;10:23:59.338;0.145;0.919;0.158;1.24;299;380;0.214;0.521;0.00609;0.00775;25.4;6.51;4.91e+04;5.35e+04;2.12e+03;1.84;45.9;0.29;7.24;3.57e+04;12.7;79.1;0.201;7.92;0;0;0;0;0;342;65.4;0.579;0.919;0.63;1.24;299;379;0.21;0.522;0.00609;0.00772; 51120;6737;19522;6.51;0.973;46;0.000344;0.697;0.000493;1.24;0.0984;0.742;0.868;0.0364;0.00338;0.0255; 35360;4;3;6.4;1.88;50;0.000132;0.781;0.00017;1.24;0.018;0.346;0.948;0.0378;0.0016;0.0308; 33040;1;1;6.18;1.79;51;0.000275;1.05;0.000262;1.24;0.0197;0.829;0.976;0.0217;0.000846;0.0356; 29280;1;1;6.36;1.87;51;1.94e+03;1.86e+03;1.93e+03; 10%;  9%;  9%;1.33e+03;1.35e+03;7.41e+03;  6%;  6%; 38%;1.34e+03;7.15e+03;1.33e+03;  6%; 36%;  6%;1.33e+03;1.35e+03;7.36e+03;  6%;  6%; 37%;50.9;47.7;0.805;0.557;0;0;0;0;0;0.0398;87.5;0;12.5;0;0;0;0;0;0.0137;86.6;0;13.4;0;0;0;0;0;0.0211;94.8;0;5.22;0;0;0;0;0;113;74.8;78.8;75;15.9 ;16.8 ;17.2 ;15.5 ;
2017-09-05;10:24:00.371;0.152;0.933;0.163;1.24;323;404;0.199;0.522;0.00619;0.00773;28.4;7.22;5.22e+04;5.6e+04;2.12e+03;1.87;46.6;0.305;7.62;3.99e+04;13.2;79.9;0.22;6.69;0;0;0;0;0;355;69.6;0.612;0.933;0.656;1.24;323;403;0.198;0.522;0.00619;0.00772; 55680;7219;21118;7.25;1.09;45;0.000288;0.677;0.000425;1.24;0.103;0.602;0.829;0.0463;0.00418;0.0244; 35600;4;6;7.14;2.08;49;5.92e-05;0.483;0.000123;1.24;0.0157;0.0834;0.812;0.119;0.00309;0.0164; 33200;0;0;6.92;1.98;50;7.94e-05;0.587;0.000135;1.24;0.022;0.12;0.817;0.102;0.00322;0.0176; 29200;1;0;7.1;2.07;50;2.17e+03;2.09e+03;2.17e+03; 11%; 10%; 11%;1.5e+03;1.51e+03;8.27e+03;  7%;  7%; 42%;1.5e+03;8e+03;1.49e+03;  7%; 40%;  7%;1.49e+03;1.52e+03;8.22e+03;  7%;  7%; 41%;53;45.7;0.885;0.48;0;0;0;0;0;0.0343;91.4;0;8.54;0;0;0;0;0;0.00992;84.8;0;15.2;0;0;0;0;0;0.0109;97.5;0;2.51;0;0;0;0;0;118;77.7;80.7;77.8;16.8 ;17.8 ;18.4 ;16.7 ;
2017-09-05;10:24:01.401;0.16;0.905;0.177;1.24;368;458;0.196;0.519;0.00654;0.00813;30.5;7.33;5.63e+04;6.22e+04;2.22e+03;1.81;45.3;0.321;8.02;4.27e+04;14.3;77.9;0.203;7.55;0;0;0;0;0;355;70.1;0.638;0.906;0.705;1.24;368;457;0.194;0.52;0.00654;0.00812; 49760;8133;24034;7.76;1.1;44;0.000456;0.767;0.000594;1.24;0.137;1.01;0.864;0.0381;0.00343;0.0253; 35440;6;7;7.64;2.11;49;6.53e-05;0.493;0.000132;1.24;0.0154;0.117;0.868;0.0891;0.00269;0.0204; 33120;0;3;7.44;2.02;50;8.53e-05;0.642;0.000133;1.24;0.018;0.15;0.88;0.0876;0.0024;0.02; 29360;0;0;7.62;2.11;50;2.25e+03;2.17e+03;2.25e+03; 11%; 10%; 11%;1.62e+03;1.64e+03;8.84e+03;  8%;  8%; 44%;1.62e+03;8.59e+03;1.62e+03;  8%; 42%;  8%;1.62e+03;1.64e+03;8.81e+03;  8%;  8%; 43%;56.9;41.5;0.81;0.764;0;0;0;0;0;0.048;88.9;0;11.1;0;0;0;0;0;0.0107;81.6;0;18.4;0;0;0;0;0;0.0107;100;0;0;0;0;0;0;0;120;77.3;79.8;78.4;17 ;18 ;18.4 ;16.6 ;
2017-09-05;10:24:02.408;0.155;0.932;0.166;1.24;324;403;0.196;0.52;0.00617;0.00767;27.2;6.87;5.25e+04;5.63e+04;2.12e+03;1.86;46.6;0.31;7.76;3.82e+04;13.4;73.6;0.238;12.7;0;0;0;0;0;340;66.9;0.62;0.933;0.665;1.24;323;401;0.194;0.521;0.00617;0.00766; 51600;7156;20840;6.96;1.03;44;0.000381;0.676;0.000563;1.24;0.121;0.818;0.853;0.042;0.00375;0.0254; 35520;5;8;6.85;1.98;49;0.000103;0.572;0.00018;1.24;0.0219;0.209;0.896;0.0707;0.00251;0.024; 33040;0;0;6.61;1.88;50;0.000121;0.672;0.000181;1.24;0.0243;0.241;0.899;0.0709;0.00237;0.0235; 29120;0;0;6.8;1.97;50;2.07e+03;1.98e+03;2.05e+03; 10%; 10%; 10%;1.43e+03;1.45e+03;7.93e+03;  7%;  7%; 41%;1.43e+03;7.65e+03;1.43e+03;  7%; 39%;  7%;1.43e+03;1.45e+03;7.87e+03;  7%;  7%; 40%;53.7;44.7;0.952;0.608;0;0;0;0;0;0.0455;70.9;0;29.1;0;0;0;0;0;0.0146;85.8;0;14.2;0;0;0;0;0;0.0146;93;0;7.02;0;0;0;0;0;115;71.2;78.7;74.9;16.3 ;17.1 ;17.6 ;16 ;
