System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;08:53:18.875;0.00363;0.422;0.00861;0.609;4.22;12.8;0.67;0.336;0.00341;0.0103;0.403;0.266;1.24e+03;2.93e+03;2.12e+03;0.844;21.1;0.00726;0.182;624;1.41;10.3;0.185;88.1;0;35.5;0;0;0;117;32.4;0.00362;0.423;0.00857;0.604;1.03;3.69;0.72;0.303;0.00335;0.012; 46880;50;66;0.105;0.0695;51;0.00236;0.334;0.00706;0.603;0.904;2.81;0.678;0.25;0.00451;0.014; 47520;53;38;0.108;0.0805;52;0.00364;0.404;0.00899;0.606;1.16;3.31;0.65;0.34;0.00373;0.0107; 38480;33;94;0.0864;0.0562;54;0.00491;0.5;0.0098;0.619;1.13;2.97;0.622;0.429;0.00269;0.00711; 35680;59;38;0.104;0.0597;50;67.7;46.2;45.3;  0%;  0%;  0%;78.8;38.3;43.2;  0%;  0%;  0%;50.5;47.8;71.7;  0%;  0%;  0%;33.6;40.8;60;  0%;  0%;  0%;1.42;6.12;0.59;91.9;0;42.8;0;0;0;1.17;5.23;0.0592;93.5;0;47.9;0;0;0;1.48;5.11;0.0467;93.4;0;51.2;0;0;0;1.58;24.6;0.0456;73.8;0;0;0;0;0;29.4;28;28.8;30.4;8.11 ;8.26 ;8.39 ;7.65 ;
2017-09-05;08:53:19.892;0.243;0.992;0.245;0.619;18.6;26.9;0.307;0.316;0.000224;0.000323;3.68;5.6;8.31e+04;8.38e+04;2.14e+03;1.98;49.6;0.487;12.2;6.41e+03;39.6;10.4;0.0701;49.9;0;14;0;0;0;170;39;0.264;0.936;0.282;0.619;6.61;9.73;0.321;0.261;0.000293;0.000431; 50240;509;1641;0.859;1.31;50;0.251;1.03;0.243;0.619;3.85;5.62;0.315;0.38;0.00018;0.000263; 53680;346;1053;0.932;1.44;51;0.265;0.908;0.292;0.619;6.21;8.24;0.247;0.287;0.000274;0.000364; 50400;485;1623;0.908;1.35;53;0.193;1.17;0.165;0.619;1.94;3.27;0.405;0.404;0.000118;0.000198; 51200;193;523;0.978;1.5;50;622;664;557;  3%;  3%;  2%;595;374;551;  3%;  1%;  2%;616;645;564;  3%;  3%;  2%;444;318;457;  2%;  1%;  2%;45.6;9.4;0.105;44.9;0;5.97;0;0;0;39.2;13.2;0.0232;47.6;0;1.85;0;0;0;47.2;4.9;0.0613;47.8;0;19.8;0;0;0;26.6;14.1;0.0905;59.2;0;28.4;0;0;0;44.2;41.9;44;39.5;9.63 ;9.97 ;10 ;9.34 ;
2017-09-05;08:53:20.894;0.603;1.09;0.552;0.619;471;516;0.0883;0.595;0.00232;0.00254;33.7;23.3;2.03e+05;1.86e+05;2.1e+03;2.18;54.6;1.21;30.2;5.67e+04;89.2;0.741;0;10.1;0;4.08;0;0;0;276;73.4;0.606;1.09;0.554;0.619;118;130;0.09;0.59;0.00232;0.00255; 55600;2414;7688;8.4;5.76;46;0.602;1.09;0.553;0.619;117;129;0.0881;0.594;0.00232;0.00254; 50400;2561;7368;8.45;5.75;48;0.607;1.09;0.555;0.619;118;129;0.0858;0.593;0.00231;0.00253; 52720;2617;7374;8.44;5.99;48;0.598;1.1;0.546;0.619;117;128;0.0894;0.602;0.00232;0.00255; 51680;2450;7668;8.41;5.8;47;4.66e+03;4.64e+03;4.75e+03; 24%; 24%; 24%;4.66e+03;4.54e+03;4.79e+03; 24%; 23%; 24%;4.96e+03;4.87e+03;4.69e+03; 25%; 25%; 24%;4.68e+03;4.71e+03;4.75e+03; 24%; 24%; 24%;89.5;0.612;0;9.86;0;5;0;0;0;89.4;0.499;0;10.1;0;5.57;0;0;0;89.7;0.558;0;9.75;0;0.361;0;0;0;88.2;1.29;0;10.5;0;5.37;0;0;0;69.3;68.1;71.6;67.5;18.3 ;18.6 ;19.1 ;17.5 ;
2017-09-05;08:53:21.912;0.52;0.88;0.591;0.619;809;886;0.0869;0.596;0.00455;0.00499;58.8;42.8;1.78e+05;2.02e+05;2.14e+03;1.76;44;1.04;26;9.81e+04;95.4;1.04;0.0038;3.54;0;2.11;0;0;0;348;106;0.522;0.878;0.594;0.619;205;225;0.0867;0.591;0.00461;0.00505; 46880;4497;14352;14.7;10.6;48;0.518;0.877;0.591;0.619;202;222;0.0873;0.595;0.00457;0.005; 48960;4584;13631;14.5;10.1;49;0.519;0.882;0.589;0.619;202;221;0.0849;0.594;0.00455;0.00497; 47680;4845;13412;14.9;11.3;51;0.519;0.881;0.589;0.619;199;218;0.0889;0.605;0.00448;0.00492; 50480;4479;13891;14.8;10.8;48;8.02e+03;8.12e+03;8.29e+03; 41%; 41%; 42%;8.1e+03;7.83e+03;8.23e+03; 41%; 40%; 42%;8.44e+03;8.46e+03;8.14e+03; 43%; 43%; 41%;8.14e+03;8.04e+03;8.28e+03; 41%; 41%; 42%;96;1.08;0;2.95;0;0;0;0;0;95.5;1.23;0;3.32;0;2.29;0;0;0;95.1;0.797;0;4.08;0;3.22;0;0;0;95.1;1.04;0.0152;3.81;0;2.96;0;0;0;86.6;85.9;91.1;84.4;26.2 ;26 ;27.9 ;25.6 ;
2017-09-05;08:53:22.929;0.381;0.629;0.607;0.619;534;632;0.156;0.604;0.0041;0.00485;43.5;17.2;1.3e+05;2.07e+05;2.14e+03;1.26;31.4;0.763;19.1;6.88e+04;98;0.326;0;1.7;0;0.932;0;0;0;289;78.9;0.381;0.63;0.604;0.619;137;162;0.154;0.6;0.00422;0.00499; 46080;2869;8759;11.2;4.43;46;0.378;0.625;0.605;0.619;133;158;0.155;0.605;0.00412;0.00488; 49680;2547;8392;10.5;4.11;47;0.375;0.618;0.608;0.619;128;152;0.157;0.609;0.00399;0.00473; 53760;2601;7696;10.9;4.21;47;0.391;0.642;0.609;0.619;135;161;0.157;0.603;0.00406;0.00481; 46400;2609;7807;10.8;4.49;47;5.86e+03;5.63e+03;5.97e+03; 29%; 28%; 30%;5.58e+03;5.6e+03;5.94e+03; 28%; 28%; 30%;5.55e+03;5.78e+03;5.57e+03; 28%; 29%; 28%;5.67e+03;5.68e+03;6.02e+03; 29%; 29%; 30%;97.6;0.421;0;1.96;0;0;0;0;0;97.8;0.372;0;1.86;0;1.48;0;0;0;98.2;0.238;0;1.6;0;1.28;0;0;0;98.4;0.273;0;1.36;0;0.973;0;0;0;73;70.8;74.2;71.1;19.9 ;19.8 ;20.5 ;18.7 ;
2017-09-05;08:53:23.942;0.395;0.639;0.619;0.619;757;886;0.146;0.555;0.00561;0.00657;61.3;22.1;1.35e+05;2.11e+05;2.14e+03;1.28;31.9;0.791;19.8;9.46e+04;99.9;0.0539;0;0;0;0;0;0;0;340;93.4;0.396;0.64;0.619;0.619;195;227;0.144;0.551;0.00576;0.00673; 55040;4178;12415;15.5;5.55;47;0.393;0.635;0.619;0.619;189;221;0.146;0.554;0.00564;0.00661; 47200;3745;11849;15.3;5.5;48;0.389;0.629;0.619;0.619;183;215;0.147;0.556;0.00551;0.00646; 47600;3962;11271;15.3;5.39;49;0.403;0.652;0.619;0.619;190;222;0.148;0.56;0.00551;0.00647; 45920;3831;11502;15.2;5.62;47;7.91e+03;7.71e+03;8.07e+03; 40%; 39%; 41%;7.81e+03;7.72e+03;8.17e+03; 40%; 39%; 41%;7.83e+03;7.93e+03;7.51e+03; 40%; 40%; 38%;7.82e+03;7.95e+03;8.16e+03; 40%; 40%; 41%;100;0.0498;0;0;0;0;0;0;0;99.9;0.0573;0;0;0;0;0;0;0;99.9;0.0547;0;0;0;0;0;0;0;99.9;0.0538;0;0;0;0;0;0;0;85;83.8;88.3;82.5;23.4 ;23.8 ;24.1 ;22.2 ;
2017-09-05;08:53:24.961;0.405;0.655;0.618;0.619;806;947;0.148;0.556;0.00583;0.00684;66.9;23.5;1.38e+05;2.11e+05;2.13e+03;1.31;32.8;0.811;20.3;1.02e+05;99.9;0.0951;0;0.00378;0;0;0;0;0;345;98.1;0.406;0.656;0.619;0.619;206;241;0.146;0.553;0.00595;0.00697; 52400;4440;13059;16.9;5.86;45;0.403;0.651;0.618;0.619;201;236;0.149;0.556;0.00585;0.00688; 52560;4030;12586;16.7;5.88;47;0.399;0.646;0.618;0.619;196;231;0.149;0.556;0.00576;0.00677; 51920;4324;12150;16.7;5.74;46;0.413;0.668;0.618;0.619;203;239;0.15;0.56;0.00574;0.00675; 48720;4147;12458;16.6;6;46;8.5e+03;8.36e+03;8.69e+03; 43%; 42%; 44%;8.46e+03;8.37e+03;8.83e+03; 43%; 42%; 45%;8.53e+03;8.59e+03;8.12e+03; 43%; 44%; 41%;8.49e+03;8.62e+03;8.82e+03; 43%; 44%; 45%;99.9;0.0851;0;0.00143;0;0;0;0;0;99.9;0.0963;0;0.000368;0;0;0;0;0;99.9;0.0982;0;0.00382;0;0;0;0;0;99.9;0.101;0;0.0095;0;0;0;0;0;86.4;84.7;89.6;84;24.6 ;24.8 ;25.3 ;23.4 ;
2017-09-05;08:53:25.975;0.401;0.648;0.619;0.619;767;897;0.145;0.557;0.0056;0.00655;61.9;22.2;1.37e+05;2.11e+05;2.14e+03;1.3;32.4;0.802;20;9.5e+04;99.9;0.0683;0;0;0;0;0;0;0;337;94.2;0.402;0.65;0.619;0.619;198;230;0.143;0.555;0.00575;0.00671; 52400;4244;12571;15.6;5.57;46;0.398;0.644;0.619;0.619;192;224;0.145;0.555;0.00564;0.0066; 46800;3806;11912;15.5;5.53;47;0.395;0.638;0.619;0.619;186;218;0.145;0.558;0.00552;0.00646; 47600;4030;11452;15.5;5.42;48;0.408;0.659;0.619;0.619;192;224;0.146;0.559;0.0055;0.00645; 47920;3877;11629;15.4;5.63;46;7.95e+03;7.76e+03;8.09e+03; 40%; 39%; 41%;7.84e+03;7.75e+03;8.18e+03; 40%; 39%; 41%;7.86e+03;7.96e+03;7.55e+03; 40%; 40%; 38%;7.84e+03;7.98e+03;8.19e+03; 40%; 40%; 41%;99.9;0.0619;0;0;0;0;0;0;0;99.9;0.0753;0;0;0;0;0;0;0;99.9;0.066;0;0;0;0;0;0;0;99.9;0.07;0;0;0;0;0;0;0;84.4;83.1;87.3;82.1;23.5 ;23.7 ;24.6 ;22.4 ;
2017-09-05;08:53:26.995;0.394;0.637;0.619;0.619;756;886;0.147;0.555;0.00561;0.00658;62.7;22.5;1.35e+05;2.11e+05;2.13e+03;1.27;31.9;0.789;19.7;9.63e+04;99.9;0.0688;0;0;0;0;0;0;0;340;95.2;0.394;0.638;0.619;0.619;193;226;0.145;0.553;0.00574;0.00672; 52080;4164;12375;15.8;5.63;46;0.392;0.633;0.619;0.619;188;221;0.147;0.553;0.00564;0.00661; 48720;3765;11765;15.7;5.61;47;0.389;0.628;0.619;0.619;183;215;0.148;0.556;0.00552;0.00648; 54400;4005;11374;15.7;5.51;47;0.403;0.651;0.619;0.619;191;224;0.148;0.559;0.00554;0.00651; 52080;3884;11648;15.6;5.72;46;8.03e+03;7.86e+03;8.19e+03; 41%; 40%; 41%;7.94e+03;7.86e+03;8.31e+03; 40%; 40%; 42%;7.99e+03;8.07e+03;7.67e+03; 40%; 41%; 39%;7.96e+03;8.1e+03;8.3e+03; 40%; 41%; 42%;99.9;0.0587;0;0;0;0;0;0;0;99.9;0.0676;0;0;0;0;0;0;0;99.9;0.0749;0;0;0;0;0;0;0;99.9;0.0738;0;0;0;0;0;0;0;84.7;84;88.2;82.7;23.6 ;24.1 ;24.7 ;22.8 ;
2017-09-05;08:53:28.012;0.408;0.66;0.619;0.619;823;963;0.145;0.552;0.00588;0.00688;66.8;23.4;1.4e+05;2.12e+05;2.14e+03;1.32;33;0.817;20.4;1.02e+05;99.9;0.0583;0;0;0;0;0;0;0;347;99.1;0.409;0.662;0.619;0.619;212;247;0.143;0.549;0.00603;0.00704; 51280;4571;13407;16.9;5.86;45;0.406;0.656;0.619;0.619;206;241;0.146;0.551;0.00592;0.00693; 45680;4123;12863;16.7;5.85;47;0.402;0.651;0.619;0.619;200;234;0.146;0.551;0.00581;0.0068; 43600;4414;12354;16.7;5.72;47;0.415;0.671;0.619;0.619;205;241;0.147;0.556;0.00577;0.00676; 49680;4194;12586;16.6;5.96;46;8.5e+03;8.33e+03;8.67e+03; 43%; 42%; 44%;8.43e+03;8.32e+03;8.77e+03; 43%; 42%; 44%;8.46e+03;8.56e+03;8.09e+03; 43%; 43%; 41%;8.44e+03;8.58e+03;8.77e+03; 43%; 43%; 44%;99.9;0.0557;0;0;0;0;0;0;0;99.9;0.0591;0;0;0;0;0;0;0;99.9;0.0566;0;0;0;0;0;0;0;99.9;0.0618;0;0;0;0;0;0;0;86.4;85.7;90.4;84.4;24.7 ;25 ;25.7 ;23.7 ;
