System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;16:45:06.183;0.0411;1.27;0.0324;0.619;0.829;56.3;0.985;0.579;5.92e-05;0.00402;0.221;0.324;1.4e+04;1.1e+04;2.12e+03;2.54;63.4;0.0823;2.06;267;5.24;31.3;0.156;63.3;0;27.6;0;0;0;131;24.2;0.163;1.3;0.126;0.619;0.528;55;0.99;0.583;3.81e-05;0.00397; 51200;37;203;0.0389;0.0442;50;0.000383;0.377;0.00102;0.6;0.117;0.468;0.75;0.209;0.00359;0.0143; 21520;2;6;0.0457;0.0838;54;0.000531;0.469;0.00113;0.605;0.109;0.442;0.754;0.357;0.00241;0.00978; 41200;2;8;0.0291;0.0456;56;0.000729;0.372;0.00196;0.619;0.0756;0.31;0.757;0.401;0.00122;0.00501; 28000;5;2;0.107;0.15;54;63;30.5;80.8;  0%;  0%;  0%;3.98;3.95;21.9;  0%;  0%;  0%;2.18;14.5;4.09;  0%;  0%;  0%;3.38;3.67;35;  0%;  0%;  0%;20.3;68.9;0.579;10.2;0;4.38;0;0;0;0.169;14.9;0.00447;84.9;0;72.3;0;0;0;0.187;17.7;0.00279;82.1;0;33.9;0;0;0;0.317;23.6;0.0368;76.1;0;0;0;0;0;42.6;28.6;29.9;30.2;6.74 ;5.39 ;5.78 ;6.29 ;
2017-09-05;16:45:07.196;0.0462;1.31;0.0352;0.619;0.14;61.5;0.998;0.537;8.92e-06;0.00391;0.0683;0.0632;1.57e+04;1.2e+04;2.13e+03;2.62;65.6;0.0923;2.31;16.8;5.68;54.8;0.158;39.4;0;15.4;0;0;0;139;22;0.184;1.32;0.14;0.619;0.0865;61.2;0.999;0.538;5.51e-06;0.0039; 51040;5;3;0.022;0.0193;50;6.74e-05;0.365;0.000184;0.61;0.0173;0.0903;0.809;0.0781;0.00301;0.0158; 21280;1;2;0.0138;0.0131;54;6.68e-05;0.428;0.000156;0.619;0.0176;0.0856;0.794;0.0835;0.0031;0.0151; 41040;0;3;0.018;0.0174;56;7.11e-05;0.449;0.000159;0.616;0.0188;0.0844;0.777;0.0927;0.00311;0.0139; 28240;1;1;0.0145;0.0135;54;1.76;1.62;3.53;  0%;  0%;  0%;0.307;0.516;2.12;  0%;  0%;  0%;0.195;2.1;0.611;  0%;  0%;  0%;0.426;0.468;3.19;  0%;  0%;  0%;22.6;76.7;0.633;0;0;0;0;0;0;0.0302;22.7;0;77.2;0;26.1;0;0;0;0.0252;58.4;0;41.6;0;0;0;0;0;0.0257;61.3;0;38.7;0;35.5;0;0;0;43.9;29.1;32.9;32.9;6.17 ;5.28 ;5.59 ;5 ;
2017-09-05;16:45:08.194;0.046;1.32;0.035;0.619;0.123;60.9;0.998;0.536;7.94e-06;0.00394;0.0761;0.0714;1.55e+04;1.17e+04;2.1e+03;2.63;65.8;0.0921;2.3;13.4;5.65;92.9;0.0749;1.42;0;0;0;0;0;150;22;0.184;1.32;0.139;0.619;0.0702;60.6;0.999;0.537;4.55e-06;0.00393; 50720;3;2;0.0215;0.0189;50;6.18e-05;0.505;0.000122;0.619;0.0182;0.0771;0.765;0.1;0.0035;0.0149; 21280;0;3;0.0176;0.0171;54;5.96e-05;0.504;0.000118;0.619;0.0166;0.0754;0.78;0.11;0.00332;0.0151; 41120;0;0;0.0173;0.017;55;7e-05;0.513;0.000137;0.619;0.0177;0.0787;0.775;0.122;0.00302;0.0134; 27920;1;0;0.0196;0.0184;53;1.51;1.36;2.45;  0%;  0%;  0%;0.196;0.42;1.78;  0%;  0%;  0%;0.176;1.64;0.547;  0%;  0%;  0%;0.34;0.376;2.62;  0%;  0%;  0%;22.5;77.2;0.299;0.00207;0;0;0;0;0;0.0198;100;0;0;0;0;0;0;0;0.0191;96.1;0;3.9;0;0;0;0;0;0.0221;98.2;0;1.78;0;0;0;0;0;43.2;35.5;35.7;35.7;6.05 ;5.41 ;5.42 ;5.1 ;
2017-09-05;16:45:09.204;0.0459;1.32;0.0348;0.619;0.109;61.3;0.998;0.534;6.98e-06;0.00394;0.0762;0.0715;1.56e+04;1.18e+04;2.12e+03;2.63;65.8;0.0918;2.29;12.1;5.63;93.4;0.0409;0.963;0;0;0;0;0;152;22.2;0.183;1.32;0.139;0.619;0.0605;61.1;0.999;0.535;3.89e-06;0.00393; 51040;1;2;0.0214;0.0191;50;6.17e-05;0.559;0.00011;0.619;0.0172;0.0738;0.768;0.149;0.00327;0.0141; 21280;0;1;0.0177;0.0172;54;5.96e-05;0.547;0.000109;0.619;0.0154;0.0734;0.79;0.148;0.00305;0.0145; 41120;0;3;0.0174;0.0172;55;6.84e-05;0.584;0.000117;0.619;0.0156;0.074;0.789;0.16;0.00269;0.0127; 28160;0;2;0.0196;0.0181;53;1.49;1.3;1.84;  0%;  0%;  0%;0.192;0.411;1.71;  0%;  0%;  0%;0.147;1.54;0.502;  0%;  0%;  0%;0.335;0.351;2.31;  0%;  0%;  0%;22.5;77.4;0.163;0;0;0;0;0;0;0.0178;100;0;0;0;0;0;0;0;0.0176;96.1;0;3.85;0;0;0;0;0;0.0189;100;0;0;0;0;0;0;0;43.8;35.9;36.2;36.2;6.11 ;5.49 ;5.5 ;5.15 ;
2017-09-05;16:45:10.215;0.046;1.32;0.035;0.619;0.113;61.8;0.998;0.535;7.21e-06;0.00396;0.0767;0.0719;1.56e+04;1.19e+04;2.12e+03;2.63;65.9;0.0921;2.3;12.7;5.65;93.2;0.0509;1.09;0;0;0;0;0;152;22.4;0.184;1.32;0.139;0.619;0.0613;61.5;0.999;0.537;3.93e-06;0.00394; 51040;3;0;0.0218;0.0193;50;8.42e-05;0.581;0.000145;0.619;0.0179;0.124;0.856;0.119;0.0025;0.0173; 21360;0;2;0.018;0.0174;53;8.25e-05;0.584;0.000141;0.619;0.0175;0.126;0.861;0.119;0.00249;0.018; 41040;0;2;0.0178;0.0173;55;9.16e-05;0.624;0.000147;0.619;0.016;0.124;0.871;0.131;0.00206;0.016; 27920;0;0;0.0191;0.0179;53;1.64;1.41;1.8;  0%;  0%;  0%;0.345;0.346;1.83;  0%;  0%;  0%;0.219;1.68;0.528;  0%;  0%;  0%;0.346;0.336;2.23;  0%;  0%;  0%;22.5;77.3;0.204;0.00271;0;0;0;0;0;0.0234;99;0;0.999;0;0;0;0;0;0.0228;96.6;0;3.36;0;0;0;0;0;0.0237;100;0;0;0;0;0;0;0;43.9;35.7;36.2;36.2;6.17 ;5.52 ;5.52 ;5.14 ;
2017-09-05;16:45:11.225;0.0457;1.32;0.0346;0.619;0.104;61;0.998;0.535;6.69e-06;0.00394;0.0762;0.0715;1.55e+04;1.18e+04;2.12e+03;2.64;65.9;0.0913;2.28;12.2;5.6;94.2;0.223;0.00169;0;0;0;0;0;152;22.2;0.182;1.32;0.138;0.619;0.0581;60.8;0.999;0.536;3.75e-06;0.00393; 51200;4;0;0.0213;0.019;51;6.18e-05;0.582;0.000106;0.619;0.0157;0.0716;0.781;0.152;0.00299;0.0136; 21360;0;4;0.0177;0.0172;53;5.7e-05;0.554;0.000103;0.619;0.0146;0.0687;0.788;0.156;0.00301;0.0142; 41040;0;1;0.0175;0.0172;55;6.9e-05;0.595;0.000116;0.619;0.0154;0.0741;0.792;0.169;0.00263;0.0127; 28240;0;1;0.0197;0.018;53;1.46;1.3;1.82;  0%;  0%;  0%;0.21;0.428;1.68;  0%;  0%;  0%;0.128;1.55;0.502;  0%;  0%;  0%;0.329;0.366;2.39;  0%;  0%;  0%;22.3;76.8;0.892;0.00676;0;0;0;0;0;0.0172;100;0;0;0;0;0;0;0;0.0166;100;0;0;0;0;0;0;0;0.0187;100;0;0;0;0;0;0;0;43.7;35.9;36.4;36.2;6.06 ;5.5 ;5.49 ;5.14 ;
2017-09-05;16:45:12.235;0.046;1.32;0.0349;0.619;0.104;61.5;0.998;0.535;6.65e-06;0.00394;0.0759;0.0713;1.56e+04;1.18e+04;2.12e+03;2.64;65.9;0.092;2.3;11.7;5.64;94.3;0.0379;0.000102;0;0;0;0;0;152;22.1;0.184;1.32;0.139;0.619;0.058;61.3;0.999;0.536;3.72e-06;0.00393; 51280;2;2;0.0212;0.019;50;5.94e-05;0.569;0.000105;0.619;0.0158;0.071;0.778;0.156;0.00313;0.0141; 21360;1;0;0.0177;0.0172;53;5.71e-05;0.558;0.000102;0.619;0.0146;0.0686;0.787;0.162;0.00301;0.0142; 40960;0;0;0.0175;0.0172;55;7.1e-05;0.619;0.000115;0.619;0.0154;0.072;0.786;0.171;0.00256;0.012; 28000;0;0;0.0195;0.0179;53;1.46;1.27;1.68;  0%;  0%;  0%;0.213;0.392;1.67;  0%;  0%;  0%;0.123;1.53;0.469;  0%;  0%;  0%;0.321;0.336;2.26;  0%;  0%;  0%;22.5;77.3;0.152;0.000406;0;0;0;0;0;0.0169;100;0;0;0;0;0;0;0;0.0165;100;0;0;0;0;0;0;0;0.0185;100;0;0;0;0;0;0;0;43.9;35.9;36.4;36.2;6.03 ;5.5 ;5.5 ;5.11 ;
2017-09-05;16:45:13.246;0.0461;1.32;0.0349;0.619;0.101;61.6;0.998;0.534;6.48e-06;0.00394;0.0757;0.0712;1.56e+04;1.18e+04;2.12e+03;2.64;66;0.0921;2.3;11.5;5.64;94.2;0.12;0.000156;0;0;0;0;0;152;22.2;0.184;1.32;0.139;0.619;0.0562;61.4;0.999;0.534;3.6e-06;0.00393; 51520;3;0;0.0212;0.019;50;5.95e-05;0.576;0.000103;0.619;0.0147;0.068;0.784;0.164;0.0029;0.0135; 21360;0;1;0.0177;0.0172;53;5.67e-05;0.563;0.000101;0.619;0.0144;0.0678;0.788;0.163;0.00299;0.0141; 40960;0;1;0.0173;0.0171;55;7.06e-05;0.599;0.000118;0.619;0.0162;0.0738;0.78;0.182;0.0027;0.0123; 28160;1;1;0.0195;0.0179;53;1.4;1.18;1.75;  0%;  0%;  0%;0.191;0.406;1.64;  0%;  0%;  0%;0.109;1.42;0.451;  0%;  0%;  0%;0.293;0.341;2.29;  0%;  0%;  0%;22.5;77;0.479;0.000623;0;0;0;0;0;0.0167;100;0;0;0;0;0;0;0;0.0163;100;0;0;0;0;0;0;0;0.019;100;0;0;0;0;0;0;0;43.9;35.9;36.4;36.2;6.08 ;5.51 ;5.48 ;5.11 ;
2017-09-05;16:45:14.256;0.0461;1.32;0.035;0.619;0.104;61.6;0.998;0.534;6.64e-06;0.00393;0.0762;0.0716;1.57e+04;1.19e+04;2.12e+03;2.64;66;0.0923;2.31;11.8;5.65;94.3;0.0511;0;0;0;0;0;0;152;22.2;0.184;1.32;0.139;0.619;0.0552;61.3;0.999;0.535;3.53e-06;0.00392; 51520;3;3;0.0215;0.0192;50;7.13e-05;0.588;0.000121;0.619;0.0163;0.0901;0.82;0.146;0.00269;0.0149; 21280;0;1;0.018;0.0174;53;6.45e-05;0.559;0.000115;0.619;0.0146;0.0719;0.796;0.173;0.00267;0.0131; 40960;0;1;0.0177;0.0173;55;0.000343;1.33;0.000259;0.619;0.018;0.158;0.886;0.205;0.000617;0.00543; 28080;0;1;0.019;0.0178;53;1.48;1.25;1.68;  0%;  0%;  0%;0.304;0.369;1.71;  0%;  0%;  0%;0.172;1.55;0.46;  0%;  0%;  0%;0.349;0.36;2.12;  0%;  0%;  0%;22.5;77.3;0.204;0;0;0;0;0;0;0.0196;100;0;0;0;0;0;0;0;0.0186;100;0;0;0;0;0;0;0;0.0418;100;0;0;0;0;0;0;0;43.9;35.9;36.4;36.2;6.09 ;5.52 ;5.49 ;5.1 ;
2017-09-05;16:45:15.267;0.046;1.32;0.0349;0.619;0.105;61.1;0.998;0.537;6.69e-06;0.00391;0.076;0.0713;1.56e+04;1.18e+04;2.12e+03;2.64;65.9;0.092;2.3;11.9;5.64;94.2;0.134;0;0;0;0;0;0;152;22.1;0.184;1.32;0.139;0.619;0.0585;60.9;0.999;0.538;3.75e-06;0.0039; 51280;0;1;0.0213;0.019;50;5.99e-05;0.574;0.000104;0.619;0.0159;0.0711;0.776;0.157;0.00313;0.014; 21440;1;0;0.0177;0.0172;53;5.68e-05;0.556;0.000102;0.619;0.0147;0.0683;0.785;0.161;0.00305;0.0142; 41120;0;0;0.0174;0.0171;55;6.96e-05;0.608;0.000115;0.619;0.0154;0.0752;0.795;0.166;0.00261;0.0127; 28160;0;0;0.0196;0.0179;53;1.45;1.27;1.73;  0%;  0%;  0%;0.2;0.413;1.67;  0%;  0%;  0%;0.119;1.48;0.49;  0%;  0%;  0%;0.315;0.371;2.36;  0%;  0%;  0%;22.5;77;0.534;0;0;0;0;0;0;0.0169;100;0;0;0;0;0;0;0;0.0165;100;0;0;0;0;0;0;0;0.0185;100;0;0;0;0;0;0;0;43.9;35.9;36.4;36.3;6.06 ;5.47 ;5.47 ;5.07 ;
