System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;14:28:09.505;0.00346;0.448;0.00773;0.681;4.38;13;0.663;0.341;0.00371;0.011;0.416;0.301;1.18e+03;2.63e+03;2.12e+03;0.896;22.4;0.00693;0.173;661;1.14;13.2;0.0818;85.6;0;30.7;0;0;0;118;32.2;0.00469;0.543;0.00862;0.696;1.27;3.94;0.678;0.372;0.00318;0.00989; 46560;52;91;0.117;0.0715;53;0.00243;0.335;0.00726;0.651;0.894;2.83;0.685;0.264;0.00432;0.0137; 46800;48;65;0.0946;0.072;53;0.00329;0.395;0.00832;0.666;1.1;3.21;0.656;0.34;0.00395;0.0115; 38400;33;89;0.0826;0.0715;56;0.00346;0.513;0.00674;0.714;1.11;3;0.629;0.365;0.00378;0.0102; 35600;62;47;0.123;0.0864;54;72.2;52.6;47.4;  0%;  0%;  0%;67.6;54.4;45.6;  0%;  0%;  0%;43.1;49.4;73.2;  0%;  0%;  0%;43;40.1;72.1;  0%;  0%;  0%;1.24;17.3;0.0863;81.3;0;20.1;0;0;0;1.11;5.41;0.129;93.3;0;49;0;0;0;1.25;4.88;0.041;93.8;0;53.8;0;0;0;0.944;25.3;0.071;73.7;0;0;0;0;0;30.4;27.9;29;30.3;8.03 ;8.16 ;8.21 ;7.77 ;
2017-09-05;14:28:10.518;0.0464;1.15;0.0402;0.714;1.37;69.1;0.98;0.499;8.65e-05;0.00437;0.317;0.453;1.58e+04;1.37e+04;2.13e+03;2.31;57.6;0.0928;2.32;394;5.64;34.5;1.31;58.6;0;23.9;0;0;0;136;26.2;0.00189;0.769;0.00245;0.699;0.334;3.86;0.914;0.0432;0.00208;0.024; 46720;4;4;0.0258;0.0298;52;0.000338;0.562;0.000602;0.703;0.0713;0.271;0.736;0.465;0.00248;0.00939; 39920;3;14;0.0968;0.178;53;0.183;1.16;0.158;0.714;0.927;64.8;0.986;0.513;5.94e-05;0.00415; 49440;68;299;0.0888;0.09;56;0.000112;0.408;0.000275;0.703;0.0341;0.153;0.777;0.119;0.00357;0.016; 35440;2;2;0.105;0.154;54;3.71;39.6;3.51;  0%;  0%;  0%;45.7;9.41;5.03;  0%;  0%;  0%;122;40.4;81.9;  0%;  0%;  0%;35.5;2.71;4.23;  0%;  0%;  0%;0.351;22.8;0.047;76.8;0;27.7;0;0;0;0.0856;22.2;4.72;72.9;0;32.4;0;0;0;22.1;74.9;0.454;2.6;0;1.43;0;0;0;0.0392;18.1;0;81.9;0;34.2;0;0;0;31;29.6;45.9;29.8;6.4 ;6.02 ;7.69 ;6.09 ;
2017-09-05;14:28:11.515;0.0478;1.21;0.0395;0.714;0.712;68.1;0.99;0.515;4.44e-05;0.00424;0.118;0.0909;1.6e+04;1.33e+04;2.1e+03;2.42;60.5;0.0956;2.39;74.5;5.53;70.9;0.139;23.5;0;2.87;0;0;0;146;24.4;0.00187;0.774;0.00242;0.708;0.295;3.79;0.922;0.0431;0.00187;0.0241; 46480;2;4;0.0178;0.0157;52;6.26e-05;0.439;0.000142;0.714;0.0214;0.0808;0.735;0.0971;0.00408;0.0154; 40000;0;3;0.0183;0.0173;52;0.189;1.22;0.155;0.714;0.374;64.1;0.994;0.529;2.36e-05;0.00404; 49680;7;10;0.0622;0.0395;55;7.47e-05;0.446;0.000168;0.714;0.0222;0.0846;0.737;0.116;0.00355;0.0135; 35440;0;1;0.0202;0.0184;54;1.31;27.7;1.48;  0%;  0%;  0%;4;0.549;1.2;  0%;  0%;  0%;3.64;23.6;4.35;  0%;  0%;  0%;4.11;0.539;1.97;  0%;  0%;  0%;0.342;32.5;0.0425;67.1;0;11.5;0;0;0;0.0199;89.6;0;10.3;0;0;0;0;0;21.7;77.7;0.513;0.0132;0;0;0;0;0;0.0235;83.6;0;16.4;0;0;0;0;0;31.1;34.8;45.1;35.2;6.22 ;5.64 ;7.26 ;5.24 ;
2017-09-05;14:28:12.526;0.0478;1.22;0.0391;0.714;0.706;69.2;0.99;0.524;4.35e-05;0.00426;0.121;0.0934;1.62e+04;1.33e+04;2.12e+03;2.44;61.1;0.0956;2.39;74.4;5.47;84.2;0.127;10.2;0;0;0;0;0;153;24.7;0.00194;0.836;0.00232;0.714;0.295;3.96;0.925;0.0439;0.00179;0.024; 46560;0;7;0.0198;0.0178;53;6.13e-05;0.493;0.000124;0.714;0.0206;0.0746;0.723;0.138;0.00397;0.0143; 39920;0;1;0.0188;0.0176;52;0.189;1.23;0.154;0.714;0.371;65.1;0.994;0.538;2.31e-05;0.00405; 49760;4;13;0.062;0.0394;55;6.81e-05;0.505;0.000135;0.714;0.0192;0.0745;0.743;0.147;0.00331;0.0129; 35360;0;1;0.0204;0.0186;54;1.22;27.6;1.43;  0%;  0%;  0%;4.07;0.56;1.19;  0%;  0%;  0%;3.69;23.9;4.23;  0%;  0%;  0%;4.07;0.524;1.92;  0%;  0%;  0%;0.325;61.3;0.0209;38.4;0;0;0;0;0;0.0174;100;0;0;0;0;0;0;0;21.5;77.9;0.485;0.0593;0;0;0;0;0;0.0189;97.5;0;2.49;0;0;0;0;0;34.2;36.2;45.7;37.2;6.32 ;5.73 ;7.45 ;5.24 ;
2017-09-05;14:28:13.536;0.048;1.23;0.039;0.714;0.688;69;0.99;0.523;4.22e-05;0.00424;0.119;0.0926;1.63e+04;1.32e+04;2.12e+03;2.46;61.5;0.096;2.4;72.7;5.46;88.7;0.105;5.74;0;0;0;0;0;155;24.6;0.00181;0.889;0.00204;0.714;0.287;3.55;0.919;0.0523;0.00186;0.0231; 46640;0;6;0.0199;0.0176;52;6.1e-05;0.515;0.000119;0.714;0.0185;0.073;0.747;0.156;0.00357;0.0141; 39920;1;3;0.0184;0.0175;52;0.19;1.24;0.154;0.714;0.364;65.3;0.994;0.536;2.26e-05;0.00405; 49760;5;14;0.0609;0.0388;55;6.78e-05;0.532;0.000127;0.714;0.019;0.0735;0.742;0.161;0.0033;0.0128; 35280;0;1;0.0201;0.0186;53;1.22;27.3;1.28;  0%;  0%;  0%;4.01;0.557;1.16;  0%;  0%;  0%;3.51;23.1;4.35;  0%;  0%;  0%;3.95;0.443;1.8;  0%;  0%;  0%;0.285;76.8;0.0148;22.9;0;0;0;0;0;0.0166;100;0;0;0;0;0;0;0;21.5;78;0.405;0.0528;0;0;0;0;0;0.0178;100;0;0;0;0;0;0;0;35.4;36.2;45.8;37.6;6.26 ;5.64 ;7.4 ;5.27 ;
2017-09-05;14:28:14.547;0.0478;1.23;0.0389;0.714;0.744;69;0.989;0.518;4.58e-05;0.00425;0.124;0.095;1.62e+04;1.32e+04;2.12e+03;2.46;61.5;0.0956;2.39;78.8;5.44;86.3;0.127;8.16;0;0;0;0;0;154;24.8;0.00198;0.894;0.00222;0.714;0.31;3.9;0.92;0.0515;0.00184;0.0232; 46800;2;6;0.0201;0.0178;52;6.81e-05;0.499;0.000136;0.714;0.0207;0.082;0.748;0.147;0.00358;0.0142; 40080;0;1;0.0188;0.0177;52;0.189;1.24;0.153;0.714;0.386;64.9;0.994;0.532;2.41e-05;0.00405; 49760;3;12;0.0651;0.041;55;0.000357;1.16;0.000307;0.714;0.0273;0.203;0.865;0.168;0.000903;0.00671; 35520;2;0;0.0205;0.0186;54;1.25;29.4;1.64;  0%;  0%;  0%;4.25;0.629;1.25;  0%;  0%;  0%;3.87;25.1;4.41;  0%;  0%;  0%;4.45;0.564;2.04;  0%;  0%;  0%;0.311;69.8;0.0181;29.9;0;0;0;0;0;0.0191;100;0;0;0;0;0;0;0;21.4;78.1;0.489;0.0494;0;0;0;0;0;0.043;97.2;0;2.72;0;0;0;0;0;34.8;36.3;45.8;37.2;6.31 ;5.72 ;7.52 ;5.27 ;
2017-09-05;14:28:15.558;0.0476;1.23;0.0386;0.714;0.659;68.8;0.99;0.555;4.07e-05;0.00425;0.118;0.0919;1.62e+04;1.31e+04;2.12e+03;2.47;61.7;0.0953;2.38;70.2;5.4;78.8;0.102;15.7;0;0;0;0;0;151;24.5;0.00196;0.858;0.00228;0.714;0.276;3.9;0.929;0.0473;0.00166;0.0235; 46720;0;4;0.0196;0.0176;52;5.87e-05;0.464;0.000126;0.714;0.0182;0.0718;0.747;0.137;0.00364;0.0144; 40000;1;0;0.0185;0.0175;52;0.189;1.24;0.152;0.714;0.347;64.8;0.995;0.569;2.17e-05;0.00405; 49520;4;9;0.0598;0.0384;54;6.62e-05;0.498;0.000133;0.714;0.0179;0.0731;0.755;0.148;0.00319;0.013; 35520;0;1;0.0201;0.0184;54;1.1;26.2;1.34;  0%;  0%;  0%;3.91;0.542;1.04;  0%;  0%;  0%;3.47;22.5;3.92;  0%;  0%;  0%;3.87;0.446;1.8;  0%;  0%;  0%;0.319;59.9;0.0176;39.8;0;0;0;0;0;0.0177;87.8;0;12.2;0;0;0;0;0;21.3;78.2;0.39;0.152;0;0;0;0;0;0.0186;89.4;0;10.6;0;0;0;0;0;33.8;35.3;45.8;36.3;6.32 ;5.63 ;7.37 ;5.15 ;
2017-09-05;14:28:16.568;0.048;1.24;0.0386;0.714;0.652;68.4;0.99;0.51;4e-05;0.0042;0.116;0.0908;1.63e+04;1.31e+04;2.12e+03;2.49;62.2;0.096;2.4;67.9;5.4;86.1;0.0855;8.43;0;0;0;0;0;154;24.4;0.00191;0.905;0.00211;0.714;0.274;3.75;0.927;0.0511;0.00168;0.0231; 46640;0;3;0.0194;0.0175;52;5.93e-05;0.492;0.000121;0.714;0.0177;0.0736;0.76;0.135;0.00352;0.0146; 40160;0;4;0.0182;0.0174;52;0.19;1.25;0.152;0.714;0.341;64.5;0.995;0.524;2.11e-05;0.004; 49520;6;10;0.0588;0.0378;54;6.85e-05;0.513;0.000134;0.714;0.0195;0.0741;0.736;0.152;0.00336;0.0127; 35600;1;0;0.02;0.0182;54;1.14;25.6;1.24;  0%;  0%;  0%;3.68;0.512;0.999;  0%;  0%;  0%;3.27;21.9;3.66;  0%;  0%;  0%;3.73;0.398;1.72;  0%;  0%;  0%;0.296;75.3;0.0307;24.3;0;0;0;0;0;0.0169;98.1;0;1.9;0;0;0;0;0;21.3;78.4;0.312;0.0171;0;0;0;0;0;0.0187;92.5;0;7.46;0;0;0;0;0;35.3;36.2;45.8;36.5;6.28 ;5.63 ;7.35 ;5.11 ;
2017-09-05;14:28:17.578;0.0481;1.25;0.0385;0.714;0.636;68.6;0.991;0.516;3.9e-05;0.0042;0.116;0.0908;1.63e+04;1.31e+04;2.12e+03;2.5;62.4;0.0962;2.4;67.3;5.39;84.7;0.0819;9.84;0;0;0;0;0;153;24.5;0.00194;0.896;0.00216;0.714;0.267;3.79;0.93;0.0513;0.00162;0.0231; 46560;1;7;0.0195;0.0176;52;5.93e-05;0.505;0.000117;0.714;0.0185;0.0709;0.739;0.152;0.00367;0.0141; 40320;0;0;0.0184;0.0175;53;0.19;1.25;0.152;0.714;0.331;64.7;0.995;0.53;2.05e-05;0.004; 49840;4;12;0.058;0.0376;54;6.97e-05;0.522;0.000134;0.714;0.0194;0.0734;0.735;0.155;0.00328;0.0124; 35680;0;1;0.02;0.0182;54;1.12;25.2;1.38;  0%;  0%;  0%;3.72;0.468;1.06;  0%;  0%;  0%;3.31;21.5;3.65;  0%;  0%;  0%;3.72;0.425;1.75;  0%;  0%;  0%;0.303;70.8;0.0325;28.9;0;0;0;0;0;0.0164;98.5;0;1.49;0;0;0;0;0;21.2;78.4;0.295;0.0881;0;0;0;0;0;0.0187;91.1;0;8.91;0;0;0;0;0;34.8;36.2;45.8;36.3;6.35 ;5.63 ;7.31 ;5.15 ;
2017-09-05;14:28:18.589;0.0481;1.25;0.0386;0.714;0.65;69.1;0.991;0.539;3.98e-05;0.00423;0.117;0.0914;1.63e+04;1.31e+04;2.12e+03;2.49;62.3;0.0962;2.4;68.5;5.4;82.9;0.0838;11.6;0;0;0;0;0;153;24.5;0.00192;0.887;0.00216;0.714;0.269;3.75;0.928;0.0516;0.00165;0.023; 46720;1;4;0.0196;0.0176;52;7.04e-05;0.498;0.000141;0.714;0.0194;0.09;0.784;0.137;0.00326;0.0151; 40000;0;2;0.0187;0.0176;52;0.19;1.25;0.152;0.714;0.341;65.2;0.995;0.553;2.11e-05;0.00403; 49440;3;9;0.0583;0.0377;54;7.89e-05;0.489;0.000161;0.714;0.0206;0.0891;0.769;0.145;0.00307;0.0133; 35920;1;0;0.0202;0.0184;53;1.23;25.3;1.38;  0%;  0%;  0%;3.86;0.596;1.17;  0%;  0%;  0%;3.39;21.6;3.81;  0%;  0%;  0%;3.89;0.452;1.9;  0%;  0%;  0%;0.303;66.1;0.028;33.5;0;0;0;0;0;0.0198;96.7;0;3.24;0;0;0;0;0;21.3;78.3;0.307;0.121;0;0;0;0;0;0.0226;90.3;0;9.67;0;0;0;0;0;34.5;36.2;45.9;36.4;6.32 ;5.67 ;7.36 ;5.18 ;
