System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;14:11:00.766;0.00364;0.427;0.00851;0.715;4.51;14;0.678;0.334;0.00364;0.0113;0.435;0.31;1.24e+03;2.9e+03;2.12e+03;0.855;21.4;0.00728;0.182;690;1.19;10.8;0.119;87.9;0;27.7;0;0;0;117;32.6;0.00276;0.417;0.00662;0.718;0.8;2.88;0.722;0.277;0.00341;0.0123; 38880;31;132;0.111;0.0645;51;0.00248;0.306;0.00811;0.684;1.06;3.5;0.698;0.234;0.005;0.0166; 46800;70;101;0.135;0.102;52;0.00346;0.348;0.00996;0.697;1.31;3.85;0.66;0.287;0.00444;0.0131; 45200;25;133;0.0617;0.0462;54;0.00585;0.625;0.00937;0.762;1.34;3.8;0.646;0.467;0.0027;0.00762; 40960;66;49;0.127;0.097;51;69.9;31.4;42.9;  0%;  0%;  0%;93.6;74.5;45.7;  0%;  0%;  0%;52.5;31.7;91.4;  0%;  0%;  0%;40.5;61.5;54.5;  0%;  0%;  0%;0.922;14.6;0.323;84.2;0;18.2;0;0;0;1.18;5.66;0.0564;93.1;0;44.2;0;0;0;1.43;6.44;0.0662;92.1;0;48.3;0;0;0;1.23;16.6;0.0295;82.1;0;0;0;0;0;30.2;28;29.2;29.9;8.07 ;8.38 ;8.28 ;7.81 ;
2017-09-05;14:11:01.779;0.13;0.389;0.335;0.761;8.01;31.6;0.747;0.181;0.00018;0.000712;0.857;0.696;4.44e+04;1.14e+05;2.13e+03;0.777;19.4;0.261;6.51;1.22e+03;44;10.7;3.81;41.5;0;20.9;0;0;0;171;29.1;0.176;0.382;0.459;0.762;2.61;10.8;0.759;0.159;0.000174;0.000721; 44480;86;228;0.182;0.13;50;0.15;0.394;0.38;0.761;2.33;8.61;0.73;0.191;0.000182;0.000674; 48640;115;133;0.255;0.26;51;0.0512;0.39;0.132;0.76;0.878;3.37;0.74;0.183;0.000201;0.000772; 48240;64;149;0.159;0.124;54;0.144;0.391;0.37;0.761;2.2;8.84;0.752;0.195;0.000179;0.000718; 43920;70;101;0.261;0.183;50;151;77.7;145;  0%;  0%;  0%;72.7;106;136;  0%;  0%;  0%;103;62.4;67.3;  0%;  0%;  0%;61.9;109;132;  0%;  0%;  0%;60.3;6.42;2.42;30.8;0;11.1;0;0;0;49.9;12.4;0.764;36.9;0;9.22;0;0;0;17.3;13.8;8.87;60;0;44.9;0;0;0;48.6;10.1;3.19;38.2;0;18.6;0;0;0;46.5;43.5;36.8;43.7;7.4 ;7.54 ;7.28 ;6.93 ;
2017-09-05;14:11:02.780;0.206;0.386;0.533;0.762;10.9;39;0.72;0.172;0.000158;0.000564;0.907;0.442;6.92e+04;1.79e+05;2.1e+03;0.772;19.3;0.412;10.3;1.4e+03;70;13.1;7.3;9.65;0;3.79;0;0;0;197;27.9;0.226;0.381;0.592;0.762;2.98;10.6;0.719;0.166;0.000157;0.000559; 47040;57;110;0.227;0.105;50;0.243;0.379;0.641;0.762;3.19;10.5;0.695;0.176;0.000156;0.000512; 45520;35;143;0.211;0.119;51;0.153;0.412;0.37;0.761;2.13;8.94;0.761;0.176;0.000166;0.000696; 43280;23;116;0.206;0.0893;53;0.202;0.382;0.529;0.762;2.62;9.05;0.711;0.168;0.000154;0.000533; 40400;62;109;0.262;0.129;50;134;94.8;132;  0%;  0%;  0%;111;123;139;  0%;  0%;  0%;119;93.9;99.5;  0%;  0%;  0%;97.9;131;128;  0%;  0%;  0%;77.7;7.86;11.4;2.98;0;3.91;0;0;0;84.1;6.66;4.85;4.41;0;2.83;0;0;0;48.6;28.8;1.48;21;0;3.77;0;0;0;69.5;8.91;11.5;10.1;0;4.66;0;0;0;50.9;50.4;46.8;48.8;7.21 ;7.02 ;7.1 ;6.54 ;
2017-09-05;14:11:03.793;0.16;0.392;0.407;0.761;8.66;34;0.745;0.172;0.000159;0.000625;0.734;0.361;5.44e+04;1.39e+05;2.13e+03;0.785;19.6;0.32;7.99;1.11e+03;53.5;10.9;7.37;28.2;0;10.8;0;0;0;183;28.4;0.191;0.39;0.489;0.762;2.63;11;0.76;0.157;0.000162;0.000675; 41360;76;87;0.191;0.0934;49;0.205;0.385;0.532;0.762;2.64;9.48;0.721;0.182;0.000152;0.000544; 46640;35;123;0.174;0.0969;51;0.132;0.407;0.325;0.761;1.73;7.67;0.774;0.18;0.000154;0.000682; 43040;49;57;0.175;0.0836;53;0.112;0.395;0.283;0.762;1.66;5.89;0.718;0.174;0.000174;0.000618; 39680;20;66;0.194;0.0875;50;136;84.7;94.8;  0%;  0%;  0%;87.9;83.3;134;  0%;  0%;  0%;88.7;84.9;68.2;  0%;  0%;  0%;70;85.7;89.3;  0%;  0%;  0%;64.2;10.8;13.2;11.8;0;8.73;0;0;0;69.8;7.75;4.24;18.2;0;8.1;0;0;0;42.7;15;2.16;40.2;0;14.3;0;0;0;37.2;10.1;9.94;42.7;0;11.9;0;0;0;49;47.9;44.2;41.6;7.33 ;7.21 ;7.28 ;6.57 ;
2017-09-05;14:11:04.805;0.203;0.39;0.522;0.762;11.1;42.2;0.738;0.168;0.00016;0.000609;0.922;0.444;6.92e+04;1.78e+05;2.13e+03;0.78;19.5;0.407;10.2;1.4e+03;68.5;15;3.95;12.5;0;3.62;0;0;0;199;28.6;0.242;0.381;0.635;0.762;3.33;12.5;0.734;0.16;0.000162;0.000608; 41360;75;142;0.243;0.119;50;0.214;0.387;0.553;0.762;2.81;10.5;0.734;0.168;0.000154;0.000579; 44640;29;128;0.203;0.0988;51;0.21;0.389;0.539;0.762;2.88;9.69;0.703;0.187;0.000161;0.000542; 44880;19;125;0.235;0.118;52;0.148;0.412;0.359;0.762;2.05;9.41;0.782;0.157;0.000163;0.000748; 42480;40;77;0.241;0.109;50;134;141;119;  0%;  0%;  0%;117;88.6;138;  0%;  0%;  0%;120;137;103;  0%;  0%;  0%;105;86.9;115;  0%;  0%;  0%;83.4;7.52;5.82;3.28;0;1.63;0;0;0;72.6;11.9;4.63;10.8;0;6.12;0;0;0;70.8;13.5;4.72;10.9;0;6.73;0;0;0;47.1;27.2;0.626;25.1;0;0;0;0;0;52.6;49.2;50.9;46.2;7.45 ;7.18 ;7.28 ;6.64 ;
2017-09-05;14:11:05.818;0.209;0.386;0.542;0.762;11.3;42.2;0.733;0.158;0.000158;0.000593;0.932;0.46;7.12e+04;1.85e+05;2.13e+03;0.772;19.3;0.418;10.5;1.41e+03;71.2;11;6.83;10.9;0;4.07;0;0;0;200;28.5;0.124;0.421;0.294;0.762;1.94;9.03;0.786;0.157;0.000184;0.000859; 39760;32;62;0.196;0.0702;49;0.237;0.381;0.622;0.762;3.2;11.2;0.715;0.157;0.000159;0.000556; 44480;43;139;0.213;0.11;51;0.252;0.38;0.663;0.762;3.2;11.7;0.726;0.16;0.00015;0.000547; 45040;50;150;0.251;0.135;52;0.225;0.381;0.591;0.762;2.92;10.3;0.716;0.158;0.000153;0.000539; 42640;59;127;0.273;0.146;49;89.8;97.5;96.7;  0%;  0%;  0%;142;138;91.1;  0%;  0%;  0%;148;92.6;141;  0%;  0%;  0%;146;133;92.6;  0%;  0%;  0%;38.6;20.3;16.5;24.7;0;7.06;0;0;0;81.7;8.22;2.58;7.51;0;2.95;0;0;0;87;7.5;2;3.51;0;0.063;0;0;0;77.5;8.17;6.29;8;0;6.2;0;0;0;44.7;50.6;53.6;51;7.19 ;7.21 ;7.38 ;6.68 ;
2017-09-05;14:11:06.830;0.255;0.374;0.683;0.762;10;22.7;0.56;0.246;0.000115;0.000261;0.842;0.399;8.69e+04;2.32e+05;2.13e+03;0.748;18.7;0.511;12.8;1.28e+03;89.7;7.2;1.44;1.7;0;0.0826;0;0;0;213;27.6;0.239;0.384;0.624;0.762;3;7.77;0.614;0.231;0.000147;0.000382; 40640;67;221;0.18;0.0739;49;0.26;0.371;0.7;0.762;2.34;5;0.532;0.251;0.000106;0.000226; 43600;8;96;0.177;0.0809;51;0.261;0.371;0.704;0.762;2.24;4.79;0.533;0.259;0.000101;0.000216; 43840;27;159;0.226;0.113;52;0.261;0.371;0.704;0.762;2.43;5.15;0.528;0.25;0.000109;0.000232; 42240;8;253;0.259;0.131;49;125;117;139;  0%;  0%;  0%;77.7;92.7;116;  0%;  0%;  0%;77.1;106;104;  0%;  0%;  0%;108;91.8;125;  0%;  0%;  0%;81.9;13.2;1.19;3.7;0;0;0;0;0;91.9;5.43;1.53;1.16;0;0.172;0;0;0;92.4;5.01;1.59;0.979;0;0.156;0;0;0;92.4;5.18;1.46;0.976;0;0.0029;0;0;0;52.9;52.2;54.2;53.6;7.13 ;6.9 ;7.14 ;6.47 ;
2017-09-05;14:11:07.841;0.181;0.384;0.473;0.762;8.99;29.9;0.7;0.187;0.000146;0.000485;0.753;0.367;6.17e+04;1.61e+05;2.13e+03;0.768;19.2;0.363;9.07;1.14e+03;62.1;13;4.5;20.4;0;13.6;0;0;0;190;27.6;0.227;0.382;0.595;0.762;2.96;10.8;0.727;0.168;0.000153;0.000561; 42240;56;134;0.2;0.101;49;0.212;0.383;0.553;0.762;2.61;8.39;0.689;0.195;0.000145;0.000466; 45200;35;117;0.171;0.0883;50;0.0837;0.386;0.217;0.761;0.995;2.44;0.591;0.216;0.00014;0.000342; 41280;11;54;0.158;0.0579;52;0.203;0.386;0.526;0.762;2.42;8.24;0.706;0.195;0.00014;0.000477; 42400;39;121;0.223;0.121;50;136;66.3;137;  0%;  0%;  0%;54.4;111;139;  0%;  0%;  0%;55.7;67.1;64;  0%;  0%;  0%;64.8;112;132;  0%;  0%;  0%;78.1;7.99;4.08;9.88;0;3.82;0;0;0;72.6;8.52;6.54;12.4;0;10.3;0;0;0;28.5;24.7;4.37;42.4;0;33.2;0;0;0;69.1;10.9;3.01;17;0;6.97;0;0;0;51.2;48.7;40.8;49.2;7.18 ;7 ;6.9 ;6.54 ;
2017-09-05;14:11:08.853;0.212;0.386;0.55;0.762;11.3;42;0.73;0.174;0.000157;0.000583;0.948;0.466;7.2e+04;1.87e+05;2.12e+03;0.771;19.3;0.424;10.6;1.44e+03;72.2;25.6;0.637;1.59;0;0.0211;0;0;0;205;27.6;0.266;0.381;0.698;0.762;3.6;13.5;0.733;0.168;0.000159;0.000598; 41280;84;134;0.252;0.125;49;0.264;0.38;0.695;0.762;3.56;12.5;0.716;0.179;0.000159;0.000557; 43120;37;167;0.222;0.118;50;0.0537;0.482;0.111;0.762;0.676;3.51;0.808;0.174;0.000148;0.000771; 42400;1;14;0.191;0.0611;53;0.264;0.38;0.695;0.762;3.49;12.5;0.72;0.174;0.000156;0.000555; 42320;62;144;0.283;0.162;49;168;64.6;186;  0%;  0%;  0%;59.7;170;177;  0%;  0%;  0%;61.6;64.6;68.8;  0%;  0%;  0%;67.9;177;175;  0%;  0%;  0%;91.6;6.59;1.42;0.423;0;0.0288;0;0;0;91.2;6.71;0.466;1.64;0;0.0555;0;0;0;14.6;82.5;0.00174;2.93;0;0;0;0;0;91.3;6.7;0.661;1.37;0;0;0;0;0;54.3;52.6;43.8;53.9;7.16 ;6.89 ;7.17 ;6.42 ;
2017-09-05;14:11:09.865;0.242;0.38;0.637;0.762;11.4;30.7;0.629;0.204;0.000138;0.000372;0.949;0.46;8.24e+04;2.17e+05;2.12e+03;0.761;19;0.485;12.1;1.44e+03;83.6;12.9;2.37;1.13;0;0.162;0;0;0;211;28.2;0.254;0.376;0.676;0.762;2.98;8.09;0.632;0.197;0.000138;0.000374; 40560;65;134;0.236;0.105;49;0.252;0.375;0.673;0.762;2.92;7.29;0.599;0.209;0.000136;0.000339; 43200;39;143;0.201;0.0965;50;0.209;0.401;0.522;0.762;2.67;7.73;0.655;0.215;0.00015;0.000434; 44640;22;129;0.229;0.111;52;0.253;0.375;0.676;0.762;2.81;7.55;0.628;0.194;0.00013;0.00035; 41760;49;135;0.283;0.147;49;116;116;134;  0%;  0%;  0%;114;118;119;  0%;  0%;  0%;119;115;122;  0%;  0%;  0%;118;117;130;  0%;  0%;  0%;88.8;7.51;2.98;0.726;0;0.0795;0;0;0;88.3;7.37;2.5;1.8;0;0.21;0;0;0;68.5;29.7;0.831;0.874;0;0;0;0;0;88.8;6.88;3.19;1.13;0;0.359;0;0;0;53.6;52;52.4;53.3;7.27 ;7.05 ;7.32 ;6.61 ;
